,,,,,,,
,,,,,,,
"Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided."
CE    ,BUTTE_BP,BUTTE_BP_5    ,BUTTE;BP,60,,,
CE    ,BUTTE_BP,BUTTE_BP_6    ,BUTTE;BP,60,,,
CE    ,BUTTE_R1,BUTTE_R1_7    ,BUTTE;RP,165,,,
CE    ,BUTTE_R1,BUTTE_R1_8    ,BUTTE;RP,165,,,
CE    ,BUTTE_R3,BUTTE_R3_0    ,BUTTE;RP,165,,,
CE    ,BUTTE_R3,BUTTE_R3_9    ,BUTTE;RP,165,,,
CE    ,BYRON__B,BYRON_1U_1    ,BYRON;1U,1114,,,
CE    ,BYRON__R,BYRON_2U_2    ,BYRON;2U,1114,,,
CE    ,CALUM_BP,CALUM_BP_P    ,CALUM;BP,50,,,
CE    ,CALUM_RP,CALUM_RP_P    ,CALUM;RP,83,,,
CE    ,COLLI   ,COLLI_1U_1    ,COLLI;1U,554,,,
CE    ,COLLI   ,COLLI_2U_2    ,COLLI;2U,554,,,
CE    ,COLLI   ,COLLI_3U_3    ,COLLI;3U,530,,,
CE    ,COLLI   ,COLLI_4U_4    ,COLLI;4U,530,,,
CE    ,COLLI   ,COLLI_5U_5    ,COLLI;5U,530,,,
CE    ,CORDO   ,CORDO_1       ,CORDO;  ,165,,,
CE    ,CORDO   ,CORDO_2       ,CORDO;  ,165,,,
CE    ,CORDO   ,CORDO_3       ,CORDO;  ,170,,,
CE    ,CRAWF_11,CRAWF_7Y_7    ,CRAWF;7Y,108,,,
CE    ,CRAWF_11,CRAWF_7G_7    ,CRAWF;7G,108,,,
CE    ,CRAWF_11,CRAWF_8U_H    ,CRAWF;8U,179,,,
CE    ,CRAWF_11,CRAWF_8U_L    ,CRAWF;8U,147,,,
CE    ,CRAWF_BP,CRAWF_BP_P    ,CRAWF;BP,50,,,
CE    ,CRAWF_GP,CRAWF_GP_P    ,CRAWF;GP,50,,,
CE    ,CRAWF_RP,CRAWF_RP_P    ,CRAWF;RP,52,,,
CE    ,DRESD_1C,DRESD_2U_2    ,DRESD;2U,784,,,
CE    ,DRESD_3C,DRESD_3U_3    ,DRESD;3U,784,,,
CE    ,ELECT_BP,ELECT_BP_P    ,ELECT;BP,53,,,
CE    ,ELECT_RP,ELECT_RP_P    ,ELECT;RP,107,,,
CE    ,ELWOO_1P,ELWOO_1P_1    ,ELWOO;1P,175,,,
CE    ,ELWOO_1P,ELWOO_1P_2    ,ELWOO;1P,175,,,
CE    ,ELWOO_1P,ELWOO_1P_3    ,ELWOO;1P,175,,,
CE    ,ELWOO_1P,ELWOO_1P_4    ,ELWOO;1P,175,,,
CE    ,ELWOO_4U,ELWOO_4U_1    ,ELWOO;4U,166,,,
CE    ,ELWOO_4U,ELWOO_4U_2    ,ELWOO;4U,166,,,
CE    ,ELWOO_4U,ELWOO_4U_3    ,ELWOO;4U,166,,,
CE    ,ELWOO_4U,ELWOO_4U_4    ,ELWOO;4U,166,,,
CE    ,FISK__9M,FISK__9U_H    ,FISK ;9U,181,,,
CE    ,FISK__9M,FISK__9U_L    ,FISK ;9U,145,,,
CE    ,FISK__BP,FISK__BP_P    ,FISK ;BP,88,,,
CE    ,FISK__RP,FISK__RP_P    ,FISK ;RP,90,,,
CE    ,JO_29__B,JO_29_8U_H    ,JO 29;8U,266,,,
CE    ,JO_29__B,JO_29_8U_L    ,JO 29;8U,256,,,
CE    ,JO_29__R,JO_29_7U_H    ,JO 29;7U,266,,,
CE    ,JO_29__R,JO_29_7U_L    ,JO 29;7U,256,,,
CE    ,JO_9__B ,JO_9_6U_H     ,JO  9;6U,157,,,
CE    ,JO_9__B ,JO_9_6U_L     ,JO  9;6U,157,,,
CE    ,JOL_9_BP,JOL_9_BP_P    ,JOL 9;BP,104,,,
CE    ,KINCA__B,KINCA_2U_2    ,KINCA;2U,554,,,
CE    ,KINCA__R,KINCA_1U_1    ,KINCA;1U,554,,,
CE    ,LASCO__R,LASCO_2U_2    ,LASCO;2U,1087,,,
CE    ,LASCO_1C,LASCO_1U_1    ,LASCO;1U,1101,,,
CE    ,LEECO_BP,LEECO_BP_1    ,LEECO;BP,80,,,
CE    ,LEECO_BP,LEECO_BP_2    ,LEECO;BP,80,,,
CE    ,LEECO_BP,LEECO_BP_3    ,LEECO;BP,80,,,
CE    ,LEECO_BP,LEECO_BP_4    ,LEECO;BP,80,,,
CE    ,LEECO_BP,LEECO_BP_5    ,LEECO;BP,80,,,
CE    ,LEECO_BP,LEECO_BP_6    ,LEECO;BP,80,,,
CE    ,LEECO_BP,LEECO_BP_7    ,LEECO;BP,80,,,
CE    ,LEECO_BP,LEECO_BP_8    ,LEECO;BP,80,,,
CE    ,LOMBA_BP,LOMBA_BP_P    ,LOMBA;BP,30,,,
CE    ,LOMBA_RP,LOMBA_RP_P    ,LOMBA;RP,30,,,
CE    ,PEOPL_BP,PEOPL_BP_1    ,PEOPL;BP,44,,,
CE    ,PEOPL_BP,PEOPL_BP_2    ,PEOPL;BP,44,,,
CE    ,PEOPL_BP,PEOPL_BP_3    ,PEOPL;BP,44,,,
CE    ,PEOPL_RP,PEOPL_RP_4    ,PEOPL;RP,44,,,
CE    ,PEOPL_RP,PEOPL_RP_5    ,PEOPL;RP,44,,,
CE    ,PEOPL_RP,PEOPL_RP_6    ,PEOPL;RP,44,,,
CE    ,POWER__B,POWER_5U_5    ,POWER;5U,769,,,
CE    ,POWER__R,POWER_6U_6    ,POWER;6U,769,,,
CE    ,QUAD    ,QUAD__1U_1    ,QUAD ;1U,762,,,
CE    ,QUAD    ,QUAD__2U_2    ,QUAD ;2U,762,,,
CE    ,ROCKF_BP,ROCKF_BP_1    ,ROCKF;BP,150,,,
CE    ,ROCKF_RP,ROCKF_RP_2    ,ROCKF;RP,150,,,
CE    ,ROCKY_BP,ROCKY_BP_1    ,ROCKY;BP,125,,,
CE    ,SABRO_11,SABRO_RP_P    ,SABRO;RP,25,,,
CE    ,SABRO_21,SABRO_BP_P    ,SABRO;BP,25,,,
CE    ,SABRO_6P,SABRO_6P_P    ,SABRO;6P,33,,,
CE    ,SLINE_1C,SLINE_3U_H    ,SLINE;3U,111,,,
CE    ,SLINE_1C,SLINE_3U_L    ,SLINE;3U,76,,,
CE    ,SLINE_2C,SLINE_4U_H    ,SLINE;4U,163,,,
CE    ,SLINE_2C,SLINE_4U_L    ,SLINE;4U,140,,,
CE    ,U_PAR_BP,U_PAR_BP_5    ,U PAR;BP,50,,,
CE    ,U_PAR_BP,U_PAR_BP_6    ,U PAR;BP,50,,,
CE    ,U_PAR_RP,U_PAR_RP_1    ,U PAR;RP,50,,,
CE    ,U_PAR_RP,U_PAR_RP_2    ,U PAR;RP,50,,,
CE    ,U_PAR_RP,U_PAR_RP_3    ,U PAR;RP,50,,,
CE    ,U_PAR_RP,U_PAR_RP_4    ,U PAR;RP,50,,,
CE    ,WAUKE__B,WAUKE_6U_6    ,WAUKE;6U,97,,,
CE    ,WAUKE__B,WAUKE_7U_H    ,WAUKE;7U,164,,,
CE    ,WAUKE__B,WAUKE_7U_L    ,WAUKE;7U,164,,,
CE    ,WAUKE__B,WAUKE_8U_H    ,WAUKE;8U,196,,,
CE    ,WAUKE__B,WAUKE_8U_L    ,WAUKE;8U,165,,,
CE    ,WAUKE_BP,WAUKE_BP_P    ,WAUKE;BP,98,,,
CE    ,WILL___B,WILL__1U_H    ,WILL ;1U,94,,,
CE    ,WILL___B,WILL__1U_L    ,WILL ;1U,73.25,,,
CE    ,WILL___B,WILL__2U_H    ,WILL ;2U,92,,,
CE    ,WILL___B,WILL__2U_L    ,WILL ;2U,62,,,
CE    ,WILL___B,WILL__3U_H    ,WILL ;3U,136,,,
CE    ,WILL___B,WILL__3U_L    ,WILL ;3U,126,,,
CE    ,WILL___B,WILL__4U_H    ,WILL ;4U,270,,,
CE    ,WILL___B,WILL__4U_L    ,WILL ;4U,250,,,
CE    ,ZION___B,ZION__1U_1    ,ZION ;1U,0,,,
CE    ,ZION___R,ZION__2U_2    ,ZION ;2U,0,,,
CILC  ,CAT_MOSS,CAT_MOSS_1    ,CAT MOSS,39,,,
CILC  ,DUCK_CRK,DUCK_CRK_1    ,DUCK CRK,366,,,
CILC  ,EDWARD11,EDWARD11_3    ,EDWARDS3,361,,,
CILC  ,EDWARD21,EDWARD21_1    ,EDWARDS1,117,,,
CILC  ,EDWARD21,EDWARD21_2    ,EDWARDS1,262,,,
CILC  ,HALLOCO ,HALLOCO_1     ,HALLOCK ,160,,,
CILC  ,HALLOCO ,HALLOC1_1     ,HALLOCK ,14,,,
CILC  ,KICKAPOO,KICKAPOO_1    ,KICKAPOO,13,,,
CILC  ,MIDWEST ,MIDWEST_1     ,MIDWEST ,21,,,
CILC  ,NORTHWS1,NORTHWS1_1    ,NORTHWS1,32,,,
CIN   ,08BCKJD3,08BKJ135_G    ,08BKJ135,206,,,
CIN   ,08BCKJD3,08BCKJD3_3    ,08BCKJD3,128,,,
CIN   ,08BCKJD3,08BCKJD4_4    ,08BCKJD4,150,,,
CIN   ,08BCKJD6,08BCKJD6_6    ,08BCKJD6,414,,,
CIN   ,08BKJ246,08BECJD1_1    ,08BECJD1,94,,,
CIN   ,08BKJ246,08BCKJD2_2    ,08BCKJD2,94,,,
CIN   ,08BKJ246,08BCKJD5_5    ,08BCKJD5,238,,,
CIN   ,08CAY_CT,08CAY_CT_4    ,08CAY CT,106,,,
CIN   ,08CAYSUB,08CAYSUB_M    ,08CAYSUB,640,,,
CIN   ,08CAYUG3,08CAY1_1      ,08CAY1  ,500,,,
CIN   ,08CAYUG3,08CAY2_2      ,08CAY2  ,495,,,
CIN   ,08CONERO,08CONERO_1    ,08CONERV,42,,,
CIN   ,08CONERO,08CONERO_2    ,08CONERV,43,,,
CIN   ,08D_CRK1,08D_CRK1_1    ,08D.CRK1,92,,,
CIN   ,08D_CRK1,08D_CRK3_3    ,08D.CRK3,14.2,,,
CIN   ,08D_CRK1,08D_CRK4_4    ,08D.CRK4,15,,,
CIN   ,08D_CRK1,08D_CRK4_5    ,08D.CRK4,15,,,
CIN   ,08EBND2 ,08EBND2_2     ,08EBND2 ,600,,,
CIN   ,08EDSPRT,08EDS6_6      ,08EDS6  ,40,,,
CIN   ,08EDSPRT,08EDS7_7      ,08EDS7  ,45,,,
CIN   ,08EDSPRT,08EDS8_8      ,08EDS8  ,75,,,
CIN   ,08GALAG1,08GALL1_1     ,08GALL1 ,140,,,
CIN   ,08GALAG1,08GALL2_2     ,08GALL2 ,140,,,
CIN   ,08GALAG1,08GALL3_3     ,08GALL3 ,140,,,
CIN   ,08GALAG1,08GALL4_4     ,08GALL4 ,140,,,
CIN   ,08GIBSON,08GIB1_1      ,08GIB1  ,630,, , 
CIN   ,08GIBSON,08GIB2_2      ,08GIB2  ,630,,,
CIN   ,08GIBSON,08GIB3_3      ,08GIB3  ,630,,,
CIN   ,08GIBSON,08GIB4_4      ,08GIB4  ,630,,,
CIN   ,08GIBSON,08GIB5_5      ,08GIB5  ,620,,,
CIN   ,08M_FRT7,08M_FRT7_7    ,08M.FRT7,500,,,
CIN   ,08M_FRT7,08M_FRT8_8    ,08M.FRT8,500,,,
CIN   ,08MFGT17,08M_FTG1_G    ,08M.FTGT,57,,,
CIN   ,08MFTM9 ,08M_FRT5_5    ,08M.FRT5,80,,,
CIN   ,08MFTM9 ,08M_FRT6_6    ,08M.FRT6,163,,,
CIN   ,08MRKLND,08MRKLND_1    ,08MRKLND,15,,,
CIN   ,08MRKLND,08MRKLND_2    ,08MRKLND,15,,,
CIN   ,08MRKLND,08MRKLND_3    ,08MRKLND,15,,,
CIN   ,08NOBLS3,08NOBS1_1     ,08NOBS1 ,45,,,
CIN   ,08NOBLS3,08NOBS2_2     ,08NOBS2 ,45,,,
CIN   ,08WAB_2 ,08WABR1_1     ,08WABR1 ,270,,,
CIN   ,08WAB_2 ,08WABR2_2     ,08WABR2 ,85,,,
CIN   ,08WAB_2 ,08WABR3_3     ,08WABR3 ,85,,,
CIN   ,08WAB_2 ,08WABR4_4     ,08WABR4 ,85,,,
CIN   ,08WAB_2 ,08WABR5_5     ,08WABR5 ,95,,,
CIN   ,08WAB_2 ,08WABR6_6     ,08WABR6 ,318,,,
CIN   ,08WABASO,08WABAS1_1    ,08WABASH,16,,,
CIN   ,08WABASO,08WABAS1_2    ,08WABASH,16,,,
CIN   ,08WABASO,08WABASO_1    ,08WABASH,16,,,
CIN   ,08WABASO,08WABASO_2    ,08WABASH,16,,,
CIN   ,08WABASO,08WABASO_3    ,08WABASH,15,,,
CIN   ,08WABASO,08WABASO_4    ,08WABASH,15,,,
CIN   ,08WHEAT ,08WHEAT_M     ,08WHEAT ,250,,,
CIN   ,08WODSDL,08WODSDL_M    ,08WODSDL,640,,,
CIN   ,08WODSDL,08WSDLE1_G    ,08WSDLE1,90,,,
CIN   ,08WODSDL,08WSDLE2_G    ,08WSDLE2,90,,,
CIN   ,08WODSDL,08WSDLE3_G    ,08WSDLE3,90,,,
CIN   ,08WODSDL,08WSDLE4_G    ,08WSDLE4,90,,,
CIN   ,08WODSDL,08WSDLE5_G    ,08WSDLE5,90,,,
CIN   ,08WODSDL,08WSDLE6_G    ,08WSDLE6,90,,,
CIN   ,08ZIMRHP,08ZIMRHP_1    ,08ZIMRHP,800,,,
CIN   ,08ZIMRHP,08ZIMRLP_1    ,08ZIMRLP,500,,,
CLEC  ,COUGH_4 ,G6COUGH_1     ,G6COUGH ,114,,,
CLEC  ,COUGH_4 ,G7COUGH_1     ,G7COUGH ,243,,,
CLEC  ,COUGH_4 ,EVANGCT1_1    ,EVANGCT1,170,,,
CLEC  ,COUGH_4 ,EVANGCT2_1    ,EVANGCT2,170,,,
CLEC  ,COUGH_4 ,EVANGCT3_1    ,EVANGCT3,170,,,
CLEC  ,DOLHILL6,G1DOLHIL_1    ,G1DOLHIL,660,,,
CLEC  ,G1RODEMR,G1RODEMR_1    ,G1RODEMR,446,,,
CLEC  ,G1RODEMR,G2RODEMR_1    ,G2RODEMR,555,,,
CLEC  ,HUNTER_4,HUNTER_4_1    ,HUNTER 4,15.6,,,
CLEC  ,HUNTER_4,HUNTER_4_2    ,HUNTER 4,15.6,,,
CLEC  ,HUNTER_4,HUNTER_4_3    ,HUNTER 4,47.1,,,
CLEC  ,HUNTER_4,HUNTER_4_4    ,HUNTER 4,78,,,
CLEC  ,TECHE_4 ,G3TECHE_1     ,G3TECHE ,349,,,
CLEC  ,TECHE_4 ,G2TECHE_1     ,G2TECHE ,48,,,
CLEC  ,TECHE_4 ,G1TECHE_1     ,G1TECHE ,23,,,
CPLW  ,3ASHEVIL,1ASHV_1_1     ,1ASHV #1,198,,,
CPLW  ,3ASHEVIL,1ASHV_2_1     ,1ASHV #2,194,,,
CPLW  ,3ASHEVIL,1ASHV_CT_A    ,1ASHV CT,165,,,
CPLW  ,3ASHEVIL,1ASHV_CT_B    ,1ASHV CT,165,,,
CPLW  ,3BLEWETT,1BLEW1_3_1    ,1BLEW1-3,3.3,,,
CPLW  ,3BLEWETT,1BLEW1_3_2    ,1BLEW1-3,3.3,,,
CPLW  ,3BLEWETT,1BLEW1_3_3    ,1BLEW1-3,3.4,,,
CPLW  ,3BLEWETT,1BLEW4_6_1    ,1BLEW4-6,4,,,
CPLW  ,3BLEWETT,1BLEW4_6_2    ,1BLEW4-6,4,,,
CPLW  ,3BLEWETT,1BLEW4_6_3    ,1BLEW4-6,4,,,
CPLW  ,3BLEWETT,1BLIC1_2_A    ,1BLIC1&2,13,,,
CPLW  ,3BLEWETT,1BLIC1_2_B    ,1BLIC1&2,13,,,
CPLW  ,3BLEWETT,1BLIC3_4_A    ,1BLIC3&4,13,,,
CPLW  ,3BLEWETT,1BLIC3_4_B    ,1BLIC3&4,13,,,
CPLW  ,3CG_LUMB,3CG_LUMB_1    ,3CG-LUMB,33.5,,,
CPLW  ,3ELIZB_C,3ELIZB_C_1    ,3ELIZB C,33.3,,,
CPLW  ,3ICG_ST ,3ICG_ST_1     ,3ICG-ST ,68,,,
CPLW  ,3KORN_CG,3KORN_CG_1    ,3KORN CG,32.4,,,
CPLW  ,3LEE_1_3,1LEE_1_1      ,1LEE #1 ,79,,,
CPLW  ,3LEE_1_3,1LEE_2_1      ,1LEE #2 ,76,,,
CPLW  ,3LEE_1_3,1LEEIC1_A     ,1LEEIC#1,14,,,
CPLW  ,3LEE_1_3,1LEEIC2_A     ,1LEEIC#2,27,,,
CPLW  ,3LEE_1_3,1LEEIC3_A     ,1LEEIC#3,25,,,
CPLW  ,3LEE_1_3,1LEEIC4_A     ,1LEEIC#4,25,,,
CPLW  ,3LEE_1_3,1LEE_3_1      ,1LEE #3 ,252,,,
CPLW  ,3MARSHAL,1MARS1_2_1    ,1MARS1&2,2.5,,,
CPLW  ,3MARSHAL,1MARS1_2_2    ,1MARS1&2,2.5,,,
CPLW  ,3MOREHEA,1MORHDIC_A    ,1MORHDIC,15,,,
CPLW  ,3SUT_1_2,1SUTT_1_1     ,1SUTT #1,97,,,
CPLW  ,3SUT_1_2,1SUTT_2_1     ,1SUTT #2,106,,,
CPLW  ,3SUT_1_2,1SUTIC1_A     ,1SUTIC#1,13,,,
CPLW  ,3SUT_1_2,1SUTIC2A_A    ,1SUTIC2A,26,,,
CPLW  ,3SUT_1_2,1SUTIC2B_A    ,1SUTIC2B,25,,,
CPLW  ,3TIL_1_4,1TILL_1_1     ,1TILL #1,21,,,
CPLW  ,3TIL_1_4,1TILL_2_1     ,1TILL #2,18.5,,,
CPLW  ,3TIL_1_4,1TILL_3_1     ,1TILL #3,21,,,
CPLW  ,3TIL_1_4,1TILL_4_1     ,1TILL #4,25.5,,,
CPLW  ,4WALT   ,1WALT_1_1     ,1WALT #1,35,,,
CPLW  ,4WALT   ,1WALT_2_1     ,1WALT #2,35,,,
CPLW  ,4WALT   ,1WALT_3_1     ,1WALT #3,35,,,
CPLW  ,6BRUN_1 ,1BRUN_1_1     ,1BRUN #1,820,,,
CPLW  ,6BRUN_2 ,1BRUN_2_1     ,1BRUN #2,811,,,
CPLW  ,6CF_5_6 ,1CAPE_5_1     ,1CAPE #5,143,,,
CPLW  ,6CF_5_6 ,1CFIC1_2_A    ,1CFIC1&2,14,,,
CPLW  ,6CF_5_6 ,1CFIC1_2_B    ,1CFIC1&2,14,,,
CPLW  ,6CF_5_6 ,1CFIC3_4_A    ,1CFIC3&4,14,,,
CPLW  ,6CF_5_6 ,1CFIC3_4_B    ,1CFIC3&4,14,,,
CPLW  ,6CF_5_6 ,1CAPE_6_1     ,1CAPE #6,173,,,
CPLW  ,6CF_5_6 ,1CAPE_1_1     ,1CAPE #1,14,,,
CPLW  ,6CF_5_6 ,1CAPE_2_1     ,1CAPE #2,14,,,
CPLW  ,6CG_SOPR,6CG_SOPR_1    ,6CG-SOPR,107,,,
CPLW  ,6CONCOR ,1ROX_IC_A     ,1ROX IC ,15,,,
CPLW  ,6CRVWOOD,6CRVWOOD_1    ,6CRVWOOD,45,,,
CPLW  ,6DARL_CO,1DCP_1_A      ,1DCP #1 ,52,,,
CPLW  ,6DARL_CO,1DCP_2_A      ,1DCP #2 ,52,,,
CPLW  ,6DARL_CO,1DCP_3_A      ,1DCP #3 ,52,,,
CPLW  ,6DARL_CO,1DCP_4_A      ,1DCP #4 ,52,,,
CPLW  ,6DARL_CO,1DCP_5_A      ,1DCP #5 ,52,,,
CPLW  ,6DARL_CO,1DCP_6_A      ,1DCP #6 ,52,,,
CPLW  ,6DARL_CO,1DCP_7_A      ,1DCP #7 ,52,,,
CPLW  ,6DARL_CO,1DCP_8_A      ,1DCP #8 ,52,,,
CPLW  ,6DARL_CO,1DCP_9_A      ,1DCP #9 ,52,,,
CPLW  ,6DARL_CO,1DCP_10_A     ,1DCP #10,52,,,
CPLW  ,6DARL_CO,1DCP_11_A     ,1DCP #11,52,,,
CPLW  ,6DARL_CO,1DCP_12_A     ,1DCP #12,120,,,
CPLW  ,6DARL_CO,1DCP_13_A     ,1DCP #13,120,,,
CPLW  ,6HARRIS1,1HARR_2_1     ,1HARR #2,860,,,
CPLW  ,6ICG_TGS,6ICG_TGS_1    ,6ICG-TGS,42,,,
CPLW  ,6LEE    ,1WAYNECT_A    ,1WAYNECT,166,,,
CPLW  ,6LEE    ,1WAYNECT_B    ,1WAYNECT,166,,,
CPLW  ,6LEE    ,1WAYNECT_C    ,1WAYNECT,177,,,
CPLW  ,6LEE    ,1WAYNECT_D    ,1WAYNECT,177,,,
CPLW  ,6P2_FAYE,1FAYPWC1_A    ,1FAYPWC1,26,,,
CPLW  ,6P2_FAYE,1FAYPWC2_A    ,1FAYPWC2,26,,,
CPLW  ,6P2_FAYE,1FAYPWC3_A    ,1FAYPWC3,26,,,
CPLW  ,6P2_FAYE,1FAYPWC4_A    ,1FAYPWC4,26,,,
CPLW  ,6P2_FAYE,1FAYPWC5_A    ,1FAYPWC5,26,,,
CPLW  ,6P2_FAYE,1FAYPWC6_A    ,1FAYPWC6,26,,,
CPLW  ,6P2_FAYE,1FAYPWC7_A    ,1FAYPWC7,26,,,
CPLW  ,6P2_FAYE,1FAYPWC8_A    ,1FAYPWC8,26,,,
CPLW  ,6P2_FAYE,1FAYPWC9_A    ,1FAYPWC9,75,,,
CPLW  ,6ROB_2  ,1ROB_2_1      ,1ROB #2 ,683,,,
CPLW  ,6ROB_2  ,1ROB_1_1      ,1ROB #1 ,174,,,
CPLW  ,6ROB_2  ,1ROB_IC_A     ,1ROB IC ,15,,,
CPLW  ,6ROX_1_4,1ROX_1_1      ,1ROX #1 ,385,,,
CPLW  ,6ROX_1_4,1ROX_2_1      ,1ROX #2 ,670,,,
CPLW  ,6ROX_1_4,1ROX_3_1      ,1ROX #3 ,707,,,
CPLW  ,6ROX_1_4,1ROX_4_1      ,1ROX #4 ,700,,,
CPLW  ,6ROXB_CG,6ROXB_CG_1    ,6ROXB CG,56,,,
CPLW  ,6SUT_3  ,1SUTT_3_1     ,1SUTT #3,410,,,
CPLW  ,6WEATHER,1WSP_1_1      ,1WSP #1 ,49,,,
CPLW  ,6WEATHER,1WSP_2_1      ,1WSP #2 ,49,,,
CPLW  ,6WEATHER,1WSP_3_1      ,1WSP #3 ,78,,,
CPLW  ,6WEATHER,1WSPIC1_A     ,1WSPIC#1,35,,,
CPLW  ,6WEATHER,1WSPIC2_A     ,1WSPIC#2,35,,,
CPLW  ,6WEATHER,1WSPIC3_A     ,1WSPIC#3,34,,,
CPLW  ,6WEATHER,1WSPIC4_A     ,1WSPIC#4,34,,,
CPLW  ,8MAYO_1 ,1MAYO_1_1     ,1MAYO #1,745,,,
CSWS  ,ARSHILL2,ARSHILL1_1    ,ARSHILL1,110,,,
CSWS  ,COM1_1  ,COM1_1_1      ,COM1-1  ,117,,,
CSWS  ,COM1_1  ,COM2_1_1      ,COM2-1  ,78,,,
CSWS  ,COM3_1  ,COM3_1_1      ,COM3-1  ,78,,,
CSWS  ,FLINTCR5,FLINTCR1_1    ,FLINTCR1,528,,,
CSWS  ,KNOXLEE2,KNOXL4_1_1    ,KNOXL4-1,83,,,
CSWS  ,KNOXLEE2,KNOXL5_1_1    ,KNOXL5-1,344,,,
CSWS  ,L_D13_2 ,L_D13_2_1     ,L&D13  2,30,,,
CSWS  ,LIEBERM2,LIEBR1_1_1    ,LIEBR1-1,22,,,
CSWS  ,LIEBERM2,LIEBR2_1_1    ,LIEBR2-1,20,,,
CSWS  ,LIEBERM2,LIEBR3_1_1    ,LIEBR3-1,110,,,
CSWS  ,LIEBERM2,LIEBR4_1_1    ,LIEBR4-1,111,,,
CSWS  ,LONSTAR2,LONSTAR2_1    ,LONSTAR2,50,,,
CSWS  ,MIDCON_4,MIDCON_4_1    ,MIDCON-4,151,,,
CSWS  ,NARROWS2,NARROWS2_1    ,NARROWS2,30,,,
CSWS  ,NES1_1  ,NES1_1_1      ,NES1-1  ,152,,,
CSWS  ,NES1_1  ,NES2_1_1      ,NES2-1  ,485,,,
CSWS  ,NES3_1  ,NES3_1_1      ,NES3-1  ,450,,,
CSWS  ,NES3_1  ,NES4_1_1      ,NES4-1  ,450,,,
CSWS  ,NMARSHL2,NMARSHL2_1    ,NMARSHL2,5,,,
CSWS  ,OZARK_S2,OZARK_S2_1    ,OZARK S2,60,,,
CSWS  ,PIRKEY_4,PIRKEY_1_1    ,PIRKEY 1,650,,,
CSWS  ,RSS1_1  ,RSS1_1_1      ,RSS1-1  ,457,,,
CSWS  ,RSS1_1  ,RSS2_1_1      ,RSS2-1  ,459,,,
CSWS  ,S_W_S__2,SWS1_1_1      ,SWS1-1  ,80,,,
CSWS  ,S_W_S__2,SWS2_1_1      ,SWS2-1  ,80,,,
CSWS  ,S_W_S__2,SWS3_1_1      ,SWS3-1  ,315,,,
CSWS  ,T_P_S__2,TPS2_1_1      ,TPS2-1  ,165,,,
CSWS  ,T_P_S__2,TPS4_1_1      ,TPS4-1  ,165,,,
CSWS  ,WELEETK2,WELETK4_1     ,WELETK4 ,151,,,
CSWS  ,WELSH_7 ,WELSH1_1_1    ,WELSH1-1,528,,,
CSWS  ,WELSH_7 ,WELSH2_1_1    ,WELSH2-1,528,,,
CSWS  ,WELSH_7 ,WELSH3_1_1    ,WELSH3-1,528,,,
CSWS  ,WILKES_4,WILKE1_1_1    ,WILKE1-1,175,,,
CSWS  ,WILKES_4,WILKE2_1_1    ,WILKE2-1,357,,,
CSWS  ,WILKES_4,WILKE3_1_1    ,WILKE3-1,343,,,
CWLD  ,FULTON_D,FULTON_D_1    ,FULTON D,32,,,
CWLD  ,PLANT_D ,PLANT_D_5     ,PLANT  D,16.5,,,
CWLD  ,PLANT_D ,PLANT_D_6     ,PLANT  D,14,,,
CWLD  ,PLANT_D ,PLANT_D_7     ,PLANT  D,31.3,,,
CWLD  ,PLANT_D ,PLANT_D_8     ,PLANT  D,46.95,,,
CWLP  ,DALLMAO ,DALLMAO_1     ,DALLMAN ,86,,,
CWLP  ,DALLMAO ,DALLMAO_2     ,DALLMAN ,87,,,
CWLP  ,DALLMAO ,DALLMA1_3     ,DALLMAN ,192,,,
CWLP  ,FACTORY ,FACTORY_1     ,FACTORY ,23,,,
CWLP  ,INTERSTA,INTERSTA_1    ,INTERSTA,128,,,
CWLP  ,LAKESID1,LAKESID1_6    ,LAKESID1,38,,,
CWLP  ,LAKESID1,LAKESID1_7    ,LAKESID1,38,,,
CWLP  ,REYNOLDS,REYNOLDS_1    ,REYNOLDS,18,,,
DLCO  ,15AES   ,15AES_1       ,15AES   ,120,,,
DLCO  ,15B_1   ,15B_1_1       ,15B.I.  ,54,,,
DLCO  ,15B_1   ,15B_O_1       ,15B.I.  ,90,,,
DLCO  ,15BVRVAL,15BVRVAL_1    ,15BVRVAL,810,,,
DLCO  ,15BVRVAL,15BVRVAL_2    ,15BVRVAL,820,,,
DLCO  ,15CHESWK,15CHESWK_1    ,15CHESWK,562,,,
DLCO  ,15ELRM_3,15ELRM1_1     ,15ELRM1 ,97,,,
DLCO  ,15ELRM_3,15ELRM1_2     ,15ELRM1 ,97,,,
DLCO  ,15ELRM_3,15ELRM_3_3    ,15ELRM 3,109,,,
DLCO  ,15ELRM_4,15ELRM_4_4    ,15ELRM 4,171,,,
DLCO  ,15ST_JO1,15ST_JO1_1    ,15ST.JOE,120,,,
