LINE,Mile Point ,Description,Sample Date,Sample Type,Result (All results as Aroclor 1016 unless otherwise noted),Comments
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-06-13 00:00:00,Liquid,ND < 1 ppm,
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-06-27 00:00:00,Liquid,,Insufficient Sample
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-07-24 00:00:00,None,,
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-08-21 00:00:00,None,,
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-09-06 00:00:00,Liquid,,"Insuffient sample, <10 mls"
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-09-19 00:00:00,None,,no liquid
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-10-03 00:00:00,None,,no liquid
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-11-03 00:00:00,Liquid,ND < 1ppm,<10 mls
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-12-01 00:00:00,Liquid,"1 ppm as Aroclor 1016, < 1ppm, as Aroclor 1254",<10 mls
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2001-01-02 00:00:00,Liquid,ND < 1 ppm,<10 mls
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2001-02-02 00:00:00,Liquid,ND < 5 ppm,<10 mls
300 A,210.47 A,All American Pipeline Filter,2000-02-29 00:00:00,Liquid,< 1 ppm,Sample from filter (Site shut-in as of 4/00)
300 A,210.47 A,All American Pipeline Filter,2000-02-29 00:00:00,Liquid,1 ppm,Additional sample obtained from filter (Site shut-in as of 4/00)
300 A,218.73 A,"Mojave Meter and Reg Station, So. Cal Gas",,None,,Tap not inspected or sampled
300 A,225.57 A,California Portland Cement,2000-02-24 00:00:00,Liquid,ND < 1ppm,Sample from Old Orifice meter (Left)
300 A,225.57 A,California Portland Cement,2000-05-15 00:00:00,Liquid,1 ppm,Tap meter
300 A,225.57 A,California Portland Cement,2000-06-10 00:00:00,Liquid,1 ppm,Tap meter
300 A,225.57 A,California Portland Cement,2000-06-26 00:00:00,Liquid,1 ppm,Tap meter
300 A,225.57 A,California Portland Cement,2000-07-24 00:00:00,Liquid,2 ppm,"Tap meter, < 10 mls"
300 A,225.57 A,California Portland Cement,2000-08-07 00:00:00,Liquid,2 ppm,"Tap meter, < 10 mls"
300 A,225.57 A,California Portland Cement,2000-08-21 00:00:00,Liquid,8 ppm,"Tap meter, < 10 mls"
300 A,225.57 A,California Portland Cement,2000-09-18 00:00:00,Liquid,2 ppm,"Tap meter, < 10 mls"
300 A,225.57 A,California Portland Cement,2000-10-02 00:00:00,Liquid,2 ppm,"Tap meter, < 10 mls"
300 A,225.57 A,California Portland Cement,2000-10-30 00:00:00,Liquid,1 ppm,"Tap meter, < 10 mls"
300 A,225.57 A,California Portland Cement,2000-12-01 00:00:00,Liquid,2 ppm,"Tap meter, < 10 mls"
300 A,225.57 A,California Portland Cement,2001-01-02 00:00:00,Liquid,2 ppm as Aroclor 1242,"Tap meter, < 10 mls"
300 A,225.57 A,California Portland Cement,2001-02-02 00:00:00,Liquid,2 ppm as Aroclor 1242,"Tap meter, < 10 mls"
300 A,225.91 A,California Portland Cement,2000-02-24 00:00:00,Wipe, < 1 ug/100cm2,Wipe sample from bottom of meter
300 A,225.91 A,California Portland Cement,2000-04-05 00:00:00,Liquid,ND < 1 ppm,"Primary, downstream"
300 A,225.91 A,California Portland Cement,2000-05-04 00:00:00,Liquid,ND < 1 ppm,"Primary, downstream"
300 A,225.91 A,California Portland Cement,2000-10-02 00:00:00,Liquid,4 ppm as Aroclor 1260,"12 GT Meter, sample taken downstream"
300 A,225.91 A,California Portland Cement,2000-10-02 00:00:00,Liquid,4 ppm as Aroclor 1260,"12 GT Meter, sample taken downstream"
300 A,225.91 A,California Portland Cement Meter,2000-04-19 00:00:00,Liquid,ND < 1ppm,
300 A,225.91 A,California Portland Cement Meter,2000-05-15 00:00:00,Liquid,,Insufficient Sample
300 A,225.91 A,California Portland Cement Meter,2000-06-10 00:00:00,Liquid,1 ppm,
300 A,225.91 A,California Portland Cement Meter,2000-07-24 00:00:00,None,,
300 A,225.91 A,California Portland Cement Meter,2000-08-21 00:00:00,None,,
300 A,225.91 A,California Portland Cement Meter,2000-09-05 00:00:00,Liquid,1 ppm,<10 mls
300 A,225.91 A,California Portland Cement Meter,2000-09-18 00:00:00,None,,no liquid
300 A,225.91 A,California Portland Cement Meter,2000-10-02 00:00:00,None,,no liquid
300 A,225.91 A,California Portland Cement Meter,2001-01-02 00:00:00,None,,no liquid
300 A,116.28 B,P.L.G. X-tie (Pisgah),,None,,Tap not inspected or sampled
300 B,129.92 B,"John R. Mason, Newberry (Customer meter)",2000-02-09 00:00:00,None,,No liquid; no wipe
300 B,129.92 B,"John R. Mason, Newberry (TAP)",2000-02-09 00:00:00,None,,No acceptable sampling point
300 B,130.38 B,Line 300 B insertion meter,2000-02-11 00:00:00,Wipe,ND < 0.7 ug/100cm2,Pulled insertion meter; measured exterior surface area (not including turbine wheel); took wipe sample of measured area
300 B,130.38 B,PLS 2XA Mist Extractor,2000-04-12 00:00:00,Liquid,ND <1ppm,
300 B,131.37 B,RHEOX Chem. Co.,2000-02-08 00:00:00,Liquid,6 ppm         ,"Sample obtained from filter, downstream of regulator. Black thick liquid obtained  Good taps before and after meter available for sampling."
300 B,131.37 B,RHEOX Chem. Co.,2000-02-24 00:00:00,Liquid,14 ppm,"Meter Set, Filter"
300 B,131.37 B,RHEOX Chem. Co.,2000-03-09 00:00:00,Liquid,10 ppm,"Meter Set, Filter"
300 B,131.37 B,RHEOX Chem. Co.,2000-03-21 00:00:00,Liquid,17 ppm,"Meter Set, Filter"
300 B,131.37 B,RHEOX Chem. Co.,2000-04-05 00:00:00,Liquid,13 ppm,"Meter Set, Filter"
300 B,131.37 B,RHEOX Chem. Co.,2000-04-17 00:00:00,Liquid,13 ppm,"Meter Set, Filter"
300 B,131.37 B,RHEOX Chem. Co.,2000-04-17 00:00:00,Liquid,ND < 1ppm,Meter Separator
300 B,131.37 B,RHEOX Chem. Co.,2000-05-03 00:00:00,Liquid,35 ppm,"Meter Set, Filter"
300 B,131.37 B,RHEOX Chem. Co.,2000-05-16 00:00:00,Liquid,12 ppm,"Meter Set, Filter"
300 B,131.37 B,RHEOX Chem. Co.,2000-05-30 00:00:00,Liquid,12 ppm,"Meter Set, Filter"
300 B,131.37 B,RHEOX Chem. Co.,2000-06-13 00:00:00,Liquid,12 ppm,"Meter Set, Filter"
300 B,131.37 B,RHEOX Chem. Co.,2000-06-27 00:00:00,Liquid,12 ppm,"Meter Set, Filter"
300 B,131.37 B,RHEOX Chem. Co.,2000-07-25 00:00:00,Liquid,10 ppm,"Meter Set, Filter, < 10 mls"
300 B,131.37 B,RHEOX Chem. Co.,2000-08-22 00:00:00,None,,no liquid - new filter separator installed
300 B,131.37 B,RHEOX Chem. Co.,2000-09-19 00:00:00,None,,no liquid - new filter separator installed
300 B,131.37 B,RHEOX Chem. Co.,2000-10-03 00:00:00,None,,no liquid - new filter separator installed
300 B,131.37 B,RHEOX Chem. Co.,2000-10-03 00:00:00,None,,no liquid - new filter separator installed
300 B,131.37 B,RHEOX Chem. Co.,2000-12-05 00:00:00,None,,no liquid - new filter separator installed
300 B,131.37 B,RHEOX Chem. Co.,2001-01-03 00:00:00,None,,no liquid - new filter separator installed
300 B,131.37 B,RHEOX Chem. Co.,2001-02-05 00:00:00,Liquid,22 ppm as Aroclor 1242,< 10 mls from separator
300 B,131.37 B,"Interto Co. Newberry, (American Transel Co.)",,None,,Tap not inspected or sampled - Line Abandoned
300 B,135.65 B,Southwest Gas Corp. (Cirano Farm),,None,,Tap not inspected or sampled 
300 B,137.55 B,"SWG, Daggett Airport Tap",2000-02-11 00:00:00,None,,Sample tap available from bottom of filter - No liquids were found.
300 B,138.67 B,Hell's Acre Ranch,,None,,"Tap not inspected or sampled - Service Tee and Valve only. Southwest Gas to furnish meter, etc. "
300 B,140.00 B,Kern River Daggett Intertie,2000-02-10 00:00:00,None,,No liquid  from #7 Bypass valve next to filter separator. Separator is shut-in.
300 B,140.65 B,SEGS 1 Meter Set,2000-02-08 00:00:00,Wipe,< 1ug/100cm2,Wipe taken from 2 inches inside meter casing  on inlet side
300 B,140.65 B,SEGS 1 Meter Set,2000-02-08 00:00:00,Liquid,6 ppm       ,Small amount of clear liquid present at bottom of meter.
300 B,140.65 B,SEGS 1 Meter Set,2000-02-23 00:00:00,Liquid,2 ppm,
300 B,140.65 B,SEGS 1 Meter Set,2000-03-21 00:00:00,Liquid,4 ppm,
300 B,140.65 B,SEGS 1 Meter Set,2000-04-05 00:00:00,Liquid,6 ppm,
300 B,140.65 B,SEGS 1 Meter Set,2000-04-17 00:00:00,Liquid,4 ppm,
300 B,140.65 B,SEGS 1 Meter Set,2000-05-03 00:00:00,Liquid,5 ppm,
,140.65 B,SEGS 1 Meter Set,2000-06-13 00:00:00,Liquid,6 ppm,
300 B,140.65 B,SEGS 1 Primary drip Pot ,2000-02-08 00:00:00,Wipe,< 1ug/100cm2 ,Wipe sample taken from East filter only filter was degraded 
300 B,140.65 B,SEGS 1 Primary drip Pot ,2000-03-09 00:00:00,Liquid,2 ppm,
300 B,140.65 B,SEGS 1 Primary drip Pot ,2000-06-13 00:00:00,Liquid,6 ppm,
300 B,140.65 B,SEGS 1 Primary drip Pot ,2000-06-27 00:00:00,Liquid,5 ppm,
300 B,140.65 B,SEGS 1 Primary drip Pot ,2000-07-25 00:00:00,None,,
300 B,140.65 B,SEGS 1 Primary drip Pot ,2000-08-21 00:00:00,None,,
300 B,140.65 B,SEGS 1 Primary drip Pot ,2000-09-19 00:00:00,None,,Dry
300 B,140.65 B,SEGS 1 Primary drip Pot ,2000-10-03 00:00:00,None,,Dry
300 B,140.65 B,SEGS 1 Primary drip Pot ,2000-11-03 00:00:00,None,,Dry
300 B,140.65 B,SEGS 1 Primary drip Pot ,2000-12-05 00:00:00,None,,Dry
300 B,140.65 B,SEGS 1 Primary drip Pot ,2001-01-03 00:00:00,Liquid,5 ppm,< 10 mls
300 B,140.65 B,SEGS 1 Primary drip Pot ,2001-02-05 00:00:00,Liquid,9 ppm as Aroclor 1016,< 10 mls
300 B,140.91 B,"SWG,  Daggett",2000-02-10 00:00:00,None,,Sample tap available from bottom of filter - No liquids were found.
300 B,159.33 B,"Hinkley Compressor Station K-7, B Outlet",2000-02-15 00:00:00,Liquid,ND < 1 ppm,
300 B,159.33 B,"Hinkley Compressor Station K-7, B Outlet",2000-02-15 00:00:00,Wipe,< 1ug/wipe,
300 B,159.33 B,"Hinkley Compressor Station K-7, B Inlet",2000-02-15 00:00:00,Liquid,1 ppm,
300 B,159.33 B,Hinkley Compressor Station 300B Suction Drip,2000-01-27 00:00:00,Liquid,4 ppm,
300 B,159.33 B,Hinkley Compressor Station 300B Suction Drip,2000-02-10 00:00:00,Liquid,4 ppm,Black liquid obtained. Drip was emptied after sample was obtained 
300 B,159.33 B,Hinkley Compressor Station B        V-211 Inlet Drip,2000-04-20 00:00:00,Liquid,11 ppm,
300 B,159.33 B,Hinkley Compressor Station B        V-211 Inlet Drip,2000-05-02 00:00:00,Liquid,10 ppm,
300 B,159.33 B,Hinkley Compressor Station B        V-211 Inlet Drip,2000-06-15 00:00:00,Liquid,8 ppm,
300 B,159.33 B,Hinkley Compressor Station B        V-211 Inlet Drip,2000-08-18 00:00:00,Liquid,9 ppm,
300 B,159.33 B,Hinkley Compressor Station B        V-211 Inlet Drip,2000-09-05 00:00:00,Liquid,12 ppm,50 mls
300 B,161.02 B,Hinkley Compressor Station B        V-212 Inlet Drip,2000-02-25 00:00:00,Liquid,7 ppm,
300 B,161.02 B,Hinkley Compressor Station B        V-212 Inlet Drip,2000-03-09 00:00:00,Liquid,8 ppm,
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-03-23 00:00:00,Liquid,12 ppm,
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-04-06 00:00:00,Liquid,7 ppm,
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-04-20 00:00:00,Liquid,7 ppm,
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-05-01 00:00:00,Liquid,7 ppm,
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-05-14 00:00:00,Liquid,11 ppm,
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-05-30 00:00:00,Liquid,7 ppm,
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-06-15 00:00:00,Liquid,8 ppm,
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-06-30 00:00:00,Liquid,8 ppm,
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-08-18 00:00:00,Liquid,9 ppm,
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-08-18 00:00:00,Liquid,10 ppm,~40 mls
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-09-18 00:00:00,Liquid,10 ppm,~40 mls
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-10-16 00:00:00,Liquid,12 ppm,~20 mls
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-10-26 00:00:00,Liquid,13 ppm,~15 mls
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-11-20 00:00:00,Liquid,21 ppm,~ 40 mls
300 B,161.02 B,Hinkley Compressor Station B       V-212 Inlet Drip,2000-12-19 00:00:00,Liquid,12,~ 30 mls
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-02-10 00:00:00,Liquid,1ppm,"Sample obtained from bottom of inlet filter to 8"" meter run. "
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-02-25 00:00:00,Liquid,2 ppm,"Sample obtained from 8"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-03-09 00:00:00,Liquid,1 ppm,"Sample obtained from 8"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-03-23 00:00:00,Liquid,2 ppm,"Sample obtained from 8"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-04-23 00:00:00,Liquid,<1 ppm,"Sample obtained from 8"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-05-01 00:00:00,Liquid,1 ppm,"Sample obtained from 8"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-05-14 00:00:00,Liquid,1 ppm,"Sample obtained from 8"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-06-01 00:00:00,Liquid,1 ppm,"Sample obtained from 8"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-06-15 00:00:00,Liquid,2 ppm,"Sample obtained from 8"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-06-30 00:00:00,Liquid,1 ppm,"Sample obtained from 8"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-07-29 00:00:00,Liquid,1 ppm,"Sample obtained from 8"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-08-21 00:00:00,Liquid,2 ppm,"Sample obtained from 8"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-09-05 00:00:00,Liquid,2 ppm,"Sample obtained from 8"" filter, ~10 mls"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-09-19 00:00:00,Liquid,2 ppm,"Sample obtained from 8"" filter, ~10 mls"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-10-03 00:00:00,Liquid,2 ppm,"Sample obtained from 8"" filter, < 10 mls"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-10-17 00:00:00,Liquid,2 ppm,"Sample obtained from 8"" filter, < 10 mls"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-10-27 00:00:00,Liquid,3 ppm,"Sample obtained from 8"" filter, < 10 mls"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-12-19 00:00:00,Liquid,2 ppm as Aroclor 1242,"Sample obtained from 8"" filter, ~10 mls (sample container received broken)"
300 B,168.39 B,"SWG, Harper lake Meter Station",2001-01-22 00:00:00,Liquid,2 ppm as Aroclor 1242,"Sample obtained from 8"" filter, ~10 mls "
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-02-25 00:00:00,Liquid,ND < 1ppm,"Sample taken from 10"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-03-09 00:00:00,Liquid,ND < 1ppm,"Sample taken from 10"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-03-23 00:00:00,Liquid,,Sample container received broken - no analysis
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-04-18 00:00:00,Liquid,2 ppm,"Sample taken from 10"" filter"
300 B,168.39 B,"SWG, Harper lake Meter Station",2000-07-29 00:00:00,None,,"Sample taken from 10"" filter"
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-02-10 00:00:00,Liquid,1 ppm,
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-02-10 00:00:00,Liquid,1 ppm,Liquids obtained from drip. Drip completely drained after sampling. Drip was also drained during first week of 2/2000. 
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-03-09 00:00:00,Liquid,1 ppm,
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-04-06 00:00:00,Liquid,1 ppm,
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-04-19 00:00:00,Liquid,< 1 ppm,
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-05-01 00:00:00,Liquid,ND < 1 ppm,
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-05-14 00:00:00,Liquid,ND < 1 ppm,
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-06-01 00:00:00,Liquid,,Insufficient sample
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-06-15 00:00:00,Liquid,1 ppm,
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-06-30 00:00:00,Liquid,1 ppm,
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-07-29 00:00:00,Liquid,1 ppm,
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-08-21 00:00:00,Liquid,1 ppm,
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-09-06 00:00:00,Liquid,1 ppm,~20 mls
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-09-19 00:00:00,Liquid,2 ppm,~20 mls
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-10-03 00:00:00,Liquid,2 ppm,~20 mls
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-10-17 00:00:00,Liquid,2 ppm,~20 mls
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-10-27 00:00:00,Liquid,2 ppm,~40 mls
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-11-21 00:00:00,Liquid,3 ppm,~15 mls
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2000-12-19 00:00:00,Liquid,2 ppm,~30 mls
300 B,169.95 B,Line 300 B Drip at Victorville Tap,2001-01-23 00:00:00,Liquid,< 1 ppm,~25 mls
300 B,170.44 B,South West Gas - Harper Lake Meter Station,,None,,Tap not inspected or sampled 
300 B,180.11 B,Trona - Main # 311 X,,None,,Tap not inspected or sampled 
300 B,182.00 B,John Wiles Co.,,None,,Farm tap Reg. Set. Tap. Service tap not inspected or sampled and is abandoned 
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-02-10 00:00:00,Liquid,2 ppm,Mist generated during sampling (light coating in bottle only)
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-02-24 00:00:00,Liquid,2 ppm,
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-03-08 00:00:00,Liquid,3 ppm,
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-03-22 00:00:00,Liquid,3 ppm,
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-04-05 00:00:00,Liquid,2 ppm,
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-04-17 00:00:00,Liquid,3 ppm,
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-05-04 00:00:00,Liquid,2 ppm,
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-05-16 00:00:00,Liquid,1 ppm,
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-05-30 00:00:00,Liquid,2 ppm,
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-06-13 00:00:00,Liquid,2 ppm,
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-06-27 00:00:00,Liquid,3 ppm,
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-07-25 00:00:00,Liquid,3 ppm,< 10 mls
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-08-07 00:00:00,Liquid,4 ppm,~10 mls
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-08-22 00:00:00,Liquid,3 ppm,~50 mls liquid
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-09-06 00:00:00,Liquid,"6 ppm as Aroclor 1016, 2 ppm as Aroclor 1254",~10 mls
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-09-18 00:00:00,Liquid,6 ppm,~10 mls
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-10-04 00:00:00,Liquid,4 ppm,~20 mls
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-11-03 00:00:00,Liquid,3 ppm,~20 mls 
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2000-12-04 00:00:00,Liquid,4 ppm,~10 mls 
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2001-01-03 00:00:00,Liquid,13 ppm as Aroclor 1242,~10 mls 
300 B,182.58 B,SEGS 3 & 4 Primary Filter,2001-02-05 00:00:00,Liquid,6 ppm as Aroclor 1242,~25mls 
300 B,182.58 B,"SEGS 5,6 & 7 Primary",2000-02-10 00:00:00,None,,Filter was dry
300 B,182.58 B,SEGS 7 Meter Set,2000-02-10 00:00:00,None,,Turbine mater sample - dry
300 B,187.78 B,Boron Tap,2000-02-10 00:00:00,Liquid,1 ppm,"Primary reg. filter, East run; good sample"
300 B,187.78 B,Boron Tap,2000-02-24 00:00:00,Liquid,2 ppm,
300 B,187.78 B,Boron Tap,2000-03-08 00:00:00,Liquid,1 ppm,
300 B,187.78 B,Boron Tap,2000-04-04 00:00:00,Liquid,1 ppm,
300 B,187.78 B,Boron Tap,2000-04-17 00:00:00,Liquid,1 ppm,
300 B,187.78 B,Boron Tap,2000-05-04 00:00:00,Liquid,1 ppm,
300 B,187.78 B,Boron Tap,2000-05-15 00:00:00,Liquid,1 ppm,
300 B,187.78 B,Boron Tap,2000-06-01 00:00:00,Liquid,1 ppm,
300 B,187.78 B,Boron Tap,2000-06-27 00:00:00,None,,Insufficient sample
300 B,187.78 B,Boron Tap,2000-08-22 00:00:00,None,,no liquids
300 B,187.78 B,Boron Tap,2000-09-06 00:00:00,None,,no liquids
300 B,187.78 B,Boron Tap,2000-09-19 00:00:00,None,,no liquids
300 B,187.78 B,Boron Tap,2000-10-03 00:00:00,None,,no liquids
300 B,187.78 B,Boron Tap,2000-10-31 00:00:00,None,,no liquids
300 B,187.78 B,Boron Tap,2000-12-05 00:00:00,None,,no liquids
300 B,187.78 B,Boron Tap,2001-01-03 00:00:00,None,,no liquids
300 B,187.78 B,Boron High School Dry Gas Meter No. 32707774,2000-03-15 00:00:00,Wipe,ND < 1ug/wipe,Meter removed and replaced. Non-quantitative wipe taken on drain cover and inside of drain cover opening.
300 B,187.78 B,"Joshua Trailer Park, 26611 Nugent, Boron",2000-03-13 00:00:00,Wipe,ND < 1ug/wipe,Non-quantitative wipe inside filter  
300 B,191.14 B,US Borax (Bypass),,None,,Tap not inspected or sampled 
300 B,191.18 B,Desert Lakes US Borax,2000-02-10 00:00:00,None,,"Primary reg. filter, North run; dry (Recheck filter)"
300 B,191.18 B,US Borax  ,,None,,Tap not inspected or sampled 
300 B,197.70 B,"M. Penn Philips Tract, Gilbert St.",,None,,Tap not inspected or sampled; line abandoned
300 B,198.88 B,Edgemont Road District (West Boron Area) Increase Capacity,,None,,"San Joaquin Div., original farm tap and reg. Installed second farm tap and reg. in parallel with existing set. Taps not inspected or sampled. "
300 B,199.24 B,Fountain Trailer Court,,None,,Tap not inspected or sampled - line abandoned in 1987
300 B,203.07 B,PLS 3B Insertion Meter,2000-02-16 00:00:00,Wipe,ND <0.7 ug/100cm2,
300 B,203.07 B,PLS 3B Mist Extractor,2000-04-14 00:00:00,Liquid,ND < 1ppm,
300 B,203.07 B,Emergency Tie-in to Main 300B,,None,,Tap not inspected or sampled 
300 B,239.04 B,Tehachapi,,None,,Tap not inspected or sampled - line abandoned
311 X,54.88,Ridgecrest West End Primary,2000-02-22 00:00:00,Wipe,< 1ug/100cm2 ,Right Filter
311 X,54.88,Ridgecrest West End Primary,2000-04-06 00:00:00,Wipe, ND < 1ug/wipe,Right Filter (non-quantitative wipe)
311 X,54.88,Ridgecrest West End Primary,2000-04-19 00:00:00,Wipe, ND < 1ug/wipe,Right Filter (non-quantitative wipe)
311 X,54.88,Ridgecrest West End Primary,2000-07-24 00:00:00,None,,
311 X,54.88,Ridgecrest West End Primary,2000-09-18 00:00:00,None,,
311 X,54.88,Ridgecrest West End Primary,2000-10-02 00:00:00,None,,
311 X,54.88,Ridgecrest West End Primary,2001-01-02 00:00:00,None,,
311 X,54.88,"IMC Chemical, Trona",2000-04-03 00:00:00,Wipe,"2.6 ug/wipe as Aroclor 1016, 1.2 ug/wipe as Aroclor 1254 ",West End Turbine Meter
311 X,54.88,Ridgecrest West End Turbine Meter,2000-04-19 00:00:00,Liquid,"11 ppm as Aroclor 1016, 12 ppm as Aroclor 1260",
311 X,54.88,Ridgecrest West End Turbine Meter,2000-05-04 00:00:00,Liquid,"11 ppm as Aroclor 1016, 8 ppm as Aroclor 1254",
311 X,54.88,Ridgecrest West End Turbine Meter,2000-05-31 00:00:00,Liquid,"13 ppm as Aroclor 1016, 9 ppm as Aroclor 1254",
311 X,54.88,Ridgecrest West End Turbine Meter,2000-06-12 00:00:00,Liquid,"16 ppm as Aroclor 1016, 7 ppm as Aroclor 1260",
311 X,54.88,Ridgecrest West End Turbine Meter,2000-06-26 00:00:00,Liquid,"11 ppm as Aroclor 1016, 17 ppm as Aroclor 1260",
311 X,54.88,Ridgecrest West End Turbine Meter,2000-07-24 00:00:00,Liquid,"8.4 ppm as Aroclor 1016, 7.9 ppm as Aroclor 1260",
311 X,54.88,Ridgecrest West End Turbine Meter,2000-08-08 00:00:00,Liquid,"29 ppm as Aroclor 1016, 27 ppm as Aroclor 1254",<10 mls
311 X,54.88,Ridgecrest West End Turbine Meter,2000-09-05 00:00:00,Liquid,"6 ppm as Aroclor 1016, 9 ppm as Aroclor 1254",< 10 mls
311 X,54.88,Ridgecrest West End Turbine Meter,2000-09-18 00:00:00,Liquid,"7 ppm as Aroclor 1016, 9 ppm as Aroclor 1260",< 10 mls
311 X,54.88,Ridgecrest West End Turbine Meter,2000-10-02 00:00:00,Liquid,,< 10 mls (Insufficient sample)
311 X,54.88,Ridgecrest West End Process,2000-05-04 00:00:00,Liquid,"4 ppm as Aroclor 1016, 4 ppm as Aroclor 1254",Turbine mater 
311 X,54.88,Ridgecrest West End Process,2000-05-16 00:00:00,Liquid,"4 ppm as Aroclor 1016, 12 ppm as Aroclor 1254",
311 X,54.88,Ridgecrest West End Process,2000-05-31 00:00:00,Liquid,"5 ppm as Aroclor 1016, 8 ppm as Aroclor 1254",
