,,,,,,,ENRON POW,ER TRADING &,TRANSMISSION,,,,,,Run Date,:       08/31,/01,,
728404,IDACORPENE,2001-08-13 00:00:00,2001-08-13 00:00:00,2001-08-13 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1299
730775,IDACORPENE,2001-08-14 00:00:00,2001-08-15 00:00:00,2001-08-15 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-11109
730840,IDACORPENE,2001-08-14 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,584
730841,IDACORPENE,2001-08-14 00:00:00,2001-08-15 00:00:00,2001-08-15 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,10509
730956,IDACORPENE,2001-08-14 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,218
735305,IDACORPENE,2001-08-16 00:00:00,2001-08-18 00:00:00,2001-08-19 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2394
735306,IDACORPENE,2001-08-16 00:00:00,2001-08-18 00:00:00,2001-08-19 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2394
,,,,,,,ENRON POW,ER TRADING &,TRANSMISSION,,,,,,Run Date,:       08/31,/01,,
Report Da,te:  08/31/01,,,,,,,Deal Summar,y,,,,,,Run Time,:       16:10,:59,,
Post ID:,12573,,,,,,,,,,,,,,Page,:       3,,,
Desk: ALB,ERTA-HOURLY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Trade,Start,End,,,,,,,,,,Current,,,,Prior Day,Prior
Deal,Counter,Date,Date,Date,Anty,Delivery,PV'd,Swap Vol,PV'd,Option Vol,Notional,Deal Vol,,Deal,MTM P/L,,LTD,Hedge,Day
Number,Party,MM/DD/YY,MM/DD/YY,MM/DD/YY,Y/N,Point,Peak,Off Peak,Peak,Off Peak,Peak,Off Peak,Price Mid,Basis Mid,Total Mid,Prudent,Liquidations,Management,Liquidations
---------,------------------,--------,--------,--------,----,------------------------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,----------------,---------------,-------------
,,,,,,,,,,,,,,,,,,,
735321,IDACORPENE,2001-08-16 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1171
739637,IDACORPENE,2001-08-20 00:00:00,2001-08-20 00:00:00,2001-08-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1470
706889,ST ALBERTA,2001-07-27 00:00:00,2001-08-01 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-1,-11694
707161,ST ALBERTA,2001-07-27 00:00:00,2001-08-01 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-1,-10764
712898,ST ALBERTA,2001-08-01 00:00:00,2001-08-03 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-2,-2110
715077,ST ALBERTA,2001-08-02 00:00:00,2001-08-07 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,1,2354
721069,ST ALBERTA,2001-08-07 00:00:00,2001-08-09 00:00:00,2001-08-15 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1296
721070,ST ALBERTA,2001-08-07 00:00:00,2001-08-09 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,2,-1330
721084,ST ALBERTA,2001-08-07 00:00:00,2001-08-09 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,2,-640
721378,ST ALBERTA,2001-08-07 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-11152
721606,ST ALBERTA,2001-08-07 00:00:00,2001-08-09 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,2,-2710
723479,ST ALBERTA,2001-08-08 00:00:00,2001-08-09 00:00:00,2001-08-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-5617
725153,ST ALBERTA,2001-08-09 00:00:00,2001-08-13 00:00:00,2001-08-31 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,4,15340
726576,ST ALBERTA,2001-08-10 00:00:00,2001-08-11 00:00:00,2001-08-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2936
726577,ST ALBERTA,2001-08-10 00:00:00,2001-08-13 00:00:00,2001-08-13 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,859
726594,ST ALBERTA,2001-08-10 00:00:00,2001-08-14 00:00:00,2001-08-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-9181
726644,ST ALBERTA,2001-08-10 00:00:00,2001-08-14 00:00:00,2001-08-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-9181
728332,ST ALBERTA,2001-08-13 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-119
728438,ST ALBERTA,2001-08-13 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,36
728785,ST ALBERTA,2001-08-13 00:00:00,2001-08-15 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,1,4378
728966,ST ALBERTA,2001-08-13 00:00:00,2001-08-15 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,3,8755
730428,ST ALBERTA,2001-08-14 00:00:00,2001-08-15 00:00:00,2001-08-15 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,9009
732331,ST ALBERTA,2001-08-15 00:00:00,2001-08-17 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-3,97
733031,ST ALBERTA,2001-08-15 00:00:00,2001-08-17 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-3,1897
734420,ST ALBERTA,2001-08-16 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2371
734562,ST ALBERTA,2001-08-16 00:00:00,2001-08-20 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-2,10212
734640,ST ALBERTA,2001-08-16 00:00:00,2001-08-20 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,2,-8772
734994,ST ALBERTA,2001-08-16 00:00:00,2001-08-20 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,2,-5172
737105,ST ALBERTA,2001-08-17 00:00:00,2001-08-21 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-4,19434
739734,ST ALBERTA,2001-08-20 00:00:00,2001-08-22 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,2,-8876
739737,ST ALBERTA,2001-08-20 00:00:00,2001-08-22 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,2,-8576
741462,ST ALBERTA,2001-08-21 00:00:00,2001-08-23 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,3,-17472
741463,ST ALBERTA,2001-08-21 00:00:00,2001-08-23 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,3,-16932
741464,ST ALBERTA,2001-08-21 00:00:00,2001-08-23 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,2,-8196
747535,ST ALBERTA,2001-08-24 00:00:00,2001-08-28 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-3,11209
749881,ST ALBERTA,2001-08-27 00:00:00,2001-08-29 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-2,5502
753761,ST ALBERTA,2001-08-29 00:00:00,2001-09-01 00:00:00,2001-09-30 00:00:00,No,Financial Deal - R21 (Alberta),-4542,-6216,0,0,-4560,-6240,58486,0,58486,58486,,34758,0
753766,ST ALBERTA,2001-08-29 00:00:00,2001-09-01 00:00:00,2001-09-30 00:00:00,No,Financial Deal - R21 (Alberta),-3028,-4144,0,0,-3040,-4160,37198,0,37198,37198,,23172,0
757227,ST ALBERTA,2001-08-30 00:00:00,2001-09-01 00:00:00,2001-09-30 00:00:00,No,Financial Deal - R21 (Alberta),-4542,-6216,0,0,-4560,-6240,34280,0,34280,34280,,34755,0
757266,ST ALBERTA,2001-08-30 00:00:00,2001-09-01 00:00:00,2001-09-30 00:00:00,No,Financial Deal - R21 (Alberta),-3028,-4144,0,0,-3040,-4160,22853,0,22853,22853,,23170,0
709638,TRANSALTENEMAR,2001-07-30 00:00:00,2001-08-01 00:00:00,2001-08-31 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,-8,-16620
710853,TRANSALTENEMAR,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1206
710954,TRANSALTENEMAR,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6479
710970,TRANSALTENEMAR,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,6479
711112,TRANSALTENEMAR,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6479
711748,TRANSALTENEMAR,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-26518
711965,TRANSALTENEMAR,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,5879
712789,TRANSALTENEMAR,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2717
712823,TRANSALTENEMAR,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,6492
713061,TRANSALTENEMAR,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,4992
713325,TRANSALTENEMAR,2001-08-01 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,270
713326,TRANSALTENEMAR,2001-08-01 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1734
713327,TRANSALTENEMAR,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,4692
713832,TRANSALTENEMAR,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,6792
713839,TRANSALTENEMAR,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-3792
713866,TRANSALTENEMAR,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,6792
714905,TRANSALTENEMAR,2001-08-02 00:00:00,2001-08-03 00:00:00,2001-08-03 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-7904
714916,TRANSALTENEMAR,2001-08-02 00:00:00,2001-08-03 00:00:00,2001-08-03 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-9104
715139,TRANSALTENEMAR,2001-08-02 00:00:00,2001-08-03 00:00:00,2001-08-03 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,8504
715161,TRANSALTENEMAR,2001-08-02 00:00:00,2001-08-04 00:00:00,2001-08-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2423
715176,TRANSALTENEMAR,2001-08-02 00:00:00,2001-08-04 00:00:00,2001-08-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1994
715198,TRANSALTENEMAR,2001-08-02 00:00:00,2001-08-04 00:00:00,2001-08-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-5123
715527,TRANSALTENEMAR,2001-08-02 00:00:00,2001-08-03 00:00:00,2001-08-03 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,10004
715528,TRANSALTENEMAR,2001-08-02 00:00:00,2001-08-03 00:00:00,2001-08-03 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,10304
715878,TRANSALTENEMAR,2001-08-02 00:00:00,2001-08-04 00:00:00,2001-08-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-5123
715892,TRANSALTENEMAR,2001-08-02 00:00:00,2001-08-03 00:00:00,2001-08-03 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-6704
715894,TRANSALTENEMAR,2001-08-02 00:00:00,2001-08-03 00:00:00,2001-08-03 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-5504
717078,TRANSALTENEMAR,2001-08-03 00:00:00,2001-08-07 00:00:00,2001-08-07 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-15472
717079,TRANSALTENEMAR,2001-08-03 00:00:00,2001-08-04 00:00:00,2001-08-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6023
717139,TRANSALTENEMAR,2001-08-03 00:00:00,2001-08-04 00:00:00,2001-08-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6023
717199,TRANSALTENEMAR,2001-08-03 00:00:00,2001-08-07 00:00:00,2001-08-07 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-16072
717425,TRANSALTENEMAR,2001-08-03 00:00:00,2001-08-07 00:00:00,2001-08-07 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-16072
,,,,,,,ENRON POW,ER TRADING &,TRANSMISSION,,,,,,Run Date,:       08/31,/01,,
Report Da,te:  08/31/01,,,,,,,Deal Summar,y,,,,,,Run Time,:       16:10,:59,,
Post ID:,12573,,,,,,,,,,,,,,Page,:       4,,,
Desk: ALB,ERTA-HOURLY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Trade,Start,End,,,,,,,,,,Current,,,,Prior Day,Prior
Deal,Counter,Date,Date,Date,Anty,Delivery,PV'd,Swap Vol,PV'd,Option Vol,Notional,Deal Vol,,Deal,MTM P/L,,LTD,Hedge,Day
Number,Party,MM/DD/YY,MM/DD/YY,MM/DD/YY,Y/N,Point,Peak,Off Peak,Peak,Off Peak,Peak,Off Peak,Price Mid,Basis Mid,Total Mid,Prudent,Liquidations,Management,Liquidations
---------,------------------,--------,--------,--------,----,------------------------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,----------------,---------------,-------------
,,,,,,,,,,,,,,,,,,,
717637,TRANSALTENEMAR,2001-08-03 00:00:00,2001-08-04 00:00:00,2001-08-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,3323
717638,TRANSALTENEMAR,2001-08-03 00:00:00,2001-08-07 00:00:00,2001-08-07 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,15472
721231,TRANSALTENEMAR,2001-08-07 00:00:00,2001-08-07 00:00:00,2001-08-07 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2141
721294,TRANSALTENEMAR,2001-08-07 00:00:00,2001-08-07 00:00:00,2001-08-07 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,973
721557,TRANSALTENEMAR,2001-08-07 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2230
721632,TRANSALTENEMAR,2001-08-07 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-11752
721956,TRANSALTENEMAR,2001-08-07 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-12352
722199,TRANSALTENEMAR,2001-08-07 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,10552
722203,TRANSALTENEMAR,2001-08-07 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-12352
723117,TRANSALTENEMAR,2001-08-08 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2469
723199,TRANSALTENEMAR,2001-08-08 00:00:00,2001-08-09 00:00:00,2001-08-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-5167
725252,TRANSALTENEMAR,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,4461
725254,TRANSALTENEMAR,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,5061
725256,TRANSALTENEMAR,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-7153
725333,TRANSALTENEMAR,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-5061
726458,TRANSALTENEMAR,2001-08-10 00:00:00,2001-08-11 00:00:00,2001-08-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2336
726665,TRANSALTENEMAR,2001-08-10 00:00:00,2001-08-13 00:00:00,2001-08-13 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2597
727338,TRANSALTENEMAR,2001-08-10 00:00:00,2001-08-13 00:00:00,2001-08-13 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-2597
727339,TRANSALTENEMAR,2001-08-10 00:00:00,2001-08-13 00:00:00,2001-08-13 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-2597
727342,TRANSALTENEMAR,2001-08-10 00:00:00,2001-08-13 00:00:00,2001-08-13 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,2897
727343,TRANSALTENEMAR,2001-08-10 00:00:00,2001-08-11 00:00:00,2001-08-12 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-1736
727344,TRANSALTENEMAR,2001-08-10 00:00:00,2001-08-11 00:00:00,2001-08-12 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,3536
728418,TRANSALTENEMAR,2001-08-13 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-481
728718,TRANSALTENEMAR,2001-08-13 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-144
728771,TRANSALTENEMAR,2001-08-13 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-181
731250,TRANSALTENEMAR,2001-08-14 00:00:00,2001-08-15 00:00:00,2001-08-15 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-9009
732083,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6373
732128,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6673
732184,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6973
732598,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-7273
732646,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-6673
732647,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,6973
732648,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,7273
732650,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-15145
733437,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,6673
733438,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,6073
733439,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,6073
733440,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,5473
733441,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,4873
733442,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,4873
733443,TRANSALTENEMAR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,5473
734823,TRANSALTENEMAR,2001-08-16 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1171
734825,TRANSALTENEMAR,2001-08-16 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,571
735302,TRANSALTENEMAR,2001-08-16 00:00:00,2001-08-18 00:00:00,2001-08-19 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,3594
735787,TRANSALTENEMAR,2001-08-16 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-1771
735791,TRANSALTENEMAR,2001-08-16 00:00:00,2001-08-18 00:00:00,2001-08-19 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-4794
737160,TRANSALTENEMAR,2001-08-17 00:00:00,2001-08-18 00:00:00,2001-08-19 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2394
738319,TRANSALTENEMAR,2001-08-17 00:00:00,2001-08-20 00:00:00,2001-08-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-3828
740057,TRANSALTENEMAR,2001-08-20 00:00:00,2001-08-21 00:00:00,2001-08-21 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,5405
740290,TRANSALTENEMAR,2001-08-20 00:00:00,2001-08-21 00:00:00,2001-08-21 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-5855
740351,TRANSALTENEMAR,2001-08-20 00:00:00,2001-08-21 00:00:00,2001-08-21 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2086
740352,TRANSALTENEMAR,2001-08-20 00:00:00,2001-08-21 00:00:00,2001-08-21 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2630
740353,TRANSALTENEMAR,2001-08-20 00:00:00,2001-08-21 00:00:00,2001-08-21 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,448
740354,TRANSALTENEMAR,2001-08-20 00:00:00,2001-08-21 00:00:00,2001-08-21 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,542
741760,TRANSALTENEMAR,2001-08-21 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,251
