ECC Office Position as Basis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECC Office Index Position,,,,,,ECC Office Tolls Position Summary,,,,,,,,,,,
2002-02-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-02-04 00:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sumas,,,Malin,,,Socal,,Rockies,,,Aeco,,Consumers,Parkway,Niagra,Waddington,Dawn,Monchy,Tetco/M3,Kingsgate,Michcon,,Chicago,,,Ventura,,Dawn,,,Transco Zone 6,,PG&E,,,Station 2,,,,Nymex,,Aeco,Empress,Sumas,Station 2,,,,Aeco - ABC,Aeco - Emp,Aeco - McNeil,Total Aeco,,ANG,PGT,FootHills,Northern,TCPL - WADD,TCPL - East Z
2006-05-01 00:00:00,0,-0.25,,-12.73,0.05,,0,0.13,,-0.34,,-281.42935891,-0.35,,12.61,20.36,-23.39,0,0,23.67,-25.46,137.55,12.88,15.15,0.075,,0,-0.0875,,0.1325,,0,0.3225,,0,,0,-0.2833988141235806,,,-167.84935891,3.2030000000000003,,-105.5,30.8,0,0,,,2006-05-01 00:00:00,-125.7,2.43,-67.77,-191.04,,-127.72,,-28.03,-3.84,18.09,-60.02
2006-06-01 00:00:00,0,-0.25,,-12.25,0.05,,0,0.13,,-0.34,,-270.62310361,-0.35,,12.13,19.6,-22.51,0,0,22.79,-24.5,132.39,12.4,14.83,0.075,,0,-0.0875,,0.1325,,0,0.3225,,0,,0,-0.2834114640095966,,,-161.27310361000002,3.2230000000000003,,-101.27,29.65,0,0,,,2006-06-01 00:00:00,-120.99,2.34,-65.23,-183.88,,-122.93,,-26.98,-3.7,17.42,-57.77
2006-07-01 00:00:00,0,-0.25,-0.25,-12.59,0.05,0.05,0,0.13,0.13,-0.34,-0.34,-278.22417214999996,-0.35,-0.35,12.47,20.15,-23.14,0,0,23.42,-25.18,136.08,12.74,15.18,0.075,0.075,0,-0.0875,-0.0875,0.1325,0.1325,0,0.3225,0.3225,0,,0,-0.28342440676013547,-0.2834260270337383,,-165.84417215000002,3.2430000000000003,3.243714285714286,-104.17,30.48,25.18,0,,,2006-07-01 00:00:00,-124.36,2.41,-67.05,-189,,-126.36,,-27.74,-3.8,17.9,-59.38
2006-08-01 00:00:00,0,-0.25,,-12.52,0.05,,0,0.13,,-0.34,,-276.31173991000003,-0.35,,12.4,20.04,-23.01,0,0,23.29,-25.05,135.33,12.67,15.45,0.075,,0,-0.0875,,0.1325,,0,0.3225,,0,,0,-0.28343850446001406,,,-164.54173991000002,3.2630000000000003,,-103.21,30.31,25.05,0,,,2006-08-01 00:00:00,-123.68,2.39,-66.68,-187.97,,-125.66,,-27.58,-3.78,17.8,-59.06
2006-09-01 00:00:00,0,-0.25,,-12.05,0.05,,0,0.13,,-0.34,,-265.89483867,-0.35,,11.93,19.28,-22.15,0,0,22.42,-24.1,130.23,12.2,14.89,0.075,,0,-0.0875,,0.1325,,0,0.3225,,0,,0,-0.2834533367440808,,,-158.33483866999998,3.273,,-99.3,29.17,24.1,0,,,2006-09-01 00:00:00,-119.02,2.3,-64.17,-180.89,,-120.93,,-26.55,-3.64,17.13,-56.83
2006-10-01 00:00:00,0,-0.25,,-12.39,0.05,,0,0.13,,-0.34,,-273.39670532,-0.35,,12.27,19.82,-22.76,0,0,23.04,-24.77,133.84,12.54,15.16,0.075,,0,-0.0875,,0.1325,,0,0.3225,,0,,0,-0.2834683892044567,,,-162.86670532000002,3.2880000000000003,,-102.2,29.97,24.77,0,,,2006-10-01 00:00:00,-122.32,2.37,-65.95,-185.9,,-124.28,,-27.28,-3.74,17.61,-58.41
2006-11-01 00:00:00,0,0.248,-0.04166666666666665,-11.92,0.12,0.07916666666666669,0,0.13,0.13583333333333336,-0.23,-0.2825,-242.46936770000002,-0.34,-0.36041666666666666,-0.1,0,-21.9,0,0,22.17,-23.83,128.79,12.06,14.43,0.07,0.07,0,0.005,-0.04895833333333333,0.175,0.15604166666666672,0,0.65,0.6439583333333332,0,,0,-0.18,-0.25492366213107004,,-143.2393677,3.438,3.4234166666666663,-110.46,62.2,23.83,0,,,2006-11-01 00:00:00,-117.7,-2.5,-63.46,-183.66,,-119.59,,-26.25,-3.6,21.75,-25.21
2006-12-01 00:00:00,0,0.308,,-12.25,0.12,,0,0.13,,-0.23,,-248.77176343000002,-0.34,,-0.06,0,-22.51,0,0,22.78,-24.49,132.34,12.39,15.2,0.07,,0,0.005,,0.175,,0,0.98,,0,,0,-0.1800000000000006,,,-146.77176343,3.588,,-113.27,64.05,24.49,0,,,2006-12-01 00:00:00,-120.95,-2.57,-65.21,-188.73,,-122.89,,-26.97,-3.7,22.35,-25.91
2007-01-01 00:00:00,0,0.37800000000000006,0.25,-12.18,0.12,0.12,0,0.13,0.13,-0.23,-0.23,-248.45,-0.34,-0.34,-0.03,0,-22.38,0,0,22.65,-24.35,131.57,12.32,15.38,0.07,0.07,0,0.005,0.005,0.175,0.175,0,1.6,1.0939999999999999,0,,0,-0.18,-0.18,,-147.01,3.6830000000000003,3.5489999999999995,-112.43,63.77,24.35,0,,,2007-01-01 00:00:00,-120.24,-2.55,-64.83,-187.62,,-122.17,,-26.82,-3.68,22.22,-25.76
2007-02-01 00:00:00,0,0.248,,-10.93,0.12,,0,0.13,,-0.23,,-222.7,-0.34,,-0.03,0,-20.09,0,0,20.33,-21.86,118.14,11.06,14.2,0.07,,0,0.005,,0.175,,0,1.6,,0,,0,-0.18,,,-131.61,3.5780000000000003,,-100.57,57.26,21.86,0,,,2007-02-01 00:00:00,-107.97,-2.29,-58.21,-168.47,,-109.7,,-24.09,-3.3,19.96,-23.13
2007-03-01 00:00:00,0,0.068,,-12.05,0.12,,0,0.13,,-0.23,,-245.47,-0.34,,-0.03,0,-22.15,0,0,22.41,-24.1,130.22,12.2,15.67,0.07,,0,0.005,,0.175,,0,0.64,,0,,0,-0.18,,,-145.07,3.458,,-110.86,63.12,24.1,0,,,2007-03-01 00:00:00,-119.01,-2.53,-64.16,-185.7,,-120.92,,-26.56,-3.64,22.01,-25.5
2007-04-01 00:00:00,0,-0.25,,-11.6,0.05,,0,0.14,,-0.32,,-172.2,-0.375,,-0.03,0,-21.33,-82.52,0,21.58,0,125.4,11.75,15.08,0.07,,0,-0.0875,,0.1425,,0,0.3225,,0,,0,-0.3084986711872535,,,-134.83,3.3030000000000004,,-106.75,124.96,0,0,,,2007-04-01 00:00:00,-114.61,0.32,-61.79,-176.08,,-116.45,,-25.57,-3.51,83.09,-24.55
2007-05-01 00:00:00,0,-0.25,,-11.93,0.05,,0,0.14,,-0.32,,-177.09,-0.375,,-0.03,0,-21.93,-84.86,0,22.2,0,128.97,12.08,15.51,0.07,,0,-0.0875,,0.1425,,0,0.3225,,0,,0,-0.30848040182122194,,,-138.65,3.293,,-109.79,128.52,0,0,,,2007-05-01 00:00:00,-117.86,0.33,-63.54,-181.07,,-119.75,,-26.3,-3.6,85.44,-25.25
2007-06-01 00:00:00,0,-0.25,,-11.49,0.05,,0,0.14,,-0.32,,-170.53,-0.375,,-0.03,0,-21.12,-81.72,0,21.37,0,124.19,11.63,14.93,0.07,,0,-0.0875,,0.1425,,0,0.3225,,0,,0,-0.3084610326929642,,,-133.51,3.313,,-105.72,123.75,0,0,,,2007-06-01 00:00:00,-113.5,0.32,-61.19,-174.37,,-115.32,,-25.32,-3.47,82.28,-24.31
2007-07-01 00:00:00,0,-0.25,-0.25,-11.82,0.05,0.05,0,0.14,0.14,-0.32,-0.32,-175.34,-0.375,-0.375,-0.03,0,-21.72,-84.03,0,21.98,0,127.71,11.96,15.39,0.07,0.07,0,-0.0875,-0.0875,0.1425,0.1425,0,0.3225,0.3225,0,,0,-0.30844181313055286,-0.3084405636532628,,-137.27,3.333,3.333714285714286,-108.72,127.29,23.64,0,,,2007-07-01 00:00:00,-116.71,0.33,-62.92,-179.3,,-118.59,,-26.04,-3.57,84.61,-25
2007-08-01 00:00:00,0,-0.25,,-11.76,0.05,,0,0.14,,-0.32,,-174.46,-0.375,,-0.03,0,-21.61,-83.61,0,21.87,0,127.07,11.9,15.31,0.07,,0,-0.0875,,0.1425,,0,0.3225,,0,,0,-0.30842146151296657,,,-136.59,3.353,,-108.17,126.66,23.52,0,,,2007-08-01 00:00:00,-116.13,0.32,-62.61,-178.42,,-117.99,,-25.91,-3.55,84.18,-24.88
2007-09-01 00:00:00,0,-0.25,,-11.32,0.05,,0,0.14,,-0.32,,-167.97,-0.375,,-0.03,0,-20.81,-80.51,0,21.06,0,122.36,11.46,14.76,0.07,,0,-0.0875,,0.1425,,0,0.3225,,0,,0,-0.3084006101035124,,,-131.5,3.363,,-104.16,121.97,22.64,0,,,2007-09-01 00:00:00,-111.82,0.31,-60.29,-171.8,,-113.61,,-24.95,-3.42,81.06,-23.96
2007-10-01 00:00:00,0,-0.25,,-11.64,0.05,,0,0.14,,-0.32,,-172.73,-0.375,,-0.03,0,-21.4,-82.79,0,21.66,0,125.82,11.78,15.16,0.07,,0,-0.0875,,0.1425,,0,0.3225,,0,,0,-0.308379955124368,,,-135.22,3.378,,-107.1,125.41,23.29,0,,,2007-10-01 00:00:00,-114.98,0.32,-61.99,-176.65,,-116.83,,-25.65,-3.52,83.35,-24.63
2007-11-01 00:00:00,0,0.248,-0.04166666666666665,-11.21,0.135,0.0854166666666667,0,0.13,0.13583333333333336,-0.24,-0.2866666666666666,-259.5,-0.36,-0.3775,0,0,-20.6,0,0,20.85,0,121.14,11.35,14.7,0.07,0.07,0,0.005,-0.04895833333333333,0.1625,0.15083333333333335,0,0.65,0.6439583333333332,0,,0,-0.18,-0.2635148016806715,,-121.23,3.528,3.511333333333333,-103.12,34.04,22.42,0,,,2007-11-01 00:00:00,-110.71,0.31,-59.69,-170.09,,-112.49,,-24.7,-3.39,0,-23.72
2007-12-01 00:00:00,0,0.308,,-11.53,0.135,,0,0.13,,-0.24,,-266.83,-0.36,,0,0,-21.18,0,0,21.44,0,124.56,11.67,15.12,0.07,,0,0.005,,0.1625,,0,0.98,,0,,0,-0.1800000000000006,,,-124.66,3.6780000000000004,,-106.04,35.01,23.05,0,,,2007-12-01 00:00:00,-113.84,0.32,-61.37,-174.89,,-115.66,,-25.39,-3.48,0,-24.39
2008-01-01 00:00:00,0,0.37800000000000006,0.25,-11.47,0.135,0.135,0,0.13,0.13,-0.24,-0.24,-265.46,-0.36,-0.36,0,0,-21.08,0,0,21.33,0,123.93,11.61,15.04,0.07,0.07,0,0.005,0.005,0.1625,0.1625,0,1.6,1.0939999999999999,0,,0,-0.18,-0.18,,-124.02,3.7705,3.6375,-105.49,34.83,22.94,0,,,2008-01-01 00:00:00,-113.26,0.32,-61.06,-174,,-115.07,,-25.26,-3.46,0,-24.26
2008-02-01 00:00:00,0,0.248,,-10.67,0.135,,0,0.13,,-0.24,,-247.06,-0.36,,0,0,-19.61,0,0,19.85,0,115.33,10.8,13.99,0.07,,0,0.005,,0.1625,,0,1.6,,0,,0,-0.18,,,-115.42,3.6655,,-98.18,32.41,21.35,0,,,2008-02-01 00:00:00,-105.4,0.29,-56.83,-161.94,,-107.1,,-23.51,-3.22,0,-22.58
2008-03-01 00:00:00,0,0.068,,-11.35,0.135,,0,0.13,,-0.24,,-262.83,-0.36,,0,0,-20.87,0,0,21.12,0,122.69,11.49,14.89,0.07,,0,0.005,,0.1625,,0,0.64,,0,,0,-0.1800000000000006,,,-122.79,3.5455,,-104.45,34.48,22.71,0,,,2008-03-01 00:00:00,-112.13,0.31,-60.45,-172.27,,-113.93,,-25.01,-3.43,0,-24.02
2008-04-01 00:00:00,0,-0.25,,-10.93,0.05,,0,0.14,,-0.32,,-220.24,-0.39,,0,0,-20.09,0,0,20.33,0,118.12,11.06,14.33,0.07,,0,-0.0875,,0.1425,,0,0.3225,,0,,0,-0.32324379696981875,,,-118.21,3.3905000000000003,,-100.55,33.2,0,0,,,2008-04-01 00:00:00,-107.95,0.3,-58.2,-165.85,,-109.68,,-24.08,-3.3,0,-23.13
2008-05-01 00:00:00,0,-0.25,,-11.24,0.05,,0,0.14,,-0.32,,-226.43,-0.39,,0,0,-20.65,0,0,20.9,0,121.44,11.37,14.73,0.07,,0,-0.0875,,0.1425,,0,0.3225,,0,,0,-0.32321980648200155,,,-121.54,3.3805,,-103.38,34.13,0,0,,,2008-05-01 00:00:00,-110.99,0.31,-59.84,-170.52,,-112.77,,-24.75,-3.39,0,-23.78
2008-06-01 00:00:00,0,-0.25,,-10.82,0.05,,0,0.14,,-0.32,,-217.99,-0.39,,0,0,-19.88,0,0,20.12,0,116.91,10.95,14.19,0.07,,0,-0.0875,,0.1425,,0,0.3225,,0,,0,-0.3231945211716756,,,-117,3.4005,,-99.52,32.86,0,0,,,2008-06-01 00:00:00,-106.85,0.3,-57.6,-164.15,,-108.56,,-23.83,-3.27,0,-22.89
2008-07-01 00:00:00,0,-0.25,-0.25,-11.12,0.05,0.05,0,0.14,0.14,-0.32,-0.32,-224.11,-0.39,-0.39,0,0,-20.44,0,0,20.69,0,120.2,11.26,14.59,0.07,0.07,0,-0.0875,-0.0875,0.1425,0.1425,0,0.3225,0.3225,0,,0,-0.32316957193311246,-0.32316823145257956,,-120.29,3.4205,3.421214285714286,-102.32,33.78,22.24,0,,,2008-07-01 00:00:00,-109.85,0.31,-59.22,-168.76,,-111.61,,-24.49,-3.36,0,-23.53
2008-08-01 00:00:00,0,-0.25,,-11.06,0.05,,0,0.14,,-0.32,,-222.93,-0.39,,0,0,-20.33,0,0,20.58,0,119.56,11.2,14.51,0.07,,0,-0.0875,,0.1425,,0,0.3225,,0,,0,-0.32314329503830175,,,-119.65,3.4405,,-101.78,33.6,22.13,0,,,2008-08-01 00:00:00,-109.27,0.31,-58.91,-167.87,,-111.02,,-24.36,-3.34,0,-23.41
2008-09-01 00:00:00,0,-0.25,,-10.65,0.05,,0,0.14,,-0.32,,-214.59,-0.39,,0,0,-19.57,0,0,19.81,0,115.09,10.78,13.97,0.07,,0,-0.0875,,0.1425,,0,0.3225,,0,,0,-0.3231165135333467,,,-115.18,3.4505000000000003,,-97.98,32.34,21.3,0,,,2008-09-01 00:00:00,-105.18,0.29,-56.71,-161.6,,-106.87,,-23.45,-3.21,0,-22.53
2008-10-01 00:00:00,0,-0.25,,-10.95,0.05,,0,0.14,,-0.32,,-220.6,-0.39,,0,0,-20.12,0,0,20.36,0,118.32,11.08,14.35,0.07,,0,-0.0875,,0.1425,,0,0.3225,,0,,0,-0.3230901150398,,,-118.41,3.4655,,-100.72,33.25,21.9,0,,,2008-10-01 00:00:00,-108.13,0.3,-58.3,-166.13,,-109.86,,-24.1,-3.3,0,-23.16
2008-11-01 00:00:00,0,0.248,-0.04166666666666665,0,0.125,0.08708333333333336,0,0.13,0.13583333333333336,-0.24,-0.2983333333333333,-86.63,-0.34,-0.3925,0,0,0,0,0,19.6,0,0,10.67,13.82,0.07,0.07,0,0.005,-0.04895833333333333,0.1275,0.1275,0,0.65,0.6439583333333332,0,,0,-0.18,-0.2867567724055829,,-0.51,3.6155000000000004,3.598833333333333,-22.32,-10.95,21.08,0,,,2008-11-01 00:00:00,0,0,-56.11,-56.11,,0,,-23.2,-3.18,0,-41.67
2008-12-01 00:00:00,0,0.308,,0,0.125,,0,0.13,,-0.24,,-85.55,-0.34,,0,0,0,0,0,9.67,0,0,10.96,17,0.07,,0,0.005,,0.1275,,0,0.98,,0,,0,-0.18,,,-1.12,3.7655000000000003,,-19.44,-11.26,21.67,0,,,2008-12-01 00:00:00,0,0,-65.43,-65.43,,0,,-30.99,-6.08,0,-42.83
2009-01-01 00:00:00,0,0.37800000000000006,0.25,0,0.125,0.125,0,0.13,0.13,-0.24,-0.24,-53.89,-0.34,-0.34,0,0,0,0,0,0,0,0,0,-0.01,0.07,0.07,0,0.005,0.005,0.1275,0.1275,0,1.6,1.0939999999999999,0,,0,-0.17999999999999927,-0.18,,-0.01,3.858,3.725,0,-0.01,21.55,0,,,2009-01-01 00:00:00,0,0,0,0,,0,,0,0,0,-42.6
2009-02-01 00:00:00,0,0.248,,0,0.125,,0,0.13,,-0.24,,-48.41,-0.34,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,0.005,,0.1275,,0,1.6,,0,,0,-0.18,,,-0.01,3.753,,0,-0.01,19.36,0,,,2009-02-01 00:00:00,0,0,0,0,,0,,0,0,0,-38.27
2009-03-01 00:00:00,0,0.068,,0,0.125,,0,0.13,,-0.24,,-53.33,-0.34,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,0.005,,0.1275,,0,0.64,,0,,0,-0.18,,,-0.01,3.633,,0,-0.01,21.33,0,,,2009-03-01 00:00:00,0,0,0,0,,0,,0,0,0,-42.16
2009-04-01 00:00:00,0,-0.25,,0,0.06,,0,0.14,,-0.34,,-51.33,-0.43,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,-0.0875,,0.1275,,0,0.3225,,0,,0,-0.36298627716201715,,,-0.01,3.478,,0,-0.01,0,0,,,2009-04-01 00:00:00,0,0,0,0,,0,,0,0,0,-40.58
2009-05-01 00:00:00,0,-0.25,,0,0.06,,0,0.14,,-0.34,,-52.76,-0.43,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,-0.0875,,0.1275,,0,0.3225,,0,,0,-0.3629939721050355,,,-0.01,3.468,,0,-0.01,0,0,,,2009-05-01 00:00:00,0,0,0,0,,0,,0,0,0,-41.71
2009-06-01 00:00:00,0,-0.25,,0,0.06,,0,0.14,,-0.34,,-50.78,-0.43,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,-0.0875,,0.1275,,0,0.3225,,0,,0,-0.3630023040700201,,,-0.01,3.488,,0,-0.01,0,0,,,2009-06-01 00:00:00,0,0,0,0,,0,,0,0,0,-40.14
2009-07-01 00:00:00,0,-0.25,-0.25,0,0.06,0.06,0,0.14,0.14,-0.34,-0.34,-52.19,-0.43,-0.43,0,0,0,0,0,0,0,0,0,-0.01,0.07,0.07,0,-0.0875,-0.0875,0.1275,0.1275,0,0.3225,0.3225,0,,0,-0.36301073531115513,-0.36301160983814224,,-0.01,3.508,3.508714285714286,0,-0.01,20.87,0,,,2009-07-01 00:00:00,0,0,0,0,,0,,0,0,0,-41.26
2009-08-01 00:00:00,0,-0.25,,0,0.06,,0,0.14,,-0.34,,-51.9,-0.43,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,-0.0875,,0.1275,,0,0.3225,,0,,0,-0.3630198276962142,,,-0.01,3.528,,0,-0.01,20.76,0,,,2009-08-01 00:00:00,0,0,0,0,,0,,0,0,0,-41.03
2009-09-01 00:00:00,0,-0.25,,0,0.06,,0,0.14,,-0.34,,-49.95,-0.43,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,-0.0875,,0.1275,,0,0.3225,,0,,0,-0.3630293061900156,,,-0.01,3.5380000000000003,,0,-0.01,19.97,0,,,2009-09-01 00:00:00,0,0,0,0,,0,,0,0,0,-39.49
2009-10-01 00:00:00,0,-0.25,,0,0.06,,0,0.14,,-0.34,,-51.33,-0.43,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,-0.0875,,0.1275,,0,0.3225,,0,,0,-0.3630388463325378,,,-0.01,3.5530000000000004,,0,-0.01,20.53,0,,,2009-10-01 00:00:00,0,0,0,0,,0,,0,0,0,-40.58
2009-11-01 00:00:00,0,0.248,-0.04166666666666665,0,0.125,0.08708333333333336,0,0.13,0.13583333333333336,-0.24,-0.2925,-39.52,-0.35,-0.3966666666666667,0,0,0,0,0,0,0,0,0,-0.01,0.07,0.07,0,0.005,-0.04895833333333333,0.11,0.145,0,0.65,0.6439583333333332,0,,0,-0.18,-0.28683351058066964,,-0.01,3.7030000000000003,3.6863333333333337,0,-0.01,19.76,0,,,2009-11-01 00:00:00,0,0,0,0,,0,,0,0,0,-56.5
2009-12-01 00:00:00,0,0.308,,0,0.125,,0,0.13,,-0.24,,-40.61,-0.35,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,0.005,,0.11,,0,0.98,,0,,0,-0.1800000000000006,,,-0.01,3.853,,0,-0.01,20.3,0,,,2009-12-01 00:00:00,0,0,0,0,,0,,0,0,0,-58.06
2010-01-01 00:00:00,0,0.37800000000000006,0.25,0,0.125,0.125,0,0.13,0.13,-0.24,-0.24,-40.38,-0.35,-0.35,0,0,0,0,0,0,0,0,0,-0.01,0.07,0.07,0,0.005,0.005,0.11,0.11,0,1.6,1.0939999999999999,0,,0,-0.18,-0.18,,-0.01,3.9455,3.8125,0,-0.01,20.19,0,,,2010-01-01 00:00:00,0,0,0,0,,0,,0,0,0,-57.74
2010-02-01 00:00:00,0,0.248,,0,0.125,,0,0.13,,-0.24,,-36.27,-0.35,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,0.005,,0.11,,0,1.6,,0,,0,-0.18,,,-0.01,3.8405,,0,-0.01,18.13,0,,,2010-02-01 00:00:00,0,0,0,0,,0,,0,0,0,-51.85
2010-03-01 00:00:00,0,0.068,,0,0.125,,0,0.13,,-0.24,,-39.95,-0.35,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,0.005,,0.11,,0,0.64,,0,,0,-0.18,,,-0.01,3.7205000000000004,,0,-0.01,19.97,0,,,2010-03-01 00:00:00,0,0,0,0,,0,,0,0,0,-57.11
2010-04-01 00:00:00,0,-0.25,,0,0.06,,0,0.14,,-0.33,,-38.44,-0.43,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,-0.0875,,0.17,,0,0.3225,,0,,0,-0.36310445661633484,,,-0.01,3.5655,,0,-0.01,0,0,,,2010-04-01 00:00:00,0,0,0,0,,0,,0,0,0,-54.95
2010-05-01 00:00:00,0,-0.25,,0,0.06,,0,0.14,,-0.33,,-39.5,-0.43,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,-0.0875,,0.17,,0,0.3225,,0,,0,-0.3631165439726498,,,-0.01,3.5555000000000003,,0,-0.01,0,0,,,2010-05-01 00:00:00,0,0,0,0,,0,,0,0,0,-56.47
2010-06-01 00:00:00,0,-0.25,,0,0.06,,0,0.14,,-0.33,,-38,-0.43,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,-0.0875,,0.17,,0,0.3225,,0,,0,-0.3631294118684725,,,-0.01,3.5755000000000003,,0,-0.01,0,0,,,2010-06-01 00:00:00,0,0,0,0,,0,,0,0,0,-54.33
2010-07-01 00:00:00,0,-0.25,-0.25,0,0.06,0.06,0,0.14,0.14,-0.33,-0.33,-39.05,-0.43,-0.43,0,0,0,0,0,0,0,0,0,-0.01,0.07,0.07,0,-0.0875,-0.0875,0.17,0.17,0,0.3225,0.3225,0,,0,-0.36314222984499933,-0.36314316099543353,,-0.01,3.5955000000000004,3.596214285714286,0,-0.01,19.52,0,,,2010-07-01 00:00:00,0,0,0,0,,0,,0,0,0,-55.83
2010-08-01 00:00:00,0,-0.25,,0,0.06,,0,0.14,,-0.33,,-38.82,-0.43,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,-0.0875,,0.17,,0,0.3225,,0,,0,-0.3631558521436169,,,-0.01,3.6155000000000004,,0,-0.01,19.41,0,,,2010-08-01 00:00:00,0,0,0,0,,0,,0,0,0,-55.5
2010-09-01 00:00:00,0,-0.25,,0,0.06,,0,0.14,,-0.33,,-37.35,-0.43,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,-0.0875,,0.17,,0,0.3225,,0,,0,-0.363169857378157,,,-0.01,3.6255,,0,-0.01,18.67,0,,,2010-09-01 00:00:00,0,0,0,0,,0,,0,0,0,-53.4
2010-10-01 00:00:00,0,-0.25,,0,0.06,,0,0.14,,-0.33,,-38.38,-0.43,,0,0,0,0,0,0,0,0,0,-0.01,0.07,,0,-0.0875,,0.17,,0,0.3225,,0,,0,-0.3631837751438045,,,-0.01,3.6405000000000003,,0,-0.01,19.18,0,,,2010-10-01 00:00:00,0,0,0,0,,0,,0,0,0,-54.87
2010-11-01 00:00:00,0,0.248,0.03333333333333336,0,0.125,0.052083333333333336,0,0.15,0.16166666666666665,-0.24,-0.2925,-18.47,-0.39,-0.425,0,0,0,0,0,0,0,0,0,-0.01,0.07,0.07,0,0.005,-0.04895833333333333,0.11,0.145,0,0.65,0.6439583333333332,0,,0,-0.18,-0.2986079000973249,,-0.01,3.7905,3.773833333333334,0,-0.01,18.46,0,,,2010-11-01 00:00:00,0,0,0,0,,0,,0,0,0,-52.78
2010-12-01 00:00:00,0,0.308,,0,0.125,,0,0.15,,-0.24,,-18.96,-0.39,,0,0,0,0,0,0,0,0,0,0,0.07,,0,0.005,,0.11,,0,0.98,,0,,0,-0.18,,,0,3.9405,,0,0,18.96,0,,,2010-12-01 00:00:00,0,0,0,0,,0,,0,0,0,-54.23
2011-01-01 00:00:00,0,0.37800000000000006,0.25,0,0.125,0.125,0,0.15,0.15,-0.24,-0.24,0,-0.39,-0.39,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0.005,0.005,0.11,0.11,0,1.6,1.0939999999999999,0,,0,-0.18,-0.18,,0,4.033,3.9,0,0,18.85,0,,,2011-01-01 00:00:00,0,0,0,0,,0,,0,0,0,-53.91
2011-02-01 00:00:00,0,0.248,,0,0.125,,0,0.15,,-0.24,,0,-0.39,,0,0,0,0,0,0,0,0,0,0,0.07,,0,0.005,,0.11,,0,1.6,,0,,0,-0.1800000000000006,,,0,3.9280000000000004,,0,0,16.92,0,,,2011-02-01 00:00:00,0,0,0,0,,0,,0,0,0,-48.4
2011-03-01 00:00:00,0,0.068,,0,0.125,,0,0.15,,-0.24,,0,-0.39,,0,0,0,0,0,0,0,0,0,0,0.07,,0,0.005,,0.11,,0,0.64,,0,,0,-0.18,,,0,3.8080000000000003,,0,0,18.64,0,,,2011-03-01 00:00:00,0,0,0,0,,0,,0,0,0,-53.3
2011-04-01 00:00:00,0,-0.25,,0,0,,0,0.17,,-0.33,,0,-0.45,,0,0,0,0,0,0,0,0,0,0,0.07,,0,-0.0875,,0.17,,0,0.3225,,0,,0,-0.3832758737408457,,,0,3.653,,0,0,0,0,,,2011-04-01 00:00:00,0,0,0,0,,0,,0,0,0,-51.27
2011-05-01 00:00:00,0,-0.1,,0,0,,0,0.17,,-0.33,,0,-0.45,,0,0,0,0,0,0,0,0,0,0,0.07,,0,-0.0875,,0.17,,0,0.3225,,0,,0,-0.38329231522436347,,,0,3.6430000000000002,,0,0,0,0,,,2011-05-01 00:00:00,0,0,0,0,,0,,0,0,0,-52.67
2011-06-01 00:00:00,0,-0.1,,0,0,,0,0.17,,-0.33,,0,-0.45,,0,0,0,0,0,0,0,0,0,0,0.07,,0,-0.0875,,0.17,,0,0.3225,,0,,0,-0.38330967859724785,,,0,3.6630000000000003,,0,0,0,0,,,2011-06-01 00:00:00,0,0,0,0,,0,,0,0,0,-50.67
2011-07-01 00:00:00,0,-0.1,-0.12142857142857141,0,0,0.0,0,0.17,0.17,-0.33,-0.33,0,-0.45,-0.45,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,-0.0875,-0.0875,0.17,0.17,0,0.3225,0.3225,0,,0,-0.3833268432989696,-0.38332782873827115,,0,3.6830000000000003,3.6837142857142857,0,0,0,0,,,2011-07-01 00:00:00,0,0,0,0,,0,,0,0,0,-52.05
2011-08-01 00:00:00,0,-0.1,,0,0,,0,0.17,,-0.33,,0,-0.45,,0,0,0,0,0,0,0,0,0,0,0.07,,0,-0.0875,,0.17,,0,0.3225,,0,,0,-0.3833449532786073,,,0,3.7030000000000003,,0,0,0,0,,,2011-08-01 00:00:00,0,0,0,0,,0,,0,0,0,-51.73
