Overall Summary for All Cases Examined,,,,,,,,,,,,,,,,,,,,,,
Results in Mdth/d by Contract Category,,,,,,,,,,,,,,,,,,,,,,
,,,Study 2,Study 2,,Study 1,Study 1,,Study 1b,Study 1b,,Study 3,Study 3,,Study 3b,Study 3b,,Study 4a,Study 4a,,Study 4b,Study 4b
,City of Los Angeles DWP ,,36828,0,,36828,1084,,36828,0,,36828,9503,,36828,502,,36828,15528,,36828,13308
,"City of Mesa, Arizona ",,14247,0,,17373,513,,16734,0,,25288,6911,,12000,165,,29000,13752,,29000,11146
,"City of Morton, Texas ",,477,0,,721,0,,460,0,,787,0,,541,0,,787,0,,787,0
,"City of Plains, Texas ",,281,0,,431,0,,256,0,,526,0,,344,0,,526,0,,526,0
,"City of Safford, Arizona ",,1301,0,,2043,0,,1869,0,,2076,0,,1656,0,,2076,0,,2076,0
,"City of Socorro, New Mexico ",,1060,0,,1668,0,,1487,0,,2403,0,,1802,0,,2569,0,,2569,0
,"City of Spur, Texas ",,195,0,,355,0,,144,0,,384,0,,225,0,,384,0,,384,0
,"City of Whiteface, Texas ",,101,0,,149,0,,147,0,,169,0,,168,0,,169,0,,169,0
,"City of Willcox, Arizona ",,616,0,,991,0,,894,0,,1052,0,,586,0,,1052,0,,1052,0
,Colorado Greenhouse ,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0
,Conoco,,46035,0,,46035,0,,46035,0,,46035,0,,46035,513,,46035,0,,46035,0
,Coral Energy Resources ,,14831,0,,14831,0,,14831,0,,14831,0,,14831,0,,14831,0,,14831,0
,"Corona, New Mexico, Village of ",,35,0,,52,0,,51,0,,73,0,,63,0,,73,0,,73,0
,Duke Energy Trading & Marketing ,,7388,0,,7388,1,,7388,0,,7388,0,,7388,1,,7388,0,,7388,0
,Duke Energy Trading and Marketing ,,204309,0,,204309,0,,204309,0,,204309,0,,204309,0,,204309,0,,204309,0
,"Dumas, Texas, City of ",,2989,0,,5010,0,,2729,0,,5391,0,,3542,0,,7332,0,,7332,0
,Duncan Rural Services Corporation ,,232,0,,343,0,,319,0,,406,0,,336,0,,406,0,,406,0
,Dynegy Marketing and Trade ,,56417,0,,56417,0,,56417,0,,56417,2543,,56417,0,,56417,3737,,56417,2819
,El Paso Electric Company ,,37318,0,,74293,4265,,46653,0,,139336,47878,,70782,1696,,110000,56913,,110000,49904
,El Paso Merchant Energy Gas ,,269932,0,,269932,13989,,269932,0,,269932,79801,,269932,5831,,269932,111925,,269932,104006
,"El Paso Merchant Energy,LP ",,7000,0,,7000,403,,7000,0,,7000,2294,,7000,169,,7000,3219,,7000,2989
,EMW Gas Association ,,1907,0,,2854,0,,2415,0,,4088,0,,3290,0,,4362,0,,4362,0
,Enron ,,16495,0,,16495,0,,16495,0,,16495,0,,16495,184,,16495,0,,16495,0
,Enron North America ,,250081,0,,250081,12421,,250081,0,,250081,70862,,250081,5179,,250081,99388,,250081,92358
,Enron North America Corp. ,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0
,Giant ,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0
,"Graham County Utilities, Inc. ",,1310,0,,1967,0,,1909,0,,2320,0,,1915,0,,2320,0,,2320,0
,Kerr-McGee Corporation ,,471,0,,471,15,,471,0,,471,125,,471,8,,471,203,,471,174
,"McLean, Texas, City of ",,321,0,,508,0,,250,0,,513,0,,340,0,,626,0,,626,0
,Mexicana de Cobre ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0
,MGI Supply ,,148956,0,,148956,0,,148956,0,,148956,11074,,148956,0,,148956,17792,,148956,10193
,"MGI Supply, Ltd. (Naco) ",,23000,0,,8975,264,,7771,0,,52949,30572,,4662,64,,30000,14675,,30000,11927
,Mirant Americas Energy Marketing ,,5909,0,,5909,175,,5909,0,,5909,1527,,5909,81,,5909,2497,,5909,2139
,Mission Energy Fuel Company ,,7161,0,,7161,412,,7161,0,,7161,2485,,7161,172,,7161,3698,,7161,3251
,Natural Gas Processing Co.,,5849,0,,7207,0,,5948,0,,10326,0,,5664,0,,10326,0,,10326,0
,Navajo Tribal Utility Authority ,,12419,0,,18480,1,,6539,0,,18033,28,,7908,3,,26000,8,,24000,36
,North Bailey Cooperative Society ,,148,0,,174,0,,20,0,,64,0,,17,0,,174,0,,174,0
,Occidental Energy Marketing ,,18950,0,,18950,243,,18950,0,,18950,2114,,18950,114,,18950,3453,,18950,2956
,Odessa-Ector Power Partners ,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0
,OneOK Energy Marketing ,,111650,0,,111650,0,,111650,0,,111650,3059,,111650,183,,111650,5480,,111650,4472
,Paramount Petroleum Corporation ,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0
,PG&E ,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0
,PG&E Energy Trading-Gas Corporation ,,230990,0,,230990,0,,230990,0,,230990,25262,,230990,0,,230990,31858,,230990,26059
,Phelps Dodge ,,12276,0,,12276,362,,12276,0,,12276,2404,,12276,168,,12276,3910,,12276,2643
,Phelps Dodge Corporation ,,20256,0,,38867,1150,,23225,0,,57639,16154,,27194,380,,49870,24421,,49870,19854
,Phillips Petroleum Company ,,30575,0,,30575,0,,30575,0,,30575,0,,30575,0,,30575,0,,30575,0
,Pimalco ,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0
,PNM Gas Services ,,33215,0,,113478,198,,80675,0,,134365,14199,,68961,179,,183061,32484,,183061,26119
,PPL Energy Plus ,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0
,Reliant Energy Services ,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0
,Rio Grande Natural Gas Association ,,4737,0,,5221,0,,5762,0,,7367,0,,6757,0,,11000,0,,3000,0
,Sacramento Municipal Utility ,,10000,0,,10000,294,,10000,0,,10000,2582,,10000,137,,10000,4220,,10000,3615
,Saguaro Power Company ,,20460,0,,20460,602,,20460,0,,20460,5282,,20460,280,,20460,8632,,20460,7396
,Salt River Project ,,48341,0,,106406,0,,4729,0,,262891,0,,142406,0,,364000,25918,,230000,2059
,San Diego Gas & Electric ,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0
,San Diego Gas and Electric Company ,,10230,0,,10230,302,,10230,0,,10230,2866,,10230,140,,10230,5007,,10230,4069
,Sempra Energy Trading ,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0
,Sempra Energy Trading Corp. ,,5949,0,,5949,116,,5949,0,,5949,1008,,5949,55,,5949,1647,,5949,1410
,"Southdown, Inc. ",,2,0,,2,1,,0,0,,2,2,,0,0,,2,2,,2,2
,Southern California Gas Company ,,1195258,0,,1195258,1,,1195258,0,,1195258,0,,1195258,0,,1195258,0,,1195258,0
,Southern Union Gas Company ,,78688,0,,118076,2778,,98383,0,,167701,40278,,122110,1430,,280600,126085,,280600,96280
,Southwest Gas Corporation ,,491773,0,,491017,14410,,507858,0,,735817,203780,,470522,6391,,1130415,539736,,1130415,442169
,"Sterling Natural Gas, Inc. ",,99,0,,146,0,,77,0,,291,0,,173,0,,291,0,,291,0
,Tenaska Marketing Ventures ,,61150,0,,61150,0,,61150,0,,61150,0,,61150,0,,61150,0,,61150,0
,Texaco Natural Gas ,,50208,0,,50208,1336,,50208,0,,50208,11474,,50208,618,,50208,18848,,50208,15830
,Texaco Natural Gas Inc. ,,187224,0,,187224,5265,,187224,0,,187224,45218,,187224,2436,,187224,74281,,187224,62382
,"Town of Mountainair, New Mexico ",,218,0,,339,0,,319,0,,186,0,,155,0,,339,0,,339,0
,"Tractabel Energy Marketing, Inc.",,13000,0,,13000,384,,13000,0,,13000,3355,,13000,178,,13000,5483,,13000,4698
,U.S. Borax & Chemical Corporation ,,19437,0,,19437,1117,,19437,0,,19437,6213,,19437,466,,19437,8480,,19437,8006
,United States Gypsum ,,442,0,,442,8,,442,0,,442,63,,442,3,,442,105,,442,88
,West Texas Gas ,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0
,"West Texas Gas, Inc. ",,1490,0,,1490,0,,1490,0,,1490,26,,1490,2,,1490,107,,1490,87
,Williams ,,101585,0,,101585,2987,,101585,0,,101585,25658,,101585,1383,,101585,42150,,101585,35397
,Williams Energy Marketing and Trade ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0
,Zia Natural Gas Company ,,409,0,,675,63,,377,0,,580,0,,369,0,,1027,415,,1027,415
,Total,,5103752,0,,5466154,79894,,5133093,0,,6261742,861636,,5365168,35496,,7238316,1791280,,6826079,1364105
,Check Totals - Zero if Equal,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
