YEAR,MONTH,DAY,SumOfSum Of UTILIZED_CAPACITY_QTY,EFFECTIVE_DTM By Day
2000,4,8,81620,"Saturday, April 08, 2000"
2000,4,9,89818,"Sunday, April 09, 2000"
2000,4,10,82757,"Monday, April 10, 2000"
2000,4,11,80046,"Tuesday, April 11, 2000"
2000,4,12,79404,"Wednesday, April 12, 2000"
2000,4,13,79437,"Thursday, April 13, 2000"
2000,4,14,83328,"Friday, April 14, 2000"
2000,4,15,81107,"Saturday, April 15, 2000"
2000,4,16,81257,"Sunday, April 16, 2000"
2000,4,17,85977,"Monday, April 17, 2000"
2000,4,18,64594,"Tuesday, April 18, 2000"
2000,4,19,66452,"Wednesday, April 19, 2000"
2000,4,20,71966,"Thursday, April 20, 2000"
2000,4,21,64745,"Friday, April 21, 2000"
2000,4,22,61530,"Saturday, April 22, 2000"
2000,4,23,66441,"Sunday, April 23, 2000"
2000,4,24,62050,"Monday, April 24, 2000"
2000,4,25,60709,"Tuesday, April 25, 2000"
2000,4,26,60927,"Wednesday, April 26, 2000"
2000,4,27,82189,"Thursday, April 27, 2000"
2000,4,28,76058,"Friday, April 28, 2000"
2000,4,29,66965,"Saturday, April 29, 2000"
2000,4,30,67113,"Sunday, April 30, 2000"
2000,5,1,78390,"Monday, May 01, 2000"
2000,5,2,82959,"Tuesday, May 02, 2000"
2000,5,3,82925,"Wednesday, May 03, 2000"
2000,5,4,82965,"Thursday, May 04, 2000"
2000,5,5,95638,"Friday, May 05, 2000"
2000,5,6,95568,"Saturday, May 06, 2000"
2000,5,7,82915,"Sunday, May 07, 2000"
2000,5,8,83450,"Monday, May 08, 2000"
2000,5,9,94678,"Tuesday, May 09, 2000"
2000,5,10,135810,"Wednesday, May 10, 2000"
2000,5,11,135810,"Thursday, May 11, 2000"
2000,5,12,96016,"Friday, May 12, 2000"
2000,5,13,85218,"Saturday, May 13, 2000"
2000,5,14,74537,"Sunday, May 14, 2000"
2000,5,15,86074,"Monday, May 15, 2000"
2000,5,16,87120,"Tuesday, May 16, 2000"
2000,5,17,86870,"Wednesday, May 17, 2000"
2000,5,18,74094,"Thursday, May 18, 2000"
2000,5,19,79289,"Friday, May 19, 2000"
2000,5,20,97710,"Saturday, May 20, 2000"
2000,5,21,97820,"Sunday, May 21, 2000"
2000,5,22,98669,"Monday, May 22, 2000"
2000,5,23,103609,"Tuesday, May 23, 2000"
2000,5,24,84290,"Wednesday, May 24, 2000"
2000,5,25,84790,"Thursday, May 25, 2000"
2000,5,26,73510,"Friday, May 26, 2000"
2000,5,27,91511,"Saturday, May 27, 2000"
2000,5,28,91360,"Sunday, May 28, 2000"
2000,5,29,92151,"Monday, May 29, 2000"
2000,5,30,92092,"Tuesday, May 30, 2000"
2000,5,31,79635,"Wednesday, May 31, 2000"
2000,6,1,74600,"Thursday, June 01, 2000"
2000,6,2,71618,"Friday, June 02, 2000"
2000,6,3,66117,"Saturday, June 03, 2000"
2000,6,4,66250,"Sunday, June 04, 2000"
2000,6,5,66647,"Monday, June 05, 2000"
2000,6,6,103676,"Tuesday, June 06, 2000"
2000,6,7,80209,"Wednesday, June 07, 2000"
2000,6,8,109051,"Thursday, June 08, 2000"
2000,6,9,77089,"Friday, June 09, 2000"
2000,6,10,91660,"Saturday, June 10, 2000"
2000,6,11,91751,"Sunday, June 11, 2000"
2000,6,12,111114,"Monday, June 12, 2000"
2000,6,13,119413,"Tuesday, June 13, 2000"
2000,6,14,123499,"Wednesday, June 14, 2000"
2000,6,15,121809,"Thursday, June 15, 2000"
2000,6,16,104543,"Friday, June 16, 2000"
2000,6,17,103245,"Saturday, June 17, 2000"
2000,6,18,114136,"Sunday, June 18, 2000"
2000,6,19,114437,"Monday, June 19, 2000"
2000,6,20,121200,"Tuesday, June 20, 2000"
2000,6,21,114360,"Wednesday, June 21, 2000"
2000,6,22,119034,"Thursday, June 22, 2000"
2000,6,23,100048,"Friday, June 23, 2000"
2000,6,24,105202,"Saturday, June 24, 2000"
2000,6,25,105251,"Sunday, June 25, 2000"
2000,6,26,114374,"Monday, June 26, 2000"
2000,6,27,109331,"Tuesday, June 27, 2000"
2000,6,28,109402,"Wednesday, June 28, 2000"
2000,6,29,102102,"Thursday, June 29, 2000"
2000,6,30,102075,"Friday, June 30, 2000"
2000,7,1,115373,"Saturday, July 01, 2000"
2000,7,2,104408,"Sunday, July 02, 2000"
2000,7,3,118487,"Monday, July 03, 2000"
2000,7,4,95119,"Tuesday, July 04, 2000"
2000,7,5,115968,"Wednesday, July 05, 2000"
2000,7,6,100485,"Thursday, July 06, 2000"
2000,7,7,116122,"Friday, July 07, 2000"
2000,7,8,99964,"Saturday, July 08, 2000"
2000,7,9,92211,"Sunday, July 09, 2000"
2000,7,10,95388,"Monday, July 10, 2000"
2000,7,11,93055,"Tuesday, July 11, 2000"
2000,7,12,82618,"Wednesday, July 12, 2000"
2000,7,13,88516,"Thursday, July 13, 2000"
2000,7,14,78982,"Friday, July 14, 2000"
2000,7,15,74692,"Saturday, July 15, 2000"
2000,7,16,75804,"Sunday, July 16, 2000"
2000,7,17,78262,"Monday, July 17, 2000"
2000,7,18,78250,"Tuesday, July 18, 2000"
2000,7,19,97325,"Wednesday, July 19, 2000"
2000,7,20,78334,"Thursday, July 20, 2000"
2000,7,21,94927,"Friday, July 21, 2000"
2000,7,22,80027,"Saturday, July 22, 2000"
2000,7,23,80226,"Sunday, July 23, 2000"
2000,7,24,80079,"Monday, July 24, 2000"
2000,7,25,78784,"Tuesday, July 25, 2000"
2000,7,26,78800,"Wednesday, July 26, 2000"
2000,7,27,79174,"Thursday, July 27, 2000"
2000,7,28,79096,"Friday, July 28, 2000"
2000,7,29,78466,"Saturday, July 29, 2000"
2000,7,30,78471,"Sunday, July 30, 2000"
2000,7,31,79209,"Monday, July 31, 2000"
2000,8,1,79389,"Tuesday, August 01, 2000"
2000,8,2,79459,"Wednesday, August 02, 2000"
2000,8,3,78114,"Thursday, August 03, 2000"
2000,8,4,79339,"Friday, August 04, 2000"
2000,8,5,73430,"Saturday, August 05, 2000"
2000,8,6,73468,"Sunday, August 06, 2000"
2000,8,7,76013,"Monday, August 07, 2000"
2000,8,8,76540,"Tuesday, August 08, 2000"
2000,8,9,71508,"Wednesday, August 09, 2000"
2000,8,10,68272,"Thursday, August 10, 2000"
2000,8,11,71291,"Friday, August 11, 2000"
2000,8,12,69797,"Saturday, August 12, 2000"
2000,8,13,69897,"Sunday, August 13, 2000"
2000,8,14,69689,"Monday, August 14, 2000"
2000,8,15,65759,"Tuesday, August 15, 2000"
2000,8,16,69857,"Wednesday, August 16, 2000"
2000,8,17,60316,"Thursday, August 17, 2000"
2000,8,18,78799,"Friday, August 18, 2000"
2000,8,19,81866,"Saturday, August 19, 2000"
2000,8,20,86032,"Sunday, August 20, 2000"
2000,8,21,88002,"Monday, August 21, 2000"
2000,8,22,84681,"Tuesday, August 22, 2000"
2000,8,23,69520,"Wednesday, August 23, 2000"
2000,8,24,82314,"Thursday, August 24, 2000"
2000,8,25,81967,"Friday, August 25, 2000"
2000,8,26,89614,"Saturday, August 26, 2000"
2000,8,27,89615,"Sunday, August 27, 2000"
2000,8,28,91408,"Monday, August 28, 2000"
2000,8,29,83589,"Tuesday, August 29, 2000"
2000,8,30,86521,"Wednesday, August 30, 2000"
2000,8,31,78604,"Thursday, August 31, 2000"
2000,9,1,74711,"Friday, September 01, 2000"
2000,9,2,57877,"Saturday, September 02, 2000"
2000,9,3,57455,"Sunday, September 03, 2000"
2000,9,4,57312,"Monday, September 04, 2000"
2000,9,5,49008,"Tuesday, September 05, 2000"
2000,9,6,66872,"Wednesday, September 06, 2000"
2000,9,7,56389,"Thursday, September 07, 2000"
2000,9,8,54167,"Friday, September 08, 2000"
2000,9,9,53064,"Saturday, September 09, 2000"
2000,9,10,54572,"Sunday, September 10, 2000"
2000,9,11,54373,"Monday, September 11, 2000"
2000,9,12,62515,"Tuesday, September 12, 2000"
2000,9,13,59057,"Wednesday, September 13, 2000"
2000,9,14,57766,"Thursday, September 14, 2000"
2000,9,15,52809,"Friday, September 15, 2000"
2000,9,16,54035,"Saturday, September 16, 2000"
2000,9,17,54156,"Sunday, September 17, 2000"
2000,9,18,54966,"Monday, September 18, 2000"
2000,9,19,55735,"Tuesday, September 19, 2000"
2000,9,20,54181,"Wednesday, September 20, 2000"
2000,9,21,53691,"Thursday, September 21, 2000"
2000,9,22,56327,"Friday, September 22, 2000"
2000,9,23,54414,"Saturday, September 23, 2000"
2000,9,24,54854,"Sunday, September 24, 2000"
2000,9,25,54763,"Monday, September 25, 2000"
2000,9,26,67355,"Tuesday, September 26, 2000"
2000,9,27,63722,"Wednesday, September 27, 2000"
2000,9,28,89712,"Thursday, September 28, 2000"
2000,9,29,90102,"Friday, September 29, 2000"
2000,9,30,87855,"Saturday, September 30, 2000"
2000,10,1,86747,"Sunday, October 01, 2000"
2000,10,2,89954,"Monday, October 02, 2000"
2000,10,3,92860,"Tuesday, October 03, 2000"
2000,10,4,88895,"Wednesday, October 04, 2000"
2000,10,5,88795,"Thursday, October 05, 2000"
2000,10,6,76887,"Friday, October 06, 2000"
2000,10,7,87381,"Saturday, October 07, 2000"
2000,10,8,87911,"Sunday, October 08, 2000"
2000,10,9,88535,"Monday, October 09, 2000"
2000,10,10,123296,"Tuesday, October 10, 2000"
2000,10,11,127286,"Wednesday, October 11, 2000"
2000,10,12,89923,"Thursday, October 12, 2000"
2000,10,13,108658,"Friday, October 13, 2000"
2000,10,14,106995,"Saturday, October 14, 2000"
2000,10,15,117045,"Sunday, October 15, 2000"
2000,10,16,90579,"Monday, October 16, 2000"
2000,10,17,90578,"Tuesday, October 17, 2000"
2000,10,18,90167,"Wednesday, October 18, 2000"
2000,10,19,91131,"Thursday, October 19, 2000"
2000,10,20,94170,"Friday, October 20, 2000"
2000,10,21,108021,"Saturday, October 21, 2000"
2000,10,22,127230,"Sunday, October 22, 2000"
2000,10,23,90134,"Monday, October 23, 2000"
2000,10,24,89887,"Tuesday, October 24, 2000"
2000,10,25,90320,"Wednesday, October 25, 2000"
2000,10,26,90596,"Thursday, October 26, 2000"
2000,10,27,89633,"Friday, October 27, 2000"
2000,10,28,105221,"Saturday, October 28, 2000"
2000,10,29,105222,"Sunday, October 29, 2000"
2000,10,30,106634,"Monday, October 30, 2000"
2000,10,31,119925,"Tuesday, October 31, 2000"
2000,11,1,135338,"Wednesday, November 01, 2000"
2000,11,2,124753,"Thursday, November 02, 2000"
2000,11,3,134171,"Friday, November 03, 2000"
2000,11,4,153090,"Saturday, November 04, 2000"
2000,11,5,145618,"Sunday, November 05, 2000"
2000,11,6,147134,"Monday, November 06, 2000"
2000,11,7,163125,"Tuesday, November 07, 2000"
2000,11,8,150213,"Wednesday, November 08, 2000"
2000,11,9,179328,"Thursday, November 09, 2000"
2000,11,10,157165,"Friday, November 10, 2000"
2000,11,11,154821,"Saturday, November 11, 2000"
2000,11,12,154911,"Sunday, November 12, 2000"
2000,11,13,166022,"Monday, November 13, 2000"
2000,11,14,161725,"Tuesday, November 14, 2000"
2000,11,15,157989,"Wednesday, November 15, 2000"
2000,11,16,156621,"Thursday, November 16, 2000"
2000,11,17,163085,"Friday, November 17, 2000"
2000,11,18,160738,"Saturday, November 18, 2000"
2000,11,19,163138,"Sunday, November 19, 2000"
2000,11,20,163924,"Monday, November 20, 2000"
2000,11,21,159292,"Tuesday, November 21, 2000"
2000,11,22,161006,"Wednesday, November 22, 2000"
2000,11,23,156955,"Thursday, November 23, 2000"
2000,11,24,159733,"Friday, November 24, 2000"
2000,11,25,172357,"Saturday, November 25, 2000"
2000,11,26,161563,"Sunday, November 26, 2000"
2000,11,27,166761,"Monday, November 27, 2000"
2000,11,28,163317,"Tuesday, November 28, 2000"
2000,11,29,165569,"Wednesday, November 29, 2000"
2000,11,30,163590,"Thursday, November 30, 2000"
2000,12,1,155992,"Friday, December 01, 2000"
2000,12,2,152016,"Saturday, December 02, 2000"
2000,12,3,153387,"Sunday, December 03, 2000"
2000,12,4,155697,"Monday, December 04, 2000"
2000,12,5,153332,"Tuesday, December 05, 2000"
2000,12,6,154749,"Wednesday, December 06, 2000"
2000,12,7,153787,"Thursday, December 07, 2000"
2000,12,8,132491,"Friday, December 08, 2000"
2000,12,9,131300,"Saturday, December 09, 2000"
2000,12,10,131824,"Sunday, December 10, 2000"
2000,12,11,130105,"Monday, December 11, 2000"
2000,12,12,129913,"Tuesday, December 12, 2000"
2000,12,13,135314,"Wednesday, December 13, 2000"
2000,12,14,133830,"Thursday, December 14, 2000"
2000,12,15,108923,"Friday, December 15, 2000"
2000,12,16,103833,"Saturday, December 16, 2000"
2000,12,17,104737,"Sunday, December 17, 2000"
2000,12,18,109863,"Monday, December 18, 2000"
2000,12,19,102304,"Tuesday, December 19, 2000"
2000,12,20,107341,"Wednesday, December 20, 2000"
2000,12,21,130156,"Thursday, December 21, 2000"
2000,12,22,105397,"Friday, December 22, 2000"
2000,12,23,100495,"Saturday, December 23, 2000"
2000,12,24,99710,"Sunday, December 24, 2000"
2000,12,25,97980,"Monday, December 25, 2000"
2000,12,26,99014,"Tuesday, December 26, 2000"
2000,12,27,100621,"Wednesday, December 27, 2000"
2000,12,28,113413,"Thursday, December 28, 2000"
2000,12,29,108240,"Friday, December 29, 2000"
2000,12,30,107463,"Saturday, December 30, 2000"
2000,12,31,108412,"Sunday, December 31, 2000"
2001,1,1,121181,"Monday, January 01, 2001"
2001,1,2,124859,"Tuesday, January 02, 2001"
2001,1,3,126557,"Wednesday, January 03, 2001"
2001,1,4,129006,"Thursday, January 04, 2001"
2001,1,5,139985,"Friday, January 05, 2001"
2001,1,6,119381,"Saturday, January 06, 2001"
2001,1,7,119901,"Sunday, January 07, 2001"
2001,1,8,122650,"Monday, January 08, 2001"
2001,1,9,114502,"Tuesday, January 09, 2001"
2001,1,10,104719,"Wednesday, January 10, 2001"
2001,1,11,123073,"Thursday, January 11, 2001"
2001,1,12,109412,"Friday, January 12, 2001"
2001,1,13,116173,"Saturday, January 13, 2001"
2001,1,14,116243,"Sunday, January 14, 2001"
2001,1,15,119453,"Monday, January 15, 2001"
2001,1,16,119953,"Tuesday, January 16, 2001"
2001,1,17,122190,"Wednesday, January 17, 2001"
2001,1,18,116103,"Thursday, January 18, 2001"
2001,1,19,116165,"Friday, January 19, 2001"
2001,1,20,114527,"Saturday, January 20, 2001"
2001,1,21,125554,"Sunday, January 21, 2001"
2001,1,22,118533,"Monday, January 22, 2001"
2001,1,23,118789,"Tuesday, January 23, 2001"
2001,1,24,118799,"Wednesday, January 24, 2001"
2001,1,25,118568,"Thursday, January 25, 2001"
2001,1,26,116745,"Friday, January 26, 2001"
2001,1,27,114696,"Saturday, January 27, 2001"
2001,1,28,116773,"Sunday, January 28, 2001"
2001,1,29,119707,"Monday, January 29, 2001"
2001,1,30,118897,"Tuesday, January 30, 2001"
2001,1,31,122866,"Wednesday, January 31, 2001"
2001,2,1,118430,"Thursday, February 01, 2001"
2001,2,2,115732,"Friday, February 02, 2001"
2001,2,3,108531,"Saturday, February 03, 2001"
2001,2,4,105607,"Sunday, February 04, 2001"
2001,2,5,109223,"Monday, February 05, 2001"
2001,2,6,127073,"Tuesday, February 06, 2001"
2001,2,7,123038,"Wednesday, February 07, 2001"
2001,2,8,119871,"Thursday, February 08, 2001"
2001,2,9,120291,"Friday, February 09, 2001"
2001,2,10,109508,"Saturday, February 10, 2001"
2001,2,11,102021,"Sunday, February 11, 2001"
2001,2,12,113400,"Monday, February 12, 2001"
2001,2,13,111006,"Tuesday, February 13, 2001"
2001,2,14,117770,"Wednesday, February 14, 2001"
2001,2,15,114476,"Thursday, February 15, 2001"
2001,2,16,118833,"Friday, February 16, 2001"
2001,2,17,118272,"Saturday, February 17, 2001"
2001,2,18,118483,"Sunday, February 18, 2001"
2001,2,19,118722,"Monday, February 19, 2001"
2001,2,20,118733,"Tuesday, February 20, 2001"
2001,2,21,118435,"Wednesday, February 21, 2001"
2001,2,22,114348,"Thursday, February 22, 2001"
2001,2,23,111215,"Friday, February 23, 2001"
2001,2,24,116203,"Saturday, February 24, 2001"
2001,2,25,116323,"Sunday, February 25, 2001"
2001,2,26,117302,"Monday, February 26, 2001"
2001,2,27,96870,"Tuesday, February 27, 2001"
2001,2,28,111875,"Wednesday, February 28, 2001"
2001,3,1,97974,"Thursday, March 01, 2001"
2001,3,2,124038,"Friday, March 02, 2001"
2001,3,3,127704,"Saturday, March 03, 2001"
2001,3,4,128045,"Sunday, March 04, 2001"
2001,3,5,123575,"Monday, March 05, 2001"
2001,3,6,94204,"Tuesday, March 06, 2001"
2001,3,7,78608,"Wednesday, March 07, 2001"
2001,3,8,82199,"Thursday, March 08, 2001"
2001,3,9,64175,"Friday, March 09, 2001"
2001,3,10,61137,"Saturday, March 10, 2001"
2001,3,11,74129,"Sunday, March 11, 2001"
2001,3,12,61802,"Monday, March 12, 2001"
2001,3,13,99112,"Tuesday, March 13, 2001"
2001,3,14,83907,"Wednesday, March 14, 2001"
2001,3,15,81622,"Thursday, March 15, 2001"
2001,3,16,62448,"Friday, March 16, 2001"
2001,3,17,77202,"Saturday, March 17, 2001"
2001,3,18,61961,"Sunday, March 18, 2001"
2001,3,19,62543,"Monday, March 19, 2001"
2001,3,20,68995,"Tuesday, March 20, 2001"
2001,3,21,66679,"Wednesday, March 21, 2001"
2001,3,22,65764,"Thursday, March 22, 2001"
2001,3,23,59992,"Friday, March 23, 2001"
2001,3,24,56393,"Saturday, March 24, 2001"
2001,3,25,61530,"Sunday, March 25, 2001"
2001,3,26,58302,"Monday, March 26, 2001"
2001,3,27,73162,"Tuesday, March 27, 2001"
2001,3,28,75815,"Wednesday, March 28, 2001"
2001,3,29,103194,"Thursday, March 29, 2001"
2001,3,30,81202,"Friday, March 30, 2001"
2001,3,31,71446,"Saturday, March 31, 2001"
2001,4,1,61176,"Sunday, April 01, 2001"
2001,4,2,73232,"Monday, April 02, 2001"
2001,4,3,75395,"Tuesday, April 03, 2001"
2001,4,4,74859,"Wednesday, April 04, 2001"
2001,4,5,59593,"Thursday, April 05, 2001"
2001,4,6,78338,"Friday, April 06, 2001"
2001,4,7,67352,"Saturday, April 07, 2001"
2001,4,8,67552,"Sunday, April 08, 2001"
2001,4,9,81842,"Monday, April 09, 2001"
2001,4,10,66752,"Tuesday, April 10, 2001"
2001,4,11,68371,"Wednesday, April 11, 2001"
2001,4,12,86169,"Thursday, April 12, 2001"
2001,4,13,65714,"Friday, April 13, 2001"
2001,4,14,65197,"Saturday, April 14, 2001"
2001,4,15,65391,"Sunday, April 15, 2001"
2001,4,16,64705,"Monday, April 16, 2001"
2001,4,17,66497,"Tuesday, April 17, 2001"
2001,4,18,47312,"Wednesday, April 18, 2001"
2001,4,19,60594,"Thursday, April 19, 2001"
2001,4,20,53266,"Friday, April 20, 2001"
2001,4,21,65539,"Saturday, April 21, 2001"
2001,4,22,65699,"Sunday, April 22, 2001"
2001,4,23,63083,"Monday, April 23, 2001"
2001,4,24,58013,"Tuesday, April 24, 2001"
2001,4,25,69180,"Wednesday, April 25, 2001"
2001,4,26,66103,"Thursday, April 26, 2001"
2001,4,27,65920,"Friday, April 27, 2001"
2001,4,28,69105,"Saturday, April 28, 2001"
2001,4,29,69273,"Sunday, April 29, 2001"
2001,4,30,73936,"Monday, April 30, 2001"
2001,5,1,114298,"Tuesday, May 01, 2001"
2001,5,2,76752,"Wednesday, May 02, 2001"
2001,5,3,65827,"Thursday, May 03, 2001"
2001,5,4,65091,"Friday, May 04, 2001"
2001,5,5,59349,"Saturday, May 05, 2001"
2001,5,6,59350,"Sunday, May 06, 2001"
2001,5,7,59610,"Monday, May 07, 2001"
2001,5,8,72034,"Tuesday, May 08, 2001"
2001,5,9,71587,"Wednesday, May 09, 2001"
2001,5,10,69921,"Thursday, May 10, 2001"
2001,5,11,71384,"Friday, May 11, 2001"
2001,5,12,71569,"Saturday, May 12, 2001"
2001,5,13,72512,"Sunday, May 13, 2001"
2001,5,14,73454,"Monday, May 14, 2001"
2001,5,15,69474,"Tuesday, May 15, 2001"
2001,5,16,77493,"Wednesday, May 16, 2001"
2001,5,17,75503,"Thursday, May 17, 2001"
2001,5,18,76521,"Friday, May 18, 2001"
2001,5,19,64292,"Saturday, May 19, 2001"
2001,5,20,65622,"Sunday, May 20, 2001"
2001,5,21,66562,"Monday, May 21, 2001"
2001,5,22,73626,"Tuesday, May 22, 2001"
2001,5,23,64992,"Wednesday, May 23, 2001"
2001,5,24,65319,"Thursday, May 24, 2001"
2001,5,25,67039,"Friday, May 25, 2001"
2001,5,26,52505,"Saturday, May 26, 2001"
2001,5,27,54959,"Sunday, May 27, 2001"
2001,5,28,55489,"Monday, May 28, 2001"
2001,5,29,55927,"Tuesday, May 29, 2001"
2001,5,30,59886,"Wednesday, May 30, 2001"
2001,5,31,65630,"Thursday, May 31, 2001"
2001,6,1,40510,"Friday, June 01, 2001"
2001,6,2,38625,"Saturday, June 02, 2001"
2001,6,3,40325,"Sunday, June 03, 2001"
2001,6,4,39312,"Monday, June 04, 2001"
2001,6,5,52358,"Tuesday, June 05, 2001"
2001,6,6,84136,"Wednesday, June 06, 2001"
2001,6,7,46489,"Thursday, June 07, 2001"
2001,6,8,49899,"Friday, June 08, 2001"
2001,6,9,52111,"Saturday, June 09, 2001"
2001,6,10,52120,"Sunday, June 10, 2001"
2001,6,11,50545,"Monday, June 11, 2001"
2001,6,12,50862,"Tuesday, June 12, 2001"
2001,6,13,51880,"Wednesday, June 13, 2001"
2001,6,14,48049,"Thursday, June 14, 2001"
2001,6,15,42498,"Friday, June 15, 2001"
2001,6,16,40865,"Saturday, June 16, 2001"
2001,6,17,41245,"Sunday, June 17, 2001"
2001,6,18,40944,"Monday, June 18, 2001"
2001,6,19,40270,"Tuesday, June 19, 2001"
2001,6,20,39745,"Wednesday, June 20, 2001"
2001,6,21,44042,"Thursday, June 21, 2001"
2001,6,22,41675,"Friday, June 22, 2001"
2001,6,23,45520,"Saturday, June 23, 2001"
2001,6,24,45645,"Sunday, June 24, 2001"
2001,6,25,44182,"Monday, June 25, 2001"
2001,6,26,43467,"Tuesday, June 26, 2001"
2001,6,27,45830,"Wednesday, June 27, 2001"
2001,6,28,47779,"Thursday, June 28, 2001"
2001,6,29,48503,"Friday, June 29, 2001"
2001,6,30,47340,"Saturday, June 30, 2001"
2001,7,1,43708,"Sunday, July 01, 2001"
2001,7,2,42612,"Monday, July 02, 2001"
2001,7,3,43968,"Tuesday, July 03, 2001"
2001,7,4,43754,"Wednesday, July 04, 2001"
2001,7,5,42484,"Thursday, July 05, 2001"
2001,7,6,43982,"Friday, July 06, 2001"
2001,7,7,51474,"Saturday, July 07, 2001"
2001,7,8,51597,"Sunday, July 08, 2001"
2001,7,9,56738,"Monday, July 09, 2001"
2001,7,10,43433,"Tuesday, July 10, 2001"
2001,7,11,43203,"Wednesday, July 11, 2001"
2001,7,12,43191,"Thursday, July 12, 2001"
2001,7,13,43315,"Friday, July 13, 2001"
2001,7,14,42674,"Saturday, July 14, 2001"
2001,7,15,42766,"Sunday, July 15, 2001"
2001,7,16,43129,"Monday, July 16, 2001"
2001,7,17,43393,"Tuesday, July 17, 2001"
2001,7,18,49805,"Wednesday, July 18, 2001"
2001,7,19,56217,"Thursday, July 19, 2001"
2001,7,20,61324,"Friday, July 20, 2001"
2001,7,21,55104,"Saturday, July 21, 2001"
2001,7,22,54963,"Sunday, July 22, 2001"
2001,7,23,55760,"Monday, July 23, 2001"
2001,7,24,45838,"Tuesday, July 24, 2001"
2001,7,25,53564,"Wednesday, July 25, 2001"
2001,7,26,53631,"Thursday, July 26, 2001"
2001,7,27,39759,"Friday, July 27, 2001"
2001,7,28,39595,"Saturday, July 28, 2001"
2001,7,29,39715,"Sunday, July 29, 2001"
2001,7,30,40334,"Monday, July 30, 2001"
2001,7,31,45910,"Tuesday, July 31, 2001"
2001,8,1,44588,"Wednesday, August 01, 2001"
2001,8,2,68675,"Thursday, August 02, 2001"
2001,8,3,70674,"Friday, August 03, 2001"
2001,8,4,66260,"Saturday, August 04, 2001"
2001,8,5,66380,"Sunday, August 05, 2001"
2001,8,6,66092,"Monday, August 06, 2001"
2001,8,7,66091,"Tuesday, August 07, 2001"
2001,8,8,66090,"Wednesday, August 08, 2001"
2001,8,9,71908,"Thursday, August 09, 2001"
2001,8,10,67090,"Friday, August 10, 2001"
2001,8,11,52524,"Saturday, August 11, 2001"
2001,8,12,52644,"Sunday, August 12, 2001"
2001,8,13,52709,"Monday, August 13, 2001"
2001,8,14,51918,"Tuesday, August 14, 2001"
2001,8,15,51706,"Wednesday, August 15, 2001"
2001,8,16,51557,"Thursday, August 16, 2001"
2001,8,17,51701,"Friday, August 17, 2001"
2001,8,18,51393,"Saturday, August 18, 2001"
2001,8,19,51392,"Sunday, August 19, 2001"
2001,8,20,51666,"Monday, August 20, 2001"
2001,8,21,50355,"Tuesday, August 21, 2001"
2001,8,22,53970,"Wednesday, August 22, 2001"
2001,8,23,42598,"Thursday, August 23, 2001"
2001,8,24,53385,"Friday, August 24, 2001"
2001,8,25,52995,"Saturday, August 25, 2001"
2001,8,26,52994,"Sunday, August 26, 2001"
2001,8,27,53570,"Monday, August 27, 2001"
2001,8,28,59551,"Tuesday, August 28, 2001"
2001,8,29,56602,"Wednesday, August 29, 2001"
2001,8,30,54255,"Thursday, August 30, 2001"
2001,8,31,54445,"Friday, August 31, 2001"
2001,9,1,45076,"Saturday, September 01, 2001"
2001,9,2,45076,"Sunday, September 02, 2001"
2001,9,3,45076,"Monday, September 03, 2001"
2001,9,4,45985,"Tuesday, September 04, 2001"
2001,9,5,45555,"Wednesday, September 05, 2001"
2001,9,6,45340,"Thursday, September 06, 2001"
2001,9,7,45339,"Friday, September 07, 2001"
2001,9,8,45927,"Saturday, September 08, 2001"
2001,9,9,45927,"Sunday, September 09, 2001"
2001,9,10,46515,"Monday, September 10, 2001"
2001,9,11,46520,"Tuesday, September 11, 2001"
2001,9,12,46531,"Wednesday, September 12, 2001"
2001,9,13,46515,"Thursday, September 13, 2001"
2001,9,14,42612,"Friday, September 14, 2001"
2001,9,15,43062,"Saturday, September 15, 2001"
2001,9,16,43062,"Sunday, September 16, 2001"
2001,9,17,43297,"Monday, September 17, 2001"
2001,9,18,42574,"Tuesday, September 18, 2001"
2001,9,19,42274,"Wednesday, September 19, 2001"
2001,9,20,57284,"Thursday, September 20, 2001"
2001,9,21,50487,"Friday, September 21, 2001"
2001,9,22,43686,"Saturday, September 22, 2001"
2001,9,23,43688,"Sunday, September 23, 2001"
2001,9,24,73043,"Monday, September 24, 2001"
2001,9,25,43261,"Tuesday, September 25, 2001"
2001,9,26,39293,"Wednesday, September 26, 2001"
2001,9,27,46828,"Thursday, September 27, 2001"
2001,9,28,44288,"Friday, September 28, 2001"
2001,9,29,46228,"Saturday, September 29, 2001"
2001,9,30,46229,"Sunday, September 30, 2001"
2001,10,1,45779,"Monday, October 01, 2001"
2001,10,2,45737,"Tuesday, October 02, 2001"
2001,10,3,45805,"Wednesday, October 03, 2001"
2001,10,4,46152,"Thursday, October 04, 2001"
2001,10,5,51063,"Friday, October 05, 2001"
2001,10,6,48297,"Saturday, October 06, 2001"
2001,10,7,78297,"Sunday, October 07, 2001"
2001,10,8,87462,"Monday, October 08, 2001"
2001,10,9,52510,"Tuesday, October 09, 2001"
2001,10,10,127111,"Wednesday, October 10, 2001"
2001,10,11,93434,"Thursday, October 11, 2001"
2001,10,12,74765,"Friday, October 12, 2001"
2001,10,13,69901,"Saturday, October 13, 2001"
2001,10,14,75971,"Sunday, October 14, 2001"
2001,10,15,76134,"Monday, October 15, 2001"
2001,10,16,96141,"Tuesday, October 16, 2001"
