2/5/'02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHED TERM,BORDER 1,S DEAL#,S PRICE,S CONT TERM,SCHD HRS,TZ,MWS,UPSTREAM PATH,,SUPPLY,-E-,MARKET,X,DOWNSTREAM PATH,MWS,M CONT TERM,M PRICE,M DEAL#,TAG,GLOBAL ID,PHY?,COMMENTS,TRAN1 NAME,,,,,,,,,,,,,,,,S STRIP ID,M STRIP ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BOOKOUT,,,,,,,,,,,,,,,,,,,,,
