,Southwestern Gas Pipeline Inc.,Lone Camp,Palo Pinto,500,508,554,450,423,341,337,441,438,542,653,641,620,580,429,308,305,310,235,237,359,446,496,446,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tejas Gas Pipeline Co.,West Clear Lake,Harris,48000,42215,43766,46609,49257,52381,55772,59521,62863,62675,66501,69351,73256,73463,78179,71497,65674,61154,61655,64705,63532,63647,61709,62955,58887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,South Bryson,Jack,5500,5572,5853,5785,5659,5681,251,5674,5913,6177,6364,6418,6414,6340,5397,4777,4578,4578,4512,4795,5499,6046,6895,6848,7033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,Worsham-Steed,Jack,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Gas Company,Leeray,Stephens,4775,1251,1234,1234,1219,1219,1204,1204,1191,1191,1178,1178,1166,1166,1156,1156,1145,1145,1136,1136,1125,1125,1114,1114,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tristar Gas Co.,Pottsville,Hamilton,513,400,388,377,368,357,347,337,326,315,305,284,285,254,265,224,205,195,226,167,207,138,120,111,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Gas Resources Storage,Katy Hub,Ft. Bend,18500,13350,11235,11995,12392,12510,11470,11928,12030,13316,13558,14742,16001,15748,15330,15432,15831,16879,18717,19463,20194,20126,20613,20046,15370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,257098,207148,199258,202460,203287,201103,186403,199804,204668,214688,224277,232700,248028,253283,258516,250986,248188,246899,255549,263409,265121,260290,259538,256153,230434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,OPERATING COMPANY,FIELD,COUNTY,WORKING TOP GAS,RRC 1/15/00,RRC 1/31/00,RRC 2/15/00,RRC 2/28/00,RRC 3/15/00,RRC 3/31/00,RRC 4/15/00,RRC 4/30/00,RRC 5/15/00,RRC 5/31/00,RRC 6/15/00,RRC 6/30/00,RRC 7/15/00,RRC 7/31/00,RRC 8/15/00,RRC 8/31/00,RRC 9/15/00,RRC 9/30/00,RRC 10/15/00,RRC 10/31/00,RRC 11/15/00,RRC 11/30/00,RRC 12/15/00,RRC 12/31/00,,Storage Activity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,"American Gas Storage, L. P.",Felmac,Gaines,5500,1871,1840,1853,1854,1843,1844,1844,1880,1880,1880,1880,1880,1933,1933,1720,1518,1495,1515,1492,1563.489,1556.7759999999998,844,628,1194,,-290.51099999999997,643.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,"American Gas Storage, L. P.",Loop Field,Gaines,8000,4284,4126,4221,4085,3958,3936,3936,4095,4108,4095,4108,3279,3520,3338,3266,3080,3006,3149,3044,3402.645,3601.605,3169,2601,3019,,-682.355,817.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,City of Brady,Janellen,Brown,100,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,El Paso Field Services,Rotherwood,Harris,1000,617,592,592,592,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-592,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Houston Pipe Line Co.,Bammel,Harris,45000,41355,36106,30383,30000,33834,38164,40469,42856,43874,45706,46582,47336,46827,45835,45441,44575,44110,44664,43356,43778.908,42132.738,38553,32507,23492,,13778.908000000003,37467.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Delhi Gas Pipeline Corp.,Pickton,Hopkins,766,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Ambassador,Clay,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Hill,Eastland,8615,5792,5452,5439,5503,5602,5713,5782,5958,6138,5928,5928,5823,5795,5909,5881,5880,5965,5956,5857,5698,5808,4903,4801,5194,,195,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,La Pan,Clay,3425,3295,2714,2689,2568,2499,2692,2780,2743,2743,2932,3146,3193,3243,3244,3294,3244,3244,3244,3244,3244,3220,3296,3092,2379,,676,2559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Lake Dallas,Denton,2825,4093,3802,3799,3815,3689,3897,3932,4041,4021,3916,3966,3945,3949,3931,3936,3857,3877,4024,4080,4209,4069,2673,2427,3487,,394,1143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,New York City,Clay,5290,2687,2234,2210,2365,2415,2656,2850,3267,3456,3181,3166,2973,2959,3050,3036,3012,3194,4259,4507,5067,4826,4672,4070,3013,,2702,2842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Pecan Station,Tom Green,1310,528,514,514,513,512,512,512,511,511,510,510,505,505,503,504,505,505,507,507,506,506,355,351,487,,-7,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,Lone Star Pipeline Co.,Tri-Cities (Bacon),Henderson,18453,12319,10164,9722,9007,9362,10086,10077,10085,10208,11248,11951,12271,12767,12747,13242,12869,13201,14068,14522,15428,15594,15850,15263,11559,,6421,5560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Tri-Cities (Rodessa),Henderson,6900,2100,2100,2100,2100,2100,2100,2084,2042,2089,2012,2003,1988,1980,1939,1930,1895,1884,1861,1853,1846,1839,1831,1825,1819,,-254,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower Colorado River Authority,Hillbig,Bastrop,3000,3705,3182,2961,2965,2317,1911,1781,1699,1737,1418,1687,1565,1864,2007,2133,2202,2104,2401,2825,3476,3465,3349,3097,2451,,511,1554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Natural Gas Pipeline,North Lansing,Harrison,69000,57718,34781,24698,16209,14673,12234,11078,11498,13274,17464,18818,23158,27385,23158,27385,29242,30365,35590,35590,42274,42266,27834,26485,27666,,26065,31293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southwestern Gas Pipeline Inc.,Lone Camp,Palo Pinto,500,440,325,295,271,266,304,295,401,466,521,522,533,480,450,308,257,214,242,345,463,145,455,393,392,,192,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tejas Gas Pipeline Co.,West Clear Lake,Harris,48000,60807,55660,50318,48742,50845,52220,53252,54497,53252,54497,53586,42096,39015,35218,35327,30487,24558,20691,17094,17136.544,16078.153,13867,11675,9235,,-31605.456,10867.544000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,South Bryson,Jack,5500,6842,5735,5537,5618,5763,5901,5909,5827,5703,5670,5931,5904,5712,5363,4968,4505,4596,5183,5264,6000,6022,6494,5993,5719,,382,826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,Worsham-Steed,Jack,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Gas Company,Leeray,Stephens,4775,1104,1095,1095,1087,1087,1079,1079,1071,1071,1062,1062,1051,1051,1039,1039,1029,1029,1019,1019,1008,1008,1000,1000,990,,-79,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tristar Gas Co.,Pottsville,Hamilton,513,84,154,143,152,142,135,127,118,127,100,91,83,75,66,57,48,40,31,23,15,23,15,8,185,,-137,-147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Gas Resources Storage,Katy Hub,Ft. Bend,18500,13471,9091,6974,4259,5911,7614,9064,11867,9064,11325,10311,11296,11859,8930,8847,9787,10880,13944,14629,17746,17605,15731,12832,9068,,13487,12268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,257098,223234,179776,155652,141814,147519,153107,156960,164565,163831,173574,175357,168988,171028,158769,162423,158101,154376,162457,159360,172970.586,169874.272,145000,129157,111458,,31156.586000000003,108765.58600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPERATING COMPANY,FIELD,COUNTY,WORKING TOP GAS,RRC 1/15/01,RRC 1/31/01,RRC 2/15/01,RRC 2/28/01,RRC 3/15/01,RRC 3/31/01,RRC 4/15/01,RRC 4/30/01,RRC 5/15/01,RRC 5/31/01,RRC 6/15/01,RRC 6/30/01,RRC 7/15/01,RRC 7/31/01,RRC 8/15/01,RRC 8/31/01,RRC 9/15/01,RRC 9/30/01,RRC 10/15/01,RRC 10/31/01,RRC 11/15/01,RRC 11/30/01,RRC 12/15/01,RRC 12/31/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oneok TX Gas Storage LP,Felmac,Gaines,5500,1081,935,920,1145,1421,1302,1296,1399,1643,1563,1500,1159,1094,972,874,837,961,962,1120,1069,1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oneok TX Gas Storage LP,Loop Field,Gaines,8000,2805,2649,2585,2583,2583,2565,2506,2565,2506,2379,2343,2294,2279,2273,2248,2230,2230,2227,2227,2227,2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Brady,Janellen,Brown,100,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eastex Gas Storage & Exchange,Rotherwood,Harris,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Houston Pipe Line Co.,Bammel,Harris,45000,15594,9426,6311,4708,9649,13616,16772,21003,24544,28369,35652,42702,44171,45707,47065,49311,49517,49766,50515,50802,51431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sulphur River Gather,Pickton,Hopkins,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Ambassador,Clay,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Hill,Eastland,8615,5091,4897,4794,4608,4477,4293,4293,3993,3993,3988,3988,3988,4338,4785,4785,4785,5085,5507,5807,6310,6760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,La Pan,Clay,3425,1972,1092,685,882,898,742,999,1467,1773,2196,2501,2957,3344,3055,3055,3206,3303,3206,3209,3524,3527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Lake Dallas,Denton,2825,3332,3220,3066,3106,3185,3010,3103,3334,3490,3675,3832,4000,4066,4060,4107,4186,4224,4186,4207,4304,4323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,New York City,Clay,5290,2781,2456,2225,2478,2636,2382,2593,2981,3303,3591,3913,4220,4416,4424,4468,4639,4879,5281,5483,5635,5705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Pecan Station,Tom Green,1310,481,479,474,473,473,471,471,470,470,467,467,465,465,465,465,464,464,464,464,462,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Tri-Cities (Bacon),Henderson,18453,10497,10929,9868,9981,9454,8372,9185,10644,11741,13103,14200,15239,16206,17050,17258,17243,17213,17309,17309,17515,17846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Tri-Cities (Rodessa),Henderson,6900,1816,1803,1794,1779,1771,1752,1743,1727,1718,1702,1693,1677,1669,1652,1643,1627,1621,1604,1597,1579,1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower Colorado River Authority,Hillbig,Bastrop,3000,2184,1891,1922,1892,1858,2177,2059,2270,2939,3096,3073,2884,2894,2532,2471,2836,2919,3283,3479,3837,3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Natural Gas Pipeline,North Lansing,Harrison,69000,21937,11832,10981,12504,12513,10692,10692,13398,17590,23557,26906,34794,40651,46290,49632,56296,59263,63733,69061,67686,69545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southwestern Gas Pipeline Inc.,Lone Camp,Palo Pinto,500,339,304,407,311,247,254,301,254,301,493,529,493,393,297,367,482,482,468,434,468,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tejas Gas Pipeline Co.,West Clear Lake,Harris,48000,7323,6261,6269,6875,8181,9184,11206,13655,17217,21253,24726,28597,32020,34390,37884,42263,44704,48202,51760,48202,51760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,South Bryson,Jack,5500,5772,5476,5174,5369,4818,4869,5367,6189,6248,6249,5966,5535,5322,4899,4633,5131,5016,5329,5641,6261,6826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,Worsham-Steed,Jack,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Gas Company,Leeray,Stephens,4775,990,982,981,974,974,966,966,959,959,952,952,946,946,940,940,934,934,929,929,923,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tristar Gas Co.,Pottsville,Hamilton,513,177,169,162,155,148,140,133,126,118,111,104,96,89,82,75,67,60,53,46,40,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Gas Resources Storage,Katy Hub,Ft. Bend,18500,7301,4477,5478,4978,6176,7989,9105,13171,14623,16364,17622,19475,19903,19115,18441,18235,19262,21057,21590,21944,21993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,257098,91582,69387,64205,64910,71571,74885,82899,99714,115285,133217,150076,171630,184375,193097,200520,214881,222246,233675,244987,242897,250637,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SALT DOME STORAGE FACILITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPERATING COMPANY,FIELD,COUNTY,WORKING TOP GAS,RRC 1/15/96,RRC 1/31/96,RRC 2/15/96,RRC 2/31/96,RRC 2/15/96,RRC 3/31/96,RRC 4/15/96,RRC 4/30/96,RRC 5/15/96,RRC 5/31/96,RRC 6/15/96,RRC 6/30/96,RRC 7/15/96,RRC 7/31/96,RRC 8/15/96,RRC 8/31/96,RRC 9/15/96,RRC 9/30/96,RRC 10/15/96,RRC 10/31/96,RRC 11/15/96,RRC 11/30/96,RRC 12/15/96,RRC 12/31/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"American Gas Storage, L. P.","Salado I, II, and III",Gaines,3000,,,,,,,,,,,,1607,,1184,,,,1555,,1552,,1438,,2440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Centana Intrastate Pipeline Co.,Spindletop,Jefferson,5200,,,,,,,,,,,,1901,,2100,,,,4049,,4211,,3613,,3189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dow Salt Dome Operations,Stratten Ridge (2 caverns),Brazoria,2580,,,,,,,,,,,,3350,,3702,,,,4734,,5049,,4227,,3532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HNG Storage Company,North Dayton,Liberty,3659,,,,,,,,,,,,638,,1700,,,,1756,,1240,,527,,1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Bethel,Anderson,7100,,,,,,,,,,,,5179,,5251,,,,5862,,6250,,5883,,5910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Market Hub Partners, L. P. ",Moss Bluff,Liberty,10000,,,,,,,,,,,,3133,,3594,,,,7383,,6655,,6075,,5077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valero Gas Storage,Boling,Wharton,8299,,,,,,,,,,,,4942,,4933,,,,6236,,5692,,5828,,6313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phillips Petroleum,Clemens,Brazoria,1800,,,,,,,,,,,,547,,538,,,,1287,,1072,,1124,,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entergy Gulf States,Spindletop,Jefferson,8500,,,,,,,,,,,,1535,,2283,,,,1691,,1685,,5980,,4712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tejas,STratten Ridge,Brazoria,1700,,,,,,,,,,,,1422,,1431,,,,813,,1524,,827,,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midtex Gas Storage Company LLP,Markham (2 caverns),Matagorda,6000,,,,,,,,,,,,1095,,1489,,,,3745,,3124,,2713,,4041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,Bethel (3 caverns),Anderson,8810,,,,,,,,,,,,8114,,6956,,,,6655,,7441,,8190,,8659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salt Domes,,,66648,,,,,,,,,,,,33463,,35161,,,,45766,,45495,,46425,,47782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Texas Underground Storage,,,323746,0,0,0,0,0,0,0,0,0,0,0,140709,0,141211,0,0,0,201725,0,226126,0,213429,0,184566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPERATING COMPANY,FIELD,COUNTY,WORKING TOP GAS,RRC 1/15/97,RRC 1/31/97,RRC 2/15/97,RRC 2/28/97,RRC 3/15/97,RRC 3/31/97,RRC 4/15/97,RRC 4/30/97,RRC 5/15/97,RRC 5/31/97,RRC 6/15/97,RRC 6/30/97,RRC 7/15/97,RRC 7/31/97,RRC 8/15/97,RRC 8/31/97,RRC 9/15/97,RRC 9/30/97,RRC 10/15/97,RRC 10/31/97,RRC 11/15/97,RRC 11/30/97,RRC 12/15/97,RRC 12/31/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"American Gas Storage, L. P.","Salado I, II, and III",Gaines,3000,,1696,,904,,1842,,658,,1766,,1759,850,415,824,458,,1772,2056,1665,1420,1974,985,2146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Centana Intrastate Pipeline Co.,Spindletop,Jefferson,5200,,1427,,926,,1585,,3027,,4313,,4675,4524,4084,4512,3867,,5573,6874,7142,7090,7135,5788,4929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dow Salt Dome Operations,Stratten Ridge (2 caverns),Brazoria,2580,,2778,,2555,,3469,,4036,,4491,,4318,4438,4514,4275,4254,,4410,4125,4741,4850,4061,2864,3258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HNG Storage Company,North Dayton,Liberty,3659,,953,,439,,846,,56,,108,,339,424,568,243,904,,902,1099,737,900,1176,735,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Bethel,Anderson,7100,,4982,,2104,,4423,,3570,,4155,,4631,4589,4643,4792,5345,,6117,6171,6256,6300,6454,6371,6330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Market Hub Partners, L. P. ",Moss Bluff,Liberty,10000,,2439,,1392,,2477,,2564,,3915,,5520,5552,3765,3809,3379,,4509,5811,6701,6760,6388,5781,4015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valero Gas Storage,Boling,Wharton,8299,,3521,,720,,2988,,3051,,5122,,5122,5317,2707,1794,1986,,4212,6207,5270,5149,5696,4492,4701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phillips Petroleum,Clemens,Brazoria,1800,,537,,513,,605,,937,,999,,956,921,885,794,806,,1027,758,1328,1349,1160,1056,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entergy Gulf States,Spindletop,Jefferson,8500,,2947,,1443,,2810,,3216,,3777,,5692,4274,2569,2256,1472,,706,1095,2416,3879,5504,4467,5392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tejas,STratten Ridge,Brazoria,1700,,765,,698,,481,,359,,864,,1261,927,905,1156,773,,395,1184,530,509,736,690,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midtex Gas Storage Company LLP,Markham (2 caverns),Matagorda,6000,,2511,,1012,,734,,892,,1752,,2214,1903,606,1151,2738,,3774,3640,3505,3809,3248,2871,3122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,Bethel (3 caverns),Anderson,8810,,7583,,6786,,6760,,7433,,8042,,8285,7855,6952,6263,5691,,5060,6596,7333,8099,8541,8234,8405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salt Domes,,,66648,0,32139,0,19492,0,29020,0,29799,0,39304,0,44772,41574,32613,31869,31673,,38457,45616,47624,50114,52073,44334,44887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPERATING COMPANY,FIELD,COUNTY,WORKING TOP GAS,RRC 1/15/98,RRC 1/31/98,RRC 2/15/98,RRC 2/28/98,RRC 3/15/98,RRC 3/31/98,RRC 4/15/98,RRC 4/30/98,RRC 5/15/98,RRC 5/31/98,RRC 6/15/98,RRC 6/30/98,RRC 7/15/98,RRC 7/31/98,RRC 8/15/98,RRC 8/31/98,RRC 9/15/98,RRC 9/30/98,RRC 10/15/98,RRC 10/31/98,RRC 11/15/98,RRC 11/30/98,RRC 12/15/98,RRC 12/31/98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"American Gas Storage, L. P.","Salado I, II, and III",Gaines,3000,1370,1694,1752,1510,1664,1604,1774,2395,2394,1410,2121,1668,1299,1364,2136,1656,1557,1482,1941,2014,1285,2121,2184,2497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Centana Intrastate Pipeline Co.,Spindletop,Jefferson,5200,3797,2706,2333,2839,2944,3445,4824,5587,5711,5889,5966,5134,5966,5825,6929,7460,6308,5117,6308,7948,7944,8149,7528,6909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
