COUNTERPARTY,Trade Date,Flow Date,Location,Daily QTY,TOTAL QTY,Fixed Price,,VOLUME,Price,Total $
Aquila Energy Marketing Corporation,2001-05-29 14:57:57,2001-06-01 00:00:00,PERMIAN,10000,310000,3.62,,310000,3.62,1122200
Alleghany Corporation,2001-05-29 15:41:09,2001-06-01 00:00:00,PERMIAN,5000,155000,3.655,,155000,3.655,566525
"Cinergy Marketing & Trading, LLC",2001-05-30 08:19:20,2001-06-01 00:00:00,PERMIAN,10000,310000,3.575,,310000,3.575,1108250
"Cinergy Marketing & Trading, LLC",2001-05-30 08:24:17,2001-06-01 00:00:00,PERMIAN,10000,310000,3.555,,310000,3.555,1102050
"USGT/Aquila, L.P.",2001-05-30 10:05:48,2001-06-01 00:00:00,PERMIAN,5000,155000,3.555,,155000,3.555,551025
"USGT/Aquila, L.P.",2001-05-30 10:37:47,2001-06-01 00:00:00,PERMIAN,5000,155000,3.575,,155000,3.575,554125
WACOG,3.7718382352941178,,,,5270000,,,5270000,,19877587.5
,,,,,,,,,,
"Enserco Energy, Inc.",2001-05-24 09:06:36,2001-06-01 00:00:00,MALIN,5000,155000,7.075,,155000,7.075,1096625
"Duke Energy Trading and Marketing, L.L.C.",2001-05-24 09:37:12,2001-06-01 00:00:00,MALIN,10000,310000,6.9,,310000,6.9,2139000
PanCanadian Energy Services Inc.,2001-05-25 08:40:08,2001-06-01 00:00:00,MALIN,5000,155000,6.19,,155000,6.19,959450
"Calpine Energy Services, L.P.",2001-05-25 08:41:34,2001-06-01 00:00:00,MALIN,5000,155000,6.385,,155000,6.385,989675
"ACN Energy, Inc",2001-05-25 08:56:11,2001-06-01 00:00:00,MALIN,964,29884,6.205,,29884,6.205,185430.22
"Morgan Stanley Capital Group, Inc.",2001-05-25 09:16:57,2001-06-01 00:00:00,MALIN,5000,155000,6.325,,155000,6.325,980375
"Morgan Stanley Capital Group, Inc.",2001-05-25 09:18:48,2001-06-01 00:00:00,MALIN,5000,155000,6.225,,155000,6.225,964875
Sierra Pacific Power Company,2001-05-25 10:46:15,2001-06-01 00:00:00,MALIN,5000,155000,6.14,,155000,6.14,951700
PanCanadian Energy Services Inc.,2001-05-25 11:44:53,2001-06-01 00:00:00,MALIN,5000,155000,6.205,,155000,6.205,961775
Sierra Pacific Power Company,2001-05-25 11:46:03,2001-06-01 00:00:00,MALIN,5000,155000,6.105,,155000,6.105,946275
Sempra Energy Trading Corp.,2001-05-29 08:26:47,2001-06-01 00:00:00,MALIN,5000,155000,5.275,,155000,5.275,817625
"Enron Energy Services, Inc.",2001-05-29 08:40:45,2001-06-01 00:00:00,MALIN,5000,155000,5.495,,155000,5.495,851725
"Enron Energy Services, Inc.",2001-05-29 08:42:21,2001-06-01 00:00:00,MALIN,5000,155000,5.635,,155000,5.635,873425
"Enron Energy Services, Inc.",2001-05-29 08:42:35,2001-06-01 00:00:00,MALIN,5000,155000,5.735,,155000,5.735,888925
Sempra Energy Trading Corp.,2001-05-29 09:29:30,2001-06-01 00:00:00,MALIN,10000,310000,5.03,,310000,5.03,1559300
"Duke Energy Trading and Marketing, L.L.C.",2001-05-29 10:21:30,2001-06-01 00:00:00,MALIN,5000,155000,5.06,,155000,5.06,784300
PanCanadian Energy Services Inc.,2001-05-29 10:23:54,2001-06-01 00:00:00,MALIN,5000,155000,4.905,,155000,4.905,760275
Sempra Energy Trading Corp.,2001-05-29 13:21:28,2001-06-01 00:00:00,MALIN,10000,310000,4.87,,310000,4.87,1509700
"Enron Energy Services, Inc.",2001-05-29 13:38:53,2001-06-01 00:00:00,MALIN,5000,155000,4.855,,155000,4.855,752525
TXU Energy Trading Company,2001-05-29 15:33:53,2001-06-01 00:00:00,MALIN,5000,155000,5.025,,155000,5.025,778875
"AEP Energy Services, Inc.",2001-05-30 09:22:25,2001-06-01 00:00:00,MALIN,5000,155000,4.525,,155000,4.525,701375
TXU Energy Trading Company,2001-05-30 09:39:09,2001-06-01 00:00:00,MALIN,2719,84289,4.27,,84289,4.27,359914.03
WACOG,5.657017011703445,,,,3679173,,,3679173,,20813144.25
,,,,,,,,,,
"Mirant Americas Energy Marketing, L.P.",2001-05-24 08:12:02,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.235,,155000,11.235,1741425
Aquila Energy Marketing Corporation,2001-05-24 08:14:42,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.435,,155000,11.435,1772425
"Calpine Energy Services, L.P.",2001-05-24 08:22:43,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.27,,155000,11.27,1746850
"Tractebel Energy Marketing, Inc.",2001-05-24 08:33:27,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.16,,155000,11.16,1729800
"Duke Energy Trading and Marketing, L.L.C.",2001-05-24 08:34:11,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.265,,155000,11.265,1746075
"Calpine Energy Services, L.P.",2001-05-24 08:35:14,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.055,,155000,11.055,1713525
"Reliant Energy Services, Inc.",2001-05-24 08:35:57,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.215,,155000,11.215,1738325
"Mirant Americas Energy Marketing, L.P.",2001-05-24 08:38:18,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.355,,155000,11.355,1760025
"AEP Energy Services, Inc.",2001-05-24 08:46:54,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.31,,155000,11.31,1753050
"Enron Energy Services, Inc.",2001-05-24 08:54:13,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.02,,155000,11.02,1708100
"Enron Energy Services, Inc.",2001-05-24 08:55:06,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,10.885,,155000,10.885,1687175
"Mirant Americas Energy Marketing, L.P.",2001-05-24 08:56:09,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.19,,155000,11.19,1734450
"Mirant Americas Energy Marketing, L.P.",2001-05-24 09:10:25,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.225,,155000,11.225,1739875
"Calpine Energy Services, L.P.",2001-05-24 09:15:40,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.115,,155000,11.115,1722825
"Calpine Energy Services, L.P.",2001-05-24 09:27:35,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,10.815,,155000,10.815,1676325
"Calpine Energy Services, L.P.",2001-05-24 09:29:12,2001-06-01 00:00:00,PG&E CITY GATE,2500,77500,10.82,,77500,10.82,838550
Aquila Energy Marketing Corporation,2001-05-24 09:29:54,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,11.075,,155000,11.075,1716625
"Tractebel Energy Marketing, Inc.",2001-05-24 09:56:17,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,10.98,,155000,10.98,1701900
"Duke Energy Trading and Marketing, L.L.C.",2001-05-24 09:58:05,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,10.775,,155000,10.775,1670125
"Enron Energy Services, Inc.",2001-05-24 10:01:18,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,10.475,,155000,10.475,1623625
Aquila Energy Marketing Corporation,2001-05-24 10:02:09,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,10.585,,155000,10.585,1640675
"Calpine Energy Services, L.P.",2001-05-24 10:19:46,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,10.47,,155000,10.47,1622850
"Calpine Energy Services, L.P.",2001-05-24 10:28:39,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,10.3175,,155000,10.3175,1599212.5
PG&E Energy Trading-Gas Corporation,2001-05-24 10:31:09,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,10.575,,155000,10.575,1639125
"Duke Energy Trading and Marketing, L.L.C.",2001-05-24 12:06:45,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,10.225,,155000,10.225,1584875
"Calpine Energy Services, L.P.",2001-05-24 12:49:25,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,9.545,,155000,9.545,1479475
"Enron Energy Services, Inc.",2001-05-24 12:53:33,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,9.37,,155000,9.37,1452350
PG&E Energy Trading-Gas Corporation,2001-05-24 12:55:40,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,9.48,,155000,9.48,1469400
"Reliant Energy Services, Inc.",2001-05-24 12:58:33,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,9.6,,155000,9.6,1488000
"Enron Energy Services, Inc.",2001-05-24 13:24:36,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,9.5,,155000,9.5,1472500
"Calpine Energy Services, L.P.",2001-05-24 13:25:59,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,9.695,,155000,9.695,1502725
"Calpine Energy Services, L.P.",2001-05-24 14:16:13,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,9.265,,155000,9.265,1436075
"Calpine Energy Services, L.P.",2001-05-25 08:29:06,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,9.145,,155000,9.145,1417475
"Calpine Energy Services, L.P.",2001-05-25 08:41:32,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,8.995,,155000,8.995,1394225
Coast Energy Group,2001-05-25 08:56:11,2001-06-01 00:00:00,PG&E CITY GATE,166,5146,9.5,,5146,9.5,48887
"ACN Energy, Inc",2001-05-25 08:56:11,2001-06-01 00:00:00,PG&E CITY GATE,200,6200,9.35,,6200,9.35,57970
"Enron Energy Services, Inc.",2001-05-25 09:01:26,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,9.01,,155000,9.01,1396550
Sempra Energy Trading Corp.,2001-05-25 09:03:45,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,9.115,,155000,9.115,1412825
"Astra Power, LLC",2001-05-25 10:07:20,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,9.315,,155000,9.315,1443825
"Calpine Energy Services, L.P.",2001-05-25 11:01:04,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,9.42,,155000,9.42,1460100
"Calpine Energy Services, L.P.",2001-05-29 08:54:16,2001-06-01 00:00:00,PG&E CITY GATE,10000,310000,8.09,,310000,8.09,2507900
"Tractebel Energy Marketing, Inc.",2001-05-29 09:01:34,2001-06-01 00:00:00,PG&E CITY GATE,10000,310000,8.135,,310000,8.135,2521850
"Calpine Energy Services, L.P.",2001-05-29 09:05:18,2001-06-01 00:00:00,PG&E CITY GATE,10000,310000,8.035,,310000,8.035,2490850
"Coast Energy Group, a division of Cornerstone Propane, L.P.",2001-05-29 09:37:03,2001-06-01 00:00:00,PG&E CITY GATE,1000,31000,7.805,,31000,7.805,241955
PG&E Energy Trading-Gas Corporation,2001-05-29 09:37:15,2001-06-01 00:00:00,PG&E CITY GATE,10000,310000,7.7,,310000,7.7,2387000
"Duke Energy Trading and Marketing, L.L.C.",2001-05-29 10:21:31,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,7.455,,155000,7.455,1155525
Cook Inlet Energy Supply L.L.C.,2001-05-29 15:19:09,2001-06-01 00:00:00,PG&E CITY GATE,4000,124000,7.3,,124000,7.3,905200
"Calpine Energy Services, L.P.",2001-05-30 08:00:09,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,7.2,,155000,7.2,1116000
"Calpine Energy Services, L.P.",2001-05-30 08:49:48,2001-06-01 00:00:00,PG&E CITY GATE,5000,155000,6.9,,155000,6.9,1069500
"e prime, inc.",2001-05-30 09:14:09,2001-06-01 00:00:00,PG&E CITY GATE,4500,139500,6.25,,139500,6.25,871875
"Occidental Energy Marketing, Inc.",2001-05-30 10:03:09,2001-06-01 00:00:00,PG&E CITY GATE,1097,34007,6.3,,34007,6.3,214244.1
WACOG,9.675280415681973,,,,7857353,,,7857353,,76022093.6
,,,,,,,,,,
BP Energy Company,2001-05-24 08:19:41,2001-06-01 00:00:00,SOCAL - Topock,5000,155000,12.605,,155000,12.605,1953775
"Calpine Energy Services, L.P.",2001-05-24 08:22:47,2001-06-01 00:00:00,SOCAL - Topock,5000,155000,12.79,,155000,12.79,1982450
"Reliant Energy Services, Inc.",2001-05-24 08:56:11,2001-06-01 00:00:00,SOCAL - Topock,5000,155000,12.77,,155000,12.77,1979350
BP Energy Company,2001-05-24 08:58:17,2001-06-01 00:00:00,SOCAL - Ehrenberg,5000,155000,12.51,,155000,12.51,1939050
Sempra Energy Trading Corp.,2001-05-24 10:33:35,2001-06-01 00:00:00,SOCAL - Topock,5000,155000,12.4525,,155000,12.4525,1930137.5
Sempra Energy Trading Corp.,2001-05-25 08:33:40,2001-06-01 00:00:00,SOCAL - Ehrenberg,5000,155000,11.595,,155000,11.595,1797225
"Mirant Americas Energy Marketing, L.P.",2001-05-25 08:55:40,2001-06-01 00:00:00,SOCAL - Topock,5000,155000,11.585,,155000,11.585,1795675
"Calpine Energy Services, L.P.",2001-05-25 08:56:11,2001-06-01 00:00:00,SOCAL - Topock,1000,31000,11.7,,31000,11.7,362700
"Enron Energy Services, Inc.",2001-05-25 09:58:58,2001-06-01 00:00:00,SOCAL - Topock,5000,155000,11.64,,155000,11.64,1804200
Cook Inlet Energy Supply L.L.C.,2001-05-29 08:32:45,2001-06-01 00:00:00,SOCAL - Ehrenberg,5000,155000,11.175,,155000,11.175,1732125
Williams Energy Marketing & Trading Company,2001-05-29 08:37:19,2001-06-01 00:00:00,SOCAL - Ehrenberg,10000,310000,11.08,,310000,11.08,3434800
Sempra Energy Trading Corp.,2001-05-29 08:40:44,2001-06-01 00:00:00,SOCAL - Ehrenberg,10000,310000,11.095,,310000,11.095,3439450
"Tractebel Energy Marketing, Inc.",2001-05-29 09:24:27,2001-06-01 00:00:00,SOCAL - Ehrenberg,5000,155000,11.09,,155000,11.09,1718950
"Calpine Energy Services, L.P.",2001-05-29 09:25:55,2001-06-01 00:00:00,SOCAL - Topock,5000,155000,11.05,,155000,11.05,1712750
Southern California Gas Company,2001-05-29 10:04:03,2001-06-01 00:00:00,SOCAL - Ehrenberg,20000,620000,11,,620000,11,6820000
"Calpine Energy Services, L.P.",2001-05-29 11:52:09,2001-06-01 00:00:00,SOCAL - Topock,1000,31000,11.375,,31000,11.375,352625
San Diego Gas & Electric Company,2001-05-29 11:58:09,2001-06-01 00:00:00,SOCAL - Topock,5000,155000,11.23,,155000,11.23,1740650
Dynegy Marketing and Trade,2001-05-29 13:13:09,2001-06-01 00:00:00,SOCAL - Wheeler Ridge,1350,41850,10.5,,41850,10.5,439425
"Occidental Energy Marketing, Inc.",2001-05-29 13:23:09,2001-06-01 00:00:00,SOCAL - Topock,13746,426126,10.72,,426126,10.72,4568070.72
Dynegy Marketing and Trade,2001-05-29 13:28:09,2001-06-01 00:00:00,SOCAL - Ehrenberg,1350,41850,10.5,,41850,10.5,439425
"Enron Energy Services, Inc.",2001-05-29 14:07:53,2001-06-01 00:00:00,SOCAL - Ehrenberg,5000,155000,10.805,,155000,10.805,1674775
"USGT/Aquila, L.P.",2001-05-29 14:10:23,2001-06-01 00:00:00,SOCAL - Topock,5000,155000,10.885,,155000,10.885,1687175
Alleghany Corporation,2001-05-29 15:33:09,2001-06-01 00:00:00,SOCAL - Topock,7388,229028,10.65,,229028,10.65,2439148.2
Williams Energy Marketing & Trading Company,2001-05-30 08:41:52,2001-06-01 00:00:00,SOCAL - Ehrenberg,5000,155000,10.16,,155000,10.16,1574800
"AEP Energy Services, Inc.",2001-05-30 09:22:31,2001-06-01 00:00:00,SOCAL - Topock,5000,155000,10,,155000,10,1550000
Dynegy Marketing and Trade,2001-05-30 09:35:20,2001-06-01 00:00:00,SOCAL - Topock,5000,155000,10.15,,155000,10.15,1573250
TXU Energy Trading Company,2001-05-30 10:51:09,2001-06-01 00:00:00,SOCAL - Topock,3000,93000,10.4,,93000,10.4,967200
WACOG,11.199584097143674,,,,4768854,,,4768854,,53409181.42
