,,,Maximum,,MTD Avg,Prior Mo Avg,Month-2 Avg,Month-2 Avg,Month-3 Avg,Month-4 Avg,,,,,Tue,Mon,Sun,Sat,Fri,,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,54827,77983,77983,79782,79782,38939,135090,135220,135220,109079,0,0,0,0,0,0,0,184028,184028,184028,94932,73439,89291,141126,141126,141126,146103,70645,123404,131228,131228,89020.54838709677
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,20222,20223,20223,8971,8971,8971,8971,8971,8971,8971,8971,8971,8971,18142,8971,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,17096,7096,22000,22000,10672.09677419355
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,421109,502913,502913,655302,655302,447756,521846,446062,446062,585731,466727,466727,466727,587961,391982,463880,463880,570931,570931,570931,438699,464983,496714,524614,524614,524614,645967,428277,487795,476726,476726,506303.2903225807
,,,,,-32629,-27629,-27629,-44629,-44629,-34629,-34629,-34629,-34629,-36129,-14629,-14629,-14629,-14225,-37629,0,0,-10129,-10129,-10129,0,0,-6606,-10274,-10274,-10274,0,-21019,-25019,0,0,-18109.16129032258
,,,,,-85000,-85000,-85000,-85000,-85000,-38968,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-83515.09677419355
,,,,,-148694,-86740,-86740,-165000,-165000,-96852,-60100,-890,-890,-70157,-49106,-49106,-49106,-47169,-13011,-33,-33,-18478,-18478,-18478,-11628,-33,-47030,-30,-30,-30,-150304,-10029,-94173,-33081,-33081,-49145.48387096774
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,-75072,-85134,-85134,-35993,-35993,-43683,-78026,-75701,-75701,-84050,-43245,-43245,-43245,-66423,-35745,-38745,-38745,-58392,-58392,-58392,-69070,-54315,-58455,-74551,-74551,-74551,-51408,-106955,-63355,-131665,-131665,-66116.03225806452
,,,,,-4945,0,0,-7500,-7500,0,0,0,0,0,-7500,-7500,-7500,-2500,0,0,0,-7500,-7500,-7500,-7500,-2000,0,-7500,-7500,-7500,-7500,-3000,0,0,0,-3546.6129032258063
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,-43037,-66032,-66032,-65689,-65689,-57278,-47689,-18654,-18654,-5594,-1294,-1294,-1294,-114927,-4037,-129,-129,-5939,-5939,-5939,-16581,-37774,-46143,0,0,0,-297,-10000,-3992,-21799,-21799,-24311.41935483871
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,-15740,-93733,-93733,-77372,-77372,-84219,-43360,-69317,-69317,-81055,-79354,-79354,-79354,-67371,-24317,-46554,-46554,-18201,-18201,-18201,-21608,-21056,-15201,-49982,-49982,-49982,-59309,-16245,-15201,-72319,-72319,-52447.83870967742
,,,,,0,0,0,-7800,-7800,-75000,-23580,-8,-8,-20867,0,0,0,0,0,-24100,-24100,0,0,0,0,0,0,-6000,-6000,-6000,0,0,0,-1079,-1079,-6561.967741935484
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,-405117,-444268,-444268,-488983,-488983,-430629,-372384,-284199,-284199,-382852,-280128,-280128,-280128,-397615,-199739,-194561,-194561,-203639,-203639,-203639,-211387,-200178,-258435,-233337,-233337,-233337,-353818,-252248,-286740,-344943,-344943,-303753.61290322576
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Month-4 Avg,
,,,,,2001-09-30 00:00:00,2001-09-29 00:00:00,2001-09-28 00:00:00,2001-09-27 00:00:00,2001-09-26 00:00:00,2001-09-25 00:00:00,2001-09-24 00:00:00,2001-09-23 00:00:00,2001-09-22 00:00:00,2001-09-21 00:00:00,2001-09-20 00:00:00,2001-09-19 00:00:00,2001-09-18 00:00:00,2001-09-17 00:00:00,2001-09-16 00:00:00,2001-09-15 00:00:00,2001-09-14 00:00:00,2001-09-13 00:00:00,2001-09-12 00:00:00,2001-09-11 00:00:00,2001-09-10 00:00:00,2001-09-09 00:00:00,2001-09-08 00:00:00,2001-09-07 00:00:00,2001-09-06 00:00:00,2001-09-05 00:00:00,2001-09-04 00:00:00,2001-09-03 00:00:00,2001-09-02 00:00:00,2001-09-01 00:00:00,2001-09-05 00:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,80000,80000,19000,80000,36000,75547,75547,17051,17051,17051,14000,0,0,0,0,0,0,0,0,0,0,78625,78625,78625,2750,73511,10735,0,0,0,27803.933333333334,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7572,7572,7572,7572,0,0,0,0,99303,0,0,0,0,0,18331,37,37,37,4934.433333333333,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,0,0,77806,101720,163201,0,0,78401,78401,78401,134630,0,0,0,0,0,59953,5001,5001,5001,0,0,0,0,0,82501,0,22000,22000,22000,31200.566666666666,
,,,,,83616,83616,72625,72625,74593,96252,96252,76569,76569,76569,73733,81273,87143,87143,87143,87143,88143,88773,100581,100581,103704,60538,60538,60538,56857,87830,137150,70073,70073,70073,82277.2,
,,,,,129684,129684,98757,94024,108093,94746,94746,119701,119701,119701,103317,151349,122100,122100,122100,122100,163326,101378,101378,101378,127210,108133,108133,108133,180000,142418,179375,110010,110010,110010,120093.16666666667,
,,,,,30198,30198,27198,43495,98496,8975,8975,35501,35501,35501,58029,53523,78791,78791,78791,78791,38751,83819,83819,83819,92532,64533,64533,64533,63333,7791,100191,103543,103543,103543,61301.23333333333,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,131228,131228,134487,104131,102430,173767,173767,155747,155747,155747,90905,181099,194482,194482,194482,194482,147740,152945,152945,152945,199046,138905,138905,138905,147240,230426,207779,147296,147296,147296,157262.66666666666,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,51730,22000,22000,22000,22000,22000,22000,50000,50000,50000,25791,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,476726,476726,451873,517995,604813,471287,471287,504970,504970,504970,496614,489244,512088,512088,512088,512088,519913,453916,465724,465724,673525,472734,472734,472734,472180,646477,675561,502959,502959,502959,510664.19999999995,
,,,,,0,0,-20474,-15974,-35474,-21274,-21274,-45474,-45474,-45474,-55437,-37425,-47201,-47201,-47201,-47201,-66071,-43000,-43000,-43000,-30000,-50796,-50796,-50796,-41047,-30264,0,-45374,-45374,-45374,-37248.333333333336,
,,,,,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,
,,,,,-33081,-33081,-29798,0,-30,-13833,-13833,0,0,0,-20,-23749,-10070,-10070,-10070,-10070,-30,-30,-30,-30,-29619,-1659,-1659,-1659,-6002,-57701,-4723,-15,-15,-15,-9696.4,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,-131665,-131665,-145881,-212178,-333121,-129621,-129621,-140889,-140889,-140889,-144954,-90621,-125887,-125887,-125887,-125887,-167799,-145832,-145832,-145832,-86832,-121165,-121165,-121165,-135477,-179954,-176445,-231939,-231939,-231939,-153961.9,
,,,,,0,0,-7500,-7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,-21799,-21799,-5778,-72890,-10000,0,0,-48057,-48057,-48057,-33867,0,0,0,0,0,0,0,0,0,-9047,0,0,0,0,-7000,0,0,0,0,-10878.366666666667,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,-72319,-72319,-15202,-44020,-15201,-42638,-42638,-25201,-25201,-25201,-32883,-20201,-35201,-35201,-35201,-35201,-15201,-15201,-15201,-15201,-36257,-30201,-30201,-30201,-15201,-15201,-47428,-84487,-84487,-84487,-36426.1,
,,,,,-1079,-1079,-5000,0,0,0,0,0,0,0,0,-14968,-2400,-2400,-2400,-2400,-20000,0,0,0,0,0,0,0,0,0,-500,-9,-9,-9,-1741.7666666666667,
,,,,,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03333333333333333,
,,,,,-344943,-344943,-314634,-437562,-478826,-292366,-292366,-344621,-344621,-344621,-352161,-271964,-305759,-305759,-305759,-305759,-354101,-289063,-289063,-289063,-276755,-288821,-288821,-288821,-282727,-375120,-314096,-446824,-446824,-446824,-335452.8999999999,
