Organization Name,Transaction Type,Firm/Interruptable,Volume (MW),Min Price,Max Price,Point Name,
                                                                                          , ,    ,           ,              ,              ,PJM,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,TVA System Border,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
                                                                                          , ,    ,           ,              ,              ,VEPCO System Border,
"ConAgra Energy Services, Inc.                                                             ",P,F   ,40800,44,96,COB N/S,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
"Conectiv Energy Supply, Inc.                                                              ",P,F   ,364000,26,74,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
Connecticut Municipal Electric Energy Cooperative                                         ,P,F   ,17800,47.5,62,NEPOOL PTF,
"Consolidated Edison Energy, Inc.                                                          ",P,F   ,2800,56.5,62.5,NEPOOL PTF,
"Constellation Power Source, Inc.                                                          ",P,F   ,3673625,20.15,500,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Montana System Border,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
"Constellation Power Source, Inc.                                                          ",P,I   ,761,35,55,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,FirstEnergy System Border,
                                                                                          , ,    ,           ,              ,              ,PJM,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
"Coral Power, L.L.C.                                                                       ",P,F   ,1712989,21,203.95,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Coral Power, L.L.C.                                                                       ",P,I   ,28,85,85,NP-15,
"Dayton Power and Light Company, The                                                       ",P,F   ,26212,22.5,83,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,DP&L System Border,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
"Dayton Power and Light Company, The                                                       ",P,I   ,8754,20,135,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,DP&L System Border,
                                                                                          , ,    ,           ,              ,              ,DPL System Border,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,ENWC-Wheatland(CIN)-ENSE,
                                                                                          , ,    ,           ,              ,              ,FirstEnergy System Border,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
"Delano Energy Company, Inc.                                                               ",P,F   ,59816,4.93,249.99,SP-15,
"Des Plaines Green Land Development, L.L.C",P,F   ,588,56,112,ENLC-LINCOLN CENTER (CE)-EPMI,
"DTE Energy Trading, Inc.                                                                  ",P,F   ,778275,15.25,110,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,FirstEnergy System Border,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"DTE Energy Trading, Inc.                                                                  ",P,I   ,1300,15.25,57,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
"Duke Energy Trading and Marketing, L.L.C.                                                 ",P,F   ,11396326,12.2,800,BPA Busbar,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Duke Power, a division of Duke Energy Corporation                                         ",P,F   ,269058,23,60,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,DUKE System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Duke Power, a division of Duke Energy Corporation                                         ",P,I   ,9369,22,120,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,DUKE System Border,
                                                                                          , ,    ,           ,              ,              ,DUKE-AEP Interface,
                                                                                          , ,    ,           ,              ,              ,FPL System Border,
                                                                                          , ,    ,           ,              ,              ,JEA System Border,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Dynegy Power Marketing, Inc.                                                              ",P,F   ,3006606,4.29,550,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Out of ) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-500 Interface (excluding Ramapo),
                                                                                          , ,    ,           ,              ,              ,PJM-WESCOSVL,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Dynegy Power Marketing, Inc.                                                              ",P,I   ,1500,66,90,ERCOT System,
"East Kentucky Power Cooperative, Inc.                                                     ",P,F   ,20000,22.75,48,CINERGY (Into) System,
Edison Mission Marketing & Trading Inc.                                                   ,P,F   ,5404175,5.19,450,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
Edison Mission Marketing & Trading Inc.                                                   ,P,I   ,12260,34.75,71.75,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,COMED (out of) System Border,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
El Paso Electric Company                                                                  ,P,F   ,270343,2,650,Four Corners-230KV,
                                                                                          , ,    ,           ,              ,              ,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,Hidalgo,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
El Paso Electric Company                                                                  ,P,I   ,99749,2,300,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,Hidalgo,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
"El Paso Merchant Energy, L.P.                                                             ",P,F   ,5028441,19.15,515,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Energy Services, Inc.                                                                     ",P,F   ,110450,14.48,14.48,MID COLUMBIA,
Enron Canada Corp.                                                                        ,P,F   ,10000,171.7,3322.42,MID COLUMBIA,
"Enron Energy Services, Inc.                                                               ",P,F   ,4362220,15.08,370,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
Entergy Power Marketing Corp.                                                             ,P,F   ,1124315,22.75,100,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,CSWS System Border ,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,KCPL System Border,
                                                                                          , ,    ,           ,              ,              ,MAMER System Border,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Entergy Power Marketing Corp.                                                             ,P,I   ,5544,4,42,AECI-CSWS/PSO Interface,
                                                                                          , ,    ,           ,              ,              ,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,CSWS System Border ,
                                                                                          , ,    ,           ,              ,              ,CSWS/PSO System Border,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,SC System Border,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
"Entergy Services, Inc.                                                                    ",P,F   ,300,53,68,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
"Entergy Services, Inc.                                                                    ",P,I   ,2393,6,115,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy System Border,
                                                                                          , ,    ,           ,              ,              ,JEA System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,PJM-CEI Interface,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA System Border,
Eugene Water & Electric Board                                                             ,P,F   ,29528,-3,2000,COB N/S,
                                                                                          , ,    ,           ,              ,              ,John Day,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,Portland General System,
Eugene Water & Electric Board                                                             ,P,I   ,25,120,120,John Day,
FirstEnergy Corp.                                                                         ,P,F   ,531,22.75,35,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,FPC System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,PJM,
FirstEnergy Corp.                                                                         ,P,I   ,9846,18,85,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,DP&L System Border,
                                                                                          , ,    ,           ,              ,              ,FirstEnergy System Border,
                                                                                          , ,    ,           ,              ,              ,PJM,
                                                                                          , ,    ,           ,              ,              ,PJM to CEI,
                                                                                          , ,    ,           ,              ,              ,PJM-CEI Interface,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
"FirstEnergy Trading Services, Inc.                                                        ",P,F   ,59200,24.25,71,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
Florida Power & Light Company                                                             ,P,F   ,111256,23,78,JEA System Border,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
Florida Power & Light Company                                                             ,P,I   ,3175,53,175,Entergy System Border,
                                                                                          , ,    ,           ,              ,              ,FPL System Border,
                                                                                          , ,    ,           ,              ,              ,FPL-SC Interface,
                                                                                          , ,    ,           ,              ,              ,SC System Border,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Florida Power Corporation                                                                 ,P,F   ,1262,57,75,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Florida Power Corporation                                                                 ,P,I   ,2937,35,80,FPC System Border,
                                                                                          , ,    ,           ,              ,              ,SC System Border,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA System Border,
"FPL Energy Power Marketing, Inc.                                                          ",P,F   ,77496,35,95,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
"FPL Energy Power Marketing, Inc.                                                          ",P,I   ,3390,41.9,65,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
"Garland, City Of                                                                          ",P,F   ,20,90,90,ERCOT System,
GEN SYS Energy                                                                            ,P,I   ,2455,24,57,GSE System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
"Gleason Power I, L.L.C.",P,F   ,1288,50,53,ENGL-Gleason(TVA)-EPMI,
Great Bay Power Corporation                                                               ,P,F   ,43640,43.75,66,NEPOOL PTF,
"Griffin Energy Marketing, L.L.C.                                                          ",P,F   ,37600,42.5,81.5,NEPOOL PTF,
"Hafslund Energy Trading, LLC                                                              ",P,F   ,606275,34,450,COB N/S,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
Harbor Cogeneration Company                                                               ,P,F   ,22604,60,650,SP-15,
HQ Energy Services (U.S.) Inc.                                                            ,P,F   ,801275,27.5,80,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
Hutchinson Utilities Commission                                                           ,P,F   ,40,75,75,UPA System Border,
"Idaho Power Company, dba IDACORP Energy                                                   ",P,F   ,1976429,15.9,775,AMPS Line,
                                                                                          , ,    ,           ,              ,              ,BPA Busbar,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,John Day,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,Tacoma System Border,
"Illinova Power Marketing, Inc.                                                            ",P,I   ,747,30,57,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,IP System Border,
Imperial Irrigation District                                                              ,P,F   ,2761,150,250,PALO VERDE,
Imperial Irrigation District                                                              ,P,I   ,120,90,150,PALO VERDE,
Indianapolis Power & Light Company                                                        ,P,F   ,85422,15,103,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Out of ) System,
                                                                                          , ,    ,           ,              ,              ,ENWC-Wheatland(CIN)-ENSE,
                                                                                          , ,    ,           ,              ,              ,SIGE System Border,
Indianapolis Power & Light Company                                                        ,P,I   ,194635,1,125,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,CINERGY(PSI)-IPAL Interface,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,IP&L System Border,
ISO New England Inc.                                                                      ,P,F   ,5005802,0.01,164.51,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NSTAR System Border,
                                                                                          , ,    ,           ,              ,              ,UI System Border Financial,
                                                                                          , ,    ,576442,0,0,10 Min Nonspinning Resv NEPOOL,
                                                                                          , ,    ,           ,              ,              ,10 Min Spinning Reserve NEPOOL,
                                                                                          , ,    ,           ,              ,              ,30 Min Operating Resv NEPOOL,
                                                                                          , ,    ,           ,              ,              ,Auto Generation Control NEPOOL,
Jacksonville Electric Authority                                                           ,P,I   ,268,108.8,108.8,JEA System Border,
Kansas City Power & Light Company Inc.                                                    ,P,I   ,201,65,70,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,KCPL System Border,
"Koch Energy Trading, Inc.                                                                 ",P,F   ,3400400,22,235,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Las Vegas Cogeneration, LP                                                                ",P,F   ,29209,-43.36,235.9,LV Cogen,
                                                                                          , ,    ,           ,              ,              ,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,Nevada System,
"Las Vegas Cogeneration, LP                                                                ",P,I   ,664,165.9,220.9,Nevada System,
LG&E Energy Marketing Inc.                                                                ,P,F   ,157000,17.5,115,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
LG&E Energy Marketing Inc.                                                                ,P,I   ,5469,11,65,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
Los Angeles Dept. of Water & Power                                                        ,P,F   ,17240,15,350,COB S/N,
                                                                                          , ,    ,           ,              ,              ,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,Mona,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
Los Angeles Dept. of Water & Power                                                        ,P,I   ,840,225,225,PALO VERDE,
Lower Colorado River Authority                                                            ,P,F   ,1900,46.5,55,ERCOT System,
Lower Colorado River Authority                                                            ,P,I   ,825,53,54,ERCOT System,
"Merchant Energy Group of the Americas, Inc.                                               ",P,F   ,820850,19.25,125,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
