GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations
,,ENA Upstream,"Linder Oil Company, A Partnership",,First Pur Ded Res,96085298,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Louis Dreyfus Natural Gas Corp.,,First Pur GTC,96086628,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Louis Dreyfus Natural Gas Corp.,,Other,96084875,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,"Magnum Hunter Production, Inc.",,First Pur Ded Res,96084367,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA,"Marathon Ashland Petroleum, LLC",,GTC Sale Firm,96085226,,2001-11-30 00:00:00,,ENA - GTC expired on it's own terms.
,,ENA Upstream,"Mayne & Mertz, Inc.",,First Pur Ded Res,96085697,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"Mayne & Mertz, Inc.",,First Pur Ded Res,96085812,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"Mayne & Mertz, Inc.",,First Pur Ded Res,96084710,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA,"McLeod Farms, Inc.",,GTC Sale Firm,96070411,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,MGI Supply Ltd.,,GTC Sale Firm,96083535,,2001-11-30 00:00:00,,ENA: GTc expired under its own terms.
,,ENA,MGI Supply Ltd.,,GTC Sale Firm,96084820,,2001-11-30 00:00:00,,ENA - GTC expired on it's own terms.
,,ENA,Michigan Consolidated Gas Company,,Transportation,96050406,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is not executed.
,,ENA,"Mid Continent Market Center, Inc.",,Storage,96052313,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is not executed.
2001-11-30 00:00:00,Expiration,ENA Upstream,"Mirant Americas Energy Marketing, L.P.",,GTC Sale Firm,96084914,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA,Nexen Marketing,,GTC Pur Firm,96085644,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA Upstream,Nexen Petroleum Sales U.S.A. Inc.,,Other,96084555,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Nexen Petroleum Sales U.S.A. Inc.,,Other,96084562,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Nexen Petroleum Sales U.S.A. Inc.,,Other,96084343,,2001-11-30 00:00:00,,ENA Upstream: - Wellhead Pooling Point Purchase GTC expired on its own terms.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Pur Firm,96086581,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,EMW,"Nicor Enerchange, LLC",,Other,96058624,,2001-11-30 00:00:00,,EMW: GTC GAs Exchange expired under its own terms.
,,ENA Upstream,North Central Oil Corporation,,First Pur Ded Res,96086129,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA,North Central Oil Corporation,,GTC Pur Firm,96079957,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,North Central Oil Corporation,,GTC Pur Firm,96084427,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,North Central Oil Corporation,,GTC Pur Firm,96084432,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,Northern Border Pipeline Company,,Transportation,96086619,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Northern Gas Company,,GTC Sale Firm,96086237,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA,Northern Illinois Gas Company,,Other,96085509,,2001-11-30 00:00:00,,ENA: GTC Gas Exchange expired under its own terms.
,,ENA,Northern Illinois Gas Company,,Other,96086657,,2001-11-30 00:00:00,,ENA--GTC Exchange expired under its own terms 11/02/01
,,ENA,Northern Illinois Gas Company,,Other,96086817,,2001-11-30 00:00:00,,ENA--GTC Exchange expired under its own terms 11/03/01.
,,ENA,Northern Illinois Gas Company,,Other,96087303,,2001-11-30 00:00:00,,ENA--GTC Exchange expired under its own terms 11/08/01.
,,ENA,Northern Illinois Gas Company,,Other,96087305,,2001-11-30 00:00:00,,ENA--GTC Exchange expired under its own terms 11/08/01.
2001-11-30 00:00:00,Expiration,ENA,Northern Illinois Gas Company,,Other,96088058,,2001-11-30 00:00:00,,ENA--GTC Exchange expired under its own terms 11/08/01.
,,ENA,Northern Illinois Gas Company,,Other,96088900,,2001-11-30 00:00:00,,ENA--GTC Exchange expired under its own terms 11/09/01.
,,ENA,Northern Illinois Gas Company,,Other,96089294,,2001-11-30 00:00:00,,ENA--GTC Exchange expired under its own terms 11/13/01.
,,ENA,Northern Illinois Gas Company,,Other,96090225,,2001-11-30 00:00:00,,ENA--GTC Exchange expired under its own terms 11/13/01.
,,ENA,Northern Illinois Gas Company,,Other,96084940,,2001-11-30 00:00:00,,ENA  - GTC expired on it's own terms.
,,ENA,"Octagon Resources, Inc.",,GTC Sale Firm,96086430,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA,"Octagon Resources, Inc.",,GTC Pur Firm,96086432,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA,"Octagon Resources, Inc.",,GTC Sale Firm,96082165,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Octagon Resources, Inc.",,GTC Pur Firm,96082166,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA Upstream,"Orion Pipeline, L.L.C.",,Other,96085196,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA Upstream,"Orion Pipeline, L.L.C.",,Other,96085202,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA,Pacific Gas & Electric Company,,Parking,96045763,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is executed.
,,ENA,Pacific Gas & Electric Company,,Parking,96045765,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is executed.
,,ENA,Pacific Gas & Electric Company,,Parking,96045767,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is executed.
,,ENA,Pacific Gas & Electric Company,,Parking,96064205,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is not executed.
,,ENA,Pacific Gas & Electric Company,,Parking,96065441,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is not executed.
,,ENA,Pacific Gas & Electric Company,,Parking,96069003,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA Upstream,"Panaco, Inc.",,First Pur Ded Res,96085325,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"Panaco, Inc.",,First Pur Ded Res,96085643,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"Panaco, Inc.",,First Pur Ded Res,96085008,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
2001-11-30 00:00:00,Expiration,ENA Upstream,"Panaco, Inc.",,First Pur Ded Res,96085022,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA Upstream,"Panaco, Inc.",,First Pur Ded Res,96085031,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA Upstream,"Panaco, Inc.",,First Pur Ded Res,96085037,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA Upstream,"Panaco, Inc.",,First Pur Ded Res,96085108,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA Upstream,"Panaco, Inc.",,First Pur Ded Res,96085113,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA,Paul L. Bryan Mineral Trust,,GTC Sale Firm,96086631,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA Upstream,Phoenix Gas Pipeline Company,,Other,96085004,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA Upstream,Phoenix Gas Pipeline Company,,Other,96085007,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA Upstream,"Pioneer Natural Resources USA, Inc.",,Other,96085143,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA,Plains Gas Farmers Cooperative Society of Hereford,,GTC Sale Firm,96084679,,2001-11-30 00:00:00,,ENA  - GTC expired on it's own terms.
,,ENA Upstream,"ProGas, Inc.",,First Pur GTC,96086241,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"ProGas, Inc.",,First Pur GTC,96086245,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"ProGas, Inc.",,First Pur GTC,96087290,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Q-West Energy Company,,Other,96085731,,2001-11-30 00:00:00,,ENA Upstream: Wellhead Pooling Point Purchase GTC expired under its own terms.
,,ENA,Red Willow Production Company,,GTC Pur Firm,96084828,,2001-11-30 00:00:00,,ENA  - GTC expired on it's own terms.
,,ENA Upstream,Riverside Pipeline Company,,Other,96086115,,2001-11-30 00:00:00,,ENA Upstream: Wellhead Pooling Point Purchase GTc expired under its own terms.
,,ENA Upstream,"Riverside Products & Services, LLC",,First Pur Ded Res,96086081,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,"Riverside Products & Services, LLC",,First Pur Ded Res,96086085,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,"Riverside Products & Services, LLC",,First Pur Ded Res,96086089,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA,"RMS Monte Christo, LLC",,GTC Pur Firm,96086495,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA Upstream,Samedan Oil Corporation,,First Pur Ded Res,96085717,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA,Samson Investment Company,,GTC Pur Firm,96085234,,2001-11-30 00:00:00,,ENA - GTC expired on it's own terms.
,,ENA,"Seminole Energy Services, L.L.C.",,GTC Pur Firm,96052662,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
2001-11-30 00:00:00,Expiration,ENA Upstream,"Sequent Energy Management, L.P.",,Other,96086187,,2001-11-30 00:00:00,,ENA Upstream--Wellhead Pooling Point GTC expires under its own terms.
,,ENA Upstream,Shoreline Gas Inc.,,Other,96084512,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Shoreline Gas Inc.,,Other,96084517,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Shoreline Gas Inc.,,Other,96084518,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Shoreline Gas Inc.,,Other,96084496,,2001-11-30 00:00:00,,ENA Upstream: Wellhead Pooling Point Purchase GTC expires under its own terms.
,,ENA,Smurfit-Stone Container Corporation,,GTC Sale Firm,96085163,,2001-11-30 00:00:00,,ENA - GTC expired on it's own terms.
,,ENA,South Jersey Resources Group LLC,,GTC Sale Firm,96050639,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA Upstream,"Spinnaker Exploration Company, L.L.C",,First Pur Ded Res,96085784,,2001-11-30 00:00:00,,ENA Upstream:  GTC expired under its own terms.
,,ENA Upstream,"Spinnaker Exploration Company, L.L.C",,First Pur Ded Res,96085786,,2001-11-30 00:00:00,,ENA Upstream:  GTC expired under its own terms.
,,ENA Upstream,"Spinnaker Exploration Company, L.L.C",,First Pur Ded Res,96085790,,2001-11-30 00:00:00,,ENA Upstream:  GTC expired under its own terms.
,,ENA Upstream,"Spinnaker Exploration Company, L.L.C",,First Pur Ded Res,96085791,,2001-11-30 00:00:00,,ENA Upstream:  GTC expired under its own terms.
,,ENA Upstream,"Spinnaker Exploration Company, L.L.C",,First Pur Ded Res,96085793,,2001-11-30 00:00:00,,ENA Upstream:  GTC expired under its own terms.
,,ENA Upstream,"Spinnaker Exploration Company, L.L.C",,First Pur Ded Res,96085795,,2001-11-30 00:00:00,,ENA Upstream:  GTC expired under its own terms.
,,ENA Upstream,"Spinnaker Exploration Company, L.L.C",,First Pur Ded Res,96085799,,2001-11-30 00:00:00,,ENA Upstream:  GTC expired under its own terms.
,,ENA,Sunoco Inc.,,GTC Sale Firm,96086470,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA,Swift Energy Company,,GTC Pur Firm,96080585,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,Tennessee Gas Pipeline Co.,,Parking,96067496,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
2001-11-30 00:00:00,Expiration,ENA,Tennessee Gas Pipeline Co.,,Parking,96067497,,2001-11-30 00:00:00,,ENA: This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Tennessee Gas Pipeline Co.,,Parking,96067498,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Tennessee Gas Pipeline Co.,,Parking,96067499,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Tennessee Gas Pipeline Co.,,Parking,96067501,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Tennessee Gas Pipeline Co.,,Parking,96067500,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA Upstream,Tennessee Gas Pipeline Co.,,Transportation,96086420,,2001-11-30 00:00:00,,ENA Upstream:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Tennessee Gas Pipeline Co.,,Transportation,96086681,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,"Texas Eastern Transmission, LP",,Capacity Release,96086568,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,"Texas Eastern Transmission,LP",,Capacity Release,96086571,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,"Texas Energy Transfer Company, Ltd.",,GTC Pur Firm,96067318,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Texas Energy Transfer Company, Ltd.",,GTC Pur Firm,96085001,,2001-11-30 00:00:00,,ENA  - GTC expired on it's own terms.
,,ENA,"Texas Energy Transfer Company, Ltd.",,GTC Pur Firm,96085206,,2001-11-30 00:00:00,,ENA  - GTC expired on it's own terms.
,,EMW,The Peoples Gas Light  & Coke Company,,Parking,96085693,,2001-11-30 00:00:00,,EMW:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,The Peoples Gas Light & Coke Company,,Parking,96086707,,2001-11-30 00:00:00,,ENA:  This contract expired on 11/02/2001.
,,ENA Upstream,"Torch Energy TM, Inc.",,First Pur GTC,96086615,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"Torch Energy TM, Inc.",,First Pur GTC,96087296,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
2001-11-30 00:00:00,Expiration,ENA Upstream,"Torch Energy TM, Inc.",,First Pur GTC,96087328,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA,"Torch Energy TM, Inc.",,GTC Sale Firm,96085231,,2001-11-30 00:00:00,,ENA - GTC expired on it's own terms.
,,ENA Upstream,Unimark LLC,,Other,96086617,,2001-11-30 00:00:00,,ENA Upstream--Wellhead Pooling Point GTC expires under its own terms.
,,ENA,Union Gas Limited,,Parking,96086184,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Union Gas Limited,,Transportation,96087455,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Union Gas Limited,,GTC Pur Firm,96085803,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,United States Gypsum Company,,GTC Sale Firm,96085373,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Utility Resource Solutions, LP",,GTC Sale Firm,96086319,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA Upstream,"Westport Oil & Gas Company, Inc.",,First Pur GTC,96086191,,2001-11-30 00:00:00,,ENA Upstream--GTC expires under its own terms.
,,ENA,"WPS Energy Services, Inc.",,GTC Sale Firm,96062235,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA Upstream,"W&T Offshore, Inc.",,First Pur Ded Res,96085333,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"W&T Offshore, Inc.",,First Pur Ded Res,96085339,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"W&T Offshore, Inc.",,First Pur Ded Res,96085342,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"W&T Offshore, Inc.",,First Pur Ded Res,96085347,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"W&T Offshore, Inc.",,First Pur Ded Res,96085207,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA Upstream,"W&T Offshore, Inc.",,First Pur Ded Res,96085211,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA Upstream,"W&T Offshore, Inc.",,First Pur Ded Res,96085214,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA Upstream,"W&T Offshore, Inc.",,First Pur Ded Res,96085219,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA,"Yankee Gas Services Co., Inc.",,GTC Sale Firm,96084522,,2001-11-30 00:00:00,,ENA  - GTC expired on it's own terms.
,,ENA,Yates Petroleum Corporation,,GTC Pur Firm,96030827,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,Yates Petroleum Corporation,,GTC Pur Firm,96031066,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
2001-11-30 00:00:00,Termination,ENA,Duke Energy Marketing Limited Partnership,,GTC Pur Firm,96035979,,2001-11-30 00:00:00,,ENA--Contract terminated due to use of new master.
,,ENA,Duke Energy Marketing Limited Partnership,,GTC Sale Firm,96061736,,2001-11-30 00:00:00,,ENA:  Contract terminated due to use of new master.
2001-11-30 00:00:00,Termination,ENA,Duke Energy Marketing Limited Partnership,,GTC Sale Firm,96060361,,2001-11-30 00:00:00,,ENA:  Contract terminated due to use of new master.
,,ENA,Duke Energy Marketing Limited Partnership,,GTC Pur Firm,96040796,,2001-11-30 00:00:00,,ENA:  Contract terminated due to use of new master.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,First Pur Ded Res,96057012,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,First Pur Ded Res,96057006,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Pur Firm,96076968,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Pur Firm,96064349,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Pur Firm,96063769,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Pur Firm,96063727,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Pur Firm,96062579,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Pur Firm,96062225,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
2001-11-30 00:00:00,Termination,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Pur Firm,96058538,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Pur Firm,96058088,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Sale Firm,96088503,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Sale Firm,96062651,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Sale Firm,96061868,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Sale Firm,96061014,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Sale Firm,96061005,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Sale Firm,96060434,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Sale Firm,96060433,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Sale Firm,96056991,,2001-11-30 00:00:00,,ENA: GTC terminated due to execution of new Master Purchase/Sale Firm and Interruptible agreement -96093559.
2001-11-30 00:00:00,Termination,ENA,EEX Corporation,,GTC Pur Firm,96085176,,2001-11-30 00:00:00,,ENA--GTC terminated due to CP name change.
,,ENA,"enovate, L.L.C.",,Other,96053674,,2001-11-30 00:00:00,,ENA--Online GTC terminated due to use of Online GTC+Collateral.
,,enovate,Enron North America Corp.,,Other,96053679,,2001-11-30 00:00:00,,enovate--Online CTG terminated due to use of Online GTC+Collateral.
,,ENA,"Giant Industries, Inc.",,GTC Sale Firm,96068983,,2001-11-30 00:00:00,,ENA--GTC terminated due to CP name change.
,,ENA,"Giant Industries, Inc.",,GTC Sale Firm,96086313,,2001-11-30 00:00:00,,ENA--GTC terminated due to CP name change.
,,ENA,Giant Refining Company,,GTC Sale Firm,96067755,,2001-11-30 00:00:00,,ENA--GTC terminated due to CP name change.
,,ENA,"Heartland Energy Group, Inc.",,GTC Pur Firm,96067620,96090253,2001-11-30 00:00:00,,"ENA--GTC terminated.  CP name changed and deal moved to new NG Energy Trading, L.L.C. MPSF."
,,ENA,"Heartland Energy Services, Inc.",,GTC Pur Firm,96064133,96090253,2001-11-30 00:00:00,,"ENA--GTC terminated.  CP name changed and deal moved to new NG Energy Trading, L.L.C. MPSF."
,,ENA,"Heartland Energy Services, Inc.",,GTC Pur Firm,96064310,96090253,2001-11-30 00:00:00,,"ENA--GTC terminated.  CP name changed and deal moved to new NG Energy Trading, L.L.C. MPSF."
,,ENA,"Heartland Energy Services, Inc.",,GTC Pur Firm,96064410,,2001-11-30 00:00:00,,ENA--GTC terminated.  CP name changed and deal killed.
,,ENA,"Heartland Energy Services, Inc.",,GTC Sale Firm,96067271,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,Kaiser Aluminum,,GTC Sale Firm,96086480,,2001-11-30 00:00:00,,ENA--GTC terminated due to CP name change.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Pur Firm,96057146,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Pur Firm,96060261,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Pur Firm,96063123,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Pur Firm,96063196,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Pur Firm,96063230,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Pur Firm,96063380,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Pur Firm,96063534,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Pur Firm,96063535,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Pur Firm,96076918,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Pur Firm,96076946,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Pur Firm,96077329,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,"NG Energy Trading, L.L.C.",,GTC Sale Firm,96057147,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
2001-11-30 00:00:00,Termination,ENA,"NG Energy Trading, L.L.C.",,GTC Sale Firm,96060264,96090253,2001-11-30 00:00:00,,ENA--GTC terminated.  Deal moved to new MPSF.
,,ENA,Oryx Gas Marketing Company,,GTC Sale Firm,96086636,,2001-11-30 00:00:00,,ENA--GTC terminated due to CP name change.
