East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List
Mid Marketing,Braddock,Alabama Electric,SERC,0.05,"AEC to buy 50MW, 5x16, firm LD, into SOCO",Dec '01,50MW,$27/MWh,"AEC has begun talking to our hourly traders again as they have some to offer off of test unit, but may still have needs as testing continues.  The unit runs fine when up, but starting is still a problem.  May need to buy for Dec.  ",2001-11-05 00:00:00,Q4,25000
Mid Marketing,Braddock,Southern,SERC,0.05,"SOCO/ITS spread, 100MW, 5x16 whereby ENE sells into SOCO and buys on Ga-ITS",1/1/02-12/31/02,100MW,$2.00/MWh,"ENE bid $2.00.  SOCO offered $2.50.  We may be able to get there.  They are now comfortable with LD nature of both products, but may cut ITS if we cut SOCO.  This is fine with the understanding that both are LD events on 2 different products (I.e. not necessarily a wash).  Spread has widened, so no deal at this time.",2001-11-20 00:00:00,Q4,100000
Mid Marketing,Braddock,TVA,SERC,0.05,TVA interested in weather protection against a mild summer next summer.  Initial discussions leaning toward ENE selling a CDD swap or put.,summer '02,TBD,TBD,ENE sent information on weather products on 9/14/01.  In process of deciding which city (Memphis is preference) for reference weather station.  TVA is tying to hedge risk of reduced power revenues that result from mild temperatures in the summer months.  Trader has sent information to weather group at TVA.  They are still evaluating desire to enter into any weather hedge transactions.,2001-11-20 00:00:00,Q1'02,50000
Mid Marketing,Braddock,Reliant,SERC,0,ENE buys firm power to meet load shape of JEA contract.,present-Dec 31 '02,< 93MW,$37/MWh peak; $25/MWh offpeak,Saw Mike Antonell at Power Mart.  He indicated a strong interest in supplying this position.  ENE sent revised term sheet on 10/17/01.  Reliant has energy available off of Indian River and may be able to use this capacity to fill JEA position.  His initial inclination was to sell into FPL.  Mike said he will only sell unit cont. off Indian River in a 50MW block.  No Deal.,2001-11-12 00:00:00,Q4,100000
Origination,Day/Braddock,New Smyrna Utility,FRCC,0.05,Requested an EEI in order to start short term trading with us. Florida Power Light contract up in '02. Current opportunity is a park/lend arrangement.  ,1/1/02-12/31/02,50MW,"$1/MWh or $50,000",Sent a parking/lending proposal on 10/26/01 to ensure understanding of concept.  New Smyrna has done short-term parking arrangements in the past and is comfortable with concept.  ENE needs to complete a transmission evaluation to decide upon value at New Smyrna.  ENE not as interested immediately as new Duval product release has been delayed.,2001-10-26 00:00:00,Q4,50000
Origination,Jafry/Braddock/Emmons,NCEMC,SERC,0.05,Supply baseload power to NCEMC,Starting '06,800MW,TBD,"NCEMC is planning on an informal RFP process, but is willing to talk to ENE and review alternate structures and products.  Meeting planned in NC in the first week of October (after NCEMC is done making a decision on their last RFP).",2001-10-10 00:00:00,Q1 '02,TBD
Origination,Jafry/Emmons,Blue Ridge Power Agency,SERC,0.05,Submitted preliminary indicative pricing and potential deal structures for members of the Blue ridge power Agency.,"Varies per member End date is Dec 31, 2007",app 500-600 MW,TBD,Submitted indicative pricing based on CVEC deal.  $42.00 w/out Ancillary Services and $46.00 All Requirements,2001-10-23 00:00:00,Q4,TBD
Origination,Kroll/Rorschach/Acevedo/Emmons,Entergy,SPP,0.05,RFP for 10% of PTB Load into Entergy TX (70-80 MW peak load),4/02 for 3 years,70 MW,app $40.56,"RFP due on Monday Sept. 24, 2001.  Short list to be determined in late Oct early Nov.  Meeting with Entergy New Orleans 9/27/01 to discuss.",2001-10-16 00:00:00,Q4,TBD
Origination,Kroll/Rorschach/Acevedo/Emmons,Entergy,SPP,0.05,RFP for supply  into LA ,Starting '04 + 10 years,Minimum of 50  - 150 MW,$31.704 /MW,"Submitted RFP on Sept. 12, 2001 Following -up with Entergy Woodlands 9/26/01.  No date given in RFP, but bid is to be effective thru Oct. 2001",2001-10-16 00:00:00,Q4,TBD
Origination,Fairley,TECO,SPP,0.1,Asset management service and/or tolling deal for Dell and McAllen plants in Entergy.,3 years starting 6-2003,(2) 500 MW,,Services Group has proposed rolling this deal into the Frontera restructure.,2001-10-23 00:00:00,Q4,
Mid Marketing,Johnston/Piazze,SPSA,SERC,0.1,Enron to market power off of a trash burning unit,July-Oct '01,30-60 MW,TBD,Interconnect agreement b/t SPSA and VEPCO done.  Now working negotiations reference Schedule 19 contract that terminates 6/02.,2001-09-28 00:00:00,Q4,15000
Mid Marketing,Jafry/Braddock/Emmons,Piedmont,SERC,0.05,Services and power marketing to replace arrangement with TEA.  Owns 300MW generation with peak summer load of 390MW.  Majority of gen. Is from Catawba nuclear unit (286MW).  Within Duke service territory.,TBD,300MW,TBD,"ENE held initial meeting with Piedmont on 9/25.  TEA is current marketer and has been for approx. 9 months.  TEA term has a 30 notice out.  ENE received executed CA and is working with Services group to get more detailed info. Draft proposal completed to market excess and provide 24 hour remote site monitoring.  Initial response was to wait to ""let the dust settle around ENE"" before continuing discussions.",2001-11-20 00:00:00,Q4,Accrual
Northeast,,,,,,,,,,,,
Origination,Llodra/Wood,ANP,NEPOOL,0.25,Financial Toll,Cal '02 and/or cal '03,TBD,,Will show indicative bid this week,2001-10-26 00:00:00,Q4,500000
Origination,Letzerich/Luong,NJ BGS,PJM,0.25,All NJ utilities in NJ to jointly auction default load.  Looking at bid on 1000 MW of PSEG full requirements load.,1yr,1000 MW,TBD,Bk to bk contract looks promising after last weeks meetings.  Resolving non-compete with New Pwr Co and other internal issues.,2001-10-17 00:00:00,Q4,50000
Mid Market,Wheeler/Politis,Dynegy,PJM/NY,0.2,Dynegy sell Zone G or A vs. buy PJM,1-4 years,100 MW,discuss structures,Waiting for levels for them,2001-11-07 00:00:00,Q4,50000
Mid Market,Wheeler,General Electric,NY,0.2,Looking at 7x24 swap zone F,Cal02,20-40 MW, ,waiting corporate approval,2001-09-04 00:00:00,Q4,250000
Origination,Letzerich/Luong,Keyspan Energy Services,NY,0.2,"As Keyspan will not make their budget, we are pursuing ideas to ""shift"" profit from next year to this year, including Keysapn selling a call, a tilted swap.  Also potential for a services deal (EES could take some of NY regulatory risk).  Maureen Smith is ENA contact on gas desk.",1yr,TBD,TBD,"submitting ideas next week,",2001-10-02 00:00:00,Q4,150000
Mid Market,Wheeler/Politis,NRG,PJM West,0.2,RFP for PJM East Bids,Jan02-Dec04 RTC,50-100MW,,"NRG has credit issues with us, need to find size we are able to do",2001-11-06 00:00:00,Q4,100000
Mid Market,Wheeler,OPG,NY,0.2,Sell On Peak Zone A or C,Cal02,50MW,39.75 or 43,waiting to see what zone they want to do,2001-11-02 00:00:00,Q4,
Origination,Llodra,PGET,NEPOOL,0.2,Assume up to 15% of their Mass Electric Standard Offer load (all-requirements),Starting 1/1/02 for term of 1-3 years,"225 MW peak, ~120 MW average",Indicative pricing due on 11/16/01,Pricing due on 11/16.  Final pricing and execution ~12/4/01,2001-10-31 00:00:00,Q4,$2-10 MM
Mid Market,Wood,Burlington Elec,NEPOOL,0.1,ENA sell energy,Cal '03,50 MW,none yet,awaiting approval/ may do long from confirm,10/3/011,Q4,150000
Mid Market,Politis/Wheeler,Constellation,PJM,0.1,3 Year Spark Spread Call Option,3 year,100MW,,$1.75 bid vs. our $2.75 offer,2001-10-07 00:00:00,Q4,20000
Mid Market,Politis,Allegheny Energy,PJM,0.1,3 Year Spark Spread Call Option,3 year,100 MW,,$3.50 bid vs. our $4.50 offer,2001-10-08 00:00:00,Q4,20000
Mid Market,Wheeler/Politis,Allegheny Energy,PJM West,0.1,Load following for default service,7/1/02-12/31/08,100 MW,,,2001-10-29 00:00:00,Q4,50000
Mid Market,Wood/Llodra,Braintree,NEPOOL,0.1,ENA sell monthly fixed load shapes,Jan02-Dec07,20 MW on peak; 10 Off,Did not move due to price increases,Waiting for price movement but currently working to peel off a piece,2001-11-06 00:00:00,Q4,100000
Mid Market,Wood,Cinergy,NEPOOL,0.1,ENA sell ICAP,2005-2016,40 to 85 MW,about $1.50,working credit and legal,2001-11-06 00:00:00,Q4,100000
Origination,Llodra,CMEEC,NEPOOL,0.1,Portfolio opt services,1-3 years,~200-300 MW,,Waiting on CA from them to enable them to provide contract portfolio and system load info.  Might be on hold due to CMEEC's limitaed abillity to deal with Enron due to concerns about Enron's credit,2001-10-31 00:00:00,,$500-$750 k
Origination,Llodra,CMEEC,NEPOOL,0.1,"Gen development opps utilizing CMEEC's tax-exempt status, including a project in Norwalk CT (highly constrained area)",,,,Waiting on CA from them.  Might be on hold due to CMEEC's limitaed abillity to deal with Enron due to concerns about Enron's credit,2001-10-31 00:00:00,,
Origination,Llodra,CMEEC,NEPOOL,0.1,Sell CMEEC 50 MW,5-10 years,50 MW 7X24,,They will issue RFP in few weeks,2001-10-31 00:00:00,Q4,$500-750 K
Mid Market,Wood/Llodra,Duke,NEPOOL,0.1,Duke sell slice of NEPOOL hourly load,Cal '02 and/or cal '03,250 MW,They are looking to get bids w/in next week or two,On hold.  Waiting for feedback from ANP ,2001-11-02 00:00:00,,200000
Mid Market,Wood,Enron Outage Insurance Group,NEPOOL,0.1,ENA buy outage insurance for Seabrook position,Jun-Sep02,20 MW,250000,"Cap of $5,000,000; Dana considering currently",2001-10-30 00:00:00,Q4,30000
Origination,Letzerich/Luong,First Energy GPU,PJM,0.1,Enron to take a slice of their full requirement load.,1 yr,500 MW,TBD,Waiting for NJ BPU final approval of merger,2001-10-02 00:00:00,Q4,25000
Mid Market,Wheeler/Politis,FPL,PJM East,0.1,Buy PJM east,Jan04-Dec08 RTC,50 MW,44.5,On hold due to credit rejection by FPL,2001-11-06 00:00:00,Q4,100000
Mid Market,Wood,GMP,NEPOOL,0.1,Portfilio outage insurance,"Q3,4 of 2002",50 or 100 MW,,getting unit information,2001-11-06 00:00:00,Q4,25000
Mid Market,WHeeler,Keyspan Ravenswood,NY,0.1,Zone K Synthetic Toll 9 HR,2004-2008,50 MW,,,2001-10-25 00:00:00,Q4,90000
Mid Market,Wood/Llodra,Mansfield,NEPOOL,0.1,ENA sell monthly fixed load shapes,Jan02-Dec11,4.5 to 9 MW,Shortlisted,Shortlisted,2001-11-06 00:00:00,Q4,500000
Mid Market,Wood/Llodra,Middelton,NEPOOL,0.1,ENA sell monthly fixed load shapes,Jan02-Dec06,4 to 9 MW,Shortlisted,Shortlisted,2001-11-06 00:00:00,Q4,200000
Mid Market,Wood,New Brunswick Power,NEPOOL,0.1,ENA buy ICAP off units in NB owned by Enron Canada,Dec01-Mar02,100 to 200 MW,Preliminary discussions,Visited in Aug. - awaiting Enron Canada's progress on possible sale of units,2001-10-04 00:00:00,Q4,250000
Mid Market,Wood/Llodra,NRG,NEPOOL,0.1,Tolling off of Norwalk Harbor,Jan-Dec02,250 MW,,Waiting  load and weather data,2001-09-04 00:00:00,Q4,200000
Mid Market,Politis,NYSEG,PJM West,0.1,"Sell energy, unforced capacity credits",Cal02,20 MW,$38 and $46,NYSEG will be visiting in 2-3 weeks,2001-10-31 00:00:00,Q4,10000
Mid Market,Politis,Old Dominion,PJM West,0.1,Sell Cal02 73 MW ATC with an embedded option to curtail power,Cal02,73 MW,$29.90 minus option value,Another meeting with their client on Nov.9,2001-11-05 00:00:00,Q4,20000
Mid Market,Wheeler/Politis,PGE,NY,0.1,"Zone G, ene bid",Jun03-Dec07,50-100MW,,sending out term sheet and looking at credit,2001-10-29 00:00:00,Q4,150000
Mid Market,Wood/Letzerich,SAPPI,NEPOOL,0.1,ENA investigating purchase of 107MW generation entitlement and supply of 95 MW full requirements load in Maine.,,,,Waiting formulation of RFP by SAPPI,,,5000
Origination,Llodra,United Illuminating,NEPOOL,0.1,Extend Current Standard Offer agreement 3 yrs.,04-'06,17 million mwh pv,,Very preliminary discussions.  Contingent on various regulatory and legislative developmenst in CT.,2001-10-12 00:00:00,Perhaps by mid '02,50 MM
Mid Market,Wood,VEC,NEPOOL,0.1,ENA sell all requirements ,2002-2006,8-10 MW,bid at $33-34,Looks way off our mid,2001-09-20 00:00:00,Q4,150000
Mid Market,Wood/Llodra,South Hadley,NEPOOL,0.1,Enron sell energy to Muni,Jan02-Dec11,Peak 6-9MW; Off Peak 1/2 to 3 MW,Indicative pricing due 11/9/01,Submitted indicative pricing 11/9/01,2001-11-06 00:00:00,Q4,150000
Mid Market,Wood/Llodra,Select Energy,NEPOOL,0.1,Select assume UI load obligation or slice of NEPOOL transaction,Cal 02 and 03,up to 1200 MW,They call us; Select developing incicative numbers,,2001-11-06 00:00:00,Q4,500000 +
Mid Market,Politis,Constellation,PJM West,0.05,Showed a 2 way on Cal06-10 On-Peak,Cal06-10,50 MW,$39-41.50,We improved the bid but still $2 away,2001-11-02 00:00:00,Q4,50000
Mid Market,Wood,GMP,NEPOOL,0.05,ENA sell energy,"03,04,05",25 MW,they target $31,watch the market,2001-10-05 00:00:00,Q4,50000
Mid Market,Wood,GMP,NEPOOL,0.05,ENA sell energy at HQ Zone M to D,Bal weeks,39 MW,Working ,Issues 1) Physical or Financial; 2) transmission,2001-10-05 00:00:00,Q4,10000
Mid Market,Wood/Letzerich,MATEP,NEPOOL,0.05,Buy energy and ancillaries off of new 60 MW in development,1-3 yrs starting 3/02,Up to 60 MW,,Informed MATEP of indicative pricing - awiaing decision from MATEP mgmnt.,2001-10-04 00:00:00,Q4,200000
Mid Market,Wood/Llodra,PPL Energy Plus,NEPOOL,0.05,PPL offer tolling offer Wallingford LM 6000,"3,5,10 yrs starting 2002",up to 200 MW,Reviewing internally,Yet another trial balloon from PPL and Wallingford - will review,2001-10-08 00:00:00,Q4,250000
Mid Market,Politis,PSEG,PJM West,0.05,PSEG buys DPL vs. sells West Hub,Cal02,50MW,$3.50 bid,"We are the same way, actually better bid",2001-10-31 00:00:00,Q4,10000
Origination,Llodra,Select Energy,NEPOOL,0.05,"Assume Wholesale Power Contract that they currently have with their affiliate (CLP).  Basically involves selling on/off peak quantities, with daily option to curtail for specified number of days/year (i.e. swap sale, daily call purchase)",02-'13,4.3 million mwh notional,Above market contract.  EPMI would need to make up front payment to Select (likely in $3-$5 MM range),Apart on price right now.  Pre-pay structure likely difficult right now.,2001-10-26 00:00:00,,1-3 MM
Origination,Llodra,Wisvest,NEPOOL,0.05,Aquire 2 gen. Facilities in southern Connecticut,,,,Waiting on offer memorandum,2001-10-15 00:00:00,Q4/Q1'02,not MTM
Mid Market,Wood,CVPS,NEPOOL,0.1,ENA provide range of Services,2 yr,450 MW,,Had conf. Call with Ed and Tom 10/29/01 - very positive; CV will award in Q2 02 -,2001-10-30 00:00:00,Q4,not MTM
Development,,,,,,,,,,,,
Development,Booth,AES,,0.9,AES Haywood Deal,,540MW,,$2MM upside payment expected for Q4,2001-10-30 00:00:00,Q4,2000000
Development,Keenan/Grube,FPLE/ Calpine 1,,0.5,"Develop for site flip, additional MWs, or customer deal.  In discussions with FPL, Calpine, and TECO on site sale. ",,,,Negotiating definitive documents with Calpine,2001-10-07 00:00:00,Q4,250000
Development,Keenan/Grube,FPLE/ Calpine 2,,0.5,"Develop for site flip, additional MWs, or customer deal.  In discussions with FPL, Calpine, and TECO on site sale. ",,,,Negotiating definitive documents with Calpine,2001-10-07 00:00:00,Q4,250000
Development,Mitro,Onondaga,,0.5,Sale of Enron's cash flow interest in Onondaga plant.,,,,In process of preparing prospectus for potential customers.,2001-10-09 00:00:00,Q4,2000000
Development,Keenan/Gimble,,,0.4,"Site Sale/Monetization of Fort Pierce site in St. Lucie County, Florida.",,,,In process of identifying potential customers.  Information Memo sent out to potential customers.,2001-10-16 00:00:00,Q4,5000000
Development,Booth,,,0.35,Enron sells Calvert City project in Kentucky.,,510 MW,,Potential buyers reviewing due diligence binders.  Final CAs being prepared.,2001-09-25 00:00:00,Q4,1000000
Generation Investments,,,,,,,,,,,,
Generation Investments,Robinson,Brownsville,ERCOT,0.4,Asset Development,,500MW,,Municipal Develelopment with option to expand ,2001-09-12 00:00:00,Q302,45000000
Generation Investments,Marks/Munoz,Consumers,Midwest,0.3,Restructuring of Ada PPA to seller's choice,,29 MW,<$5 mm,We'll meet with Consumers on 11/20 to discuss regultory issues and pricing,2001-10-24 00:00:00,Q102,7000000
Generation Investmests,Tricoli/Grace/Heintzelman/Kiani,Calpine,,0.25,"MPA for plants in ERCOT, FRCC, NEPOOOL, NYPP and PJM - our pick",,,,Revised term sheet delivered 10/17.  Meeting Calpine attorneys this week to discuss structure.  Meeting in Houston 10/23 to discuss pricing and settlement issues.,2001-10-24 00:00:00,Q402,15000000
Generation Investmests,Tricoli/Munoz/Marks,Calpine,,0.25,Expansion financing/off take for NY plant (and KIAC),,,,Developing proposal,2001-09-26 00:00:00,Q102,7500000
Generation Investmests,Tricoli/Heintzelman,Calpine,,0.25,"Syn plant proposal to optimize devel. Plants in OH,IN and MI",,,,Developing proposal,2001-09-26 00:00:00,Q102,7500000
Generation Investments,Blair/Heintzelman/Gonzalez/Sprott,TECO,,0.2,Various Syn-Plant Deals,,,,Refreshing pricing for 500MW tolling deal @ Palo Verde.  High interest from TECO and Panda (partners in Hila River Project) at ENE bid of $6.40/Kw-mo for 7x24 avail; 7000 Heat Rate.,2001-09-28 00:00:00,Q102,30000000
Generation Investments,Clifford/Marks/Ward,GE Capital Services,"NPCC, SERC, WSCC",0.2,"Acquire interests in 4-5 projects: Chambers, NJ; Fla. Crushed stone, FL; Martinsville, WV; Reno,NV; possibly Saranac, NY ",,200+ MW,,Project documents received; GECC sending models for 3 projects; Chambers to await PG&E approval,2001-10-24 00:00:00,Q102,10000000
Generation Investmests,Ward/Hill,Delta Power,Midwest,0.2,"Sale of Motown - MPLP to Delta Power, possibly retaining restructuring upside. ",,128 MW,,Delta completing due diligence for purposes of formulating bid; expect response during the week of 11/19,2001-11-01 00:00:00,Q102,5000000
Generation Investments,Tricoli/Clifford/Heintzelman/Gurrola/Quinn,FPL,,0.15,Various financing and risk management,,,,Preliminary feedback that bifurcation structure is ok. FPL sending termsheet counter by 10/26,2001-10-17 00:00:00,Q102,10000000
Generation Investments,Clifford/Grace/Wang,Panda,PJM,0.15,Seller's Choice contract on Brandywine project in MD. PPA to PEPco. ,,240 MW,$35 mm,Non-binding proposal for $35 mm sent 10/25. Conference call with Panda this week.,2001-11-05 00:00:00,Q102,10000000
Generation Investments,Marks/Clifford/McCracken,American National Power,SERC,0.1,"Purchase 50% interest in 300 MW Hartwell, GA project from ANP and 50% interest from Dynegy",,308 MW,,"Hartwell $20mm valuation (50%).  Earnings-driven structure presented 09/19, awaiting ANP response.  Analysis of combined-cycle conversion underway",2001-11-01 00:00:00,Q202,10000000
Generation Investments,Blair/Heintzelman,TVA,,0.1,200MW Peaker,,,,"Revised bid rejected.  Need to get offer down to $2.25/Kw-mo for 10,900 synthetic call in order to get interest.  Working w/Harry Arora to try to get offer down.",2001-10-17 00:00:00,Q102,10000000
Generation Investments,Tricoli/Clifford/McCracken,PGE National Energy,Florida,0.1,Purchase 64% of 250 MW Cedar Bay Project (coal) in Florida.  Cogentrix is co-owner.  PPA to FP&L,,250 MW,<$5 mm,"Sellers model received, under review.  Technical due diligence call to be scheduled",2001-10-30 00:00:00,Q102,5000000
Generation Investments,Clifford/Marks/McCracken,American National Power,ERCOT,0.05,"Purchase 50% interest in 424 MW Oyster Creek, TX ",,424MW,,"Oyster Creek value $55 mm,  Earnings-driven structure presented 9/19, awaiting ANP response.",2001-10-10 00:00:00,Q102,2000000
Generation Investments,Blair/Heintzelman,AES Synthetic Plant,,0.05,500 MW Synthetic Peaker in TVA,,,,Presented pitch to two offices (AES Eastern and AES New Energy) for Contingent Call Option structure to parse Firm/Non-Firm spread into derivative for AES to realize mark-to-market revenue.  Also pitched premium/discount structure for earnings management purposes.  Awaiting pricing to pitch 50MW Synthetic Peaker deal for NEPOOL.,2001-10-19 00:00:00,Q102,10000000
Generation Investments,Blair/Heintzelman,Dominion Resources,,0.05,Various Syn-Plant Deals,,,,"Priced new options for GridSouth synthetic base load plant.  Dominion wants 8-hour minimums.  Working to meet customer parameters.  Also, repriced synthetic plant for TVA and new offer for syn-plant in Entergy.",2001-09-28 00:00:00,Q102,30000000
Generation Investments,Tricoli/Heintzelman/Gonzalez,CH Resources,,0.05,Acquisition,,,,Second round on TCC's but not assets,2001-10-15 00:00:00,Q102,2000000
Generation Investments,Heintzelman/Clifford/Miller,Delta Power / Arclight Capital,PJM,0.05,"Purchase Pedricktown, debt-free merchant plant in PJM East",,125 MW,$42 mm,Auction. Due diligence trip took place 11/6.  ENA likely to withdraw within next week.,2001-11-06 00:00:00,Q102,4000000
*Transacted by the cash desk,*Transacted by the cash desk,,,,,,,,,,,
Services deals at end of sections in red,Services deals at end of sections in red,,,,,,,,,,,
~Values listed as estimated gross margin,,,,,,,,,,,,
