Month/Year:,1997-07-01 00:00:00,,,Month/Year:,1997-08-01 00:00:00,,,Month/Year:,1997-09-01 00:00:00,,,Month/Year:,1997-10-01 00:00:00,,,Month/Year:,1997-11-01 00:00:00,,,Month/Year:,1997-12-01 00:00:00,,,Month/Year:,1998-01-01 00:00:00,,,Month/Year:,1998-02-01 00:00:00,,,Month/Year:,1998-03-01 00:00:00,,,Month/Year:,1998-04-01 00:00:00,,,Month/Year:,1998-05-01 00:00:00,,,Month/Year:,1998-06-01 00:00:00,,,Month/Year:,1998-07-01 00:00:00,,,Month/Year:,1998-08-01 00:00:00,,,Month/Year:,1998-09-01 00:00:00,,,Month/Year:,1998-10-01 00:00:00,,,Month/Year:,1998-11-01 00:00:00,,,Month/Year:,1998-12-01 00:00:00,,,Month/Year:,1999-01-01 00:00:00,,,Month/Year:,1999-02-01 00:00:00,,,Month/Year:,1999-03-01 00:00:00,,Month/Year:,1999-04-01 00:00:00,,,Month/Year:,1999-05-01 00:00:00,,,Month/Year:,1999-06-01 00:00:00,,,Month/Year:,1999-07-01 00:00:00,,,Month/Year:,1999-08-01 00:00:00,,,Month/Year:,1999-09-01 00:00:00,,,Month/Year:,1999-10-01 00:00:00,,,Month/Year:,1999-11-01 00:00:00,,,Month/Year:,1999-12-01 00:00:00,,,Month/Year:,2000-01-01 00:00:00,,,Month/Year:,2000-02-01 00:00:00,,,Month/Year:,2000-03-01 00:00:00,,,Month/Year:,2000-04-01 00:00:00,,,Month/Year:,2000-05-01 00:00:00,,,Month/Year:,2000-06-01 00:00:00,,,Month/Year:,2000-07-01 00:00:00,,,Month/Year:,2000-08-01 00:00:00,,,Month/Year:,2000-09-01 00:00:00,,,Month/Year:,2000-10-01 00:00:00,,,Month/Year:,2000-11-01 00:00:00,,,Month/Year:,2000-12-01 00:00:00,,,Month/Year:,2001-01-01 00:00:00,,,Month/Year:,2001-02-01 00:00:00,,,Month/Year:,2001-03-01 00:00:00,,,Month/Year:,2001-04-01 00:00:00,,,Month/Year:,2001-05-01 00:00:00,,,Month/Year:,2001-06-01 00:00:00,,,Month/Year:,2001-07-01 00:00:00
1997-07-19 00:00:00,5572,,,1997-08-19 00:00:00,6284,,,1997-09-19 00:00:00,6700,,,1997-10-19 00:00:00,7972,,,1997-11-19 00:00:00,12143,,,1997-12-19 00:00:00,17720,,,1998-01-19 00:00:00,16987,,,1998-02-19 00:00:00,17020,,,1998-03-19 00:00:00,8649,,,1998-04-19 00:00:00,9038,,,1998-05-19 00:00:00,9554,,,1998-06-19 00:00:00,6545,,,1998-07-19 00:00:00,5267,,,1998-08-19 00:00:00,6998,,,1998-09-19 00:00:00,6344,,,1998-10-19 00:00:00,9041,,,1998-11-19 00:00:00,14172,,,1998-12-19 00:00:00,17316,,,1999-01-19 00:00:00,11312,,,1999-02-19 00:00:00,15629,,,1999-03-19 00:00:00,14786,,1999-04-19 00:00:00,8919,,,1999-05-19 00:00:00,9864,,,1999-06-19 00:00:00,6650,,,1999-07-19 00:00:00,7094,,,1999-08-19 00:00:00,6879,,,1999-09-19 00:00:00,6613,,,1999-10-19 00:00:00,8269,,,1999-11-19 00:00:00,13447,,,1999-12-19 00:00:00,14208,,,2000-01-19 00:00:00,12334,,,2000-02-19 00:00:00,12483,,,2000-03-19 00:00:00,9535,,,2000-04-19 00:00:00,8775,,,2000-05-19 00:00:00,6864,,,2000-06-19 00:00:00,5845,,,2000-07-19 00:00:00,6209,,,2000-08-19 00:00:00,5813,,,2000-09-19 00:00:00,4890,,,2000-10-19 00:00:00,7211,,,2000-11-19 00:00:00,15581,,,2000-12-19 00:00:00,16415,,,2001-01-19 00:00:00,16100,,,2001-02-19 00:00:00,14339,,,2001-03-19 00:00:00,7962,,,2001-04-19 00:00:00,11375.052,,,2001-05-19 00:00:00,5655.58,,,2001-06-19 00:00:00,5179.576999999999,,,2001-07-19 00:00:00,5956.808
1997-07-20 00:00:00,5507,,,1997-08-20 00:00:00,6370,,,1997-09-20 00:00:00,5752,,,1997-10-20 00:00:00,9648,,,1997-11-20 00:00:00,13495,,,1997-12-20 00:00:00,17419,,,1998-01-20 00:00:00,17825,,,1998-02-20 00:00:00,17898,,,1998-03-20 00:00:00,9466,,,1998-04-20 00:00:00,9168,,,1998-05-20 00:00:00,9703,,,1998-06-20 00:00:00,6544,,,1998-07-20 00:00:00,6079,,,1998-08-20 00:00:00,7030,,,1998-09-20 00:00:00,6286,,,1998-10-20 00:00:00,8237,,,1998-11-20 00:00:00,14513,,,1998-12-20 00:00:00,21573,,,1999-01-20 00:00:00,13123,,,1999-02-20 00:00:00,17730,,,1999-03-20 00:00:00,13837,,1999-04-20 00:00:00,9106,,,1999-05-20 00:00:00,10868,,,1999-06-20 00:00:00,6439,,,1999-07-20 00:00:00,7085,,,1999-08-20 00:00:00,6706,,,1999-09-20 00:00:00,7161,,,1999-10-20 00:00:00,8086,,,1999-11-20 00:00:00,12914,,,1999-12-20 00:00:00,12714,,,2000-01-20 00:00:00,13033,,,2000-02-20 00:00:00,11322,,,2000-03-20 00:00:00,12039,,,2000-04-20 00:00:00,7999,,,2000-05-20 00:00:00,5922,,,2000-06-20 00:00:00,5627,,,2000-07-20 00:00:00,6389,,,2000-08-20 00:00:00,5911,,,2000-09-20 00:00:00,5095,,,2000-10-20 00:00:00,8281,,,2000-11-20 00:00:00,17452,,,2000-12-20 00:00:00,16201,,,2001-01-20 00:00:00,18180,,,2001-02-20 00:00:00,14678,,,2001-03-20 00:00:00,6851,,,2001-04-20 00:00:00,14574.222,,,2001-05-20 00:00:00,5348.035,,,2001-06-20 00:00:00,5003.29,,,2001-07-20 00:00:00,6253.48
1997-07-21 00:00:00,5771,,,1997-08-21 00:00:00,6067,,,1997-09-21 00:00:00,5636,,,1997-10-21 00:00:00,8405,,,1997-11-21 00:00:00,13757,,,1997-12-21 00:00:00,16574,,,1998-01-21 00:00:00,17692,,,1998-02-21 00:00:00,15371,,,1998-03-21 00:00:00,9606,,,1998-04-21 00:00:00,7747,,,1998-05-21 00:00:00,9825,,,1998-06-21 00:00:00,6505,,,1998-07-21 00:00:00,6348,,,1998-08-21 00:00:00,6970,,,1998-09-21 00:00:00,7232,,,1998-10-21 00:00:00,8170,,,1998-11-21 00:00:00,12022,,,1998-12-21 00:00:00,27161,,,1999-01-21 00:00:00,14481,,,1999-02-21 00:00:00,15775,,,1999-03-21 00:00:00,11861,,1999-04-21 00:00:00,10307,,,1999-05-21 00:00:00,9789,,,1999-06-21 00:00:00,6780,,,1999-07-21 00:00:00,6959,,,1999-08-21 00:00:00,5978,,,1999-09-21 00:00:00,7075,,,1999-10-21 00:00:00,7693,,,1999-11-21 00:00:00,13298,,,1999-12-21 00:00:00,13877,,,2000-01-21 00:00:00,14722,,,2000-02-21 00:00:00,12758,,,2000-03-21 00:00:00,9605,,,2000-04-21 00:00:00,8823,,,2000-05-21 00:00:00,5290,,,2000-06-21 00:00:00,5516,,,2000-07-21 00:00:00,6233,,,2000-08-21 00:00:00,6038,,,2000-09-21 00:00:00,5721,,,2000-10-21 00:00:00,8282,,,2000-11-21 00:00:00,16055,,,2000-12-21 00:00:00,16465,,,2001-01-21 00:00:00,18310,,,2001-02-21 00:00:00,13624,,,2001-03-21 00:00:00,7917,,,2001-04-21 00:00:00,12350.52,,,2001-05-21 00:00:00,5778.3949999999995,,,2001-06-21 00:00:00,5017.556,,,2001-07-21 00:00:00,5837.936
1997-07-22 00:00:00,5865,,,1997-08-22 00:00:00,5958,,,1997-09-22 00:00:00,6268,,,1997-10-22 00:00:00,8727,,,1997-11-22 00:00:00,11688,,,1997-12-22 00:00:00,18529,,,1998-01-22 00:00:00,16744,,,1998-02-22 00:00:00,14949,,,1998-03-22 00:00:00,8314,,,1998-04-22 00:00:00,6949,,,1998-05-22 00:00:00,9326,,,1998-06-22 00:00:00,6994,,,1998-07-22 00:00:00,6540,,,1998-08-22 00:00:00,6057,,,1998-09-22 00:00:00,6950,,,1998-10-22 00:00:00,8764,,,1998-11-22 00:00:00,10716,,,1998-12-22 00:00:00,26299,,,1999-01-22 00:00:00,13561,,,1999-02-22 00:00:00,14591,,,1999-03-22 00:00:00,14348,,1999-04-22 00:00:00,9813,,,1999-05-22 00:00:00,7162,,,1999-06-22 00:00:00,6402,,,1999-07-22 00:00:00,6917,,,1999-08-22 00:00:00,5510,,,1999-09-22 00:00:00,7044,,,1999-10-22 00:00:00,8045,,,1999-11-22 00:00:00,16102,,,1999-12-22 00:00:00,14167,,,2000-01-22 00:00:00,12128,,,2000-02-22 00:00:00,15220,,,2000-03-22 00:00:00,9337,,,2000-04-22 00:00:00,8507,,,2000-05-22 00:00:00,5608,,,2000-06-22 00:00:00,5849,,,2000-07-22 00:00:00,5810,,,2000-08-22 00:00:00,6034,,,2000-09-22 00:00:00,6316,,,2000-10-22 00:00:00,7661,,,2000-11-22 00:00:00,14925,,,2000-12-22 00:00:00,14076,,,2001-01-22 00:00:00,17500,,,2001-02-22 00:00:00,15301,,,2001-03-22 00:00:00,8763,,,2001-04-22 00:00:00,10069.02,,,2001-05-22 00:00:00,6011.844999999999,,,2001-06-22 00:00:00,5302.875999999999,,,2001-07-22 00:00:00,5382.768
1997-07-23 00:00:00,6097,,,1997-08-23 00:00:00,5458,,,1997-09-23 00:00:00,5899,,,1997-10-23 00:00:00,8851,,,1997-11-23 00:00:00,8951,,,1997-12-23 00:00:00,19915,,,1998-01-23 00:00:00,16196,,,1998-02-23 00:00:00,15628,,,1998-03-23 00:00:00,8973,,,1998-04-23 00:00:00,8003,,,1998-05-23 00:00:00,7613,,,1998-06-23 00:00:00,7152,,,1998-07-23 00:00:00,6336,,,1998-08-23 00:00:00,5963,,,1998-09-23 00:00:00,7231,,,1998-10-23 00:00:00,10331,,,1998-11-23 00:00:00,11236,,,1998-12-23 00:00:00,26127,,,1999-01-23 00:00:00,15433,,,1999-02-23 00:00:00,15232,,,1999-03-23 00:00:00,13212,,1999-04-23 00:00:00,7779,,,1999-05-23 00:00:00,6937,,,1999-06-23 00:00:00,6544,,,1999-07-23 00:00:00,7074,,,1999-08-23 00:00:00,6139,,,1999-09-23 00:00:00,7094,,,1999-10-23 00:00:00,8484,,,1999-11-23 00:00:00,15710,,,1999-12-23 00:00:00,16771,,,2000-01-23 00:00:00,12226,,,2000-02-23 00:00:00,17213,,,2000-03-23 00:00:00,10153,,,2000-04-23 00:00:00,7986,,,2000-05-23 00:00:00,5824,,,2000-06-23 00:00:00,6127,,,2000-07-23 00:00:00,5602,,,2000-08-23 00:00:00,6093,,,2000-09-23 00:00:00,6207,,,2000-10-23 00:00:00,9478,,,2000-11-23 00:00:00,14495,,,2000-12-23 00:00:00,15424,,,2001-01-23 00:00:00,15656,,,2001-02-23 00:00:00,16273,,,2001-03-23 00:00:00,9085,,,2001-04-23 00:00:00,10142.028,,,2001-05-23 00:00:00,6229.054999999999,,,2001-06-23 00:00:00,5414.965999999999,,,2001-07-23 00:00:00,5677.408
1997-07-24 00:00:00,5860,,,1997-08-24 00:00:00,5222,,,1997-09-24 00:00:00,5523,,,1997-10-24 00:00:00,9813,,,1997-11-24 00:00:00,11683,,,1997-12-24 00:00:00,17108,,,1998-01-24 00:00:00,12998,,,1998-02-24 00:00:00,16164,,,1998-03-24 00:00:00,8697,,,1998-04-24 00:00:00,9215,,,1998-05-24 00:00:00,7428,,,1998-06-24 00:00:00,6984,,,1998-07-24 00:00:00,6335,,,1998-08-24 00:00:00,6421,,,1998-09-24 00:00:00,7512,,,1998-10-24 00:00:00,9263,,,1998-11-24 00:00:00,13032,,,1998-12-24 00:00:00,25460,,,1999-01-24 00:00:00,19774,,,1999-02-24 00:00:00,15259,,,1999-03-24 00:00:00,13874,,1999-04-24 00:00:00,7502,,,1999-05-24 00:00:00,7750,,,1999-06-24 00:00:00,6725,,,1999-07-24 00:00:00,6605,,,1999-08-24 00:00:00,6272,,,1999-09-24 00:00:00,7070,,,1999-10-24 00:00:00,9740,,,1999-11-24 00:00:00,16061,,,1999-12-24 00:00:00,16287,,,2000-01-24 00:00:00,12617,,,2000-02-24 00:00:00,19351,,,2000-03-24 00:00:00,12179,,,2000-04-24 00:00:00,8011,,,2000-05-24 00:00:00,6200,,,2000-06-24 00:00:00,5541,,,2000-07-24 00:00:00,5894,,,2000-08-24 00:00:00,5980,,,2000-09-24 00:00:00,5891,,,2000-10-24 00:00:00,8550,,,2000-11-24 00:00:00,14187,,,2000-12-24 00:00:00,12891,,,2001-01-24 00:00:00,16813,,,2001-02-24 00:00:00,15268,,,2001-03-24 00:00:00,7661,,,2001-04-24 00:00:00,7615.14,,,2001-05-24 00:00:00,6344.764999999999,,,2001-06-24 00:00:00,5637.107999999999,,,2001-07-24 00:00:00,5568.696
1997-07-25 00:00:00,5704,,,1997-08-25 00:00:00,5923,,,1997-09-25 00:00:00,5683,,,1997-10-25 00:00:00,9508,,,1997-11-25 00:00:00,11144,,,1997-12-25 00:00:00,17340,,,1998-01-25 00:00:00,13984,,,1998-02-25 00:00:00,14177,,,1998-03-25 00:00:00,9926,,,1998-04-25 00:00:00,9617,,,1998-05-25 00:00:00,8632,,,1998-06-25 00:00:00,7019,,,1998-07-25 00:00:00,5944,,,1998-08-25 00:00:00,6823,,,1998-09-25 00:00:00,7394,,,1998-10-25 00:00:00,9861,,,1998-11-25 00:00:00,13899,,,1998-12-25 00:00:00,22278,,,1999-01-25 00:00:00,17965,,,1999-02-25 00:00:00,15324,,,1999-03-25 00:00:00,11392,,1999-04-25 00:00:00,8685,,,1999-05-25 00:00:00,7847,,,1999-06-25 00:00:00,7154,,,1999-07-25 00:00:00,6074,,,1999-08-25 00:00:00,5962,,,1999-09-25 00:00:00,6541,,,1999-10-25 00:00:00,9566,,,1999-11-25 00:00:00,14101,,,1999-12-25 00:00:00,15777,,,2000-01-25 00:00:00,12705,,,2000-02-25 00:00:00,14940,,,2000-03-25 00:00:00,11567,,,2000-04-25 00:00:00,8071,,,2000-05-25 00:00:00,6806,,,2000-06-25 00:00:00,5274,,,2000-07-25 00:00:00,5866,,,2000-08-25 00:00:00,5796,,,2000-09-25 00:00:00,6041,,,2000-10-25 00:00:00,7939,,,2000-11-25 00:00:00,15473,,,2000-12-25 00:00:00,15785,,,2001-01-25 00:00:00,19264,,,2001-02-25 00:00:00,13094,,,2001-03-25 00:00:00,7831,,,2001-04-25 00:00:00,6907.368,,,2001-05-25 00:00:00,6753.81,,,2001-06-25 00:00:00,6223.032999999999,,,2001-07-25 00:00:00,5593.08
1997-07-26 00:00:00,5463,,,1997-08-26 00:00:00,5724,,,1997-09-26 00:00:00,6115,,,1997-10-26 00:00:00,9755,,,1997-11-26 00:00:00,12199,,,1997-12-26 00:00:00,20470,,,1998-01-26 00:00:00,12357,,,1998-02-26 00:00:00,14720,,,1998-03-26 00:00:00,11617,,,1998-04-26 00:00:00,8035,,,1998-05-26 00:00:00,10175,,,1998-06-26 00:00:00,7247,,,1998-07-26 00:00:00,5910,,,1998-08-26 00:00:00,6717,,,1998-09-26 00:00:00,7151,,,1998-10-26 00:00:00,9682,,,1998-11-26 00:00:00,12226,,,1998-12-26 00:00:00,20434,,,1999-01-26 00:00:00,20278,,,1999-02-26 00:00:00,16867,,,1999-03-26 00:00:00,12748,,1999-04-26 00:00:00,10104,,,1999-05-26 00:00:00,7613,,,1999-06-26 00:00:00,6742,,,1999-07-26 00:00:00,6539,,,1999-08-26 00:00:00,5852,,,1999-09-26 00:00:00,5887,,,1999-10-26 00:00:00,9319,,,1999-11-26 00:00:00,12247,,,1999-12-26 00:00:00,16404,,,2000-01-26 00:00:00,14922,,,2000-02-26 00:00:00,11814,,,2000-03-26 00:00:00,11973,,,2000-04-26 00:00:00,7990,,,2000-05-26 00:00:00,6777,,,2000-06-26 00:00:00,5605,,,2000-07-26 00:00:00,6088,,,2000-08-26 00:00:00,5739,,,2000-09-26 00:00:00,6020,,,2000-10-26 00:00:00,10010,,,2000-11-26 00:00:00,14044,,,2000-12-26 00:00:00,16934,,,2001-01-26 00:00:00,17566,,,2001-02-26 00:00:00,13348,,,2001-03-26 00:00:00,10326,,,2001-04-26 00:00:00,8023.782,,,2001-05-26 00:00:00,6421.905,,,2001-06-26 00:00:00,5977.454,,,2001-07-26 00:00:00,5537.2
1997-07-27 00:00:00,5565,,,1997-08-27 00:00:00,5780,,,1997-09-27 00:00:00,5765,,,1997-10-27 00:00:00,9562,,,1997-11-27 00:00:00,12401,,,1997-12-27 00:00:00,19935,,,1998-01-27 00:00:00,11309,,,1998-02-27 00:00:00,12548,,,1998-03-27 00:00:00,11852,,,1998-04-27 00:00:00,7379,,,1998-05-27 00:00:00,10401,,,1998-06-27 00:00:00,6260,,,1998-07-27 00:00:00,6420,,,1998-08-27 00:00:00,6575,,,1998-09-27 00:00:00,7798,,,1998-10-27 00:00:00,9660,,,1998-11-27 00:00:00,12275,,,1998-12-27 00:00:00,19279,,,1999-01-27 00:00:00,20097,,,1999-02-27 00:00:00,13263,,,1999-03-27 00:00:00,13528,,1999-04-27 00:00:00,12764,,,1999-05-27 00:00:00,8196,,,1999-06-27 00:00:00,6084,,,1999-07-27 00:00:00,6720,,,1999-08-27 00:00:00,5953,,,1999-09-27 00:00:00,6039,,,1999-10-27 00:00:00,7707,,,1999-11-27 00:00:00,10907,,,1999-12-27 00:00:00,17225,,,2000-01-27 00:00:00,15082,,,2000-02-27 00:00:00,13315,,,2000-03-27 00:00:00,13478,,,2000-04-27 00:00:00,9758,,,2000-05-27 00:00:00,6068,,,2000-06-27 00:00:00,5617,,,2000-07-27 00:00:00,6256,,,2000-08-27 00:00:00,5522,,,2000-09-27 00:00:00,6581,,,2000-10-27 00:00:00,10026,,,2000-11-27 00:00:00,15479,,,2000-12-27 00:00:00,17554,,,2001-01-27 00:00:00,17450,,,2001-02-27 00:00:00,12901,,,2001-03-27 00:00:00,9732,,,2001-04-27 00:00:00,8873.514,,,2001-05-27 00:00:00,6746.704999999999,,,2001-06-27 00:00:00,5866.383,,,2001-07-27 00:00:00,5655.0560000000005
1997-07-28 00:00:00,5909,,,1997-08-28 00:00:00,5883,,,1997-09-28 00:00:00,5165,,,1997-10-28 00:00:00,10844,,,1997-11-28 00:00:00,14325,,,1997-12-28 00:00:00,15919,,,1998-01-28 00:00:00,11882,,,1998-02-28 00:00:00,13500,,,1998-03-28 00:00:00,14438,,,1998-04-28 00:00:00,7280,,,1998-05-28 00:00:00,11091,,,1998-06-28 00:00:00,6324,,,1998-07-28 00:00:00,6738,,,1998-08-28 00:00:00,6557,,,1998-09-28 00:00:00,7357,,,1998-10-28 00:00:00,9252,,,1998-11-28 00:00:00,12827,,,1998-12-28 00:00:00,19364,,,1999-01-28 00:00:00,19906,,,1999-02-28 00:00:00,10294,,,1999-03-28 00:00:00,14228,,1999-04-28 00:00:00,12657,,,1999-05-28 00:00:00,8492,,,1999-06-28 00:00:00,6014,,,1999-07-28 00:00:00,6178,,,1999-08-28 00:00:00,5798,,,1999-09-28 00:00:00,6233,,,1999-10-28 00:00:00,9080,,,1999-11-28 00:00:00,11374,,,1999-12-28 00:00:00,16372,,,2000-01-28 00:00:00,17761,,,2000-02-28 00:00:00,15195,,,2000-03-28 00:00:00,13753,,,2000-04-28 00:00:00,10818,,,2000-05-28 00:00:00,5787,,,2000-06-28 00:00:00,5723,,,2000-07-28 00:00:00,5930,,,2000-08-28 00:00:00,6131,,,2000-09-28 00:00:00,7233,,,2000-10-28 00:00:00,11376,,,2000-11-28 00:00:00,15220,,,2000-12-28 00:00:00,16592,,,2001-01-28 00:00:00,17238,,,2001-02-28 00:00:00,13506,,,2001-03-28 00:00:00,8084,,,2001-04-28 00:00:00,8379.696,,,2001-05-28 00:00:00,7582.05,,,2001-06-28 00:00:00,5821.547,,,2001-07-28 00:00:00,5141.976
1997-07-29 00:00:00,6010,,,1997-08-29 00:00:00,5970,,,1997-09-29 00:00:00,5332,,,1997-10-29 00:00:00,9908,,,1997-11-29 00:00:00,13396,,,1997-12-29 00:00:00,15959,,,1998-01-29 00:00:00,12384,,,,,,,1998-03-29 00:00:00,13521,,,1998-04-29 00:00:00,7443,,,1998-05-29 00:00:00,10610,,,1998-06-29 00:00:00,7310,,,1998-07-29 00:00:00,6684,,,1998-08-29 00:00:00,6250,,,1998-09-29 00:00:00,8032,,,1998-10-29 00:00:00,10845,,,1998-11-29 00:00:00,12511,,,1998-12-29 00:00:00,18749,,,1999-01-29 00:00:00,19346,,,,,,,1999-03-29 00:00:00,14497,,1999-04-29 00:00:00,10329,,,1999-05-29 00:00:00,10081,,,1999-06-29 00:00:00,5863,,,1999-07-29 00:00:00,6646,,,1999-08-29 00:00:00,5979,,,1999-09-29 00:00:00,6057,,,1999-10-29 00:00:00,10656,,,1999-11-29 00:00:00,12253,,,1999-12-29 00:00:00,16964,,,2000-01-29 00:00:00,14685,,,2000-02-29 00:00:00,15237,,,2000-03-29 00:00:00,12558,,,2000-04-29 00:00:00,9147,,,2000-05-29 00:00:00,6965,,,2000-06-29 00:00:00,5853,,,2000-07-29 00:00:00,5458,,,2000-08-29 00:00:00,6784,,,2000-09-29 00:00:00,7321,,,2000-10-29 00:00:00,10355,,,2000-11-29 00:00:00,13149,,,2000-12-29 00:00:00,17152,,,2001-01-29 00:00:00,15983,,,,,,,2001-03-29 00:00:00,8199,,,2001-04-29 00:00:00,8794.422,,,2001-05-29 00:00:00,6840.084999999999,,,2001-06-29 00:00:00,5722.704,,,2001-07-29 00:00:00,5158.232
1997-07-30 00:00:00,6176,,,1997-08-30 00:00:00,5742,,,1997-09-30 00:00:00,5899,,,1997-10-30 00:00:00,7304,,,1997-11-30 00:00:00,13654,,,1997-12-30 00:00:00,15477,,,1998-01-30 00:00:00,15389,,,,,,,1998-03-30 00:00:00,13486,,,1998-04-30 00:00:00,7384,,,1998-05-30 00:00:00,8248,,,1998-06-30 00:00:00,7555,,,1998-07-30 00:00:00,6885,,,1998-08-30 00:00:00,5896,,,1998-09-30 00:00:00,7794,,,1998-10-30 00:00:00,12034,,,1998-11-30 00:00:00,12477,,,1998-12-30 00:00:00,17464,,,1999-01-30 00:00:00,17986,,,,,,,1999-03-30 00:00:00,14184,,1999-04-30 00:00:00,9095,,,1999-05-30 00:00:00,8820,,,1999-06-30 00:00:00,5541,,,1999-07-30 00:00:00,6645,,,1999-08-30 00:00:00,6755,,,1999-09-30 00:00:00,6108,,,1999-10-30 00:00:00,10082,,,1999-11-30 00:00:00,11685,,,1999-12-30 00:00:00,17866,,,2000-01-30 00:00:00,13175,,,,,,,2000-03-30 00:00:00,10325,,,2000-04-30 00:00:00,7769,,,2000-05-30 00:00:00,7653,,,2000-06-30 00:00:00,6082,,,2000-07-30 00:00:00,5376,,,2000-08-30 00:00:00,6687,,,2000-09-30 00:00:00,5651,,,2000-10-30 00:00:00,11291,,,2000-11-30 00:00:00,15777,,,2000-12-30 00:00:00,17190,,,2001-01-30 00:00:00,18955,,,,,,,2001-03-30 00:00:00,7919,,,2001-04-30 00:00:00,7947.732,,,2001-05-30 00:00:00,5393.71,,,2001-06-30 00:00:00,5165.311,,,2001-07-30 00:00:00,5993.384
1997-07-31 00:00:00,6133,,,1997-08-31 00:00:00,5353,,,,,,,1997-10-31 00:00:00,6916,,,,,,,1997-12-31 00:00:00,14784,,,1998-01-31 00:00:00,11557,,,,,,,1998-03-31 00:00:00,14956,,,,,,,1998-05-31 00:00:00,7251,,,,,,,1998-07-31 00:00:00,6577,,,1998-08-31 00:00:00,6187,,,,,,,1998-10-31 00:00:00,11238,,,,,,,1998-12-31 00:00:00,13722,,,1999-01-31 00:00:00,16373,,,,,,,1999-03-31 00:00:00,15925,,,,,,1999-05-31 00:00:00,8058,,,,,,,1999-07-31 00:00:00,6484,,,1999-08-31 00:00:00,7060,,,,,,,1999-10-31 00:00:00,9210,,,,,,,1999-12-31 00:00:00,16222,,,2000-01-31 00:00:00,15141,,,,,,,2000-03-31 00:00:00,8682,,,,,,,2000-05-31 00:00:00,7026,,,,,,,2000-07-31 00:00:00,5543,,,2000-08-31 00:00:00,6777,,,,,,,2000-10-31 00:00:00,11572,,,,,,,2000-12-31 00:00:00,16113,,,2001-01-31 00:00:00,18869,,,,,,,2001-03-31 00:00:00,6881,,,,,,,2001-05-31 00:00:00,4786.74,,,,,,,2001-07-31 00:00:00,5940.552
