Shipper Name,TSA,Delivery Location,FT1/FT2,Receipt Location,Delv Dths
"City of Mesa, Arizona ",97ZV,DMESAS-H,FT1,Bondad Station,962
"City of Mesa, Arizona ",97ZV,DMESAS-H,FT1,Puckett,96
"City of Mesa, Arizona ",97ZV,DMESAS-H,FT1,Rio Vista,0
"City of Mesa, Arizona ",97ZV,DMESAS-H,FT1,Waha,485
"City of Mesa, Arizona ",97ZV,DMESAS-H,FT1,Waha,111
,,DMESAS-H Total,,,1654
,97ZV Total,,,,16860
"City of Morton, Texas ",97ZT,DMORTDIS,FT2,Blanco,721
,,DMORTDIS Total,,,721
,97ZT Total,,,,721
"City of Plains, Texas ",97ZE,DPLNSDIS,FT2,Blanco,417
"City of Plains, Texas ",97ZE,DPLNSDIS,FT2,Keystone,14
,,DPLNSDIS Total,,,431
,97ZE Total,,,,431
"City of Safford, Arizona ",9824,DSAFFG-M,FT2,Blanco,259
"City of Safford, Arizona ",9824,DSAFFG-M,FT2,Bondad Mainline,1267
"City of Safford, Arizona ",9824,DSAFFG-M,FT2,Bondad Station,517
,,DSAFFG-M Total,,,2043
,9824 Total,,,,2043
"City of Socorro, New Mexico ",9828,DSOCRSCG,FT2,Blanco,1472
"City of Socorro, New Mexico ",9828,DSOCRSCG,FT2,Keystone,25
"City of Socorro, New Mexico ",9828,DSOCRSCG,FT2,Waha,171
,,DSOCRSCG Total,,,1668
,9828 Total,,,,1668
"City of Spur, Texas ",982R,DSPURSNY,FT2,Blanco,355
,,DSPURSNY Total,,,355
,982R Total,,,,355
"City of Whiteface, Texas ",97ZD,DWHITDIS,FT2,Blanco,140
"City of Whiteface, Texas ",97ZD,DWHITDIS,FT2,Keystone,9
,,DWHITDIS Total,,,149
,97ZD Total,,,,149
"City of Willcox, Arizona ",97YU,DWLCXWIL,FT2,Blanco,828
"City of Willcox, Arizona ",97YU,DWLCXWIL,FT2,Bondad Station,68
"City of Willcox, Arizona ",97YU,DWLCXWIL,FT2,Waha,95
,,DWLCXWIL Total,,,991
,97YU Total,,,,991
Colorado Greenhouse ,9JVC,ICOLOGRN,FT1,Waha,646
,,ICOLOGRN Total,,,646
,9JVC Total,,,,646
Conoco ,9DWE,IOASISWA,FT1,Blanco,8652
Conoco ,9DWE,IOASISWA,FT1,Bondad Mainline,0
Conoco ,9DWE,IOASISWA,FT1,Bondad Station,0
Conoco ,9DWE,IOASISWA,FT1,Cornudas,2314
Conoco ,9DWE,IOASISWA,FT1,Pecos,2326
Conoco ,9DWE,IOASISWA,FT1,Rio Vista,0
Conoco ,9DWE,IOASISWA,FT1,Waha,2050
,,IOASISWA Total,,,15342
Conoco ,9DWE,IVALEROW,FT1,Blanco,17307
Conoco ,9DWE,IVALEROW,FT1,Bondad Mainline,0
Conoco ,9DWE,IVALEROW,FT1,Bondad Station,0
Conoco ,9DWE,IVALEROW,FT1,Cornudas,4629
Conoco ,9DWE,IVALEROW,FT1,Pecos,4656
Conoco ,9DWE,IVALEROW,FT1,Rio Vista,0
Conoco ,9DWE,IVALEROW,FT1,Waha,4101
,,IVALEROW Total,,,30693
,9DWE Total,,,,46035
Coral Energy Resources ,9MD6,DSCALEHR,FT1,Pecos,11418
,,DSCALEHR Total,,,11418
,9MD6 Total,,,,11418
Coral Energy Resources ,9MF4,DSCALTOP,FT1,Blanco,0
Coral Energy Resources ,9MF4,DSCALTOP,FT1,Bondad Mainline,0
Coral Energy Resources ,9MF4,DSCALTOP,FT1,Bondad Station,1925
Coral Energy Resources ,9MF4,DSCALTOP,FT1,Rio Vista,0
Coral Energy Resources ,9MF4,DSCALTOP,FT1,Waha,1488
,,DSCALTOP Total,,,3413
,9MF4 Total,,,,3413
"Corona, New Mexico, Village of ",9829,DCOROSJX,FT2,Blanco,52
,,DCOROSJX Total,,,52
,9829 Total,,,,52
Duke Energy Trading & Marketing ,9MR9,DSCALTOP,FT1,Blanco,1922
Duke Energy Trading & Marketing ,9MR9,DSCALTOP,FT1,Keystone,1489
Duke Energy Trading & Marketing ,9MR9,DSCALTOP,FT1,Keystone,0
Duke Energy Trading & Marketing ,9MR9,DSCALTOP,FT1,Rio Vista,0
Duke Energy Trading & Marketing ,9MR9,DSCALTOP,FT1,Waha,1
Duke Energy Trading & Marketing ,9MR9,DSCALTOP,FT1,Waha,0
Duke Energy Trading & Marketing ,9MR9,DSCALTOP,FT1,Waha,0
,,DSCALTOP Total,,,3412
,9MR9 Total,,,,3412
Duke Energy Trading & Marketing ,9MRA,DSCALTOP,FT1,Keystone,3975
,,DSCALTOP Total,,,3975
,9MRA Total,,,,3975
Duke Energy Trading and Marketing ,9MC2,DPG&ETOP,FT1,Keystone,6820
,,DPG&ETOP Total,,,6820
,9MC2 Total,,,,6820
Duke Energy Trading and Marketing ,9MC9,DSCALTOP,FT1,Keystone,13948
,,DSCALTOP Total,,,13948
,9MC9 Total,,,,13948
Duke Energy Trading and Marketing ,9MD4,DSCALEHR,FT1,Keystone,40403
,,DSCALEHR Total,,,40403
,9MD4 Total,,,,40403
Duke Energy Trading and Marketing ,9ME3,DPG&ETOP,FT1,Blanco,56392
Duke Energy Trading and Marketing ,9ME3,DPG&ETOP,FT1,Keystone,43608
Duke Energy Trading and Marketing ,9ME3,DPG&ETOP,FT1,Rio Vista,0
,,DPG&ETOP Total,,,100000
,9ME3 Total,,,,100000
Duke Energy Trading and Marketing ,9MEN,DPG&ETOP,FT1,Blanco,16628
Duke Energy Trading and Marketing ,9MEN,DPG&ETOP,FT1,Keystone,12859
Duke Energy Trading and Marketing ,9MEN,DPG&ETOP,FT1,Rio Vista,0
,,DPG&ETOP Total,,,29487
,9MEN Total,,,,29487
Duke Energy Trading and Marketing ,9MEZ,DSCALTOP,FT1,Blanco,7697
Duke Energy Trading and Marketing ,9MEZ,DSCALTOP,FT1,Keystone,5954
Duke Energy Trading and Marketing ,9MEZ,DSCALTOP,FT1,Rio Vista,0
,,DSCALTOP Total,,,13651
,9MEZ Total,,,,13651
"Dumas, Texas, City of ",97ZQ,DDUMSDIN,FT2,Blanco,4107
"Dumas, Texas, City of ",97ZQ,DDUMSDIN,FT2,Bondad Mainline,26
"Dumas, Texas, City of ",97ZQ,DDUMSDIN,FT2,Keystone,512
"Dumas, Texas, City of ",97ZQ,DDUMSDIN,FT2,Plains,38
"Dumas, Texas, City of ",97ZQ,DDUMSDIN,FT2,Sweetie Peck,138
"Dumas, Texas, City of ",97ZQ,DDUMSDIN,FT2,Waha,189
,,DDUMSDIN Total,,,5010
,97ZQ Total,,,,5010
Duncan Rural Services Corporation ,982J,DDUN G-M,FT2,Blanco,15
Duncan Rural Services Corporation ,982J,DDUN G-M,FT2,Bondad Mainline,298
Duncan Rural Services Corporation ,982J,DDUN G-M,FT2,Bondad Station,30
,,DDUN G-M Total,,,343
,982J Total,,,,343
Dynegy Marketing and Trade ,9MCC,DSCALTOP,FT1,Keystone,11926
,,DSCALTOP Total,,,11926
,9MCC Total,,,,11926
Dynegy Marketing and Trade ,9MD7,DSCALEHR,FT1,Keystone,34253
,,DSCALEHR Total,,,34253
,9MD7 Total,,,,34253
Dynegy Marketing and Trade ,9MF3,DSCALTOP,FT1,Blanco,5772
Dynegy Marketing and Trade ,9MF3,DSCALTOP,FT1,Bondad Mainline,0
Dynegy Marketing and Trade ,9MF3,DSCALTOP,FT1,Bondad Station,0
Dynegy Marketing and Trade ,9MF3,DSCALTOP,FT1,Keystone,4466
,,DSCALTOP Total,,,10238
,9MF3 Total,,,,10238
El Paso Electric Company ,9827,DEPECAFT,FT1,Blanco,14820
El Paso Electric Company ,9827,DEPECAFT,FT1,Bondad Mainline,0
El Paso Electric Company ,9827,DEPECAFT,FT1,Bondad Station,0
El Paso Electric Company ,9827,DEPECAFT,FT1,Keystone,3695
El Paso Electric Company ,9827,DEPECAFT,FT1,Puckett,2911
El Paso Electric Company ,9827,DEPECAFT,FT1,Rio Vista,0
El Paso Electric Company ,9827,DEPECAFT,FT1,Waha,3347
,,DEPECAFT Total,,,24773
El Paso Electric Company ,9827,DEPECELP,FT1,Blanco,27073
El Paso Electric Company ,9827,DEPECELP,FT1,Bondad Mainline,0
El Paso Electric Company ,9827,DEPECELP,FT1,Bondad Station,0
El Paso Electric Company ,9827,DEPECELP,FT1,Keystone,6751
El Paso Electric Company ,9827,DEPECELP,FT1,Puckett,5318
El Paso Electric Company ,9827,DEPECELP,FT1,Rio Vista,0
El Paso Electric Company ,9827,DEPECELP,FT1,Waha,6113
,,DEPECELP Total,,,45255
,9827 Total,,,,70028
El Paso Merchant Energy Gas ,9MBV,DPG&ETOP,FT1,Keystone,10795
,,DPG&ETOP Total,,,10795
,9MBV Total,,,,10795
El Paso Merchant Energy Gas ,9MCB,DSCALTOP,FT1,Keystone,3975
,,DSCALTOP Total,,,3975
,9MCB Total,,,,3975
El Paso Merchant Energy Gas ,9MD5,DSCALEHR,FT1,Keystone,11418
,,DSCALEHR Total,,,11418
,9MD5 Total,,,,11418
El Paso Merchant Energy Gas ,9ME2,DPG&ETOP,FT1,Blanco,134836
El Paso Merchant Energy Gas ,9ME2,DPG&ETOP,FT1,Bondad Mainline,0
El Paso Merchant Energy Gas ,9ME2,DPG&ETOP,FT1,Bondad Station,0
El Paso Merchant Energy Gas ,9ME2,DPG&ETOP,FT1,Keystone,33624
El Paso Merchant Energy Gas ,9ME2,DPG&ETOP,FT1,Rio Vista,0
El Paso Merchant Energy Gas ,9ME2,DPG&ETOP,FT1,Waha,26486
El Paso Merchant Energy Gas ,9ME2,DPG&ETOP,FT1,Waha,30440
,,DPG&ETOP Total,,,225386
,9ME2 Total,,,,225386
El Paso Merchant Energy Gas ,9MEB,DPG&ETOP,FT1,Blanco,690
El Paso Merchant Energy Gas ,9MEB,DPG&ETOP,FT1,Bondad Mainline,0
El Paso Merchant Energy Gas ,9MEB,DPG&ETOP,FT1,Bondad Station,0
El Paso Merchant Energy Gas ,9MEB,DPG&ETOP,FT1,Keystone,172
El Paso Merchant Energy Gas ,9MEB,DPG&ETOP,FT1,Rio Vista,0
El Paso Merchant Energy Gas ,9MEB,DPG&ETOP,FT1,Waha,135
El Paso Merchant Energy Gas ,9MEB,DPG&ETOP,FT1,Waha,156
,,DPG&ETOP Total,,,1153
,9MEB Total,,,,1153
El Paso Merchant Energy Gas ,9MF2,DSCALTOP,FT1,Blanco,1925
El Paso Merchant Energy Gas ,9MF2,DSCALTOP,FT1,Bondad Mainline,0
El Paso Merchant Energy Gas ,9MF2,DSCALTOP,FT1,Bondad Station,0
El Paso Merchant Energy Gas ,9MF2,DSCALTOP,FT1,Keystone,479
El Paso Merchant Energy Gas ,9MF2,DSCALTOP,FT1,Rio Vista,0
El Paso Merchant Energy Gas ,9MF2,DSCALTOP,FT1,Waha,377
El Paso Merchant Energy Gas ,9MF2,DSCALTOP,FT1,Waha,435
,,DSCALTOP Total,,,3216
,9MF2 Total,,,,3216
"El Paso Merchant Energy,LP ",9MRN,IEPFDTOP,FT1,Blanco,3944
"El Paso Merchant Energy,LP ",9MRN,IEPFDTOP,FT1,Bondad Mainline,0
"El Paso Merchant Energy,LP ",9MRN,IEPFDTOP,FT1,Bondad Station,0
"El Paso Merchant Energy,LP ",9MRN,IEPFDTOP,FT1,Keystone,985
"El Paso Merchant Energy,LP ",9MRN,IEPFDTOP,FT1,Rio Vista,0
"El Paso Merchant Energy,LP ",9MRN,IEPFDTOP,FT1,Waha,775
"El Paso Merchant Energy,LP ",9MRN,IEPFDTOP,FT1,Waha,893
,,IEPFDTOP Total,,,6597
,9MRN Total,,,,6597
EMW Gas Association ,982K,DEMW EMW,FT2,Blanco,812
EMW Gas Association ,982K,DEMW EMW,FT2,Bondad Mainline,2042
,,DEMW EMW Total,,,2854
,982K Total,,,,2854
Enron ,9E3X,IVALEROW,FT1,Blanco,9302
Enron ,9E3X,IVALEROW,FT1,Bondad Mainline,0
Enron ,9E3X,IVALEROW,FT1,Bondad Station,0
Enron ,9E3X,IVALEROW,FT1,Pecos,2502
Enron ,9E3X,IVALEROW,FT1,Rio Vista,0
Enron ,9E3X,IVALEROW,FT1,Waha,2487
Enron ,9E3X,IVALEROW,FT1,Waha,2204
,,IVALEROW Total,,,16495
,9E3X Total,,,,16495
Enron North America ,9MBU,DPG&ETOP,FT1,Pecos,10795
,,DPG&ETOP Total,,,10795
,9MBU Total,,,,10795
Enron North America ,9MD3,DSCALEHR,FT1,Pecos,22836
,,DSCALEHR Total,,,22836
,9MD3 Total,,,,22836
Enron North America ,9ME4,DPG&ETOP,FT1,Blanco,112783
Enron North America ,9ME4,DPG&ETOP,FT1,Bondad Mainline,0
Enron North America ,9ME4,DPG&ETOP,FT1,Bondad Station,0
Enron North America ,9ME4,DPG&ETOP,FT1,Pecos,28126
Enron North America ,9ME4,DPG&ETOP,FT1,Rio Vista,0
Enron North America ,9ME4,DPG&ETOP,FT1,Waha,22153
Enron North America ,9ME4,DPG&ETOP,FT1,Waha,25462
,,DPG&ETOP Total,,,188524
,9ME4 Total,,,,188524
Enron North America ,9ME9,DPG&ETOP,FT1,Blanco,9276
Enron North America ,9ME9,DPG&ETOP,FT1,Bondad Mainline,0
Enron North America ,9ME9,DPG&ETOP,FT1,Bondad Station,0
Enron North America ,9ME9,DPG&ETOP,FT1,Pecos,2313
Enron North America ,9ME9,DPG&ETOP,FT1,Rio Vista,0
Enron North America ,9ME9,DPG&ETOP,FT1,Waha,1822
Enron North America ,9ME9,DPG&ETOP,FT1,Waha,2094
,,DPG&ETOP Total,,,15505
,9ME9 Total,,,,15505
Enron North America Corp. ,9MK4,DSCALTOP,FT1,Pecos,3975
,,DSCALTOP Total,,,3975
,9MK4 Total,,,,3975
Giant ,9G55,DGINTGAL,FT2,Blanco,4604
,,DGINTGAL Total,,,4604
,9G55 Total,,,,4604
"Graham County Utilities, Inc. ",97ZP,DGRHMG-M,FT2,Blanco,388
"Graham County Utilities, Inc. ",97ZP,DGRHMG-M,FT2,Bondad Mainline,1266
"Graham County Utilities, Inc. ",97ZP,DGRHMG-M,FT2,Bondad Station,313
,,DGRHMG-M Total,,,1967
,97ZP Total,,,,1967
Kerr-McGee Corporation ,9MEP,DSCALTOP,FT1,Blanco,265
Kerr-McGee Corporation ,9MEP,DSCALTOP,FT1,Bondad Mainline,0
Kerr-McGee Corporation ,9MEP,DSCALTOP,FT1,Bondad Station,0
Kerr-McGee Corporation ,9MEP,DSCALTOP,FT1,Puckett,27
Kerr-McGee Corporation ,9MEP,DSCALTOP,FT1,Rio Vista,0
Kerr-McGee Corporation ,9MEP,DSCALTOP,FT1,Waha,132
Kerr-McGee Corporation ,9MEP,DSCALTOP,FT1,Waha,32
,,DSCALTOP Total,,,456
,9MEP Total,,,,456
"McLean, Texas, City of ",97ZM,DMCLNPAN,FT2,Blanco,490
"McLean, Texas, City of ",97ZM,DMCLNPAN,FT2,Keystone,18
,,DMCLNPAN Total,,,508
,97ZM Total,,,,508
Mexicana de Cobre ,9MDG,DSCALEHR,FT1,Waha,11418
,,DSCALEHR Total,,,11418
,9MDG Total,,,,11418
MGI Supply ,9LLB,IHUECO,FT1,Waha,9750
,,IHUECO Total,,,9750
,9LLB Total,,,,9750
MGI Supply ,9LLC,IHUECO,FT1,Blanco,23075
MGI Supply ,9LLC,IHUECO,FT1,Bondad Mainline,0
MGI Supply ,9LLC,IHUECO,FT1,Bondad Station,0
MGI Supply ,9LLC,IHUECO,FT1,Keystone,17845
,,IHUECO Total,,,40920
,9LLC Total,,,,40920
MGI Supply ,9LLD,IHUECO,FT1,Blanco,11537
MGI Supply ,9LLD,IHUECO,FT1,Bondad Station,0
MGI Supply ,9LLD,IHUECO,FT1,Pecos,8923
,,IHUECO Total,,,20460
,9LLD Total,,,,20460
MGI Supply ,9LVQ,IHUECO,FT1,Pecos,40000
,,IHUECO Total,,,40000
,9LVQ Total,,,,40000
MGI Supply ,9MBW,IHUECO,FT1,Sweetie Peck,10795
,,IHUECO Total,,,10795
,9MBW Total,,,,10795
MGI Supply ,9MCJ,IHUECO,FT1,Plains,3975
,,IHUECO Total,,,3975
,9MCJ Total,,,,3975
MGI Supply ,9MDQ,DSCALEHR,FT1,Monument,11418
,,DSCALEHR Total,,,11418
,9MDQ Total,,,,11418
MGI Supply ,9MEC,IHUECO,FT1,Keystone,8225
,,IHUECO Total,,,8225
,9MEC Total,,,,8225
MGI Supply ,9MFB,IHUECO,FT1,Plains,3413
,,IHUECO Total,,,3413
,9MFB Total,,,,3413
"MGI Supply, Ltd. (Naco) ",97ZZ,DPMEXWIL,FT1,Blanco,5061
"MGI Supply, Ltd. (Naco) ",97ZZ,DPMEXWIL,FT1,Bondad Mainline,0
"MGI Supply, Ltd. (Naco) ",97ZZ,DPMEXWIL,FT1,Bondad Station,0
"MGI Supply, Ltd. (Naco) ",97ZZ,DPMEXWIL,FT1,Puckett,509
"MGI Supply, Ltd. (Naco) ",97ZZ,DPMEXWIL,FT1,Rio Vista,0
"MGI Supply, Ltd. (Naco) ",97ZZ,DPMEXWIL,FT1,Waha,2555
"MGI Supply, Ltd. (Naco) ",97ZZ,DPMEXWIL,FT1,Waha,586
,,DPMEXWIL Total,,,8711
,97ZZ Total,,,,8711
Mirant Americas Energy Marketing ,9MEK,DPG&ETOP,FT1,Blanco,3331
Mirant Americas Energy Marketing ,9MEK,DPG&ETOP,FT1,Bondad Mainline,0
Mirant Americas Energy Marketing ,9MEK,DPG&ETOP,FT1,Bondad Station,0
Mirant Americas Energy Marketing ,9MEK,DPG&ETOP,FT1,Puckett,335
Mirant Americas Energy Marketing ,9MEK,DPG&ETOP,FT1,Rio Vista,0
Mirant Americas Energy Marketing ,9MEK,DPG&ETOP,FT1,Waha,1683
Mirant Americas Energy Marketing ,9MEK,DPG&ETOP,FT1,Waha,385
,,DPG&ETOP Total,,,5734
,9MEK Total,,,,5734
Mission Energy Fuel Company ,97YX,DSCALEHR,FT1,Blanco,0
Mission Energy Fuel Company ,97YX,DSCALEHR,FT1,Bondad Mainline,0
Mission Energy Fuel Company ,97YX,DSCALEHR,FT1,Bondad Station,4038
Mission Energy Fuel Company ,97YX,DSCALEHR,FT1,Rio Vista,0
Mission Energy Fuel Company ,97YX,DSCALEHR,FT1,Sweetie Peck,1006
Mission Energy Fuel Company ,97YX,DSCALEHR,FT1,Waha,793
Mission Energy Fuel Company ,97YX,DSCALEHR,FT1,Waha,912
,,DSCALEHR Total,,,6749
,97YX Total,,,,6749
Natural Gas Processing Co. (Capitan) ,97YR,DCCNGCPT,FT2,Blanco,1482
,,DCCNGCPT Total,,,1482
Natural Gas Processing Co. (Capitan) ,97YR,INGPLUSK,FT2,Blanco,978
,,INGPLUSK Total,,,978
Natural Gas Processing Co. (Capitan) ,97YR,INN30PLA,FT2,Blanco,1449
,,INN30PLA Total,,,1449
Natural Gas Processing Co. (Capitan) ,97YR,IW40-043,FT2,Blanco,1206
,,IW40-043 Total,,,1206
,97YR Total,,,,5115
Natural Gas Processing Co. (Capitan) ,982E,DCCNGCPT,FT2,Blanco,2092
,,DCCNGCPT Total,,,2092
,982E Total,,,,2092
Navajo Tribal Utility Authority,97ZY,DNTUASJE,FT1,Blanco,0
Navajo Tribal Utility Authority,97ZY,DNTUASJE,FT1,Bondad Mainline,0
Navajo Tribal Utility Authority,97ZY,DNTUASJE,FT1,Bondad Station,2890
Navajo Tribal Utility Authority,97ZY,DNTUASJE,FT1,Puckett,1
Navajo Tribal Utility Authority,97ZY,DNTUASJE,FT1,Rio Vista,0
Navajo Tribal Utility Authority,97ZY,DNTUASJE,FT1,Waha,8
Navajo Tribal Utility Authority,97ZY,DNTUASJE,FT1,Waha,1
,,DNTUASJE Total,,,2900
Navajo Tribal Utility Authority,97ZY,DNTUASJT,FT1,Blanco,449
Navajo Tribal Utility Authority,97ZY,DNTUASJT,FT1,Bondad Mainline,1616
Navajo Tribal Utility Authority,97ZY,DNTUASJT,FT1,Bondad Station,13353
Navajo Tribal Utility Authority,97ZY,DNTUASJT,FT1,Puckett,7
Navajo Tribal Utility Authority,97ZY,DNTUASJT,FT1,Rio Vista,124
Navajo Tribal Utility Authority,97ZY,DNTUASJT,FT1,Waha,26
Navajo Tribal Utility Authority,97ZY,DNTUASJT,FT1,Waha,4
,,DNTUASJT Total,,,15579
,97ZY Total,,,,18479
North Bailey Cooperative Society ,97ZW,DCOOPFAR,FT2,Blanco,174
,,DCOOPFAR Total,,,174
,97ZW Total,,,,174
Occidental Energy Marketing ,9MBZ,DPG&ETOP,FT1,Waha,10795
,,DPG&ETOP Total,,,10795
,9MBZ Total,,,,10795
Occidental Energy Marketing ,9MEA,DPG&ETOP,FT1,Blanco,1532
Occidental Energy Marketing ,9MEA,DPG&ETOP,FT1,Bondad Mainline,0
Occidental Energy Marketing ,9MEA,DPG&ETOP,FT1,Bondad Station,0
Occidental Energy Marketing ,9MEA,DPG&ETOP,FT1,Puckett,153
Occidental Energy Marketing ,9MEA,DPG&ETOP,FT1,Rio Vista,0
Occidental Energy Marketing ,9MEA,DPG&ETOP,FT1,Waha,774
Occidental Energy Marketing ,9MEA,DPG&ETOP,FT1,Waha,178
,,DPG&ETOP Total,,,2637
,9MEA Total,,,,2637
Occidental Energy Marketing ,9MED,DPG&ETOP,FT1,Blanco,1571
Occidental Energy Marketing ,9MED,DPG&ETOP,FT1,Bondad Mainline,0
Occidental Energy Marketing ,9MED,DPG&ETOP,FT1,Bondad Station,0
Occidental Energy Marketing ,9MED,DPG&ETOP,FT1,Puckett,157
Occidental Energy Marketing ,9MED,DPG&ETOP,FT1,Rio Vista,0
Occidental Energy Marketing ,9MED,DPG&ETOP,FT1,Waha,793
Occidental Energy Marketing ,9MED,DPG&ETOP,FT1,Waha,182
,,DPG&ETOP Total,,,2703
,9MED Total,,,,2703
Occidental Energy Marketing ,9MEF,DPG&ETOP,FT1,Blanco,1493
Occidental Energy Marketing ,9MEF,DPG&ETOP,FT1,Bondad Mainline,0
Occidental Energy Marketing ,9MEF,DPG&ETOP,FT1,Bondad Station,0
Occidental Energy Marketing ,9MEF,DPG&ETOP,FT1,Puckett,150
Occidental Energy Marketing ,9MEF,DPG&ETOP,FT1,Rio Vista,0
Occidental Energy Marketing ,9MEF,DPG&ETOP,FT1,Waha,755
Occidental Energy Marketing ,9MEF,DPG&ETOP,FT1,Waha,174
,,DPG&ETOP Total,,,2572
,9MEF Total,,,,2572
Odessa-Ector Power Partners ,9L6Y,IODESAEC,FT1,Waha,85000
,,IODESAEC Total,,,85000
,9L6Y Total,,,,85000
OneOK Energy Marketing ,982W,DENSODIS,FT1,Blanco,138
OneOK Energy Marketing ,982W,DENSODIS,FT1,Bondad Mainline,0
OneOK Energy Marketing ,982W,DENSODIS,FT1,Bondad Station,0
OneOK Energy Marketing ,982W,DENSODIS,FT1,Puckett,0
OneOK Energy Marketing ,982W,DENSODIS,FT1,Rio Vista,0
OneOK Energy Marketing ,982W,DENSODIS,FT1,Waha,85
,,DENSODIS Total,,,223
OneOK Energy Marketing ,982W,DENSOFAR,FT1,Blanco,22
OneOK Energy Marketing ,982W,DENSOFAR,FT1,Bondad Mainline,0
OneOK Energy Marketing ,982W,DENSOFAR,FT1,Bondad Station,0
OneOK Energy Marketing ,982W,DENSOFAR,FT1,Puckett,0
OneOK Energy Marketing ,982W,DENSOFAR,FT1,Rio Vista,0
OneOK Energy Marketing ,982W,DENSOFAR,FT1,Waha,13
,,DENSOFAR Total,,,35
OneOK Energy Marketing ,982W,DENSOSJX,FT1,Blanco,26
OneOK Energy Marketing ,982W,DENSOSJX,FT1,Bondad Mainline,0
OneOK Energy Marketing ,982W,DENSOSJX,FT1,Bondad Station,0
OneOK Energy Marketing ,982W,DENSOSJX,FT1,Puckett,0
OneOK Energy Marketing ,982W,DENSOSJX,FT1,Rio Vista,0
OneOK Energy Marketing ,982W,DENSOSJX,FT1,Waha,15
,,DENSOSJX Total,,,41
OneOK Energy Marketing ,982W,DPHGAINS,FT1,Blanco,1081
OneOK Energy Marketing ,982W,DPHGAINS,FT1,Bondad Mainline,0
OneOK Energy Marketing ,982W,DPHGAINS,FT1,Bondad Station,0
OneOK Energy Marketing ,982W,DPHGAINS,FT1,Puckett,3
OneOK Energy Marketing ,982W,DPHGAINS,FT1,Rio Vista,0
OneOK Energy Marketing ,982W,DPHGAINS,FT1,Waha,837
,,DPHGAINS Total,,,1921
OneOK Energy Marketing ,982W,DTRI FAR,FT1,Blanco,332
OneOK Energy Marketing ,982W,DTRI FAR,FT1,Bondad Mainline,0
OneOK Energy Marketing ,982W,DTRI FAR,FT1,Bondad Station,0
OneOK Energy Marketing ,982W,DTRI FAR,FT1,Puckett,1
OneOK Energy Marketing ,982W,DTRI FAR,FT1,Rio Vista,0
OneOK Energy Marketing ,982W,DTRI FAR,FT1,Waha,257
,,DTRI FAR Total,,,590
OneOK Energy Marketing ,982W,DWSTRDIN,FT1,Blanco,3657
OneOK Energy Marketing ,982W,DWSTRDIN,FT1,Bondad Mainline,0
OneOK Energy Marketing ,982W,DWSTRDIN,FT1,Bondad Station,0
OneOK Energy Marketing ,982W,DWSTRDIN,FT1,Puckett,8
OneOK Energy Marketing ,982W,DWSTRDIN,FT1,Rio Vista,0
OneOK Energy Marketing ,982W,DWSTRDIN,FT1,Waha,2830
,,DWSTRDIN Total,,,6495
OneOK Energy Marketing ,982W,DWSTRDIS,FT1,Blanco,984
OneOK Energy Marketing ,982W,DWSTRDIS,FT1,Bondad Mainline,0
OneOK Energy Marketing ,982W,DWSTRDIS,FT1,Bondad Station,0
OneOK Energy Marketing ,982W,DWSTRDIS,FT1,Puckett,3
OneOK Energy Marketing ,982W,DWSTRDIS,FT1,Rio Vista,0
OneOK Energy Marketing ,982W,DWSTRDIS,FT1,Waha,762
,,DWSTRDIS Total,,,1749
OneOK Energy Marketing ,982W,DWSTRFAR,FT1,Blanco,979
OneOK Energy Marketing ,982W,DWSTRFAR,FT1,Bondad Mainline,0
OneOK Energy Marketing ,982W,DWSTRFAR,FT1,Bondad Station,0
OneOK Energy Marketing ,982W,DWSTRFAR,FT1,Puckett,3
OneOK Energy Marketing ,982W,DWSTRFAR,FT1,Rio Vista,0
OneOK Energy Marketing ,982W,DWSTRFAR,FT1,Waha,758
,,DWSTRFAR Total,,,1740
OneOK Energy Marketing ,982W,DWSTRGLD,FT1,Blanco,313
OneOK Energy Marketing ,982W,DWSTRGLD,FT1,Bondad Mainline,0
OneOK Energy Marketing ,982W,DWSTRGLD,FT1,Bondad Station,0
OneOK Energy Marketing ,982W,DWSTRGLD,FT1,Puckett,1
OneOK Energy Marketing ,982W,DWSTRGLD,FT1,Rio Vista,0
OneOK Energy Marketing ,982W,DWSTRGLD,FT1,Waha,242
,,DWSTRGLD Total,,,556
OneOK Energy Marketing ,982W,DWSTRJAL,FT1,Blanco,420
OneOK Energy Marketing ,982W,DWSTRJAL,FT1,Bondad Mainline,0
OneOK Energy Marketing ,982W,DWSTRJAL,FT1,Bondad Station,0
OneOK Energy Marketing ,982W,DWSTRJAL,FT1,Puckett,1
OneOK Energy Marketing ,982W,DWSTRJAL,FT1,Rio Vista,0
OneOK Energy Marketing ,982W,DWSTRJAL,FT1,Waha,325
,,DWSTRJAL Total,,,746
OneOK Energy Marketing ,982W,DWSTRKEY,FT1,Blanco,0
OneOK Energy Marketing ,982W,DWSTRKEY,FT1,Bondad Mainline,0
OneOK Energy Marketing ,982W,DWSTRKEY,FT1,Bondad Station,0
OneOK Energy Marketing ,982W,DWSTRKEY,FT1,Puckett,0
OneOK Energy Marketing ,982W,DWSTRKEY,FT1,Rio Vista,0
OneOK Energy Marketing ,982W,DWSTRKEY,FT1,Waha,0
,,DWSTRKEY Total,,,0
OneOK Energy Marketing ,982W,DWSTRMID,FT1,Blanco,3
