North American Gas and Power ,,,,,,,,,,,,,,,,,,
Global Contract Report,,,,,,,,,,,,,,,,,,
,,,,,Commodity-Type and Associated Contract Numbers,,,,,,RANK,,,,Notional Value,,,
Texaco Natural Gas Inc.,3022,79367825,GISB Base Contract,Enron North America Corp.,,96004912,,,,,24,,79,,418031229,,175080,
Texaco Natural Gas Inc.,3022,79367825,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,24,,79,,418031229,,175080,
Texaco Natural Gas Inc.,3022,79367825,KCBT Contract/DP,Enron North America Corp.,,96007593,,,,,24,,79,,418031229,,175080,
Texaco Natural Gas Inc.,3022,79367825,Netting Agreement,Enron North America Corp.,,96039483,,,,,24,,79,,418031229,,175080,
Texaco Natural Gas Inc.,3022,79367825,No Active Financial Contracts,,,,,,,,24,,79,,418031229,,175080,
Texaco Natural Gas Inc.,3022,79367825,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96041628,,,,,24,,79,,418031229,,175080,
"Cargill Energy, a division of Cargill, Incorporated",57543,0,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96043502,,,96043502,,,25,,55,,405848980,,2030000,
"Cargill Energy, a division of Cargill, Incorporated",57543,0,EES-ENovative Lite Energy Service Agreement,"Enron Energy Services, Inc.",,96089932,,,,,25,,55,,405848980,,2030000,
"Cargill Energy, a division of Cargill, Incorporated",57543,0,GISB Base Contract,Enron North America Corp.,,96018454,,,,,25,,55,,405848980,,2030000,
"Cargill Energy, a division of Cargill, Incorporated",57543,0,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,25,,55,,405848980,,2030000,
"Cargill Energy, a division of Cargill, Incorporated",57543,0,Master Purchase Sale Firm,Enron North America Corp.,,96058924,,,,,25,,55,,405848980,,2030000,
"CMS Marketing, Services and Trading Company",53295,5000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96014540,,,96014540,,,26,17,18,,347623570,8395341,19608295,
"CMS Marketing, Services and Trading Company",53295,5000000,General Terms and Conditions Sale Firm,Enron North America Corp.,,96062348,,,,,26,17,18,,347623570,8395341,19608295,
"CMS Marketing, Services and Trading Company",53295,5000000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,26,17,18,,347623570,8395341,19608295,
"CMS Marketing, Services and Trading Company",53295,5000000,Master Energy Purchase and Sale Agreement,,,,96018400,,,,26,17,18,,347623570,8395341,19608295,
"CMS Marketing, Services and Trading Company",53295,5000000,Master Purchase Sale Spot,Enron North America Corp.,,96008622,,,,,26,17,18,,347623570,8395341,19608295,
"CMS Marketing, Services and Trading Company",53295,5000000,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96045242,,,,,26,17,18,,347623570,8395341,19608295,
"OGE Energy Resources, Inc.",58525,18517730,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96032184,,,,,,27,77,,,338345700,86256,,
"OGE Energy Resources, Inc.",58525,18517730,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96070626,,,,,27,77,,,338345700,86256,,
"OGE Energy Resources, Inc.",58525,18517730,GISB Base Contract,Enron North America Corp.,,96022449,,,,,27,77,,,338345700,86256,,
"OGE Energy Resources, Inc.",58525,18517730,GISB Base Contract 6.3.1,"enovate, L.L.C.",,96057168,,,,,27,77,,,338345700,86256,,
"OGE Energy Resources, Inc.",58525,18517730,Master Energy Purchase and Sale Agreement,,,,96014760,,,,27,77,,,338345700,86256,,
"OGE Energy Resources, Inc.",58525,18517730,Master Purchase Sale Firm,"enovate, L.L.C.",,96057100,,,,,27,77,,,338345700,86256,,
BNP Paribas,56631,83246030,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,95000290,,,95000290,,,28,,63,,330196960,,1366000,
BNP Paribas,56631,83246030,No Active Physical Natural Gas Contracts,,,,,,,,28,,63,,330196960,,1366000,
TXU Energy Trading Company,69034,7500000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96038419,,,,,,29,25,,,282655052,4870418,,
TXU Energy Trading Company,69034,7500000,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96083591,,,,,29,25,,,282655052,4870418,,
TXU Energy Trading Company,69034,7500000,GISB Base Contract 6.3.1,Enron North America Corp.,,96020552,,,,,29,25,,,282655052,4870418,,
TXU Energy Trading Company,69034,7500000,GTC Gas Exchange,"enovate, L.L.C.",,96084992,,,,,29,25,,,282655052,4870418,,
TXU Energy Trading Company,69034,7500000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,29,25,,,282655052,4870418,,
TXU Energy Trading Company,69034,7500000,Master Purchase Sale Firm,Enron North America Corp.,,96044805,,,,,29,25,,,282655052,4870418,,
TXU Energy Trading Company,69034,7500000,Netting Agreement,Enron North America Corp.,,96019056,,,,,29,25,,,282655052,4870418,,
"ONEOK Energy Marketing and Trading Company, L.P.",31699,14976282,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96022095,,,,,,30,,,,282294889,,,
"ONEOK Energy Marketing and Trading Company, L.P.",31699,14976282,Administrative or Other Services,"enovate, L.L.C.",,96058521,,,,,30,,,,282294889,,,
"ONEOK Energy Marketing and Trading Company, L.P.",31699,14976282,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96067097,,,,,30,,,,282294889,,,
"ONEOK Energy Marketing and Trading Company, L.P.",31699,14976282,GISB Base Contract 6.3.1,"enovate, L.L.C.",,96055738,,,,,30,,,,282294889,,,
"ONEOK Energy Marketing and Trading Company, L.P.",31699,14976282,GTC Gas Exchange,"enovate, L.L.C.",,96084980,,,,,30,,,,282294889,,,
"ONEOK Energy Marketing and Trading Company, L.P.",31699,14976282,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,30,,,,282294889,,,
"ONEOK Energy Marketing and Trading Company, L.P.",31699,14976282,KCBT Contract/DP,Enron North America Corp.,,96007593,,,,,30,,,,282294889,,,
"ONEOK Energy Marketing and Trading Company, L.P.",31699,14976282,Master Purchase Sale Firm,"enovate, L.L.C.",,96055746,,,,,30,,,,282294889,,,
"ONEOK Energy Marketing and Trading Company, L.P.",31699,14976282,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96057675,,,,,30,,,,282294889,,,
"ONEOK Energy Marketing and Trading Company, L.P.",31699,14976282,Single Transaction Purchase Firm,Enron North America Corp.,,96013084,,,,,30,,,,282294889,,,
Morgan Stanley Capital Group Inc.,9409,94893527,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96021308,,,,,31,14,42,,279568368,13062748,4125000,
Morgan Stanley Capital Group Inc.,9409,94893527,GISB Base Contract 6.3.1,Enron North America Corp.,,96028966,,,,,31,14,42,,279568368,13062748,4125000,
Morgan Stanley Capital Group Inc.,9409,94893527,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,31,14,42,,279568368,13062748,4125000,
Morgan Stanley Capital Group Inc.,9409,94893527,Master Energy Price Swap,Enron North America Corp.,95000191,,,95000191,,,31,14,42,,279568368,13062748,4125000,
Morgan Stanley Capital Group Inc.,9409,94893527,Master Energy Purchase and Sale Agreement,,,,96019669,,,,31,14,42,,279568368,13062748,4125000,
Morgan Stanley Capital Group Inc.,9409,94893527,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96013901,,31,14,42,,279568368,13062748,4125000,
Morgan Stanley Capital Group Inc.,9409,94893527,Master Purchase/Sale Firm and Interruptible,Enron North America Corp.,,96028965,,,,,31,14,42,,279568368,13062748,4125000,
Morgan Stanley Capital Group Inc.,9409,94893527,Netting Agreement,Enron North America Corp.,,96019054,,,,,31,14,42,,279568368,13062748,4125000,
Duke Energy Marketing Limited Partnership,54980,24704769,92 ISDA - Multicurrency/Cross Border,Enron Canada Corp.,96050438,,,96050438,,,32,,7,11,276578000,,76417593,11292
Duke Energy Marketing Limited Partnership,54980,24704769,Electronic Trading Agreement,Enron North America Corp.,,96028247,,,,,32,,7,11,276578000,,76417593,11292
Duke Energy Marketing Limited Partnership,54980,24704769,GTC Purchase Spot,Enron North America Corp.,,96019827,,,,,32,,7,11,276578000,,76417593,11292
Duke Energy Marketing Limited Partnership,54980,24704769,GTC Sale Spot,Enron North America Corp.,,96020262,,,,,32,,7,11,276578000,,76417593,11292
Duke Energy Marketing Limited Partnership,54980,24704769,Master Purchase Sale Firm,Enron North America Corp.,,96086753,,,,,32,,7,11,276578000,,76417593,11292
Duke Energy Marketing Limited Partnership,54980,24704769,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96013816,,32,,7,11,276578000,,76417593,11292
Duke Energy Marketing Limited Partnership,54980,24704769,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96028699,,,,,32,,7,11,276578000,,76417593,11292
Duke Energy Marketing Limited Partnership,54980,24704769,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96030351,,,,,32,,7,11,276578000,,76417593,11292
Dynegy Canada Inc.,65292,14687483,Electronic Trading Agreement,Enron North America Corp.,,96028144,,,,,33,,5,2,251837000,,96198690,161328
Dynegy Canada Inc.,65292,14687483,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96082381,,,,,33,,5,2,251837000,,96198690,161328
Dynegy Canada Inc.,65292,14687483,General Terms and Conditions Sale Firm,Enron North America Corp.,,96060527,,,,,33,,5,2,251837000,,96198690,161328
Dynegy Canada Inc.,65292,14687483,GTC Purchase Spot,Enron North America Corp.,,96055647,,,,,33,,5,2,251837000,,96198690,161328
Dynegy Canada Inc.,65292,14687483,GTC Sale Spot,Enron North America Corp.,,96054328,,,,,33,,5,2,251837000,,96198690,161328
Dynegy Canada Inc.,65292,14687483,Master Agreement (1992 - ECT Form),Enron Canada Corp.,96037412,,,96037412,,,33,,5,2,251837000,,96198690,161328
Dynegy Canada Inc.,65292,14687483,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96013842,,33,,5,2,251837000,,96198690,161328
Dynegy Canada Inc.,65292,14687483,Netting Agreement,Enron North America Corp.,,96031686,,,,,33,,5,2,251837000,,96198690,161328
Dynegy Canada Inc.,65292,14687483,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96028802,,,,,33,,5,2,251837000,,96198690,161328
Dynegy Canada Inc.,65292,14687483,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96028678,,,,,33,,5,2,251837000,,96198690,161328
"Aquila Capital & Trade, Ltd.",102342,1000000,92 ISDA - Multicurrency/Cross Border,Enron Canada Corp.,96064587,,,96064587,,,34,,2,,245959900,,157570947,
"Aquila Capital & Trade, Ltd.",102342,1000000,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96066266,,,,,34,,2,,245959900,,157570947,
"Aquila Capital & Trade, Ltd.",102342,1000000,General Terms and Conditions Sale Firm,Enron North America Corp.,,96084696,,,,,34,,2,,245959900,,157570947,
"Aquila Capital & Trade, Ltd.",102342,1000000,GTC Purchase Spot,Enron North America Corp.,,96067726,,,,,34,,2,,245959900,,157570947,
"Aquila Capital & Trade, Ltd.",102342,1000000,GTC Sale Spot,Enron North America Corp.,,96068970,,,,,34,,2,,245959900,,157570947,
"Aquila Capital & Trade, Ltd.",102342,1000000,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96070472,,34,,2,,245959900,,157570947,
"Aquila Capital & Trade, Ltd.",102342,1000000,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96063164,,,,,34,,2,,245959900,,157570947,
Mieco Inc.,49333,2400000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96052169,,,,,,35,,,,226498030,,,
Mieco Inc.,49333,2400000,GISB Base Contract 6.3.1,Enron North America Corp.,,96028953,,,,,35,,,,226498030,,,
Mieco Inc.,49333,2400000,Master Purchase Sale Firm,Enron North America Corp.,,96057905,,,,,35,,,,226498030,,,
IDACORP Energy L.P.,65246,24817810,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96043410,,,96043410,,,36,,,12,212895327,,,8696
IDACORP Energy L.P.,65246,24817810,GTC Gas Exchange,"enovate, L.L.C.",,96074734,,,,,36,,,12,212895327,,,8696
IDACORP Energy L.P.,65246,24817810,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,36,,,12,212895327,,,8696
IDACORP Energy L.P.,65246,24817810,Master Purchase Sale Firm,Enron North America Corp.,,96028950,,,,,36,,,12,212895327,,,8696
IDACORP Energy L.P.,65246,24817810,Master Purchase/Sale Firm and Interruptible,"enovate, L.L.C.",,96057102,,,,,36,,,12,212895327,,,8696
"e prime, inc.",51163,2000000,92 ISDA - Local Currency/Single Juris,Enron North America Corp.,96003709,,,96003709,,,37,,27,,209910704,,8585000,
"e prime, inc.",51163,2000000,GISB Base Contract 6.3.1,Enron North America Corp.,,96028886,,,,,37,,27,,209910704,,8585000,
"e prime, inc.",51163,2000000,Master Purchase Sale Firm,Enron North America Corp.,,96004242,,,,,37,,27,,209910704,,8585000,
"e prime, inc.",51163,2000000,Netting Agreement,Enron North America Corp.,,96022487,,,,,37,,27,,209910704,,8585000,
Aquila Energy Marketing Corporation,18,33191906,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96086807,,,,,38,2,,,202828292,58563554,,
Aquila Energy Marketing Corporation,18,33191906,GISB Base Contract 6.3.1,ENA Upstream Company LLC,,96070370,,,,,38,2,,,202828292,58563554,,
Aquila Energy Marketing Corporation,18,33191906,GTC Financial,Enron North America Corp.,96030576,,,,,,38,2,,,202828292,58563554,,
Aquila Energy Marketing Corporation,18,33191906,GTC Purchase Spot,Enron North America Corp.,,96063120,,,,,38,2,,,202828292,58563554,,
Aquila Energy Marketing Corporation,18,33191906,GTC Sale Spot,Enron North America Corp.,,96063299,,,,,38,2,,,202828292,58563554,,
Aquila Energy Marketing Corporation,18,33191906,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,38,2,,,202828292,58563554,,
Aquila Energy Marketing Corporation,18,33191906,KCBT Contract/DP,Enron North America Corp.,,96007593,,,,,38,2,,,202828292,58563554,,
Aquila Energy Marketing Corporation,18,33191906,Master Energy Purchase and Sale Agreement,,,,96009016,,,,38,2,,,202828292,58563554,,
Aquila Energy Marketing Corporation,18,33191906,Master Purchase Sale Firm,Enron North America Corp.,,96091093,,,,,38,2,,,202828292,58563554,,
Aquila Energy Marketing Corporation,18,33191906,Netting Agreement,Enron North America Corp.,,96090130,,,,,38,2,,,202828292,58563554,,
Enterprise Products Operating L.P.,60949,5000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96038352,,,,,,39,,,,157380000,,,
Enterprise Products Operating L.P.,60949,5000000,GTC Sale Spot,Enron North America Corp.,,96059711,,,,,39,,,,157380000,,,
Duke Energy Merchants LLC,70891,5000000,No Active Financial Contracts,,,,,,,,40,,,,150420000,,,
Duke Energy Merchants LLC,70891,5000000,No Active Physical Natural Gas Contracts,,,,,,,,40,,,,150420000,,,
Firm Trading Bridgeline Gas Marketing,84922,10000000,ENA Book-See various Bridgeline contracts as listed.,,,,,,,,41,,,,150057652,,,
Firm Trading Bridgeline Gas Marketing,84922,10000000,No Active Financial Contracts,,,,,,,,41,,,,150057652,,,
"ConAgra Energy Services, Inc.",29605,68290532,92 ISDA - Local Currency/Single Juris,Enron North America Corp.,96003713,,,96003713,,,42,65,62,,143676150,172565,1395000,
"ConAgra Energy Services, Inc.",29605,68290532,EES-Master Firm Sales Full Management Srvs Agreement,"Enron Energy Services, Inc.",,96063989,,,,,42,65,62,,143676150,172565,1395000,
"ConAgra Energy Services, Inc.",29605,68290532,GISB Base Contract 6.3.1,Enron North America Corp.,,96028864,,,,,42,65,62,,143676150,172565,1395000,
"ConAgra Energy Services, Inc.",29605,68290532,GTC Purchase Spot,Enron North America Corp.,,96002647,,,,,42,65,62,,143676150,172565,1395000,
"ConAgra Energy Services, Inc.",29605,68290532,GTC Sale Spot,Enron North America Corp.,,96002818,,,,,42,65,62,,143676150,172565,1395000,
"ConAgra Energy Services, Inc.",29605,68290532,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,42,65,62,,143676150,172565,1395000,
"ConAgra Energy Services, Inc.",29605,68290532,Master Energy Purchase and Sale Agreement,,,,96004354,,,,42,65,62,,143676150,172565,1395000,
"ConAgra Energy Services, Inc.",29605,68290532,Master Purchase Sale Firm,Enron North America Corp.,,96005347,,,,,42,65,62,,143676150,172565,1395000,
"ConAgra Energy Services, Inc.",29605,68290532,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96013805,,42,65,62,,143676150,172565,1395000,
"ConAgra Energy Services, Inc.",29605,68290532,Netting Agreement,Enron North America Corp.,,96007370,,,,,42,65,62,,143676150,172565,1395000,
The Chase Manhattan Bank,5280,193437510,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96032506,,,,,43,,,,137949000,,,
The Chase Manhattan Bank,5280,193437510,GISB Base Contract 6.3.1,Enron North America Corp.,,96016462,,,,,43,,,,137949000,,,
The Chase Manhattan Bank,5280,193437510,Master Agreement (1992 - ECT Form),Enron North America Corp.,95000299,,,,,,43,,,,137949000,,,
The Chase Manhattan Bank,5280,193437510,Master Purchase Sale Firm,Enron North America Corp.,,96035755,,,,,43,,,,137949000,,,
"Enron Energy Services, Inc.",57956,20000000,92 ISDA - Multicurrency/Cross Border,Risk Management & Trading Corp.,96023504,,,,,,44,29,,,123321465,4530811,,
"Enron Energy Services, Inc.",57956,20000000,GISB Base Contract 6.3.1,Enron North America Corp.,,96030174,,,,,44,29,,,123321465,4530811,,
"Enron Energy Services, Inc.",57956,20000000,GTC Purchase Spot,"Enron MW, L.L.C.",,96057790,,,,,44,29,,,123321465,4530811,,
"Enron Energy Services, Inc.",57956,20000000,GTC Sale Spot,ENA Upstream Company LLC,,96067322,,,,,44,29,,,123321465,4530811,,
"Enron Energy Services, Inc.",57956,20000000,Master Energy Purchase and Sale Agreement,,,,96014730,,,,44,29,,,123321465,4530811,,
"Enron Energy Services, Inc.",57956,20000000,Master Purchase Firm,Enron Compression Services  Company,,96057695,,,,,44,29,,,123321465,4530811,,
"Enron Energy Services, Inc.",57956,20000000,Master Purchase Sale Firm,Enron North America Corp.,,96013197,,,,,44,29,,,123321465,4530811,,
"Enron Energy Services, Inc.",57956,20000000,Master Purchase Sale Spot,Enron North America Corp.,,96013210,,,,,44,29,,,123321465,4530811,,
Glencore Ltd.,26313,1000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,95001006,,,,,,45,,,,122485000,,,
Glencore Ltd.,26313,1000000,OnLine GTC Gas Short-Term Firm with Collateral,Enron North America Corp.,,96061604,,,,,45,,,,122485000,,,
Louis Dreyfus Corporation,278,2699131,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96019633,,,,,,46,,,,120797500,,,
Louis Dreyfus Corporation,278,2699131,No Active Physical Natural Gas Contracts,,,,,,,,46,,,,120797500,,,
AIG Energy Trading Inc.,93526,2500000,No Active Financial Contracts,,,,,,,,47,,,,111352500,,,
AIG Energy Trading Inc.,93526,2500000,No Active Physical Natural Gas Contracts,,,,,,,,47,,,,111352500,,,
PanCanadian Energy Services Inc.,61839,1500000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96053796,,,,,,48,,,,107236173,,,
PanCanadian Energy Services Inc.,61839,1500000,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96086909,,,,,48,,,,107236173,,,
PanCanadian Energy Services Inc.,61839,1500000,GISB Base Contract 6.3.1,"enovate, L.L.C.",,96067387,,,,,48,,,,107236173,,,
PanCanadian Energy Services Inc.,61839,1500000,GTC Sale Spot,ENA Upstream Company LLC,,96064301,,,,,48,,,,107236173,,,
PanCanadian Energy Services Inc.,61839,1500000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,48,,,,107236173,,,
PanCanadian Energy Services Inc.,61839,1500000,Master Purchase Sale Firm,Enron North America Corp.,,96001596,,,,,48,,,,107236173,,,
PanCanadian Energy Services Inc.,61839,1500000,Master Purchase Sale Interruptible,Enron North America Corp.,,96000988,,,,,48,,,,107236173,,,
PanCanadian Energy Services Inc.,61839,1500000,Master Purchase/Sale Firm and Interruptible,Enron North America Corp.,,96001177,,,,,48,,,,107236173,,,
PSEG Energy Resources & Trade LLC,84074,0,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96041614,,,,,,49,23,,,100350000,5312142,,
PSEG Energy Resources & Trade LLC,84074,0,Master Power Purchase and Sale Agreement,,,,96049254,,,,49,23,,,100350000,5312142,,
PSEG Energy Resources & Trade LLC,84074,0,No Active Physical Natural Gas Contracts,,,,,,,,49,23,,,100350000,5312142,,
TransCanada Energy Financial Products Limited,48528,15000000,92 ISDA - Multicurrency/Cross Border,Enron Canada Corp.,96001822,,,96001822,,,50,,24,6,96365490,,11590000,67644
TransCanada Energy Financial Products Limited,48528,15000000,No Active Physical Natural Gas Contracts,,,,,,,,50,,24,6,96365490,,11590000,67644
Cook Inlet Energy Supply L.L.C.,11170,851507,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96016053,,,,,,51,,54,,91089180,,2073000,
Cook Inlet Energy Supply L.L.C.,11170,851507,Electronic Trading Agreement,Enron North America Corp.,,96028122,,,,,51,,54,,91089180,,2073000,
Cook Inlet Energy Supply L.L.C.,11170,851507,GISB Base Contract,Enron North America Corp.,,96035616,,,,,51,,54,,91089180,,2073000,
Cook Inlet Energy Supply L.L.C.,11170,851507,Master Purchase Sale Firm,Enron North America Corp.,,96001012,,,,,51,,54,,91089180,,2073000,
Cook Inlet Energy Supply L.L.C.,11170,851507,Netting Agreement,Enron North America Corp.,,96007382,,,,,51,,54,,91089180,,2073000,
Cook Inlet Energy Supply L.L.C.,11170,851507,Online Canadian Firm Gas GTC with Collateral,Enron Canada Corp.,,,,,96030192,,51,,54,,91089180,,2073000,
Cook Inlet Energy Supply L.L.C.,11170,851507,OnLine GTC Gas Long-Term Firm with Collateral,Enron North America Corp.,,96090116,,,,,51,,54,,91089180,,2073000,
Tenaska Marketing Ventures,208,2500000,92 ISDA - Local Currency/Single Juris,Enron North America Corp.,95001227,,,95001227,,,52,,60,,87539014,,1605000,
Tenaska Marketing Ventures,208,2500000,KCBT Contract/DP,Enron North America Corp.,,96007593,,,,,52,,60,,87539014,,1605000,
Tenaska Marketing Ventures,208,2500000,Master Purchase Sale Firm,Enron North America Corp.,,96001395,,,,,52,,60,,87539014,,1605000,
Tenaska Marketing Ventures,208,2500000,Master Purchase Sale Spot,Enron North America Corp.,,96001363,,,,,52,,60,,87539014,,1605000,
Tenaska Marketing Ventures,208,2500000,Netting Agreement,Enron North America Corp.,,96019305,,,,,52,,60,,87539014,,1605000,
Tenaska Marketing Ventures,208,2500000,Online Canadian Firm Gas GTC,Enron Canada Corp.,,,,,96056940,,52,,60,,87539014,,1605000,
Conoco Inc.,3497,71347000,92 ISDA - Local Currency/Single Juris,Enron North America Corp.,96009194,,,,,,53,,,,84826435,,,
Conoco Inc.,3497,71347000,EES-Master Firm Natural Gas Sales Agreement,Enron Energy Marketing Corp.,,96075249,,,,,53,,,,84826435,,,
Conoco Inc.,3497,71347000,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96083597,,,,,53,,,,84826435,,,
Conoco Inc.,3497,71347000,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96057898,,,,,53,,,,84826435,,,
Conoco Inc.,3497,71347000,General Terms and Conditions Sale Firm,Enron North America Corp.,,96094575,,,,,53,,,,84826435,,,
Conoco Inc.,3497,71347000,GISB Base Contract,Enron North America Corp.,,96028867,,,,,53,,,,84826435,,,
Conoco Inc.,3497,71347000,GISB Base Contract 6.3.1,ENA Upstream Company LLC,,96065410,,,,,53,,,,84826435,,,
Conoco Inc.,3497,71347000,GTC Gas Exchange,"enovate, L.L.C.",,96058117,,,,,53,,,,84826435,,,
Conoco Inc.,3497,71347000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,53,,,,84826435,,,
Conoco Inc.,3497,71347000,Master Purchase Sale Firm,"enovate, L.L.C.",,96060310,,,,,53,,,,84826435,,,
Nexen Marketing,57251,14305687,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96034867,,,,,,54,,16,,81995561,,43687885,
Nexen Marketing,57251,14305687,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96084677,,,,,54,,16,,81995561,,43687885,
Nexen Marketing,57251,14305687,General Terms and Conditions Sale Firm,Enron North America Corp.,,96066264,,,,,54,,16,,81995561,,43687885,
Nexen Marketing,57251,14305687,GTC Purchase Spot,Enron North America Corp.,,96019838,,,,,54,,16,,81995561,,43687885,
Nexen Marketing,57251,14305687,GTC Sale Spot,Enron North America Corp.,,96020000,,,,,54,,16,,81995561,,43687885,
Nexen Marketing,57251,14305687,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96013811,,54,,16,,81995561,,43687885,
Nexen Marketing,57251,14305687,Netting Agreement,Enron North America Corp.,,96023233,,,,,54,,16,,81995561,,43687885,
Nexen Marketing,57251,14305687,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96028432,,,,,54,,16,,81995561,,43687885,
Nexen Marketing,57251,14305687,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96028343,,,,,54,,16,,81995561,,43687885,
Bankers Trust Company,27,,1987 ISDA Form,"Enron GasBank, Inc.",96000086,,,95001184,,,55,,47,,80878021,,2915000,
Bankers Trust Company,27,,No Active Physical Natural Gas Contracts,,,,,,,,55,,47,,80878021,,2915000,
EnergyUSA-TPC Corp.,49298,4174938,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96085483,,,,,56,,84,,80561831,,87833,
EnergyUSA-TPC Corp.,49298,4174938,General Terms and Conditions Sale Firm,Enron North America Corp.,,96064760,,,,,56,,84,,80561831,,87833,
EnergyUSA-TPC Corp.,49298,4174938,GISB Base Contract,Enron North America Corp.,,96023215,,,,,56,,84,,80561831,,87833,
EnergyUSA-TPC Corp.,49298,4174938,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,56,,84,,80561831,,87833,
EnergyUSA-TPC Corp.,49298,4174938,Industrial Master,Enron North America Corp.,96035882,,,,,,56,,84,,80561831,,87833,
EnergyUSA-TPC Corp.,49298,4174938,Netting Agreement,Enron North America Corp.,,96018772,,,,,56,,84,,80561831,,87833,
EnergyUSA-TPC Corp.,49298,4174938,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96037197,,,,,56,,84,,80561831,,87833,
Union Oil Company Of California,220,39928985,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96019661,,,,,,57,,,,76215000,,,
Union Oil Company Of California,220,39928985,GTC Purchase Spot,Enron North America Corp.,,96017081,,,,,57,,,,76215000,,,
Union Oil Company Of California,220,39928985,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96062593,,,,,57,,,,76215000,,,
"Aquila Dallas Marketing, L.P.",76789,2500000,GTC Purchase Spot,Enron North America Corp.,,96038252,,,,,58,,,,75948794,,,
"Aquila Dallas Marketing, L.P.",76789,2500000,GTC Sale Spot,Enron North America Corp.,,96039372,,,,,58,,,,75948794,,,
"Aquila Dallas Marketing, L.P.",76789,2500000,No Active Financial Contracts,,,,,,,,58,,,,75948794,,,
"Aquila Dallas Marketing, L.P.",76789,2500000,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96081482,,,,,58,,,,75948794,,,
"Aquila Dallas Marketing, L.P.",76789,2500000,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96038243,,,,,58,,,,75948794,,,
"WPS Energy Services, Inc.",46388,600000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96051531,,,96051531,,,59,91,19,,73285217,25338,17831055,
"WPS Energy Services, Inc.",46388,600000,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96094545,,,,,59,91,19,,73285217,25338,17831055,
