,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gas Curves,,To Paste,,,,,,209,0.1,,,,0.41,,
Palo Verde,21.107142238389876,,,34.61120032032012,-8.47879967967988,,22.456081271918414,-7.703918728081586,,37.857567458211875,8.277567458211877,,26.873825087800466,-4.746174912199535,,27.67016447735028,-5.809835522649717,,28.249328877138325,-5.810671122861677,,28.752091114582296,-5.827908885417703,,,,,,,,,,,,,,,,,,,,,,,,2006-01-01 00:00:00,3.6420000000000003,0.15,0.5,0.22,-0.135,-0.31,,2006-01-01 00:00:00,3.8920000000000003,3.7920000000000003,4.142,3.8620000000000005,4.272,3.5070000000000006,3.3320000000000003
Four Corners,20.67857077008202,,,38.39981723543125,-8.470182764568747,,23.237562862956928,-7.9624371370430715,,40.9780378561828,10.618037856182802,,28.369507237049913,-5.040492762950084,,28.35362752382358,-5.986372476176424,,28.932846343624313,-5.917153656375689,,29.348203350116666,-5.931796649883335,,,,,,,,,,,,,,,,,,,,,,,,2006-02-01 00:00:00,3.5610000000000004,0.15,0.5,0.22,-0.135,-0.31,,2006-02-01 00:00:00,3.8110000000000004,3.7110000000000003,4.061,3.7810000000000006,4.191000000000001,3.426,3.2510000000000003
Rockies,21.75014231504145,,,34.61115191649083,-8.47884808350917,,22.45622204110087,-7.703777958899131,,37.85769210801309,8.277692108013092,,26.873857494961342,-4.746142505038659,,27.67014818428822,-5.809851815711777,,28.249310090338092,-5.81068990966191,,28.764448926998888,-5.81555107300111,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00,3.4610000000000003,0.15,0.5,0.22,-0.135,-0.31,,2006-03-01 00:00:00,3.7110000000000003,3.611,3.9610000000000003,3.6810000000000005,4.091,3.3260000000000005,3.1510000000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-04-01 00:00:00,3.2790000000000004,0.06,0.5,0.24,-0.195,-0.43,,2006-04-01 00:00:00,3.4390000000000005,3.3390000000000004,3.7790000000000004,3.519,3.9290000000000003,3.0840000000000005,2.849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-05-01 00:00:00,3.282,0.06,0.5,0.24,-0.195,-0.43,,2006-05-01 00:00:00,3.442,3.342,3.782,3.5220000000000002,3.9320000000000004,3.087,2.852
Date Definitions,Start,End,,Term ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-01 00:00:00,3.322,0.06,0.5,0.24,-0.195,-0.43,,2006-06-01 00:00:00,3.482,3.382,3.822,3.5620000000000003,3.9720000000000004,3.1270000000000002,2.892
2002-02-01 00:00:00,2002-02-01 00:00:00,2002-02-28 00:00:00,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07-01 00:00:00,3.362,0.06,0.5,0.24,-0.195,-0.43,,2006-07-01 00:00:00,3.5220000000000002,3.422,3.862,3.6020000000000003,4.0120000000000005,3.1670000000000003,2.932
Q3-2002,2002-07-01 00:00:00,2002-09-30 00:00:00,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-01 00:00:00,3.4120000000000004,0.06,0.5,0.24,-0.195,-0.43,,2006-08-01 00:00:00,3.5720000000000005,3.4720000000000004,3.9120000000000004,3.652,4.062,3.2170000000000005,2.982
Q1-2003,2003-01-01 00:00:00,2003-03-31 00:00:00,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-09-01 00:00:00,3.3970000000000002,0.06,0.5,0.24,-0.195,-0.43,,2006-09-01 00:00:00,3.5570000000000004,3.4570000000000003,3.8970000000000002,3.6370000000000005,4.047000000000001,3.2020000000000004,2.967
Q3-2003,2003-07-01 00:00:00,2003-09-30 00:00:00,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-01 00:00:00,3.4120000000000004,0.06,0.5,0.24,-0.195,-0.43,,2006-10-01 00:00:00,3.5720000000000005,3.4720000000000004,3.9120000000000004,3.652,4.062,3.2170000000000005,2.982
2003,2003-01-01 00:00:00,2003-12-31 00:00:00,,0.999315537303217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-11-01 00:00:00,3.5570000000000004,0.15,0.5,0.23,-0.135,-0.3,,2006-11-01 00:00:00,3.8070000000000004,3.7070000000000003,4.057,3.7870000000000004,4.197,3.4220000000000006,3.2570000000000006
2004-2008,2004-01-01 00:00:00,2008-12-31 00:00:00,,5.002053388090349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-01 00:00:00,3.692,0.15,0.5,0.23,-0.135,-0.3,,2006-12-01 00:00:00,3.942,3.842,4.192,3.922,4.332,3.5570000000000004,3.3920000000000003
2004-2013,2004-01-01 00:00:00,2013-12-31 00:00:00,,10.001368925393566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-01 00:00:00,3.737,0.15,0.5,0.23,-0.135,-0.3,,2007-01-01 00:00:00,3.987,3.887,4.237,3.967,4.377,3.6020000000000003,3.4370000000000003
2004-2018,2004-01-01 00:00:00,2018-12-31 00:00:00,,15.000684462696784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-02-01 00:00:00,3.656,0.15,0.5,0.23,-0.135,-0.3,,2007-02-01 00:00:00,3.906,3.806,4.156000000000001,3.886,4.296,3.521,3.3560000000000003
,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-03-01 00:00:00,3.556,0.15,0.5,0.23,-0.135,-0.3,,2007-03-01 00:00:00,3.806,3.706,4.056,3.786,4.196,3.4210000000000003,3.2560000000000002
Q2,-,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-04-01 00:00:00,3.374,0.06,0.5,0.24,-0.195,-0.43,,2007-04-01 00:00:00,3.5340000000000003,3.434,3.874,3.614,4.024,3.1790000000000003,2.944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-05-01 00:00:00,3.3770000000000002,0.06,0.5,0.24,-0.195,-0.43,,2007-05-01 00:00:00,3.5370000000000004,3.4370000000000003,3.8770000000000002,3.617,4.027,3.1820000000000004,2.947
1905-06-26 00:00:00,-,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-06-01 00:00:00,3.4170000000000003,0.06,0.5,0.24,-0.195,-0.43,,2007-06-01 00:00:00,3.5770000000000004,3.4770000000000003,3.9170000000000003,3.657,4.067,3.2220000000000004,2.987
1905-06-26 00:00:00,-,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-07-01 00:00:00,3.4570000000000003,0.06,0.5,0.24,-0.195,-0.43,,2007-07-01 00:00:00,3.6170000000000004,3.5170000000000003,3.9570000000000003,3.697,4.107,3.2620000000000005,3.027
1905-06-26 00:00:00,-,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-08-01 00:00:00,3.507,0.06,0.5,0.24,-0.195,-0.43,,2007-08-01 00:00:00,3.6670000000000003,3.567,4.007,3.747,4.157,3.3120000000000003,3.077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-01 00:00:00,3.492,0.06,0.5,0.24,-0.195,-0.43,,2007-09-01 00:00:00,3.652,3.552,3.992,3.732,4.142,3.297,3.062
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-10-01 00:00:00,3.507,0.06,0.5,0.24,-0.195,-0.43,,2007-10-01 00:00:00,3.6670000000000003,3.567,4.007,3.747,4.157,3.3120000000000003,3.077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-11-01 00:00:00,3.652,0.15,0.5,0.23,-0.135,-0.3,,2007-11-01 00:00:00,3.902,3.802,4.152,3.882,4.292,3.5170000000000003,3.3520000000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-12-01 00:00:00,3.7870000000000004,0.15,0.5,0.23,-0.135,-0.3,,2007-12-01 00:00:00,4.037,3.9370000000000003,4.287000000000001,4.017,4.4270000000000005,3.652,3.4870000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-01-01 00:00:00,3.8320000000000003,0.15,0.5,0.23,-0.135,-0.3,,2008-01-01 00:00:00,4.082,3.982,4.332000000000001,4.062,4.472,3.697,3.5320000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-01 00:00:00,3.7510000000000003,0.15,0.5,0.23,-0.135,-0.3,,2008-02-01 00:00:00,4.001,3.9010000000000002,4.251,3.9810000000000003,4.391,3.6160000000000005,3.4510000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-03-01 00:00:00,3.6510000000000002,0.15,0.5,0.23,-0.135,-0.3,,2008-03-01 00:00:00,3.9010000000000002,3.801,4.151,3.8810000000000002,4.291,3.516,3.3510000000000004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-04-01 00:00:00,3.4690000000000003,0.06,0.5,0.24,-0.195,-0.43,,2008-04-01 00:00:00,3.6290000000000004,3.5290000000000004,3.9690000000000003,3.7090000000000005,4.119000000000001,3.2740000000000005,3.039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-05-01 00:00:00,3.472,0.06,0.5,0.24,-0.195,-0.43,,2008-05-01 00:00:00,3.632,3.532,3.972,3.7119999999999997,4.122,3.277,3.042
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-06-01 00:00:00,3.512,0.06,0.5,0.24,-0.195,-0.43,,2008-06-01 00:00:00,3.672,3.572,4.0120000000000005,3.752,4.162,3.317,3.082
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-07-01 00:00:00,3.552,0.06,0.5,0.24,-0.195,-0.43,,2008-07-01 00:00:00,3.712,3.612,4.052,3.792,4.202,3.357,3.122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-08-01 00:00:00,3.6020000000000003,0.06,0.5,0.24,-0.195,-0.43,,2008-08-01 00:00:00,3.7620000000000005,3.6620000000000004,4.102,3.8420000000000005,4.252000000000001,3.4070000000000005,3.172
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-09-01 00:00:00,3.587,0.06,0.5,0.24,-0.195,-0.43,,2008-09-01 00:00:00,3.7470000000000003,3.6470000000000002,4.087,3.827,4.237,3.3920000000000003,3.157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-10-01 00:00:00,3.6020000000000003,0.06,0.5,0.24,-0.195,-0.43,,2008-10-01 00:00:00,3.7620000000000005,3.6620000000000004,4.102,3.8420000000000005,4.252000000000001,3.4070000000000005,3.172
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-11-01 00:00:00,3.7470000000000003,0,0.5,0.23,-0.135,-0.3,,2008-11-01 00:00:00,3.8470000000000004,3.7470000000000003,4.247,3.9770000000000003,4.3870000000000005,3.612,3.4470000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-12-01 00:00:00,3.882,0,0.5,0.23,-0.135,-0.3,,2008-12-01 00:00:00,3.982,3.882,4.382,4.112,4.522,3.747,3.5820000000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-01-01 00:00:00,3.927,0,0.5,0.23,-0.135,-0.3,,2009-01-01 00:00:00,4.027,3.927,4.427,4.157,4.567,3.792,3.6270000000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-02-01 00:00:00,3.846,0,0.5,0.23,-0.135,-0.3,,2009-02-01 00:00:00,3.946,3.846,4.346,4.0760000000000005,4.486000000000001,3.7110000000000003,3.5460000000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-03-01 00:00:00,3.746,0,0.5,0.23,-0.135,-0.3,,2009-03-01 00:00:00,3.846,3.746,4.246,3.976,4.386,3.6109999999999998,3.446
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-04-01 00:00:00,3.564,0,0.5,0.24,-0.195,-0.43,,2009-04-01 00:00:00,3.664,3.564,4.064,3.8040000000000003,4.214,3.369,3.134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-05-01 00:00:00,3.567,0,0.5,0.24,-0.195,-0.43,,2009-05-01 00:00:00,3.6670000000000003,3.567,4.067,3.8070000000000004,4.2170000000000005,3.3720000000000003,3.137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-01 00:00:00,3.607,0,0.5,0.24,-0.195,-0.43,,2009-06-01 00:00:00,3.7070000000000003,3.607,4.107,3.8470000000000004,4.257000000000001,3.4120000000000004,3.177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-07-01 00:00:00,3.6470000000000002,0,0.5,0.24,-0.195,-0.43,,2009-07-01 00:00:00,3.7470000000000003,3.6470000000000002,4.147,3.8870000000000005,4.297000000000001,3.4520000000000004,3.217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-08-01 00:00:00,3.697,0,0.5,0.24,-0.195,-0.43,,2009-08-01 00:00:00,3.797,3.697,4.197,3.9370000000000003,4.347,3.5020000000000002,3.267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-09-01 00:00:00,3.6820000000000004,0,0.5,0.24,-0.195,-0.43,,2009-09-01 00:00:00,3.7820000000000005,3.6820000000000004,4.182,3.9220000000000006,4.332000000000001,3.4870000000000005,3.2520000000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-10-01 00:00:00,3.697,0,0.5,0.24,-0.195,-0.43,,2009-10-01 00:00:00,3.797,3.697,4.197,3.9370000000000003,4.347,3.5020000000000002,3.267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-11-01 00:00:00,3.842,0,0.5,0.23,-0.135,-0.3,,2009-11-01 00:00:00,3.942,3.842,4.3420000000000005,4.072,4.482,3.707,3.5420000000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-12-01 00:00:00,3.9770000000000003,0,0.5,0.23,-0.135,-0.3,,2009-12-01 00:00:00,4.077,3.9770000000000003,4.477,4.207000000000001,4.617000000000001,3.8420000000000005,3.6770000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-01-01 00:00:00,4.024500000000001,0,0.5,0.23,-0.135,-0.3,,2010-01-01 00:00:00,4.1245,4.024500000000001,4.524500000000001,4.254500000000001,4.664500000000001,3.889500000000001,3.724500000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-02-01 00:00:00,3.9435000000000002,0,0.5,0.23,-0.135,-0.3,,2010-02-01 00:00:00,4.0435,3.9435000000000002,4.4435,4.173500000000001,4.583500000000001,3.8085000000000004,3.6435000000000004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-03-01 00:00:00,3.8435,0,0.5,0.23,-0.135,-0.3,,2010-03-01 00:00:00,3.9435000000000002,3.8435,4.343500000000001,4.0735,4.4835,3.7085,3.5435000000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-01 00:00:00,3.6615,0,0.5,0.24,-0.195,-0.45,,2010-04-01 00:00:00,3.7615000000000003,3.6615,4.1615,3.9015000000000004,4.3115000000000006,3.4665000000000004,3.2115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-05-01 00:00:00,3.6645000000000003,0,0.5,0.24,-0.195,-0.45,,2010-05-01 00:00:00,3.7645000000000004,3.6645000000000003,4.1645,3.9045000000000005,4.314500000000001,3.4695000000000005,3.2145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-06-01 00:00:00,3.7045000000000003,0,0.5,0.24,-0.195,-0.45,,2010-06-01 00:00:00,3.8045000000000004,3.7045000000000003,4.2045,3.9445000000000006,4.354500000000001,3.5095000000000005,3.2545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-07-01 00:00:00,3.7445000000000004,0,0.5,0.24,-0.195,-0.45,,2010-07-01 00:00:00,3.8445000000000005,3.7445000000000004,4.2445,3.9845000000000006,4.394500000000001,3.5495000000000005,3.2945
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-08-01 00:00:00,3.7945,0,0.5,0.24,-0.195,-0.45,,2010-08-01 00:00:00,3.8945000000000003,3.7945,4.2945,4.0345,4.444500000000001,3.5995000000000004,3.3445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-09-01 00:00:00,3.7795,0,0.5,0.24,-0.195,-0.45,,2010-09-01 00:00:00,3.8795,3.7795,4.2795000000000005,4.0195,4.4295,3.5845000000000002,3.3295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-10-01 00:00:00,3.7945,0,0.5,0.24,-0.195,-0.45,,2010-10-01 00:00:00,3.8945000000000003,3.7945,4.2945,4.0345,4.444500000000001,3.5995000000000004,3.3445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-01 00:00:00,3.9395000000000002,0,0.5,0.35,-0.135,-0.3,,2010-11-01 00:00:00,4.0395,3.9395000000000002,4.439500000000001,4.2895,4.6995000000000005,3.8045,3.6395000000000004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-01 00:00:00,4.0745000000000005,0,0.5,0.35,-0.135,-0.3,,2010-12-01 00:00:00,4.1745,4.0745000000000005,4.5745000000000005,4.4245,4.8345,3.9395000000000007,3.7745000000000006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-01 00:00:00,4.122,0,0.5,0.35,-0.135,-0.3,,2011-01-01 00:00:00,4.2219999999999995,4.122,4.622,4.4719999999999995,4.882,3.987,3.822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-01 00:00:00,4.041,0,0.5,0.35,-0.135,-0.3,,2011-02-01 00:00:00,4.141,4.041,4.541,4.391,4.801,3.9060000000000006,3.7410000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-03-01 00:00:00,3.9410000000000003,0,0.5,0.35,-0.135,-0.3,,2011-03-01 00:00:00,4.041,3.9410000000000003,4.441000000000001,4.291,4.7010000000000005,3.806,3.6410000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-04-01 00:00:00,3.7590000000000003,0,0.5,0.43,-0.195,-0.45,,2011-04-01 00:00:00,3.8590000000000004,3.7590000000000003,4.259,4.189,4.599,3.5640000000000005,3.309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-05-01 00:00:00,3.762,0,0.5,0.43,-0.195,-0.45,,2011-05-01 00:00:00,3.862,3.762,4.2620000000000005,4.192,4.602,3.567,3.312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-01 00:00:00,3.802,0,0.5,0.43,-0.195,-0.45,,2011-06-01 00:00:00,3.902,3.802,4.302,4.232,4.642,3.607,3.352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-01 00:00:00,3.842,0,0.5,0.43,-0.195,-0.45,,2011-07-01 00:00:00,3.942,3.842,4.3420000000000005,4.272,4.682,3.6470000000000002,3.392
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-08-01 00:00:00,3.8920000000000003,0,0.5,0.43,-0.195,-0.45,,2011-08-01 00:00:00,3.9920000000000004,3.8920000000000003,4.392,4.322,4.732,3.6970000000000005,3.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-09-01 00:00:00,3.8770000000000002,0,0.5,0.43,-0.195,-0.45,,2011-09-01 00:00:00,3.9770000000000003,3.8770000000000002,4.377000000000001,4.307,4.7170000000000005,3.6820000000000004,3.427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-10-01 00:00:00,3.8920000000000003,0,0.5,0.43,-0.195,-0.45,,2011-10-01 00:00:00,3.9920000000000004,3.8920000000000003,4.392,4.322,4.732,3.6970000000000005,3.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-01 00:00:00,4.037,0,0.5,0.35,-0.135,-0.3,,2011-11-01 00:00:00,4.137,4.037,4.537,4.387,4.797,3.902,3.737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-12-01 00:00:00,4.172000000000001,0,0.5,0.35,-0.135,-0.3,,2011-12-01 00:00:00,4.272,4.172000000000001,4.672000000000001,4.522,4.932,4.037000000000001,3.8720000000000008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-01 00:00:00,4.2195,0,0.5,0.35,-0.135,-0.3,,2012-01-01 00:00:00,4.3195,4.2195,4.7195,4.5695,4.9795,4.0845,3.9195
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-02-01 00:00:00,4.1385000000000005,0,0.5,0.35,-0.135,-0.3,,2012-02-01 00:00:00,4.2385,4.1385000000000005,4.6385000000000005,4.4885,4.8985,4.003500000000001,3.8385000000000007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-01 00:00:00,4.0385,0,0.5,0.35,-0.135,-0.3,,2012-03-01 00:00:00,4.1385,4.0385,4.5385,4.3885,4.7985,3.9035,3.7385
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-01 00:00:00,3.8565,0,0.5,0.43,-0.195,-0.45,,2012-04-01 00:00:00,3.9565,3.8565,4.3565000000000005,4.2865,4.6965,3.6615,3.4065
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-05-01 00:00:00,3.8595,0,0.5,0.43,-0.195,-0.45,,2012-05-01 00:00:00,3.9595000000000002,3.8595,4.359500000000001,4.2895,4.6995000000000005,3.6645000000000003,3.4095
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-01 00:00:00,3.8995,0,0.5,0.43,-0.195,-0.45,,2012-06-01 00:00:00,3.9995000000000003,3.8995,4.3995,4.3295,4.7395000000000005,3.7045000000000003,3.4495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-01 00:00:00,3.9395000000000002,0,0.5,0.43,-0.195,-0.45,,2012-07-01 00:00:00,4.0395,3.9395000000000002,4.439500000000001,4.3695,4.7795000000000005,3.7445000000000004,3.4895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-01 00:00:00,3.9895,0,0.5,0.43,-0.195,-0.45,,2012-08-01 00:00:00,4.0895,3.9895,4.4895,4.4195,4.8295,3.7945,3.5395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-01 00:00:00,3.9745000000000004,0,0.5,0.43,-0.195,-0.45,,2012-09-01 00:00:00,4.0745000000000005,3.9745000000000004,4.474500000000001,4.4045000000000005,4.814500000000001,3.7795000000000005,3.5245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-01 00:00:00,3.9895,0,0.5,0.43,-0.195,-0.45,,2012-10-01 00:00:00,4.0895,3.9895,4.4895,4.4195,4.8295,3.7945,3.5395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-01 00:00:00,4.1345,0,0.5,0.35,-0.135,-0.3,,2012-11-01 00:00:00,4.2345,4.1345,4.6345,4.4845,4.8945,3.9995000000000003,3.8345000000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-01 00:00:00,4.2695,0,0.5,0.35,-0.135,-0.3,,2012-12-01 00:00:00,4.3694999999999995,4.2695,4.7695,4.6194999999999995,5.0295,4.1345,3.9695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-01-01 00:00:00,4.317,0,0.5,0.35,-0.135,-0.3,,2013-01-01 00:00:00,4.417,4.317,4.817,4.667,5.077,4.182,4.017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-01 00:00:00,4.236,0,0.5,0.35,-0.135,-0.3,,2013-02-01 00:00:00,4.335999999999999,4.236,4.736,4.585999999999999,4.9959999999999996,4.101,3.936
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-01 00:00:00,4.136,0,0.5,0.35,-0.135,-0.3,,2013-03-01 00:00:00,4.236,4.136,4.636,4.486,4.896,4.001,3.8360000000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-04-01 00:00:00,3.954,0,0.5,0.43,-0.195,-0.45,,2013-04-01 00:00:00,4.054,3.954,4.454000000000001,4.384,4.7940000000000005,3.7590000000000003,3.504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-01 00:00:00,3.9570000000000003,0,0.5,0.43,-0.195,-0.45,,2013-05-01 00:00:00,4.057,3.9570000000000003,4.457000000000001,4.3870000000000005,4.797000000000001,3.7620000000000005,3.507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-06-01 00:00:00,3.9970000000000003,0,0.5,0.43,-0.195,-0.45,,2013-06-01 00:00:00,4.097,3.9970000000000003,4.497,4.4270000000000005,4.837000000000001,3.8020000000000005,3.547
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-01 00:00:00,4.037,0,0.5,0.43,-0.195,-0.45,,2013-07-01 00:00:00,4.137,4.037,4.537,4.467,4.877,3.842,3.5869999999999997
