,,,PJM RTO,T. Hoatson,,PJM filed with FERC that is currently satisfies all critieria necessary to be classified an RTO.,2001-03-16 00:00:00,"Enron protested that PJM does not satisfy criteria for scope and size (too small) and other issues and should not be granted RTO status until PJM is expanded to include New York and New England. (Enron recently met with PJM's Executive Director to discuss support for RTO approval in exchange for PJM support for Enron PJM issues (FTR's, scope and size, ICAP, etc)."
,,,GridFlorida,T. Hoatson,,Governance,2001-03-16 00:00:00,Provided support to D. Staines in the area of governance.
,,,Southern RTO/Grid South,Chapman/Connor,,SERC Issues,2001-05-28 00:00:00,"Working extensively on GridSouth and RTO. Have received no response from FERC as of yet.  GridSouth has seated a portion of their board.  Jim Steffes worked with me on the Board Selection process.  GridSouth has also filed a Compliance Filing.  I am working on our response, if any.  The Board has been selected."
,,,NC,Chapman,,Siting Law,2001-05-25 00:00:00,I have been working to approve scaled down versions of the North Carolina power plant siting provision.  See Electric Power Daily for 5/25/2001 for quick update.
,,,VA,Chapman,,Siting Law,2001-05-25 00:00:00,"I have been working to improve the siting provision in Virginia.  This process is just getting started, but we have made some headway already."
,,,Southeast,Chapman/Connor,,SERTOC-Southeastern RTO Collaborative,2001-06-28 00:00:00,I am facilitating the process and meetings of SERTOC which is a group of interested stakeholders working for development of better RTOs in the Southeast.  Created Website.
,,,Alliance RTO,Roan/Chapman,,Working with Mike Roan on wholesale issues associated with the RTO's development,2001-05-31 00:00:00,Currently working on Day 2 market.  Discussing separation of physical assets from financial transactions.
,,,NESPA,Sullivan/Fromer,,Generic energy competition case,2001-03-16 00:00:00,participating in weekly  NESPA conference calls and montioring all relevant proceedings in NY. Also participating in ongoing provider of last resort proceeding.
,,,Breakfast Club,Fromer,,Developing a NY Campaign to Affect Policy and Public Opinion,2001-05-31 00:00:00,"Organized meeting of marketers to form coalition to undertake PR campaign. 8 companies have already agreed to financially support effort. Next coalition meeting scheduled for 3/27 in NYC, at which PR firms will be interviewed. PR firm hired and message points and delivery plan developed. However, coalition decided on 5/29 not to go forward when not enough companies were willing to be identified as part of the coalition. Efforts to use research and work product through different entities (e.g. IPPNY) being pursued."
,,,Hedging,Fromer/Michael Brown/Janelle Scheuer,,"Educate PSC senior staf on importance of hedging strategies by LSEs, and range of products.",2001-03-16 00:00:00,Arranged for meeting with senior PSC staff to be held on 3/20.
,,,Spitzer,Fromer/Kean,,NY market structure,2001-03-16 00:00:00,Participated in meeting with NY Attorney General Eliot Spitzer to discuss Claifornia situation and lessons to be learned by NY. AG will be issuing his own report on NY's restructuring efforts shortly.
,,,E-Biz,Fromer/Vance Meyer,,Status of NY markets,2001-03-16 00:00:00,Prepared article for E-Biz summarizing likely NY market conditions this summer.
,,,Customer Response Programs,Fromer,,Development of customer response programs,2001-03-16 00:00:00,Met with PSC Chair on 3/7 as part of a price responsive load coalition we helped form to discuss status of demand response programs in NY and need for tax credits.
,,,Renewal CreditsTrading ,Rishe/Bolton,,Need to move NJ BPU off its position favoring contract tracking program.,2001-08-31 00:00:00,"Finalize strawman for credits trading program, enlist support of other stake holders, gain acceptance for program at NJ BPU and PJM.   Met with BPU Staff on 6/19.  Additional discussions with BPU, NJDEP and PJM  to follow.  Provided local regulatory support for meeting with NJ DEP on Aug. 20th."
,,,FL Hedge,Robinson,,Incentive program for IOU's to Hedge,2001-08-31 00:00:00,Facilitated presentation by ENA before the PSC on creating incentive hedge program.
,,,CON ED,Kathleen Sullivan,,Retail access rules,2001-03-17 00:00:00,Participating in meetings with the PSC on Con Ed's Phase IV Retail Access Plan.  Providing weekly updates to EES' Con Ed marketing team. 
,,,NIMO,Kathleen Sullivan,,Retail access rules,2001-05-25 00:00:00,EES is actively marketing in NiMo service territory.  NiMo has recently filed a petition with the PSC for approval of its merger with National Grid and for approval of its updated retail access plan. We are monitoring negotiation sessions have been scheduled for May 30 & 31 to discuss the Companies' Joint Proposal.
,,,UNBUNDLING CASE,Kathleen Sullivan,,“bottoms-up” unbundling rate proceeding for each of the major gas and electric utilities in NY ,2001-05-25 00:00:00,Proceeding to develop “bottoms-up” unbundled rates for each utility by Spring 2002. A collaborative proceeding has begun to develop questions and a generic policy to guide the utilities’ individual embedded cost studies. Ongoing discussions with the PSC as to what elements should be considered in the cost of service studies; technical sessions to debate which elements should be included in the COS studies are being held on May 31 and June 6th.
,,,FERC Research ,Kathleen Sullivan,,Open access transmission,2001-05-25 00:00:00,Conducted research and drafted a memo for Sarah Novosel on the issues of whether Eon’s plan to merger with Powergen (who is merging with Louisiana Gas & Electric) may give Enron leverage to argue that FERC should require Eon to provide open access transmission service in Germany.    
,,,RG& E,Kathleen Sullivan,,Retail access rules,2001-03-17 00:00:00,Monitoring regulatory developments in Rochester Gas and Electric utility including the proposed merger with Energy East (parent of NYSEG).  Both boards of directors have unanimously approved a definitive merger agreement and it is expected that they will submit a filing with the PSC within the next several weeks.
,,,NYSEG,Kathleen Sullivan,,Retail access rules,2001-03-17 00:00:00,Participating in meetings with the EES to update sales teams on recent regulatory developments including the PSC order adopt a market based retail access back out credit
,,,                            Hartwell LLC,Joe Connor,,Interconnection study,2001-05-30 00:00:00,Working for Raymond Grube to try to expedite the interconnection study to be performed by Ga. Transmission Corp.
