,,                 HA/DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000-11-03 00:00:00,1,AZ5,LC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,II1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,ZP26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,SR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,NP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LA4,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LA3,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LA2,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LA1,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LC1,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LC2,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,II2,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-7.06001,-2.05,26.85,4,4,7.01,2.01,1.57,-2.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,MX,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,NW2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,NV3,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,NV4,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,NW1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,NW2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,NW3,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,SP15,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,SR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,SR3,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LC3,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,NP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,II1,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,II2,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-95.9701,-107.0301,-107.0501,-102.0401,-108.9901,-105.9901,-105.9901,-104.9901,-105.9901,-108.0401,-109.0501,-120.0101,-124.6101,-117.6701,-120.0801,-104.0201,-87.2901,-87.8801,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LA2,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LA4,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LC1,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LC2,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LC3,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LA1,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,MX,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,II1,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,NV3,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,NV4,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,NW1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,NW3,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,SP15,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,SR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,SR3,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,ZP26,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,ZP26,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06001,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,HUMB,LA3,-40.38,-44.01,-66.59,-53.14,-55.05,-60.39,-45.96,-37.04,-37.06,-32.05,-3.15,-26,-26,-22.99,-27.99,-28.43,-32.11,0,0,0,-2.19,-34.03,-35.4,-31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,NW3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,II2,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,NV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,NW2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,SF,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,SP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,SR2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,SR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,ZP26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,II2,0,0,0,0,0,0,-50.0101,-69.9901,-69.9901,-69.9901,-105.8401,-79.9901,-79.9901,-82.0001,-78.0001,-79.6101,-76.9401,-120.0101,-124.6101,-117.6701,-117.8901,-69.9901,-51.8901,-56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,NW1,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,2.15,25,25,22.99,26.99,27.43,31.11,-1,-1,-1,1.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,NV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,NP15,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,NP15,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,ZP26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,SR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,NW1,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,2.15,25,25,22.99,26.99,27.43,31.11,-1,-1,-1,1.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,LC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,NV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,NV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,NW2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,NW3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,SF,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,SP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II1,SR2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,SP15,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,LA3,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,LA2,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,LC1,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,LC2,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,LC3,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,MX,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,NV3,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,LA4,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,NW1,40.38,44.01,66.59,53.14,55.05,60.39,95.9701,107.0301,107.0501,102.0401,107.9901,104.9901,104.9901,104.9901,104.9901,107.0401,108.0501,119.0101,123.6101,116.6701,119.0801,104.0201,87.2901,87.8801,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,NW2,40.38,44.01,66.59,53.14,55.05,60.39,95.9701,107.0301,107.0501,102.0401,108.9901,105.9901,105.9901,104.9901,105.9901,108.0401,109.0501,120.0101,124.6101,117.6701,120.0801,104.0201,87.2901,87.8801,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,SF,40.38,44.01,66.59,53.14,55.05,60.39,95.9701,107.0301,107.0501,102.0401,108.9901,105.9901,105.9901,104.9901,105.9901,108.0401,109.0501,120.0101,124.6101,117.6701,120.0801,104.0201,87.2901,87.8801,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,LA1,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,SR2,40.38,44.01,66.59,53.14,55.05,60.39,95.9701,107.0301,107.0501,102.0401,108.9901,105.9901,105.9901,104.9901,105.9901,108.0401,109.0501,120.0101,124.6101,117.6701,120.0801,104.0201,87.2901,87.8801,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,SR3,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,ZP26,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,NV4,0,0,0,0,0,0,0,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,NP15,40.38,44.01,66.59,53.14,55.05,60.39,95.9701,107.0301,107.0501,102.0401,108.9901,105.9901,105.9901,104.9901,105.9901,108.0401,109.0501,120.0101,124.6101,117.6701,120.0801,104.0201,87.2901,87.8801,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,NW3,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,NW2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,7.06001,2.05,-26.85,-4,-4,-7.01,-2.01,-1.57,2.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,ZP26,0,0,0,0,0,0,0,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,NV4,0,0,0,0,0,0,50.0101,69.9901,69.9901,69.9901,105.8401,79.9901,79.9901,82.0001,78.0001,79.6101,76.9401,120.0101,124.6101,117.6701,117.8901,69.9901,51.8901,56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,SR2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,7.06001,2.05,-26.85,-4,-4,-7.01,-2.01,-1.57,2.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,SP15,0,0,0,0,0,0,0,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,NW3,0,0,0,0,0,0,0,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,II2,SR3,0,0,0,0,0,0,0,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
