THURS,Desk,Region,Grand Total,2001-11-01 00:00:00,2001-12-01 00:00:00,Total 2001,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,Total 2002,2003-01-01 00:00:00,2003-02-01 00:00:00,2003-03-01 00:00:00,2003-04-01 00:00:00,2003-05-01 00:00:00,2003-06-01 00:00:00,2003-07-01 00:00:00,2003-08-01 00:00:00,2003-09-01 00:00:00,2003-10-01 00:00:00,2003-11-01 00:00:00,2003-12-01 00:00:00,Total 2003,2004-01-01 00:00:00,2004-02-01 00:00:00,2004-03-01 00:00:00,2004-04-01 00:00:00,2004-05-01 00:00:00,2004-06-01 00:00:00,2004-07-01 00:00:00,2004-08-01 00:00:00,2004-09-01 00:00:00,2004-10-01 00:00:00,2004-11-01 00:00:00,2004-12-01 00:00:00,Total 2004,2005-01-01 00:00:00,2005-02-01 00:00:00,2005-03-01 00:00:00,2005-04-01 00:00:00,2005-05-01 00:00:00,2005-06-01 00:00:00,2005-07-01 00:00:00,2005-08-01 00:00:00,2005-09-01 00:00:00,2005-10-01 00:00:00,2005-11-01 00:00:00,2005-12-01 00:00:00,Total 2005,2006-01-01 00:00:00,2006-02-01 00:00:00,2006-03-01 00:00:00,2006-04-01 00:00:00,2006-05-01 00:00:00,2006-06-01 00:00:00,2006-07-01 00:00:00,2006-08-01 00:00:00,2006-09-01 00:00:00,2006-10-01 00:00:00,2006-11-01 00:00:00,2006-12-01 00:00:00,Total 2006,2007-01-01 00:00:00,2007-02-01 00:00:00,2007-03-01 00:00:00,2007-04-01 00:00:00,2007-05-01 00:00:00,2007-06-01 00:00:00,2007-07-01 00:00:00,2007-08-01 00:00:00,2007-09-01 00:00:00,2007-10-01 00:00:00,2007-11-01 00:00:00,2007-12-01 00:00:00,Total 2007,2008-01-01 00:00:00,2008-02-01 00:00:00,2008-03-01 00:00:00,2008-04-01 00:00:00,2008-05-01 00:00:00,2008-06-01 00:00:00,2008-07-01 00:00:00,2008-08-01 00:00:00,2008-09-01 00:00:00,2008-10-01 00:00:00,2008-11-01 00:00:00,2008-12-01 00:00:00,Total 2008,2009-01-01 00:00:00,2009-02-01 00:00:00,2009-03-01 00:00:00,2009-04-01 00:00:00,2009-05-01 00:00:00,2009-06-01 00:00:00,2009-07-01 00:00:00,2009-08-01 00:00:00,2009-09-01 00:00:00,2009-10-01 00:00:00,2009-11-01 00:00:00,2009-12-01 00:00:00,Total 2009,2010-01-01 00:00:00,2010-02-01 00:00:00,2010-03-01 00:00:00,2010-04-01 00:00:00,2010-05-01 00:00:00,2010-06-01 00:00:00,2010-07-01 00:00:00,2010-08-01 00:00:00,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,Total 2010,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,Total 2011,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,Total 2012,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,Total 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SP15,-2629970.27,-802.77,-15755.86,-16558.63,-11708.169999999998,-19557.52,-31452.489999999998,8514.550000000001,29026.32,57397.88,15204.21,15750.800000000001,13964.77,21985.13,20298.95,20236.640000000003,139661.07,45495.31,41868.26,45200.060000000005,-24595.71,-24505.22,-23475.949999999997,24864.260000000002,24765.2,23718.84,-95599.15,-84628.92,-91285.67000000001,-138178.66999999998,-27943.79,-25687.329999999998,-28769.05,-8641.199999999999,-8270.97,-8563.380000000001,-6539.54,-6508.88,-6230.08,-6448.4800000000005,-6171.65,-6387.450000000001,-146161.78,-48544.340000000004,-46396.32,-51941.479999999996,-24711.19,-23643.739999999998,-24472.31,-23414.38,-25161.27,-23185.12,-23991.82,-22957.97,-23761.01,-362180.97,-45311.29,-43309.79,-48487.39,-44683.56,-46242.26,-43008.170000000006,-41147.51,-35613.45,-32813.670000000006,-33954.11,-32492.519999999997,-32333.609999999997,-479397.3,-69509.52,-63875.96,-71503.14,-65886.23,-68177.17,-67843.59,-64902.630000000005,-69736.56999999999,-61679.75,-69031.2,-63596.439999999995,-63264.33,-799006.54,-21309.13,-20388.37,-21091.42,-23380.59,-23255.26,-22244.24,-23008.719999999998,-22883.48,-21886.83,-23510.75,-20794.82,-22414.48,-266168.11,-22301.45,-20491.89,-22086.92,-21978.15,-21024.98,-21757.62,-21645.899999999998,-21534.39,-20602.6,-22135.51,-19577.02,-20286.41,-255422.84,-26389.66,-25214.03,-28216.61,-27032.829999999998,-25855.579999999998,-26751.71,-26609.35,-26467.32,-25317.489999999998,-24648.31,-23576.800000000003,-24387.460000000003,-310467.13,485.89,464.15999999999997,519.34,497.46,475.7,492.11,470.57,505.40999999999997,0,0,0,0,3910.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,WSCC-N,-370846.49,-1294.64,3289.0699999999997,1994.43,10339.88,9528.720000000001,10302.949999999999,-4115.87,-4107.6,-13790.25,-14309.039999999999,-14823.050000000001,-13143.130000000001,-4214.700000000001,-3891.82,-3879.59,-46103.479999999996,-13266.38,-12208.86,-13180.529999999999,-13134.95,-13086.76,-22032.45,-12987.960000000001,-12935.949999999999,-12389.83,-13325.55,-11796.87,-12724.15,-163070.26,-14203.98,-13057.12,-14623.32,-14020.39,-13419.7,-13894.310000000001,-13830.41,-13765.039999999999,-13175.69,-13638.2,-13052.189999999999,-13508.61,-164188.96000000002,6631.94,6338.5199999999995,7096.09,6800.530000000001,6507.05,6735.360000000001,6443.35,6924.93,6380.79,6602.77,6318.31,6539.97,79319.61,-6264.51,-5987.82,-6703.68,-6178.31,-6393.32,-6361.88,-4482.99,-4817.28,-4438.570000000001,-4592.83,-4395.12,-4373.63,-64989.94,-2909.7000000000003,-2673.88,-2993.15,-2758.0299999999997,-2853.92,-2839.96,-2716.85,-2919.2,-2581.94,-2889.67,-2662.18,-2648.2799999999997,-33446.78,-913.25,-873.79,-903.92,-899.26,-894.43,-855.55,-884.9499999999999,-880.13,-841.8000000000001,-904.25,-799.8100000000001,-862.0899999999999,-10513.23,0,0,0,0,0,0,0,0,0,0,0,0,0,-258.72999999999996,-247.20000000000002,-276.63,-265.02000000000004,-253.49,-262.27,-260.88,-259.49,-248.21,-256.75,-245.59,-254.04,-3088.29,4130.02,3945.3700000000003,4414.37,4228.400000000001,4043.5099999999998,4182.889999999999,3999.8599999999997,4295.990000000001,0,0,0,0,33240.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,WSCC-S,1010393.18,670.43,110505.61,111176.09,-164758.53999999998,58432.89,53619.81,-158583.65,-184033.28,-160473.55,-442318.76,-326729.57,-2062.2299999999996,-102120.69,-125105.18000000001,-117191.14,-1671323.97,-146883.98,-136548.4,-148234.65,-39322.07,-44975.93,-48924.71000000001,-118274.73,-114877.01,-105896.22,86179.81999999999,76358.70999999999,82330.97,-659068.1900000001,5314.17,6718.3,9384.28,10929.02,1395.6299999999999,-12106.74,-83092.04999999999,-82327.70000000001,-57406.689999999995,-11519.53,-10951.539999999999,-16846.17,-240509.06,91970.53,89636.94,103974.67,101473.71,86811.91,81308.03,74361.11,78090.37,79381.90000000001,93965.73,89983.56999999999,87934.66,1058893.1600000001,89418.59000000001,88681.58,100940.31,94676.1,89573.7,80412.58,61863.45,64756.079999999994,66354.56,104747.39,98731.69,93531.62999999999,1033687.69,19202.27,17705.52,19719.530000000002,25556.030000000002,20102.579999999998,18079.58,-23487.51,-25236.41,-17702.59,26743.69,24697.47,24539.12,129919.33000000002,26908.64,25804.29,26603.51,26496.24,20391.19,19476.35,24540.760000000002,24407.309999999998,26178.26,26613.55,23592.510000000002,24710.59,295723.21,55866.28,51385.9,55300.63,55056.520000000004,47277.5,48897.26,45843.200000000004,45607.2,46301.49,55422.1,49066.659999999996,53556.13,609580.85,58471.21,55866.41,62519.14,59896.270000000004,52218.130000000005,54027.969999999994,52175.18,51896.68,52124.24,59310,56731.659999999996,58682.32,673919.2000000001,-11175.36,-10675.710000000001,-11944.76,-11192.85,-15460.460000000001,-15993.41,-17646.420000000002,-18952.87,-15127.550000000001,-10832.39,-10363.25,-10722.8,-160087.82,-10257.71,-10208.61,-10968.81,-10105.85,-15103.220000000001,-15028,-16587.12,-17821.6,-13660.55,-10584.37,-9751.16,-9700.52,-149777.5,-4460.47,-4097.99,-4416.330000000001,-4394,-4371.01,0,0,0,0,0,0,0,-21739.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIFF,MID-COLUMBIA,0.010000000002037268,0,0,0,0,0,0,0,0,0,0,0.010000000000218279,0,0,0,0,0,0.010000000002037268,-0.010000000000218279,0,0,0.010000000002037268,0,0,0,0,0,0,0,0,0,0.009999999999934062,0,0,0,0,0,0,0,0,-0.010000000000047748,0,0,0,0.009999999999990905,0,0,0,0,0,0,0,0.010000000000218279,0,0,0,0,0,-0.009999999999763531,0,0,0,0,0,0,0,0,0,0,0,0,0.010000000000218279,0.010000000000218279,0,-0.009999999999308784,0.010000000000218279,0,0,0.010000000000218279,0,0.009999999999308784,0,0,-0.010000000000218279,0,-0.009999999999308784,0,-0.010000000000218279,0.010000000000218279,0,0,-0.009999999999308784,0,0,0.00999999999476131,-0.009999999999308784,0,0,-0.009999999999308784,0,0,0,-0.010000000000218279,0,0,0.010000000000218279,0,0,0,-0.010000000001127773,0,0,0,0,0,0,0,0.010000000000218279,-0.009999999999308784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,NP15,0.030000000027939677,-0.010000000000218279,0,0.010000000000104592,0,0,0,0.00999999999839929,0,0,0.010000000001127773,0,-0.010000000000218279,0.020000000000436557,0.009999999999763531,0,0,0,0.020000000000891305,0,0,0.010000000000218279,0,0,0.010000000000218279,0.010000000000218279,0,-0.00999999999839929,0,-0.00999999999476131,-0.00999999999839929,0,0,0,0.010000000000218279,-0.010000000002037268,0,0,0,0,-0.010000000000218279,0,0,0,0,0.00999999999476131,-0.010000000002037268,0,0,-0.00999999999476131,0,-0.00999999999476131,0,0.010000000002037268,0,0.010000000009313226,0,0,0,-0.00999999999839929,0.010000000002037268,0.00999999999839929,0,0,-0.00999999999839929,-0.00999999999839929,0,0,0,0.010000000000218279,0,0,0,0,0,0,0,0,0,0,0.009999999999308784,0,0,0,0,0.009999999999990905,0,0,0,0,0,-0.009999999999990905,0.010000000000104592,-0.010000000000104592,0,0,0,0,0,0,0.009999999999877218,0,0,0,0,0.009999999999990905,0,0,0,0,0,0,0,0,0,-0.010000000000104592,0,0,0.009999999999990905,0,0.009999999999990905,0,0,0,0,0.009999999999990905,-0.009999999999990905,0,0,0,0,0,0,0.009999999999763531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,ROCKIES,-117396.13999999998,0,-5426.889999999999,-5426.889999999999,-5639.360000000001,-5188.58,-5610.639999999999,-5610.89,-5600.93,-5549.279999999999,-5116.24,-5035.379999999999,-4831.990000000001,-5853.35,-5402.840000000001,-5387.2,-64826.67,-5563.47,-5117.07,-5529.76,-5520.2,-5471.679999999999,-5353.080000000002,-4994.620000000001,-4710.0599999999995,-4882.619999999999,0,0,0,-47142.57999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,SP15,0,-0.009999999999990905,0,-0.00999999999839929,0,0,0.00999999999839929,-0.010000000000218279,0,0,0.010000000000218279,0,0.010000000000218279,0,0,0,0,0,0,0,0,0,0,-0.010000000002037268,0.00999999999839929,0.00999999999839929,0,0,0,0,0,0,0.00999999999839929,0,0,0,0,-0.010000000000218279,0,0,0.009999999999308784,0,-0.010000000009313226,0,0,0,0,0,-0.00999999999839929,0,0,0,0,0,0,0,0,0,0,0.00999999999476131,0,0,0.010000000002037268,0.00999999999476131,0,0,0,0,0,0,0,0,0,0,-0.010000000009313226,0,0.00999999999476131,0,0,0,-0.00999999999476131,0.010000000009313226,0,0,-0.010000000002037268,0,-0.010000000002037268,0,-0.010000000002037268,0,0,0,0,0,0,0,0.00999999999839929,0,0,0.00999999999839929,-0.010000000002037268,0.00999999999839929,0,-0.010000000002037268,0.00999999999839929,0,0,0,0,-0.010000000002037268,0.010000000002037268,0.00999999999839929,0,0,0.00999999999839929,0.00999999999839929,0,0,0.010000000002037268,0,0,0,0,0,0,0.009999999999990905,-0.009999999999990905,0,0,0,0,0,0,0.009999999999763531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,WSCC-N,0.010000000009313226,0.009999999999990905,0,0.01999999999998181,0,0.00999999999839929,0,0,-0.009999999999308784,0.010000000000218279,0.00999999999839929,0.010000000000218279,0,0,0,-0.009999999999763531,0.00999999999476131,0,0,-0.010000000002037268,0,0.010000000000218279,-0.020000000000436557,0,0.00999999999839929,0,0,0,-0.010000000000218279,0,0,0,-0.010000000000218279,0,0.010000000000218279,0,0,0,0.010000000000218279,0,0.00999999999839929,-0.010000000000218279,0.010000000009313226,0.010000000000218279,0,0,0.009999999999308784,0,0.009999999999308784,-0.010000000000218279,0,0.010000000000218279,0,-0.010000000000218279,0.009999999999308784,0,0,0,0,-0.009999999999308784,-0.010000000000218279,0,-0.010000000000218279,0,0.010000000000218279,0,0,0,-0.00999999999476131,0,0,0,0,-0.009999999999763531,0,0,0,0,-0.009999999999763531,0,0.009999999999763531,-0.010000000002037268,0,0,0,0.009999999999990905,0,0,0,0,0,-0.009999999999990905,0.010000000000104592,-0.010000000000104592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009999999999934062,0,0,-0.009999999999934062,0,0,0,0.009999999999990905,0,0,0,0,0,0,0,0,0,0,0,0,-0.010000000001127773,0,0,0,0,-0.010000000002037268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,WSCC-S,0.06999999994877726,0.05000000000006821,0.020000000004074536,0,0.009999999980209395,-0.010000000002037268,-0.040000000000873115,-0.010000000009313226,0.010000000009313226,-0.010000000009313226,0.010000000009313226,-0.010000000009313226,-0.030000000000654836,0.010000000009313226,-0.01999999998952262,0.00999999999476131,0.030000000027939677,-0.009999999980209395,-0.010000000009313226,0.029999999998835847,0,0.01999999999679858,0.010000000009313226,-0.010000000009313226,0.00999999999476131,0,0.010000000009313226,-0.00999999999476131,-0.020000000004074536,0,-0.010000000000218279,-0.020000000000436557,0,0.010000000000218279,0,0,0,0,-0.020000000004074536,0.010000000000218279,0.00999999999839929,-0.010000000002037268,0.010000000009313226,0.00999999999476131,0,0.00999999999476131,0,0,0,-0.00999999999476131,0,-0.020000000004074536,0.010000000009313226,0,0.00999999999476131,0,0.00999999999476131,-0.00999999999476131,0,0,0.020000000004074536,0.00999999999476131,0,0,0,-0.00999999999476131,0,0.010000000009313226,0.010000000009313226,0.020000000000436557,0,0.00999999999839929,0.01999999999679858,0.010000000002037268,-0.010000000002037268,0.00999999999839929,0,0,0,0,0.010000000002037268,0,0,0.00999999999839929,0,0.01999999999679858,0,0,0,-0.00999999999839929,0.010000000002037268,0.010000000002037268,-0.010000000002037268,0.00999999999839929,0.009999999951105565,0.010000000002037268,-0.010000000002037268,0,-0.010000000002037268,-0.010000000002037268,-0.010000000002037268,0.01999999999679858,-0.00999999999476131,-0.00999999999476131,0,0.010000000002037268,0,0,0,-0.010000000002037268,0,-0.010000000002037268,0.00999999999476131,-0.00999999999476131,0,0.01999999999679858,0,0,0,0.010000000002037268,0,0,0.010000000000218279,0,0.020000000000436557,0,0,-0.00999999999839929,0,0,0.010000000000218279,0,0,0,0,0,0.010000000000218279,-0.010000000000218279,0,0.010000000000218279,0,-0.010000000002037268,0.00999999999839929,0,0,0,0,0,0,0,0,-0.010000000000218279,0,0,0,0,0,0,0,0.010000000002037268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
