counterparty,erating,parent_counterparty,enron_entity,fmtm,pmtm,sum
Citrus Corp.,4,Enron Corp.,Enron North America Corp.,1041850,0,1041850
"General Mills Operations, Inc.",4,General Mills Inc.,Enron North America Corp.,1047844,0,1047844
Citizens Communications Company,4,Citizens Communications Company,Enron North America Corp.,0,1078334,1078334
Questar Energy Trading Company,4,Questar Corporation,Enron North America Corp.,1082366,-9,1082357
Boston Gas Company,3,Keyspan Corp,Enron North America Corp.,0,1086774,1086774
North Central Oil Corporation,8,North Central Oil Corporation,Enron North America Corp.,0,1201692,1201692
NRG Power Marketing Inc.,5,Xcel Energy Inc.,Enron North America Corp.,1245779,0,1245779
The Toronto-Dominion Bank,2,The Toronto-Dominion Bank,Enron North America Corp.,1265404,0,1265404
"Frito-Lay, Inc.",3,Pepsico Inc.,Enron North America Corp.,1320234,0,1320234
Navajo Refining Company,8,Holly Corporation,Enron North America Corp.,1335400,0,1335400
Wyman-Gordon Company,7,Precision Castparts Corp,Enron North America Corp.,1356045,0,1356045
Duferco-Farrell Corp.,11,Duferco US Investment Corp.,Enron North America Corp.,1365815,0,1365815
"WTG Gas Marketing, Inc.",9,"West Texas Gas, Inc.",Enron North America Corp.,1523614,0,1523614
"Mesa, City Of",2,"Mesa, City Of",Enron North America Corp.,0,1550587,1550587
"KLT, Inc.",9,Kansas City Power & Light Company Inc.,Enron North America Corp.,1627394,0,1627394
Canadian Natural Resources,4,Canadian Natural Resources Ltd.,Enron North America Corp.,0,1856853,1856853
Imperial Holly Corporation,12,Imperial Holly Corporation,Enron North America Corp.,1886591,0,1886591
Texex Energy Partners Ltd.,11,Texex Energy Partners Ltd.,Enron North America Corp.,0,1918061,1918061
XTO Energy Inc.,7,XTO Energy Inc.,Enron North America Corp.,0,1957990,1957990
City of Palo Alto,3,City of Palo Alto,Enron North America Corp.,0,2014807,2014807
Dynegy Marketing and Trade,4,Dynegy Inc.,Enron North America Corp.,2694692,-512642,2182050
"National Fuel Marketing Company, LLC",11,"National Fuel Marketing Company, LLC",Enron North America Corp.,2204316,0,2204316
Syngenta AG,3,Syngenta AG,Enron North America Corp.,2310616,0,2310616
Texican Natural Gas Company,10,Texican Natural Gas Company,Enron North America Corp.,0,2395586,2395586
Societe Generale,2,Societe Generale S.A.,Enron North America Corp.,2415507,0,2415507
Thiele Kaolin Company,6,Thiele Kaolin Company,Enron North America Corp.,2440068,0,2440068
Utilicorp United Inc.,5,Utilicorp United Inc.,Enron North America Corp.,0,2512935,2512935
Alabama Gas Corporation,3,Energen Corporation,Enron North America Corp.,164841,2396825,2561666
"Farmland Industries, Inc.",7,"Farmland Industries, Inc.",Enron North America Corp.,2785782,0,2785782
Vitol S.A.,6,Vitol Holding B.V.,Enron North America Corp.,2889939,0,2889939
Florida Power Corporation,3,Progress Energy Inc.,Enron North America Corp.,3259632,0,3259632
"Blue Moon Holdings, LLC",7,"Kinder Morgan, Inc.",Enron North America Corp.,3263986,0,3263986
The Brooklyn Union Gas Company,3,Keyspan Corp,Enron North America Corp.,0,3303235,3303235
"IGI Resources, Inc.",8,BP p.l.c.,Enron North America Corp.,3587583,0,3587583
Avista Corporation,6,Avista Corporation,Enron North America Corp.,3667007,0,3667007
"Hess Energy Services Company, LLC",4,Amerada Hess Corporation,Enron North America Corp.,3854882,0,3854882
OXY USA Inc.,5,Occidental Petroleum Corporation,Enron North America Corp.,0,4018219,4018219
Merced Irrigation District,5,Merced Irrigation District,Enron North America Corp.,4060249,0,4060249
Stone Energy Corporation,8,Stone Energy Corporation,Enron North America Corp.,4293844,0,4293844
"Southern Company Services, Inc.",2,"Southern Company Inc, The",Enron North America Corp.,0,4316406,4316406
San Diego Gas & Electric Company,4,Sempra Energy,Enron North America Corp.,4692076,-57559,4634517
Southern California Gas Company,2,Sempra Energy,Enron North America Corp.,4313933,340934,4654867
Ormet Primary Aluminum Corp.,9,Ormet Corporation,Enron North America Corp.,4819269,0,4819269
Williams Production RMT Company,5,"The Williams Companies, Inc.",Enron North America Corp.,4346168,607005,4953173
"Enserco Energy, Inc.",11,Black Hills Corporation,Enron North America Corp.,5267076,0,5267076
Kerr-McGee Energy Services Corporation,8,Kerr-McGee Corporation,Enron North America Corp.,5407840,0,5407840
Public Service Company Of Colorado,3,Xcel Energy Inc.,Enron North America Corp.,6454614,0,6454614
KeySpan Gas East Corporation,9,Keyspan Corp,Enron North America Corp.,0,6927031,6927031
PG&E Energy Trading-Gas Corporation,6,PG&E Corporation,Enron North America Corp.,7981438,1450322,9431760
"Johns Manville International, Inc",9,"Johns Manville International, Inc",Enron North America Corp.,10355044,0,10355044
J. M. Huber Corporation,4,J. M. Huber Corporation,Enron North America Corp.,0,10658694,10658694
"Occidental Energy Marketing, Inc.",4,Occidental Petroleum Corporation,Enron North America Corp.,13313317,0,13313317
Prior Energy Corporation,9,ICC Industries Inc.,Enron North America Corp.,13995665,0,13995665
Neumin Production Co.,5,"Formosa Plastics Corporation, USA",Enron North America Corp.,14172846,0,14172846
Nevada Power Company,7,Sierra Pacific Resources,Enron North America Corp.,14357474,0,14357474
Vitol Capital Management Ltd.,10,Vitol Holding B.V.,Enron North America Corp.,15776169,0,15776169
City of Tallahassee,2,City of Tallahassee,Enron North America Corp.,0,17676298,17676298
"Select Energy, Inc.",5,Northeast Utilities (Vol Assoc),Enron North America Corp.,18056653,0,18056653
Louis Dreyfus Natural Gas Corp.,4,Louis Dreyfus Natural Gas Corp.,Enron North America Corp.,-13178514,31270142,18091628
Texaco Inc.,2,ChevronTexaco Corporation,Enron North America Corp.,19353051,0,19353051
Texaco Natural Gas Inc.,3,ChevronTexaco Corporation,Enron North America Corp.,20709134,8592,20717726
"Reliant Energy Services, Inc.",4,"Reliant Energy, Incorporated",Enron North America Corp.,23292665,68129,23360794
Midland Cogeneration Venture Limited Partnership,6,Midland Cogeneration Venture Limited Partnership,Enron North America Corp.,0,24147356,24147356
"State Street Bank & Trust Company of Connecticut, National Association",2,State Street Corporation,Enron North America Corp.,24297137,0,24297137
"Virginia Power Energy Marketing, Inc.",4,Dominion Resources Inc.,Enron North America Corp.,28282212,0,28282212
Trigen Energy Corporation,5,Suez Lyonnaise Des Eaux,Enron North America Corp.,0,29512763,29512763
"Puget Sound Energy, Inc.",5,Puget Energy Inc,Enron North America Corp.,30546383,0,30546383
"Entergy-Koch Trading, LP",3,"Entergy-Koch Trading, LP",Enron North America Corp.,31463741,0,31463741
The New Power Company,10,"NewPower Holdings, Inc.",Enron North America Corp.,34728016,0,34728016
BP Corporation North America Inc.,2,BP p.l.c.,Enron North America Corp.,36697675,0,36697675
Noble Gas Marketing Inc.,4,"Noble Affiliates, Inc.",Enron North America Corp.,39599219,0,39599219
PSEG Energy Resources & Trade LLC,4,Public Service Enterprise Group,Enron North America Corp.,42324721,0,42324721
AIG Energy Trading Inc.,1,"American International Group, Inc.",Enron North America Corp.,42824260,0,42824260
Power Authority of the State of New York,3,"New York, State of ",Enron North America Corp.,0,48328207,48328207
Sempra Energy Trading Corp.,6,Sempra Energy,Enron North America Corp.,51602471,-777970,50824501
The Peoples Gas Light & Coke Company,2,Peoples Energy Corporation,Enron North America Corp.,3242850,51957729,55200579
Florida Power & Light Company,2,FPL Group Inc.,Enron North America Corp.,0,58146466,58146466
"PMI Trading, LTD",7,Petroleos Mexicanos,Enron North America Corp.,68141498,0,68141498
TXU Energy Trading Company,5,TXU Corp.,Enron North America Corp.,107166840,57513,107224353
"Calpine Energy Services, L.P.",6,Calpine Corporation,Enron North America Corp.,332393584,0,332393584
New York Mercantile Exchange,1,New York Mercantile Exchange,Enron North America Corp.,424755410,0,424755410
