Overall Summary for All Cases Examined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results in Mdth/d by Contract Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Study 2,Study 2,,Study 1,Study 1,,Study 1b,Study 1b,,Study 3,Study 3,,Study 3b,Study 3b,,Study 4a,Study 4a,,Study 4b,Study 4b,,Study 5a,Study 5a,,Study 5b,Study 5b,,Study 6a,Study 6a,,Study 6b,Study 6b,
9828,"City of Socorro, New Mexico ",,1060,0,,1668,0,,1487,0,,2403,0,,1802,0,,2569,0,,2569,0,,2403,0,,1239,0,,2487,0,,1190,0,
982R,"City of Spur, Texas ",,195,0,,355,0,,144,0,,384,0,,225,0,,384,0,,384,0,,384,0,,172,0,,374,0,,179,0,
97ZD,"City of Whiteface, Texas ",,101,0,,149,0,,147,0,,169,0,,168,0,,169,0,,169,0,,169,0,,44,0,,162,0,,56,0,
97YU,"City of Willcox, Arizona ",,616,0,,991,0,,894,0,,1052,0,,586,0,,1052,0,,1052,0,,1052,0,,524,0,,1115,0,,641,0,
9829,"Corona, New Mexico, Village of ",,35,0,,52,0,,51,0,,73,0,,63,0,,73,0,,73,0,,73,0,,70,0,,65,0,,37,0,
97ZQ,"Dumas, Texas, City of ",,2989,0,,5010,0,,2729,0,,5391,0,,3542,0,,7332,0,,7332,0,,5391,0,,2500,0,,5132,0,,2829,0,
982J,Duncan Rural Services Corporation ,,232,0,,343,0,,319,0,,406,0,,336,0,,406,0,,406,0,,406,0,,217,0,,524,0,,450,0,
982K,EMW Gas Association ,,1907,0,,2854,0,,2415,0,,4088,0,,3290,0,,4362,0,,4362,0,,4088,0,,2851,0,,4490,0,,2998,0,
97ZP,"Graham County Utilities, Inc. ",,1310,0,,1967,0,,1909,0,,2320,0,,1915,0,,2320,0,,2320,0,,2320,0,,1323,0,,2640,0,,1080,0,
97ZM,"McLean, Texas, City of ",,321,0,,508,0,,250,0,,513,0,,340,0,,626,0,,626,0,,513,0,,223,0,,576,0,,268,0,
982E,Natural Gas Processing Co.,,734,0,,2092,0,,833,0,,5211,0,,549,0,,5211,0,,5211,0,,5211,0,,2303,0,,1610,0,,678,0,
97ZW,North Bailey Cooperative Society ,,148,0,,174,0,,20,0,,64,0,,17,0,,174,0,,174,0,,20,0,,64,0,,23,0,,93,0,
9823,Rio Grande Natural Gas Association ,,4737,0,,5221,0,,5762,0,,7367,0,,6757,0,,11000,0,,3000,0,,7367,0,,4413,0,,7794,0,,4372,0,
982T,"Sterling Natural Gas, Inc. ",,99,0,,146,0,,77,0,,291,0,,173,0,,291,0,,291,0,,291,0,,267,0,,219,0,,98,0,
983K,"Town of Mountainair, New Mexico ",,218,0,,339,0,,319,0,,186,0,,155,0,,339,0,,339,0,,186,0,,114,0,,250,0,,168,0,
97ZG,Zia Natural Gas Company ,,409,0,,675,63,,377,0,,580,0,,369,0,,1027,415,,1027,415,,580,0,,410,0,,543,0,,283,0,
,Sub-Total,,23937,0,,34979,63,,27561,0,,44989,0,,31195,0,,55219,415,,46982,415,,44916,0,,25951,0,,41903,0,,24751,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT1 Full Requirement Contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9838,"Arizona Electric Power Cooperative, Inc. ",,17880,0,,21973,647,,11057,0,,46590,13041,,25676,349,,46590,22786,,46590,18521,,46590,11436,,41210,4271,,18384,2017,,29798,1452,
97ZC,Arizona Public Service Company ,,66042,0,,141803,4170,,58271,0,,269427,77718,,161392,2197,,567000,277259,,299000,118840,,209537,51418,,242213,29400,,110529,12124,,171333,8344,
982A,ASARCO Incorporated  Arizona ,,2993,0,,5254,155,,4887,0,,4495,1261,,3995,55,,4000,1960,,4000,1594,,4495,1106,,4362,454,,4423,487,,4269,209,
9834,ASARCO Incorporated  Texas ,,5962,0,,6892,203,,6167,0,,5557,1543,,0,0,,5962,2920,,5962,2373,,5557,1368,,5551,576,,6295,692,,6135,299,
97ZU,BHP Copper Inc. ,,13207,0,,22532,663,,18617,0,,361,103,,344,6,,22532,11022,,22532,8960,,361,93,,247,28,,15026,1649,,13199,644,
982F,Chemical Lime Company of Arizona ,,2108,0,,2085,62,,1476,0,,2421,681,,0,0,,10192,6707,,10192,6083,,567,141,,2846,297,,3016,333,,2779,136,
97ZH,Citizens Communications Company ,,37611,0,,64618,1906,,37048,0,,106368,28051,,35274,487,,131800,56077,,131800,47908,,106310,24910,,78054,8001,,80902,8782,,55111,2692,
982M,"City of Las Cruces, New Mexico ",,12680,0,,17079,503,,13546,0,,25504,6900,,18933,258,,30000,14204,,30000,11523,,25504,6190,,12135,1259,,22945,2517,,12000,586,
982N,"City of Lordsburg, New Mexico ",,795,0,,694,22,,618,0,,731,208,,536,9,,795,395,,795,322,,731,184,,352,38,,767,86,,431,22,
97ZV,"City of Mesa, Arizona ",,14247,0,,17373,513,,16734,0,,25288,6911,,12000,165,,29000,13752,,29000,11146,,23404,5681,,16412,1703,,20507,2253,,13794,674,
9827,El Paso Electric Company ,,37318,0,,74293,4265,,46653,0,,139336,47878,,70782,1696,,110000,56913,,110000,49904,,103258,35741,,123069,24496,,95094,17873,,119177,10751,
97ZZ,"MGI Supply, Ltd. (Naco) ",,23000,0,,8975,264,,7771,0,,52949,30572,,4662,64,,30000,14675,,30000,11927,,47591,24140,,55134,27278,,30843,3383,,28455,1387,
97ZY,Navajo Tribal Utility Authority ,,12419,0,,18480,0,,6539,0,,18033,28,,7908,3,,26000,8,,24000,36,,18033,8,,13271,5,,18655,11,,18002,3,
97Z7,Phelps Dodge Corporation ,,20256,0,,38867,1150,,23225,0,,57639,16154,,27194,380,,49870,24421,,49870,19854,,53095,13048,,49305,5120,,38869,4272,,41153,2013,
97VW,PNM Gas Services ,,33215,0,,113478,198,,80675,0,,134365,14199,,68961,179,,183061,32484,,183061,26119,,134365,4158,,66324,730,,134656,2783,,96860,541,
9826,Salt River Project ,,48341,0,,106406,0,,4729,0,,262891,0,,142406,0,,364000,25918,,230000,2059,,225822,0,,262891,0,,108875,0,,163004,0,
982Q,"Southdown, Inc. ",,2,0,,2,0,,0,0,,2,2,,0,0,,2,2,,2,2,,0,0,,0,0,,0,0,,0,0,
97VX,Southern Union Gas Company ,,78688,0,,118076,2778,,98383,0,,167701,40278,,122110,1430,,280600,126085,,280600,96280,,166752,31043,,78796,6907,,138638,12711,,54053,2136,
97ZK,Southwest Gas Corporation ,,337338,0,,313301,9216,,326873,0,,584011,164894,,351658,4787,,952699,465253,,952699,378331,,562460,137896,,250723,28956,,507354,55637,,268186,13073,
,Sub-Total,,764102,0,,1092181,26715,,763269,0,,1903669,450422,,1053831,12065,,2844103,1152841,,2440103,811782,,1734432,348561,,1302895,139519,,1355778,127610,,1097739,44962,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of CD Contracts,,4315713,0,,4338994,53112,,4342263,0,,4313084,411214,,4280142,23430,,4338994,638024,,4338994,551908,,4303437,388148,,4303437,199302,,4303437,181887,,4303437,86424,
,Total of Full Requirements Contracts,,788039,0,,1127160,26778,,790830,0,,1948658,450422,,1085026,12065,,2899322,1153256,,2487085,812197,,1779348,348561,,1328846,139519,,1397681,127610,,1122490,44962,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Total,,5103752,0,,5466154,79890,,5133093,0,,6261742,861636,,5365168,35495,,7238316,1791280,,6826079,1364105,,6082785,736709,,5632283,338821,,5701118,309497,,5425927,131386,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Check Totals - Zero if Equal,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summarize Allocation Results By Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ABQ Energy Group, Ltd ",,2016,0,,2016,61,,2016,0,,2016,523,,2016,29,,2016,856,,2016,733,,2016,468,,2016,206,,2016,221,,2016,101,
,AEP Energy Services ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,
,Aera Energy LLC ,,20460,0,,20460,0,,20460,0,,20460,0,,20460,0,,20460,0,,20460,0,,20460,0,,20460,0,,20460,0,,20460,0,
,Allegheney Energy ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,
,"Allegheny Energy Supply Company, LLC ",,18806,0,,18806,0,,18806,0,,18806,0,,18806,0,,18806,0,,18806,0,,18806,0,,18806,0,,18806,0,,18806,0,
,"Apache Nitrogen Products, Inc. ",,2129,0,,1951,0,,1431,0,,1795,0,,1436,0,,5000,0,,5000,0,,1795,0,,1789,0,,1826,0,,1974,0,
,"Arizona Electric Power Cooperative, Inc. ",,17880,0,,21973,647,,11057,0,,46590,13041,,25676,349,,46590,22786,,46590,18521,,46590,11436,,41210,4271,,18384,2017,,29798,1452,
,Arizona Public Service Company ,,66042,0,,141803,4170,,58271,0,,269427,77718,,161392,2197,,567000,277259,,299000,118840,,209537,51418,,242213,29400,,110529,12124,,171333,8344,
,ASARCO Incorporated  Arizona ,,2993,0,,5254,155,,4887,0,,4495,1261,,3995,55,,4000,1960,,4000,1594,,4495,1106,,4362,454,,4423,487,,4269,209,
,ASARCO Incorporated  Texas ,,5962,0,,6892,203,,6167,0,,5557,1543,,0,0,,5962,2920,,5962,2373,,5557,1368,,5551,576,,6295,692,,6135,299,
,BHP Copper Inc. ,,13207,0,,22532,663,,18617,0,,361,103,,344,6,,22532,11022,,22532,8960,,361,93,,247,28,,15026,1649,,13199,644,
,Black Mountain Gas Company ,,901,0,,1329,0,,1322,0,,2691,0,,2220,0,,2952,0,,2952,0,,2662,0,,1833,0,,1777,0,,1482,0,
,BP Energy,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,
,BP Energy ,,28988,0,,28988,747,,28988,0,,28988,4155,,28988,312,,28988,5672,,28988,5351,,28988,4215,,28988,2542,,28988,2413,,28988,1175,
,BP Energy Company ,,25575,0,,25575,0,,25575,0,,25575,0,,25575,94,,25575,0,,25575,0,,25575,378,,25575,134,,25575,102,,25575,107,
,Burlington Resources ,,7008,0,,7008,90,,7008,0,,7008,785,,7008,43,,7008,1275,,7008,1098,,7008,702,,7008,310,,7008,330,,7008,149,
,Burlington Resources Marketing Inc. ,,187210,0,,187210,5505,,187210,0,,187210,50067,,187210,2546,,187210,84090,,187210,70543,,187210,44348,,187210,19208,,187210,20382,,187210,9117,
,Burlington Resources Trading Inc.,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,
,Chemical Lime Company of Arizona ,,2108,0,,2085,62,,1476,0,,2421,681,,0,0,,10192,6707,,10192,6083,,567,141,,2846,297,,3016,333,,2779,136,
,Citizens Communications Company ,,37611,0,,64618,1906,,37048,0,,106368,28051,,35274,487,,131800,56077,,131800,47908,,106310,24910,,78054,8001,,80902,8782,,55111,2692,
,"City of Benson, Arizona ",,569,0,,929,0,,839,0,,919,0,,627,0,,806,0,,569,0,,919,0,,529,0,,1004,0,,663,0,
,"City of Big Lake, Texas ",,478,0,,770,0,,368,0,,793,0,,515,0,,793,0,,793,0,,793,0,,359,0,,830,0,,420,0,
,"City of Deming, Texas ",,1710,0,,2709,0,,2470,0,,3392,0,,2597,0,,3392,0,,3392,0,,3392,0,,2291,0,,3567,0,,2237,0,
,"City of Denver City, Texas ",,916,0,,1446,0,,756,0,,1409,0,,906,0,,1446,0,,1446,0,,1409,0,,787,0,,1460,0,,721,0,
,"City of Goldsmith, Texas ",,64,0,,106,0,,57,0,,103,0,,66,0,,106,0,,106,0,,103,0,,45,0,,93,0,,44,0,
,"City of Las Cruces, New Mexico ",,12680,0,,17079,503,,13546,0,,25504,6900,,18933,258,,30000,14204,,30000,11523,,25504,6190,,12135,1259,,22945,2517,,12000,586,
,"City of Lordsburg, New Mexico ",,795,0,,694,22,,618,0,,731,208,,536,9,,795,395,,795,322,,731,184,,352,38,,767,86,,431,22,
,City of Los Angeles DWP ,,36828,0,,36828,1084,,36828,0,,36828,9503,,36828,502,,36828,15528,,36828,13308,,36828,8480,,36828,3748,,36828,3986,,36828,1795,
,"City of Mesa, Arizona ",,14247,0,,17373,513,,16734,0,,25288,6911,,12000,165,,29000,13752,,29000,11146,,23404,5681,,16412,1703,,20507,2253,,13794,674,
,"City of Morton, Texas ",,477,0,,721,0,,460,0,,787,0,,541,0,,787,0,,787,0,,787,0,,467,0,,835,0,,458,0,
,"City of Plains, Texas ",,281,0,,431,0,,256,0,,526,0,,344,0,,526,0,,526,0,,526,0,,286,0,,557,0,,295,0,
,"City of Safford, Arizona ",,1301,0,,2043,0,,1869,0,,2076,0,,1656,0,,2076,0,,2076,0,,2076,0,,831,0,,1950,0,,1037,0,
,"City of Socorro, New Mexico ",,1060,0,,1668,0,,1487,0,,2403,0,,1802,0,,2569,0,,2569,0,,2403,0,,1239,0,,2487,0,,1190,0,
,"City of Spur, Texas ",,195,0,,355,0,,144,0,,384,0,,225,0,,384,0,,384,0,,384,0,,172,0,,374,0,,179,0,
,"City of Whiteface, Texas ",,101,0,,149,0,,147,0,,169,0,,168,0,,169,0,,169,0,,169,0,,44,0,,162,0,,56,0,
,"City of Willcox, Arizona ",,616,0,,991,0,,894,0,,1052,0,,586,0,,1052,0,,1052,0,,1052,0,,524,0,,1115,0,,641,0,
,Colorado Greenhouse ,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,
,Conoco,,46035,0,,46035,0,,46035,0,,46035,0,,46035,513,,46035,0,,46035,0,,46035,1891,,46035,948,,46035,855,,46035,638,
,Coral Energy Resources ,,14831,0,,14831,0,,14831,0,,14831,0,,14831,0,,14831,0,,14831,0,,14831,1632,,14831,1531,,14831,1577,,14831,1467,
,"Corona, New Mexico, Village of ",,35,0,,52,0,,51,0,,73,0,,63,0,,73,0,,73,0,,73,0,,70,0,,65,0,,37,0,
,Duke Energy Trading & Marketing ,,7388,0,,7388,0,,7388,0,,7388,0,,7388,0,,7388,0,,7388,0,,7388,0,,7388,0,,7388,0,,7388,0,
,Duke Energy Trading and Marketing ,,204309,0,,204309,0,,204309,0,,204309,0,,204309,0,,204309,0,,204309,0,,204309,0,,204309,0,,204309,0,,204309,0,
,"Dumas, Texas, City of ",,2989,0,,5010,0,,2729,0,,5391,0,,3542,0,,7332,0,,7332,0,,5391,0,,2500,0,,5132,0,,2829,0,
,Duncan Rural Services Corporation ,,232,0,,343,0,,319,0,,406,0,,336,0,,406,0,,406,0,,406,0,,217,0,,524,0,,450,0,
,Dynegy Marketing and Trade ,,56417,0,,56417,0,,56417,0,,56417,2543,,56417,0,,56417,3737,,56417,2819,,56417,2233,,56417,790,,56417,12,,56417,0,
,El Paso Electric Company ,,37318,0,,74293,4265,,46653,0,,139336,47878,,70782,1696,,110000,56913,,110000,49904,,103258,35741,,123069,24496,,95094,17873,,119177,10751,
,El Paso Merchant Energy Gas ,,269932,0,,269932,13989,,269932,0,,269932,79801,,269932,5831,,269932,111925,,269932,104006,,269932,79996,,269932,47620,,269932,45182,,269932,21986,
,"El Paso Merchant Energy,LP ",,7000,0,,7000,403,,7000,0,,7000,2294,,7000,169,,7000,3219,,7000,2989,,7000,2303,,7000,1369,,7000,1300,,7000,633,
,EMW Gas Association ,,1907,0,,2854,0,,2415,0,,4088,0,,3290,0,,4362,0,,4362,0,,4088,0,,2851,0,,4490,0,,2998,0,
,Enron ,,16495,0,,16495,0,,16495,0,,16495,0,,16495,184,,16495,0,,16495,0,,16495,678,,16495,340,,16495,306,,16495,229,
,Enron North America ,,250081,0,,250081,12421,,250081,0,,250081,70862,,250081,5179,,250081,99388,,250081,92358,,250081,70940,,250081,42287,,250081,40122,,250081,19522,
,Enron North America Corp. ,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,
,Giant ,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,
,"Graham County Utilities, Inc. ",,1310,0,,1967,0,,1909,0,,2320,0,,1915,0,,2320,0,,2320,0,,2320,0,,1323,0,,2640,0,,1080,0,
,Kerr-McGee Corporation ,,471,0,,471,15,,471,0,,471,125,,471,8,,471,203,,471,174,,471,111,,471,50,,471,52,,471,24,
,"McLean, Texas, City of ",,321,0,,508,0,,250,0,,513,0,,340,0,,626,0,,626,0,,513,0,,223,0,,576,0,,268,0,
,Mexicana de Cobre ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,
,MGI Supply ,,148956,0,,148956,0,,148956,0,,148956,11074,,148956,0,,148956,17792,,148956,10193,,148956,5254,,148956,3210,,148956,47,,148956,0,
,"MGI Supply, Ltd. (Naco) ",,23000,0,,8975,264,,7771,0,,52949,30572,,4662,64,,30000,14675,,30000,11927,,47591,24140,,55134,27278,,30843,3383,,28455,1387,
,Mirant Americas Energy Marketing ,,5909,0,,5909,175,,5909,0,,5909,1527,,5909,81,,5909,2497,,5909,2139,,5909,1364,,5909,602,,5909,641,,5909,289,
,Mission Energy Fuel Company ,,7161,0,,7161,412,,7161,0,,7161,2485,,7161,172,,7161,3698,,7161,3251,,7161,2477,,7161,1427,,7161,1347,,7161,646,
,Natural Gas Processing Co.,,5849,0,,7207,0,,5948,0,,10326,0,,5664,0,,10326,0,,10326,0,,10326,0,,7418,0,,6725,0,,5793,0,
,Navajo Tribal Utility Authority ,,12419,0,,18480,0,,6539,0,,18033,28,,7908,3,,26000,8,,24000,36,,18033,8,,13271,5,,18655,11,,18002,3,
,North Bailey Cooperative Society ,,148,0,,174,0,,20,0,,64,0,,17,0,,174,0,,174,0,,20,0,,64,0,,23,0,,93,0,
,Occidental Energy Marketing ,,18950,0,,18950,243,,18950,0,,18950,2114,,18950,114,,18950,3453,,18950,2956,,18950,1888,,18950,835,,18950,888,,18950,402,
,Odessa-Ector Power Partners ,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,
,OneOK Energy Marketing ,,111650,0,,111650,0,,111650,0,,111650,3059,,111650,183,,111650,5480,,111650,4472,,111650,3130,,111650,1398,,111650,212,,111650,206,
,Paramount Petroleum Corporation ,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,
,PG&E ,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,991,,25575,399,,25575,5,,25575,0,
,PG&E Energy Trading-Gas Corporation ,,230990,0,,230990,0,,230990,0,,230990,25262,,230990,0,,230990,31858,,230990,26059,,230990,24821,,230990,11861,,230990,152,,230990,0,
,Phelps Dodge ,,12276,0,,12276,362,,12276,0,,12276,2404,,12276,168,,12276,3910,,12276,2643,,0,0,,0,0,,0,0,,0,0,
,Phelps Dodge Corporation ,,20256,0,,38867,1150,,23225,0,,57639,16154,,27194,380,,49870,24421,,49870,19854,,53095,13048,,49305,5120,,38869,4272,,41153,2013,
,Phillips Petroleum Company ,,30575,0,,30575,0,,30575,0,,30575,0,,30575,0,,30575,0,,30575,0,,30575,0,,30575,0,,30575,0,,30575,0,
,Pimalco ,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,
,PNM Gas Services ,,33215,0,,113478,198,,80675,0,,134365,14199,,68961,179,,183061,32484,,183061,26119,,134365,4158,,66324,730,,134656,2783,,96860,541,
,PPL Energy Plus ,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,
,Reliant Energy Services ,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,
,Rio Grande Natural Gas Association ,,4737,0,,5221,0,,5762,0,,7367,0,,6757,0,,11000,0,,3000,0,,7367,0,,4413,0,,7794,0,,4372,0,
,Sacramento Municipal Utility ,,10000,0,,10000,294,,10000,0,,10000,2582,,10000,137,,10000,4220,,10000,3615,,10000,2304,,10000,1019,,10000,1083,,10000,488,
,Saguaro Power Company ,,20460,0,,20460,602,,20460,0,,20460,5282,,20460,280,,20460,8632,,20460,7396,,20460,4716,,20460,2084,,20460,2217,,20460,999,
,Salt River Project ,,48341,0,,106406,0,,4729,0,,262891,0,,142406,0,,364000,25918,,230000,2059,,225822,0,,262891,0,,108875,0,,163004,0,
,San Diego Gas & Electric ,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,
,San Diego Gas and Electric Company ,,10230,0,,10230,302,,10230,0,,10230,2866,,10230,140,,10230,5007,,10230,4069,,10230,2514,,10230,1061,,10230,1124,,10230,499,
,Sempra Energy Trading ,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,
,Sempra Energy Trading Corp. ,,5949,0,,5949,116,,5949,0,,5949,1008,,5949,55,,5949,1647,,5949,1410,,5949,900,,5949,399,,5949,422,,5949,192,
,"Southdown, Inc. ",,2,0,,2,0,,0,0,,2,2,,0,0,,2,2,,2,2,,0,0,,0,0,,0,0,,0,0,
,Southern California Gas Company ,,1195258,0,,1195258,0,,1195258,0,,1195258,0,,1195258,0,,1195258,0,,1195258,0,,1195258,0,,1195258,0,,1195258,0,,1195258,4,
,Southern Union Gas Company ,,78688,0,,118076,2778,,98383,0,,167701,40278,,122110,1430,,280600,126085,,280600,96280,,166752,31043,,78796,6907,,138638,12711,,54053,2136,
,Southwest Gas Corporation ,,491773,0,,491017,14410,,507858,0,,735817,203780,,470522,6391,,1130415,539736,,1130415,442169,,716895,173197,,405158,44563,,661789,72233,,422621,20544,
,"Sterling Natural Gas, Inc. ",,99,0,,146,0,,77,0,,291,0,,173,0,,291,0,,291,0,,291,0,,267,0,,219,0,,98,0,
,Tenaska Marketing Ventures ,,61150,0,,61150,0,,61150,0,,61150,0,,61150,0,,61150,0,,61150,0,,61150,0,,61150,0,,61150,0,,61150,0,
,Texaco Natural Gas ,,50208,0,,50208,1336,,50208,0,,50208,11474,,50208,618,,50208,18848,,50208,15830,,50208,10418,,50208,4622,,50208,4915,,50208,2215,
,Texaco Natural Gas Inc. ,,187224,0,,187224,5265,,187224,0,,187224,45218,,187224,2436,,187224,74281,,187224,62382,,187224,41048,,187224,18210,,187224,19367,,187224,8719,
,"Town of Mountainair, New Mexico ",,218,0,,339,0,,319,0,,186,0,,155,0,,339,0,,339,0,,186,0,,114,0,,250,0,,168,0,
,"Tractabel Energy Marketing, Inc.",,13000,0,,13000,384,,13000,0,,13000,3355,,13000,178,,13000,5483,,13000,4698,,13000,2994,,13000,1325,,13000,1408,,13000,635,
,U.S. Borax & Chemical Corporation ,,19437,0,,19437,1117,,19437,0,,19437,6213,,19437,466,,19437,8480,,19437,8006,,19437,6303,,19437,3801,,19437,3606,,19437,1756,
,United States Gypsum ,,442,0,,442,8,,442,0,,442,63,,442,3,,442,105,,442,88,,442,58,,442,26,,442,27,,442,13,
,West Texas Gas ,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,
,"West Texas Gas, Inc. ",,1490,0,,1490,0,,1490,0,,1490,26,,1490,2,,1490,107,,1490,87,,1490,0,,1490,0,,1490,0,,1490,0,
,Williams ,,101585,0,,101585,2987,,101585,0,,101585,25658,,101585,1383,,101585,42150,,101585,35397,,101585,23292,,101585,10333,,101585,10990,,101585,4947,
,Williams Energy Marketing and Trade ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,
,Zia Natural Gas Company ,,409,0,,675,63,,377,0,,580,0,,369,0,,1027,415,,1027,415,,580,0,,410,0,,543,0,,283,0,
,Total,,5103752,0,,5466154,79890,,5133093,0,,6261742,861636,,5365168,35495,,7238316,1791280,,6826079,1364105,,6082785,736709,,5632283,338821,,5701118,309497,,5425927,131386,
,Check Totals - Zero if Equal,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
