EOLTRAN,DATE,TIME,COMBINED,DAY,USERNM,USER#,COUNTERPTY,ENRON,BEGDATE,ENDDATE,TENOR,QUAN,VOLUME,MEA,P,PRICEINDEX,QUOTED,INDEX,TRDPR,DISC,US000,TRADE,SETTL
948260,2001-03-02 00:00:00,05:49:00,2001-03-02 05:49:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.88,     ,27.87,    ,697,     ,     
948264,2001-03-02 00:00:00,05:55:00,2001-03-02 05:55:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.86,     ,27.86,    ,696,     ,     
948275,2001-03-02 00:00:00,06:10:00,2001-03-02 06:10:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.84,     ,27.84,    ,696,     ,     
948366,2001-03-02 00:00:00,06:51:00,2001-03-02 06:51:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.82,     ,27.82,    ,695,     ,     
948416,2001-03-02 00:00:00,07:12:00,2001-03-02 07:12:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.82,     ,27.82,    ,695,     ,     
948447,2001-03-02 00:00:00,07:19:00,2001-03-02 07:19:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.8,     ,27.79,    ,695,     ,     
948607,2001-03-02 00:00:00,07:45:00,2001-03-02 07:45:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.78,     ,27.78,    ,694,     ,     
948720,2001-03-02 00:00:00,07:53:00,2001-03-02 07:53:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.74,     ,27.74,    ,693,     ,     
953022,2001-03-04 00:00:00,18:02:00,2001-03-04 18:02:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,27.9,     ,27.9,    ,697,     ,     
953024,2001-03-04 00:00:00,18:04:00,2001-03-04 18:04:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,27.92,     ,27.92,    ,698,     ,     
953026,2001-03-04 00:00:00,18:07:00,2001-03-04 18:07:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,27.96,     ,27.95,    ,699,     ,     
953589,2001-03-05 00:00:00,06:59:00,2001-03-05 06:59:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.32,     ,28.32,    ,708,     ,     
953590,2001-03-05 00:00:00,06:59:00,2001-03-05 06:59:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.34,     ,28.34,    ,708,     ,     
953613,2001-03-05 00:00:00,07:04:00,2001-03-05 07:04:00,MON,MERISO,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.34,     ,28.34,    ,708,     ,     
953615,2001-03-05 00:00:00,07:04:00,2001-03-05 07:04:00,MON,MERISO,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.34,     ,28.34,    ,708,     ,     
953618,2001-03-05 00:00:00,07:05:00,2001-03-05 07:05:00,MON,MERISO,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.32,     ,28.32,    ,708,     ,     
953620,2001-03-05 00:00:00,07:05:00,2001-03-05 07:05:00,MON,MERISO,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.34,     ,28.34,    ,708,     ,     
953624,2001-03-05 00:00:00,07:05:00,2001-03-05 07:05:00,MON,MERISO,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.34,     ,28.34,    ,708,     ,     
953629,2001-03-05 00:00:00,07:05:00,2001-03-05 07:05:00,MON,MERISO,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.34,     ,28.34,    ,708,     ,     
953633,2001-03-05 00:00:00,07:05:00,2001-03-05 07:05:00,MON,MERISO,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.34,     ,28.34,    ,708,     ,     
953638,2001-03-05 00:00:00,07:06:00,2001-03-05 07:06:00,MON,MERISO,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.32,     ,28.32,    ,708,     ,     
953640,2001-03-05 00:00:00,07:06:00,2001-03-05 07:06:00,MON,MERISO,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.34,     ,28.34,    ,708,     ,     
953643,2001-03-05 00:00:00,07:06:00,2001-03-05 07:06:00,MON,MERISO,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.34,     ,28.34,    ,708,     ,     
953651,2001-03-05 00:00:00,07:08:00,2001-03-05 07:08:00,MON,MICGUI,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,28.3,     ,28.29,    ,707,     ,     
953655,2001-03-05 00:00:00,07:09:00,2001-03-05 07:09:00,MON,MERISO,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.34,     ,28.34,    ,708,     ,     
958911,2001-03-06 00:00:00,07:42:00,2001-03-06 07:42:00,MON,MICGUI,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,28.41,     ,28.41,    ,710,     ,     
970011,2001-03-08 00:00:00,05:06:00,2001-03-08 05:06:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,28.91,     ,28.91,    ,722,     ,     
970023,2001-03-08 00:00:00,05:11:00,2001-03-08 05:11:00,MON,JDOCKE,87582,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC1      ,28.89,     ,28.88,    ,722,     ,     
970025,2001-03-08 00:00:00,05:13:00,2001-03-08 05:13:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,28.87,     ,28.87,    ,721,     ,     
970059,2001-03-08 00:00:00,05:34:00,2001-03-08 05:34:00,MON,JDOCKE,87582,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC1      ,28.89,     ,28.88,    ,722,     ,     
970082,2001-03-08 00:00:00,05:40:00,2001-03-08 05:40:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,28.87,     ,28.87,    ,721,     ,     
970393,2001-03-08 00:00:00,07:12:00,2001-03-08 07:12:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.83,     ,28.83,    ,720,     ,     
970735,2001-03-08 00:00:00,07:52:00,2001-03-08 07:52:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,28.85,     ,28.85,    ,721,     ,     
970783,2001-03-08 00:00:00,07:56:00,2001-03-08 07:56:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,28.85,     ,28.85,    ,721,     ,     
976414,2001-03-09 00:00:00,07:51:00,2001-03-09 07:51:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,28.31,     ,28.3,    ,707,     ,     
981070,2001-03-11 00:00:00,18:06:00,2001-03-11 18:06:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.97,     ,27.96,    ,699,     ,     
981071,2001-03-11 00:00:00,18:11:00,2001-03-11 18:11:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.95,     ,27.95,    ,698,     ,     
981592,2001-03-12 00:00:00,06:15:00,2001-03-12 06:15:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.79,     ,27.79,    ,694,     ,     
981748,2001-03-12 00:00:00,07:09:00,2001-03-12 07:09:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.79,     ,27.79,    ,694,     ,     
992984,2001-03-13 00:00:00,22:07:00,2001-03-13 22:07:00,MON,CRUDEB,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,27.37,     ,27.37,    ,684,     ,     
993470,2001-03-14 00:00:00,06:09:00,2001-03-14 06:09:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.55,     ,27.54,    ,688,     ,     
993508,2001-03-14 00:00:00,06:25:00,2001-03-14 06:25:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,27.57,     ,27.57,    ,689,     ,     
993509,2001-03-14 00:00:00,06:25:00,2001-03-14 06:25:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,27.59,     ,27.59,    ,689,     ,     
993864,2001-03-14 00:00:00,07:27:00,2001-03-14 07:27:00,MON,MICGUI,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.57,     ,27.57,    ,689,     ,     
999207,2001-03-15 00:00:00,06:16:00,2001-03-15 06:16:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.65,     ,26.65,    ,666,     ,     
999314,2001-03-15 00:00:00,06:43:00,2001-03-15 06:43:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.67,     ,26.67,    ,666,     ,     
1004932,2001-03-16 00:00:00,06:39:00,2001-03-16 06:39:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.79,     ,26.79,    ,669,     ,     
1004948,2001-03-16 00:00:00,06:41:00,2001-03-16 06:41:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.81,     ,26.8,    ,670,     ,     
1004963,2001-03-16 00:00:00,06:44:00,2001-03-16 06:44:00,MON,MICGUI,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,15000,   ,S,NXC2      ,26.83,     ,26.83,    ,402,     ,     
1005131,2001-03-16 00:00:00,07:19:00,2001-03-16 07:19:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.85,     ,26.85,    ,671,     ,     
1005245,2001-03-16 00:00:00,07:39:00,2001-03-16 07:39:00,MON,MICGUI,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,15000,   ,S,NXC2      ,26.89,     ,26.88,    ,403,     ,     
1009752,2001-03-18 00:00:00,18:12:00,2001-03-18 18:12:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.74,     ,26.74,    ,668,     ,     
1009753,2001-03-18 00:00:00,18:13:00,2001-03-18 18:13:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.76,     ,26.76,    ,669,     ,     
1009754,2001-03-18 00:00:00,18:14:00,2001-03-18 18:14:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.78,     ,26.78,    ,669,     ,     
1009756,2001-03-18 00:00:00,18:14:00,2001-03-18 18:14:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.8,     ,26.79,    ,670,     ,     
1009762,2001-03-18 00:00:00,18:40:00,2001-03-18 18:40:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.9,     ,26.9,    ,672,     ,     
1010272,2001-03-19 00:00:00,05:29:00,2001-03-19 05:29:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.86,     ,26.86,    ,671,     ,     
1010281,2001-03-19 00:00:00,05:37:00,2001-03-19 05:37:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.88,     ,26.87,    ,672,     ,     
1010320,2001-03-19 00:00:00,06:12:00,2001-03-19 06:12:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.86,     ,26.86,    ,671,     ,     
1010329,2001-03-19 00:00:00,06:19:00,2001-03-19 06:19:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.82,     ,26.82,    ,670,     ,     
1010361,2001-03-19 00:00:00,06:40:00,2001-03-19 06:40:00,MON,MICGUI,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.8,     ,26.79,    ,670,     ,     
1010364,2001-03-19 00:00:00,06:41:00,2001-03-19 06:41:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.78,     ,26.78,    ,669,     ,     
1010369,2001-03-19 00:00:00,06:43:00,2001-03-19 06:43:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.76,     ,26.76,    ,669,     ,     
1010439,2001-03-19 00:00:00,06:54:00,2001-03-19 06:54:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.74,     ,26.74,    ,668,     ,     
1010481,2001-03-19 00:00:00,07:05:00,2001-03-19 07:05:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.7,     ,26.7,    ,667,     ,     
1010521,2001-03-19 00:00:00,07:17:00,2001-03-19 07:17:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.68,     ,26.68,    ,667,     ,     
1010545,2001-03-19 00:00:00,07:23:00,2001-03-19 07:23:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.66,     ,26.66,    ,666,     ,     
1010549,2001-03-19 00:00:00,07:25:00,2001-03-19 07:25:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.64,     ,26.63,    ,666,     ,     
1010550,2001-03-19 00:00:00,07:25:00,2001-03-19 07:25:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.62,     ,26.62,    ,665,     ,     
1010554,2001-03-19 00:00:00,07:26:00,2001-03-19 07:26:00,MON,MICGUI,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.6,     ,26.6,    ,665,     ,     
1010656,2001-03-19 00:00:00,07:49:00,2001-03-19 07:49:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.58,     ,26.58,    ,664,     ,     
1010659,2001-03-19 00:00:00,07:49:00,2001-03-19 07:49:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,26.56,     ,26.55,    ,664,     ,     
1010692,2001-03-19 00:00:00,07:54:00,2001-03-19 07:54:00,MON,RSRSRS,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.5,     ,26.5,    ,662,     ,     
1010733,2001-03-19 00:00:00,08:00:00,2001-03-19 08:00:00,MON,JTREAD,55109,HESS ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,26.52,     ,26.52,    ,663,     ,     
1026757,2001-03-22 00:00:00,06:38:00,2001-03-22 06:38:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,25000,   ,L,NXC2      ,26.8,     ,26.79,    ,670,     ,     
1027027,2001-03-22 00:00:00,07:37:00,2001-03-22 07:37:00,MON,N587JK,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,50000,   ,L,NXC2      ,26.76,     ,26.76,    ,1338,     ,     
1032122,2001-03-23 00:00:00,06:47:00,2001-03-23 06:47:00,MON,MICGUI,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,50000,   ,S,NXC2      ,26.82,     ,26.82,    ,1341,     ,     
1032429,2001-03-23 00:00:00,07:41:00,2001-03-23 07:41:00,MON,N587JK,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,25000,   ,L,NXC2      ,26.88,     ,26.87,    ,672,     ,     
1036672,2001-03-25 00:00:00,18:10:00,2001-03-25 18:10:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,10000,   ,S,NXC1      ,27.34,     ,27.34,    ,273,     ,     
1036674,2001-03-25 00:00:00,18:37:00,2001-03-25 18:37:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,50000,   ,S,NXC2      ,27.38,     ,27.37,    ,1369,     ,     
1036682,2001-03-25 00:00:00,23:24:00,2001-03-25 23:24:00,MON,CRUDEB,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,50000,   ,L,NXC2      ,27.36,     ,27.36,    ,1368,     ,     
1042840,2001-03-27 00:00:00,06:51:00,2001-03-27 06:51:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,30000,   ,S,NXC2      ,27.5,     ,27.5,    ,825,     ,     
1042841,2001-03-27 00:00:00,06:51:00,2001-03-27 06:51:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,50000,   ,S,NXC2      ,27.54,     ,27.54,    ,1377,     ,     
1049990,2001-03-28 00:00:00,07:19:00,2001-03-28 07:19:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,50000,   ,S,NXC2      ,27.42,     ,27.42,    ,1371,     ,     
1056710,2001-03-28 00:00:00,21:08:00,2001-03-28 21:08:00,MON,DREWCH,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,50000,   ,L,NXC1      ,26.46,     ,26.45,    ,1323,     ,     
1057820,2001-03-29 00:00:00,08:00:00,2001-03-29 08:00:00,MON,N587JK,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,50000,   ,S,NXC2      ,26.52,     ,26.52,    ,1326,     ,     
1063765,2001-03-30 00:00:00,06:38:00,2001-03-30 06:38:00,MON,JTREAD,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,50000,   ,L,NXC2      ,26.46,     ,26.45,    ,1323,     ,     
1082333,2001-04-04 00:00:00,08:00:00,2001-04-04 08:00:00,MON,N587JK,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,L,NXC2      ,26.62,     ,26.62,    ,1331,     ,     
1088501,2001-04-05 00:00:00,07:09:00,2001-04-05 07:09:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,L,NXC2      ,27.1,     ,27.1,    ,1355,     ,     
1100740,2001-04-08 00:00:00,18:05:00,2001-04-08 18:05:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,L,NXC2      ,27.08,     ,27.08,    ,1354,     ,     
1101346,2001-04-09 00:00:00,07:05:00,2001-04-09 07:05:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,27.1,     ,27.1,    ,1355,     ,     
1106972,2001-04-10 00:00:00,05:54:00,2001-04-10 05:54:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,27.58,     ,27.58,    ,1379,     ,     
1106989,2001-04-10 00:00:00,06:03:00,2001-04-10 06:03:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,27.62,     ,27.62,    ,1381,     ,     
1107012,2001-04-10 00:00:00,06:14:00,2001-04-10 06:14:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,27.66,     ,27.66,    ,1383,     ,     
1107145,2001-04-10 00:00:00,06:35:00,2001-04-10 06:35:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,27.7,     ,27.7,    ,1385,     ,     
1107150,2001-04-10 00:00:00,06:37:00,2001-04-10 06:37:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,27.74,     ,27.74,    ,1387,     ,     
1107222,2001-04-10 00:00:00,06:45:00,2001-04-10 06:45:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,27.82,     ,27.82,    ,1391,     ,     
1107291,2001-04-10 00:00:00,06:55:00,2001-04-10 06:55:00,MON,JTREAD,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,27.82,     ,27.82,    ,1391,     ,     
1107296,2001-04-10 00:00:00,06:56:00,2001-04-10 06:56:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,27.86,     ,27.86,    ,1393,     ,     
1107322,2001-04-10 00:00:00,06:59:00,2001-04-10 06:59:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,27.9,     ,27.9,    ,1395,     ,     
1107547,2001-04-10 00:00:00,07:23:00,2001-04-10 07:23:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,27.94,     ,27.94,    ,1397,     ,     
1107882,2001-04-10 00:00:00,07:54:00,2001-04-10 07:54:00,MON,DREWCH,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC1      ,27.94,     ,27.94,    ,1397,     ,     
1107974,2001-04-10 00:00:00,08:00:00,2001-04-10 08:00:00,MON,DREWCH,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,L,NXC1      ,27.92,     ,27.92,    ,1396,     ,     
1113682,2001-04-11 00:00:00,07:51:00,2001-04-11 07:51:00,MON,N587JK,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC1      ,28.18,     ,28.18,    ,1409,     ,     
1118690,2001-04-11 00:00:00,22:44:00,2001-04-11 22:44:00,MON,CRUDEB,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,L,NXC2      ,28.32,     ,28.32,    ,1416,     ,     
1119086,2001-04-12 00:00:00,06:38:00,2001-04-12 06:38:00,MON,RSRSRS,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,28.46,     ,28.45,    ,1423,     ,     
1119135,2001-04-12 00:00:00,06:55:00,2001-04-12 06:55:00,MON,JTREAD,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,28.5,     ,28.5,    ,1425,     ,     
1119143,2001-04-12 00:00:00,06:57:00,2001-04-12 06:57:00,MON,CRUDEB,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,25000,   ,L,NXC2      ,28.48,     ,28.48,    ,712,     ,     
1119196,2001-04-12 00:00:00,07:09:00,2001-04-12 07:09:00,MON,JTREAD,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC2      ,28.5,     ,28.5,    ,1425,     ,     
1128355,2001-04-16 00:00:00,19:55:00,2001-04-16 19:55:00,MON,MICGUI,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,25000,   ,S,NXC2      ,28.78,     ,28.78,    ,719,     ,     
1128838,2001-04-17 00:00:00,06:31:00,2001-04-17 06:31:00,MON,CRUDEB,55109,HESS ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,L,NXC2      ,28.76,     ,28.76,    ,1438,     ,     
