Vendor,Contact Point,Product Name,Area,Contact,# of User Instances,# of Server Instances,# of Other Instances,Total # Instances,List Cost ,List Cost Total,Enron Cost,Enron Cost Total,Instance/General Comments
ModelMaker,,ModelMaker,EnPower,Steve Nat,15,,,15,,,,,
ModelMaker,,Explorer,EnPower,Steve Nat,15,,,15,,,,,
Raize,,RZ Components,EnPower,Steve Nat,15,,,15,,,,,
Raize,,CodeSite,EnPower,Steve Nat,15,,,15,,,,,
Symantec,,PC Anywhere,EnPower,Steve Nat,15,,,15,,,,,
TeeMach,,TeeChart Pro,EnPower,Steve Nat,15,,,15,,,,,
TurboPower,,XML Partner,EnPower,Steve Nat,15,,,15,,,,,
ZipTV,,ZipTV,EnPower,Steve Nat,15,,,15,,,,,
DevSoft,,IP Works,EnPower,Steve Nat,15,,,15,,,,,
TurboPower,,Systools 3.0,EnPower,Steve Nat,5,,,5,,,,,
Borland,UBS,Delphi 6.0,Foster,Steve Nat,1,,,0,2999,0,2200,0,
Tradewave,,TradeAgent,Foster,Steve Nat,1,,,1,,,,,
Netscape,,Netscape,Foster,Steve Nat,,2,,2,,,,,
Oracle,,Oracle 8.1.7.3,Foster,Steve Nat,,2,,2,,,,,
Symantec,,PC Anywhere,Foster,Steve Nat,,2,,2,,,,,
Tradewave,,TradeAgent,Foster,Steve Nat,,2,,2,,,,,
Allround Automations,Hillier,DOA,FSP,Steve Nat,6,,,3,648,648,648,648,
Borland,UBS,Delphi 6.0,FSP,Steve Nat,6,,,3,2999,2999,2200,2200,
Borland,UBS,Midas,FSP,Steve Nat,,4,,3,299.95,1799.6999999999998,2200,13200,
Oracle,,Oracle 8.1.7.3,FSP,Steve Nat,,7,,ZERO?,,,,,
MS,,Visual SourceSafe,FSP,Steve Nat,6,,,6,,,,,
Eagle Software,,CodeRush6,FSP,Steve Nat,6,,,6,,,,,
Raize,,CodeSite2,FSP,Steve Nat,6,,,6,,,,,
Raize,,Components 2.5,FSP,Steve Nat,6,,,6,,,,,
TurboPower,,XML Partner,FSP,Steve Nat,6,,,6,,,,,
KPGB,,VCLZip,FSP,Steve Nat,6,,,6,,,,,
DevExpress,,MasterView,FSP,Steve Nat,6,,,6,,,,,
DevExpress,,Express QuantumGrid,FSP,Steve Nat,6,,,6,,,,,
All Around Automations,,PL/SQL Developer,FSP,Steve Nat,6,,,6,,,,,
Tidal Soft,McAuliffe,SysAdmiral,Job Scheduling,Steve Nat,,,,0,,0,0,0,"place holder of 250,000"
OSI,Hillier,PI,PI Historian,Steve Nat,,5,,1,,0,0,0,
ESCA,,HabConnect 5.2.0,PI Historian,,,1,,1,,,,,
Allround Automations,Hillier,PL/SQL Developer,Portcalc,Steve Nat,3,,,4,200,600,200,600,
Borland,UBS,C++ Builder,Portcalc,Steve Nat,3,,,4,2499,7497,2200,6600,
Hummingbird,UBS,Exceed,Portcalc,Steve Nat,,,,4,395,1185,218,654,Use Reflections
Rational,McAuliffe,Purify,Portcalc,Steve Nat,,1,,4,1200,3600,1080,3240,
Rational,McAuliffe,ClearCase,Portcalc,Steve Nat,0,1,0,4,,0,1500,1500,
SUN Microsystems Inc.,McAuliffe,C Compiler,Portcalc,Steve Nat,,1,,4,,0,112.5,337.5,
Oracle,,Oracle 8.1.7.3,Portcalc,Steve Nat,,4,,1,,0,,,
Microsoft,,Visual Studio Enterprise,Portcalc,Steve Nat,3,,,4,,0,,,
DevSoft,,IP Works,Portcalc,Steve Nat,3,,,3,,,,,
Exceed,,Hummingbird,Portcalc,Steve Nat,3,,,3,,,,,
Hummingbird,UBS,Exceed,Portland,Steve Nat,,,,9,395,395,218,218,Use Reflections
IPSwitch,McAuliffe,WinRats,Portland,Steve Nat,,,,1,195,,195,,
MapInfo,McAuliffe,MapInfo Professional,Portland,Steve Nat,,,,4,315,1575,315,1575,
MapInfo,McAuliffe,MapInfo Professional,Portland,Steve Nat,,,,11,,0,1425.27,2850.54,
Mercury Interactive,UBS,LoadWizard,Portland,Steve Nat,,,,5,474,948,474,948,
Optus,McAuliffe,FacSys,Portland,Steve Nat,,,,14,,0,0,0,
Quest,Hillier,Toad,Portland,Steve Nat,,,,4,1980,3960,714,1428,Follow up on this.
Tidal Soft,McAuliffe,SysAdmiral,Portland,Steve Nat,,,,2,,0,0,0,
ESCA,Hillier,Eterra,RT Market Interface,Steve Nat,,,,1,1999,9995,1999,9995,
ESCA,,MOS,RT Market Interface,Steve Nat,,1,,1,,,,,
MS,,IIS,RT Market Interface,Steve Nat,,1,,1,,,,,
Allaire,,Jrun 3.0,RT Market Interface,Steve Nat,,1,,1,,,,,
Verisign,,Digital Certificate,RT Market Interface,Steve Nat,,1,,1,,,,,
ESCA,,MOS,RT Market Interface,Steve Nat,,1,,1,,,,,
MS,,IIS,RT Market Interface,Steve Nat,,1,,1,,,,,
Allaire,,Jrun 3.0,RT Market Interface,Steve Nat,,1,,1,,,,,
Verisign,,Digital Certificate,RT Market Interface,Steve Nat,,1,,1,,,,,
Oracle,,Oracle 8.1.7,RT Market Interface,Steve Nat,,2,,2,,,,,
Borland,UBS,Delphi 6.0,RT WorkBench,Steve Nat,,,,0,2999,14995,2200,11000,
Powersoft,Hillier,Powerbuilder 7.0,Global Common Codes,Sundar Chitradurga,,,,1,2995,20965,2995,20965,
SUN Microsystems Inc.,,SUN Solaris 2.8,Global Common Codes,Sundar Chitradurga,,,,1,,,,,
Oracle,,Oracle Enterprise Edition 8i,Global Common Codes,Sundar Chitradurga,,,,1,,,,,
Powersoft,Hillier,Powerbuilder 7.0,Global Contract,Sundar Chitradurga,,,,3,2995,0,2995,0,
Microsoft,,MS Visual Studio 6,Global Contract,Sundar Chitradurga,,,,2,,,,,
SUN Microsystems Inc.,,SUN Solaris 2.8,Global Contract,Sundar Chitradurga,,,,1,,,,,
Oracle,,Oracle Enterprise Edition 8i,Global Contract,Sundar Chitradurga,,,,1,,,,,
Powersoft,Hillier,Powerbuilder 7.0,Global Counterparty,Sundar Chitradurga,,,,6,,0,2995,8985,
Powersoft,Hillier,Sybase Replication,Global Counterparty,Sundar Chitradurga,,,,1,3000,9000,100000,300000,
Oracle,,Oracle Enterprise Edition 8i,Global Counterparty,Sundar Chitradurga,,,,1,,,,,
Microsoft,,MS Visual Studio 6,Global Counterparty,Sundar Chitradurga,,,,8,,,,,
SUN Microsystems Inc.,,SUN Solaris 2.8,Global Counterparty,Sundar Chitradurga,,,,1,,,,,
Dunn & Bradstreet,,D&B Global Access,Global Counterparty,Sundar Chitradurga,,,,1,,,,,
SUN Microsystems Inc.,,SUN Solaris 2.8,Global Facilities,Sundar Chitradurga,,,,1,,,,,
Oracle,,Oracle Enterprise Edition 8i,Global Facilities,Sundar Chitradurga,,,,1,,,,,
Borland,UBS,J-Builder,CGS,Zhiyong Wei,5,,,5,2999,2999,2200,2200,
Quest,Hillier,TOAD,CGS,Zhiyong Wei,5,,,10,1980,7920,714,2856,Follow up on this.
Tibco,UBS,TIBCO,CGS,Zhiyong Wei,,,,0,,0,8000,8000,Use EOL TIBCO enterprise license
Togethersoft,UBS,Togethersoft,CGS,Zhiyong Wei,5,,,3,,0,5036,5036,
Oracle,,Oracle Enterprise Edition 8i,CGS,Zhiyong Wei,,,,3,,0,,,Oracle enterprise license?
SUN Microsystems Inc.,,SUN Solaris 2.8,CGS,Zhiyong Wei,,,,ZERO???,,0,,,Sun enterprise license?
Oracle,UBS,Oracle Forms 4.0 for UNIX,CPR,Zhiyong Wei,2,1,,3,800,800,1500,1500,
Oracle,UBS,Oracle Forms 6i for NT,CPR,Zhiyong Wei,2,1,,3,5000,5000,1500,1500,
Oracle,UBS,Oracle Reports 2.0 for UNIX,CPR,Zhiyong Wei,2,1,,,,,,,
Oracle,UBS,Oracle Reports 6i for NT,CPR,Zhiyong Wei,2,1,,,,,,,
Oracle,,Oracle Enterprise Edition 8i,CPR,Zhiyong Wei,,,,3,,0,,,Oracle enterprise license?
SUN Microsystems Inc.,,SUN Solaris 2.8,CPR,Zhiyong Wei,,,,3,,0,,,Sun enterprise license?
Hummingbird,UBS,Exceed,ERMS,Zhiyong Wei,200,,,1,395,395,218,218,Use Reflections (Estimated # of users)
Oracle,UBS,"Oracle Forms, Reports for Unix",ERMS,Zhiyong Wei,3,1,,3,5000,0,1500,0,
Oracle,UBS,"Oracle Forms, Reports 6i for NT",ERMS,Zhiyong Wei,3,1,,,5000,15000,1500,4500,
SUN Microsystems Inc.,McAuliffe,Solaris debugger,ERMS,Zhiyong Wei,4,1,,2,2599,,2599,,
Oracle,,Oracle Enterprise Edition 8i,ERMS,Zhiyong Wei,,,,3,,,,,Oracle enterprise license?
SUN Microsystems Inc.,,SUN Solaris 2.8,ERMS,Zhiyong Wei,,,,ZERO?,,,,,Sun enterprise license?
MacroMedia,Hillier,MacroMedia Flash,ERV/TRV,Zhiyong Wei,,1,,1,,,150,,
Microsoft,,Visual Interdev one license,ERV/TRV,Zhiyong Wei,1,,,1,,,,,
Oracle,,Oracle Enterprise Edition 8i,ERV/TRV,Zhiyong Wei,,,,ZERO?,,,,,
Adobe,UBS,Adobe Acrobat - 5 licenses,Gas Fundamentals,Zhiyong Wei,5,,,5,249,,160,,
Borland,UBS,Borland Delphi v5  - 2 licenses,Gas Fundamentals,Zhiyong Wei,2,,,2,2999,,2200,,
Catalyst,Hillier,Socket tools 1.5 - 2 licenses,Gas Fundamentals,Zhiyong Wei,,2,,2,697,,210.52,,
Server Objects,McAuliffe,ASP HTTP - 2 licenses,Gas Fundamentals,Zhiyong Wei,,2,,2,179,,179,,
Software FX,McAuliffe,ChartFX internet developer - 2 licenses,Gas Fundamentals,Zhiyong Wei,2,3,,2,,,1229,,
Microsoft,,Microsoft Visio - 5 licenses,Gas Fundamentals,Zhiyong Wei,5,,,5,,0,,,
Microsoft,,Microsoft Visual Studio ,Gas Fundamentals,Zhiyong Wei,5,,,5,,0,,,
Microsoft,,Microsoft Project,Gas Fundamentals,Zhiyong Wei,5,,,1,,0,,,
,,Market Data Reuters Feed,Gas Fundamentals,Zhiyong Wei,,2,,1,,0,,,
Microsoft,,SQL Server 2000 Enterprise,Gas Fundamentals,Zhiyong Wei,,3,,3,,,,,
Sun,,Javasoft JRE,Gas Fundamentals,Zhiyong Wei,,3,,3,,,,,
Webtrends,,Webtrends,Gas Fundamentals,Zhiyong Wei,,1,,1,,,,,
Quest,,Toad,Gas Fundamentals,Zhiyong Wei,2,,,2,,,,,
Quest,,SQL Navigator,Gas Fundamentals,Zhiyong Wei,1,,,1,,,,,
Reuters,,Kobra,Gas Fundamentals,Zhiyong Wei,2,,,2,,,,,
Microsoft,,SQL Server Client Tools,Gas Fundamentals,Zhiyong Wei,5,,,5,,,,,
,,CS-HTP32 & CS-FTP32,Gas Fundamentals,Zhiyong Wei,,2,,2,,,,,
Borland,UBS,Delphi,Sitara,Zhiyong Wei,2,,,2,2999,,2200,,
Borland,UBS,J-Builder,Sitara,Zhiyong Wei,1,,,1,2999,,2200,,
Hummingbird,UBS,Exceed,Sitara,Zhiyong Wei,7,,,7,395,790,218,436,Use Reflections
Iona,UBS,Enterprise License for Orbix for C++ on Solaris,Sitara,Zhiyong Wei,,1,,1,,,198000,,
MicroEdge,Hillier,Visual Slick Edit,Sitara,Zhiyong Wei,7,,,7,315,0,315,0,
MicroEdge,Hillier,Bounds Checker 5.03,Sitara,Zhiyong Wei,1,,,1,354,,354,,
Quest,Hillier,TOAD,Sitara,Zhiyong Wei,7,,,7,1980,11880,714,4284,Follow up on this.
Rational,McAuliffe,RogueWave,Sitara,Zhiyong Wei,5,,,5,,0,0,0,
Rational,McAuliffe,ClearCase,Sitara,Zhiyong Wei,7,,,7,,0,1500,9000,
SUN Microsystems Inc.,McAuliffe,SparcWorks debugger,Sitara,Zhiyong Wei,3,,,3,,,1500,,
Tibco,UBS,TIBCO Enterprise,Sitara,Zhiyong Wei,,,,1,,,8000,,Enterprise license
Togethersoft,UBS,TogetherSoft,Sitara,Zhiyong Wei,,,,0,,,5036,,
Microsoft,,MS Visual Studio  ,Sitara,Zhiyong Wei,2,,,2,,,,,
Microsoft,,VSS 5.0,Sitara,Zhiyong Wei,2,,,2,,,,,
Oracle,,Oracle Enterprise Edition 8i,Sitara,Zhiyong Wei,,,,6,,,,,Enterprise license?
Oracle,UBS,Oracle Developer 2000,Sitara Reporting,Zhiyong Wei,2,,,3,5000,,1500,,
Oracle,UBS,Oracle Reports 6.0,Sitara Reporting,Zhiyong Wei,2,,,3,5000,,1500,,
Oracle,,Oracle Enterprise Edition 8i,Sitara Reporting,Zhiyong Wei,,,,3,,,,,Enterprise license?
Borland,UBS,Borland Delphi v5 and V6,TDS,Zhiyong Wei,3,,,3,2999,,2200,,
Borland,UBS,Borland Jbuilder V5,TDS,Zhiyong Wei,1,,,1,2999,,2200,,
Developer Express Inc.,Hillier,Developer Express Quantum Grid V2.2,TDS,Zhiyong Wei,3,,,3,199.99,,199.99,,
Hummingbird,UBS,Exceed,TDS,Zhiyong Wei,3,,,3,395,,218,,Use Reflections
MicroEdge,Hillier,Visual Slick Edit,TDS,Zhiyong Wei,1,,,1,,,336,,
nuMega,Hillier,nuMega Bounds Checker 6.5 for Visual C++,TDS,Zhiyong Wei,1,,,1,,,0,,
Quest,Hillier,TOAD V7,TDS,Zhiyong Wei,4,,,4,145,,145,,Follow up on this.
Raize Software,Hillier,Raize Codesite V1.1 - Site License,TDS,Zhiyong Wei,1,,,1,249,1494,249,1494,Need one site license or 3 individual licenses
Raize Software,Hillier,Raize Components V2.52,TDS,Zhiyong Wei,3,,,1,249,747,249,747,
Rational,McAuliffe,ClearCase,TDS,Zhiyong Wei,3,,,3,3960,11880,1500,4500,
Symantec,McAuliffe,PC anywhere V9.2.0,TDS,Zhiyong Wei,3,5,,4,,,179.95,,
Tibco,UBS,TIBCO Rendezvous V6 - Enterprise,TDS,Zhiyong Wei,,,,1,,,8000,,Enterprise license
Tibco,UBS,TIBCO Hawk - Enterprise,TDS,Zhiyong Wei,,,,1,,,10500,,Enterprise license or 4 user licenses and 5 server licenses
Turbo Power,Hillier,Turbopower Sleuth Q&A Suite 2.0,TDS,Zhiyong Wei,1,,,1,303,,303,,
Turbo Power,Hillier,Turbo Power XML Partner,TDS,Zhiyong Wei,1,,,1,479,7664,479,7664,
Microsoft,,Visual Studio V6,TDS,Zhiyong Wei,1,,,2,,,,,
Oracle,,Direct Oracle Access,TDS,Zhiyong Wei,4,,,4,,,,,
Microsoft,,Visual Studio Enterprise,Intranet Portal,Steve Nat,,,,1,,,,,
Hemera,,Action Script viewer 2.0,Intranet Portal,Steve Nat,3,,,3,,,,,
Adobe,,Adobe Acrobat 5.0,Intranet Portal,Steve Nat,3,,,3,,,,,
Macromedia,,Dreamweaver,Intranet Portal,Steve Nat,3,,,3,,,,,
Alienskin,,eyecandy 4000,Intranet Portal,Steve Nat,3,,,3,,,,,
Macromedia,,Fireworks 4.0,Intranet Portal,Steve Nat,3,,,3,,,,,
Macromedia,,Flash,Intranet Portal,Steve Nat,3,,,3,,,,,
Adobe,,Illustrator 9.0,Intranet Portal,Steve Nat,3,,,3,,,,,
Hemera,,Photoobjects 50000,Intranet Portal,Steve Nat,3,,,3,,,,,
Adobe,,Photoshop 6.0,Intranet Portal,Steve Nat,3,,,3,,,,,
Adobe,,Streamline,Intranet Portal,Steve Nat,3,,,3,,,,,
Bradsoft,,Topstyle 2.5,Intranet Portal,Steve Nat,3,,,3,,,,,
Ultraedit,,Ultraedit,Intranet Portal,Steve Nat,3,,,3,,,,,
MS,,Visual Studio 6 & 7,Intranet Portal,Steve Nat,3,,,3,,,,,
Wacom,,Wacom Tablet 912,Intranet Portal,Steve Nat,3,,,3,,,,,
Alienskin,,Xenofex,Intranet Portal,Steve Nat,3,,,3,,,,,
MS,,Adv Server 2000 .Net Beta 2,Intranet Portal,Steve Nat,2,,,2,,,,,
DRI,Market Data,,,,,,,,,,,,
Dunn & Brad,Market Data,,,,,,,,,,,,
Microsoft,Jim Sugrue,Visio Technical,CMT,Jim Sugrue,6,0,,6,,,,,
Microsoft,Jim Sugrue,SQLServer 2000 Developer,CMT,Jim Sugrue,3,0,,3,,,,,
Microsoft,Jim Sugrue,Office 2000/XP Professional,CMT,Jim Sugrue,6,0,,6,,,,,
Microsoft,Jim Sugrue,Visual Stuido Enterprise 6.0,CMT,Jim Sugrue,6,0,,6,,,,,
Microsoft,Jim Sugrue,Visual Stuido Enterprise .NET,CMT,Jim Sugrue,3,0,,3,,,,,
Microsoft,Jim Sugrue,Univeral MSDN Subscription,CMT,Jim Sugrue,3,0,,3,,,,,
Microsoft,Jim Sugrue,Microsoft Windows Advanced Server 2000 SP2,CMT,"Jim Sugrue, Edward Ray",0,16,,16,,,,,
Tibco,Jim Sugrue,Tibco Rendezvous 6.8,CMT,Jim Sugrue,6,16,,22,,,,,
ServerObjects,Jim Sugrue,ASPMail 4.x,CMT,Jim Sugrue,6,16,,22,,,,,
ExceedFTP,Jim Sugrue,Xceed FTP Library,CMT,Jim Sugrue,6,16,,22,,,,,
Oracle,Jim Sugrue,Oracle Client Tools,CMT,"Jim Sugrue, Edward Ray",6,16,,22,,,,,
Compuware,Jim Sugrue,NuMega DevPartner Studio for Visual Basic Version 6.6,CMT,Jim Sugrue,6,0,,6,,,,,
NetIQ,Jim Sugrue,AppManager Suite - Console,CMT,"Jim Sugrue, John Setliff",2,16,,18,,,,,
NetIQ,Jim Sugrue,Operation Manager - Console,CMT,"Jim Sugrue, John Setliff",2,16,,18,,,,,
NetIQ,Jim Sugrue,AppManager Suite - Server Agent,CMT,"Jim Sugrue, John Setliff",2,16,,18,,,,,
NetIQ,Jim Sugrue,Operation Manager - Server Agent,CMT,"Jim Sugrue, John Setliff",2,16,,18,,,,,
,Mable Tang,Oracle Internet Developer Suites,DBA,Mable Tang,12,,,12,,,,,
,Mable Tang,Embarcadero DBArtisan ,DBA,Mable Tang,12,,,12,,,,,
,Mable Tang,Quest Spotlight ,DBA,Mable Tang,12,,,12,,,,,
,Mable Tang,Quest SQLab Xpert,DBA,Mable Tang,12,,,12,,,,,
ESCA,,Display Builder 5.2,Eterra,Steve Nat,,1,,1,,,,,
ESCA,,DNP/SMP 2.3.1,Eterra,Steve Nat,,1,,1,,,,,
ESCA,,EMP 2.1.1,Eterra,Steve Nat,,3,,3,,,,,
Hummingbird,,Exceed 6.1,Eterra,Steve Nat,,4,,4,,,,,
ESCA,,Genesys ModelServer2.3.1,Eterra,Steve Nat,,1,,1,,,,,
ESCA,,HabConnect 5.2.0,Eterra,Steve Nat,,1,,1,,,,,
ESCA,,Habitat 5.2.1,Eterra,Steve Nat,,3,,3,,,,,
SISCO,,MMS-EASE 7.051,Eterra,Steve Nat,,1,,1,,,,,
ESCA,,OAG 2.0.0,Eterra,Steve Nat,,1,,1,,,,,
Iona,,Orbix 3.3,Eterra,Steve Nat,,1,,1,,,,,
Symantec,,pcAnywhere 9.2,Eterra,Steve Nat,,5,,5,,,,,
CompomentOne,,SizeOne 7.0,Eterra,Steve Nat,,1,,1,,,,,
CompomentOne,,TrueDBGrid 7.0,Eterra,Steve Nat,,1,,1,,,,,
Compaq,,Visual Fortran 6.5,Eterra,Steve Nat,,1,,1,,,,,
MS,,Visual Studio 6.0,Eterra,Steve Nat,,1,,1,,,,,
MS,,SQL Server,West Desk Pre-Trade,Steve Nat,,1,,1,,,,,
Oracle,,Oracle 8.1.7.3,Services Desk P&L,Steve Nat,,1,,1,,,,,
Raize,,Components 2.5,Services Desk P&L,Steve Nat,2,,,2,,,,,
Dev Express,,Components 3.2,Services Desk P&L,Steve Nat,2,,,2,,,,,
Borland,,Delphi 6.0,Services Desk P&L,Steve Nat,2,,,2,,,,,
,,IBObjects,Services Desk P&L,Steve Nat,2,,,2,,,,,
Borland,,Interbase 6.0 (Open Source),Hourly P&L,Steve Nat,,1,,1,,,,,
Raize,,Components 2.5,Hourly P&L,Steve Nat,2,,,2,,,,,
Dev Express,,Components 3.2,Hourly P&L,Steve Nat,2,,,2,,,,,
Borland,,Delphi 6.0,Hourly P&L,Steve Nat,2,,,2,,,,,
,,IBObjects,Hourly P&L,Steve Nat,2,,,2,,,,,
MS,,Excel,Risk Excel Reporting,Steve Nat,,,,0,,,,,
Oracle,,Oracle Client 8.1.7.3,VMS - West,Steve Nat,,6,,6,,,,,
Oracle,,Oracle 8.1.7.3,VMS - West,Steve Nat,,7,,7,,,,,
Borland,,Delphi 6.0,VMS - West,Steve Nat,6,,,6,,,,,
MS,,Visual Studio,VMS - West,Steve Nat,6,,,6,,,,,
MS,,Advanced Server,VMS - West,Steve Nat,,7,,7,,,,,
MS,,IIS,VMS - West,Steve Nat,,7,,7,,,,,
MS,,Access 2000,VMS- East ,Steve Nat,,2,,2,,,,,
MS,,Access 97,VMS- East ,Steve Nat,,1,,1,,,,,
MS,,Visual Basic 6.0,RAM,Kim Wilbanks,,,,0,,,,,
MS,,Visual SourceSafe 6.0,RAM,Kim Wilbanks,,,,0,,,,,
MS,,Visual Interdev 6.0,RAM,Kim Wilbanks,,,,0,,,,,
Quest,,TOAD,RAM,Kim Wilbanks,,,,0,,,,,
Macromedia,,Flash 5.0,RAM,Kim Wilbanks,,,,0,,,,,
Oracle,,SQL*Loader,RAM,Kim Wilbanks,,,,0,,,,,
Oracle,,Oracle 8i (8.1.7),RAM,Kim Wilbanks,,,,0,,,,,
Oracle,,PL/SQL,RAM,Kim Wilbanks,,,,0,,,,,
MS,,Excel,RAM,Kim Wilbanks,,,,0,,,,,
MS,,Word,RAM,Kim Wilbanks,,,,0,,,,,
MS,,Internet Explorer 5.0+,RAM,Kim Wilbanks,,,,0,,,,,
Tidal Soft,,Sys*Admiral,RAM,Kim Wilbanks,,,,0,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Microsoft,,"Jim Sugrue wants us to be aware that our current contract with Microsoft for Premier Support expires at the end of January, 2002.",,,,,,,,,,,
,,Microsoft Premier Support (including MSDN) is used by developers specifically and is separate from the Alliance Support,,,,,,,,,,,
,,(that covers items like Exchange and SQL) which Enron also receives from Microsoft.,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Not in original spreadsheet but in access database,,,,,,,,,,,
,,Not in original spreadsheet but in spreadsheet submitted by contacts,,,,,,,,,,,
,,Original has one line only; contact split line item into two,,,,,,,,,,,
