,ENT,SOCO,TVA,VACAR,HHUB
1998-12-23,25.7,22.4,25.87,,1.945
1998-12-24,,,,,1.865
1998-12-25,,,,,1.865
1998-12-26,,20.5,,,1.865
1998-12-27,,20.5,,,1.865
1998-12-28,19.12,20.5,19.5,,1.865
1998-12-29,16.54,18.81,16.83,,1.785
1998-12-30,17.3,18.25,17.04,,1.81
1998-12-31,17.88,18.93,18.47,,1.835
1999-01-01,,,,,1.875
1999-01-02,,20.25,,,1.875
1999-01-03,,20.25,,,1.875
1999-01-04,25.07,25.5,26.43,,1.875
1999-01-05,37.85,42.5,43.9,,2.1
1999-01-06,32.6,34.88,36.11,,2.04
1999-01-07,24.97,25,27.62,,2.035
1999-01-08,20.34,20,20.9,,1.895
1999-01-09,,20.75,,,1.875
1999-01-10,,22,,,1.875
1999-01-11,25.5,28.5,28.37,,1.875
1999-01-12,19.49,20,20.97,,1.82
1999-01-13,18.36,,17.93,,1.82
1999-01-14,21.18,,16.99,,1.865
1999-01-15,19.26,,19.11,,1.78
1999-01-16,,17,,,1.795
1999-01-17,,17,,,1.795
1999-01-18,,,,,1.795
1999-01-19,18,,,,1.795
1999-01-20,16.67,,15.93,,1.77
1999-01-21,16.67,,17.22,,1.8
1999-01-22,16.59,17.5,16.57,,1.845
1999-01-23,,,,,1.81
1999-01-24,,,,,1.81
1999-01-25,17.52,,18.49,,1.81
1999-01-26,16.46,,16.68,,1.75
1999-01-27,16.2,17.25,15.86,,1.72
1999-01-28,16.39,16.85,15.41,,1.75
1999-01-29,16.4,17,14.95,,1.805
1999-01-30,,,,,1.815
1999-01-31,,,,,1.815
1999-02-01,16.84,16.75,16.34,,1.805
1999-02-02,16.99,16.88,16.53,,1.745
1999-02-03,17.03,16.75,16.75,,1.77
1999-02-04,21.11,,17.3,,1.8
1999-02-05,17.22,,17.03,,1.785
1999-02-06,,,,,1.805
1999-02-07,,,,,1.805
1999-02-08,17.18,16,16.2,,1.805
1999-02-09,16.83,,14.85,,1.805
1999-02-10,16.3,,13.58,,1.825
1999-02-11,16.59,15.5,13.89,,1.81
1999-02-12,17.36,,15.88,,1.78
1999-02-13,,17.25,17,,1.815
1999-02-14,,17.25,17,,1.815
1999-02-15,,,,,1.815
1999-02-16,17.29,18.5,17.37,,1.815
1999-02-17,17.64,,18.45,,1.795
1999-02-18,17.95,,19.85,,1.79
1999-02-19,17.86,,19.16,,1.805
1999-02-20,,17.75,,,1.785
1999-02-21,,17.75,,,1.785
1999-02-22,19.71,21,22.69,,1.785
1999-02-23,22.62,22.5,25.08,,1.78
1999-02-24,18.79,18.25,19.83,,1.735
1999-02-25,17.47,17.25,16.65,,1.73
1999-02-26,17.39,,16.62,,1.695
1999-02-27,,16.25,,,1.675
1999-02-28,,16.88,,,1.675
1999-03-01,18.49,,19.19,,1.615
1999-03-02,17.46,18.5,17.79,,1.65
1999-03-03,17.7,18.57,18.06,,1.675
1999-03-04,18.3,,19.77,,1.67
1999-03-05,18.74,,20.44,,1.715
1999-03-06,,,,,1.73
1999-03-07,,,,,1.73
1999-03-08,22.29,,22.56,,1.73
1999-03-09,19.71,,20.13,,1.875
1999-03-10,18.98,19,20.07,,1.845
1999-03-11,21.97,,25.08,,1.94
1999-03-12,21.65,,25.38,,1.87
1999-03-13,,,22,,1.815
1999-03-14,,,,,1.815
1999-03-15,20.78,,23.88,,1.815
1999-03-16,19.28,22,19.83,,1.75
1999-03-17,18.55,19.17,17.55,,1.745
1999-03-18,18.49,,17.53,,1.75
1999-03-19,18.26,18.5,17.66,,1.755
1999-03-20,,,,,1.725
1999-03-21,,,,,1.725
1999-03-22,18.62,,18.63,,1.725
1999-03-23,19.19,,19.6,,1.75
1999-03-24,19.19,21.5,19.88,,1.805
1999-03-25,18.6,20.38,19.43,,1.78
1999-03-26,18.15,21.33,18.43,,1.805
1999-03-27,,18.75,18.1,,1.835
1999-03-28,,18.75,,,1.835
1999-03-29,19.33,20.5,20.5,,1.835
1999-03-30,18.78,,19.54,,1.805
1999-03-31,18.24,19.5,19.46,,1.885
1999-04-01,17.99,19.75,17.86,,1.995
1999-04-02,,,,,1.94
1999-04-03,,19.5,,,1.94
1999-04-04,,19.5,,,1.94
1999-04-05,19.53,21.92,21.19,,1.94
1999-04-06,19.61,20.34,21.25,,2.035
1999-04-07,23.78,,26.39,,1.98
1999-04-08,25.77,32.39,26.63,,2.035
1999-04-09,30.13,34.83,29.65,,2.07
1999-04-10,,29.4,23.38,,2.105
1999-04-11,,29.5,23.33,,2.105
1999-04-12,32.01,36,31.7,,2.105
1999-04-13,23.68,24.9,25.06,,2.06
1999-04-14,26.35,25.42,27.37,,2.14
1999-04-15,24.73,27.86,25.11,,2.12
1999-04-16,27.68,31.17,29.39,,2.14
1999-04-17,,25.5,24.6,,2.15
1999-04-18,,25.5,24.6,,2.15
1999-04-19,29.12,32.72,31.42,,2.15
1999-04-20,25.5,30,26.09,,2.115
1999-04-21,29.45,36,30.76,,2.18
1999-04-22,28.09,39,31.57,,2.175
1999-04-23,31.21,,34.33,,2.25
1999-04-24,,26.57,,,2.235
1999-04-25,,26.58,,,2.235
1999-04-26,33.1,36,34.04,,2.235
1999-04-27,28.99,29.08,29.02,,2.23
1999-04-28,28.94,30.29,27.79,,2.33
1999-04-29,31.66,30.4,30.01,,2.31
1999-04-30,27.13,26,26.32,,2.34
1999-05-01,,19.05,,,2.27
1999-05-02,,19.17,,,2.27
1999-05-03,26.06,28,27.04,,2.27
1999-05-04,24.55,,26.33,,2.22
1999-05-05,23.77,,26,,2.315
1999-05-06,24.53,33,26.7,,2.365
1999-05-07,26.54,33.43,28.07,,2.335
1999-05-08,,25,,,2.255
1999-05-09,,25,,,2.255
1999-05-10,27.85,35,28.77,,2.255
1999-05-11,29.1,34.63,31.09,,2.26
1999-05-12,25.31,,27.32,,2.29
1999-05-13,23.32,,24.44,,2.19
1999-05-14,23.45,,23.4,,2.21
1999-05-15,,,,,2.275
1999-05-16,,,,,2.275
1999-05-17,24.7,27,26.27,,2.275
1999-05-18,23.33,25.5,24.66,,2.305
1999-05-19,23.87,,26.49,,2.295
1999-05-20,24.06,25.42,24.85,,2.26
1999-05-21,23.8,,23.76,,2.26
1999-05-22,,23.81,17.38,,2.22
1999-05-23,,23.81,17.38,,2.22
1999-05-24,22.23,23.33,20.15,,2.22
1999-05-25,21.17,23,19.21,,2.195
1999-05-26,24.87,23.75,21.76,,2.175
1999-05-27,24.34,22.85,20.47,,2.215
1999-05-28,23.81,22.17,20.63,,2.26
1999-05-29,,22.33,,,2.23
1999-05-30,,22.33,,,2.23
1999-05-31,,,,,2.23
1999-06-01,27.04,30,27.13,,2.275
1999-06-02,25.49,26.5,24.78,,2.345
1999-06-03,27.08,,25.41,,2.35
1999-06-04,28.12,,25.25,,2.36
1999-06-05,,26.38,,,2.32
1999-06-06,,26.38,,,2.32
1999-06-07,60.53,,66.56,,2.32
1999-06-08,185.92,167.5,235,,2.415
1999-06-09,98.85,187.5,129.32,,2.38
1999-06-10,79.59,,82.01,,2.375
1999-06-11,39.99,39.27,39.46,,2.37
1999-06-12,,25.33,,,2.305
1999-06-13,,25.5,,,2.305
1999-06-14,31.88,32.25,29.77,,2.305
1999-06-15,22.57,22,21.06,,2.3
1999-06-16,21.12,21.39,17.58,,2.28
1999-06-17,22.26,20.67,18.03,,2.275
1999-06-18,21.85,,17.3,,2.24
1999-06-19,,,16,,2.235
1999-06-20,,,16,,2.235
1999-06-21,24.13,22.33,21.28,,2.235
1999-06-22,25.93,26.17,25.73,,2.215
1999-06-23,27.63,26.5,27.83,,2.22
1999-06-24,28.73,28.33,28.32,,2.245
1999-06-25,28.06,27.5,27.43,,2.255
1999-06-26,,24,,,2.27
1999-06-27,,24,,,2.27
1999-06-28,62.27,,66.59,,2.27
1999-06-29,30.26,,31,,2.25
1999-06-30,29.35,30,27.66,,2.315
1999-07-01,32.23,34.63,31.4,,2.315
1999-07-02,32.7,35.5,32.12,,2.285
1999-07-03,,39.5,43.68,,2.265
1999-07-04,,39.5,43.68,,2.265
1999-07-05,,,,,2.265
1999-07-06,157.03,,166.13,,2.265
1999-07-07,88.72,,92.21,,2.28
1999-07-08,38.1,43.5,42.84,,2.195
1999-07-09,31.04,,31.95,,2.19
1999-07-10,,24.13,,,2.15
1999-07-11,,24.67,,,2.15
1999-07-12,24.05,28.5,23.86,,2.15
1999-07-13,21.18,22.5,20.21,,2.115
1999-07-14,22.32,22,21.16,,2.135
1999-07-15,28.66,,29.15,,2.15
1999-07-16,42.76,,46.26,,2.13
1999-07-17,,38,,,2.175
1999-07-18,,38,,,2.175
1999-07-19,98.24,113.75,99.55,,2.175
1999-07-20,64.92,70,73.22,,2.185
1999-07-21,64.89,73.4,67.89,,2.23
1999-07-22,144.55,161,158.01,,2.245
1999-07-23,349.14,440,407.11,,2.315
1999-07-24,,77.5,,,2.43
1999-07-25,,77.5,,,2.43
1999-07-26,432.35,500,497.13,,2.43
1999-07-27,512.1,450,568,,2.54
1999-07-28,188.77,200.61,170.5,,2.545
1999-07-29,1554.83,,1689.78,,2.575
1999-07-30,1643.1801,1500,1765.38,,2.665
1999-07-31,,175,230,,2.55
1999-08-01,,175,230,,2.57
1999-08-02,292.1,,277.44,,2.57
1999-08-03,45.11,44.46,41.09,,2.515
1999-08-04,47.7,43.94,40.93,,2.6
1999-08-05,46,42.94,37.65,,2.635
1999-08-06,51.63,49,43.34,,2.655
1999-08-07,,38,30.93,,2.685
1999-08-08,,38.33,32.39,,2.685
1999-08-09,56.7,51.6,46.31,,2.685
1999-08-10,50.41,46.56,42.68,,2.72
1999-08-11,68.16,62.57,57.48,,2.77
1999-08-12,74.17,69.12,64.57,,2.785
1999-08-13,298.82,225,227.26,,2.75
1999-08-14,,64.83,42.5,,2.71
1999-08-15,,64.83,42.5,,2.71
1999-08-16,300.94,225,224.72,,2.71
1999-08-17,132.31,90,128.08,,2.73
1999-08-18,65.98,60,60.95,,2.7
1999-08-19,51.53,46.5,42.12,,2.745
1999-08-20,51.83,56.4,40.34,,2.87
1999-08-21,,,21.5,,2.96
1999-08-22,,,21.5,,2.96
1999-08-23,54.34,47.75,44.99,,2.96
1999-08-24,46.54,40.51,40,,2.95
1999-08-25,34.72,32,28,,3.02
1999-08-26,35.55,36.17,29.6,,3.08
1999-08-27,42.73,39.5,36.22,,2.985
1999-08-28,,28,28,,2.87
1999-08-29,,28,28,,2.87
1999-08-30,45.77,,37.84,,2.87
1999-08-31,38.26,35.38,30.78,,2.845
1999-09-01,36.91,32.83,28.36,,2.875
1999-09-02,32.78,28.75,24.82,,2.715
1999-09-03,32.24,31.67,29.88,,2.56
1999-09-04,,25.67,27.5,,2.465
1999-09-05,,25.67,27.5,,2.465
1999-09-06,,26,,,2.465
1999-09-07,29.8,,24.78,,2.465
1999-09-08,31.59,32.75,26.9,,2.565
1999-09-09,33.95,35.9,29.62,,2.665
1999-09-10,26.51,23.93,22.05,,2.75
1999-09-11,,20.58,,,2.84
1999-09-12,,20.58,,,2.84
1999-09-13,23.38,21.64,18.28,,2.84
1999-09-14,21.76,20,16.74,,2.805
1999-09-15,21.31,20.5,16,,2.645
1999-09-16,22.35,,17.03,,2.53
1999-09-17,22.64,22.2,18.85,,2.485
1999-09-18,,21.5,,,2.46
1999-09-19,,21.5,,,2.46
1999-09-20,20.96,21.5,17.69,,2.46
1999-09-21,20.28,,16.75,,2.495
1999-09-22,19.98,19.75,16.25,,2.305
1999-09-23,20.75,19,17.49,,2.295
1999-09-24,19.55,19.46,16.84,,2.47
1999-09-25,,18.75,,,2.57
1999-09-26,,18.75,,,2.57
1999-09-27,22.32,,20.94,,2.57
1999-09-28,22.14,23.5,19.4,,2.5
1999-09-29,24.07,26,21.46,,2.525
1999-09-30,23.54,,21.71,,2.555
1999-10-01,20.65,22.46,17.75,,2.35
1999-10-02,,17.25,17.25,,2.35
1999-10-03,,17.25,17.25,,2.35
1999-10-04,19.92,,16.49,,2.35
1999-10-05,21.6,22,18.24,,2.485
1999-10-06,21.84,23.26,19.77,,2.45
1999-10-07,20.15,20.88,16.38,,2.465
1999-10-08,22.15,23,18.44,,2.49
1999-10-09,,,,,2.355
1999-10-10,,17.25,17.25,,2.355
1999-10-11,22.62,22.25,20.04,,2.355
1999-10-12,22.86,,20.14,,2.52
1999-10-13,29.39,31.21,27.21,,2.655
1999-10-14,25.12,27.01,22.86,,2.81
1999-10-15,26.89,,23.3,,2.705
1999-10-16,,21.57,,,2.67
1999-10-17,,21.57,,,2.67
1999-10-18,28.05,,25.79,,2.67
1999-10-19,23.52,24,21.24,,2.815
1999-10-20,22.46,21.75,19.56,,2.89
1999-10-21,23.71,,20.29,,2.9
1999-10-22,25.13,25.63,22.29,,2.995
1999-10-23,,23.29,,,3.005
1999-10-24,,23.29,,,3.005
1999-10-25,27.31,25.11,24.52,,3.005
1999-10-26,28.5,28,26.57,,2.975
1999-10-27,26.46,,23.62,,2.965
1999-10-28,26.68,,22.9,,3.02
1999-10-29,26.26,23.25,22.58,,2.995
1999-10-30,,20,18.57,,2.78
1999-10-31,,20,18.57,,2.78
1999-11-01,26.9,25.67,24.14,,2.795
1999-11-02,25.43,24,23.2,,2.73
1999-11-03,28.64,33,26.8,,2.815
1999-11-04,30.4,,29.96,,2.835
1999-11-05,26.58,,23.7,,2.74
1999-11-06,19,22.67,,,2.625
1999-11-07,18,22.67,21.5,,2.625
1999-11-08,24.87,22.83,21.92,,2.625
1999-11-09,21.45,23.5,18.45,,2.59
1999-11-10,21.17,22.5,18.39,,2.44
1999-11-11,20.55,,18.24,,2.395
1999-11-12,20.53,21.8,17.93,,2.395
1999-11-13,19.4,,,,2.135
1999-11-14,19.4,19.5,,,2.135
1999-11-15,21.25,,19.78,,2.135
1999-11-16,22.07,,22.29,,2.31
1999-11-17,21.47,,21.04,,2.23
1999-11-18,23.33,,24.07,,2.24
1999-11-19,23.2,24,24.11,,2.22
1999-11-20,,,18.75,,2.15
1999-11-21,,,18.75,,2.15
1999-11-22,19.9,20.88,19.77,,2.15
1999-11-23,17.39,18,15.89,,2.035
1999-11-24,17.04,17,15.08,,1.99
1999-11-25,,,,,1.935
1999-11-26,,,,,1.935
1999-11-27,,17.75,,,1.935
1999-11-28,,16.58,17.5,,1.935
1999-11-29,21.48,,21.15,,1.935
1999-11-30,23.63,,23.31,,2.205
1999-12-01,25.06,27,26.28,,2.215
1999-12-02,23.02,23.4,23.35,,2.17
1999-12-03,18.91,26,17.53,,2.175
1999-12-04,,18.5,,,2.17
1999-12-05,,18.5,,,2.17
1999-12-06,19.17,21.5,16.77,,2.17
1999-12-07,20.25,,18.3,,2.18
1999-12-08,23.94,25,22.78,,2.165
1999-12-09,23.31,23.5,20.45,,2.23
1999-12-10,20.86,21,18.1,,2.205
1999-12-11,,,,,2.255
1999-12-12,,,,,2.255
1999-12-13,20.27,20,18.66,,2.255
1999-12-14,20.19,20.88,17.83,,2.35
1999-12-15,21.18,,18.72,,2.485
1999-12-16,24.26,26,23.95,,2.565
1999-12-17,25.48,,25.64,,2.53
1999-12-18,22,21,,,2.565
1999-12-19,22,21,,,2.565
1999-12-20,25.56,,25.79,,2.565
1999-12-21,29.16,29,29.33,,2.67
1999-12-22,29.46,31,30.72,,2.595
1999-12-23,21.22,22.75,18.8,,2.45
1999-12-24,,,,,2.425
1999-12-25,,,,,2.425
1999-12-26,,,,,2.425
1999-12-27,18.76,,17.26,,2.425
1999-12-28,18.8,21,17.35,,2.36
1999-12-29,18.4,20.25,17.61,,2.32
1999-12-30,16.43,18.5,14.69,,2.34
1999-12-31,,,,,2.32
2000-01-01,11,15.5,,,2.29
2000-01-02,11,15.5,,,2.29
2000-01-03,18.9,18,18.17,,2.29
2000-01-04,16.89,,15.66,,2.275
2000-01-05,20.84,20.67,19.71,,2.145
2000-01-06,22.14,24.25,21.13,,2.165
2000-01-07,21.2,20.25,19.94,,2.18
2000-01-08,,17,,,2.195
2000-01-09,,17,,,2.195
2000-01-10,18.47,,16.21,,2.195
2000-01-11,17.87,,16.11,,2.195
2000-01-12,17.13,17,15.24,,2.23
2000-01-13,18.02,18.5,16.87,,2.25
2000-01-14,19.84,22,19.88,,2.28
2000-01-15,,,,,2.27
2000-01-16,,,,,2.27
2000-01-17,18.69,,17.57,,2.27
2000-01-18,23.49,,24.89,,2.27
2000-01-19,22.81,26,26.19,,2.345
2000-01-20,25.66,29,29.42,,2.405
2000-01-21,29.49,,33.22,,2.525
2000-01-22,,,19,,2.555
2000-01-23,,,19,,2.555
2000-01-24,29.49,,32.78,,2.555
2000-01-25,30.33,40,33.62,,2.535
2000-01-26,48.89,41,51.28,,2.65
2000-01-27,44.73,55,50.13,,2.73
2000-01-28,35.32,43.5,42.59,,2.745
2000-01-29,,,26,,2.835
2000-01-30,,,,,2.835
2000-01-31,25.73,34.13,26,,2.835
2000-02-01,27.22,,27.06,,2.7
2000-02-02,30.29,39.67,30.9,,2.815
2000-02-03,31.83,37.5,32.09,,2.915
2000-02-04,29.03,35,28.18,,2.855
2000-02-05,,25.25,25,,2.78
2000-02-06,,25.25,25,,2.78
2000-02-07,30.35,,30.64,,2.78
2000-02-08,27.34,,27.24,,2.81
2000-02-09,23.59,23.5,20.3,,2.6
2000-02-10,24.04,,19.28,,2.615
2000-02-11,23.83,23,20.07,,2.64
2000-02-12,,,24.5,,2.65
2000-02-13,,,24.5,,2.65
2000-02-14,26.08,,23.24,,2.65
2000-02-15,26.06,23,23.67,,2.61
2000-02-16,26.28,25.63,25.67,,2.61
2000-02-17,25.79,23,25.12,,2.645
2000-02-18,24.98,22.69,24.1,,2.655
2000-02-19,,20.25,,,2.645
2000-02-20,,20,,,2.645
2000-02-21,24.93,27.25,23.8,,2.645
2000-02-22,23.58,22.63,21.85,,2.645
2000-02-23,23.13,22.5,19.88,,2.545
2000-02-24,22.02,19.63,17.96,,2.5
2000-02-25,21.09,,17.58,,2.515
2000-02-26,,,,,2.515
2000-02-27,,18.5,,,2.515
2000-02-28,22.28,19.83,20.35,,2.515
2000-02-29,23.5,,21.08,,2.605
2000-03-01,23.81,21.58,20.8,,2.66
2000-03-02,24.5,22.5,21.73,,2.71
2000-03-03,25.13,24.67,23.9,,2.8
2000-03-04,,22.5,18.5,,2.725
2000-03-05,,22.5,18.5,,2.725
2000-03-06,25.26,22.5,22.26,,2.725
2000-03-07,23.89,22,19.15,,2.76
2000-03-08,26.1,23.5,20.94,,2.78
2000-03-09,26.41,24.5,21.07,,2.755
2000-03-10,26.86,25.75,22.61,,2.685
2000-03-11,,24,22,,2.76
2000-03-12,,24,22,,2.76
2000-03-13,29.97,29,27.62,,2.76
2000-03-14,32.09,27.75,27.67,,2.8
2000-03-15,30.56,,24.4,,2.83
2000-03-16,28.97,,22.32,,2.76
2000-03-17,30.1,26.75,25.47,,2.835
2000-03-18,,23,,,2.815
2000-03-19,,23,22.5,,2.815
2000-03-20,28.66,25.5,23.03,,2.815
2000-03-21,29.81,,23.64,,2.735
2000-03-22,31.45,28.5,27.59,,2.745
2000-03-23,29.71,25,24.63,,2.785
2000-03-24,32.11,,26.98,,2.75
2000-03-25,,23.25,,,2.815
2000-03-26,,23.25,,,2.815
2000-03-27,31.85,26,26.12,,2.815
2000-03-28,32,27,28.02,,2.815
2000-03-29,33.03,31.67,29.33,,2.925
2000-03-30,33.3,29.17,27.75,,2.92
2000-03-31,32.17,28,23.9,,2.83
2000-04-01,,21.2,,,2.875
2000-04-02,,21.2,,,2.875
2000-04-03,36.86,28,26.14,,2.875
2000-04-04,39.56,29,25.81,,2.915
2000-04-05,36.15,,27.06,,2.87
2000-04-06,31.14,30,27.73,,2.86
2000-04-07,29.85,26,23.78,,2.91
2000-04-08,,,24,,2.97
2000-04-09,,,23,,2.97
2000-04-10,32.26,26,27.24,,2.97
2000-04-11,33.03,,28.42,,2.995
2000-04-12,31.68,27.5,27.89,,2.975
2000-04-13,30.86,26.92,26.26,,2.975
2000-04-14,32.65,,27.4,,3.05
2000-04-15,,,,,3.06
2000-04-16,,,,,3.06
2000-04-17,33.01,29,29.33,,3.06
2000-04-18,36.17,,29.47,,3.125
2000-04-19,50.28,41,38.76,,3.145
2000-04-20,49.85,,36.5,,3.13
2000-04-21,37.38,29.5,,,3.075
2000-04-22,,23,,,3.075
2000-04-23,,23,,,3.075
2000-04-24,40.61,36.5,34.14,,3.075
2000-04-25,34.75,,23.2,,3.125
2000-04-26,34.36,30,24.16,,3.155
2000-04-27,30.96,26.5,24.04,,3.12
2000-04-28,30.6,27.25,24.52,,3.055
2000-04-29,,20.67,18,,3.09
2000-04-30,,,18,,3.09
2000-05-01,32.44,27.5,25.32,,3.12
2000-05-02,32.04,28,24.96,,3.16
2000-05-03,31.61,29,27.16,,3.205
2000-05-04,33.53,30.35,31.83,,3.18
2000-05-05,50.76,48.5,53.24,,3.085
2000-05-06,,35.82,,,3.11
2000-05-07,,35.82,,,3.11
2000-05-08,54.38,57,56.05,,3.11
2000-05-09,143.52,115,104.29,,3.12
2000-05-10,96.91,85,76.27,,3.25
2000-05-11,58.27,51.33,48.82,,3.195
2000-05-12,80.67,78,70.92,,3.365
2000-05-13,,,,,3.35
2000-05-14,,,,,3.35
2000-05-15,44.71,,33.31,,3.35
2000-05-16,32.66,27.68,24.38,,3.365
2000-05-17,34.27,30.2,26.65,,3.455
2000-05-18,54.46,53.67,48.44,,3.495
2000-05-19,49.66,44.33,40.44,,3.735
2000-05-20,,32,,,3.765
2000-05-21,,29.8,,,3.765
2000-05-22,51.18,48,44.99,,3.765
2000-05-23,51.32,50.5,42.84,,3.975
2000-05-24,64.26,66.17,57.27,,3.845
2000-05-25,52.69,47,40.92,,3.935
2000-05-26,65.78,49.05,46.21,,4.175
2000-05-27,,,,,4.285
2000-05-28,,,,,4.285
2000-05-29,,,32,,4.285
2000-05-30,59.78,,37.21,,4.285
2000-05-31,53,43,43.63,,4.345
2000-06-01,81.01,,67.81,,4.5
2000-06-02,70.22,66.33,62.86,,4.4
2000-06-03,,,,,4.2
2000-06-04,,28,,,4.2
2000-06-05,43.76,40,29.45,,4.2
2000-06-06,39.3,35,25.32,,4.17
2000-06-07,39.66,31.5,24.4,,4.49
2000-06-08,46.8,40,30.3,,4.225
2000-06-09,56.04,52.5,56.14,,3.955
2000-06-10,,35,30,,4.145
2000-06-11,,35,30,,4.145
2000-06-12,65.39,,67.47,,4.145
2000-06-13,53.2,49,50.63,,4.195
2000-06-14,52.63,53.17,49.01,,4.28
2000-06-15,46.05,49.5,43.55,,4.17
2000-06-16,44.06,52.5,44.98,,4.375
2000-06-17,,31.67,,,4.45
2000-06-18,,31.67,,,4.45
2000-06-19,44.03,56,38.64,,4.45
2000-06-20,43.42,48,37.19,,4.39
2000-06-21,44,50,34.86,,4.04
2000-06-22,52.5,59.17,46.7,,4.13
2000-06-23,57.34,56,52.85,,4.425
2000-06-24,,43.13,,,4.415
2000-06-25,,43.13,,,4.415
2000-06-26,52.6,51,52.27,,4.415
2000-06-27,53.25,54.63,47.32,,4.365
2000-06-28,47.75,42,33.94,,4.555
2000-06-29,43.93,35,27.39,,4.475
2000-06-30,42.44,35,25.84,,4.265
2000-07-01,,35.5,,,4.335
2000-07-02,,35.67,28,,4.335
2000-07-03,63.68,,64.78,,4.335
2000-07-04,,,,,4.335
2000-07-05,55.02,,63.92,,4.335
2000-07-06,52.56,40,43.19,,4.24
2000-07-07,54.84,,45.74,,4.03
2000-07-08,,,41.5,,3.995
2000-07-09,,,41.5,,3.995
2000-07-10,93.07,,97.89,,3.995
2000-07-11,64.5,75,60.9,,4.18
2000-07-12,73.28,82.75,57.3,,4.165
2000-07-13,90.41,69.8,54.6,,4.285
2000-07-14,80.31,59,51.8,,4.07
2000-07-15,,46.93,32,,4.18
2000-07-16,,46.93,32,,4.18
2000-07-17,108.69,116,88.76,,4.18
2000-07-18,159.37,75,96.48,,4.135
2000-07-19,68.93,,51.59,,3.99
2000-07-20,55.12,55,37.92,,4.065
2000-07-21,55.85,48.33,29.15,,3.865
2000-07-22,,36.2,,,3.88
2000-07-23,,36.5,,,3.88
2000-07-24,53.42,90,28.73,,3.88
2000-07-25,44.76,41.5,24.4,,3.74
2000-07-26,41.93,31.08,24.22,,3.635
2000-07-27,45.59,29.5,31.34,,3.58
2000-07-28,49.28,30.5,44.11,,3.755
2000-07-29,,31.53,28,,3.885
2000-07-30,,31.53,28,,3.885
2000-07-31,51.85,65,50.83,,3.885
2000-08-01,49.19,48.5,47.27,,3.76
2000-08-02,48.47,,47.75,,3.74
2000-08-03,48.92,76.2,50.99,,4.04
2000-08-04,48.01,46.5,46.33,,4.22
2000-08-05,,36,,,4.25
2000-08-06,,36,,,4.25
2000-08-07,63.57,70,66.92,,4.25
2000-08-08,94,95,99.3,,4.385
2000-08-09,121.51,,118.18,,4.45
2000-08-10,84.02,65,70.75,,4.475
2000-08-11,74.92,,48.3,,4.43
2000-08-12,,33.7,26,,4.445
2000-08-13,,33.7,26,,4.445
2000-08-14,84.94,,63.11,,4.445
2000-08-15,83.64,,59.65,,4.43
2000-08-16,65.66,,48.27,,4.24
2000-08-17,74.8,58,52.01,,4.235
2000-08-18,86.37,54,49.96,,4.365
2000-08-19,,29.13,27.5,,4.385
2000-08-20,,29.13,27.5,,4.385
2000-08-21,63.01,38.5,37.05,,4.385
2000-08-22,53.67,35.5,31.43,,4.575
2000-08-23,63.68,33.17,30.16,,4.785
2000-08-24,59.85,,36.57,,4.67
2000-08-25,71.73,53.25,48.73,,4.465
2000-08-26,,38,,,4.53
2000-08-27,,37.22,,,4.53
2000-08-28,78.45,63.6,61.73,,4.53
2000-08-29,107.57,79.11,70.43,,4.615
2000-08-30,77.55,53.67,59.35,,4.62
2000-08-31,87.21,65,66.95,,4.595
2000-09-01,115.77,67.5,66.68,,4.76
2000-09-02,,34.88,34.56,,4.7
2000-09-03,,31.5,34.56,,4.7
2000-09-04,,31.5,34.56,,4.7
2000-09-05,70.02,45,35.99,,4.7
2000-09-06,41.03,25.89,20.41,,4.805
2000-09-07,34.55,23,18.28,,4.895
2000-09-08,33.5,22.14,18.61,,4.855
2000-09-09,,20,25,,4.745
2000-09-10,,20,25,,4.745
2000-09-11,38.58,30,32.27,,4.745
2000-09-12,40.54,45,31.37,,4.865
2000-09-13,34.69,38.5,26.54,,4.975
2000-09-14,37.49,36.5,25.99,,5.065
2000-09-15,37.78,31.02,21.56,,5.1
2000-09-16,,27,,,5.29
2000-09-17,,27,,,5.29
2000-09-18,38.91,29,19.77,,5.29
2000-09-19,41.39,30.73,25.43,,5.065
2000-09-20,38.35,39.25,28.31,,5.22
2000-09-21,38.07,30,18.73,,5.245
2000-09-22,42.01,32.17,19.29,,5.16
2000-09-23,,24.5,,,5.165
2000-09-24,,24.5,,,5.165
2000-09-25,43.79,28,20.19,,5.165
2000-09-26,38.19,24.29,17.45,,5.105
2000-09-27,33.81,22.38,15.52,,5.275
2000-09-28,26.02,24.6,17.53,,5.35
2000-09-29,36.31,23.77,20.52,,5.205
2000-09-30,35,20.83,,,5.15
2000-10-01,35,20.83,,,5.105
2000-10-02,44.01,26.48,26.48,,5.105
2000-10-03,47.32,43.2,41.39,,5.235
2000-10-04,43.95,42.2,37.47,,5.235
2000-10-05,40.63,31.33,28.95,,5.215
2000-10-06,46.81,44,33.13,,5.25
2000-10-07,,35,,,5.06
2000-10-08,,35,,,5.06
2000-10-09,47.97,40,33.25,,5.06
2000-10-10,39.65,38.17,25.68,,5.055
2000-10-11,36.76,35.87,23.83,,5.08
2000-10-12,34.9,31,22.87,,5.16
2000-10-13,36.72,32,25.38,,5.545
2000-10-14,,34,,,5.43
2000-10-15,,34,,,5.43
2000-10-16,37.52,35.75,25.27,,5.43
2000-10-17,42.03,42,35.97,,5.34
