,NEW YORK CITY CPARK,,,CHICAGO,,,PHILADELPHIA,,,DETROIT,,,INDIANAPOLIS,,,BALTIMORE,,,COLUMBUS OH,,,MILWAUKEE,,,WASHINGTON DC,,,BOSTON,
1997-10-30,0,109.5,,0,158,,0,110,,0,164,,0,144,,0,123.5,,0,127,,0,162,,0,101,,0,137
1997-11-06,0,78.5,,0,145.5,,0,95,,0,146.5,,0,144.5,,0,120.5,,0,141.5,,0,148.5,,0,97,,0,86
1997-11-13,0,135.5,,0,203.5,,0,133,,0,190.5,,0,189,,0,137.5,,0,178.5,,0,219,,0,121,,0,148.5
1997-11-20,0,192,,0,250,,0,190.5,,0,247.5,,0,235,,0,191.5,,0,220.5,,0,246.5,,0,174,,0,206
1997-11-27,0,160.5,,0,207.5,,0,158,,0,200.5,,0,186,,0,156.5,,0,181,,0,226.5,,0,142.5,,0,191.5
1997-12-04,0,152,,0,176,,0,146.5,,0,184,,0,145,,0,136.5,,0,138,,0,198.5,,0,121,,0,190
1997-12-11,0,196.5,,0,241.5,,0,192,,0,226,,0,246.5,,0,191,,0,233.5,,0,243,,0,176.5,,0,205
1997-12-18,0,184,,0,219,,0,187.5,,0,230.5,,0,216,,0,187.5,,0,222,,0,218.5,,0,172,,0,208
1997-12-25,0,180.5,,0,216,,0,173.5,,0,208,,0,183,,0,173,,0,169.5,,0,234,,0,153.5,,0,222
1998-01-01,0,218.5,,0,283.5,,0,217.5,,0,269,,0,259,,0,226.5,,0,256,,0,292,,0,202.5,,0,231.5
1998-01-08,0,108.5,,0,158.5,,0,91,,0,140,,0,99.5,,0,81.5,,0,91,,0,191.5,,0,77,,0,156
1998-01-15,0,173.5,,0,327,,0,176.5,,0,267,,0,246.5,,0,181,,0,211,,0,354,,0,161,,0,225
1998-01-22,0,213.5,,0,276.5,,0,200,,0,265,,0,241.5,,0,207,,0,249,,0,273,,0,190.5,,0,250.5
1998-01-29,0,188,,0,236.5,,0,185,,0,225.5,,0,196.5,,0,185,,0,196.5,,0,256.5,,0,171,,0,225.5
1998-02-05,0,175.5,,0,220,,0,183.5,,0,224.5,,0,204.5,,0,187,,0,211,,0,239,,0,178.5,,0,209
1998-02-12,0,172,,0,219.5,,0,169,,0,208,,0,184.5,,0,169.5,,0,183,,0,244,,0,159.5,,0,216
1998-02-19,0,200.5,,0,178,,0,174.5,,0,200,,0,169,,0,171.5,,0,166,,0,197.5,,0,157,,0,250.5
1998-02-26,0,147.5,,0,153.5,,0,148.5,,0,184.5,,0,146.5,,0,148,,0,165.5,,0,191,,0,134,,0,173
1998-03-05,0,131.5,,0,201,,0,134,,0,181,,0,193,,0,146.5,,0,166,,0,214.5,,0,129,,0,164
1998-03-12,0,184.5,,0,269.5,,0,170,,0,238,,0,231.5,,0,170.5,,0,208,,0,279,,0,162,,0,200.5
1998-03-19,0,197.5,,0,222,,0,185,,0,227.5,,0,174,,0,184.5,,0,179.5,,0,251.5,,0,170.5,,0,223.5
1998-03-26,0,164.5,,2.5,154,,0,164.5,,0,181.5,,2.5,158,,0,164,,0,162.5,,1,166.5,,0,151,,0,195.5
1998-04-02,34,12.5,,9,60.5,,21.5,2.5,,7,41,,11,38,,41,1.5,,25.5,24.5,,1.5,93,,29.5,0,,15,42.5
1998-04-09,0,111.5,,0,143,,0,105,,0,140,,0,96.5,,0,103,,0,110,,0,170.5,,0,85.5,,0,134
1998-04-16,0,82,,0,81,,0,67,,0,78.5,,0,69,,3.5,73.5,,0,70.5,,0,119.5,,2.5,56.5,,0,126.5
1998-04-23,0,63,,0,98.5,,0.5,61.5,,0,87.5,,0,97,,1.5,65,,0,92.5,,0,110.5,,1.5,55.5,,0,83.5
1998-04-30,0,62,,0,91.5,,0,58.5,,0,100.5,,0,57.5,,0,59,,0,61.5,,0,132,,0,65,,2,88
1998-05-07,0,33,,2.5,43.5,,1,10,,1.5,25,,0,36.5,,0,18,,0,31,,0,80,,0,13.5,,0,62.5
1998-05-14,0,64.5,,5.5,24.5,,0,55,,6.5,16.5,,16,5.5,,0,38.5,,16,6,,0,59.5,,0,32.5,,0,108.5
1998-05-21,33.5,2.5,,44.5,1.5,,52.5,0,,52.5,4,,55,0,,58.5,0,,51.5,0,,38.5,15.5,,70,0,,8,19
1998-05-28,22.5,6,,11.5,23,,22,7.5,,9,28,,14.5,10,,16.5,9,,13.5,5,,8,44,,20.5,6.5,,15.5,5
1998-06-04,31.5,9,,20.5,24.5,,42.5,2.5,,22,28.5,,41.5,8,,40.5,1,,45.5,9,,2.5,45.5,,57,0,,29,16.5
1998-06-11,0.5,20,,5.5,47,,2,12.5,,0,56,,19,38.5,,0,22,,12,34.5,,0,66,,1.5,12,,3,24
1998-06-18,31.5,2,,43.5,0,,52.5,0,,47,0,,42.5,0,,56.5,0,,52,0,,23,1,,65,0,,4.5,20.5
1998-06-25,73,0,,86.5,0,,88,0,,99,0,,86,0,,91.5,0,,92,0,,80,0,,96,0,,25,5
1998-07-02,62,0,,76,0,,79,0,,70.5,0,,91,0,,88,0,,89,0,,62,0,,90.5,0,,35.5,3
1998-07-09,53.5,0,,60,0,,60,0,,53.5,0,,74,0,,55,0,,70.5,0,,34,0,,78,0,,36.5,0
1998-07-16,77,0,,68.5,0,,78,0,,61,0,,66.5,0,,65.5,0,,61.5,0,,57.5,0,,85,0,,71.5,0
1998-07-23,111.5,0,,90.5,0,,122,0,,81,0,,94,0,,115,0,,93,0,,76,0,,128,0,,95,0
1998-07-30,93,0,,57,0,,101,0,,45,0,,46.5,0,,95,0,,58.5,0,,46,0,,108,0,,72.5,0
1998-08-06,82.5,0,,60.5,0,,73.5,0,,43,0,,69,0,,50.5,0,,70,0,,43.5,0,,76,0,,44.5,0
1998-08-13,84,0,,60.5,0,,96,0,,74.5,0,,73,0,,80.5,0,,87.5,0,,53.5,0,,105.5,0,,56,0
1998-08-20,60,0,,43.5,0,,69.5,0,,39,2.5,,63.5,0,,61,1.5,,64.5,0,,41.5,0,,82,0,,40,2
1998-08-27,96,0,,78.5,0,,111.5,0,,74,0,,81,0,,100.5,0,,88,0,,70,0,,121.5,0,,70,0
1998-09-03,75,0,,30,0,,86,0,,32.5,0,,53.5,0,,75,0,,59,0,,30,1,,111.5,0,,28.75,0
1998-09-10,42,5.5,,25,7.625,,46,2,,23,15,,43.5,5.5,,43,4,,39.5,11.5,,27,9,,65,0.5,,27,5
1998-09-17,62.5,0,,44,0,,74.5,0,,48,0,,59.5,0,,83.5,0,,73.5,0,,38,1.5,,102,0,,21.5,3
1998-09-24,31,12.5,,20,25,,41,10,,29,25.5,,41.5,9,,44.5,16.5,,61.25,12,,16,28.5,,59.5,4.5,,12,24.5
1998-10-01,23.5,4.5,,23,18,,33,3,,28,16,,50,5.5,,32.5,7,,43.5,8,,21.5,23,,56,0,,13.5,10
1998-10-08,0.5,55,,0,53,,2,42.5,,5.5,56.5,,10.5,46,,0,47,,10,47.5,,0,67,,1.5,29.5,,0,75.5
1998-10-15,0,35.5,,0,80,,0,29,,0,85,,0,64.5,,0,47.5,,0,72,,0,98.5,,0,28.5,,0,69.5
1998-10-22,0,53.5,,4,75,,0,52,,3,89,,4.5,72.5,,0,70.5,,0,69,,1.5,84,,2.5,39,,0.5,69.5
1998-10-29,0,57.5,,0,65.5,,0,62.5,,0,84.5,,0,65,,0,74,,0,83.5,,0,60,,0,43.5,,0,85
1998-11-05,0,124.5,,0,119,,0,122.5,,0,148.5,,0,116.5,,0,139.5,,0,123.5,,0,139.5,,0,107.5,,0,126.5
1998-11-12,0,121,,0,170.5,,0,117.5,,0,147.5,,0,159.5,,0,137,,0,146.5,,0,180.5,,0,110.5,,0,151.5
1998-11-19,0,116.5,,0,138,,0,113,,0,156,,0,124,,0,127,,0,130,,0,160,,0,92.5,,0,150.5
1998-11-26,0,120,,0,147.5,,0,118.5,,0,157,,0,150,,0,134.5,,0,147.5,,0,153.5,,0,106.5,,0,134.5
1998-12-03,0,79,,0,78,,0,97.5,,0,98.5,,0,86,,0,105,,0,84.5,,0,87.5,,0,79,,0,116.5
1998-12-10,1.5,76.5,,0,136.5,,0,78.5,,0,126.5,,0.5,109,,0,68,,2.5,104,,0,166,,4.5,50,,0,119
1998-12-17,0,159,,0,192.5,,0,169.5,,0,203,,0,198,,0,180.5,,0,198,,0,201.5,,0,158,,0,180.5
1998-12-24,0,184.5,,0,278.5,,0,180,,0,262,,0,248,,0,185.5,,0,225.5,,0,298,,0,171.5,,0,212.5
1998-12-31,0,234,,0,298.5,,0,247.5,,0,290.5,,0,289,,0,265,,0,270,,0,319.5,,0,228,,0,249
1999-01-07,0,278.5,,0,392,,0,269,,0,368.5,,0,363.5,,0,277.5,,0,338.5,,0,399,,0,259.5,,0,293.5
1999-01-14,0,249,,0,367,,0,240.5,,0,383.5,,0,322,,0,236.5,,0,291.5,,0,388.5,,0,216,,0,267
1999-01-21,0,172.5,,0,252.5,,0,173,,0,257,,0,207,,0,184.5,,0,197.5,,0,266.5,,0,159,,0,201
1999-01-28,0,161,,0,211,,0,149,,0,195,,0,158,,0,134,,0,137.5,,0,232.5,,0,120.5,,0,201.5
1999-02-04,0,184.5,,0,204.5,,0,194.5,,0,216.5,,0,190.5,,0,193.5,,0,189.5,,0,219,,0,164,,0,247.5
1999-02-11,0,167,,0,178.5,,0,179.5,,0,194,,0,136.5,,0,174.5,,0,151,,0,197,,0,139,,0,212
1999-02-18,0,178,,0,237,,0,176.5,,0,219,,0,216,,0,172.5,,0,200.5,,0,249.5,,0,150.5,,0,209
1999-02-25,0,243.5,,0,260.5,,0,235,,0,276.5,,0,242.5,,0,246.5,,0,253.5,,0,275.5,,0,229,,0,265
1999-03-04,0,154.5,,0,205,,0,157,,0,228,,0,184,,0,163.5,,0,197.5,,0,220,,0,145.5,,0,177.5
1999-03-11,0,227,,0,265.5,,0,220.5,,0,289.5,,0,240.5,,0,225,,0,252.5,,0,275.5,,0,209.5,,0,257
1999-03-18,0,159,,0,209,,0,159.5,,0,206,,0,185,,0,149.5,,0,193,,0,209.5,,0,137.5,,0,172
1999-03-25,0,142,,0,202.5,,0,140.5,,0,195.5,,0,182.5,,0,154,,0,179,,0,207.5,,0,132,,0,160
1999-04-01,0,91,,0,117,,0,106.5,,0,119,,0,109,,0,113.5,,0,115.5,,0,126,,0,88.5,,0,128.5
1999-04-08,3,69,,0,60.5,,0,56,,0,66.5,,0.5,33.5,,0,62,,0.5,27,,0,94,,2.5,34,,0,114.5
1999-04-15,0,99,,0,125.5,,0,93.5,,0,126.5,,0,95,,0,97.5,,0,90,,0,153,,0,78.5,,0,126.5
1999-04-22,0,99,,0,138.5,,0,100.5,,0,122.5,,4,98,,0,98,,3,102,,0,160.5,,0.5,74.5,,0,100
1999-04-29,0,70,,0,116.5,,0,74.5,,0,101,,0,64.5,,0,80,,0,73.5,,0,132,,0,54.5,,0,102
1999-05-06,0,47,,6.5,40,,2.5,47.5,,1,21,,8,20.5,,0,48,,10,14.5,,0,62.5,,1,33.5,,0,93
1999-05-13,0,26,,2,60,,3.5,17.5,,0.5,45,,14.5,23.5,,6.5,8,,11,17.5,,0,99.5,,23,0,,0,52.5
1999-05-20,0,30.5,,7,27,,0,21,,15.5,19,,16,12.5,,5.5,24.5,,19,15.5,,1.5,49,,13.5,11.5,,0,53
1999-05-27,4,12,,1,41.5,,8,3.5,,1.5,43,,6.5,37.5,,12,5.5,,2.5,31,,1,48.5,,29,0,,0,32
1999-06-03,76.5,0,,33.5,8.5,,65,0,,29.5,5,,33,0,,61,0,,42.5,0,,27,25.5,,79.5,0,,38.5,7
1999-06-10,61,0,,82,1,,61.5,0,,75,5.5,,93,0,,55,0,,91.5,0,,66,8.5,,91,0,,46,6.5
1999-06-17,26,3,,23,19.5,,41,0,,41.5,20.5,,48,7,,34,1,,58.5,7.5,,19,37.5,,50.5,0.5,,18.5,19
1999-06-24,37,1.5,,41.5,6,,26,3,,34.5,3.5,,52,2.5,,9,8,,49,3,,30,7.5,,25,3,,34.5,5
1999-07-01,98,0,,58.5,0,,90.5,0,,55.5,0,,73.5,0,,86,0,,87.5,0,,38,3,,102.5,0,,86.5,0
1999-07-08,141.5,0,,104.5,0,,137,0,,88.5,0,,101,0,,132,0,,113.5,0,,99,0,,151,0,,106,0
1999-07-15,58.5,0,,41,1,,61.5,0,,49.5,0,,57,0,,59,0,,58.5,0,,46,0.5,,80.5,0,,30,2
1999-07-22,127,0,,98,0,,115,0,,88,0,,109,0,,110,0,,119,0,,67,0,,131.5,0,,91,0
1999-07-29,138.5,0,,116,0,,134,0,,93,0,,119,0,,115,0,,121,0,,105,0,,134.5,0,,77.5,0
1999-08-05,115,0,,80.5,0,,125,0,,71,0,,89.5,0,,101,0,,100,0,,60.5,0,,133,0,,77,0
1999-08-12,79.5,0,,45.5,0,,96.5,0,,33.5,2,,59.5,0,,76.5,0,,62.5,0,,29,6.5,,113.5,0,,38.5,0
1999-08-19,90,0,,30.5,1,,112,0,,37,0,,50,0,,100,0,,62.5,0,,22,2.5,,127,0,,63,0
1999-08-26,41.5,3.5,,26.5,0,,50.5,0,,38,0,,38,0,,53.5,0,,47,0,,26,0.5,,76,0,,24,5.5
1999-09-02,50.5,0,,41,3,,59,0,,34,1.5,,55,0,,50.5,0.5,,40.5,0.5,,38,1,,64.5,0,,33.5,3
1999-09-09,73.5,0,,43,3.5,,88.5,0,,59,0,,59.5,0,,69,0,,73.5,0,,34.5,6,,84,0,,70.5,0
1999-09-16,44,0,,2.5,33.5,,38.5,0,,8,23,,15.5,18.5,,22,0,,17.5,6.5,,5,31,,41,0,,24,0
1999-09-23,4.5,19.5,,0.5,40.5,,2,21.5,,1,37,,5,33.5,,0.5,31,,1,33,,8,38.5,,5,19.5,,0,23
1999-09-30,20,4,,7.5,36.5,,23.5,2,,22,26,,33.5,21,,21,8,,27,9,,11,42,,29,4.5,,2,20
1999-10-07,3,55.5,,0,107.5,,4,53,,0,111,,0,63.5,,0,57.5,,0,56,,0,110,,3,40.5,,0,79
1999-10-14,0,39,,1,51.5,,0,39.5,,0.5,68,,0,39,,0,55,,0,34.5,,0,52,,2,34.5,,0,61
1999-10-21,0,77.5,,0,100.5,,0,68,,0.5,99.5,,1.5,97.5,,0,88,,0,86,,0,97,,0,65,,0,92
1999-10-28,0,95.5,,0,108,,0,99.5,,0,128.5,,0,102,,0,116.5,,0,114,,0,135.5,,0,92.5,,0,111.5
1999-11-04,0,52.5,,1,88,,0,62.5,,0,84.5,,1.5,71.5,,0,82,,0,80.5,,0,95,,0,61,,0,76
1999-11-11,0,89,,1.5,90.5,,0,84.5,,0,113.5,,0,63.5,,0,91.5,,0,83.5,,1,97.5,,0,69,,0,127
1999-11-18,0,151,,0,134.5,,0,146.5,,0,160.5,,0,129,,0,140.5,,0,153,,0,136.5,,0,114.5,,0,169
1999-11-25,0,56,,0,145.5,,0,60.5,,0,105,,0,106,,0,69,,0,80.5,,0,140,,0,47.5,,0,66
1999-12-02,0,156.5,,0,197.5,,0,152,,0,202.5,,0,178,,0,160.5,,0,203,,0,199.5,,0,138.5,,0,164
1999-12-09,0,108.5,,0,173,,0,119.5,,0,156.5,,0,141.5,,0,129,,0,136.5,,0,178.5,,0,110.5,,0,133.5
1999-12-16,0,152.5,,0,224,,0,155.5,,0,200,,0,189.5,,0,162.5,,0,190,,0,232.5,,0,141,,0,161
1999-12-23,0,181,,0,332,,0,178.5,,0,281,,0,257.5,,0,189.5,,0,243,,0,336.5,,0,172,,0,202.5
1999-12-30,0,245,,0,285,,0,238,,0,292,,0,274.5,,0,236.5,,0,281,,0,282.5,,0,217,,0,263.5
2000-01-06,0,139.5,,0,216.5,,0,139,,0,214,,0,172.5,,0,136,,0,162.5,,0,236,,0,106,,0,174
2000-01-13,0,166.5,,0,223.5,,0,167.5,,0,229.5,,0,194.5,,0,165,,0,208.5,,0,248,,0,144.5,,0,185
2000-01-20,0,310.5,,0,294,,0,284,,0,316.5,,0,263.5,,0,267.5,,0,283,,0,295.5,,0,247.5,,0,363.5
2000-01-27,0,299,,0,360,,0,292,,0,368.5,,0,370.5,,0,294,,0,375,,0,367,,0,274.5,,0,324.5
2000-02-03,0,269,,0,272.5,,0,273.5,,0,292.5,,0,294.5,,0,290,,0,289.5,,0,286.5,,0,250,,0,277.5
2000-02-10,0,223.5,,0,264,,0,233.5,,0,274,,0,228.5,,0,228.5,,0,245,,0,271.5,,0,193,,0,249.5
2000-02-17,0,196.5,,0,266,,0,201,,0,278,,0,216,,0,188.5,,0,218.5,,0,278.5,,0,163.5,,0,215.5
2000-02-24,0,149.5,,0,148,,0,149.5,,0,164.5,,0,112.5,,0,142.5,,0,132.5,,0,165,,0,116,,0,174
2000-03-02,0,138.5,,0,124,,0,113.5,,0,133.5,,0,104,,0,112,,0,99.5,,0,143.5,,0,85.5,,0,151
2000-03-09,0,114.5,,2.5,96.5,,0,104,,3,114.5,,2,88.5,,2.5,98,,0,100.5,,1,116,,3,75.5,,0,136.5
2000-03-16,0,124,,0,196,,0,116,,0,194,,0,173.5,,0,104.5,,0,172,,0,212.5,,0,83,,0,153
2000-03-23,0,172,,0,154,,0,164,,0,168,,0,136.5,,0,159.5,,0,149.5,,0,169.5,,0,150,,0,213.5
2000-03-30,0,79.5,,0,128.5,,0,87,,0,93.5,,0,104.5,,0,95.5,,0,109,,0,139,,0,64.5,,0,105.5
2000-04-06,0,79,,0,122,,0,79.5,,0,120,,0,105,,2,79.5,,0,108.5,,0,132,,2,55,,0,103.5
2000-04-13,0,122.5,,0,177,,0,105.5,,0,185.5,,0,144,,0,107.5,,0,149.5,,0,190,,0,84.5,,0,125
2000-04-20,0,90,,0,104,,3,80.5,,0,86.5,,0,58.5,,4,76,,1.5,49,,0,140.5,,3,63,,0,121
2000-04-27,0,118,,0,111.5,,0,100,,0,103.5,,0,94,,0,100,,0,100,,0,125,,0,81,,0,150.5
2000-05-04,0,52,,7,58.5,,0,55.5,,1,64.5,,4,36,,0,55,,4,38,,6,83,,0,26,,0,93
2000-05-11,66.5,2.5,,36,16,,57.5,1,,45.5,16,,37,5,,64.5,2,,40.5,6.5,,32,24,,74,0,,14.5,41.5
2000-05-18,5,15,,7.5,50.5,,20.5,14,,7,49.5,,16.5,34,,26.5,19,,20.5,32,,0,85.5,,42.5,7.5,,0,48
2000-05-25,4.5,56.5,,8.5,39,,7.5,43.5,,3,41,,12.5,24,,7.5,26,,9.5,16.5,,4.5,54,,17.5,12,,0,80
2000-06-01,9.5,20,,9,20,,7,21.5,,17,21,,24,6.5,,5.5,28.5,,20.5,11.5,,4.5,51.5,,13.5,18,,4.5,30
2000-06-08,23,15,,1,42.5,,22,9.5,,9.5,30.5,,12,19,,20,8.5,,16,22,,13,52.5,,28.5,2.5,,12,34.5
2000-06-15,36.5,17,,47,8.5,,60,7.5,,55,1,,81,0,,55,0,,78.5,0,,31,18.5,,70.5,0,,14.5,41.5
2000-06-22,60,0,,26.5,5.5,,69.5,0,,37,2.5,,40,0,,67.5,0,,48,0,,26,10,,76,0,,51,1
2000-06-29,77.5,0,,32,3,,80,0,,41,0,,54,0,,78,0,,55.5,0,,25,4.5,,89.5,0,,47,0
2000-07-06,58,0,,38,0,,56.5,0,,33,0,,53.5,0,,48,0,,41,0,,21,4,,65,0,,45,0
2000-07-13,64,0,,56.5,0,,69,0,,28,0,,69.5,0,,53.5,0,,57,0,,38.5,1,,67.5,0,,48.5,0
2000-07-20,44,0,,43,2.5,,50,0,,35.5,0,,48,0,,50.5,0,,44.5,1.5,,28,8.5,,63.5,0,,27,3.5
2000-07-27,34,0,,25.5,5,,47.5,0,,27.5,1.5,,33.5,0,,35.5,0,,42.5,0,,24,11,,48,0,,24.5,3.5
2000-08-03,43.5,0,,46.5,2,,85.5,0,,50.5,0,,57.5,0,,74,0,,66.5,0,,32.5,1,,87.5,0,,25.5,2.5
2000-08-10,85.5,0,,61,0,,92,0,,45,0,,66.5,0,,80.5,0,,44,0,,58.5,0,,83,0,,79.5,0
2000-08-17,35.5,0,,54.5,0,,48.5,0,,39.5,3.5,,61.5,0,,57,0,,39.5,2,,38.5,1.5,,66,0,,22,1
2000-08-24,20,0,,30.5,1,,26.5,0,,24.5,11,,43.5,0,,25,1,,25.5,1.5,,19.5,14.5,,45,0,,16,1.5
2000-08-31,60,0,,67.5,0,,70,0,,56,0,,59.5,0,,61,0,,52,0,,50.5,0,,70.5,0,,29.5,15.5
2000-09-07,41,12,,49.5,6.5,,43,8.5,,35.5,12.5,,53.5,2.5,,40.5,12.5,,41.5,6.5,,37.5,12,,44,3,,18.5,21
2000-09-14,49,0,,42,5,,50.5,0,,29.5,10,,39,4,,46,1.5,,45,0,,25.5,7,,64,0,,29.5,0
2000-09-21,15,9.5,,15.5,37.5,,11.5,9.5,,6.5,37,,6.5,34.5,,5,19.5,,8.5,33,,10,44.5,,11,12.5,,19,9.5
2000-09-28,1.5,39.5,,0,64,,3.5,38.5,,4,69.5,,6,50.5,,6.5,45,,5,53,,0,85,,11,32.5,,0,52
2000-10-05,5,34,,10.5,33,,8.5,25.5,,4,45,,9.5,17,,13,32,,12.5,19.5,,4.5,41.5,,19.5,19.5,,1.5,55
2000-10-12,0,87,,0,132.5,,1.5,85.5,,0,123,,0,138,,2,92,,0,125.5,,0,127,,4.5,74,,0,98.5
2000-10-19,7,38,,3,53,,0.5,26.5,,0,47.5,,0,43.5,,0.5,29.5,,0.5,47.5,,2.5,63,,3.5,11.5,,2.5,60
2000-10-26,0,46.5,,3.5,22.5,,0,53.5,,0,42,,8.5,12,,0,65,,1.5,12.5,,1.5,36.5,,0,35.5,,0,69
2000-11-02,0,103,,0,72.5,,0,91,,0,102.5,,1.5,50.5,,0,97,,2,92,,0,82,,0,78.5,,0,125
2000-11-09,0,86.5,,0,139.5,,0,88.5,,0,100.5,,0,95,,0,90.5,,0,81.5,,0,136,,0,70,,0,106.5
2000-11-16,0,113,,0,201.5,,0,117,,0,174,,0,182.5,,0,129,,0,176.5,,0,199.5,,0,115,,0,126
2000-11-23,0,192.5,,0,276,,0,205,,0,248,,0,258.5,,0,211.5,,0,252,,0,280,,0,195,,0,191.5
2000-11-30,0,162,,0,210,,0,158,,0,198,,0,194,,0,165,,0,189,,0,210,,0,149,,0,186.5
2000-12-07,0,227,,0,270.5,,0,222,,0,279,,0,261.5,,0,226,,0,266,,0,283,,0,207.5,,0,241
2000-12-14,0,214.5,,0,339.5,,0,203.5,,0,302,,0,276,,0,219.5,,0,241.5,,0,346,,0,206,,0,247
2000-12-21,0,200.5,,0,372.5,,0,210.5,,0,332.5,,0,344,,0,237.5,,0,280,,0,358.5,,0,222,,0,213
2000-12-28,0,280.5,,0,403,,0,294.5,,0,382,,0,380.5,,0,281.5,,0,366.5,,0,391.5,,0,279,,0,293.5
2001-01-04,0,270,,0,321.5,,0,276.5,,0,316,,0,328,,0,270,,0,327,,0,306,,0,259,,0,264.5
2001-01-11,0,223,,0,284,,0,231.5,,0,269.5,,0,275,,0,228,,0,254,,0,273,,0,213,,0,252.5
2001-01-18,0,194,,0,248,,0,206.5,,0,235.5,,0,220,,0,209.5,,0,211,,0,243.5,,0,188,,0,236.5
2001-01-25,0,228,,0,312,,0,237.5,,0,286.5,,0,264.5,,0,234,,0,273.5,,0,317.5,,0,219.5,,0,246.5
2001-02-01,0,193.5,,0,268.5,,0,198,,0,258,,0,233.5,,0,191.5,,0,234,,0,276,,0,171.5,,0,224.5
2001-02-08,0,209,,0,274,,0,203.5,,0,249,,0,222,,0,202,,0,224,,0,285,,0,181.5,,0,226.5
2001-02-15,0,187.5,,0,258.5,,0,175,,0,238,,0,197,,0,156.5,,0,182,,0,274.5,,0,145,,0,231.5
2001-02-22,0,225,,0,302.5,,0,214,,0,272,,0,244.5,,0,204.5,,0,234.5,,0,327.5,,0,190.5,,0,249.5
2001-03-01,0,206,,0,242,,0,191,,0,231.5,,0,190,,0,184,,0,191,,0,264,,0,163,,0,238.5
2001-03-08,0,210,,0,240.5,,0,191.5,,0,228,,0,215,,0,176,,0,213.5,,0,243.5,,0,167.5,,0,259.5
2001-03-15,0,162.5,,0,205,,0,154.5,,0,198.5,,0,161,,0,156,,0,167.5,,0,218.5,,0,131.5,,0,185
2001-03-22,0,149,,0,203.5,,0,142,,0,189,,0,167,,0,146,,0,165,,0,216.5,,0,135.5,,0,172
2001-03-29,0,181.5,,0,230.5,,0,174.5,,0,231,,0,213.5,,0,178.5,,0,219.5,,0,244.5,,0,157,,0,196
2001-04-05,0,137.5,,0,143,,0,128.5,,0,148.5,,4.5,99.5,,0,120.5,,0.5,113.5,,0,173,,0,106,,0,178.5
2001-04-12,0,102,,0.5,57,,3.5,75.5,,0,54.5,,42.5,0,,8,47.5,,38,0,,0,95,,9.5,34.5,,0,135.5
2001-04-19,0,83.5,,0,136.5,,0,93,,0,134.5,,0,116.5,,1,94,,0,114.5,,0,146.5,,3.5,79.5,,0,126.5
2001-04-26,10.5,40.5,,14,35,,19.5,33,,0.5,61.5,,14.5,36,,25,39,,11,55.5,,0,65.5,,20.5,29.5,,6,51.5
2001-05-03,44.5,21,,30,26,,24.5,25,,18,43.5,,21,11.5,,17,31.5,,19.5,25,,17,46.5,,25.5,19,,31.5,44.5
2001-05-10,25,29.5,,11.5,23.5,,21,20.5,,13.5,9,,31,3,,20,29.5,,16.5,7,,4.5,49.5,,26,16.5,,14,51.5
2001-05-17,27.5,24.5,,32,45.5,,14.5,21.5,,7,40.5,,28.5,21.5,,9.5,33.5,,15,27,,6.5,59,,14,18,,11.5,54
2001-05-24,3,39.5,,0,53.5,,11,16.5,,5.5,28,,11.5,29,,11,10,,14,26,,0,66.5,,12,6,,0,60.5
2001-05-31,3,25.5,,0,79,,3,15.5,,0,63,,0,44,,3.5,20,,0,35.5,,0,86,,10.5,10.5,,0,50
2001-06-07,24.5,2,,0,72,,25,3.5,,0,46,,13.5,28,,23,8.5,,7.5,23,,0,84.5,,30,0,,8,17
2001-06-14,62,0,,71,4,,75.5,0,,60,1,,70.5,0,,75.5,0,,66,0,,55,3,,82,0,,38,0.5
2001-06-21,81.5,0,,48,4,,86.5,0,,54.5,0,,46.5,0,,87.5,0,,75.5,0,,30,2,,86,0,,75.5,0
2001-06-28,89.5,0,,43,9,,85,0,,54.5,0,,42,0,,77.5,0,,48.5,0.5,,39,9,,84,0,,74.5,0
2001-07-05,62,0.5,,44,4,,81,0,,42.5,7,,41,2.5,,70.5,3,,50.5,2,,40.5,16.5,,81.5,0,,45,0
2001-07-12,64.5,0,,56.5,0,,69.5,0,,45.5,2,,55.5,3,,54.5,0,,53.5,0,,41.5,0,,71,0,,23.5,0
2001-07-19,70.5,0,,75.5,0,,75.5,0,,80.5,0,,73,0,,60,0,,67.5,0,,65.5,0,,74.5,0,,18.5,2
2001-07-26,104.5,0,,94,0,,97.5,0,,89.5,0,,94.5,0,,79,0,,96.5,0,,81.5,0,,100,0,,78.5,2.5
2001-08-02,76,0,,93,0,,61,0,,79.5,0,,95,0,,35.5,0,,83,0,,77,0,,50,0,,39.5,0.5
2001-08-09,148.5,0,,110,0,,138.5,0,,112.5,0,,108.5,0,,120,0,,109,0,,107,0,,128.5,0,,108.5,0
2001-08-16,78.5,0,,30.5,0,,87.5,0,,43,0,,56,0,,87.5,0,,65.5,0,,30.5,1,,98,0,,39,0
2001-08-23,59,0,,44,0,,63.5,0,,26,0,,58,0,,65.5,0,,39.5,0,,19,0,,87,0,,29.5,0
2001-08-30,56,0,,28,0,,56,0,,21,0,,44.5,0,,58.5,0,,31.5,0,,10.5,0,,80,0,,31,0
2001-09-06,44.25,0,,18,0,,44.25,0,,9.25,0,,32,0,,46,0,,21.5,0,,1.25,2.5,,65.25,0,,18,0
