TransCanada PipeLines Limited,,,,,,,,,,,,,,,5518.380903660595,,0.03902936327414898
Updated to,2001-03-31 00:00:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shipper,Execution Date,Start Date,End Date,Service,Contract Demand (GJ/D),Operating Demand (GJ/D),Receipt Point,Delivery Area,Execution,Start,End,Iden,Fuel,100% Western (w/fuel),Volume (MMcf/d),Fuel Volume (GJ),Fuel Volume (MMc/fd)
ANDROSCOGGIN ENERGY LLC,19990525,19991101,20021031,FT,0,3844,St. Clair,East Hereford,1999-05-25 00:00:00,1999-11-01 00:00:00,2002-10-31 00:00:00,0,0.0524,0,0,0,0
"KANNGAZ ENERGY MARKETING,",19990101,19990101,20021031,FT,0,0,Steelman,Niagara,1999-01-01 00:00:00,1999-01-01 00:00:00,2002-10-31 00:00:00,1,0.0467,0,0,0,0
CANAMERA FOODS,19941101,19941101,20021031,FT,1407,0,Welwyn,MDA,1994-11-01 00:00:00,1994-11-01 00:00:00,2002-10-31 00:00:00,1,0.0139,1426.5573,1.3872279990003413,19.557299999999998,0.01901811735487202
CANADA BRICK A DIVISION OF JANNOCK LIMITED,19900420,19900501,20021130,FT,558,558,Empress,EDA,1990-04-20 00:00:00,1990-05-01 00:00:00,2002-11-30 00:00:00,1,0.0451,583.1658,0.546284566539086,25.1658,0.023574235911312583
CENTRA GAS MANITOBA INC.,19930310,19930401,20030331,STS,210629,210629,Emerson 2,MDA,1993-03-10 00:00:00,1993-04-01 00:00:00,2003-03-31 00:00:00,0,0.0139,0,0,0,0
CENTRA GAS MANITOBA INC.,19930310,19930401,20030331,STS,4985,4985,Emerson 2,SSDA,1993-03-10 00:00:00,1993-04-01 00:00:00,2003-03-31 00:00:00,0,0.0081,0,0,0,0
CENTRA GAS ONTARIO INC.,19920401,19920401,20030331,STS,137041,137041,Pkwy,CDA,1992-04-01 00:00:00,1992-04-01 00:00:00,2003-03-31 00:00:00,0,0.0451,0,0,0,0
CENTRA GAS ONTARIO INC.,19920401,19920401,20030331,STS,68520,68520,Pkwy,EDA,1992-04-01 00:00:00,1992-04-01 00:00:00,2003-03-31 00:00:00,0,0.0451,0,0,0,0
CENTRA GAS ONTARIO INC.,19920401,19920401,20030331,STS,137041,137041,Pkwy,NDA,1992-04-01 00:00:00,1992-04-01 00:00:00,2003-03-31 00:00:00,0,0.0357,0,0,0,0
CENTRA GAS ONTARIO INC.,19920401,19920401,20030331,STS,137041,137041,Pkwy,SSMDA,1992-04-01 00:00:00,1992-04-01 00:00:00,2003-03-31 00:00:00,0,0.0357,0,0,0,0
CENTRA GAS ONTARIO INC.,19920401,19920401,20030331,STS,11420,11420,Pkwy,WDA,1992-04-01 00:00:00,1992-04-01 00:00:00,2003-03-31 00:00:00,0,0.0232,0,0,0,0
CENTRA GAS ONTARIO INC.,19890401,19890401,20031031,FT,1545,1545,Empress,CDA,1989-04-01 00:00:00,1989-04-01 00:00:00,2003-10-31 00:00:00,1,0.0451,1614.6795,1.5125621062775767,69.6795,0.06527274996949452
CENTRA GAS ONTARIO INC.,19890401,19890401,20031031,FT,4985,4985,Empress,EDA,1989-04-01 00:00:00,1989-04-01 00:00:00,2003-10-31 00:00:00,1,0.0451,5209.8234999999995,4.880337928669074,224.8235,0.21060495702131402
CENTRA GAS ONTARIO INC.,19930127,19931101,20031031,FT,13320,13320,Empress,EDA,1993-01-27 00:00:00,1993-11-01 00:00:00,2003-10-31 00:00:00,1,0.0451,13920.731999999998,13.040341265771728,600.732,0.5627398249797196
CENTRA GAS ONTARIO INC.,19981101,19981101,20031031,FT,2668,2668,Empress,EDA,1998-11-01 00:00:00,1998-11-01 00:00:00,2003-10-31 00:00:00,1,0.0451,2788.3268,2.6119842715524753,120.3268,0.11271695593437629
CENTRA GAS ONTARIO INC.,19890401,19890401,20031031,FT,2169,2169,Empress,NDA,1989-04-01 00:00:00,1989-04-01 00:00:00,2003-10-31 00:00:00,1,0.0357,2246.4333,2.104361815369606,77.4333,0.07253617534874475
CENTRA GAS ONTARIO INC.,19890401,19890401,20031031,FT,187,187,Empress,SSMDA,1989-04-01 00:00:00,1989-04-01 00:00:00,2003-10-31 00:00:00,1,0.0357,193.6759,0.1814272288953971,6.6759,0.006253695154548303
CENTRA GAS ONTARIO INC.,19890401,19890401,20031031,FT,2249,2249,Empress,WDA,1989-04-01 00:00:00,1989-04-01 00:00:00,2003-10-31 00:00:00,1,0.0232,2301.1768,2.155643164804591,52.17679999999999,0.04887697558978352
"GAZ METROPOLITAIN AND COMPANY, LIMITED PARTNERSHIP",19901001,19901001,20031031,FT,420621,345621,Empress,EDA,1990-10-01 00:00:00,1990-10-01 00:00:00,2003-10-31 00:00:00,1,0.0451,439591.0071,411.7898936599227,18970.0071,17.770284378588187
"GAZ METROPOLITAIN AND COMPANY, LIMITED PARTNERSHIP",19881031,19881101,20031031,FT,12397,12397,Empress,NDA,1988-10-31 00:00:00,1988-11-01 00:00:00,2003-10-31 00:00:00,1,0.0357,12839.572900000001,12.027558056771326,442.5729,0.4145832023044669
THE CONSUMERS' GAS COMPANY LTD.,19891024,19890101,20031031,FT,177049,75205,Empress,CDA,1989-10-24 00:00:00,1989-01-01 00:00:00,2003-10-31 00:00:00,1,0.0451,185033.9099,173.33178534261407,7984.909900000001,7.479919164627207
THE CONSUMERS' GAS COMPANY LTD.,19891024,19891101,20031031,FT,282690,109873,Empress,CDA,1989-10-24 00:00:00,1989-11-01 00:00:00,2003-10-31 00:00:00,1,0.0451,295439.31899999996,276.75481024181755,12749.319,11.943012096360132
THE CONSUMERS' GAS COMPANY LTD.,19891027,19891101,20031031,FT,72708,51504,Empress,CDA,1989-10-27 00:00:00,1989-11-01 00:00:00,2003-10-31 00:00:00,1,0.0451,75987.1308,71.18146642280263,3279.1308,3.071748287884794
THE CONSUMERS' GAS COMPANY LTD.,19891024,19890101,20031031,FT,142457,102009,Empress,EDA,1989-10-24 00:00:00,1989-01-01 00:00:00,2003-10-31 00:00:00,1,0.0451,148881.8107,139.46605823558883,6424.8107,6.018485529064259
THE CONSUMERS' GAS COMPANY LTD.,19891024,19891101,20031031,FT,15520,15520,Empress,EDA,1989-10-24 00:00:00,1989-11-01 00:00:00,2003-10-31 00:00:00,1,0.0451,16219.952,15.194151384743037,699.952,0.6556848411175111
UTILITIES KINGSTON OF THE CITY OF KINGSTON,19930817,19931101,20031031,FT,1066,1066,Empress,EDA,1993-08-17 00:00:00,1993-11-01 00:00:00,2003-10-31 00:00:00,1,0.0451,1114.0765999999999,1.0436189031015513,48.0766,0.045036085092220804
UNION GAS LIMITED,19981101,19981101,20031031,FT,8478,6376,Empress,CDA,1998-11-01 00:00:00,1998-11-01 00:00:00,2003-10-31 00:00:00,1,0.0451,8860.3578,8.30000099483579,382.3578,0.3581762940073621
"ANDROSCOGGIN ENERGY, INC.",19990401,19990401,20031031,FT,0,1500,Empress,East Hereford,1999-04-01 00:00:00,1999-04-01 00:00:00,2003-10-31 00:00:00,1,0.0524,0,0,0,0
CORAL ENERGY CANADA INC.,19970613,19970616,20031031,FT,27028,27028,Empress,Sabrevois,1997-06-13 00:00:00,1997-06-16 00:00:00,2003-10-31 00:00:00,1,0.0491,28355.0748,26.56181097434273,1327.0747999999999,1.2431464291680756
HUSKY OIL OPERATIONS LIMITED,19931101,19931101,20031031,FT,8623,8623,Empress,Emerson 2,1993-11-01 00:00:00,1993-11-01 00:00:00,2003-10-31 00:00:00,1,0.0168,8767.866399999999,8.213359040939327,144.8664,0.13570459469687324
TRANSCANADA ENERGY LIMITED,20000401,20000401,20031031,FT,9857,9857,Empress,Emerson 1,2000-04-01 00:00:00,2000-04-01 00:00:00,2003-10-31 00:00:00,1,0.0168,10022.5976,9.388737106174064,165.5976,0.15512468861499243
TRANSCANADA ENERGY LIMITED,20000401,20000401,20031031,FT,9029,9029,Empress,Emerson 1,2000-04-01 00:00:00,2000-04-01 00:00:00,2003-10-31 00:00:00,1,0.0168,9180.687199999998,8.60007175932288,151.6872,0.1420940259211491
CENTRA GAS ONTARIO INC.,19881228,19890101,20031231,FT,9494,7663,Empress,CDA,1988-12-28 00:00:00,1989-01-01 00:00:00,2003-12-31 00:00:00,1,0.0451,9922.179399999999,9.29466966796072,428.1794,0.4010999923691786
CENTRA GAS ONTARIO INC.,19881228,19890101,20031231,FT,52481,26252,Empress,EDA,1988-12-28 00:00:00,1989-01-01 00:00:00,2003-12-31 00:00:00,1,0.0451,54847.893099999994,51.37914038806051,2366.8931000000002,2.2172033599670176
CENTRA GAS ONTARIO INC.,19881228,19890101,20031231,FT,128480,79086,Empress,NDA,1988-12-28 00:00:00,1989-01-01 00:00:00,2003-12-31 00:00:00,1,0.0357,133066.736,124.65117844107284,4586.736,4.296656435595539
CENTRA GAS ONTARIO INC.,19881228,19890101,20031231,FT,30474,7646,Empress,SSMDA,1988-12-28 00:00:00,1989-01-01 00:00:00,2003-12-31 00:00:00,1,0.0357,31561.921800000004,29.565846916354715,1087.9218,1.0191182146508286
CENTRA GAS ONTARIO INC.,19881228,19890101,20031231,FT,79764,45448,Empress,WDA,1988-12-28 00:00:00,1989-01-01 00:00:00,2003-12-31 00:00:00,1,0.0232,81614.52480000001,76.4529663839366,1850.5248,1.7334918101127137
CENTRA TRANSMISSION HOLDINGS INC.,19901031,19901101,20031231,FT,5652,0,Empress,Spruce,1990-10-31 00:00:00,1990-11-01 00:00:00,2003-12-31 00:00:00,1,0.0156,5740.171200000001,5.377144777440902,88.1712,0.08259497688861565
THE CONSUMERS' GAS COMPANY LTD.,19880311,19890808,20040415,STS,35089,35089,Pkwy,EDA,1988-03-11 00:00:00,1989-08-08 00:00:00,2004-04-15 00:00:00,0,0.0451,0,0,0,0
CORAL ENERGY CANADA INC.,19970613,19970616,20040814,FT,16174,876,Empress,Emerson 2,1997-06-13 00:00:00,1997-06-16 00:00:00,2004-08-14 00:00:00,1,0.0168,16445.7232,15.405644106245239,271.72319999999996,0.25453857295920534
DUKE ENERGY MARKETING LIMITED PARTNERSHIP,19990324,19990401,20040814,FT,15093,15093,Empress,Emerson 2,1999-03-24 00:00:00,1999-04-01 00:00:00,2004-08-14 00:00:00,1,0.0168,15346.562399999999,14.375997681189526,253.5624,0.2375263188866877
TRANSCANADA ENERGY LIMITED,20000318,20000401,20040814,FT,16170,16170,Empress,Emerson 2,2000-03-18 00:00:00,2000-04-01 00:00:00,2004-08-14 00:00:00,1,0.0168,16441.656,15.401834128724218,271.656,0.2544756228978825
THE CONSUMERS' GAS COMPANY LTD.,19891024,19891101,20041031,FT,32357,30202,Empress,EDA,1989-10-24 00:00:00,1989-11-01 00:00:00,2004-10-31 00:00:00,1,0.0451,33816.3007,31.67765182707026,1459.3007,1.3670099487138732
THE CONSUMERS' GAS COMPANY LTD.,19940215,19941101,20041031,FT,7613,7613,Empress,EDA,1994-02-15 00:00:00,1994-11-01 00:00:00,2004-10-31 00:00:00,1,0.0451,7956.346299999999,7.453162016240253,343.3463,0.3216320035713668
UTILITIES KINGSTON OF THE CITY OF KINGSTON,19881221,19891101,20041031,FT,1941,1941,Empress,EDA,1988-12-21 00:00:00,1989-11-01 00:00:00,2004-10-31 00:00:00,1,0.0451,2028.5390999999997,1.9002479276924118,87.5391,0.082002852874297
ANADARKO CANADA CORPORATION,19900430,19980501,20041031,FT,10782,10782,Empress,Emerson 2,1990-04-30 00:00:00,1998-05-01 00:00:00,2004-10-31 00:00:00,1,0.0168,10963.1376,10.269794407909991,181.1376,0.16968189029591643
BURLINGTON RESOURCES CANADA ENERGY LTD.,19890914,19900501,20041031,FT,16170,16170,Empress,Emerson 2,1989-09-14 00:00:00,1990-05-01 00:00:00,2004-10-31 00:00:00,1,0.0168,16441.656,15.401834128724218,271.656,0.2544756228978825
CORAL ENERGY CANADA INC.,19971201,19971201,20041031,FT,16174,16174,Empress,Emerson 2,1997-12-01 00:00:00,1997-12-01 00:00:00,2004-10-31 00:00:00,1,0.0168,16445.7232,15.405644106245239,271.72319999999996,0.25453857295920534
HUSKY OIL OPERATIONS LIMITED,19941028,19941101,20041031,FT,17251,2410,Empress,Emerson 2,1994-10-28 00:00:00,1994-11-01 00:00:00,2004-10-31 00:00:00,1,0.0168,17540.8168,16.431480553779934,289.8168,0.2714878769704001
NORTHERN STATES POWER COMPANY (MINNESOTA),19940527,19941101,20041031,FT,16906,16906,Empress,Emerson 1,1994-05-27 00:00:00,1994-11-01 00:00:00,2004-10-31 00:00:00,1,0.0168,17190.0208,16.102869992591938,284.0208,0.26605843418129876
PROGAS LIMITED,19940526,19941101,20041031,FT,0,0,Empress,Emerson 2,1994-05-26 00:00:00,1994-11-01 00:00:00,2004-10-31 00:00:00,1,0.0168,0,0,0,0
TRANSCANADA GAS SERVICES LIMITED,19870701,19871101,20041031,FT,97206,97206,Empress,Niagara,1987-07-01 00:00:00,1987-11-01 00:00:00,2004-10-31 00:00:00,1,0.0467,101745.5202,95.3108145226466,4539.5202,4.252426710812645
TRANSCANADA GAS SERVICES LIMITED,19900423,19900501,20041031,FT,16174,16174,Empress,Emerson 2,1990-04-23 00:00:00,1990-05-01 00:00:00,2004-10-31 00:00:00,1,0.0168,16445.7232,15.405644106245239,271.72319999999996,0.25453857295920534
UTILITIES KINGSTON OF THE CITY OF KINGSTON,19750401,19750401,20041031,STS,13167,13167,Pkwy,EDA,1975-04-01 00:00:00,1975-04-01 00:00:00,2004-10-31 00:00:00,0,0.0451,0,0,0,0
CENTRA GAS MANITOBA INC.,19931201,19931201,20041231,FT,200952,200952,Empress,MDA,1993-12-01 00:00:00,1993-12-01 00:00:00,2004-12-31 00:00:00,1,0.0139,203745.2328,190.85974552100475,2793.2327999999998,2.6165800007317945
CENTRA GAS MANITOBA INC.,19931201,19931201,20041231,FT,3832,3832,Empress,SSDA,1993-12-01 00:00:00,1993-12-01 00:00:00,2004-12-31 00:00:00,1,0.0081,3863.0392,3.618728490071773,31.039199999999997,0.02907618368175911
CENTRA GAS ONTARIO INC.,19900401,19960701,20041231,FT,4522,4522,Empress,MDA,1990-04-01 00:00:00,1996-07-01 00:00:00,2004-12-31 00:00:00,1,0.0139,4584.8558,4.294895145338109,62.855799999999995,0.058880602150310386
UTILITIES KINGSTON OF THE CITY OF KINGSTON,19890127,19890101,20041231,FT,7786,7786,Empress,EDA,1989-01-27 00:00:00,1989-01-01 00:00:00,2004-12-31 00:00:00,1,0.0451,8137.1485999999995,7.622529811959361,351.1486,0.32894086165856584
HUSKY OIL OPERATIONS LIMITED,19890707,19890809,20041231,FT,16010,16010,Empress,Emerson 2,1989-07-07 00:00:00,1989-08-09 00:00:00,2004-12-31 00:00:00,1,0.0168,16278.967999999999,15.24943502788341,268.96799999999996,0.25195762044496584
BURLINGTON RESOURCES CANADA ENERGY LTD.,19890719,19890824,20050331,FT,16170,16170,Empress,Emerson 2,1989-07-19 00:00:00,1989-08-24 00:00:00,2005-03-31 00:00:00,1,0.0168,16441.656,15.401834128724218,271.656,0.2544756228978825
CRESTAR ENERGY INC.,19970924,19971101,20050331,LTWFS,5275,5275,Empress,Iroq/ Wadd,1997-09-24 00:00:00,1997-11-01 00:00:00,2005-03-31 00:00:00,1,0.0508,5542.969999999999,5.192415199569586,267.96999999999997,0.2510227370937714
DUKE ENERGY MARKETING LIMITED PARTNERSHIP,19990324,19990401,20050331,FT,10782,10782,Empress,Emerson 2,1999-03-24 00:00:00,1999-04-01 00:00:00,2005-03-31 00:00:00,1,0.0168,10963.1376,10.269794407909991,181.1376,0.16968189029591643
SEMPRA ENERGY TRADING SERVICES CORP.,19950606,19951101,20050331,LTWFS,48634,3634,Empress,Iroq/ Wadd,1995-06-06 00:00:00,1995-11-01 00:00:00,2005-03-31 00:00:00,1,0.0508,51104.6072,47.87259162386109,2470.6072,2.314358255131465
CENTRA TRANSMISSION HOLDINGS INC.,19901114,19901209,20051031,FT,1130,1130,Empress,MDA,1990-11-14 00:00:00,1990-12-09 00:00:00,2005-10-31 00:00:00,1,0.0139,1145.707,1.073248897441854,15.706999999999999,0.014713640077366374
WESTCOAST POWER HOLDINGS INC.,19950615,19950615,20051031,FT,24350,24350,Empress,MDA,1995-06-15 00:00:00,1995-06-15 00:00:00,2005-10-31 00:00:00,1,0.0139,24688.465,23.12708907319393,338.465,0.31705941228661166
"GAZ METROPOLITAIN AND COMPANY, LIMITED PARTNERSHIP",19910121,19911101,20051031,FT,20353,20353,Empress,EDA,1991-01-21 00:00:00,1991-11-01 00:00:00,2005-10-31 00:00:00,1,0.0451,21270.920299999998,19.925680614283184,917.9203,0.859868142478396
THE CONSUMERS' GAS COMPANY LTD.,19901130,19911101,20051031,FT,21584,21584,Empress,EDA,1990-11-30 00:00:00,1991-11-01 00:00:00,2005-10-31 00:00:00,1,0.0451,22557.4384,21.130835276307582,973.4384,0.9118751037809512
THE CONSUMERS' GAS COMPANY LTD.,19950217,19951101,20051031,FT,10773,10773,Empress,EDA,1995-02-17 00:00:00,1995-11-01 00:00:00,2005-10-31 00:00:00,1,0.0451,11258.862299999999,10.546816550762676,485.8623,0.45513484493292194
BP CANADA ENERGY COMPANY,19910116,19910201,20051031,FT,13410,9510,Empress,Niagara,1991-01-16 00:00:00,1991-02-01 00:00:00,2005-10-31 00:00:00,1,0.0467,14036.247,13.148550735023463,626.247,0.5866411763882637
CANADIAN HUNTER EXPLORATION LTD.,19901011,19901116,20051031,FT,21375,21375,Empress,Niagara,1990-10-11 00:00:00,1990-11-16 00:00:00,2005-10-31 00:00:00,1,0.0467,22373.212499999998,20.958260399785722,998.2125,0.9350824120282729
CANSTATES GAS MARKETING,19910201,19911101,20051031,FT,52273,52273,Empress,Niagara,1991-02-01 00:00:00,1991-11-01 00:00:00,2005-10-31 00:00:00,1,0.0467,54714.149099999995,51.25385477791808,2441.1491,2.286763177728838
EL PASO MERCHANT ENERGY CANADA INC.,19990129,19990201,20051031,FT,6418,6418,Empress,Niagara,1999-01-29 00:00:00,1999-02-01 00:00:00,2005-10-31 00:00:00,1,0.0467,6717.7206,6.292870888693557,299.7206,0.28076532960923767
HUSKY OIL OPERATIONS LIMITED,19941116,19951101,20051031,FT,8007,8007,Empress,Niagara,1994-11-16 00:00:00,1995-11-01 00:00:00,2005-10-31 00:00:00,1,0.0467,8380.9269,7.8508908080039435,373.9269,0.35027859055487165
INDECK- OSWEGO LIMITED PARTNERSHIP,19901109,19910101,20051031,FT,12873,12873,Empress,Niagara,1990-11-09 00:00:00,1991-01-01 00:00:00,2005-10-31 00:00:00,1,0.0467,13474.1691,12.622020403576215,601.1691,0.563149281405378
KCS ENERGY MANAGEMENT,19910122,19911101,20051031,FT,6501,6501,Empress,Niagara,1991-01-22 00:00:00,1991-11-01 00:00:00,2005-10-31 00:00:00,1,0.0467,6804.5967,6.374252671766408,303.5967,0.2843962928933709
NEW YORK STATE ELECTRIC AND GAS CORPORATION,19931015,19931101,20051031,FT,4775,0,Empress,Napierville,1993-10-15 00:00:00,1993-11-01 00:00:00,2005-10-31 00:00:00,1,0.0493,5010.407499999999,4.693533621693325,235.40749999999997,0.22051959167967303
NEW YORK STATE ELECTRIC AND GAS CORPORATION,19931015,19931101,20051031,FT,3805,0,Empress,Napierville,1993-10-15 00:00:00,1993-11-01 00:00:00,2005-10-31 00:00:00,1,0.0493,3992.5864999999994,3.740082812679183,187.5865,0.1757229416421269
PROGAS LIMITED,19931101,19931101,20051031,FT,7386,0,Empress,Niagara,1993-11-01 00:00:00,1993-11-01 00:00:00,2005-10-31 00:00:00,1,0.0467,7730.9262,7.241998190073327,344.9262,0.32311198574226074
TRANSCANADA GAS SERVICES LIMITED,19901017,19901201,20051031,FT,13508,13508,Empress,Chippawa,1990-10-17 00:00:00,1990-12-01 00:00:00,2005-10-31 00:00:00,1,0.0506,14191.5048,13.293989545006513,683.5047999999999,0.6402778136087278
"GAZ METROPOLITAIN AND COMPANY, LIMITED PARTNERSHIP",19950322,19950401,20060331,STS,20279,20279,Pkwy,Philipsburg,1995-03-22 00:00:00,1995-04-01 00:00:00,2006-03-31 00:00:00,0,0.0496,0,0,0,0
"GAZ METROPOLITAIN AND COMPANY, LIMITED PARTNERSHIP",19850416,19851101,20060415,STS,25629,25629,Pkwy,EDA,1985-04-16 00:00:00,1985-11-01 00:00:00,2006-04-15 00:00:00,0,0.0451,0,0,0,0
TRANSCANADA ENERGY LIMITED,20000401,20000401,20060504,FT,0,0,Empress,Cornwall,2000-04-01 00:00:00,2000-04-01 00:00:00,2006-05-04 00:00:00,1,0.047,0,0,0,0
TRANSCANADA ENERGY LIMITED,20000318,20000401,20060504,FT,12612,12612,Empress,Iroq/ Wadd,2000-03-18 00:00:00,2000-04-01 00:00:00,2006-05-04 00:00:00,1,0.0508,13252.6896,12.414547961511207,640.6895999999999,0.6001703810856199
TRANSCANADA GAS SERVICES LIMITED,19910122,19910505,20060504,FT,0,0,Empress,Cornwall,1991-01-22 00:00:00,1991-05-05 00:00:00,2006-05-04 00:00:00,1,0.047,0,0,0,0
GLADSTONE AUSTIN NATURAL CO- OP LTD.,19960801,19960820,20060731,FT,863,863,Empress,MDA,1996-08-01 00:00:00,1996-08-20 00:00:00,2006-07-31 00:00:00,1,0.0139,874.9957,0.8196582287542654,11.9957,0.011237054324572726
IKO INDUSTRIES LTD.,19960901,19960901,20060831,FT,762,762,Empress,EDA,1996-09-01 00:00:00,1996-09-01 00:00:00,2006-08-31 00:00:00,1,0.0451,796.3661999999999,0.746001504843698,34.3662,0.03219277377136234
KIRKLAND LAKE POWER CORP.,19911127,19911201,20061031,FT,18682,18280,Empress,NDA,1991-11-27 00:00:00,1991-12-01 00:00:00,2006-10-31 00:00:00,1,0.0357,19348.9474,18.125259306009674,666.9474,0.6247675554934299
"GAZ METROPOLITAIN AND COMPANY, LIMITED PARTNERSHIP",19901005,19911101,20061031,FT,49125,49125,Empress,EDA,1990-10-05 00:00:00,1991-11-01 00:00:00,2006-10-31 00:00:00,1,0.0451,51340.5375,48.093600952029746,2215.5375,2.0754199626222767
ENRON CANADA CORP.,19981101,19981101,20061031,FT,2609,0,Empress,CDA,1998-11-01 00:00:00,1998-11-01 00:00:00,2006-10-31 00:00:00,1,0.0451,2726.6659,2.5542230001800634,117.66590000000001,0.11022433959249915
THE CONSUMERS' GAS COMPANY LTD.,19951213,19961101,20061031,FT,10773,10773,Empress,EDA,1995-12-13 00:00:00,1996-11-01 00:00:00,2006-10-31 00:00:00,1,0.0451,11258.862299999999,10.546816550762676,485.8623,0.45513484493292194
ENRON CANADA CORP.,19981101,19981101,20061031,FT,0,0,Empress,CDA,1998-11-01 00:00:00,1998-11-01 00:00:00,2006-10-31 00:00:00,1,0.0451,0,0,0,0
TRANSALTA COGENERATION L. P.,19980401,19981101,20061031,FT,11809,11809,Empress,CDA,1998-04-01 00:00:00,1998-11-01 00:00:00,2006-10-31 00:00:00,1,0.0451,12341.585899999998,11.561065315878254,532.5859,0.49890349798690015
UNION GAS LIMITED,19950928,19961101,20061031,FT,1393,1393,Empress,CDA,1995-09-28 00:00:00,1996-11-01 00:00:00,2006-10-31 00:00:00,1,0.0451,1455.8243,1.3637534071486501,62.8243,0.05885109430906528
AEC MARKETING (USA) INC.,19980501,19980501,20061031,FT,20266,20266,Empress,Iroq/ Wadd,1998-05-01 00:00:00,1998-05-01 00:00:00,2006-10-31 00:00:00,1,0.0508,21295.5128,19.94871780748384,1029.5128,0.9644031829274636
CANADIAN FOREST OIL LTD.,19910724,19920125,20061031,FT,39813,39813,Empress,Iroq/ Wadd,1991-07-24 00:00:00,1992-01-25 00:00:00,2006-10-31 00:00:00,1,0.0508,41835.5004,39.18969219724435,2022.5004,1.8945911340121935
CORAL ENERGY CANADA INC.,19970613,19970616,20061031,FT,24794,24794,Empress,Iroq/ Wadd,1997-06-13 00:00:00,1997-06-16 00:00:00,2006-10-31 00:00:00,1,0.0508,26053.5352,24.40582795414755,1259.5352,1.1798782452138328
CORAL ENERGY CANADA INC.,19970613,19970616,20061031,FT,12935,12935,Empress,Iroq/ Wadd,1997-06-13 00:00:00,1997-06-16 00:00:00,2006-10-31 00:00:00,1,0.0508,13592.098,12.73249111022419,657.098,0.6155410624280442
DIRECT ENERGY MARKETING LIMITED,19990309,19990310,20061031,FT,6445,6445,Empress,East Hereford,1999-03-09 00:00:00,1999-03-10 00:00:00,2006-10-31 00:00:00,1,0.0524,6782.718,6.353757649345789,337.718,0.31635965490851325
DUKE ENERGY MARKETING LIMITED PARTNERSHIP,19990324,19990401,20061031,FT,7764,7764,Empress,Emerson 2,1999-03-24 00:00:00,1999-04-01 00:00:00,2006-10-31 00:00:00,1,0.0168,7894.435199999999,7.395166368300237,130.43519999999998,0.12218606902777732
ENCAL ENERGY LTD.,19991101,19991101,20061031,FT,2129,0,Empress,Iroq/ Wadd,1999-11-01 00:00:00,1999-11-01 00:00:00,2006-10-31 00:00:00,1,0.0508,2237.1531999999997,2.0956686179874215,108.1532,0.10131325256353353
GULF CANADA RESOURCES LIMITED,19990801,19990801,20061031,FT,10675,10675,Empress,Iroq/ Wadd,1999-08-01 00:00:00,1999-08-01 00:00:00,2006-10-31 00:00:00,1,0.0508,11217.289999999999,10.507873413346982,542.29,0.5079938802798122
HUSKY OIL OPERATIONS LIMITED,19951219,19960401,20061031,FT,3241,3241,Empress,Niagara,1995-12-19 00:00:00,1996-04-01 00:00:00,2006-10-31 00:00:00,1,0.0467,3392.3547,3.1778115534832994,151.3547,0.14178255426356176
HUSKY OIL OPERATIONS LIMITED,19980701,19980701,20061031,FT,15195,15195,Empress,Chippawa,1998-07-01 00:00:00,1998-07-01 00:00:00,2006-10-31 00:00:00,1,0.0506,15963.867,14.954262002988893,768.867,0.720241440463771
HUSKY OIL OPERATIONS LIMITED,19980701,19980701,20061031,FT,15159,0,Empress,Emerson 2,1998-07-01 00:00:00,1998-07-01 00:00:00,2006-10-31 00:00:00,1,0.0168,15413.671199999999,14.43886231028636,254.67119999999997,0.23856499489851576
HUSKY OIL OPERATIONS LIMITED,19900418,19900501,20061031,FT,16032,16032,Empress,Emerson 2,1990-04-18 00:00:00,1990-05-01 00:00:00,2006-10-31 00:00:00,1,0.0168,16301.337599999999,15.270389904249022,269.3376,0.2523038457822419
INDECK- YERKES LIMITED PARTNERSHIP,19881227,19901213,20061031,FT,12873,12873,Empress,Niagara,1988-12-27 00:00:00,1990-12-13 00:00:00,2006-10-31 00:00:00,1,0.0467,13474.1691,12.622020403576215,601.1691,0.563149281405378
"PITTSFIELD GENERATING COMPANY, L. P.",19970901,19971101,20061031,FT,10675,0,Empress,Iroq/ Wadd,1997-09-01 00:00:00,1997-11-01 00:00:00,2006-10-31 00:00:00,1,0.0508,11217.289999999999,10.507873413346982,542.29,0.5079938802798122
PROGAS LIMITED,19910531,19920125,20061031,FT,71155,70448,Empress,Iroq/ Wadd,1991-05-31 00:00:00,1992-01-25 00:00:00,2006-10-31 00:00:00,1,0.0508,74769.674,70.04100540765383,3614.674,3.38607068396347
PROGAS LIMITED,19930730,19930801,20061031,FT,24142,23904,Empress,Niagara,1993-07-30 00:00:00,1993-08-01 00:00:00,2006-10-31 00:00:00,1,0.0467,25269.431399999998,23.671313336684296,1127.4314,1.0561291036812428
PROGAS LIMITED,19930730,19930801,20061031,FT,53527,52999,Empress,Niagara,1993-07-30 00:00:00,1993-08-01 00:00:00,2006-10-31 00:00:00,1,0.0467,56026.7109,52.48340605470551,2499.7109,2.341621345901163
PROGAS LIMITED,19970905,19981101,20061031,FT,13974,0,Empress,Iroq/ Wadd,1997-09-05 00:00:00,1998-11-01 00:00:00,2006-10-31 00:00:00,1,0.0508,14683.8792,13.755224644319508,709.8792,0.664984213866988
