,, ,,, ,,,,,, 
Counterparty,Product,Region,Priority,Commercial,Credit,Legal,"Master 
EEI",ISDA,"Master 
Gas","Complete 
Date","Status 
(C or I)"
"Calpine Energy Services, L.P.",ALL,,,,,,,,,,
Canadian Imperial Bank of Commerce,ALL,,,,,,,,,,
"Cargill, Incorporated",ALL,,,,,,,,,,
"Cargill-Alliant, LLC",ALL,,,,,,,,,,
"Carolina Holdings, Inc.",ALL,,,,,,,,,,
"Carrizo Oil & Gas, Inc.",ALL,,,,,,,,,,
"Casella Waste Systems, Inc.",ALL,,,,,,,,,,
"Catequil Overseas Partners, Ltd.",ALL,,,,,,,,,,
"Catequil Partners, L.P.",ALL,,,,,,,,,,
Central Hudson Gas & Electric Corporation,ALL,,,,,,,,,,
"CGAS, Inc.",ALL,,,,,,,,,,
Chemoil Corporation,ALL,,,,,,,,,,
Christiania Bank Og Kreditkasse ASA,ALL,,,,,,,,,,
"Cinergy Marketing & Trading, LLC",ALL,,,,,,,,,,
"Citibank, N.A.",ALL,,,,,,,,,,
Citizens Gas Utility District of Scott & Morgan Counties,ALL,,,,,,,,,,
Clark Oil Trading Company,ALL,,,,,,,,,,
Classic Resources Inc.,ALL,,,,,,,,,,
"CMS Marketing, Services and Trading Company",ALL,,,,,,,,,,
Cody Energy LLC,ALL,,,,,,,,,,
CoEnergy Trading Company,ALL,,,,,,,,,,
Columbia Energy Services Corporation,ALL,,,,,,,,,,
"Compania Minera Autlan, S.A. de C.V.",ALL,,,,,,,,,,
"ConAgra Energy Services, Inc.",ALL,,,,,,,,,,
"Conectiv Energy Supply, Inc.",ALL,,,,,,,,,,
Conoco Inc.,ALL,,,,,,,,,,
"Constellation Power Source, Inc.",ALL,,,,,,,,,,
Contour Energy Co.,ALL,,,,,,,,,,
"Convermex del Norte, S.A. de C.V.",ALL,,,,,,,,,,
"Convertidora Mexicana de Plasticos, S.A. de C.V.",ALL,,,,,,,,,,
Cook Inlet Energy Supply L.L.C.,ALL,,,,,,,,,,
"Coral Energy Holding, L.P.",ALL,,,Thomas,,,,,,,
"Cornerstone Propane, L.P.",ALL,,,,,,,,,,
Credit Lyonnais SA,ALL,,,,,,,,,,
Credit Suisse First Boston International,ALL,,,,,,,,,,
"Cross Oil Refining & Marketing, Inc.",ALL,,,,,,,,,,
"Crosstex Energy Services, Ltd.",ALL,,,,,,,,,,
"Dakota, LLC",ALL,,,,,,,,,,
Delta Energy Corp.,ALL,,,,,,,,,,
Deseret Generation & Transmission Coop.,ALL,,,,,,,,,,
Deutsche Bank AG,ALL,,,,,,,,,,
"DevX Energy, Inc.",ALL,,,,,,,,,,
"Dispatch Printing Company Inc., The",ALL,,,,,,,,,,
"Dow Hydrocarbons and Resources, Inc.",ALL,,,Curry,,,,,,,
"Duke Energy Field Services Marketing, LLC",ALL,,,,,,,,,,
"Duke Energy Trading and Marketing, L.L.C.",ALL,,,,,,,,,,
Dynegy Marketing and Trade,ALL,,,,,,,,,,
"e prime, inc.",ALL,,,,,,,,,,
Edge Petroleum Corporation,ALL,,,,,,,,,,
"EEX E&P Company, L.P.",ALL,,,,,,,,,,
El Paso Merchant Energy Canada Inc.,ALL,,,,,,,,,,
"El Paso Merchant Energy, L.P.",ALL,,,,,,,,,,
Elf Trading SA,ALL,,,,,,,,,,
Elm Ridge Exploration Company,ALL,,,,,,,,,,
Enbridge Marketing (U.S.) Inc.,ALL,,,,,,,,,,
Encore Acquisition Company,ALL,,,,,,,,,,
Energen Resources Corporation,ALL,,,,,,,,,,
EnergyUSA-TPC Corp.,ALL,,,,,,,,,,
EnerVest Energy L.P.,ALL,,,,,,,,,,
Engage Energy America LLC,ALL,,,,,,,,,,
"Enserco Energy, Inc.",ALL,,,,,,,,,,
"Entergy-Koch Trading, LP",ALL,,,,,,,,,,
Enterprise Products Operating L.P.,ALL,,,,,,,,,,
"Entrada Energy Ventures, L.L.C.",ALL,,,,,,,,,,
Equitable Energy L.L.C.,ALL,,,,,,,,,,
Eugene Water & Electric Board,ALL,,,Thomas,,,,,,,
"EXCO Resources, Inc.",ALL,,,,,,,,,,
Fagadau Energy Corporation,ALL,,,,,,,,,,
"Ferrellgas, L.P.",ALL,,,,,,,,,,
"Fersinsa Gist Brocades, S.A. de C.V.",ALL,,,,,,,,,,
"Fibras Quimicas, S.A. de C.V.",ALL,,,,,,,,,,
First Union National Bank,ALL,,,,,,,,,,
FirstEnergy Solutions Corp.,ALL,,,,,,,,,,
Florida Power & Light Company,ALL,,,,,,,,,,
"Frito-Lay, Inc.",ALL,,,,,,,,,,
Gas Producers Liquids Inc.,ALL,,,,,,,,,,
Gaylord Container Corporation,ALL,,,,,,,,,,
"General Mills Operations, Inc.",ALL,,,,,,,,,,
General Re Financial Products Corporation,ALL,,,,,,,,,,
Georgia-Pacific Corporation,ALL,,,Thomas,,,,,,,
Glencore Ltd.,ALL,,,Thomas,,,,,,,
Global Octanes Texas L.P.,ALL,,,,,,,,,,
"Goldman Sachs Capital Markets, L.P.",ALL,,,,,,,,,,
Goodrich Petroleum Corporation,ALL,,,,,,,,,,
Growmark Inc.,ALL,,,,,,,,,,
"Grupo IMSA, S.A. de C.V.",ALL,,,,,,,,,,
"Grupo Industrial Saltillo, S.A. de C.V.",ALL,,,,,,,,,,
Hallwood Energy Corporation,ALL,,,,,,,,,,
"Heritage Energy Resources, LLC",ALL,,,,,,,,,,
Hess Energy Trading Company LLC,ALL,,,,,,,,,,
HQ Energy Services (U.S.) Inc.,ALL,,,,,,,,,,
ICC Energy Corporation,ALL,,,,,,,,,,
IDACORP Energy L.P.,ALL,,,Thomas,,,,,,,
"Indelpro, S.A. de C.V.",ALL,,,,,,,,,,
"Independent Paperboard Marketing, Inc.",ALL,,,,,,,,,,
"Industrias Penoles, S.A. de C.V.",ALL,,,,,,,,,,
"Inergy Partners, LLC",ALL,,,,,,,,,,
Inland Paperboard & Packaging Inc.,ALL,,,,,,,,,,
Inland Production Company,ALL,,,,,,,,,,
Irving Pulp & Paper Limited,ALL,,,,,,,,,,
J. Aron & Company,ALL,,,,,,,,,,
James Hardie Australia Finance Pty Limited,ALL,,,,,,,,,,
Jefferson Smurfit Corporation (US),ALL,,,Thomas,,,,,,,
Joint Energy Development Investments II Limited Partnership,ALL,,,,,,,,,,
KCS Energy Marketing Inc.,ALL,,,,,,,,,,
Kern Oil & Refining Co.,ALL,,,,,,,,,,
Kerr-McGee Energy Services Corporation,ALL,,,,,,,,,,
Kerr-McGee Rocky Mountain Corporation,ALL,,,,,,,,,,
"Kinder Morgan, Inc.",ALL,,,,,,,,,,
"KLT, Inc.",ALL,,,,,,,,,,
Knauf Fiber Glass GmbH,ALL,,,,,,,,,,
"Knight-Ridder, Inc.",ALL,,,,,,,,,,
"Koch Industries, Inc.",ALL,,,,,,,,,,
Kona Ltd.,ALL,,,,,,,,,,
KUKUI Inc,ALL,,,,,,,,,,
"Las Vegas Cogeneration, LP",ALL,,,,,,,,,,
LDNGC Series 1998 A Trust,ALL,,,,,,,,,,
Lehman Brothers Commercial Corporation,ALL,,,,,,,,,,
LG&E Energy Marketing Inc.,ALL,,,,,,,,,,
Louis Dreyfus Corporation,ALL,,,,,,,,,,
Louis Dreyfus Energy Services L.P.,ALL,,,,,,,,,,
Louis Dreyfus Natural Gas Corp.,ALL,,,,,,,,,,
"Louisiana Land and Exploration Company, The",ALL,,,,,,,,,,
Louisiana-Pacific Corporation,ALL,,,Thomas,,,,,,,
Maclaren Energy Inc.,ALL,,,,,,,,,,
Macromedia Incorporated,ALL,,,,,,,,,,
Mahonia Ltd,ALL,,,,,,,,,,
"Mariner Energy, Inc.",ALL,,,,,,,,,,
"MarkWest Hydrocarbon, Inc.",ALL,,,,,,,,,,
"McElvain Oil & Gas Properties, Inc.",ALL,,,,,,,,,,
"Media General, Inc.",ALL,,,,,,,,,,
"Medianews Group, Inc.",ALL,,,,,,,,,,
"Mercado Gas Services, Inc.",ALL,,,,,,,,,,
Merced Irrigation District,ALL,,,,,,,,,,
"Merchant Energy Group of the Americas, Inc.",ALL,,,,,,,,,,
"Merit Energy Partners A, L.P.",ALL,,,,,,,,,,
"Merit Energy Partners B, L.P.",ALL,,,,,,,,,,
"Merit Energy Partners C-I, L.P.",ALL,,,,,,,,,,
"Merit Energy Partners C-II, L.P.",ALL,,,,,,,,,,
"Merit Energy Partners III, L.P.",ALL,,,,,,,,,,
"Merit Energy Partners IX, L.P.",ALL,,,,,,,,,,
"Merit Energy Partners VIII, L.P.",ALL,,,,,,,,,,
"Merit Energy Partners X, L.P.",ALL,,,,,,,,,,
"Merit Partners, L.P.",ALL,,,,,,,,,,
Merita Bank Plc,ALL,,,,,,,,,,
"Merrill Lynch Capital Services, Inc.",ALL,,,,,,,,,,
"Merrill Lynch Capital Services, Inc.",ALL,,,,,,,,,,
"Mexichem, S.A. de C.V.",ALL,,,,,,,,,,
MidAmerican Energy Company,ALL,,,,,,,,,,
Mieco Inc.,ALL,,,,,,,,,,
Miles Kimball Company,ALL,,,,,,,,,,
Minnesota Mining & Manufacturing Company,ALL,,,,,,,,,,
"Mirant Americas Energy Marketing, L.P.",ALL,,,Thomas,,,,,,,
Morgan Guaranty Trust Company Of New York,ALL,,,,,,,,,,
Morgan Stanley Capital Group Inc.,ALL,,,Thomas,,,,,,,
National Australia Bank Limited,ALL,,,,,,,,,,
National Bank of Canada,ALL,,,,,,,,,,
"National Energy & Trade, L.L.C.",ALL,,,,,,,,,,
"National Energy Group, Inc.",ALL,,,,,,,,,,
"National Fuel Marketing Company, LLC",ALL,,,,,,,,,,
National Gypsum Company,ALL,,,,,,,,,,
National Westminster Bank PLC,ALL,,,,,,,,,,
"Nemak, S.A.",ALL,,,,,,,,,,
Neumin Production Co.,ALL,,,,,,,,,,
"New England Serum Company, Inc.",ALL,,,,,,,,,,
"New York Times Company, The",ALL,,,,,,,,,,
Nexen Marketing,ALL,,,,,,,,,,
NGTS LLC,ALL,,,,,,,,,,
NJR Energy Corp.,ALL,,,,,,,,,,
Noble Gas Marketing Inc.,ALL,,,,,,,,,,
"Norampac, Inc.",ALL,,,,,,,,,,
North Coast Energy Inc,ALL,,,,,,,,,,
"North Texas Gas Partners, Ltd.",ALL,,,,,,,,,,
Northern Illinois Gas Company,ALL,,,,,,,,,,
Northville Industries Corp.,ALL,,,,,,,,,,
Nuevo Energy Company,ALL,,,,,,,,,,
"NUI Energy Brokers, Inc.",ALL,,,,,,,,,,
Nylon De Mexico S.A. de C.V.,ALL,,,,,,,,,,
"Occidental Energy Marketing, Inc.",ALL,,,Curry,,,,,,,
"OGE Energy Resources, Inc.",ALL,,,,,,,,,,
"ONEOK Energy Marketing and Trading Company, L.P.",ALL,,,,,,,,,,
"Pacific Forest Resources, Inc.",ALL,,,,,,,,,,
Pacific Gas & Electric Company,ALL,,,,,,,,,,
PanCanadian Energy Services Inc.,ALL,,,,,,,,,,
Par-Pak Ltd,ALL,,,,,,,,,,
"PCS Nitrogen Fertilizer, L.P.",ALL,,,,,,,,,,
"Peltz Group Inc., The",ALL,,,,,,,,,,
Peoples Energy Corporation,ALL,,,,,,,,,,
"Petro-Hunt, L.L.C.",ALL,,,,,,,,,,
"Petrotemex, S.A. de C.V.",ALL,,,,,,,,,,
"Petrous, LLC",ALL,,,,,,,,,,
"PG&E Energy Trading - Power, L.P.",ALL,,,,,,,,,,
PG&E Energy Trading-Gas Corporation,ALL,,,,,,,,,,
Phibro Inc.,ALL,,,,,,,,,,
Pilot Corporation,ALL,,,,,,,,,,
"Pioneer Natural Resources USA, Inc.",ALL,,,,,,,,,,
"Plains Marketing Canada, LP",ALL,,,,,,,,,,
Plains Resources Inc.,ALL,,,,,,,,,,
"PMI Trading, LTD",ALL,,,,,,,,,,
"Polykron, S.A. de C.V.",ALL,,,,,,,,,,
Power Authority of the State of New York,ALL,,,,,,,,,,
"PPL EnergyPlus, LLC",ALL,,,Thomas,,,,,,,
"Praxair, Inc.",ALL,,,Curry,,,,,,,
"Preston Exploration Company, LP",ALL,,,,,,,,,,
"Primary Natural Resources, Inc.",ALL,,,,,,,,,,
Prior Energy Corporation,ALL,,,,,,,,,,
"Prism Gas Systems, Inc.",ALL,,,,,,,,,,
Prize Energy Corp,ALL,,,,,,,,,,
PSEG Energy Resources & Trade LLC,ALL,,,,,,,,,,
Public Service Company Of Colorado,ALL,,,,,,,,,,
Pure Resources LP,ALL,,,,,,,,,,
Quadra Energy Trading Ltd.,ALL,,,,,,,,,,
Qualitech Steel Corporation,ALL,,,,,,,,,,
"Random House, Inc.",ALL,,,,,,,,,,
"Rand-Whitney Containerboard, L.P.",ALL,,,,,,,,,,
Range Resources Corporation,ALL,,,,,,,,,,
"Reliant Energy Services, Inc.",ALL,,,,,,,,,,
"Renaissance Reinsurance, Ltd.",ALL,,,,,,,,,,
"Republic Airways Holdings, Inc.",ALL,,,,,,,,,,
Resource Strategies L.L.C.,ALL,,,,,,,,,,
Richard E. Rainwater,ALL,,,,,,,,,,
"Richardson Energy Marketing, Ltd.",ALL,,,,,,,,,,
RME Energy Services Inc.,ALL,,,,,,,,,,
"RMS Monte Christo, LLC",ALL,,,,,,,,,,
Rock-Tenn Company,ALL,,,,,,,,,,
Rohm and Haas Company,ALL,,,,,,,,,,
"Royal Bank of Canada, The",ALL,,,,,,,,,,
Rumpke Consolidated Companies Inc.,ALL,,,,,,,,,,
RWE Trading GmbH,ALL,,,,,,,,,,
Sacramento Municipal Utility District,ALL,,,,,,,,,,
Samedan Oil Corporation,ALL,,,,,,,,,,
"Samsung America, Inc.",ALL,,,,,,,,,,
San Diego Gas & Electric Company,ALL,,,,,,,,,,
San Diego Gas & Electric Company,ALL,,,,,,,,,,
Sanchez Oil & Gas Corporation,ALL,,,,,,,,,,
Sapient Energy Corp.,ALL,,,,,,,,,,
"Segundo Navarro Drilling, Ltd.",ALL,,,,,,,,,,
"Select Energy, Inc.",ALL,,,,,,,,,,
Sempra Energy Trading Corp.,ALL,,,Thomas,,,,,,,
Seneca Resources Corporation,ALL,,,,,,,,,,
Sequa Corporation,ALL,,,,,,,,,,
"SG Interests V, Ltd.",ALL,,,,,,,,,,
"SGL Carbon, LLC",ALL,,,,,,,,,,
Shell Chemical Risk Management Company,ALL,,,,,,,,,,
Sierra Pacific Power Company,ALL,,,,,,,,,,
Skandinaviska Enskilda Banken AB (publ),ALL,,,,,,,,,,
"Small Ventures USA, L.L.C.",ALL,,,,,,,,,,
Smith Barney AAA Energy Fund L.P.,ALL,,,,,,,,,,
Societe Generale,ALL,,,,,,,,,,
Sonoco Products Company,ALL,,,,,,,,,,
South Jersey Resources Group LLC,ALL,,,,,,,,,,
Southern Union Company,ALL,,,,,,,,,,
"Southwest Royalties, Inc.",ALL,,,,,,,,,,
Southwestern Energy Company,ALL,,,,,,,,,,
"Specialty Timber, LLC",ALL,,,,,,,,,,
"Spinnaker Exploration Company, L.L.C.",ALL,,,,,,,,,,
St. Mary Land & Exploration Company,ALL,,,,,,,,,,
"Star Gas Propane, L.P.",ALL,,,,,,,,,,
"Statex Petroleum I, L.P.",ALL,,,,,,,,,,
"Statoil Energy Trading, Inc.",ALL,,,,,,,,,,
Statoil Marketing & Trading (US) Inc.,ALL,,,,,,,,,,
"Stratum Group Energy Capital, L.P.",ALL,,,,,,,,,,
"Stratum Group Energy Partners, L.P.",ALL,,,,,,,,,,
"Stratum Group, L.P.",ALL,,,,,,,,,,
"Summit Energy, LLC",ALL,,,,,,,,,,
Swiss Re Financial Products Corporation,ALL,,,,,,,,,,
T. Boone Pickens,ALL,,,,,,,,,,
Tauber Oil Company,ALL,,,,,,,,,,
Tauber Petrochemical Co.,ALL,,,,,,,,,,
Taylor Energy Company,ALL,,,,,,,,,,
"Tejas Gas Marketing, LLC",ALL,,,,,,,,,,
"Tembec Industries, Inc.",ALL,,,,,,,,,,
Tenaska III Texas Partners,ALL,,,,,,,,,,
Tenaska Marketing Ventures,ALL,,,,,,,,,,
Texaco Inc.,ALL,,,,,,,,,,
Texla Energy Management Inc.,ALL,,,,,,,,,,
The Bakersfield Californian,ALL,,,,,,,,,,
The Chase Manhattan Bank,ALL,,,,,,,,,,
The Houston Exploration Company,ALL,,,,,,,,,,
"The Mark Group, Inc.",ALL,,,,,,,,,,
The New Power Company,ALL,,,,,,,,,,
The Ospraie Portfolio LTD,ALL,,,,,,,,,,
The Quaker Oats Company,ALL,,,,,,,,,,
The Toronto-Dominion Bank,ALL,,,,,,,,,,
The Tudor BVI Global Portfolio Ltd.,ALL,,,,,,,,,,
The Worthington Steel Company,ALL,,,,,,,,,,
Tokyo-Mitsubishi International PLC,ALL,,,,,,,,,,
Torch Energy Marketing Inc.,ALL,,,,,,,,,,
Toronto Dominion (Texas) Inc.,ALL,,,,,,,,,,
"Tractebel Energy Marketing, Inc.",ALL,,,Thomas,,,,,,,
Trafigura Derivatives Limited,ALL,,,,,,,,,,
Transammonia Inc.,ALL,,,,,,,,,,
Tribune Company,ALL,,,,,,,,,,
"Trussway Holdings, Inc.",ALL,,,,,,,,,,
"Tubos de Acero de Mexico, S.A.",ALL,,,,,,,,,,
"Tudor Proprietary Trading, L.L.C.",ALL,,,,,,,,,,
TXU Energy Trading Company,ALL,,,,,,,,,,
UBS AG,ALL,,,,,,,,,,
Union Oil Company Of California,ALL,,,,,,,,,,
Union Pacific Railroad Company,ALL,,,,,,,,,,
Union Spring Fund Ltd.,ALL,,,,,,,,,,
United Oil & Minerals Limited Partnership,ALL,,,,,,,,,,
United States Gypsum Company,ALL,,,,,,,,,,
"Univex, S.A.",ALL,,,,,,,,,,
UPM-Kymmene Miramichi Inc.,ALL,,,,,,,,,,
Utilicorp United Inc.,ALL,,,,,,,,,,
Vanguard Petroleum Corp.,ALL,,,,,,,,,,
"Venoco, Inc.",ALL,,,,,,,,,,
"Vernon E. Faulconer, Inc.",ALL,,,,,,,,,,
"Vernon, Lillian Corporation",ALL,,,,,,,,,,
"Virginia Power Energy Marketing, Inc.",ALL,,,,,,,,,,
Vitol Capital Management Ltd.,ALL,,,,,,,,,,
Vitol S.A.,ALL,,,,,,,,,,
Vitro Corporativo S.A. de C.V.,ALL,,,,,,,,,,
Voest-Alpine Intertrading U.S.A. Inc.,ALL,,,,,,,,,,
Wasatch Energy LLC,ALL,,,,,,,,,,
"Waste Management Holdings, Inc.",ALL,,,,,,,,,,
Welco Lumber Corp.,ALL,,,,,,,,,,
"West Texas Gas, Inc.",ALL,,,,,,,,,,
Westdeutsche Landesbank Girozentrale,ALL,,,,,,,,,,
"Western Gas Resources, Inc.",ALL,,,,,,,,,,
Western Resources Inc.,ALL,,,,,,,,,,
"Westport Oil & Gas Company, Inc.",ALL,,,,,,,,,,
Westward Communications LLC,ALL,,,,,,,,,,
Weyerhaeuser Company Limited,ALL,,,Thomas,,,,,,,
Williams Energy Marketing & Trading Company,ALL,,,,,,,,,,
Wisconsin Gas Company,ALL,,,,,,,,,,
Wisconsin Power And Light Company,ALL,,,,,,,,,,
"Wiser Oil Company, The",ALL,,,,,,,,,,
"WPS Energy Services, Inc.",ALL,,,,,,,,,,
"WTG Gas Marketing, Inc.",ALL,,,,,,,,,,
"WTG Gas Processing, LP",ALL,,,,,,,,,,
Wyman-Gordon Company,ALL,,,,,,,,,,
"Wynn-Crosby 1994, Ltd.",ALL,,,,,,,,,,
"Wynn-Crosby 1995, Ltd.",ALL,,,,,,,,,,
"Wynn-Crosby 1996, Ltd.",ALL,,,,,,,,,,
"Wynn-Crosby 1997, Ltd.",ALL,,,,,,,,,,
Xerox Corporation,ALL,,,,,,,,,,
XTO Energy Inc.,ALL,,,,,,,,,,
"Yuma Companies, The (Inc.)",ALL,,,,,,,,,,
