"ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)"
2014,1952,CRAWFORD ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,1970,CREEKSIDE ELEMENTARY SCHOOL,E,27,63,26,37,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,1970,CREEKSIDE ELEMENTARY SCHOOL,A,27,63,26,37,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,1976,CREIGHTON MIDDLE SCHOOL,M,41,23,40,65,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,1976,CREIGHTON MIDDLE SCHOOL,A,41,23,40,65,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,1996,CREST VIEW ELEMENTARY SCHOOL,E,80,37.5,80,32,n<20,-,n<20,-,28,0.393,29,0.379,n<20,-
2014,1996,CREST VIEW ELEMENTARY SCHOOL,A,80,37.5,80,32,n<20,-,n<20,-,28,0.393,29,0.379,n<20,-
2014,2006,CRESTED BUTTE COMMUNITY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2006,CRESTED BUTTE COMMUNITY SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2006,CRESTED BUTTE COMMUNITY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2012,CRESTHILL MIDDLE SCHOOL,M,30,57.5,29,51,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2012,CRESTHILL MIDDLE SCHOOL,A,30,57.5,29,51,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2024,CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2024,CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2024,CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2027,POLARIS AT EBERT ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2027,POLARIS AT EBERT ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2035,CROWN POINTE CHARTER ACADEMY,E,23,26,21,15,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2035,CROWN POINTE CHARTER ACADEMY,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2035,CROWN POINTE CHARTER ACADEMY,A,29,33,24,18,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2050,CROWLEY COUNTY ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2050,CROWLEY COUNTY ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2063,CRYSTAL RIVER ELEMENTARY SCHOOL,E,171,74,171,24,38,0.974,21,0.857,69,0.812,34,0.912,n<20,-
2014,2063,CRYSTAL RIVER ELEMENTARY SCHOOL,A,171,74,171,24,38,0.974,21,0.857,69,0.812,34,0.912,n<20,-
2014,2067,COLORADO EARLY COLLEGE FORT COLLINS,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2067,COLORADO EARLY COLLEGE FORT COLLINS,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2089,COYOTE RIDGE ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2089,COYOTE RIDGE ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2093,DAKOTA RIDGE SENIOR HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2093,DAKOTA RIDGE SENIOR HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2094,DAKOTA VALLEY ELEMENTARY SCHOOL,E,48,66.5,48,15,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2094,DAKOTA VALLEY ELEMENTARY SCHOOL,A,48,66.5,48,15,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2095,DALTON ELEMENTARY SCHOOL,E,64,41,62,26.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2095,DALTON ELEMENTARY SCHOOL,A,64,41,62,26.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2096,CORWIN INTERNATIONAL MAGNET SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2096,CORWIN INTERNATIONAL MAGNET SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2096,CORWIN INTERNATIONAL MAGNET SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2114,DARTMOUTH ELEMENTARY SCHOOL,E,57,55,54,17.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2114,DARTMOUTH ELEMENTARY SCHOOL,A,57,55,54,17.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2115,DSST: STAPLETON MIDDLE SCHOOL,M,46,74,45,53,n<20,-,n<20,-,n<20,-,24,0.833,n<20,-
2014,2115,DSST: STAPLETON MIDDLE SCHOOL,A,46,74,45,53,n<20,-,n<20,-,n<20,-,24,0.833,n<20,-
2014,2120,D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2120,D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2122,DE BEQUE ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2122,DE BEQUE ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2125,DENVER GREEN SCHOOL,E,50,74,49,35,n<20,-,n<20,-,20,0.95,n<20,-,n<20,-
2014,2125,DENVER GREEN SCHOOL,M,20,56.5,20,57,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2125,DENVER GREEN SCHOOL,A,70,71,69,41,n<20,-,n<20,-,26,0.923,26,0.654,n<20,-
2014,2127,DENVER LANGUAGE SCHOOL,E,37,65,37,25,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2127,DENVER LANGUAGE SCHOOL,A,37,65,37,25,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2129,DENVER CENTER FOR INTERNATIONAL STUDIES AT FAIRMON,E,101,56,98,34,n<20,-,n<20,-,37,0.459,30,0.633,n<20,-
2014,2129,DENVER CENTER FOR INTERNATIONAL STUDIES AT FAIRMON,A,101,56,98,34,n<20,-,n<20,-,37,0.459,30,0.633,n<20,-
2014,2130,DEER CREEK MIDDLE SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2130,DEER CREEK MIDDLE SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2136,DEER TRAIL ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2136,DEER TRAIL ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2140,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2140,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2140,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2145,DSST: GREEN VALLEY RANCH HIGH SCHOOL,H,41,75,41,20,n<20,-,n<20,-,n<20,-,25,0.8,n<20,-
2014,2145,DSST: GREEN VALLEY RANCH HIGH SCHOOL,A,41,75,41,20,n<20,-,n<20,-,n<20,-,25,0.8,n<20,-
2014,2148,DEL NORTE MIDDLE SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2148,DEL NORTE MIDDLE SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2148,DEL NORTE MIDDLE SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2150,DEL NORTE HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2150,DEL NORTE HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2160,DELTA MIDDLE SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2160,DELTA MIDDLE SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2164,DELTA HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2164,DELTA HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2166,DELTA VISION SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2166,DELTA VISION SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2167,DENVER PUBLIC MONTESSORI JUNIOR/SENIOR HIGH SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2167,DENVER PUBLIC MONTESSORI JUNIOR/SENIOR HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2174,DENISON MONTESSORI SCHOOL,E,58,56.5,58,24,n<20,-,n<20,-,20,0.8,n<20,-,n<20,-
2014,2174,DENISON MONTESSORI SCHOOL,A,58,56.5,58,24,n<20,-,n<20,-,20,0.8,n<20,-,n<20,-
2014,2181,DSST: GREEN VALLEY RANCH MIDDLE SCHOOL,M,87,51,87,53,n<20,-,n<20,-,n<20,-,47,0.553,24,0.542
2014,2181,DSST: GREEN VALLEY RANCH MIDDLE SCHOOL,A,87,51,87,53,n<20,-,n<20,-,n<20,-,47,0.553,24,0.542
2014,2183,DENVER CENTER FOR INTERNATIONAL STUDIES,M,32,62,32,50,n<20,-,n<20,-,n<20,-,21,0.619,n<20,-
2014,2183,DENVER CENTER FOR INTERNATIONAL STUDIES,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2183,DENVER CENTER FOR INTERNATIONAL STUDIES,A,49,71,49,41,n<20,-,n<20,-,n<20,-,31,0.742,n<20,-
2014,2184,DENVER SCHOOL OF THE ARTS,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2184,DENVER SCHOOL OF THE ARTS,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2184,DENVER SCHOOL OF THE ARTS,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2185,DSST: STAPLETON HIGH SCHOOL,H,22,71.5,21,25,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2185,DSST: STAPLETON HIGH SCHOOL,A,22,71.5,21,25,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2186,DSST: BYERS,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2186,DSST: BYERS,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2188,DENVER CENTER FOR 21ST LEARNING AT WYMAN,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2188,DENVER CENTER FOR 21ST LEARNING AT WYMAN,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2188,DENVER CENTER FOR 21ST LEARNING AT WYMAN,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2194,DEVINNY ELEMENTARY SCHOOL,E,25,66,25,31,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2194,DEVINNY ELEMENTARY SCHOOL,A,25,66,25,31,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2195,DISCOVERY CANYON CAMPUS SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2195,DISCOVERY CANYON CAMPUS SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2195,DISCOVERY CANYON CAMPUS SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2195,DISCOVERY CANYON CAMPUS SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2202,DOHERTY HIGH SCHOOL,H,35,52,35,34,n<20,-,n<20,-,n<20,-,20,0.6,n<20,-
2014,2202,DOHERTY HIGH SCHOOL,A,35,52,35,34,n<20,-,n<20,-,n<20,-,20,0.6,n<20,-
2014,2204,DOLORES ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2204,DOLORES ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2205,DCIS AT FORD,E,257,64,257,31,49,1,59,0.831,96,0.708,48,0.646,n<20,-
2014,2205,DCIS AT FORD,A,257,64,257,31,49,1,59,0.831,96,0.708,48,0.646,n<20,-
2014,2206,DOLORES MIDDLE SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2206,DOLORES MIDDLE SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2207,DOWNTOWN DENVER EXPEDITIONARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2207,DOWNTOWN DENVER EXPEDITIONARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2208,DOLORES HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2208,DOLORES HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2209,DCIS AT MONTBELLO,M,146,66,146,58.5,n<20,-,n<20,-,40,0.525,79,0.481,n<20,-
2014,2209,DCIS AT MONTBELLO,H,70,75.5,70,27,n<20,-,n<20,-,34,0.794,26,0.846,n<20,-
2014,2209,DCIS AT MONTBELLO,A,216,68,216,53,n<20,-,n<20,-,74,0.649,105,0.571,23,0.739
2014,2222,DOS RIOS ELEMENTARY SCHOOL,E,98,40,97,30,n<20,-,n<20,-,29,0.621,37,0.541,n<20,-
2014,2222,DOS RIOS ELEMENTARY SCHOOL,A,98,40,97,30,n<20,-,n<20,-,29,0.621,37,0.541,n<20,-
2014,2223,DSST: COLE,M,88,62,87,60,n<20,-,n<20,-,21,0.476,49,0.612,n<20,-
2014,2223,DSST: COLE,A,88,62,87,60,n<20,-,n<20,-,21,0.476,49,0.612,n<20,-
2014,2224,DOS RIOS ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2224,DOS RIOS ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2226,CASTLE ROCK MIDDLE SCHOOL,M,23,37,23,52,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2226,CASTLE ROCK MIDDLE SCHOOL,A,23,37,23,52,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2230,DOUGLAS COUNTY HIGH SCHOOL,H,22,50.5,22,39,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2230,DOUGLAS COUNTY HIGH SCHOOL,A,22,50.5,22,39,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2232,ROCK RIDGE ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2232,ROCK RIDGE ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2233,CHEROKEE TRAIL ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2233,CHEROKEE TRAIL ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2234,EAGLE RIDGE ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2234,EAGLE RIDGE ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2240,DOUGLASS ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2240,DOUGLASS ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2248,DOUGLASS VALLEY ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2248,DOUGLASS VALLEY ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2258,DOULL ELEMENTARY SCHOOL,E,195,60,191,30,28,0.964,29,0.931,68,0.647,52,0.712,n<20,-
2014,2258,DOULL ELEMENTARY SCHOOL,A,195,60,191,30,28,0.964,29,0.931,68,0.647,52,0.712,n<20,-
2014,2288,DRAKE JUNIOR HIGH SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2288,DRAKE JUNIOR HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2292,DRY CREEK ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2292,DRY CREEK ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2297,DUAL IMMERSION ACADEMY SCHOOL,E,88,69,87,26,n<20,-,21,0.857,20,0.8,20,0.85,n<20,-
2014,2297,DUAL IMMERSION ACADEMY SCHOOL,A,88,69,87,26,n<20,-,21,0.857,20,0.8,20,0.85,n<20,-
2014,2298,DUNN ELEMENTARY SCHOOL,E,37,80,37,30,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2298,DUNN ELEMENTARY SCHOOL,A,37,80,37,30,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2300,DUNSTAN MIDDLE SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2300,DUNSTAN MIDDLE SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2308,DUPONT ELEMENTARY SCHOOL,E,272,21,271,28,34,0.912,35,0.714,93,0.473,82,0.146,27,0.889
2014,2308,DUPONT ELEMENTARY SCHOOL,A,272,21,271,28,34,0.912,35,0.714,93,0.473,82,0.146,27,0.889
2014,2318,DURANGO HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2318,DURANGO HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2322,DUTCH CREEK ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2322,DUTCH CREEK ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2328,EADS ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2328,EADS ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2338,EAGLE ACADEMY,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2338,EAGLE ACADEMY,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2340,EAGLE COUNTY CHARTER ACADEMY,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2340,EAGLE COUNTY CHARTER ACADEMY,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2340,EAGLE COUNTY CHARTER ACADEMY,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2343,EAGLE CREST ELEMENTARY SCHOOL,E,48,78.5,47,24,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2343,EAGLE CREST ELEMENTARY SCHOOL,A,48,78.5,47,24,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2346,EAGLE VALLEY ELEMENTARY SCHOOL,E,78,47,78,19,n<20,-,n<20,-,30,0.533,n<20,-,n<20,-
2014,2346,EAGLE VALLEY ELEMENTARY SCHOOL,A,78,47,78,19,n<20,-,n<20,-,30,0.533,n<20,-,n<20,-
2014,2349,ESCALANTE-BIGGS ACADEMY,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2349,ESCALANTE-BIGGS ACADEMY,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2350,EAGLE VALLEY HIGH SCHOOL,H,52,60,52,34,n<20,-,n<20,-,n<20,-,20,0.5,n<20,-
2014,2350,EAGLE VALLEY HIGH SCHOOL,A,52,60,52,34,n<20,-,n<20,-,n<20,-,20,0.5,n<20,-
2014,2355,EAGLE VALLEY MIDDLE SCHOOL,M,38,70,38,58,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2355,EAGLE VALLEY MIDDLE SCHOOL,A,38,70,38,58,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2357,EAGLECREST HIGH SCHOOL,H,38,55,36,37.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2357,EAGLECREST HIGH SCHOOL,A,38,55,36,37.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2358,EAGLEVIEW MIDDLE SCHOOL,M,24,56.5,23,54,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2358,EAGLEVIEW MIDDLE SCHOOL,A,24,56.5,23,54,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2361,EAGLEVIEW ELEMENTARY SCHOOL,E,37,42,35,28,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2361,EAGLEVIEW ELEMENTARY SCHOOL,A,37,42,35,28,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2364,EAGLETON ELEMENTARY SCHOOL,E,155,66,152,31,26,1,29,0.759,45,0.778,38,0.842,n<20,-
2014,2364,EAGLETON ELEMENTARY SCHOOL,A,155,66,152,31,26,1,29,0.759,45,0.778,38,0.842,n<20,-
2014,2374,EAST ELEMENTARY SCHOOL,E,38,43,37,30,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2374,EAST ELEMENTARY SCHOOL,A,38,43,37,30,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2376,EAST GRAND MIDDLE SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2376,EAST GRAND MIDDLE SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2382,EAST ELEMENTARY SCHOOL,E,122,56,121,27,n<20,-,n<20,-,38,0.579,36,0.806,n<20,-
2014,2382,EAST ELEMENTARY SCHOOL,A,122,56,121,27,n<20,-,n<20,-,38,0.579,36,0.806,n<20,-
2014,2384,EAST MIDDLE SCHOOL,M,419,51,416,57,n<20,-,32,0.219,120,0.267,175,0.486,84,0.44
2014,2384,EAST MIDDLE SCHOOL,A,419,51,416,57,n<20,-,32,0.219,120,0.267,175,0.486,84,0.44
2014,2392,EAST MIDDLE SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2392,EAST MIDDLE SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2394,EAST HIGH SCHOOL,H,56,67,55,35,n<20,-,n<20,-,n<20,-,23,0.87,n<20,-
2014,2394,EAST HIGH SCHOOL,A,56,67,55,35,n<20,-,n<20,-,n<20,-,23,0.87,n<20,-
2014,2398,EAST HIGH SCHOOL,H,71,80,71,33,n<20,-,n<20,-,n<20,-,39,0.795,n<20,-
2014,2398,EAST HIGH SCHOOL,A,71,80,71,33,n<20,-,n<20,-,n<20,-,39,0.795,n<20,-
2014,2399,EAGLE RIDGE ACADEMY,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2399,EAGLE RIDGE ACADEMY,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,2400,EARLY COLLEGES HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
