U.S. Energy Information Administration,,,,,,,,,,,,
September 2014 Monthly Energy Review,,,,,,,,,,,,
,,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,,
,,,,,,,,,,,,
"Release Date: September 25, 2014",,,,,,,,,,,,
"Next Update: October 28, 2014",,,,,,,,,,,,
,,,,,,,,,,,,
Table 11.2 Petroleum Consumption in OECD Countries,,,,,,,,,,,,
,,,,,,,,,,,,
Month,"Petroleum Consumption, France","Petroleum Consumption, Germany","Petroleum Consumption, Italy","Petroleum Consumption, United Kingdom","Petroleum Consumption, OECD Europe","Petroleum Consumption, Canada","Petroleum Consumption, Japan","Petroleum Consumption, South Korea","Petroleum Consumption, United States","Petroleum Consumption, Other OECD","Petroleum Consumption, Total OECD","Petroleum Consumption, World"
34151,1826,2973,1810,1820,14314,1723,4842,1400,17357.084,3271,42907,Not Available
34182,1632,2902,1728,1806,13737,1774,4749,1432,17331.56,3259,42283,Not Available
34213,1764,3171,1933,1859,14785,1746,4836,1564,17650.268,3254,43835,Not Available
34243,1788,2821,1921,1817,14187,1747,4993,1687,17322.964,3251,43188,Not Available
34274,2044,3066,2109,1997,15446,1801,5503,1892,17779.836,3337,45759,Not Available
34304,1982,3131,2218,1860,15439,1828,6286,2241,17952.779,3588,47335,Not Available
34335,1873,2496,1801,1739,13587,1684,5876,2008,18072.039,3278,44505,Not Available
34366,2001,3002,1937,1916,15169,1784,6488,1986,18337.285,3500,47264,Not Available
34394,1858,3066,1919,1949,14855,1688,6254,2039,17312.783,3566,45715,Not Available
34425,1883,2903,1845,1804,14307,1622,5258,1685,17488.69,3478,43839,Not Available
34455,1706,2751,1702,1765,13490,1695,4777,1591,17181.157,3517,42251,Not Available
34486,1844,3003,1712,1875,14499,1730,5070,1596,17815.368,3546,44256,Not Available
34516,1803,2820,1730,1743,13823,1764,5485,1595,17485.348,3509,43661,Not Available
34547,1767,2910,1726,1743,14162,1847,5567,1592,18116.696,3575,44860,Not Available
34578,1952,3043,1973,1858,15099,1800,5283,1727,17490.306,3501,44900,Not Available
34608,1875,2887,1901,1849,14523,1812,5325,1849,17719.314,3421,44649,Not Available
34639,1844,2919,2099,1950,15046,1811,5932,2067,17314.896,3726,45897,Not Available
34669,1993,2823,2098,1814,15043,1823,6587,2356,18319.319,3686,47814,Not Available
34700,1972,2718,1927,1737,14387,1711,5993,2324,17218.859,3528,45162,Not Available
34731,1921,2797,2109,1935,14959,1895,6732,2282,18278.681,3575,47722,Not Available
34759,2025,3193,1977,1955,15525,1749,6294,2063,17483.867,3596,46711,Not Available
34790,1858,2881,1821,1771,14485,1591,5543,2006,17142.164,3370,44137,Not Available
34820,1786,2948,1812,1761,14178,1762,5016,1715,17293.451,3520,43484,Not Available
34851,1871,2885,1868,1790,14538,1769,4959,1676,18130.621,3450,44523,Not Available
34881,1956,2840,1845,1719,14176,1763,5075,1668,17146.662,3379,43208,Not Available
34912,1808,2931,1705,1779,14418,1878,5557,1775,18043.932,3436,45108,Not Available
34943,1911,2959,1945,1800,14914,1871,5366,1800,18025.878,3335,45312,Not Available
34973,1893,2767,2037,1824,14822,1797,5114,1925,17651.065,3256,44565,Not Available
35004,1981,2920,2177,1993,15693,1931,5873,2347,17979.305,3490,47313,Not Available
35034,2055,2745,2101,1744,15102,1884,6860,2532,18366.463,3505,48249,Not Available
35065,1997,2914,1977,1737,14844,1853,6203,2465,18260.613,3528,47154,Not Available
35096,2187,3041,2115,1925,15996,1923,6757,2302,18619.793,3604,49202,Not Available
35125,1984,2872,2053,1865,15035,1807,6317,2351,18300.677,3617,47428,Not Available
35156,1924,2755,1821,1860,14370,1737,5616,2122,17884.9,3577,45307,Not Available
35186,1814,2874,1745,1851,14432,1785,5020,1706,17956.581,3495,44395,Not Available
35217,1825,2841,1769,1752,14291,1860,4983,1774,18106.9,3455,44470,Not Available
35247,1984,2968,2023,1800,15128,1860,5375,1728,18210.742,3499,45801,Not Available
35278,1844,3045,1651,1803,14676,1938,5441,1823,18657.935,3443,45979,Not Available
35309,1935,3105,1934,1887,15676,1787,5230,1914,17654.567,3381,45643,Not Available
35339,1994,2871,2066,1923,15539,1948,5453,2119,19171.032,3501,47731,Not Available
35370,1884,2984,1944,1977,15526,1899,5984,2202,18535.133,3423,47569,Not Available
35400,2027,2807,1953,1847,15193,1836,6521,2705,18334.032,3598,48187,Not Available
35431,2182,2916,1918,1857,15440,1903,6270,2614,18554.323,3553,48334,Not Available
35462,2156,2666,1995,1943,15288,1932,6731,2413,18398.036,3618,48380,Not Available
35490,1815,2705,1810,1776,14348,1841,6127,2371,17862.548,3525,46075,Not Available
35521,1928,3233,1877,1818,15491,1802,5302,2190,18558.967,3656,47000,Not Available
35551,1726,2775,1780,1728,14257,1895,5075,2018,18292.839,3521,45059,Not Available
35582,1892,3137,1825,1787,15198,1974,5130,1828,18617.167,3568,46315,Not Available
35612,2092,3089,1911,1763,15484,2068,5446,1916,19106.645,3604,47625,Not Available
35643,1808,2759,1690,1717,14269,2035,5399,2057,18565.065,3672,45997,Not Available
35674,2014,3177,2059,1831,15823,1948,5418,2098,18561.633,3711,47560,Not Available
35704,2159,2883,2098,1854,15828,1998,5410,2359,19070.968,3584,48250,Not Available
35735,1746,2896,2062,1816,15226,1912,5727,2448,18578.3,3643,47534,Not Available
35765,2121,2774,2190,1843,15728,1971,6448,2747,19250.29,3877,50021,Not Available
35796,2068,2747,1913,1794,15020,1906,6109,2022,18361.677,3583,47002,Not Available
35827,2178,2966,2022,1843,15882,1976,6466,2031,18316.286,3780,48451,Not Available
35855,2015,3168,1995,1865,15921,1913,5906,2103,18685.129,3759,48287,Not Available
35886,2006,2855,1896,1717,15029,1847,5080,1858,19044,3641,46499,Not Available
35916,1825,2609,1777,1696,14178,1783,4801,1786,18374.968,3601,44524,Not Available
35947,2042,2944,1964,1787,15526,1900,5010,1720,19181.533,3854,47192,Not Available
35977,2114,3035,1980,1769,15660,1907,5314,1698,19466.161,3788,47833,Not Available
36008,1865,2850,1762,1766,14814,1942,5280,1693,19346.71,3789,46865,Not Available
36039,2082,3034,1913,1798,15744,2007,5095,1863,18894.933,3644,47248,Not Available
36069,2017,2880,1906,1813,15622,2044,5087,1856,19187.871,3813,47610,Not Available
36100,2092,3001,2085,1861,16217,1984,5611,2053,18673,3860,48398,Not Available
36130,2225,2992,2114,1804,16432,1965,6378,2321,19419.29,3969,50484,Not Available
36161,2032,2574,1963,1760,14926,1956,5874,2283,19028.839,3609,47677,Not Available
36192,2224,3185,2016,1959,16551,2043,6457,2279,19106.821,3841,50278,Not Available
36220,2128,3562,1919,1927,16768,1979,6180,2287,19496.613,4075,50786,Not Available
36251,2011,2445,1800,1788,14793,1911,5422,2065,19151.6,3751,47094,Not Available
36281,1739,2485,1681,1718,14021,1972,4883,1749,18705.387,3716,45046,Not Available
36312,2014,2700,1867,1783,15176,2026,5066,1793,19836.467,4003,47900,Not Available
36342,1999,2600,1866,1766,14881,2071,5187,1946,19820.097,3729,47634,Not Available
36373,1890,2748,1712,1766,14615,2059,5373,1905,20093.032,3889,47934,Not Available
36404,1989,2890,1975,1798,15451,2124,5459,2039,19482.567,3758,48314,Not Available
36434,2017,2939,1894,1793,15364,2008,5184,2029,19868.226,3792,48245,Not Available
36465,2156,2981,1981,1881,16184,2087,5831,2205,19087.2,3797,49191,Not Available
36495,2197,2942,2028,1811,16293,1962,6840,2437,20498.484,4167,52197,Not Available
36526,2146.774,2401.097,1811.742,1734.871,14734.969,1843,5499.903,2350.226,19025.774,3914.698,47368.57,0
36557,2122.793,2718.759,1971.345,1827.069,15744.26,2105.379,6449.103,2387.724,19635.069,3903.748,50225.284,0
36586,2104.613,2743.484,1883.161,1918.548,15575.437,1936.677,6306.484,2270.484,19217.806,4030.182,49337.071,0
36617,1928.833,2653.967,1760.867,1678.267,14587.384,1827.7,5204.4,2127.667,18816.433,3760.539,46324.123,0
36647,1843.226,2687.936,1736.807,1687.323,14754.632,2053.839,4879.419,2083.742,19605,3989.859,47366.491,0
36678,1948.9,2707.3,1895.1,1722.533,15077.376,2023.8,4888.567,1986.933,20054.1,3897.105,47927.882,0
36708,1951.71,2750.258,1799.032,1663.194,14713.462,1974.129,5238.581,1824.774,19696.29,3815.633,47262.869,0
36739,1960.065,3063.774,1801.645,1786.71,15746.925,2060.161,5492.871,2024.226,20496.161,4068.343,49888.687,0
36770,1786.867,2989.167,1914.033,1822.4,15611.752,2084.8,5437.1,2024.767,19898.933,3844.272,48901.624,0
36800,2236.29,2760.839,1845.29,1819.936,15694.601,2067.581,5013.71,1969.839,19798.194,3829.149,48373.072,0
36831,2019.567,2859,1871.367,1859.7,15669.711,2132.7,5588.567,2262.767,19327.567,3893.605,48874.916,0
36861,1954.839,2866.936,1963.258,1669.387,15423.276,2063.484,6216.226,2322.613,20814.484,3864.891,50704.974,0
36892,2181.677,2688.129,1790.742,1754.807,15383.089,2102.548,6038.774,2430.677,20092.129,3870.243,49917.461,Not Available
36923,2117.071,2633.536,1878.643,1758.536,15400.793,2138.536,6377.464,2289.25,19689.393,3977.048,49872.483,Not Available
36951,2024.613,2777.839,1769.71,1864.903,15326.497,1990.452,5858.065,2244.774,19876.161,4033.714,49329.662,Not Available
36982,2027.2,2693.733,1675.367,1767.333,14831.907,1914.233,5113.2,1990.433,19728.9,3801.429,47380.103,Not Available
37012,1910.936,2707.871,1768.484,1721.194,14941.994,2031.097,4906.258,1987.129,19500.968,3988.323,47355.769,Not Available
37043,1982.467,2870.1,1737.367,1690.733,15038.008,2020.833,4839.467,2041.9,19560.967,3908.888,47410.062,Not Available
37073,2068.097,2971.742,1879.581,1686.032,15490.071,2034.71,5125.645,1820.258,19919.161,3863.392,48253.237,Not Available
37104,2003,3052.226,1791.161,1725,15622.65,2191.968,5201.742,1913.129,20152.903,4053.289,49135.681,Not Available
37135,2100.8,2906.067,1993.2,1799.767,15958.889,1940.733,4955.033,2152.933,19016.167,3647.491,47671.247,Not Available
37165,2074.29,2875.29,1869.71,1714.484,15729.591,2060.129,4932.645,1932.194,19823.742,3857.936,48336.237,Not Available
37196,2095.167,2918.567,1871.467,1797.1,16024.709,2110.333,5477.2,2257.367,19395.967,3836.07,49101.646,Not Available
37226,2073.581,2582.71,1966.677,1687.226,15579.055,1985.677,6170.645,2536.903,19003.161,3858.932,49134.374,Not Available
37257,2222.065,2572.226,1947.032,1687.936,15642.849,2023.194,5690.258,2404.29,19453.516,3798.21,49012.317,Not Available
37288,2077.821,2672.714,2032.071,1776.071,15689.807,2096.893,6013.071,2266.429,19443.679,4004.952,49514.831,Not Available
37316,1962.71,2637.161,1866.194,1791.387,15123.973,2061,5434.871,2286,19676.29,3783.411,48365.545,Not Available
37347,1940.633,2663.733,1828.3,1738.733,15149.105,1972,4878.2,2143.9,19552.067,3879.35,47574.622,Not Available
37377,1793.129,2480.258,1810.903,1704.194,14568.365,1987.355,4487.29,1865.194,19728.161,3810.009,46446.373,Not Available
37408,1944.6,2764.467,1830.967,1694.167,15227.15,2041.8,4564.833,1885.567,19874.867,3771.721,47365.937,Not Available
37438,2101.774,2910.548,1940.774,1732.387,15739.433,2075.968,5048.71,1866.258,20075.839,4017.816,48824.023,Not Available
37469,1874,2777.968,1757.065,1723.516,15050.715,2130,5019.355,1964.774,20221.258,4019.138,48405.241,Not Available
37500,2006.767,2921.867,1842.1,1800.067,15727.739,2010.2,5060.767,2107.233,19460.933,3959.951,48326.823,Not Available
37530,2078.097,2760.807,1933.645,1751.936,15897.656,2126.194,5122.742,2118.226,19678.387,4005.836,48949.04,Not Available
37561,1986.367,2735.5,1793.5,1752.433,15511.626,2153.6,5943.267,2334.233,19991.2,3870.388,49804.314,Not Available
37591,1916.323,2631.774,1868.71,1715.452,15371.593,2103,6602.226,2555.032,19943.355,4074.191,50649.397,Not Available
37622,2115.452,2417.548,1782.097,1697.258,15283.755,2119.419,6073.807,2526.871,20016.516,3862.386,49882.754,Not Available
37653,2180.714,2734.821,2030.964,1862.25,16229.666,2260.964,6498.321,2415.643,20375,4037.123,51816.718,Not Available
37681,1869,2571.194,1806.645,1875.129,15068.642,2109.323,6090.419,2213.129,19707.516,3942.994,49132.023,Not Available
37712,1912.933,2769.2,1819.233,1720.1,15341.677,2157.767,5150.933,1977.2,19830.4,3996.38,48454.357,Not Available
37742,1827.613,2794.452,1793.097,1703.387,15096.594,2182.774,4926.452,1998,19343.71,4005.229,47552.759,Not Available
37773,1966.533,2699.8,1855,1751.6,15257.849,2105.833,4976.267,2058.6,19793.267,3973.816,48165.632,Not Available
37803,2083.355,2660.742,1903.677,1762.903,15617.08,2185.645,4848.323,1926.742,20093.903,4124.965,48796.658,Not Available
37834,1829.452,2469.71,1747.161,1672.581,14741.676,2240.936,4866.387,1958.065,20585.581,3969.323,48361.967,Not Available
37865,2128.267,2877.833,1929.8,1852.133,16183.204,2164.867,4957.133,1998.567,19932.533,4072.055,49308.358,Not Available
37895,2136.097,2765.807,1909.516,1672.032,16039.84,2270.516,5231.129,2209.936,20182.161,3996.954,49930.536,Not Available
37926,1869.033,2629.367,1792.767,1809.1,15288.205,2212.7,5358.8,2338.233,19872.667,3950.05,49020.655,Not Available
37956,2110.29,2575.484,1961.129,1746.936,15814.019,2280.677,6225.548,2496.258,20679.129,4214.963,51710.595,Not Available
37987,2093.581,2442.484,1743.097,1749.71,15048.378,2263.968,5855.677,2389.355,20479.194,4055.668,50092.239,Not Available
38018,2128.517,2658.103,1847.138,1738.793,15782.125,2314.966,6046.966,2261.241,20872.448,4194.596,51472.342,Not Available
38047,2088.613,2785.065,1896.452,1832.258,16048.686,2299.871,5833.742,2261.097,20452.677,4155.647,51051.72,Not Available
38078,2065.3,2645.2,1776.3,1843.633,15683.367,2174.4,5074.967,2055.1,20544.833,4025.401,49558.067,Not Available
38108,1750.097,2311.548,1734.258,1741.032,14392.15,2135.677,4698.032,1985.387,20313.226,4056.296,47580.769,Not Available
38139,1979.933,2610.933,1874.933,1808.533,15477.108,2267.333,4759.633,2047.133,20779.833,4120.532,49451.573,Not Available
38169,1991.677,2671.129,1912.742,1812.936,15590.186,2271.161,5096.161,1909.968,20880.419,4158.593,49906.489,Not Available
38200,1831.484,2636.097,1692.645,1764.645,15027.726,2301.065,5255.258,2043.71,21027.871,4058.464,49714.094,Not Available
38231,2107.033,2811.667,1893.667,1800.5,16173.16,2330.6,4936.8,2073.267,20528.6,4074.132,50116.558,Not Available
38261,2022.258,2639.677,1874.581,1799.226,15778.836,2272.419,5113.71,2149.774,20860.871,3925.239,50100.849,Not Available
38292,1994.567,2804.633,1808.367,1830.167,16036.662,2360.733,5201.633,2244.633,20805.367,4226.299,50875.328,Not Available
38322,2070.226,2785.677,1895.29,1750.355,16141.744,2393.677,5957.581,2441.161,21229,4292.69,52455.853,Not Available
38353,1967,2447.677,1720.387,1826.484,15219.761,2397.71,5825,2458.161,20694.311,4059.292,50654.246,Not Available
38384,2212.321,2677.25,1888.393,1836.893,16327.479,2411.714,6247.964,2343.571,20830.446,4179.231,52340.389,Not Available
38412,2122.258,2517.097,1863.839,1842.258,15986.605,2307.323,6024.645,2453.097,21008.842,4151.324,51931.832,Not Available
38443,1909.2,2544.5,1779.033,1759.7,15465.958,2150.6,5135.667,2182.533,20136.71,4294.696,49366.154,Not Available
38473,1874.387,2584.29,1699.903,1779.645,15133.048,2279.355,4552.032,1973.129,20606.179,4104.506,48648.264,Not Available
38504,1971.633,2513.433,1737.9,1815.933,15536.765,2321.233,5008.633,2092.233,21198.368,4246.791,50404.022,Not Available
38534,1936.355,2588.548,1785.903,1791.839,15288.335,2266.613,4945.161,1929.387,20938.851,4026.269,49394.604,Not Available
38565,1996.226,2859.419,1630,1807.71,15888.473,2379.097,4970.71,2057.29,21666.06,4212.657,51174.291,Not Available
38596,2050.4,2825.067,1784.7,1870.9,16112.565,2242.633,5033.633,2082.2,20141.573,4149.47,49762.069,Not Available
38626,1861.516,2664.613,1758.581,1770.742,15484.463,2266.387,4699.613,1953.968,20252.828,3942.356,48599.626,Not Available
38657,1996.033,2742.8,1832.867,1863.167,16132.747,2437.267,5289.733,2281.567,20623.35,4369.262,51133.943,Not Available
38687,2013.581,2493.387,1896.161,1871,15952.788,2325.645,6264.355,2499.548,21495.396,4353.719,52891.443,Not Available
38718,2095.161,2498.452,1792.452,1839.226,15555.519,2136.581,5971.29,2401.71,20436.296,4226.035,50727.425,Not Available
38749,2152.214,2609,2044.857,1784.107,16171.018,2287.321,6106.857,2292.964,20576.975,4224.873,51659.998,Not Available
38777,2113.419,2624.129,1971.226,2014.548,16405.311,2246.419,5680.903,2205.161,20608.357,4359.74,51505.889,Not Available
38808,1909.833,2461.133,1640.333,1704.833,14829.327,2084.733,5104.667,2012.1,20201.254,4188.708,48420.802,Not Available
38838,1837.871,2640.452,1711.807,1845.903,15319.531,2136.548,4437.774,2054.71,20457.008,4175.832,48581.396,Not Available
38869,1966.8,2592.267,1734.833,1855.733,15811.293,2261.2,4760.2,2082.833,20981.725,4241.384,50138.644,Not Available
38899,1976.226,2575.097,1754.677,1793.419,15450.964,2274.613,4984.065,1913.581,20740.25,4051.931,49415.41,Not Available
38930,1893.742,2721.161,1622.065,1719,15493.425,2333.387,4832.484,2108.29,21433.814,4233.027,50434.42,Not Available
38961,2024.033,2896.7,1795.133,1816.2,16160.798,2220.3,4543.933,2115.133,20558.82,4106.417,49705.416,Not Available
38991,2073.484,2768.097,1733.194,1808.871,16154.003,2229.742,4781.258,2066.161,20768.935,4093.608,50093.707,Not Available
39022,1942.9,2752.233,1811.067,1832.167,16061.843,2317.267,5258.767,2369.467,20668.715,4282.318,50958.36,Not Available
39052,1919.71,2530.194,1729.323,1654.452,15136.976,2222.71,5958.419,2543.161,20795.239,4315.092,50971.584,Not Available
39083,2074,2259.2,1667.1,1749.2,15160.6,2290.6,5228.5,2423.1,20567.088,4131.744,49801.641,Not Available
39114,1999.3,2307,1810.7,1798.8,15532.3,2455.3,5578.6,2423.7,21308.98,4250.14,51549.004,Not Available
39142,1964.2,2418.9,1760.9,1787,15403.1,2338.6,5418.8,2314.9,20535.818,4325.083,50336.289,Not Available
39173,1897,2245.7,1681.8,1793.5,14991.4,2173.1,4920.9,2249,20535.969,4078.983,48949.349,Not Available
39203,1828.9,2335.5,1753.5,1689.3,15054.7,2329.2,4449,2104.2,20620.495,4278.231,48835.815,Not Available
39234,1942.8,2385.2,1720.9,1747.7,15457.5,2311.6,4613.3,2096.8,20723.073,4425.549,49627.816,Not Available
39264,1982,2438.1,1736.2,1711.8,15550.6,2371.5,4608.1,2079.9,20746.924,4358.883,49715.918,Not Available
39295,1949.7,2519.6,1601.5,1764.5,15618.3,2428.4,4640.2,2124.4,21025.475,4247.709,50084.492,Not Available
39326,1971.1,2536.6,1702.2,1741.1,15798.1,2354.6,4904.6,2061.8,20414.587,4095.616,49629.316,Not Available
39356,2169.6,2596.3,1797.6,1752.1,16351.8,2362.2,4836.5,2241.3,20476.421,4385.238,50653.457,Not Available
39387,2105.3,2483.3,1775.5,1795,16112,2405.6,5250.9,2383.9,20534.674,4315.649,51002.716,Not Available
39417,1865.7,2346,1743.1,1684.8,15163.2,2319.1,5705,2395,20719.31,4313.425,50615.047,Not Available
39448,2048.5,2464.9,1685.8,1718.1,15558,2338.7,5344.7,2362,20246.98,4173.691,50024.059,Not Available
39479,1979,2562,1761.2,1829.1,15771.5,2366,5857.7,2336.8,20028.827,4288.256,50649.084,Not Available
39508,1870,2383.9,1612.4,1697.9,14946.3,2263.6,5072.3,2255.8,19830.916,4116.52,48485.424,Not Available
39539,1993.2,2490.6,1671.6,1844.9,15714.7,2153.3,5033.8,2087.7,19814.981,4418.279,49222.746,Not Available
39569,1839,2279.6,1666,1643.3,14808.2,2211.8,4483.9,2170.9,19797.525,4339.001,47811.317,Not Available
39600,1885.4,2385.2,1665.7,1731.9,15058.6,2257.4,4361.2,1982.8,19678.063,4257.213,47595.279,Not Available
39630,1912.6,2603.1,1759.7,1646.6,15578.5,2299.8,4485.7,2017.6,19556.578,4453.927,48392.107,Not Available
39661,1843.6,2589.1,1554.3,1599.5,15126.4,2216.6,4204.4,2018.1,19272.29,4301.807,47139.598,Not Available
39692,1982,2798,1695,1745.3,16228.8,2273.1,4321.2,2156.7,17838.845,4145.513,46964.146,Not Available
39722,2036.7,2813.8,1690.1,1750,16039.3,2307.3,4371.6,2012.6,19698.292,4054.898,48483.988,Not Available
39753,1868.5,2593,1588.8,1733,15068.7,2286.8,4600.8,2048.6,19052.428,4009.913,47067.246,Not Available
39783,2074.7,2444.3,1655.2,1732.7,15260.6,2232.8,5143.6,2261.3,19142.237,4286.607,48327.133,Not Available
39814,2030,2398.5,1507.2,1711.5,14906,2265.8,4797.1,2300.8,19039.816,3966.743,47276.25,Not Available
39845,2042,2624.9,1585.8,1662.7,15254.5,2259.5,4693.9,2459.2,18821.811,4126.233,47615.155,Not Available
39873,1959.6,2768,1522.1,1707.3,15200.6,2186.3,4575.3,2190.2,18718.9,4087.653,46958.956,Not Available
39904,1839.8,2487.8,1527.2,1674.7,14690.5,2086.7,4232.8,2212.4,18672.389,4031.14,45925.94,Not Available
39934,1708.5,2318.3,1481,1582.2,13984.8,2091.1,3820.8,2131.5,18211.024,4047.724,44286.956,Not Available
39965,1857.8,2354.9,1541.9,1658.3,14694.8,2182.7,4081.2,2080.2,18827.623,4144.707,46011.24,Not Available
39995,1878.7,2394.5,1692.8,1627.9,14821.4,2206.8,4004.8,2008.7,18626.206,4161.173,45829.066,Not Available
40026,1616.2,2246.1,1416.1,1624.2,13904.4,2194.3,4174.2,2069,18949.429,4121.737,45413.056,Not Available
40057,1924.5,2532.3,1597,1640.3,15123.8,2175.3,4165,2037.2,18594.425,4025.44,46121.174,Not Available
40087,1884.5,2488.6,1599,1621.4,14917.2,2140.9,4301.5,2191.9,18802.848,4168.64,46522.979,Not Available
40118,1754.8,2335.6,1501,1603.9,14301.9,2188.2,4421.2,2230.7,18752.988,4196.64,46091.64,Not Available
40148,1934.2,2281.7,1563.5,1500.4,14432.4,2236.5,5100,2370,19236.535,4319.066,47694.514,Not Available
40179,1758.1,2158.7,1368.8,1576.2,13578.8,2153.7,4834.1,2361.1,18651.691,3853.387,45432.764,Not Available
40210,1957.5,2451.2,1535.5,1676.8,14811.1,2284.1,4995.9,2383.6,18849.613,4240.189,47564.496,Not Available
40238,1915.1,2502.7,1563,1672.7,14875.3,2174.1,4740.9,2253.3,19099.464,4049.651,47192.703,Not Available
40269,1846.5,2257.5,1519.9,1636.4,14330.7,2205.7,4346.7,2248.8,19043.578,4140.698,46316.165,Not Available
40299,1695.2,2351.8,1451,1605,13956.4,2227.7,3832.8,2169.9,18865.925,4066.903,45119.638,Not Available
40330,1837.9,2507,1577.7,1588.5,14771.4,2372.6,3963.5,2177.6,19536.55,4220.865,47042.532,Not Available
40360,1830.6,2568.4,1658.2,1620.9,14971.7,2229.8,4155,2111.4,19318.608,4155.861,46942.374,Not Available
40391,1742.7,2544.1,1505.9,1633,14607.4,2403,4371.8,2220.8,19661.824,4034.441,47299.28,Not Available
40422,1946.8,2744.2,1624.3,1630.1,15432.3,2351,4420.6,2192.3,19438.484,4058.032,47892.732,Not Available
40452,1754.6,2619.3,1532.1,1657.2,14997.4,2274.5,4016.7,2225.5,18973.905,4033.457,46521.461,Not Available
40483,1790.3,2582.3,1566.8,1636.8,15074.3,2343.2,4543.8,2391.7,18977.073,4138.498,47468.565,Not Available
40513,1940.9,2321.6,1630.3,1516,14659.8,2385.4,4969.6,2495.3,19721.689,4230.835,48462.612,Not Available
40544,1774.8,2222.5,1391.2,1571,13604.4,2275.1,4826,2458,18910.815,3811.93,45886.245,Not Available
40575,1917.6,2424.3,1597.8,1619.6,14742.6,2337.7,5030.3,2381.2,18808.63,4258.838,47559.268,Not Available
40603,1791.1,2385.2,1484,1606.4,14216,2410.5,4526.1,2323.9,19234.024,4252.733,46963.257,Not Available
40634,1748.9,2249.9,1502.2,1590.4,13900.7,2165.6,4068.3,2040.3,18588.106,4093.522,44856.528,Not Available
40664,1736,2395.5,1464,1525.9,14015.8,2204.4,3748.5,2050.3,18419.924,4111.04,44549.964,Not Available
40695,1787.4,2262.3,1550.3,1657.3,14333.9,2361.6,3913.3,2141.9,19181.503,4261.755,46193.958,Not Available
40725,1800.9,2400.8,1516.8,1532.8,14342.9,2341.3,4198.6,2217.1,18705.327,4193.053,45998.28,Not Available
40756,1805.5,2630.6,1439,1587.7,14686.5,2476.1,4426,2240.7,19348.833,4239.027,47417.16,Not Available
40787,1920.4,2542.4,1581.5,1640.7,14917.92,2322.8,4263.4,2270.6,18847.614,4213.022,46835.356,Not Available
40817,1778.3,2500.5,1504.6,1548.6,14326.32,2210.4,4373.7,2244.2,18796.301,4010.382,45961.303,Not Available
40848,1731.9,2438.8,1445.3,1564.7,14116.07,2296.9,4562.7,2281.5,19018.888,4273.188,46549.246,Not Available
40878,1738.2,2254.3,1462.7,1502.2,13680.92,2318.7,5398.3,2464.9,18721.275,4292.756,46876.851,Not Available
40909,1777.8,2135.3,1322.1,1449.5,13007.41,2189.4,5132.1,2418.2,18303.684,4053.823,45104.611,Not Available
40940,1984.6,2567.7,1369.3,1575.2,14490.86,2264.1,5516.7,2465.7,18643.395,4219.47,47600.209,Not Available
40969,1757.7,2264.2,1375.5,1623.4,13713.99,2316.9,5120.1,2205.8,18163.808,4261.633,45782.23,Not Available
41000,1720.3,2292,1354.4,1609.6,13647.94,2251.9,4345,2152.6,18210.692,4073.252,44681.392,Not Available
41030,1704,2351.4,1363.2,1526.7,13661.59,2356.4,4338.8,2233.7,18589.106,4166.72,45346.307,Not Available
41061,1814,2521.4,1428.3,1535.9,14171.47,2221.72,4081,2357.9,18857.141,4184.119,45873.342,Not Available
41091,1832.4,2496.7,1439.6,1516.6,14054.71,2374,4341.1,2248.4,18515.354,4156.114,45689.679,Not Available
41122,1696,2334.1,1386.5,1484.6,13715.85,2510.7,4598.4,2287.7,19155.604,4258.617,46526.88,Not Available
41153,1759.8,2388.8,1375.6,1535,13785.02,2352.2,4411.6,2318.9,18091.79,4047.019,45006.539,Not Available
41183,1840.3,2573.9,1416.2,1431.1,14214.43,2396.9,4391.8,2251.7,18705.077,4304.159,46264.053,Not Available
41214,1742.7,2549.3,1316.5,1516,13844.82,2558.3,4608.3,2477.1,18527.766,4323.952,46340.239,Not Available
41244,1644,2212.6,1294,1541.8,13012.48,2409.6,5462.2,2451.7,18120.209,4256.536,45712.71,Not Available
41275,1717.9,2230.1,1244.3,1460.2,12886.05,2396.8,5164.4,2420.7,18749.364,4045.898,45662.848,Not Available
41306,1849.6,2316.7,1340.8,1527.9,13445.14,2381.1,5279.4,2407.1,18643.347,4117.369,46273.109,Not Available
41334,1779.6,2338.3,1297.6,1497.3,13245.89,2350,4728.7,2177.3,18530.768,4012.901,45045.791,Not Available
41365,1841.9,2585.4,1315.9,1550.7,14016.19,2360,4286.7,2286.2,18584.099,4156.819,45689.909,Not Available
41395,1771,2458,1282,1481.7,13674.98,2432,4085,2274.5,18779.166,4084.756,45330.236,Not Available
41426,1751,2488.7,1286.7,1589.8,13719.14,2398.9,3859.7,2319.8,18805.892,4115.152,45218.692,Not Available
41456,1891,2450.4,1423.4,1491.5,14189,2338,4358,2263.4,19257.412,4075.091,46480.491,Not Available
41487,1727,2419.5,1280.6,1515,13822.46,2400.2,4373.7,2324.7,19124.607,4168.727,46214.787,Not Available
41518,1749.7,2445.1,1336,1546.4,13868.87,2407.4,4112.6,2235.5,19251.979,3872.319,45748.689,Not Available
41548,1800.2,2537.5,1394.4,1451.1,14016.58,2329.4,4165.7,2248.7,19311.9,4095.088,46167.468,Not Available
