U.S. Energy Information Administration,,,,,,,,
July 2014 Monthly Energy Review,,,,,,,,
,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,
,,,,,,,,
"Release Date: July 28, 2014",,,,,,,,
"Next Update: August 26, 2014",,,,,,,,
,,,,,,,,
Table 4.4 Natural Gas in Underground Storage,,,,,,,,
,,,,,,,,
Month,"Natural Gas in Underground Storage, End of Period, Base Gas","Natural Gas in Underground Storage, End of Period, Working Gas","Natural Gas in Underground Storage, End of Period, Total","Change in Working Gas From Same Period Previous Year, Volume","Change in Working Gas From Same Period Previous Year, Percent","Natural Gas Storage Activity, Withdrawals","Natural Gas Storage Activity, Injections","Natural Gas Storage Activity, Net"
38565,4202.842,2662.261,6865.103,-80.353,-2.9,100.094,314.283,-214.188
38596,4204.726,2931.698,7136.424,-124.851,-4.1,86.793,359.331,-272.538
38626,4206.218,3194.104,7400.321,-108.132,-3.3,73.924,339.914,-265.991
38657,4209.135,3189.16,7398.295,-55.387,-1.7,211.85,203.449,8.401
38687,4200.014,2635.36,6835.374,-60.716,-2.3,650.767,98.681,552.086
38718,4202.072,2371.047,6573.119,377.104,18.9,373.525,109.64,263.885
38749,4202.495,1886.24,6088.735,321.778,20.6,539.208,54.07,485.138
38777,4196.938,1691.737,5888.675,407.367,31.7,331.197,131.224,199.973
38808,4198.044,1945.276,6143.32,446.633,29.8,76.524,331.562,-255.039
38838,4201.709,2309.943,6511.653,434.792,23.2,52.343,419.76,-367.417
38869,4215.338,2616.647,6831.985,419.156,19.1,61.927,372.977,-311.05
38899,4213.841,2779.211,6993.053,329.042,13.4,144.082,304.664,-160.582
38930,4212.743,2969.223,7181.966,306.961,11.5,112.859,301.606,-188.747
38961,4215.37,3323.178,7538.548,391.48,13.4,36.976,394.576,-357.6
38991,4216.968,3452.241,7669.209,258.137,8.1,115.149,246.184,-131.034
39022,4215.859,3406.652,7622.511,217.492,6.8,206.204,158.617,47.587
39052,4210.95,3069.956,7280.906,434.596,16.5,442.868,99.368,343.499
39083,4216.333,2382.895,6599.227,11.847,0.5,740.117,56.863,683.254
39114,4215.728,1651.569,5867.298,-234.671,-12.4,782.391,50.536,731.856
39142,4246.889,1603.002,5849.891,-88.735,-5.2,269.76,219.347,50.413
39173,4245.87,1722.741,5968.611,-222.535,-11.4,153.774,273.492,-119.718
39203,4250.47,2181.239,6431.71,-128.704,-5.6,38.201,497.741,-459.54
39234,4231.002,2582.784,6813.786,-33.863,-1.3,47.166,436.633,-389.468
39264,4227.004,2896.255,7123.259,117.043,4.2,83.554,397.159,-313.605
39295,4229.371,3020.799,7250.17,51.576,1.7,167.095,293.738,-126.643
39326,4233.352,3315.434,7548.786,-7.744,-0.2,73.075,371.266,-298.191
39356,4238.254,3565.38,7803.634,113.139,3.3,75.355,331.895,-256.539
39387,4238.181,3442.033,7680.213,35.381,1,262.091,140.775,121.316
39417,4234.216,2879.259,7113.475,-190.697,-6.2,632.434,63.475,568.959
39448,4232.156,2055.881,6288.037,-327.014,-13.7,890.978,67.359,823.619
39479,4221.565,1464.69,5686.255,-186.879,-11.3,648.34,55.775,592.564
39508,4220.523,1266.066,5486.589,-336.936,-21,349.985,130.513,219.472
39539,4222.248,1436.402,5658.65,-286.339,-16.6,105.508,295.897,-190.388
39569,4225.431,1839.543,6064.975,-341.696,-15.7,56.029,460.684,-404.655
39600,4229.559,2177.548,6407.107,-405.236,-15.7,80.529,422.926,-342.397
39630,4228.367,2517.023,6745.39,-379.232,-13.1,88.366,430.005,-341.639
39661,4227.668,2866.164,7093.832,-154.635,-5.1,92.221,442.234,-350.013
39692,4229.964,3160.918,7390.883,-154.516,-4.7,97.945,398.325,-300.38
39722,4234.974,3399.381,7634.355,-165.999,-4.7,91.443,333.892,-242.449
39753,4231.545,3345.911,7577.456,-96.122,-2.8,250.495,193.236,57.258
39783,4232.293,2840.363,7072.657,-38.896,-1.4,622.499,109.519,512.979
39814,4236.795,2133.233,6370.028,77.352,3.8,783.292,78.234,705.058
39845,4242.866,1758.022,6000.888,293.332,20,471.513,99.949,371.564
39873,4247.894,1659.646,5907.54,393.58,31.1,294.397,201.681,92.716
39904,4255.159,1909.916,6165.074,473.513,33,105.648,356.454,-250.807
39934,4257.355,2374.809,6632.164,535.266,29.1,45.384,512.359,-466.975
39965,4267.898,2760.133,7028.031,582.585,26.8,62.43,448.064,-385.634
39995,4263.199,3090.305,7353.504,573.282,22.8,82.604,420.802,-338.198
40026,4267.274,3359.118,7626.392,492.954,17.2,87.907,362.273,-274.367
40057,4275.618,3645.978,7921.596,485.059,15.3,56.736,351.897,-295.161
40087,4281.301,3809.867,8091.168,410.486,12.1,98.787,266.173,-167.386
40118,4287.564,3837.424,8124.989,491.513,14.7,139.546,173.011,-33.465
40148,4276.666,3130.076,7406.742,289.712,10.2,737.937,44.093,693.844
40179,4276.043,2303.858,6579.9,170.624,8,873.468,62.623,810.845
40210,4277.619,1683.334,5960.953,-74.688,-4.2,657.184,37.714,619.47
40238,4277.501,1652.413,5929.914,-7.234,-0.4,237.569,206.713,30.856
40269,4278.372,2011.101,6289.473,101.186,5.3,67.931,427.432,-359.501
40299,4279.323,2419.66,6698.983,44.85,1.9,52.524,462.812,-410.288
40330,4286.643,2740.056,7026.7,-20.077,-0.7,63.577,384.815,-321.238
40360,4287.238,2965.78,7253.018,-124.526,-4,112.493,339.158,-226.665
40391,4290.1,3152.761,7442.861,-206.357,-6.1,137.433,323.214,-185.781
40422,4293.804,3507.646,7801.45,-138.332,-3.8,52.326,410.927,-358.602
40452,4305.058,3850.641,8155.699,40.774,1.1,52.156,407.472,-355.316
40483,4309.231,3768.905,8078.136,-68.519,-1.8,236.543,162.517,74.025
40513,4301.362,3111.085,7412.447,-18.991,-0.6,731.181,65.997,665.184
40544,4302.792,2305.843,6608.635,1.985,0.1,849.115,50.13,798.985
40575,4302.341,1721.875,6024.215,38.541,2.3,666.248,81.827,584.421
40603,4302.108,1577.007,5879.115,-75.406,-4.6,313.952,167.632,146.319
40634,4303.57,1788.48,6092.05,-222.622,-11.1,100.096,312.29,-212.194
40664,4304.364,2186.855,6491.219,-232.805,-9.6,58.314,457.725,-399.411
40695,4301.779,2529.647,6831.426,-210.409,-7.7,80.472,420.644,-340.172
40725,4300.139,2775.346,7075.486,-190.434,-6.4,115.649,359.267,-243.618
40756,4300.269,3019.155,7319.424,-133.607,-4.2,125.989,370.18,-244.191
40787,4301.291,3415.698,7716.989,-91.948,-2.6,55.418,453.548,-398.13
40817,4301.737,3803.828,8105.566,-46.812,-1.2,51.527,436.748,-385.221
40848,4299.727,3842.882,8142.609,73.978,2,183.799,221.389,-37.59
40878,4301.752,3462.021,7763.772,350.936,11.3,473.674,90.432,383.241
40909,4309.129,2910.007,7219.136,604.164,26.2,619.332,74.854,544.477
40940,4309.505,2448.81,6758.315,726.936,42.2,515.817,56.243,459.574
40969,4321.454,2473.13,6794.584,896.123,56.8,205.365,240.351,-34.987
41000,4325.195,2611.226,6936.421,822.746,46,126.403,263.896,-137.493
41030,4332.383,2887.06,7219.444,700.205,32,73.735,357.965,-284.231
41061,4338.1,3115.447,7453.546,585.8,23.2,90.8,323.026,-232.226
41091,4342.905,3245.201,7588.106,469.855,16.9,129.567,263.91,-134.343
41122,4347.859,3406.134,7753.994,386.98,12.8,133.919,299.798,-165.879
41153,4351.797,3693.053,8044.851,277.356,8.1,66.652,357.109,-290.456
41183,4365.049,3929.25,8294.299,125.421,3.3,85.918,327.767,-241.849
41214,4372.359,3799.215,8171.574,-43.667,-1.1,280.933,155.554,125.379
41244,4372.412,3412.91,7785.322,-49.111,-1.4,489.707,104.953,384.754
41275,4372.768,2702.171,7074.94,-207.836,-7.1,792.588,71.712,720.877
41306,4379.494,2102.207,6481.7,-346.604,-14.2,647.569,43.865,603.705
41334,4378.009,1723.367,6101.377,-749.763,-30.3,481.601,101.19,380.411
41365,4377.455,1857.57,6235.025,-753.656,-28.9,135.607,272.001,-136.395
41395,4381.284,2270.934,6652.218,-616.126,-21.3,49.062,466.852,-417.79
41426,4384.584,2642.06,7026.645,-473.386,-15.2,68.287,440.062,-371.775
41456,4365.315,2936.813,7302.127,-308.388,-9.5,98.217,373.435,-275.218
41487,4362.286,3210.598,7572.885,-195.536,-5.7,101.604,371.989,-270.385
41518,4363.096,3564.92,7928.016,-128.134,-3.5,66.303,420.828,-354.525
41548,4364.901,3815.577,8180.478,-113.673,-2.9,85.23,339.96,-254.73
41579,4365.582,3604.141,7969.723,-195.074,-5.1,365.862,155.03,210.832
41609,4365.135,2889.591,7254.726,-523.319,-15.3,807.579,93.696,713.883
41640,4362.698,1922.245,6284.943,-779.926,-28.9,1036.935,66.479,970.456
41671,4360.408,1200.067,5560.475,-902.14,-42.9,832.331,104.374,727.957
41699,4350.167,857.39,5207.558,-865.977,-50.2,487.513,133.98,353.533
41730,4356.837,1066.474,5423.31,-791.097,-42.6,105.471,322.926,-217.455
