Table S1. Data sources.,,,,
,,,,
Country,ISO Code,Data source name,Acronym of census or survey,Data type from census or survey
Peru,604,2000 Encuesta Demográfica y de Salud Familiar,DHS2000,Direct & indirect
Peru,604,2004-2008 Encuesta Demográfica y de Salud Familiar ENDES Continua,DHS2004-2008,Direct & indirect
Peru,604,2009 Encuesta Demográfica y de Salud Familiar,DHS2009,Direct
Peru,604,"Vital registration 1966-1973, 1977-1978, 1980-1992, 1994-2007",,
Philippines,608,1978 Fertility Survey,PFS78,Direct
Philippines,608,1993 National Demographic Survey,DHS1993,Direct & indirect
Philippines,608,1998 National Demographic and Health Survey,DHS1998,Direct & indirect
Philippines,608,2003 National Demographic and Health Survey,DHS2003,Direct & indirect
Philippines,608,2008 Demographic and Health Survey,DHS2008,Direct & indirect
Philippines,608,"Vital registration 1980-1998, 2000, 2002-2005",,
Poland,616,Vital registration 1959-2009,,
Portugal,620,Vital registration 1955-2009,,
Puerto Rico,630,"Vital registration 1959, 1960, 1970, 1975, 1979-2001, 2005",,
Qatar,634,1998 Family Health Survey,QFHS98,Direct
Qatar,634,"Vital registration 1981-1983, 1985-1990, 1992-1997, 1999-2009",,
Republic of Korea,410,1974 National Fertility Survey,KNFS74,Direct & indirect
Republic of Korea,410,"Vital registration 1980, 1983-2009",,
Romania,642,"Vital registration 1963, 1969-1978, 1980-2009",,
Russian Federation,643,Vital registration 1959-2009,,
Rwanda,646,1970 Enquête démographique,ED70,Direct
Rwanda,646,1983 Enquête sur la fécondité,WFS83,Direct & indirect
Rwanda,646,1992 Enquête démographique et de santé,DHS1992,Direct & indirect
Rwanda,646,2000 Enquête démographique et de santé,DHS2000,Direct & indirect
Rwanda,646,2005 Enquête démographique et de santé,DHS2005,Direct & indirect
Rwanda,646,2007/2008 Enquête intermédiaire sur les indicateurs démographique et de santé,IDHS2007/2008,Direct & indirect
Saudi Arabia,682,1987 Child Health Survey,SACHS87,
Saudi Arabia,682,1990 CHSS,CHSS90,
Saudi Arabia,682,1996 Family Health Survey,GFHS1996,
Senegal,686,1978 Enquête sur la fécondité,WFS78,Direct
Senegal,686,1986 Enquête démographique et de santé,DHS1986,Direct & indirect
Senegal,686,1992/1993 Enquête démographique et de santé,DHS1992/1993,Direct & indirect
Senegal,686,1997 Enquête démographique et de santé,DHS1997,Direct & indirect
Senegal,686,2005 Enquête démographique et de santé,DHS2005,Direct & indirect
Senegal,686,2006 Malaria Indicator Survey,MIS2006,Indirect
Senegal,686,2008/2009 Malaria Indicator Survey,2008-2009MIS,Direct & indirect
Serbia,688,Vital registration 1998-2009,,
Sierra Leone,694,2000 Multiple Indicator Cluster Survey,MICS2000,Indirect
Sierra Leone,694,2005 Multiple Indicator Cluster Survey,MICS2005,Indirect
Sierra Leone,694,2008 Demographic and Health Survey,2008DHS,Direct & indirect
Singapore,702,Vital registration 1955-2009,,
Slovakia,703,Vital registration 1950-2009,,
Slovenia,705,Vital registration 1982-2009,,
Somalia,706,1980 Fertility Survey,SFS80,Direct
Somalia,706,1999 Multiple Indicator Cluster Survey,MICS1999,Indirect
Somalia,706,2006 Multiple Indicator Cluster Survey,MICS2006,Direct & indirect
South Africa,710,1987/1989 Demographic and Health Survey,DHS1987/1989,Direct
South Africa,710,1998 Demographic and Health Survey,DHS1998,Direct & indirect
South Africa,710,2003/2004 Demographic and Health Survey,DHS2003/2004,Direct
South Africa,710,Vital registration 1985-2007,,
Spain,724,Vital registration 1951-2009,,
Sri Lanka,144,1975 Fertility Survey,1975 Fertility Survey,Direct & indirect
Sri Lanka,144,1987 Demographic and Health Survey,DHS1987,Direct & indirect
Sri Lanka,144,1993 Demographic and Health Survey,DHS1993,Direct
Sri Lanka,144,2006/2007 Demographic and Health Survey,DHS2006-7,Direct
Sri Lanka,144,Vital registration 1950-2009,,
Sudan,736,1978/1979 Fertility Survey,WFS78/79,Direct
Sudan,736,1990 Demographic and Health Survey,DHS1990,Direct & indirect
Sudan,736,1993 Census,Census93,Indirect
Sudan,736,1993 Maternal and Child Health Survey,MCH93,Direct
Sudan,736,2006 Household Health Survey (PAPFAM),SHHS06,Direct
Sudan,736,1999 Safe Motherhood Survey,SMS99,Direct
Swaziland,748,2000 Multiple Indicator Cluster Survey,MICS2000,Indirect
Swaziland,748,2006 Demographic and Health Survey,DHS2006,Direct & indirect
Sweden,752,Vital registration 1951-2009,,
Switzerland,756,Vital registration 1951-2009,,
Syrian Arab Republic,760,1978 Fertility Survey,SFS78,Direct & indirect
Syrian Arab Republic,760,1990 EPI/CDD and Child Mortality Survey,EPI/CDDCMS90,Indirect
Syrian Arab Republic,760,2001 Family Health Survey,PAPFAM2001,Direct
Syrian Arab Republic,760,2006 Multiple Indicator Cluster Survey,MICS2006,Indirect
Syrian Arab Republic,760,"Vital registration 1983-1984, 2001",,
Tajikistan,762,2000 Multiple Indicator Cluster Survey,MICS2000,Indirect
Tajikistan,762,2005 Multiple Indicator Cluster Survey,MICS2005,Indirect
Tajikistan,762,Vital registration 1981-2005,,
TFYR Macedonia,807,Vital registration 1982-2009,,
Thailand,764,1974-1976 Survey of Population Change,SOPC74-76,Direct
Thailand,764,1975 Survey of Fertility,TFS75,Direct & indirect
Thailand,764,1985-1986 Survey of Population Change,SOPC84-86,Direct
Thailand,764,1987 Demographic and Health Survey,DHS1987,Direct & indirect
Thailand,764,1989 Survey of Population Change,SOPC89,Direct
Thailand,764,1991 Survey of Population Change,SOPC91,Direct
Thailand,764,2005/2006 Multiple Indicator Cluster Survey,MICS2005/2006,Indirect
Thailand,764,Vital registration 1955-2007,,
Timor-Leste,626,2003 Demographic and Health Survey,2003DHS,Direct
Timor-Leste,626,2004 Census,2004Census,Indirect
Togo,768,1988 Enquête démographique et de santé,DHS1988,Direct & indirect
Togo,768,1998 Enquête démographique et de santé,DHS1998,Direct & indirect
Togo,768,2005 Multiple Indicator Cluster Survey,MICS2005,Indirect
Trinidad and Tobago,780,1977 Fertility Survey,WFS77,Direct
Trinidad and Tobago,780,1987 Demographic and Health Survey,DHS1987,Direct & indirect
Trinidad and Tobago,780,Vital registration 1951-2006,,
Tunisia,788,1978 Enquête sur la fécondité,WFS78,Direct
Tunisia,788,1988 Enquête démographique et de santé,DHS1988,Direct & indirect
Tunisia,788,2001 Family Health Survey,PAPFAM01,Direct
Tunisia,788,"Vital registration 1975, 1980, 1984, 1987-2000",,
Turkey,792,1978 Fertility Survey,TFS78,Direct
Turkey,792,1989 Demographic Survey,TDS89,Indirect
Turkey,792,1993 Demographic and Health Survey,DHS1993,Direct & indirect
Turkey,792,1998 Demographic and Health Survey,DHS1998,Direct & indirect
Turkey,792,2003 Demographic and Health Survey,DHS2003,Direct & indirect
Turkmenistan,795,2000 Demographic and Health Survey,DHS2000,
Turkmenistan,795,2006 Multiple Indicator Cluster Survey,MICS2006,
Turkmenistan,795,Vital registration 1981-2000,,
Uganda,800,1988 Demographic and Health Survey,DHS1988,Direct & indirect
Uganda,800,1995 Demographic and Health Survey,DHS1995,Direct & indirect
Uganda,800,2000/2001 Demographic and Health Survey,DHS2000/2001,Direct & indirect
Uganda,800,2006 Demographic and Health Survey,DHS2006,Direct & indirect
Uganda,800,2009 Malaria Indicator Survey,MIS2006,Direct & indirect
Ukraine,804,2005 Multiple Indicator Cluster Survey,MICS2005,Indirect
Ukraine,804,2007 Demographic and Health Survey,DHS2007,Direct & indirect
Ukraine,804,Vital registration 1959-2009,,
United Arab Emirates,784,1987/1988 Child Health Survey,CHS87/88,
United Arab Emirates,784,1995 Family Health Survey,GFHS95,
United Arab Emirates,784,Vital registration 2003,,
United Kingdom,826,Vital registration 1950-2009,,
United Republic of Tanzania,834,1988 Census,CENS88,Indirect
United Republic of Tanzania,834,1992 Demographic and Health Survey,DHS1992,Direct & indirect
United Republic of Tanzania,834,1996 Demographic and Health Survey,DHS1996,Direct & indirect
United Republic of Tanzania,834,1999 Reproductive and Child Health Survey,DHS1999,Direct & indirect
United Republic of Tanzania,834,2004 Demographic and Health Survey,DHS2004,Direct & indirect
United Republic of Tanzania,834,2007/2008 HIV/AIDS Indicator Survey,2007/2008 AIS,Direct & indirect
United Republic of Tanzania,834,2010 Demographic and Health Survey,DHS2010,Direct & indirect
United States of America,840,Vital registration 1950-2008,,
Uruguay,858,Vital registration 1955-2004,,
Uzbekistan,860,1996 Demographic and Health Survey,DHS1996,Direct & indirect
Uzbekistan,860,2000 Multiple Indicator Cluster Survey,MICS2000,Indirect
Uzbekistan,860,2002 Health Examination Survey,HES2002,Direct
Uzbekistan,860,2006 Multiple Indicator Cluster Survey,MICS2006,Indirect
Uzbekistan,860,Vital registration 1981-2007,,
Venezuela (Bolivarian Republic of),862,1977 Encuesta de Fecundidad,WFS77,Direct
Venezuela (Bolivarian Republic of),862,1998 Encuesta Nacional de Poblacion y Familia,ENPOFAM98,Direct
Venezuela (Bolivarian Republic of),862,Vital registration 1955-2007,,
Viet Nam,704,1994 Intercensal Demographic Survey,VIDS94,Direct
Viet Nam,704,1997 Demographic and Health Survey,DHS1997,Direct & indirect
Viet Nam,704,2000 Multiple Indicator Cluster Survey,MICS2000,Indirect
Viet Nam,704,2002 Demographic and Health Survey,DHS2002,Direct & indirect
Viet Nam,704,2007 Annual Population Change Survey,PCS2007,Indirect
Yemen,887,1979 Fertility Survey,YFS79,Direct
Yemen,887,1991/1992 Demographic and Maternal and Child Health Survey,DHS1991/1992,Direct
Yemen,887,1997 Demographic and Maternal and Child Health Survey,DHS1997,Direct & indirect
Yemen,887,2003 Family Health Survey,PAPFAM03,Direct
Zambia,894,1974 Sample Census,Census74,Indirect
Zambia,894,1980 Census,Census80,Indirect
Zambia,894,1992 Demographic and Health Survey,DHS1992,Direct & indirect
Zambia,894,1996 Demographic and Health Survey,DHS1996,Direct & indirect
Zambia,894,2001/2002 Demographic and Health Survey,DHS2001/2002,Direct & indirect
Zambia,894,2006/2007 Demographic and Health Survey,DHS2006/2007,Direct & indirect
Zimbabwe,716,1982 Census,Census82,Indirect
Zimbabwe,716,1987 Inter-Censal Demographic Survey,IDS87,Indirect
Zimbabwe,716,1988 Demographic and Health Survey,DHS1988,Direct & indirect
Zimbabwe,716,1992 Census,Census92,Indirect
Zimbabwe,716,1994 Demographic and Health Survey,DHS1994,Direct & indirect
Zimbabwe,716,1999 Demographic and Health Survey,DHS1999,Direct & indirect
Zimbabwe,716,2005/2006 Demographic and Health Survey,DHS2005/2006,Direct & indirect
Zimbabwe,716,"Vital registration 1982, 1986, 1990-1995",,
