Information Technology,,,,,
Foundation,,,,,
,,,,Understand the functions of information systems in business.,Measure increases in productivity realized by the implementation of information systems.
,,,,,
ITC05.03,Systems,#1: Introduction to Information Technology,Demonstrate knowledge of the operation of cross-functional teams in achieving project goals.,Understand the importance of cross-functional teams in achieving IT project goals.,Consider the benefits of using a cross-functional team in policy and procedure development.
,,,,Understand the importance of cross-functional teams in achieving IT project goals.,Identify desired group and team behavior in an IS context.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC05.04,Systems,#1: Introduction to Information Technology,Explain/discuss general strategies for maximizing organizational learning and productivity in a high tech environment.,Understand strategies for maximizing productivity in a high tech environment.,Assess the importance of new technologies to future developments and to the future knowledge worker productivity.
,,,,Understand strategies for maximizing productivity in a high tech environment.,Demonstrate knowledge of methods for achieving productivity in knowledge work.
,,,,Understand strategies for maximizing productivity in a high tech environment.,Create/maintain an environment supportive of productivity.
,,,,,
ITC06.01,"Safety, Health, and Environmental",#1: Introduction to Information Technology,Maintain a safe working environment.,Understand health and safety standards and concepts in the workplace.,"Demonstrate knowledge of the relationship between health, safety, and productivity."
,,,,Understand health and safety standards and concepts in the workplace.,Identify health and safety standards established by government agencies.
,,,,Understand health and safety standards and concepts in the workplace.,"Access needed safety information using company and manufacturers' references (e.g., procedural manuals, documentation, standards, and flowcharts)."
,,,,Understand health and safety standards and concepts in the workplace.,Ensure maintenance of a clean work area.
,,,,Understand health and safety standards and concepts in the workplace.,"Solve safety problems using problem-solving, decision-making, and critical thinking strategies."
,,,,Understand health and safety standards and concepts in the workplace.,Demonstrate knowledge of ergonomics and repetitive strain injury.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC07.01,Leadership and Teamwork,#1: Introduction to Information Technology,Demonstrate knowledge of the skills needed for leadership in the IT environment.,Understand key approaches to successful leadership in the IT environment.,Demonstrate knowledge of how to apply team methods to empower coworkers.
,,,,Understand key approaches to successful leadership in the IT environment.,Establish goals and objectives for IS.
,,,,Understand key approaches to successful leadership in the IT environment.,Define mission and critical success factors.
,,,,Understand key approaches to successful leadership in the IT environment.,Identify desired group and team behavior in an IS context.
,,,,,
ITC07.02,Leadership and Teamwork,#1: Introduction to Information Technology,Build interpersonal skills with individuals and other team members.,Understand best practices for successful team functioning.,"Analyze the interdependence of empathetic listening, synergy, and consensus building."
,,,,Understand best practices for successful team functioning.,Define roles within the group decision-making process.
,,,,Understand best practices for successful team functioning.,Demonstrate knowledge of how to apply team methods to empower coworkers.
,,,,Apply best practices for successful team functioning.,Apply knowledge of group dynamics.
,,,,Apply best practices for successful team functioning.,"Promote teamwork, leadership, and empowerment."
,,,,Apply best practices for successful team functioning.,Identify strategies for fostering creativity.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC08.01,Ethics and Legal Responsibilities,#1: Introduction to Information Technology,Demonstrate appropriate knowledge and behaviors of legal responsibilities and of positive cyber-citizenry.,Understand legal issues faced by IT professionals.,Demonstrate knowledge of the legal issues that face information technology professionals.
,,,Demonstrate appropriate knowledge and behaviors of legal responsibilities and of positive cyber-citizenry.,Understand legal issues faced by IT professionals.,Identify issues and trends affecting computers and information privacy.
,,,,,
ITC08.02,Ethics and Legal Responsibilities,#1: Introduction to Information Technology,Demonstrate knowledge of the rights and responsibilities of IT workers.,Understand the rights and responsibilities of IT workers.,Identify generally accepted business ethics.
,,,Demonstrate knowledge of the rights and responsibilities of IT workers.,Understand the rights and responsibilities of IT workers.,Demonstrate knowledge of federal laws governing discrimination and harassment.
,,,,Understand the rights and responsibilities of IT workers.,Demonstrate knowledge of key concepts related to employment discrimination.
,,,,Understand the rights and responsibilities of IT workers.,"Demonstrate sensitivity to diversity, including differences in gender, culture, race, language, physical and mental challenges, and family structures."
,,,,Understand the rights and responsibilities of IT workers.,Establish procedures for maintaining the confidentiality of client information.
,,,,,
ITC08.03,Ethics and Legal Responsibilities,#1: Introduction to Information Technology,"Demonstrate knowledge of social, ethical, and legal issues in the information technology field.",Understand ethical issues in the IT field.,Analyze the social implications of decisions made and actions taken as an information technology professional.
,,,,Understand ethical issues in the IT field.,Demonstrate knowledge of the ethical issues that face information technology professionals.
,,,,Understand legal issues in the IT field.,"Determine the practical implications of lawsuits in terms of good will, client relations, the bottom line, diversion of company resources, cash flow and accounts receivable."
,,,,Understand legal issues in the IT field.,Demonstrate knowledge of basic business law concepts.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC09.01,Employability and Career Development,#1: Introduction to Information Technology,"Explain written organizational policies, rules and procedures to help employees perform their jobs.",Locate appropriate information on organizational policies in handbooks and manuals.,Identify the contents of various organizational publications.
,,,,Locate appropriate information on organizational policies in handbooks and manuals.,Determine the appropriate document(s) for specific job responsibilities and work assignments.
,,,,Discuss how specific organizational policies and rules influence a specific work situation.,"Locate and identify specific organizational policy, rule or procedure to assist with a given situation."
,,,,Discuss how specific organizational policies and rules influence a specific work situation.,"Articulate how a specific organizational policy, rule or procedure will improve a given situation."
,,,,,
ITC09.02,Employability and Career Development,#1: Introduction to Information Technology,Identify and demonstrate positive work behaviors and personal qualities.,"Demonstrate self-discipline, self-worth, positive attitude, and integrity in a work situation.",Demonstrate regular attendance.
,Employability and Career Development,,Identify and demonstrate positive work behaviors and personal qualities.,"Demonstrate self-discipline, self-worth, positive attitude, and integrity in a work situation.",Follow company dress and appearance standards.
,,,,"Demonstrate self-discipline, self-worth, positive attitude, and integrity in a work situation.",Exhibit pride in work.
,,,,"Demonstrate self-discipline, self-worth, positive attitude, and integrity in a work situation.",Demonstrate leadership and teamwork.
,,,,Demonstrate flexibility and willingness to learn new knowledge and skills.,Exhibit ability to handle stress.
,,,,Demonstrate flexibility and willingness to learn new knowledge and skills.,Display initiative and open-mindedness.
,,,,Demonstrate flexibility and willingness to learn new knowledge and skills.,Participate in company orientation and training programs with enthusiasm.
,,,,Demonstrate flexibility and willingness to learn new knowledge and skills.,Identify progressive strategies that will impact efficiency of job.
,,,,Exhibit commitment to the organization.,"Follow established rules, regulations and policies."
,,,,Exhibit commitment to the organization.,Explain employer/management responsibilities.
,,,,Exhibit commitment to the organization.,Demonstrate cost effectiveness.
,,,,Exhibit commitment to the organization.,Demonstrate time management.
,,,,Exhibit commitment to the organization.,Complete all tasks thoroughly.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC09.03,Employability and Career Development,#1: Introduction to Information Technology,Identify and explore career opportunities in one or more career pathways.,Locate and identify career opportunities that appeal to personal career goals.,Locate and interpret career information for at least one career cluster.
,,,,Locate and identify career opportunities that appeal to personal career goals.,Identify job requirements for three career pathways.
,,,,Locate and identify career opportunities that appeal to personal career goals.,Identify educational and credentialing requirements for three careers.
,,,,Match personal interests and aptitudes to selected careers.,Identify personal interests and aptitudes.
,,,,Match personal interests and aptitudes to selected careers.,Identify job requirements and characteristics of selected careers.
,,,,Match personal interests and aptitudes to selected careers.,Compare personal interests and aptitudes with job requirements and characteristics.
,,,,Match personal interests and aptitudes to selected careers.,Modify career goals based on results of personal interests and aptitudes with career requirements and characteristics.
,,,,,
ITC09.04,Employability and Career Development,#1: Introduction to Information Technology,Develop a personal career plan to meet career goals and objectives.,Develop career goal and objectives to plan future career direction.,Identify career that matches individual interests and aptitudes.
,,,,Develop career goal and objectives to plan future career direction.,Develop career goal with time frame.
,,,,Develop career goal and objectives to plan future career direction.,Identify goals and objectives for reaching and advancing in career.
,,,,Develop strategies to reach career objectives.,Write a list of strategies for achieving educational requirements.
,,,,Develop strategies to reach career objectives.,Identify strategies for obtaining employment experiences.
,,,,Develop strategies to reach career objectives.,Write a time line for achieving career goals and objectives.
,,,,Develop strategies to reach career objectives.,List alternatives and potential changes.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC09.05,Employability and Career Development,#1: Introduction to Information Technology,Demonstrate ability to seek and apply for employment.,Use multiple resources to locate job opportunities.,Identify resources for finding employment.
,,,,Use multiple resources to locate job opportunities.,Analyze resources to determine those that are most appropriate for desired career.
,,,,Use multiple resources to locate job opportunities.,"Compare job requirements with personal qualifications, interests, and aptitudes."
,,,,Use multiple resources to locate job opportunities.,"Select job that matches personal qualifications, interests, and aptitudes."
,,,,Prepare a resume and letter of application to apply for employment.,Identify prospective employer’s submission requirements.
,,,,Prepare a resume and letter of application to apply for employment.,Gather information and prepare rough draft of resume.
,,,,Prepare a resume and letter of application to apply for employment.,Put resume in proper format.
,,,,Prepare a resume and letter of application to apply for employment.,"Write letter of application for specific job opening in correct format, without error."
,,,,Complete an employment application to obtain employment.,Gather information for application.
,,,,Complete an employment application to obtain employment.,Complete all questions on application with appropriate and honest answers.
,,,,Complete an employment application to obtain employment.,Sign and date application.
,,,,Complete an employment application to obtain employment.,Attach any supporting material required or requested.
,,,,Complete an employment application to obtain employment.,Submit full application package to employers.
,,,,Interview to obtain employment.,Dress appropriately for interview.
,,,,Interview to obtain employment.,"Exhibit professional conduct before, during and after interview."
,,,,Interview to obtain employment.,Explain your qualifications and interests clearly and concisely.
,,,,Interview to obtain employment.,Answer all questions honestly and concisely.
,,,,Interview to obtain employment.,Write follow-up letter after the interview.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC09.06,Employability and Career Development,#1: Introduction to Information Technology,Demonstrate ability to evaluate and compare employment opportunities and accept employment.,Evaluate and compare employment opportunity to individual needs and career plan.,Identify job advantages and disadvantages.
,,,Demonstrate ability to evaluate and compare employment opportunities and accept employment.,Evaluate and compare employment opportunity to individual needs and career plan.,Compare job benefits to individual needs.
,,,Demonstrate ability to evaluate and compare employment opportunities and accept employment.,Evaluate and compare employment opportunity to individual needs and career plan.,Compare job opportunities and responsibilities to career plan.
,,,,Accept or reject employment.,Make decision to accept or reject employment.
,,,,Accept or reject employment.,Write acceptance or rejection letter without error.
,,,,Accept or reject employment.,Complete employment forms upon acceptance.
,,,,,
ITC09.07,Employability and Career Development,#1: Introduction to Information Technology,Provide examples of how IT is transforming business in various industries.,Understand the impact of IT on business.,Demonstrate knowledge of how both PCs and larger computer systems impact people and are used in business/industry/government and other institutions.
,,,,Understand the impact of IT on business.,"Demonstrate knowledge of the impact of computers on career pathways in business/industry (e.g., how computers have eliminated and created jobs)."
,,,,Understand the impact of IT on business.,Demonstrate knowledge of the impact of computers on access to information and information exchange worldwide.
,,,,Understand the impact of IT on business.,Demonstrate knowledge of ethical issues that have surfaced in the information age.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC09.08,Employability and Career Development,#1: Introduction to Information Technology,Demonstrate knowledge of the relationship between lifelong learning and IT career development.,Demonstrate knowledge of IT as a constantly changing and fast growing field.,Identify present and future IT employment opportunities.
,,,,Demonstrate knowledge of IT as a constantly changing and fast growing field.,Demonstrate knowledge of the potential impact of IT on future society.
,,,,Demonstrate knowledge of IT as a constantly changing and fast growing field.,Identify the importance of lifelong learning in the IT field.
,,,,Identify education and training requirements for selected career pathway.,Identify certification and/or degree requirements.
,,,,Identify education and training requirements for selected career pathway.,Identify required knowledge and skills for career ladder.
,,,,Identify education and training opportunities available for selected career pathway.,Research educational and training opportunities.
,,,,Identify education and training opportunities available for selected career pathway.,Identify present and future IT education and training opportunities.
,,,,Identify education and training opportunities available for selected career pathway.,Design a lifelong learning plan that ties in with career advancement plan.
,,,,,
ITC09.09,Employability and Career Development,#1: Introduction to Information Technology,Demonstrate knowledge of career development/progression patterns in the IT industry.,Identify career development patterns in the IT industry.,Identify education and training requirements for IT career pathways.
,,,,Identify and understand the benefits of membership in professional IT organizations.,Identify professional organizations in the area of information technology.
,,,,Identify and understand the benefits of membership in professional IT organizations.,Identify benefits derived from membership in specific professional organizations.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC10.01,Technical Skills,#3: Fundamentals of Computer Systems,Demonstrate knowledge of the hardware components associated with information systems.,Understand the fundamentals of operating systems.,Identify major operating system fundamentals and components.
,,,Demonstrate knowledge of the hardware components associated with information systems.,Explain the role of number systems in information systems.,Identify the role the binary system in information systems.
,,,Demonstrate knowledge of the hardware components associated with information systems.,Explain the role of number systems in information systems.,Demonstrate knowledge of number systems and internal data representation.
,,,,Identify computer classifications and hardware.,"Identify the three main classifications of computers (i.e., micro-, mid-range, and mainframes)."
,,,,Identify computer classifications and hardware.,Identify major hardware components and their functions.
,,,,Identify computer classifications and hardware.,Identify the hardware associated with telecommunications functions.
,,,,Identify computer classifications and hardware.,Identify types of computer storage devices.
,,,,Understand elements and types of information processing.,"Identify the elements of the information processing cycle (i.e., input, process, output, and storage)."
,,,,Understand elements and types of information processing.,"Identify types of processing (e.g., batch, interactive, event-driven, object-oriented)."
,,,,Use available reference tools as appropriate.,"Access needed information using company and manufacturers' references (e.g., procedural manuals, documentation, standards, work flowcharts)."
,,,,,
ITC10.02,Technical Skills,#3: Fundamentals of Computer Systems,Demonstrate knowledge of the classes of software associated with information systems.,Explain the key functions and applications of software.,Demonstrate knowledge of the key functions of systems software.
,,,Demonstrate knowledge of the classes of software associated with information systems.,Explain the key functions and applications of software.,"Demonstrate knowledge of widely used software applications (e.g., word processing, database management, spreadsheet development)."
,,,,Explain the key functions and applications of software.,Demonstrate knowledge of the function and operation of compilers and interpreters.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
,,,(CONTINUED),Understand the range of languages used in software development.,Demonstrate knowledge of the range of languages used in software development.
,,,,Understand how data is organized in software development.,Demonstrate knowledge of how data is organized in software development.
,,,,Explain new and emerging classes of software.,Identify new and emerging classes of software.
,,,,,
ITC10.03,Technical Skills,#3: Fundamentals of Computer Systems,Explore the future of information technologies.,Explain measurement techniques for increased productivity due to information systems implementation.,Measure increases in productivity realized by the implementation of information systems.
,,,,Identify new IT technologies and assess their potential importance and impact in the future.,Identify new technologies relevant to information technology.
,,,,Identify new IT technologies and assess their potential importance and impact in the future.,Assess the importance of new technologies to future developments and to future knowledge worker productivity.
,,,,Identify new IT technologies and assess their potential importance and impact in the future.,Identify new and emerging drivers and inhibitors of information technology change.
,,,,,
ITC10.04,Technical Skills,#3: Fundamentals of Computer Systems,Demonstrate knowledge of basic data communications components and trends.,"Explain data communications procedures, equipment and media.",Demonstrate knowledge of key communications procedures.
,,,Demonstrate knowledge of basic data communications components and trends.,"Explain data communications procedures, equipment and media.",Demonstrate knowledge of the uses of data communication equipment.
,,,,"Explain data communications procedures, equipment and media.",Demonstrate knowledge of types of communications media.
,,,,Understand data transmission codes and protocols.,Demonstrate knowledge of data transmission codes and protocols.
,,,,Explain the differences between local and wide area networks.,Distinguish between local area networks and wide area networks.
,,,,Understand data communications trends and issues.,Identify data communication trends.
,,,,Understand data communications trends and issues.,Identify major current issues in data communications.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC10.05,Technical Skills,#2: Information Technology Applications,Demonstrate technical knowledge of the Internet.,Understand Internet protocols.,Demonstrate knowledge of the Transmission Control Protocol/Internet Protocol (TCP/IP) suite.
,,,,Understand Internet protocols.,Demonstrate knowledge of Simple Network Management Protocol (SNMP).
,,,,Understand Internet protocols.,"Demonstrate knowledge of IP forwarding, encapsulation, and fragmentation."
,,,,Explain Domain Name Server (DNS).,Demonstrate knowledge of the Domain Name Server (DNS).
,,,,Understand Internet security issues and systems available for addressing them.,Demonstrate knowledge of Internet security issues.
,,,,Understand Internet security issues and systems available for addressing them.,Identify available Internet security systems.
,,,,,
ITC10.06,Technical Skills,#2: Information Technology Applications,Access the Internet.,Use and troubleshoot Internet connection.,Connect to the Internet.
,,,,Use and troubleshoot Internet connection.,Test Internet connection.
,,,,Explain the components of Internet software.,Demonstrate knowledge of the components of Internet software.
,,,,Install and use Internet software.,Explore browser features.
,,,,Install and use Internet software.,Install Internet software.
,,,,Install and use Internet software.,Download free software upgrades and shareware from the Internet.
,,,,Install and use Internet software.,Unpack files using compression software.
,,,,Understand virus protection procedures.,Demonstrate acute awareness of virus protection techniques.
,,,,,
ITC10.07,Technical Skills,#2: Information Technology Applications,Utilize Internet services.,Use web browser software.,"Navigate web sites using software functions (e.g., Forward, Back, Go To, Bookmarks)."
,,,,Use web browser software.,Bookmark web addresses (URLs).
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
,,,(CONTINUED),Apply search procedures to locate information on the Internet.,Select search engine(s) to use.
,,,,Apply search procedures to locate information on the Internet.,Select appropriate search procedures and approaches.
,,,,Apply search procedures to locate information on the Internet.,Locate information using search engine(s) and Boolean logic.
,,,,"Obtain, compile and evaluate information from the Internet.",Access business and technical information using the Internet.
,,,,"Obtain, compile and evaluate information from the Internet.",Access library catalogs on the Internet.
,,,,"Obtain, compile and evaluate information from the Internet.","Access commercial, government, and education resources."
,,,,"Obtain, compile and evaluate information from the Internet.","Compile a collection of business sites (e.g., finance and investment)."
,,,,"Obtain, compile and evaluate information from the Internet.","Evaluate Internet resources (e.g., accuracy of information)."
,,,,Install and download software from the Internet.,Download files from FTP archives.
,,,,Install and download software from the Internet.,Retrieve online tools.
,,,,Install and download software from the Internet.,Download/convert Internet programming files.
,,,,Install and download software from the Internet.,Install/configure web browser.
,,,,Install and download software from the Internet.,Explore the multimedia capabilities of the World Wide Web.
,,,,Install and download software from the Internet.,Add plug-ins and helpers to the web browser.
,,,,Install and download software from the Internet.,Archive files.
,,,,Use the Internet to communicate and collaborate.,Communicate via email using the Internet.
,,,,Use the Internet to communicate and collaborate.,Subscribe to mailing lists.
,,,,Use the Internet to communicate and collaborate.,Participate in newsgroups.
,,,,Use the Internet to communicate and collaborate.,Explore collaboration tools.
,,,,Use the Internet to communicate and collaborate.,Participate in online audio and video conferencing.
,,,,Use the Internet to communicate and collaborate.,Explore electronic commerce.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC10.08,Technical Skills,#3: Fundamentals of Computer Systems,Install and configure software programs.,Ensure that hardware and software system components are compatible prior to performing installation.,"Identify hardware requirements (e.g., processor, memory, disk space, communications, printers, monitors)."
,,,,Ensure that hardware and software system components are compatible prior to performing installation.,Determine compatibility of hardware and software.
,,,,Ensure that software to be installed is licensed prior to performing installation.,Verify conformance to licensing agreement.
,,,,"Perform installation accurately and completely, using available resources as needed.",Install given application/system software on various platforms in accordance with manufacturer's procedures.
,,,,"Perform installation accurately and completely, using available resources as needed.",Disable/uninstall software that may interfere with installation of new software.
,,,,"Perform installation accurately and completely, using available resources as needed.",Differentiate between procedures for an upgrade and for a new installation.
,,,,"Perform installation accurately and completely, using available resources as needed.",Differentiate between stand-alone and network installation procedures.
,,,,"Perform installation accurately and completely, using available resources as needed.","Select appropriate installation options (e.g., default, customized)."
,,,,"Perform installation accurately and completely, using available resources as needed.",Configure software to appropriate operating system settings.
,,,,"Perform installation accurately and completely, using available resources as needed.","Configure macros, tools, and packages to accomplish simple organizational and personal tasks."
,,,,"Perform installation accurately and completely, using available resources as needed.",Convert data files if required.
,,,,"Perform installation accurately and completely, using available resources as needed.",Verify software installation and operation.
,,,,Resolve problems with installation if they occur.,Troubleshoot unexpected results.
,,,,Resolve problems with installation if they occur.,Access needed help using manufacturers' technical help lines or Internet sites.
,,,,Resolve problems with installation if they occur.,Formulate new installation procedure if needed.
,,,,Perform customization as requested.,Customize software to meet user preferences.
,,,,Clearly document procedures for future use.,Document step-by-step installation and configuration procedures.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC10.09,Technical Skills,#3: Fundamentals of Computer Systems,Demonstrate knowledge of web page basics.,Explain the features and functions of web browsing software.,"Demonstrate knowledge of the role of browsers in reading files on the World Wide Web (text-only, hypertext)."
,,,,Explain the features and functions of web browsing software.,Identify how different browsers affect the look of a web page.
,,,,Explain the features and functions of web browsing software.,Demonstrate knowledge of the characteristics and uses of plug-ins.
,,,,Explain the features and functions of web page design software.,Compare/contrast the features and functions of software editors available for designing web pages.
,,,,Understand the differences between a client and a server.,Differentiate between a client and a server.
,,,,Understand how bandwidth affects data transmission and on-screen image.,Demonstrate knowledge of how bandwidths affect data transmission and on-screen image.
,,,,Explain the benefits of hosting a web site on a local server vs. at an ISP (Internet Service Provider).,Compare the advantages and disadvantages of running your own server vs. using a server provider.
,,,,,
ITC10.10,Technical Skills,#3: Fundamentals of Computer Systems,Operate system.,Configure/modify system as needed.,Secure needed supplies and resources.
,,,,Configure/modify system as needed.,Review automated scheduling software.
,,,,Configure/modify system as needed.,Identify data requirements.
,,,,Configure/modify system as needed.,Identify scheduling priority in programming.
,,,,Configure/modify system as needed.,Build system software command structures using operating system macro facilities for computer systems.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
,,,(CONTINUED),Apply knowledge of operating systems principles to ensure optimal functioning of system.,Apply basic commands of operating system software.
,,,,Apply knowledge of operating systems principles to ensure optimal functioning of system.,Apply appropriate file and disk management techniques.
,,,,Apply knowledge of operating systems principles to ensure optimal functioning of system.,Employ desktop operating skills.
,,,,Apply knowledge of operating systems principles to ensure optimal functioning of system.,Handle materials and equipment in a responsible manner.
,,,,,Follow power-up and log-on procedures.
,,,,,Interact with/respond to system messages using console device.
,,,,,Run applications/jobs in accordance with processing procedures.
,,,,,Follow log-off and power-down procedure(s).
,,,,Use available reference tools as appropriate.,Access needed information using appropriate reference materials.
,,,,Document procedures and actions.,Develop audit trails.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC10.11,Technical Skills,#2: Information Technology Applications,Perform standard computer backup procedures.,Explain the need for regular backup procedures.,Recognize the need for regular backup procedures.
,,,,Configure and maintain backup system.,Load backup software.
,,,,Configure and maintain backup system.,Load compression drive backup software.
,,,,Configure and maintain backup system.,Install surge suppression protection.
,,,,Configure and maintain backup system.,Identify battery backup equipment.
,,,,Configure and maintain backup system.,Maintain battery backup system.
,,,,Perform backup procedures.,Perform restore operation using backup software.
,,,,Perform backup procedures.,Perform restore operation using compression drive backup software.
,,,,,
ITC10.12,Technical Skills,#2: Information Technology Applications,Describe system components.,Understand CPUs.,Demonstrate knowledge of central processing unit (CPU) control and architecture.
,,,,Understand CPUs.,Identify CPU modes of operations.
,,,,Understand operating systems.,Demonstrate knowledge of operating system architecture types.
,,,,Understand operating systems.,Identify operating system goals.
,,,,Understand operating systems.,"Demonstrate knowledge of operating system structuring methods, layered models, and the object-server model."
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
,,,(CONTINUED) ,,"Differentiate between microcomputer, minicomputer, and mainframe operating systems."
,,,,,Demonstrate knowledge of network operating systems.
,,,,,Define the role of memory management in an operating system.
,,,,,Demonstrate knowledge of the commands used to handle tasks in operating systems.
,,,,,Demonstrate knowledge of interface theory in an operating system.
,,,,Understand the fundamentals of operating systems.,Demonstrate knowledge of the basics of process management.
,,,,Understand the fundamentals of operating systems.,Demonstrate knowledge of the system utilities used for file management.
,,,,,
ITC10.13,Technical Skills,#2: Information Technology Applications,Maintain security requirements.,Understand potential security threats to information systems.,Demonstrate knowledge of potential internal and external threats to security.
,,,,Assess security threats and develop plan to address them.,Maximize threat reduction.
,,,,Assess security threats and develop plan to address them.,Assess exposure to security issues.
,,,,Assess security threats and develop plan to address them.,Implement countermeasures.
,,,,Assess security threats and develop plan to address them.,"Ensure compliance with security rules, regulations, and codes."
,,,,Assess security threats and develop plan to address them.,Demonstrate knowledge of virus protection strategy.
,,,,Assess security threats and develop plan to address them.,Implement security procedures in accordance with business ethics.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
,,,(CONTINUED),Implement and document security procedures.,Maintain confidentiality.
,,,,Implement and document security procedures.,Load virus detection and protection software.
,,,,Implement and document security procedures.,Identify sources of virus infections.
,,,,Implement and document security procedures.,Remove viruses.
,,,,,Report viruses in compliance with company standards.
,,,,,Implement backup and recovery procedures.
,,,,,Follow disaster plan.
,,,,,"Provide for user authentication (e.g., assign passwords, access level)."
,,,,,Document security procedures.
,,,,,
ITC10.14,Technical Skills,#3: Fundamentals of Computer Systems,Employ computer system interfaces.,Configure systems to provide optimal system interfaces.,Define hardware-software interface issues for a computer system.
,,,,Configure systems to provide optimal system interfaces.,Identify standards and issues related to I/O programming and design of I/O interfaces.
,,,,Configure systems to provide optimal system interfaces.,"Interface peripheral devices/controllers in the computer system (e.g., software and hardware interrupts, exceptions, Direct Memory Addressing [DMA], bus structures)."
,,,,Configure systems to provide optimal system interfaces.,Apply concepts of privileged instructions and protected mode programming.
,,,,Configure systems to provide optimal system interfaces.,"Configure peripheral device drivers (e.g., disk, display, printer, modem, keyboard, mouse, network)."
,,,,Configure systems to provide optimal system interfaces.," Apply advanced I/O concepts (e.g., disk caching, data compression, extended memory, magnetic disk/CD-ROM storage and formats)."
,,,,Configure systems to provide optimal system interfaces.,"Allocate disk space, non-sharable resources, and I/O devices."
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC10.15,Technical Skills,#8: Network Systems Maintenance and Support,Maintain system.,Implement queries and reports to provide access to critical system information.,Create a query to extract information from a file.
,,,,Implement queries and reports to provide access to critical system information.,Create a query to extract information from multiple files.
,,,,Implement queries and reports to provide access to critical system information.,Create reports from queries.
,,,,Implement queries and reports to provide access to critical system information.,Create and use logical files.
,,,,Implement queries and reports to provide access to critical system information.,Develop a display screen for use with high-level language program.
,,,,Implement queries and reports to provide access to critical system information.,Access needed information using appropriate reference materials
,,,,Ensure that system is functioning optimally.,Monitor system status and performance.
,,,,Ensure that system is functioning optimally.,Run diagnostics.
,,,,Ensure that system is functioning optimally.,Respond to system messages.
,,,,Ensure that system is functioning optimally.,Perform preventive maintenance procedures on computer and peripheral devices.
,,,,Ensure that system is functioning optimally.,Handle materials and equipment in a responsible manner.
,,,,Ensure that system is functioning optimally.,Optimize windows environment to maximize performance of desktop resources.
,,,,Ensure that system is functioning optimally.,Review automated scheduling software.
,,,,Repair and document system problems.,Repair recoverable problems.
,,,,Repair and document system problems.,Restore system.
,,,,Repair and document system problems.,Document computer system malfunction(s).
,,,,Repair and document system problems.,Document software malfunction(s).
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC10.16,Technical Skills,#4: Introduction to Network Systems,Provide support and training.,Provide help desk service to computer users within the organization.,Operate help desk.
,,,Provide support and training.,Provide help desk service to computer users within the organization.,Employ desktop productivity tools.
,,,Provide support and training.,Provide help desk service to computer users within the organization.,Support computer users.
,,,,Provide training.,Train computer users.
,,,,Ensure that network is functioning within specifications.,Support Network Operating Center (NOC).
,,,,Ensure that network is functioning within specifications.,Demonstrate knowledge of the operations of Network Operating Center (NOC).
,,,,,
ITC10.17,Technical Skills,#2: Information Technology Applications,Demonstrate a basic knowledge of quality assurance concepts.,Explain the history and standards of key quality management initiatives.,"Demonstrate knowledge of the historical evolution of quality assurance/total quality management (e.g., Deming, ISO 9000)."
,,,,Explain the history and standards of key quality management initiatives.,Demonstrate knowledge of changes brought about by quality leaders in the world.
,,,,Explain the history and standards of key quality management initiatives.,Demonstrate knowledge of the ISO 9000 process.
,,,,Explain the history and standards of key quality management initiatives.,Demonstrate knowledge of the standards/requirements for the Baldridge award.
,,,,Explain the history and standards of key quality management initiatives.,Demonstrate knowledge of successful efforts by industry to improve quality and/or reduce costs.
,,,,"Explain the terminology, role and benefits of quality within an organization.",Demonstrate knowledge of quality management terminology.
,,,,"Explain the terminology, role and benefits of quality within an organization.",Identify the role of quality within the organization.
,,,,"Explain the terminology, role and benefits of quality within an organization.",Identify the features and benefits of quality planning.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
,,,(CONTINUED),Explain the elements of a quality management system.,"Demonstrate knowledge of the control devices used in functional areas (e.g., SPC, equipment)."
,,,,Explain the elements of a quality management system.,"Demonstrate knowledge of the relationship among organizational structures, policies, procedures, and quality assurance."
