Start Date,End Date,Meeting Name,HQ Hotel,Venues,Attendees
41920,41922,"National Association of Convenience Stores, Inc. Annual Meeting & Exposition 2014",Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,30000
41893,41895,National Association of Criminal Defense Lawyers  -  18th Annual DUI Meeting 2014,Caesars Palace,Caesars Palace,700
41892,41896,National Association of Criminal Defense Lawyers  - DUI Meeting 2014,Caesars Palace,Caesars Palace,700
42110,42113,National Association of Criminal Defense Lawyers - CACJ's 8th Annual Forensic Science Seminar 2015,The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,235
41961,41965,National Association of Criminal Defense Lawyers - Drug Meeting and Seminar 2013,Planet Hollywood Resort & Casino,Planet Hollywood Resort & Casino,275
41851,41857,National Association of Enrolled Agents (NAEA) - National Conference 2014,The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,600
42175,42183,National Association of Latino Elected and Appointed Officials - NALEO 2015 Annual Convention,The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,600
42074,42077,National Association of Pediatric Nurse Practitioners (NAPNAP) - 2015 Annual Conference,Caesars Palace,Caesars Palace,1600
42087,42089,National Association of Pizzeria Operators - Annual International Pizza Expo - 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,12000
42027,42031,"National Association of Police Organizations - 27th Annual Police, Fire, EMS & Municipal Employee Pension & Benefits Seminar",Caesars Palace,Caesars Palace,150
41927,41930,National Association of Rehabilitation Providers and Agencies - Fall Conference 2014,Tropicana Las Vegas,Tropicana Las Vegas,90
41934,41937,National Association of Retail Collection Attorneys - 2014 Fall Conference,Wynn Las Vegas,Wynn Las Vegas,650
41971,41981,National Association of RV Parks & Campgrounds - National Convention & Industry Expo 2014,Rio All-Suite Hotel & Casino,Rio All-Suite Hotel & Casino,650
41900,41902,National Association of Social Workers/ Nevada Chapter (NASW) -  Annual State Conference,Plaza Hotel & Casino,Plaza Hotel & Casino,400
42115,42117,National Association of Tobacco Outlets Inc. - NATO 2015 Annual Tradeshow,Paris Las Vegas,Paris Las Vegas,1200
42116,42118,National Automatic Merchandising Association (NAMA) OneShow 2015,Wynn Las Vegas,Las Vegas Convention Center,4500
41848,41852,National Business & Leadership Conference 2014,Caesars Palace,Caesars Palace,700
41978,41986,National Center for State Courts - E-Courts Conference 2014,Red Rock Casino Resort Spa,Red Rock Casino Resort Spa,500
41886,41889,National Council Of Investigation & Security Services (NCISS) - Fall 2014 Meeting,Monte Carlo Resort and Casino,Monte Carlo Resort and Casino,60
41889,41894,National District Attorneys Association (NDAA) - Prosecuting Drugs II Fall Meeting,Caesars Palace,Caesars Palace,800
41919,41920,National Facilities Management & Technology (NFMT) - 2014,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,1500
41972,41982,National Fastpitch Coaches Association - Annual Convention 2014,Bally's Las Vegas,Bally's Las Vegas,1200
42043,42046,National Grocers Association (NGA) Show 2015,The Mirage Hotel & Casino,The Mirage Hotel & Casino,2700
42129,42131,National Hardware Show 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,32000
41920,41922,National Hardwood Lumber Association - 2014 NHLA Annual Convention & Exhibit Showcase,Red Rock Casino Resort Spa,Red Rock Casino Resort Spa,1200
41934,41936,National Industrial Fastener & Mill Supply Expo 2014,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,5500
42117,42125,National Institute of Pension Administrators - Annual Conference 2015,The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,500
41953,41957,National Rural Utilities Cooperative Finance Corporation (CFC) - IBES Conference 2014,Caesars Palace,Caesars Palace,400
41949,41952,National Staff Organization (NSO) - National Coordinated Bargaining Committee 2014,Tropicana Las Vegas,Tropicana Las Vegas,100
41911,41914,National Telecommunications Cooperative Association -  Video Conference & Expo 2014,Caesars Palace,Caesars Palace,400
42107,42110,National Treasury Employees Union - Customs & Border Protection National Spring Training 2015,Flamingo Las Vegas,Flamingo Las Vegas,187
42133,42148,National Treasury Employees Union - National Spring Training #1 and #2 / Western 2015,Flamingo Las Vegas,Flamingo Las Vegas,500
41903,41905,"Native Nation Events, LLC - 3rd Annual Native American Housing Conference",Tuscany Suites & Casino,Tuscany Suites & Casino,100
42051,42054,"NATSO, Inc. - NATSO SHOW 2015",Wynn Las Vegas,Wynn Las Vegas,375
42177,42181,"NCMS, Inc. The Society of Industrial Security Professionals - 51ST Annual Training Seminar 2015",Bellagio,Bellagio,1200
42045,42048,Nelrod Company Annual Consortium Conference & Resource Fair,South Point Hotel Casino & Spa,South Point Hotel Casino & Spa,500
41860,41860,Nevada Broadcasters Association Hall of Fame Gala,Four Seasons Hotel Las Vegas,Four Seasons Hotel Las Vegas,400
41932,41932,Nevada Future Business Leaders Fall Leadership Extravaganza,Cashman Center,Cashman Center,650
41926,41927,Nevada Healthcare Forum Annual Meeting,Tuscany Suites & Casino,,175
42094,42095,Nightclub and Bar Show 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,40000
41867,41870,Off-Price Specialist Show - Fall 2014,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,10500
42050,42053,Off-Price Specialist Show - Spring 2015,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,10500
41868,41870,OLC Bio-Skills Lab Management Symposium,Green Valley Ranch Resort & Spa,Green Valley Ranch Resort & Spa,150
41930,41938,Organization Plus-Back-to-Basics Seminar & Tax Planning Forum,Tropicana Las Vegas,Tropicana Las Vegas,125
42085,42092,Orthopaedic Research Society - Annual Meeting 2015,MGM Grand Hotel and Casino,MGM Grand Hotel and Casino,2000
41930,41934,Pacific Union Financial LLC - 101st MBA,Four Seasons Hotel Las Vegas,Four Seasons Hotel Las Vegas,21
41877,41879,Paralyzed Veterans of America - Convention and Expo,Paris Las Vegas,Paris Las Vegas,1000
42079,42081,Parenteral Drug Association - Annual Meeting 2015,Red Rock Casino Resort Spa,Red Rock Casino Resort Spa,530
41974,41977,PATC-Drug/Narcotics Investigations-Legal Issues & Best Practices,Palace Station Hotel Casino,Palace Station Hotel Casino,50
41890,41890,PCIA - Wireless Infrastructure Show Association - 2014 Fall Infrastructure Development Forum,The Venetian Resort Hotel Casino,The Venetian Resort Hotel Casino,80
41880,41882,Pettigrew/Tole Family Reunion,Orleans Hotel and Casino,Orleans Hotel and Casino,100
41869,41871,PGA Expo 2014,The Venetian Resort Hotel Casino,The Venetian Resort Hotel Casino,6500
42010,42013,Photo Marketing Association 2015 Show Co-located with International CES,Bally's Las Vegas,Paris Las Vegas,0
41884,41887,Photoshop World Conference & Expo 2014,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,3000
42026,42028,Political World Communications - Campaigns & Elections Seminar 2015,Wynn Las Vegas,Wynn Las Vegas,150
41934,41935,Porter Athletic-National Sales Meeting 2014,Planet Hollywood Resort & Casino,Planet Hollywood Resort & Casino,75
42022,42024,Prime Global - North America Board and Western Regional Meeting 2015,The Venetian Resort Hotel Casino,The Venetian Resort Hotel Casino,20
41947,41948,Process Optimization Seminar - POS Manager's Training 2014,The Venetian Resort Hotel Casino,The Venetian Resort Hotel Casino,85
42017,42019,Promotional Products Association International - PPAI Expo 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,18500
41919,41921,PubCon 2014,Hard Rock Hotel & Casino,Las Vegas Convention Center,2000
42100,42106,Public Broadcasting Service (PBS) - PBS Technology Conference 2015,Caesars Palace,Caesars Palace,200
42155,42158,Radiology Business Management Association - 2015 Radiology Summit,Caesars Palace,Caesars Palace,425
41896,41898,Real Estate Investment Security Association (REISA) Annual Conference,Caesars Palace,Caesars Palace,800
42141,42144,RECon 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,34500
42029,42031,Redken Laboratories International Symposium 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,10000
41987,41992,Reinke Manufacturing-Service Training 2015,Tropicana Las Vegas,Tropicana Las Vegas,30
41876,41878,Retail Confectioners International - Fall Conference 2014,Bellagio,Bellagio,100
41926,41928,"Revenue Management Systems, Inc. - AirRM Users Conference",Palms Casino Resort,Palms Casino Resort,70
41848,41853,Rhynes Family Reunion,South Point Hotel Casino & Spa,South Point Hotel Casino & Spa,80
42039,42042,Safari Club International 43th Annual Hunter's Convention,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,21000
41931,41937,SANS Institute - Network Security 2014,Caesars Palace,Caesars Palace,1500
41937,41937,Seventh-Day Adventist Church Nevada / Utah Conference Las Vegas Convocation,Cashman Center,Cashman Center,5000
41860,41867,Sheet Metal Workers International Association (SMWIA) - 43rd General Convention 2014,Caesars Palace,Caesars Palace,1000
42024,42027,"Shooting, Hunting & Outdoor Trade Show 2015",The Venetian Resort Hotel Casino,Sands Expo & Convention Center,61000
41929,41932,Show Your Scars Tour Reunion,Westgate Las Vegas Resort & Casino,Westgate Las Vegas Resort & Casino,100
41933,41935,Solar Energy Trade Show 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,15000
42119,42123,Solution-Tree Leadership Now Institute 2015,Caesars Palace,Caesars Palace,1000
42106,42111,Solutionary-Sales Kick Off April- 2015,Red Rock Casino Resort Spa,Red Rock Casino Resort Spa,125
41934,41936,Specialty Graphics Annual National Convention - 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,23000
42018,42020,Sports Licensing & Tailgate Show 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,4000
42103,42106,"Standing Conference for Management and Organizational Inquiry, Inc. - sc'MOI Annual Conference 2015",Tuscany Suites & Casino,Tuscany Suites & Casino,45
42059,42061,Strategies in Light 2015 - Pennwell,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,5000
42043,42046,Structured Finance Industry Group - Information Management Network (IMN) - ABS Vegas 2015,ARIA Resort & Casino,ARIA Resort & Casino,2100
41891,41893,Super Mobility Week,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,40000
42206,42208,SuperZoo West 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,20000
42025,42027,Surfaces 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,25000
41979,41983,Surgical Services Summit,Green Valley Ranch Resort & Spa,Green Valley Ranch Resort & Spa,200
42110,42111,Symposia Medicus (SM) National Conference on Fetal Monitoring,Flamingo Las Vegas,Flamingo Las Vegas,200
41932,41934,Technology Services World Conference,ARIA Resort & Casino,ARIA Resort & Casino,1000
41896,41898,"Terrapinn, Inc. - America's Customer Festival 2014",The Venetian Resort Hotel Casino,"The Venetian Resort Hotel Casino,The Palazzo Resort - Hotel - Casino",400
41921,41923,The American Association of Nurse Attorneys (TAANA) - 2014 Annual Meeting & Educational Conference,"The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",60
42059,42061,The AWMA 2015 Show - American Wholesale Marketers Association,Paris Las Vegas,Paris Las Vegas,2000
41856,41864,"The Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union (BCTGM) - National Convention 2014",Planet Hollywood Resort & Casino,Planet Hollywood Resort & Casino,1000
42117,42119,The Car Wash Show 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,6000
41936,41942,The College Board - Forum 2014,ARIA Resort & Casino,ARIA Resort & Casino,1500
41952,41958,The Employee Stock Option Plans Association (ESOP) - The Esop Association 2014,Caesars Palace,Caesars Palace,825
42048,42053,The Instructional Technology Council - ITC eLearning 2015 Annual Conference,Planet Hollywood Resort & Casino,Planet Hollywood Resort & Casino,450
41891,41892,The Las Vegas DJ Show 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,1000
41947,41950,The SEMA Show (co-located with Automotive Aftermarket Industry Week),Bally's Las Vegas,Las Vegas Convention Center,0
41889,41893,Tieman - Customer Incentive,Bellagio,Bellagio,100
41947,41950,Tire Association Of North America - Global Tire Expo 2014,Caesars Palace,Caesars Palace,500
42032,42033,Tobacco Plus Expo 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,4000
41907,41909,"TOPS Software, LLC - CAMFire Conference 2014",Bally's Las Vegas,Bally's Las Vegas,200
41962,41965,Traders Expo Las Vegas 2014,Caesars Palace,Caesars Palace,5000
42073,42075,Travel Goods Show 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,4500
41931,41935,Travel One Inc.-Dietech MBA 2014,Planet Hollywood Resort & Casino,Planet Hollywood Resort & Casino,80
41953,41956,"Travel, Events and Management In Sports - TEAMS Conference & Expo - 2014",Bellagio,Las Vegas Convention Center,2000
41896,41900,U. S. S. Mullany DD-528 Reunion,the D Las Vegas,the D Las Vegas,100
42085,42090,Ultimate Software Group Connections Conference,Bellagio,Bellagio,1203
42068,42072,United BioSource Corporation (UBC) - Affiliates In Action 2015,"JW Marriott Las Vegas Resort, Spa & Golf","JW Marriott Las Vegas Resort, Spa & Golf",200
41861,41867,United Steelworkers - Biennial National Constitutional Convention 2014,MGM Grand Hotel and Casino,MGM Grand Hotel and Casino,6000
42022,42025,United Transportation Union - SMART General Chairpersons Reorganization Meeting 2015,Treasure Island - TI Hotel & Casino,Treasure Island - TI Hotel & Casino,90
41899,41901,University Learning Systems (ULS) - Current Topics in Healthcare: Series XIX 2014,Harrah's Las Vegas Hotel and Casino,Harrah's Las Vegas Hotel and Casino,40
41976,41978,University Learning Systems (ULS) - Current Treatment Strategies: Series IX 2014,Harrah's Las Vegas Hotel and Casino,Harrah's Las Vegas Hotel and Casino,40
42052,42055,University Learning Systems (ULS) - Providing Better Patient Care: Series XIV 2015,"The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",75
42165,42167,University Learning Systems (ULS) - Therapeutic Update with Wayne Weart 2015,"The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",75
41911,41914,UNT 2014 International Conference on Metallic Materials and Processing,Tropicana Las Vegas,Tropicana Las Vegas,50
42185,42189,USA Table Tennis - US Open,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,3000
42043,42045,Vacuum Dealers Trade Association 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,2900
41963,41972,VBGOLF - Vegas Baby Golf Invitational,Planet Hollywood Resort & Casino,Planet Hollywood Resort & Casino,600
41894,41896,Vegas Retro,Riviera Hotel & Casino,Riviera Hotel & Casino,2000
42181,42188,Velocity Dance Convention - 2015 National Finals,Planet Hollywood Resort & Casino,Planet Hollywood Resort & Casino,450
41974,41976,Vendome Group - Construction SuperConference 2014,Wynn Las Vegas,Wynn Las Vegas,400
41982,41984,VFX – Mega Show Americas Import & Export Trade Show,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,30000
42157,42159,Waste Expo 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,14000
41898,41899,Wedding MBA Convention 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,650
41929,41933,Wells Fargo & Company - 2014 Business Banking Leadership,The Westin Lake Las Vegas Resort & Spa,The Westin Lake Las Vegas Resort & Spa,396
41888,41895,Wells Fargo Home Mortgage - Western Mountain Region Team Meeting,The Westin Lake Las Vegas Resort & Spa,The Westin Lake Las Vegas Resort & Spa,30
41918,41921,West Coast Reunion,Aquarius Casino Resort,Aquarius Casino Resort,20
41897,41901,Western Carwash Association Convention & Tradeshow,Rio All-Suite Hotel & Casino,Rio All-Suite Hotel & Casino,1300
41930,41938,Western CPE Continuing Education,Tropicana Las Vegas,Tropicana Las Vegas,165
41972,41980,Western CPE Continuing Education,Tropicana Las Vegas,Tropicana Las Vegas,165
41917,41920,Western Museums Association - WMA 2014 Annual Meeting,Flamingo Las Vegas,Flamingo Las Vegas,400
42094,42099,Western Political Science Association Annual Regional Meeting,Caesars Palace,Caesars Palace,1200
42122,42127,Western Psychological Association 2015,Red Rock Casino Resort Spa,Red Rock Casino Resort Spa,1600
42166,42174,Western States Roofing Contractors Association 2015 Convention & Tradeshow,Paris Las Vegas,Paris Las Vegas,4000
42137,42140,Western Tax Study-BCBS GROUP 2015,New York-New York Hotel & Casino,New York-New York Hotel & Casino,50
41914,41916,Western Union - US FI Advisory Council 2013,Caesars Palace,Caesars Palace,25
42050,42054,Western Veterinary Conference 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,14000
42152,42154,Wholesalecrafts.com-American Craft Retailers Expo 2015,South Point Hotel Casino & Spa,South Point Hotel Casino & Spa,3000
42198,42202,WIPFLI LLP Annual Convention,Caesars Palace,Caesars Palace,1200
42142,42145,Workgroup For Electronic Data Interchange (WEDI) - 24th Annual National Conference 2015,Green Valley Ranch Resort & Spa,Green Valley Ranch Resort & Spa,350
41862,41871,World Beauty Fitness & Fashion Inc. (WBFF) Annual Show 2014,The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,2000
41939,41943,World Boxing Organization - 2014 WBO Convention,Caesars Palace,Caesars Palace,300
42038,42041,World of Concrete 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,55000
42125,42134,Worldwide ERC National Relocation Conference 2015,Caesars Palace,Caesars Palace,1100
42065,42067,WPPI Wedding & Portrait Photographers Conference Expo 2015,MGM Grand Hotel and Casino,MGM Grand Hotel and Casino,11000
41914,41918,Yo-Hi Reunion,Sunset Station Hotel Casino,Sunset Station Hotel Casino,250
41934,41937,Zions Bancorporation - Executive Team Meeting 2014,MGM Grand Hotel and Casino,MGM Grand Hotel and Casino,60
41925,41929,Zodiac Arresting Systems - RepCon 2014,Bally's Las Vegas,Bally's Las Vegas,300
