"CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.",,,
,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,,,,,,,,,,,,
Fiscal Period,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Jun09,Jun10,Jun11,Jun12,Jun13,TTM/current,	,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
"  Inventories, Inventories Adjustments",0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Finished Goods",0,0,0,0,0,0,0,1.485,2.781,2.473,3.481,3.078,5.221,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.382,1.485,2.371,2.847,2.815,2.781,2.994,2.746,2.209,2.473,3.733,3.802,3.347,3.481,3.867,3.947,3.533,3.078,4.381,5.221
"  Inventories, Other",0,0,0,0,0,0,0,2.220446049250313e-16,-4.440892098500626e-16,-4.440892098500626e-16,0,4.440892098500626e-16,-8.881784197001252e-16,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.220446049250313e-16,2.220446049250313e-16,-4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,-4.440892098500626e-16,0,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,0,-8.881784197001252e-16,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0,-8.881784197001252e-16
Total Inventories,0,0,0,0,0,0,0,3.369,4.319,5.818,7.061,6.243,10.283,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.737,3.369,4.082,4.048,4.562,4.319,4.456,4.321,4.865,5.818,7.055,7.963,7.824,7.061,6.962,7.161,6.796,6.243,8.266,10.283
Other Current Assets,0,0,0.10500000000000043,0.2749999999999986,2.0790000000000077,2.428999999999988,1.3149999999999977,0.7980000000000018,1.0480000000000018,0.7970000000000041,1.5360000000000014,0.958999999999989,1.4760000000000275,		,0,0,0,0.10500000000000043,0,0,0,0.2749999999999986,0.8019999999999925,4.641999999999996,2.819999999999993,2.0790000000000077,1.6270000000000095,1.9809999999999945,2.9210000000000065,2.428999999999988,1.5180000000000007,1.1770000000000067,1.3179999999999978,1.3149999999999977,1.178999999999995,0.7980000000000018,4.063999999999993,3.878,3.791000000000004,1.0480000000000018,1.4479999999999933,1.036000000000005,0.7270000000000003,0.7970000000000041,1.2119999999999997,1.4129999999999967,0.980000000000004,1.5360000000000014,1.2490000000000023,1.1239999999999988,0.7779999999999916,0.958999999999989,1.2310000000000016,1.4760000000000275
Total Current Assets,0,0,27.123,60.07,132.28,92.695,46.803,46.052,38.478,41.028,57.77,89.829,174.341,		,0,0,0,27.123,0,0,0,60.07,112.842,102.951,139.72,132.28,122.84,114.079,104.652,92.695,79.654,65.893,51.909,46.803,49.852,46.052,66.981,60.146,58.081,38.478,38.489,38.636,37.552,41.028,42.705,46.394,44.249,57.77,53.891,50.528,92.693,89.829,87.995,174.341
  Land And Improvements,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Buildings And Improvements,0,0,1.527,1.974,2.195,2.22,0,0,0,0,0,0,0,		,0,0,0,1.527,0,0,0,1.974,0,0,0,2.195,2.21,2.21,2.214,2.22,2.22,2.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Machinery, Furniture, Equipment",0,0,3.449,4.601,5.58,5.711,0,2.481,3.253,4.286,4.882,6.404,0,		,0,0,0,3.449,0,0,0,4.601,0,0,0,5.58,5.665,5.662,5.665,5.711,5.709,4.585,0,0,0,2.481,0,0,0,3.253,0,0,0,4.286,0,0,0,4.882,0,0,0,6.404,0,0
  Construction In Progress,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gross Property, Plant and Equipment",0,0,4.976,6.575,7.775,7.931,0,2.59,3.384,4.466,5.062,6.621,0,		,0,0,0,4.976,0,0,0,6.575,6.359,6.419,6.227,7.775,7.875,7.872,7.879,7.931,7.929,6.807,6.028,0,0,2.59,0,0,0,3.384,0,0,0,4.466,0,0,0,5.062,0,0,0,6.621,0,0
  Accumulated Depreciation,0,0,-2.072,-3.327,-4.605,-6.026,0,-0.871,-1.42,-2.083,-2.899,-3.622,0,		,0,0,0,-2.072,0,0,0,-3.327,-3.327,-3.327,-3.327,-4.605,-5.024,-5.369,-5.748,-6.026,-6.252,-5.702,-5.895,0,0,-0.871,0,0,0,-1.42,0,0,0,-2.083,0,0,0,-2.899,0,0,0,-3.622,0,0
"Property, Plant and Equipment",0,0,2.904,3.248,3.17,1.905,0,1.719,1.964,2.383,2.163,2.999,3.088,		,0,0,0,2.904,0,0,0,3.248,3.032,3.092,2.9,3.17,2.851,2.503,2.131,1.905,1.677,1.105,0.133,0,1.624,1.719,1.636,1.784,1.959,1.964,2.015,2.315,2.22,2.383,2.271,2.388,2.257,2.163,2.122,2.342,2.532,2.999,3.022,3.088
Intangible Assets,0,0,0,0,0,0,0,1.363,1.712,2.314,2.635,3.219,3.505,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.265,1.363,1.49,1.629,1.704,1.712,1.817,2.015,2.192,2.314,2.422,2.499,2.659,2.635,2.903,2.938,3.066,3.219,3.418,3.505
Other Long Term Assets,11.988,0,0.03999999999999915,0.2610000000000028,0.11100000000001842,0.09000000000000341,0.036000000000001364,23.23600000000001,0.5679999999999978,1.0330000000000013,0.5560000000000045,0.8500000000000227,0.06999999999999318,		,0,0,0,0.03999999999999915,0,0,0,0.2610000000000028,0.23799999999999955,0.11800000000000921,0.08599999999998431,0.11100000000001842,0.1280000000000001,0.12100000000000932,0.11299999999999955,0.09000000000000341,0.08599999999999852,0.0799999999999983,0.07000000000000028,0.036000000000001364,23.03000000000001,23.23600000000001,0.36400000000001853,0.2910000000000039,0.21599999999999397,0.5679999999999978,0.10600000000000165,1.7119999999999962,1.7620000000000005,1.0330000000000013,0.9060000000000059,0.7259999999999991,0.6559999999999988,0.5560000000000045,1.1700000000000017,0.8389999999999986,0.7420000000000044,0.8500000000000227,0.6849999999999881,0.06999999999999318
Total Assets,11.988,0,30.067,63.579,135.561,94.69,46.839,72.37,42.722,46.758,63.124,96.897,181.004,		,0,0,0,30.067,0,0,0,63.579,116.112,106.161,142.706,135.561,125.819,116.703,106.896,94.69,81.417,67.078,52.112,46.839,75.771,72.37,70.471,63.85,61.96,42.722,42.427,44.678,43.726,46.758,48.304,52.007,49.821,63.124,60.086,56.647,99.033,96.897,95.12,181.004
  Accounts Payable,0,0,1.216,9.154,7.957,4.553,0.635,4.751,3.353,5.181,5.61,7.23,8.511,		,0,0,0,1.216,0,0,0,9.154,9.598,7.249,5.206,7.957,7.209,6.643,8.313,4.553,3.136,12.201,6.875,0.635,4.841,4.751,4.368,3.01,4.943,3.353,5.038,4.114,4.488,5.181,5.203,5.633,5.072,5.61,5.595,5.012,6.183,7.23,8.52,8.511
  Total Tax Payable,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Other Accrued Expenses,0,0,0,0,0,7.702000000000001,4.063000000000001,5.6000000000000005,6.569000000000001,5.545000000000001,7.262,9.931999999999999,11.092000000000002,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.702000000000001,4.969,0,0,4.063000000000001,4.438,5.6000000000000005,5.872,5.779,6.335000000000001,6.569000000000001,6.869,6.202000000000001,6.518999999999999,5.545000000000001,5.339999999999999,5.3,6.803999999999999,7.262,8.692,6.946000000000001,8.668000000000001,9.931999999999999,10.209,11.092000000000002
Accounts Payable & Accrued Expenses,0,0,1.216,9.154,7.957,12.255,4.698,10.351,9.922,10.726,12.872,17.162,19.603,		,0,0,0,1.216,0,0,0,9.154,9.598,7.249,5.206,7.957,7.209,6.643,8.313,12.255,8.105,12.201,6.875,4.698,9.279,10.351,10.24,8.789,11.278,9.922,11.907,10.316,11.007,10.726,10.543,10.933,11.876,12.872,14.287,11.958,14.851,17.162,18.729,19.603
Current Portion of Long-Term Debt,0,0,1.215,0.161,0,0,0,25.823,2.302,3.813,4.678,5.095,5.05,		,0,0,0,1.215,0,0,0,0.161,0,0,0,0,0,0,0,0,0,0,0,0,24.964,25.823,25.802,25.689,20.601,2.302,4.6,3.638,3.723,3.813,3.905,2.337,3.478,4.678,4.678,4.678,4.928,5.095,5.074,5.05
Other Current Liabilities,0,0,0.2829999999999999,0,56.175999999999995,0,0,-1.7763568394002505e-15,1.1809999999999992,0.6469999999999985,0.3019999999999996,0.15600000000000236,0.15099999999999625,		,0,0,0,0.2829999999999999,0,0,0,0,4.443999999999999,4.444,4.444,56.175999999999995,55.162000000000006,0,0,0,0,0,0,0,3.552713678800501e-15,-1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.1809999999999992,1.535000000000002,1.251999999999999,0.7170000000000005,0.6469999999999985,0.647000000000002,0.995000000000001,0.7840000000000025,0.3019999999999996,0.3219999999999974,0.3019999999999978,0.1759999999999966,0.15600000000000236,0.15100000000000335,0.15099999999999625
Total Current Liabilities,0,0,2.714,9.315,64.133,12.255,4.698,36.174,13.405,15.186,17.852,22.413,24.804,		,0,0,0,2.714,0,0,0,9.315,14.042,11.693,9.65,64.133,62.371,6.643,8.313,12.255,8.105,12.201,6.875,4.698,34.243,36.174,36.042,34.478,31.879,13.405,18.042,15.206,15.447,15.186,15.095,14.265,16.138,17.852,19.287,16.938,19.955,22.413,23.954,24.804
Long-Term Debt,0,0,0.084,0,0,0,0,4.379,8.985,8.331,12.842,7.472,5.742,		,0,0,0,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.498,4.379,4.816,6.7,11.805,8.985,6.366,10.004,9.598,8.331,8.443,15.403,14.063,12.842,11.621,10.4,8.851,7.472,5.742,0
  Capital Lease Obligation,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.219,0.943,0.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  PensionAndRetirementBenefit,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  DeferredTaxAndRevenue,0,0,0,0,0,0,0,0,2.208,1.497,0.163,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.208,0,1.911,1.741,1.497,1.315,0.336,0.199,0.163,0,0,0,0,0,0
Other Long-Term Liabilities,16.906,0,69.471,136.89600000000002,0.055999999999997385,0.030999999999998806,0,1.4849999999999994,0.4090000000000025,0.10900000000000154,0.0779999999999961,0.17999999999999972,0.12300000000000111,		,0,0,0,69.471,0,0,0,136.89600000000002,194.609,196.146,52.806000000000004,0.055999999999997385,0.04999999999999716,0.04400000000000048,0.036999999999999034,0.030999999999998806,0.025000000000000355,0,0,0,1.561,1.4849999999999994,2.9749999999999943,-7.105427357601002e-15,-3.552713678800501e-15,0.4090000000000025,2.5829999999999984,0.1140000000000021,0.11199999999999788,0.10900000000000154,0.10599999999999765,0.10299999999999826,0.08199999999999524,0.0779999999999961,0.19200000000000017,0.1509999999999998,0.24199999999999733,0.17999999999999972,0.1529999999999987,0.12300000000000111
Total Liabilities,16.906,0,72.269,146.211,64.189,12.286,4.698,42.038,25.007,25.123,30.935,30.065,24.927,		,0,0,0,72.269,0,0,0,146.211,208.651,207.839,62.456,64.189,62.421,6.687,8.35,12.286,8.13,12.201,6.875,4.698,41.302,42.038,43.833,41.178,43.684,25.007,26.991,27.235,26.898,25.123,24.959,30.107,30.482,30.935,31.1,27.489,29.048,30.065,29.849,24.927
Common Stock,0,0,0.001,0.002,0.027,0.027,0.027,0.014,0.015,0.017,0.02,0.024,0.03,		,0,0,0,0.001,0,0,0,0.002,0.002,0.002,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.018,0.018,0.018,0.02,0.021,0.021,0.024,0.024,0.025,0.03
Preferred Stock,13.764,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retained Earnings,-4.96,0,-42.235,-83.107,-116.98,-109.288,-150.413,-127.419,-151.323,-162.448,-179.238,-203.275,-219.225,		,0,0,0,-42.235,0,0,0,-83.107,-93.06,-101.641,-107.363,-116.98,-125.532,-80.042,-92.345,-109.288,-118.246,-136.977,-146.891,-150.413,-121.782,-127.419,-133.619,-140.404,-146.922,-151.323,-155.591,-157.581,-159.965,-162.448,-166.307,-170.442,-174.632,-179.238,-184.448,-190.215,-196.434,-203.275,-210.567,-219.225
Accumulated other comprehensive income (loss),0,0,0.034,0.475,-0.007,0.096,0.288,0,0,0,0,0,0,		,0,0,0,0.034,0,0,0,0.475,0.521,-0.037,0.005,-0.007,0.002,-0.017,0.026,0.096,0.224,0.059,0.012,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Additional Paid-In Capital,0,0,0,0,188.334,191.57,192.24,146.455,157.718,174.157,201.793,261.722,371.703,		,0,0,0,0,0,0,0,0,0,0,187.583,188.334,188.903,190.056,190.847,191.57,191.283,191.769,192.09,192.24,144.916,146.455,148.963,151.853,153.975,157.718,159.71,163.595,165.469,174.157,180.487,182.835,184.464,201.793,203.799,210.119,257.474,261.722,269.725,371.703
Treasury Stock,0,0,-0.002,-0.002,-0.002,-0.001,-0.001,0,0,0,0,0,0,		,0,0,0,-0.002,0,0,0,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.008,-0.009,-0.001,-0.001,-0.001,-0.001,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Equity,-4.917999999999999,0,-42.202000000000005,-82.632,71.37200000000001,82.404,42.141,30.332000000000008,17.715,21.635,32.18900000000001,66.83200000000001,156.077,		,0,0,0,-42.202000000000005,0,0,0,-82.632,-92.53900000000002,-101.678,80.24999999999999,71.37200000000001,63.398,110.016,98.546,82.404,73.287,54.877,45.237,42.141,34.469,30.332000000000008,26.638000000000005,22.672000000000004,18.276000000000003,17.715,15.436,17.442999999999998,16.828,21.635,23.345000000000002,21.9,19.339,32.18900000000001,28.985999999999997,29.157999999999998,69.985,66.83200000000001,65.271,156.077
  Net Income,0,0,-19.239,-33.669,-29.249,7.692,-41.125,-31.895,-23.904,-11.125,-16.79,-24.037,-29.009999999999998,		,0,0,0,-19.239,0,0,0,-33.669,-7.702,-6.208,-5.722,-9.617,-8.552,45.49,-12.303,-16.943,-8.958,-18.731,-9.914,-3.522,-22.736,-5.637,-6.2,-6.785,-6.518,-4.401,-4.268,-1.99,-2.384,-2.483,-3.859,-4.135,-4.191,-4.605,-5.21,-5.767,-6.219,-6.841,-7.292,-8.658
  Cumulative Effect Of Accounting Change,0,0,0,0,0,0,0,0,0,0,0,0,,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Net Foreign Currency Exchange Gain,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income From Continuing Operations,0,0,-19.239,-33.669,-29.249,7.692,-41.125,-31.895,-23.904,-11.125,-16.79,-24.037,-29.009999999999998,		,0,0,0,-19.239,0,0,0,-33.669,-7.702,-6.208,-5.722,-9.617,-8.552,45.49,-12.303,-16.943,-8.958,-18.731,-9.914,-3.522,-22.736,-5.637,-6.2,-6.785,-6.518,-4.401,-4.268,-1.99,-2.384,-1.211,-3.859,-7.994,-4.191,-4.605,-5.21,-5.767,-6.219,-6.841,-7.292,-8.658
"Depreciation, Depletion and Amortization",0,0,1.295,1.293,0.683,2.253,0.917,0.47,0.599,0.716,0.872,0.973,1.151,		,0,0,0,1.295,0,0,0,1.293,0.372,0.328,-0.277,0.26,0.419,0.391,0.38,1.063,0.231,0.409,0.157,0.12,0.212,0.138,0.136,0.143,0.156,0.164,0.164,0.173,0.181,0.198,0.221,0.227,0.228,0.196,0.238,0.265,0.279,0.191,0.321,0.36
  Change In Receivables,0,0,0.124,0,-4.634,4.634,0,-3.672,-1.057,-3.718,-0.391,-1.281,-3.153,		,0,0,0,0.124,0,0,0,0,-2.14,-0.793,0.365,-2.066,2.429,2.205,0,0,0,0,0,0,-3.29,-0.382,0.293,-0.722,-0.975,0.347,-1.185,-0.12,-2.669,0.256,1.492,-0.668,-0.53,-0.685,0.097,0.397,-2.192,0.417,-0.631,-0.747
  Change In Inventory,0,0,0,0,0,0,0,0.407,-0.95,-1.499,-1.243,0.818,-3.122,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.039,-0.632,-0.713,0.034,-0.514,0.243,-0.137,0.135,-0.544,-0.953,-1.237,-0.908,0.139,0.763,0.099,-0.199,0.365,0.553,-2.023,-2.017
  Change In Prepaid Assets,0,0,0.134,-0.182,-1.695,-0.349,1.655,2.362,0.006,0.323,-0.379,0.925,0.15000000000000005,		,0,0,0,0.134,0,0,0,-0.182,-0.065,-2.459,0.088,0.741,0.453,-0.355,-0.94,0.493,0.911,0.352,-0.001,0.393,1.545,0.424,-0.394,0.259,0.212,-0.071,-0.326,0.412,0.309,-0.072,-0.119,0.172,0.261,-0.693,0.401,0.18,0.4,-0.056,0.011,-0.205
  Change In Payables And Accrued Expense,0,0,0.528,6.996,-0.518,4.435,-7.395,-1.368,2.401,-0.574,0.276,3.948,7.6469999999999985,		,0,0,0,0.528,0,0,0,6.996,0.809,-3.349,-0.949,2.971,-0.52,-0.739,1.7,3.994,-4.031,4.104,-5.318,-2.15,-0.338,1.12,2.598,-1.739,2.205,-0.663,2.055,-2.015,-0.016,-0.598,-0.368,-0.244,0.574,0.314,1.157,-2.361,2.937,2.215,1.472,1.023
Change In Working Capital,0,0,0.422,6.3,49.453,-47.459,-5.717,-2.271,0.4,-5.468,-1.737,4.41,1.522,		,0,0,0,0.422,0,0,0,6.3,58.031,-7.597,-1.582,0.601,1.326,-54.051,0.761,4.505,-3.122,4.427,-5.319,-1.703,-1.098,0.53,1.784,-2.168,0.928,-0.144,0.407,-1.588,-2.92,-1.367,-0.232,-1.648,0.444,-0.301,1.754,-1.983,1.51,3.129,-1.171,-1.946
Change In DeferredTax,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash Flow from Discontinued Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash Flow from Others,0,0,0.33599999999999913,-0.3830000000000018,1.2849999999999966,2.7989999999999995,1.2889999999999953,3.9859999999999998,9.338,7.516,6.3149999999999995,7.888999999999998,10.370999999999999,		,0,0,0,0.33599999999999913,0,0,0,-0.3830000000000018,-0.4089999999999989,-0.9899999999999993,2.176,0.5080000000000018,1.0290000000000004,0.9889999999999972,0.7440000000000008,0.0370000000000017,-0.3309999999999995,0.6450000000000014,1.2770000000000001,-0.30200000000000027,2.593000000000001,1.6949999999999996,2.293,2.216,2.2439999999999998,2.585,2.306,1.3419999999999999,1.4269999999999996,1.169,1.836,5.256999999999999,1.2439999999999998,1.837,1.4259999999999997,1.9900000000000007,2.3530000000000006,2.1200000000000006,2.524,3.3739999999999988
Cash Flow from Operations,0,0,-17.186,-26.459,22.172,-34.715,-44.636,-29.71,-13.567,-8.361,-11.34,-10.765,-15.966000000000001,		,0,0,0,-17.186,0,0,0,-26.459,50.292,-14.467,-5.405,-8.248,-5.778,-7.181,-10.418,-11.338,-12.18,-13.25,-13.799,-5.407,-21.029,-3.274,-1.987,-6.594,-3.19,-1.796,-1.391,-2.063,-3.696,-1.211,-2.034,-4.158,-2.275,-2.873,-1.792,-5.495,-2.077,-1.401,-5.618,-6.87
"Purchase Of Property, Plant, Equipment",0,0,-0.886,-1.57,-1.214,-0.232,-0.014,-0.957,-0.793,-1.081,-0.437,-1.672,-1.9959999999999998,		,0,0,0,-0.886,0,0,0,-1.57,-0.171,-0.388,-0.224,-0.431,-0.297,0.142,-0.016,-0.061,-0.007,0.004,0,-0.011,-0.739,-0.207,-0.041,-0.279,-0.319,-0.154,-0.2,-0.459,-0.073,-0.349,-0.096,-0.33,-0.084,0.073,-0.164,-0.229,-0.492,-0.787,-0.287,-0.43
"Sale Of Property, Plant, Equipment",0,0,0,0.001,0.045,0.007,0.007,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0.001,0,0,0.039,0.006,0,0.001,0,0,0.003,0,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purchase Of Business,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sale Of Business,0,0,0,0,0,0,0,37.369,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.805,-0.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purchase Of Investment,0,0,-158.346,-157.281,-230.681,-101.673,-9.376,0,0,0,0,0,0,		,0,0,0,-158.346,0,0,0,-157.281,-57.842,-54.323,-69.012,-49.504,0,-5.642,-28.866,-17.661,-5,-4.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sale Of Investment,0,0,136.15,125.5,184.42,156.175,43.769,0.05,22.95,0,0,0,0,		,0,0,0,136.15,0,0,0,125.5,36,48,43.137,57.283,71.001,29.73,22.32,33.124,25.054,6.5,5.096,7.119,-7.119,0.05,0.1,0.15,3.375,19.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Intangibles Purchase And Sale,0,0,0,0,0,0,0,-0.436,-0.4,-0.656,-0.538,-0.783,-0.777,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.312,-0.124,-0.139,-0.151,-0.087,-0.023,-0.12,-0.212,-0.19,-0.134,-0.121,-0.091,-0.173,-0.153,-0.16,-0.231,-0.184,-0.208,-0.124,-0.261
Cash From Discontinued Investing Activities,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash Flow from Investing,0,0,-23.082,-33.35,-47.43,54.277,34.386,36.026,21.757,-1.737,-0.975,-2.455,-2.7729999999999997,		,0,0,0,-23.082,0,0,0,-33.35,-22.013,-6.711,-26.06,7.354,70.704,-25.267,-6.562,15.402,20.05,2.128,5.099,7.109,29.634,-0.717,-0.08,-0.28,2.969,19.148,-0.32,-0.671,-0.263,-0.483,-0.217,-0.421,-0.257,-0.08,-0.324,-0.46,-0.676,-0.995,-0.411,-0.691
Net Issuance of Stock,0,0,38.84,60.468,45.036,0.346,0,0,1.197,0,14.889,38.209,122.59,		,0,0,0,38.84,0,0,0,60.468,0.255,0.02,46.557,-1.796,0.032,0.24,0.014,0.06,0.003,0.043,0.013,0,0,0,0,0,0,1.184,0,0,0,0,0,0,0,14.889,0,-14.889,38.221,-0.012,0,84.381
Net Issuance of Preferred Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
