U.S. Energy Information Administration,,,,,,,,,,,
November 2014 Monthly Energy Review,,,,,,,,,,,
,,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,,
,,,,,,,,,,,
"Release Date: November 25, 2014",,,,,,,,,,,
"Next Update: December 23, 2014",,,,,,,,,,,
,,,,,,,,,,,
Table 3.3d Petroleum Trade:  Imports From Non-OPEC Countries,,,,,,,,,,,
,,,,,,,,,,,
Month,Petroleum Imports From Brazil,Petroleum Imports From Canada,Petroleum Imports From Colombia,Petroleum Imports From Mexico,Petroleum Imports From Netherlands,Petroleum Imports From Norway,Petroleum Imports From Russia,Petroleum Imports From United Kingdom,Petroleum Imports From U.S. Virgin Islands,Petroleum Imports From Other Non-OPEC,Petroleum Imports From Total Non-OPEC Countries
34943,43.033,1251.667,252.367,1310.767,0,364.067,49.933,427.167,223.067,1272.1,5194.167
34973,8.806,1300.258,198.839,894.419,31.355,162.742,0,527.871,298.935,1211.742,4634.968
35004,11.867,1402.7,239.567,1114.367,20.267,254.767,27.7,284.233,316.9,1223.933,4896.3
35034,12.355,1470.871,199.677,996.129,0,348.452,15.129,237.774,333.645,1070.419,4684.452
35065,1.065,1490.484,186,1280.903,15.742,198.742,10.516,364.484,390.129,1306.258,5244.323
35096,4.138,1413.345,148.655,1083.448,37.966,236.276,13.586,374.276,343.103,1005.483,4660.276
35125,1.194,1321.871,261.903,1176.355,34.516,284.323,17.935,345.806,310.71,1176.968,4931.581
35156,0.133,1427.067,279.633,1303.2,19.767,375.033,0,480.867,358.667,1176.733,5421.1
35186,8.968,1373.452,262.645,1287.806,9.29,380.065,62.839,420.806,298.452,1361.161,5465.484
35217,10.4,1395,250.4,1350.7,26.133,434.333,14.3,312.2,291.933,1578,5663.4
35247,28.387,1393.323,203.581,1216.194,7.387,374.968,42.194,243.903,344.452,1347.065,5201.452
35278,38.097,1392.742,220.613,1157.129,14.129,368.935,32.194,274.484,278.71,1543.839,5320.871
35309,13.267,1276.033,213.467,1355,13.133,274.133,39.4,164.667,267.833,1320.667,4937.6
35339,0.871,1407.355,265.032,1212.903,24.032,389.323,42.355,263.742,324.935,1635.645,5566.194
35370,0.733,1515.967,267.367,1157.367,18.067,249.367,0,198.933,253.067,1615.933,5276.8
35400,3.258,1675.355,246.032,1346.065,13.806,187.032,25.71,252.645,294.355,1442.29,5486.548
35431,0.968,1571.387,227.226,1323.935,39.677,244.097,21.065,400.032,334.548,1521.871,5684.806
35462,0,1605,248.429,1277.25,32.5,204.321,18.536,236.143,340.607,1467.893,5430.679
35490,3.645,1507.581,259.581,1309.774,40.032,295.032,12.742,235.71,254.323,1635.871,5554.29
35521,0,1453.967,254.633,1447.633,19.867,306.6,20.033,159.367,321.067,1442.667,5425.833
35551,0,1570.581,271.548,1429.129,13.226,388.323,0,260.839,300.29,1583.226,5817.161
35582,20.333,1545.767,227.533,1401.233,36.667,328.8,7.933,372.3,300.2,1496.567,5737.333
35612,20.935,1546.839,235.097,1366.29,5.258,385.548,9.452,198.258,310.452,1500.871,5579
35643,3.581,1629.935,250.387,1451.645,14.645,320.677,32,267.806,318.548,1348.419,5637.645
35674,2.7,1577.4,289.067,1410.367,54.3,285.3,0,165.9,247.833,1644.4,5677.267
35704,6.452,1502.871,320.774,1525.968,12.677,346.032,13.29,154.355,300.677,1696.065,5879.161
35735,1.6,1559.033,321.567,1459.7,27.867,316.133,20.733,127.467,260.067,1422.7,5516.867
35765,0,1689.419,349.516,1215.161,1.387,275.355,0,134.548,314.032,1180.355,5159.774
35796,6.161,1703.097,344.968,1444,9.645,217.194,0,248.516,282.935,1488.387,5744.903
35827,2.286,1737.821,301.25,1249.643,25.036,169,12.393,170.429,295.929,1558,5521.786
35855,26.581,1463.903,296.323,1271.839,4.871,210.355,3.419,94.839,334.194,1413.161,5119.484
35886,10.933,1586,358.033,1537.933,39.867,231.833,0.1,308.533,272,1703.167,6048.4
35916,42.323,1599.742,400.806,1361.194,36.484,196.355,0,247.645,292.452,1868.645,6045.645
35947,55.233,1688.133,320.733,1399.733,31.467,283.4,33.533,230.633,310.4,1617.167,5970.433
35977,29.161,1668.839,238.452,1415.613,59.129,369.032,69.065,170.71,360.032,1862.161,6242.194
36008,37.806,1563.742,366.581,1152.903,20.71,286.839,1.065,384.065,281,1690.065,5784.774
36039,32.5,1574.967,363.167,1417.067,25.567,200.933,33.5,154.333,276.833,1667.1,5745.967
36069,29.452,1570.355,411.452,1178.677,49.065,198.677,14.613,383.871,267.935,1575.742,5679.839
36100,18.8,1494.933,352.367,1416.5,52.833,261.967,54.1,399.7,265.7,1706.367,6023.267
36130,21.516,1541.548,487.839,1370.548,13.774,202.323,63.419,198.903,273.645,1524.484,5698
36161,3.065,1600.419,445.323,1337.194,20.935,215.903,28,242.065,300.484,1411.774,5605.161
36192,22.179,1458.714,479.75,1279.214,6.607,203.393,28.286,259.893,294.5,1507.393,5539.929
36220,14.935,1364.839,591.903,1489.645,20,247.806,26.258,314.419,319.032,1160.129,5548.968
36251,26.1,1372.867,435.367,1402.833,34.167,264.667,75.367,318.933,270.7,1738,5939
36281,47.065,1523.29,458.065,1332.774,65.323,293.452,109.097,568.935,297.806,1736.161,6431.968
36312,48.033,1477.133,370.2,1354.5,44.133,524.2,149.167,373.467,290.333,1488.133,6119.3
36342,31.194,1694.065,600,1379.161,37.484,408.032,138.581,644.29,277.839,1470.355,6681
36373,29.968,1653.419,547.097,1338.613,35,243.548,138.097,320.935,205.903,1492.355,6004.935
36404,15.567,1406.733,406.133,1281.533,1.533,235.3,141.7,444.967,304.567,1593.267,5831.3
36434,17.742,1626.935,431.645,1189.355,16.581,341.032,109.548,344,283.806,1590.129,5950.774
36465,37.067,1592.4,416.3,1230.367,24.367,287.9,94.433,335.667,276.733,1306.633,5601.867
36495,18.29,1684.226,432.71,1271.645,11.097,370.774,31.032,197.581,235.806,1247.387,5500.548
36526,59.065,1868.613,451.903,1339.903,12.387,314.129,28.968,273.355,254.806,1367.581,5970.71
36557,20.655,1904.483,355.414,1237.414,45.483,381,120.172,240.586,305.966,1484.31,6095.483
36586,9.774,1672.516,463.548,1382.226,39.355,345.935,62.968,282.71,225.677,1512.548,5997.258
36617,57.3,1750.333,402.233,1417.167,21.033,396.567,82.7,444.033,312.1,1503.567,6387.033
36647,32.677,1907.194,345.645,1361.71,15.742,307.387,43.839,559.548,307.355,1630.452,6511.548
36678,102.267,1829.733,282.8,1498.767,43.467,273.967,74.733,349,355.667,1663.433,6473.833
36708,87.903,1774.645,236.613,1310.677,7.903,544.903,77.806,476.032,267.129,1626.581,6410.194
36739,72.194,1789.613,312.516,1425.839,21.645,377.097,73.419,405.355,297.129,1493.613,6268.419
36770,22.333,1789.233,360.133,1493.767,39.333,363.167,88.5,290.933,323.3,1659.567,6430.267
36800,37,1716.419,207.452,1262.903,39.839,305.71,110.548,381.323,237.097,1684.871,5983.161
36831,79.967,1735.567,324.133,1340.033,34.033,292.933,49.5,331.967,298.6,1586.2,6072.933
36861,36.387,1947.613,358.548,1404.871,40.871,220.032,55.161,342.452,317.839,1754.516,6478.29
36892,143.29,1934.935,378.516,1456.097,77.355,321.355,190.452,417.161,339.097,1769.903,7028.161
36923,88.107,1866.929,320.893,1120.143,47.821,394.857,183.071,378.25,273.357,1899.179,6572.607
36951,81.387,1937.581,227.903,1453.839,48,400.419,52.935,252.71,262.774,1583.29,6300.839
36982,86.667,1851.533,300.933,1572.467,23.033,381.833,114.6,253.933,201,1763.033,6549.033
37012,126.516,1780.065,323.194,1312.129,60.581,410.645,87.613,418,222.548,1708.452,6449.742
37043,66.533,1899.8,308.4,1234.033,56.067,284.467,47.433,241,338.667,1614.967,6091.367
37073,86,1689.903,239,1347.677,25,447.871,81.29,367.516,319.677,1647.645,6251.581
37104,54.419,1722.742,350.387,1471.29,39.806,286.71,117.806,313.645,202.355,1773.419,6332.581
37135,79.9,1685.467,306.967,1489.967,34.4,388.333,124.167,229.267,282.9,1603.767,6225.133
37165,84.161,1734.387,233.677,1431.581,50.032,258.581,33.677,365.387,263.194,1381.871,5836.548
37196,56,1898.567,277.7,1765.033,21.567,387.3,22.1,366.533,259.267,1476.967,6531.033
37226,32.613,1943.581,282.516,1603.129,32.71,139.839,30.032,285.548,247.226,1372.065,5969.258
37257,47.548,1900.645,260.032,1415.903,24.935,154.903,60.548,365.806,278.323,1550.226,6058.871
37288,84.429,1896.857,352.107,1611.107,48.214,263.536,50.714,359.893,241.571,1262.786,6171.214
37316,130.968,1843.581,241.677,1472.742,77.129,337.839,95.355,271.548,198.226,1538.387,6207.452
37347,163.267,2031.933,290.7,1485.533,111.1,576.7,191.667,453.9,167.8,1687.033,7159.633
37377,144,1969.419,209.903,1564.71,103.129,519.161,370.548,436.29,165.097,1726.129,7208.387
37408,148.733,1913.6,228.5,1518.9,68.733,527.233,231.467,726.333,236.267,1796.833,7396.6
37438,114.323,1901.355,224.097,1604.032,39.161,494.742,219.806,529.355,239.548,1891.29,7257.71
37469,191.419,2019.645,239.484,1499.516,87.29,477.871,235.645,574.161,233.774,1693.323,7252.129
37500,90.4,1882.633,274.867,1452.933,20.633,342.033,225.433,353.033,230.533,1749.667,6622.167
37530,132.452,2110.097,254.516,1574.258,74.935,317.742,295.258,581.903,235.355,1630.258,7206.774
37561,72.867,2083.167,269.9,1580.067,70,409.333,255.433,669.033,321.167,1854.967,7585.933
37591,65.742,2090.161,289,1780.548,61.065,288,276.065,415.387,281.452,1387.871,6935.29
37622,113.903,2272.258,159.935,1603.742,122.71,210.29,180.935,493.452,178.774,1464.645,6800.645
37653,119.143,1996.714,269.107,1645.571,62.393,279.893,270.75,462.786,253.357,1509.643,6869.357
37681,75.903,1894.839,220.161,1355.387,107.677,241.935,257.452,388.871,327.903,1741.484,6611.613
37712,75.2,1779.067,211.933,1662.567,89.467,282.267,132.033,407.033,244.5,1766.033,6650.1
37742,66.742,2014.935,161.871,1556.323,76.226,302.935,208.226,556.871,258.161,1965.065,7167.355
37773,83.5,1956.133,170.033,1530.267,97.467,375.433,526.967,511.933,278.333,1944.733,7474.8
37803,143.613,2131.161,187.806,1694.161,99.71,265,550.419,512.194,351.065,2065.161,8000.29
37834,198.355,2131.677,226.258,1618.032,91.484,352.129,411.323,380.968,344.806,2080.613,7835.645
37865,132.167,2082.067,199.8,1665.233,102.333,287.7,274.8,557.667,325.9,1845.867,7473.533
37895,95.484,2178.548,230.968,1692.419,78.774,295.677,93.355,318.581,306.903,1739.871,7030.581
37926,93.433,2185.833,128.933,1656.967,92.567,188.033,70.8,299.933,291.1,1467.267,6474.867
37956,98.516,2226.677,174.839,1800.548,18.839,161.871,72.226,389.871,286.968,1577.581,6807.935
37987,158.323,2203.968,299.677,1652.194,33.871,240.581,136.355,232.935,302.419,1509.968,6770.29
38018,120.621,2134.552,110.31,1591.345,131.448,263.207,184.379,402.483,292.897,2140.517,7371.759
38047,122.613,2118.226,124.226,1662.065,173.065,286.839,194.419,448.613,301.774,2084.387,7516.226
38078,70.867,2059.633,163.5,1606.667,111.233,208.1,371.833,463.267,290.3,1944.233,7289.633
38108,66.29,2087.355,202.161,1750.871,94.968,297.516,226.323,439.065,327.581,1998.419,7490.548
38139,146,2240.467,202.367,1729.167,135.167,209.333,432.1,426.833,378,1726.3,7625.733
38169,142.839,2177.516,136.161,1675.613,109.903,317.806,396.548,416.839,379.032,1972.613,7724.871
38200,83.613,2011.548,190.71,1655.484,97,321.419,256.065,282.516,355.065,2178.935,7432.355
38231,137.8,2141,182.767,1599.5,50.467,148.233,234.3,191.7,341.867,2035.467,7063.1
38261,92.774,2224.903,155.613,1769.129,132.032,222.806,294.935,486.968,351.613,2126.742,7857.516
38292,36.033,2107.833,159.133,1663.7,57.967,244.833,490.367,289.567,295.667,2280.067,7625.167
38322,70.097,2151.581,181.161,1612.226,84.903,165.484,364.581,480.484,343.516,2101,7555.032
38353,123.129,2235.387,150.419,1534.226,62.387,248.097,337.129,327.742,304.516,2192.226,7515.258
38384,152.643,2114.25,109.679,1610.25,115.179,126.143,463.536,336.571,330.071,2530.679,7889
38412,54.935,2037.387,126.258,1689.194,73.065,287.677,509.645,450.839,277.871,2363.323,7870.194
38443,48.867,2072.5,241.3,1649.7,131.3,245.3,659.9,398.9,357.567,2053.3,7858.633
38473,133.645,2215.774,176.484,1858.419,184.419,241.323,365.29,347.871,367.258,2242.452,8132.935
38504,225.867,2170.7,251.433,1761.2,131.767,356.7,349.567,421.567,330.633,2485.433,8484.867
38534,156.452,2080.387,204.968,1599.742,199.742,206.161,613.935,406.323,322.839,2034.323,7824.871
38565,225.613,2085.065,266.29,1744.613,108,131.129,236.903,441.774,298.71,2636.452,8174.548
38596,161.8,2214.9,158.267,1328.7,198.733,235.7,465.767,413.467,289.033,2677.533,8143.9
38626,192.097,2109.032,175.677,1588.742,225.774,307.903,435.032,455.323,413.194,2893.387,8796.161
38657,151.3,2305.2,329.767,1777.167,205.733,231.833,216.567,504.3,302.7,2688.233,8712.8
38687,242.258,2531.194,159.194,1796.71,173.226,177.032,274.581,250.871,335.097,2176.677,8116.839
38718,106.452,2385.419,195.032,1797.548,217.032,205.258,218.581,222.935,277.032,2575.097,8200.387
38749,203.214,2337.714,167.786,1891.393,142.571,199.071,304.429,205.786,318.357,2292.964,8063.286
38777,193.194,2288.226,170.161,1800.806,105.226,209.355,219.516,300.355,308.903,2220.097,7815.839
38808,169.367,2291.633,175.767,1749.933,160.833,206.333,219.633,315.2,239.167,2421.733,7949.6
38838,140.226,2359.161,203.774,1711,267.71,198.71,620.903,350.258,372.839,2270.806,8495.387
38869,150.6,2302.5,223.233,1855.467,211.833,139.667,430.133,357.533,273.467,2617.667,8562.1
38899,281.032,2204.419,155.903,1709.355,196.71,235.613,424.645,339.903,353.387,2573.323,8474.29
38930,307.871,2455.581,130.742,1793.452,259.161,273.323,485.452,272.194,377.387,2612.226,8967.387
38961,191.333,2340.433,184.567,1568.7,153.167,159.233,536.767,239,396.167,2879.033,8648.4
38991,221.935,2176.29,132.742,1644.323,116.129,181.484,365.548,194.677,341.677,2404.258,7779.065
39022,182.233,2636.933,46,1591.367,152.233,164.633,223.4,265.033,336.533,2224.767,7823.133
39052,161.71,2461.161,74.452,1365.613,97.903,177.968,369.355,199.194,334.355,2258.516,7500.226
39083,250.29,2528.968,147.903,1566.387,118.065,109.903,347.355,198.516,424.774,1939.419,7631.581
39114,152.821,2532.929,85.25,1495.964,62.536,130.893,241.679,261.143,311.821,1619.714,6894.75
39142,234.29,2356.871,121.097,1750.323,159.613,163.968,455.129,291.548,348.742,1773.161,7654.742
39173,223.833,2498.067,90.167,1571.8,87.267,203.467,556.067,372.733,322.067,1966.5,7891.967
39203,202.548,2499.806,121.871,1613.774,149.645,234.452,498.774,390.323,287.29,2025.452,8023.935
39234,160.833,2409.7,164.2,1529.3,171.133,193,285.267,345,217.6,1956.067,7432.1
39264,199.516,2386.161,231.452,1610.613,130.032,136.516,533.613,369.129,372.194,2026,7995.226
39295,280.161,2526.968,180.774,1473.903,126.581,111.548,416.419,173.581,319.774,1909.903,7519.613
39326,231.9,2520.133,185.567,1453.733,136.033,104.8,389.033,185.433,384.2,1824.433,7415.267
39356,196.903,2428.548,174.645,1416.677,175.645,109.935,452.323,289.935,352.968,1764.097,7361.677
39387,82.067,2404.133,219.1,1580.733,58.4,99.9,470.1,210.067,413.9,1688.7,7227.1
39417,178.258,2372.452,129.645,1321.548,157.226,110.129,305.839,237.677,386.677,1559.065,6758.516
39448,224.968,2653.548,198.032,1308.161,93.968,85.71,392.097,212.935,383.419,1600.484,7153.323
39479,172.483,2529.793,240.345,1327.862,141.414,99.931,451.138,154.862,350.69,1357.241,6825.759
39508,191.484,2563.323,164.871,1358.742,128.774,79.903,402.129,217.968,289.161,1267.548,6663.903
39539,235.467,2582.333,170.133,1381.8,185.2,137.133,401.767,228.967,340.1,1406.233,7069.133
39569,338.419,2367.032,278.065,1220.032,199.452,183.355,460.258,237.29,340.258,1346.581,6970.742
39600,314.667,2429.533,180.233,1255.567,261.933,122.333,763.8,285.767,314.333,1415.833,7344
39630,274.968,2417.194,191.742,1291.71,151.516,94.387,572.258,186.935,294.387,1523.871,6998.968
39661,207.613,2246.71,257.065,1400.645,143.452,83.516,489.839,221.613,297.903,1378.258,6726.613
39692,270.967,2399.467,148.5,1003.2,196.867,74.033,433.3,281.033,345.233,1282.167,6434.767
39722,354.161,2585,199.774,1433.581,175.806,70.129,394,385.871,266.581,1462.774,7327.677
39753,285.633,2534.233,175.533,1405.7,137.733,113.567,444.767,244.667,337.567,1402.633,7082.033
39783,225,2603.71,197.871,1228.097,203.161,80.194,382.065,176.355,288.774,1542.71,6927.935
39814,449.871,2549.226,269.29,1376.548,127.258,90.484,515.935,147.581,366.581,1544.903,7437.677
39845,380.714,2528.857,241.25,1364.179,188.786,73.643,472.286,281.321,337.143,1268.679,7136.857
39873,338.065,2445.742,283.129,1199.032,141.387,179.194,642.065,207.839,264.258,1534.129,7234.839
39904,277.667,2286.733,347.4,1289,117.133,112.067,759.067,400.667,290.067,1278.4,7158.2
39934,386.355,2214.903,242.71,1186.29,149.935,179.29,809.129,250.355,313.194,1372.548,7104.71
39965,299.267,2537.8,313.3,1190.333,157.367,172.833,617.733,267.9,275.8,1279.133,7111.467
39995,408,2663.742,288.968,1075.613,117.677,101.484,757.548,202.71,272.839,1387.29,7275.871
40026,274.613,2522.613,269.065,1159.419,159.613,51.871,504.806,225.387,223.032,1262.548,6652.968
40057,268.2,2357.9,300.833,1270.8,122.367,59.433,486,295.2,279.5,1263.167,6703.4
40087,174.032,2366.548,292.419,1135.839,83.742,97.29,385.323,278.097,214.968,1268.355,6296.613
40118,267.5,2565.4,236.8,1083.6,227.433,110.2,414.5,190.267,205.2,1218.967,6519.867
40148,183.581,2710.484,230.613,1204,98.968,64.613,384.613,198.806,289.226,998.452,6363.355
40179,353.419,2596.097,322.226,1133.484,115.774,125.677,463,282.29,298.29,1056.645,6746.903
40210,225.643,2491.071,386.179,1137.429,126.214,98.714,423.214,413.429,195.536,1074,6571.429
40238,306.484,2505.226,251.419,1306.226,135.839,58.645,494.032,267.323,235.097,977.226,6537.516
40269,317.567,2472.4,422.833,1281.9,88.867,166.133,586.8,303.7,331.167,1178.033,7149.4
40299,318.935,2528.097,315.032,1427.613,107.742,118.839,719.129,176.323,194.935,1180.226,7086.871
40330,308.233,2717.133,406.7,1210.967,86.933,52.067,759.7,269.167,245.767,1089.8,7146.467
40360,331.935,2548.806,404.032,1289.323,207.194,119,719.194,351.484,239.032,1287.129,7497.129
40391,250.903,2488.645,371.839,1282.097,137.387,56.871,786.161,265.968,300.903,1298.323,7239.097
40422,180.567,2478.9,363.067,1253.667,45.467,61.8,647.567,178.333,301.8,1200.467,6711.633
40452,169.323,2347.226,422.226,1347.452,107.645,111.258,654.774,152.387,269.968,1255.226,6837.484
40483,198.4,2512.567,492.333,1363.433,56.767,79.333,561.167,187.433,233.7,885.867,6571
40513,294.677,2735.839,230.677,1364.871,71.194,25.516,514.129,235.774,191.065,854.71,6518.452
40544,263.419,2921.032,354.935,1366.484,100.71,84.774,557.516,154.903,275.935,1176.097,7255.806
40575,179.393,2932.286,257.821,1102.643,128.643,68.607,436.571,110.214,178.857,748.821,6143.857
40603,164.71,2724.065,426.968,1319.387,91.484,156.032,689.677,197.548,149,1197.645,7116.516
40634,228.3,2693,548,1077.333,132.7,167.3,704.067,192.9,179,1275.067,7197.667
40664,298.355,2504.903,433.452,1302.935,128.774,100.774,683.548,244.968,193.839,1296.355,7187.903
40695,282.833,2515.033,309.1,1221.733,175.4,92.533,688.5,146,150.733,1329.9,6911.767
40725,329.613,2618.419,417.903,1197.129,79.935,58.387,563.742,175.065,192.097,1113.355,6745.645
40756,238.903,2622.419,394.677,1185.355,80.774,87,585.484,125.129,184.548,1000.968,6505.258
40787,190.1,2835.9,529.133,1192.067,63.867,96.967,591.6,124.167,188.9,1086.5,6899.2
40817,190.032,2671.29,578,1176.581,23.097,179.677,687.387,149.806,150.839,902.387,6709.097
40848,245.367,2797.3,424.2,1256.233,95.567,174.467,737.333,124.9,176.667,917.8,6949.833
40878,417.129,2927.129,507.871,1063.645,100.516,88.194,552.161,161.968,214.419,856.677,6889.71
40909,320.839,3031.613,430.645,1114.032,101.29,46.323,571.871,167.645,96.452,870.032,6750.742
40940,285.793,3056.793,473.862,1081.138,93.483,163.241,287.724,126.862,27.621,904.31,6500.828
40969,357.097,2952.839,482.258,1004.194,143.194,86.548,325.968,186.839,0.613,764.323,6303.871
41000,236.9,2986.5,472.1,1001.8,84.1,50.8,387.9,145.3,11.967,831.033,6208.4
41030,211.742,2965.613,429.742,1011.968,110.742,94.29,547.484,138.258,1.677,875.387,6386.903
41061,296.567,3069.667,514.967,914.9,151.033,81.667,654.833,194.233,0.267,890.933,6769.067
41091,270.032,2920.903,412.742,1024.065,138.29,47.29,490.968,130.548,0.968,970.968,6406.774
41122,288.581,2953.871,408.613,1016.097,97,94.032,367.935,197.129,0,1071.484,6494.742
41153,152.267,2759.1,356.933,1095.733,74.733,62.967,561.767,110.6,0,1029.367,6203.467
41183,90.032,2641.677,375.871,1062.161,69.226,67.355,552.484,116.677,3.323,881.677,5860.484
41214,123.467,2870.033,459.3,1064.767,72.233,80.067,445.133,126.3,0,711.867,5953.167
41244,84.774,3153.032,387.387,1026.29,52.419,35.097,523.258,143.935,0,681.645,6087.839
41275,103.323,3456.226,351.065,1068.097,120.774,47.968,327.806,115.548,0,632,6222.806
41306,79.036,3456.893,366.357,977.964,120.5,10.286,454.179,94.536,0,611.821,6171.571
41334,122.935,3037.032,479.097,676.839,122.452,57.161,453.645,111.032,0,732.677,5792.871
41365,96.533,3208.1,464.667,973.367,76.1,39.667,584.367,131.433,0,794.567,6368.8
41395,198.355,2853.677,388.742,885.161,88.387,30.387,554.355,179.71,0,931.452,6110.226
41426,191.833,2884.667,355.667,845.767,73.767,79.7,519.133,197.7,0,896.367,6044.6
41456,184.645,3013.806,587.774,929.742,68.871,67.774,455.742,191.742,0,1010.581,6510.677
41487,240.968,3082.452,375.129,912.097,84.71,35.516,572.065,163.258,0,881.581,6347.774
41518,261.9,3085.8,314.033,839.167,60.633,56.2,458.5,149.2,0,890.333,6115.767
41548,95.032,3217.516,384.226,877.548,83.452,113.613,555.161,160.129,0,710.677,6197.355
41579,133.433,3129.933,308.1,1014.067,78.1,52.5,325.367,124.333,0,684.633,5850.467
41609,104.839,3295.871,292.871,1029.839,89.742,54,264.645,146.387,0,648.194,5926.387
41640,125.871,3436.774,373.29,1030.484,104.839,36.387,201.774,140.323,0,500.161,5949.903
41671,180.607,3211.25,320.143,863.857,104.607,88.179,364.536,68.143,0,552.357,5753.679
41699,72.323,3205.032,381.968,871,90.484,70.226,423.968,130.839,0,614.419,5860.258
41730,99.867,3168.8,333.567,748.333,109.767,71.967,404.533,170.1,0,809.433,5916.367
41760,136.032,3265.355,246.968,803.355,126.677,39.419,352.097,178.774,0,918.452,6067.129
41791,143.133,3237.3,209.767,776.967,14.633,29.8,274.467,97.067,0,781.467,5564.6
41821,156.968,3281.323,202.452,752.613,31.903,54.645,405.258,117.871,0,871.032,5874.065
41852,213.871,3432.516,335.581,797.968,61.258,44.484,394.387,84.29,0,672.71,6037.065
