County,Legal Name of Newspaper,Mailing Address,Street Address,City,State,ZIP,Phone
Swift,Kerkhoven Banner,,1001 Atlantic Ave,Kerkhoven,MN,56252,320-264-7071
Swift,Swift County Monitor-News,,101 12th Str S,Benson,MN,56215,320-843-4111
Swift,The Appleton Press,,241 W Snelling Ave,Appleton,MN,56208,320-289-1323
Todd,Browerville Blade,,609 N Main Str,Browerville,MN,56438,320-594-2911
Todd,Independent News Herald,,310 W Main Str,Clarissa,MN,56440,218-756-2131
Todd,Long Prairie Leader,,21 3rd Str S,Long Prairie,MN,56347,320-732-2151
Todd,Staples World,,224 4th Str NE,Staples,MN,56479,218-894-1112
Traverse,Gazette Publishing Inc,,1114 Broadway Ave,Wheaton,MN,56296,320-563-8146
Traverse,The Wheaton Gazette,,1114 Broadway,Wheaton,MN,56296,320-563-8146
Wabasha,Lake City Graphic,,111 S 8th Str,Lake City,MN,55041,651-345-3316
Wabasha,Plainview News,PO Box 457,409 W Broadway,Plainview,MN,55964,507-534-3121
Wabasha,Wabasha County Herald,,200 Industrial Ct,Wabasha,MN,55981,651-565-3368
Wadena,The Review Messenger,PO Box 309,112 Minnesota Ave W,Sebeka,MN,56477-0309,218-837-5558
Wadena,Verndale Sun,,PO Box E,Verndale,MN,56481,218-445-6397
Wadena,Wadena Pioneer Journal,,314 S Jefferson,Wadena,MN,56482,218-631-2561
Waseca,NRHEG Star Eagle,PO Box 248,128 N Broadway,New Richland,MN,56072-,507-463-8112
Waseca,Waseca County News,,213 2nd Str NW,Waseca,MN,56093,507-835-3380
Washington,Country Messenger,,108 S Cascade,Osecola,WI,54020,715-294-2314
Washington,Forest Lake Times,,880 SW 15th Str,Forest Lake,MN,55025,651-464-4601
Washington,South Washington County Bulletin,,7584 80th Str S,Cottage Grove,MN,55016,651-319-4490
Washington,Stillwater Gazette,,1931 Curve Crest Blvd,Stillwater,MN,55082,952-392-6829
Washington,Woodbury Bulletin,,8420 City Centre Drv,Woodbury,MN,55125,651-319-4490
Watonwan,Madelia Times-Messenger,,112 W Main Str,Madelia,MN,56062,507-642-3636
Watonwan,St James Plaindealer,PO Box 67,604 1st Ave S,St James,MN,56081-0067,507-375-3161
Watonwan,The Hanska Herald,,112 W Main Str,Madelia,MN,56062,507-642-3636
Wilkin,Wahpeton Daily News,,601 Dakota Ave,Wahpeton,ND,58075,701-642-8585
Winona,Lewiston Journal,PO Box 617,924 Whitewater Ave,St Charles,MN,55972,507-523-2119
Winona,St Charles Press,PO Box 617,924 Whitewater Ave,St Charles,MN,55972,507-932-3663
Winona,Winona Daily News,,902 E 2nd Str #110,Winona,MN,55987,507-453-3500
Winona,Winona Post,,64 E 2nd Str,Winona,MN,55987,507-452-1262
Wright,Annandale Advocate,,73 Oak Ave S,Annandale,MN,55302,320-274-3052
Wright,Clearwater Tribune,Box 292,445 Main Str,Clearwater,MN,55320,320-558-2037
Wright,Dassel-Cokato Enterprise Dispatch,,185 3rd Str SW,Cokato,MN,55321,320-485-2535
Wright,Delano Herald Journal,,701 Babcock Blvd E #110,Delano,MN,55328,320-85-2535
Wright,Herald Journal,,817 6th Str,Howard Lake,MN,55349,320-485-2535
Wright,Maple Lake Messenger,,218 Division Str W,Maple Lake,MN,55358,320-963-3813
Wright,Monticello Times,PO Box 420,540 Walnut Str Towne Centre,Monticello,MN,55362,952-392-6829
Wright,North Crow River News,,33 2nd Str NE,Osseo,MN,55369,763-424-7373
Wright,South Crow River News/ The Delano Eagle,Box 280,33 2nd Street NE,Osseo,MN,55369,763-425-3323
Wright,Wright County Journal-Press,,108 Central Ave,Buffalo,MN,55313,763-682-1221
Yellow Medicine,Granite Falls-Clarkfield Advoc,,713 Prentice Str,Granite Falls,MN,56241,320-564-2126
Yellow Medicine,The Canby News,,120 Saint Olaf Ave N,Canby,MN,56220,507-223-5303
