"HAS - Hasbro, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Pre-Tax Income,273.9,-225.986,96.199,104.088,244.064,260.088,310.913,341.474,462.382,441.055,529.697,507.72,486.393,453.402,351.822,351.822,		,20,46.8,123.5,83.6,21.923,9.421,20.046,-277.376,-35.232,-26.957,74.414,85.04,-23.052,-34.983,75.47,86.653,1.629,15.64,118.124,108.671,8.411,22.852,119.296,109.529,-3.225,32.69,126.326,155.122,-5.453,32.502,143.876,170.549,49.6,21.961,203.921,186.9,55.67,55.285,201.52,128.58,28.587,56.854,217.859,226.397,54.23,61.037,219.073,173.38,22.838,52.954,221.457,189.144,-4.866,59.659,224.949,173.66,-16.493,51.076,155.913,161.326
Tax Provision,-84.9,81.355,-35.401,-29.03,-69.049,-64.111,-98.838,-111.419,-129.379,-134.289,-154.767,-109.968,-101.026,-117.403,-67.894,-67.894,		,-6.2,-14.5,-38.3,-25.9,-6.796,-2.921,-6.214,97.286,11.274,8.626,-23.812,-31.489,5.994,9.095,-19.622,-24.497,-0.44,-4.223,-32.309,-32.077,-1.879,-4.013,-30.609,-27.61,-0.488,-3.236,-34.263,-60.851,0.554,-5.414,-44.292,-62.267,-16.71,-17.16,-42.341,-53.168,-18.2,-17.799,-63.291,-34.999,-8.857,-17.579,-67.497,-60.834,4.713,-17.406,-63.909,-33.366,-5.642,5.097,-50.467,-50.014,2.287,-16.232,-60.097,-43.361,9.822,-14.596,-30.07,-33.05
Net Income (Continuing Operations),189,-144.631,60.798,75.058,175.015,195.977,212.075,230.055,333.003,306.766,374.93,397.752,385.367,335.999,283.928,283.928,		,13.8,32.3,85.2,57.7,15.127,6.5,13.832,-180.09,-23.958,-18.331,50.602,52.485,-17.058,-25.888,55.848,62.156,1.189,11.417,85.815,76.594,6.532,18.839,88.687,81.919,-3.713,29.454,92.063,94.271,-4.899,27.088,99.584,108.282,32.89,4.801,161.58,133.732,37.47,37.486,138.229,93.581,19.73,39.275,150.362,165.563,58.943,43.631,155.164,140.014,17.196,58.051,170.99,139.13,-2.579,43.427,164.852,130.299,-6.671,36.48,125.843,128.276
Net Income (Discontinued Operations),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income,189,-144.631,59.732,-170.674,157.664,195.977,212.075,230.055,333.003,306.766,374.93,397.752,385.367,335.999,286.198,286.198,		,13.8,32.3,85.2,57.7,15.127,6.5,13.832,-180.09,-25.024,-18.331,50.602,52.485,-17.058,-25.888,55.848,62.156,1.189,11.417,68.464,76.594,6.532,18.839,88.687,81.919,-3.713,29.454,92.063,94.271,-4.899,27.088,99.584,108.282,32.89,4.801,161.58,133.732,37.47,37.486,138.229,93.581,19.73,39.275,150.362,165.563,58.943,43.631,155.164,140.014,17.196,58.051,170.99,139.13,-2.579,43.427,164.852,130.299,-6.671,36.48,126.574,129.815
Preferred dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPS (Basic),0.97,-0.82,0.35,-0.99,0.91,1.11,1.19,1.38,2.13,2.18,2.69,2.86,2.88,2.58,2.2,2.192,		,0.07,0.17,0.44,0.301,0.08,0.04,0.08,-1.037,-0.15,-0.11,0.29,0.377,-0.1,-0.15,0.32,0.361,0.01,0.07,0.39,0.436,0.04,0.11,0.5,0.456,-0.02,0.17,0.51,0.531,-0.03,0.16,0.62,0.679,0.2,0.03,1.04,0.909,0.26,0.27,0.98,0.669,0.14,0.28,1.08,1.199,0.43,0.3,1.12,0.988,0.12,0.43,1.29,1.077,-0.02,0.33,1.26,1.004,-0.05,0.28,0.97,0.992
EPS (Diluted),0.93,-0.82,0.35,-0.99,0.88,0.96,1.09,1.29,1.97,2,2.48,2.74,2.82,2.55,2.17,2.182,		,0.07,0.16,0.43,0.292,0.08,0.04,0.08,-1.037,-0.15,-0.11,0.29,0.377,-0.1,-0.15,0.32,0.354,0.01,0.06,0.38,0.435,0.03,0.06,0.45,0.448,-0.02,0.13,0.47,0.474,-0.03,0.07,0.58,0.615,0.19,0.03,0.95,0.832,0.25,0.25,0.89,0.582,0.14,0.26,0.99,1.087,0.4,0.29,1.09,0.833,0.12,0.42,1.27,1.057,-0.02,0.33,1.24,0.99,-0.05,0.28,0.96,0.992
Shares Outstanding (Diluted),203.226,176.379,170.663,174.157,179.164,204.143,194.564,178.337,169.037,155.23,152.78,145.67,136.697,131.926,130.186,130.828,		,197.143,201.875,198.14,197.434,189.563,162.5,172.9,173.632,171.933,166.645,174.49,139.126,170.58,172.587,174.525,175.367,178.689,190.283,180.168,176.188,175.742,313.983,197.082,182.915,177.763,226.569,195.879,198.893,177.029,386.971,171.697,176.115,176.661,160.033,170.084,160.792,156.246,149.944,155.313,160.808,140.929,139.967,152.921,152.264,137.32,143.801,138.199,168.083,140.953,136.073,134.924,131.669,129.569,132.118,132.483,131.587,129.34,130.323,131.845,130.828
  Cash And Cash Equivalents,280.2,127.115,233.095,495.372,520.747,725.002,942.268,715.4,774.458,630.39,636.045,727.796,641.688,849.701,682.449,682.449,		,217.3,97.8,108.6,280.2,343.643,188.545,164.307,127.115,180.766,56.819,37.08,233.095,355.112,57.057,43.85,495.372,310.526,172.577,155.357,520.747,631.72,480.144,305.089,725.002,876.891,642.831,570.499,942.268,581.295,417.087,309.1,715.4,688.594,525.573,410.941,774.458,832.18,594.621,356.512,630.39,590.388,392.034,297.358,636.045,1259.799,872.275,497.903,727.796,927.422,584.778,186.962,641.688,883.824,779.931,696.733,849.701,1067.039,1022.345,588.668,682.449
  Marketable Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.675,72.625,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cash, Cash Equivalents, Marketable Securities",280.2,127.115,233.095,495.372,520.747,725.002,942.268,715.4,774.458,630.39,636.045,727.796,641.688,849.701,682.449,682.449,		,217.3,97.8,108.6,280.2,343.643,188.545,164.307,127.115,180.766,56.819,37.08,233.095,355.112,57.057,43.85,495.372,310.526,172.577,155.357,520.747,631.72,480.144,305.089,725.002,876.891,642.831,570.499,942.268,728.97,489.712,309.1,715.4,703.594,525.573,410.941,774.458,832.18,594.621,356.512,630.39,590.388,392.034,297.358,636.045,1259.799,872.275,497.903,727.796,927.422,584.778,186.962,641.688,883.824,779.931,696.733,849.701,1067.039,1022.345,588.668,682.449
Accounts Receivable,1084.1,685.975,572.499,555.144,607.556,578.705,523.232,556.287,654.789,611.766,1038.802,961.252,1034.58,1029.959,1093.62,1093.62,		,518.2,843.6,1167.7,1084.1,455.374,573.869,889.09,685.975,255.45,399.402,785.807,572.499,287.379,479.443,799.122,555.144,286.576,485.108,879.669,607.556,206.201,307.013,697.43,578.705,199.594,348.2,681.469,523.232,221.86,290.48,679.363,556.287,327.124,417.687,892.708,654.789,388.693,562.502,946.929,611.766,365.037,652.557,1116.033,1038.802,526.031,663.484,1210.46,961.252,558.98,837.972,1260.521,1034.58,456.58,651.41,1195.517,1029.959,509.276,640.503,1215.289,1093.62
"  Inventories, Raw Materials & Components",0,0,17.554,10.845,8.655,11.278,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,26.669,21.629,23.783,17.554,17.518,15.808,13.238,10.845,10.513,13.973,14.936,8.655,11.624,13.163,7.52,11.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Work In Process",0,0,19.639,6.131,5.144,4.699,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,22.508,24.007,23.888,19.639,16.518,13.405,8.611,6.131,8.103,9.772,7.762,5.144,6.133,7.079,14.153,4.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Inventories Adjustments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Finished Goods",0,0,180.286,173.168,155.18,178.803,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,257.447,291.002,298.019,180.286,198.134,250.66,260.297,173.168,203.68,250.058,266.713,155.18,170.5,216.887,295.447,178.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Other",408.6,335.493,0,0,0,0,179.398,203.337,259.081,300.463,207.895,364.194,333.993,316.049,348.794,348.794,		,353.8,433.5,438.7,408.6,442.15,508.16,540.307,335.493,5.684341886080802e-14,-5.684341886080802e-14,0,0,0,0,0,0,-2.842170943040401e-14,0,0,0,0,-2.842170943040401e-14,0,0,232.66,262.471,330.779,179.398,213.183,258.5,312.041,203.337,265.402,352.457,395.466,259.081,291.199,375.033,461.601,300.463,295.248,346.814,399.917,207.895,226.784,342.113,467.953,364.194,401.309,426.93,518.866,333.993,396.981,416.905,463.433,316.049,323.754,359.969,447.113,348.794
Total Inventories,408.6,335.493,217.479,190.144,168.979,194.78,179.398,203.337,259.081,300.463,207.895,364.194,333.993,316.049,348.794,348.794,		,353.8,433.5,438.7,408.6,442.15,508.16,540.307,335.493,306.624,336.638,345.69,217.479,232.17,279.873,282.146,190.144,222.296,273.803,289.411,168.979,188.257,237.129,317.12,194.78,232.66,262.471,330.779,179.398,213.183,258.5,312.041,203.337,265.402,352.457,395.466,259.081,291.199,375.033,461.601,300.463,295.248,346.814,399.917,207.895,226.784,342.113,467.953,364.194,401.309,426.93,518.866,333.993,396.981,416.905,463.433,316.049,323.754,359.969,447.113,348.794
Other Current Assets,358.8,431.63,345.54499999999985,190.964,211.98099999999988,219.735,185.29700000000003,243.29100000000005,199.91200000000015,171.38700000000017,162.29000000000008,167.80700000000002,243.43100000000015,312.49300000000017,355.59400000000016,355.59400000000016,		,347.1000000000001,586.0000000000001,552.1999999999997,358.8,451.59599999999983,456.279,442.65099999999995,431.63,390.5959999999999,385.422,388.09200000000004,345.54499999999985,323.7480000000001,290.91899999999987,290.60000000000014,190.964,228.3,234.91699999999997,222.70400000000004,211.98099999999988,242.36599999999999,264.46000000000026,258.42199999999985,219.735,233.13499999999988,208.92099999999994,195.70699999999988,185.29700000000003,215.83000000000004,229.66200000000003,259.735,243.29100000000005,251.9079999999999,238.22900000000004,208.30299999999983,199.91200000000015,210.73899999999992,187.19999999999993,177.57599999999985,171.38700000000017,199.14699999999982,210.82399999999996,178.59700000000015,162.29000000000008,200.2260000000001,201.96199999999965,170.394,167.80700000000002,173.06999999999994,196.42499999999995,243.9559999999999,243.43100000000015,281.51700000000017,297.5799999999999,263.297,312.49300000000017,350.3270000000002,343.385,346.21500000000003,355.59400000000016
Total Current Assets,2131.7,1580.213,1368.618,1431.624,1509.263,1718.222,1830.195,1718.315,1888.24,1714.006,2045.032,2221.049,2253.692,2508.202,2480.457,2480.457,		,1436.4,1960.9,2267.2,2131.7,1692.763,1726.853,2036.355,1580.213,1133.436,1178.281,1556.669,1368.618,1198.409,1107.292,1415.718,1431.624,1047.698,1166.405,1547.141,1509.263,1268.544,1288.746,1578.061,1718.222,1542.28,1462.423,1778.454,1830.195,1379.843,1268.354,1560.239,1718.315,1548.028,1533.946,1907.418,1888.24,1722.811,1719.356,1942.618,1714.006,1449.82,1602.229,1991.905,2045.032,2212.84,2079.834,2346.71,2221.049,2060.781,2046.105,2210.305,2253.692,2018.902,2145.826,2618.98,2508.202,2250.396,2366.202,2597.285,2480.457
  Land And Improvements,0,0,13.089,15.422,17.799,18.727,6.836,6.623,6.94,6.578,6.766,6.726,7.038,7.197,7.87,7.87,		,0,0,0,0,0,0,0,0,279.184,0,0,13.089,0,0,0,15.422,0,0,0,17.799,0,0,0,18.727,0,0,0,6.836,0,0,0,6.623,0,0,0,6.94,0,0,0,6.578,0,0,0,6.766,0,0,0,6.726,0,0,0,7.038,0,0,0,7.197,0,0,0,7.87
  Buildings And Improvements,0,0,195.152,197.898,205.882,211.414,174.183,186.519,192.928,195.52,199.595,197.494,202.258,228.611,241.886,241.886,		,0,0,0,0,0,0,0,0,0,0,0,195.152,0,0,0,197.898,0,0,0,205.882,0,0,0,211.414,0,0,0,174.183,0,0,0,186.519,0,0,0,192.928,0,0,0,195.52,0,0,0,199.595,0,0,0,197.494,0,0,0,202.258,0,0,0,228.611,0,0,0,241.886
"  Machinery, Furniture, Equipment",0,0,302.529,311.162,304.334,310.13,296.607,367.563,389.364,412.691,445.909,459.553,462.401,476.119,486.985,486.985,		,0,0,0,0,0,0,0,0,0,0,0,302.529,0,0,0,311.162,0,0,0,304.334,0,0,0,310.13,0,0,0,296.607,0,0,0,367.563,0,0,0,389.364,0,0,0,412.691,0,0,0,445.909,0,0,0,459.553,0,0,0,462.401,0,0,0,476.119,0,0,0,486.985
  Construction In Progress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gross Property, Plant and Equipment",0,0,539.838,551.061,557.812,576.819,512.691,560.705,589.232,614.789,652.27,663.773,671.697,711.927,736.741,736.741,		,0,0,0,0,0,0,0,0,279.184,0,510.515,539.838,531.564,533.066,518.106,551.061,547.826,549.522,544.318,557.812,555.751,561.544,553.166,576.819,571.577,541.647,530.277,512.691,511.125,512.703,512.413,560.705,566.672,575.905,580.769,589.232,616.882,634.141,623.998,614.789,623.119,648.137,647.156,652.27,652.922,654.651,652.765,663.773,676.303,688.991,668.312,671.697,689.021,695.383,699.136,711.927,721.902,734.574,728.299,736.741
  Accumulated Depreciation,-298.8,-253.533,-304.478,-337.562,-357.958,-369.885,-348.646,-378.979,-401.272,-403.082,-431.564,-430.193,-453.676,-481.513,-500.478,-500.478,		,-273.4,-274.6,-286.3,-298.8,-303.671,-316.786,-313.483,-253.533,0,-253.533,-253.533,-304.478,-304.478,-304.478,-304.478,-337.562,-337.562,-337.562,-337.562,-357.958,-357.958,-357.958,-357.958,-369.885,-369.885,-369.885,-369.885,-348.646,-348.646,-348.646,-348.646,-378.979,-382.4,-391,-399.4,-401.272,-415.2,-423.5,-416.2,-403.082,-405.2,-425.2,-430.9,-431.564,-432.4,-435.8,-450.7,-430.193,-437.9,-449.79,-447.9,-453.676,-466.2,-472,-481.5,-481.513,-489,-496.8,-497.1,-500.478
"Property, Plant and Equipment",318.8,296.729,235.36,213.499,199.854,206.934,164.045,181.726,187.96,211.707,220.706,233.58,218.021,230.414,236.263,236.263,		,319.9,308.4,303.7,318.8,315.091,320.176,313.301,296.729,279.184,268.054,256.982,235.36,227.086,228.588,213.628,213.499,210.264,211.96,206.756,199.854,197.793,203.586,195.208,206.934,201.692,171.762,160.392,164.045,162.479,164.057,163.767,181.726,184.272,184.905,181.369,187.96,201.682,210.641,207.798,211.707,217.919,222.937,216.256,220.706,220.522,218.851,202.065,233.58,238.403,239.201,220.412,218.021,222.821,223.383,217.636,230.414,232.902,237.774,231.199,236.263
Intangible Assets,1755.9,1706.082,1566.602,1176.729,1174.319,1107.655,1080.494,1002.195,957.409,1042.909,1030.498,975.41,942.085,891.584,970.32,970.32,		,1518.9,1508,1488.4,1755.9,1743.258,1726.409,1783.964,1706.082,1664.218,1633.671,1605.368,1566.602,1541.022,1228.576,1206.519,1176.729,1228.469,1215.468,1196.32,1174.319,1168.673,1154.704,1137.723,1107.655,1082.918,1120.247,1102.738,1080.494,1062.451,1046.013,1025.74,1002.195,984.444,968.058,971.864,957.409,1017.972,1089.664,0,1042.909,1022.335,1077.522,1056.611,1030.498,1017.343,1005.494,987.698,975.41,965.253,964.858,954.861,942.085,931.631,919.681,907.143,891.584,879.967,867.979,1008.241,970.32
Other Long Term Assets,256.9000000000001,245.4349999999995,198.3989999999999,321.02899999999977,279.9400000000003,207.84900000000016,226.40900000000033,194.66899999999987,203.45399999999995,200.17499999999995,600.6559999999997,663.1870000000004,716.9760000000001,695.1869999999999,715.2269999999999,715.2269999999999,		,131.99999999999955,123.79999999999973,134.00000000000045,256.9000000000001,255.57400000000007,241.7779999999998,236.96600000000035,245.4349999999995,286.1200000000001,253.78300000000036,171.56699999999978,198.3989999999999,168.03099999999972,320.32100000000014,288.33299999999986,321.02899999999977,317.5749999999996,310.3939999999998,298.2769999999998,279.9400000000003,270.8929999999998,230.11499999999978,211.24599999999987,207.84900000000016,200.85300000000007,243.28199999999993,230.05600000000004,226.40900000000033,292.00599999999986,256.9409999999998,213.03099999999995,194.66899999999987,175.38699999999994,222.03500000000008,225.5219999999997,203.45399999999995,184.01399999999967,185.64999999999986,1256.3359999999998,200.17499999999995,237.74800000000005,575.488,596.5550000000005,600.6559999999997,627.3180000000002,669.4969999999998,679.1440000000002,663.1870000000004,675.904,690.5809999999997,699.1480000000006,716.9760000000001,723.7830000000004,725.8310000000001,702.5280000000002,695.1869999999999,697.3799999999997,706.3439999999996,753.4200000000005,715.2269999999999
Total Assets,4463.3,3828.459,3368.979,3142.881,3163.376,3240.66,3301.143,3096.905,3237.063,3168.797,3896.892,4093.226,4130.774,4325.387,4402.267,4402.267,		,3407.2,3901.1,4193.3,4463.3,4006.686,4015.216,4370.586,3828.459,3362.958,3333.789,3590.586,3368.979,3134.548,2884.777,3124.198,3142.881,2804.006,2904.227,3248.494,3163.376,2905.903,2877.151,3122.238,3240.66,3027.743,2997.714,3271.64,3301.143,2896.779,2735.365,2962.777,3096.905,2892.131,2908.944,3286.173,3237.063,3126.479,3205.311,3406.752,3168.797,2927.822,3478.176,3861.327,3896.892,4078.023,3973.676,4215.617,4093.226,3940.341,3940.745,4084.726,4130.774,3897.137,4014.721,4446.287,4325.387,4060.645,4178.299,4590.145,4402.267
  Accounts Payable,284.8,191.749,123.109,166.316,158.969,167.585,152.468,160.015,186.202,184.453,173.388,132.517,134.864,139.906,198.799,198.799,		,123.2,132.8,140.8,284.8,156.739,163.733,200.961,191.749,129.591,148.703,187.968,123.109,93.547,124.127,180.197,166.316,111.883,153.741,169.352,158.969,100.323,125.696,188.831,167.585,112.715,136.21,179.031,152.468,102.792,128.277,188.51,160.015,100.336,162.181,208.207,186.202,163.608,183.28,261.901,184.453,120.591,165.128,225.21,173.388,128.78,206.963,267.175,132.517,142.876,172.094,246.461,134.864,129.518,161.785,237.4,139.906,118.416,199.784,263.086,198.799
  Total Tax Payable,0,0,0,0,0,0,0,0,0,0,0,0,52.59,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.59,0,0,0,0,0,0,0,0
  Other Accrued Expenses,0,0,599.154,577.6419999999999,746.3990000000001,638.943,710.812,735.296,555.92,607.8530000000001,628.387,571.7159999999999,574.4599999999999,596.164,727.759,727.759,		,0,0,0,0,0,0,0,0,583.443,468.13800000000003,558.789,599.154,419.821,429.08099999999996,535.461,577.6419999999999,420.52400000000006,424.034,698.559,746.3990000000001,555.065,493.33399999999995,635.465,638.943,505.59299999999996,488.46399999999994,649.7439999999999,710.812,526.3829999999999,501.459,700.705,735.296,514.3009999999999,368.12799999999993,616.963,555.92,425.713,427.71400000000006,610.856,607.8530000000001,404.94499999999994,435.637,628.843,628.387,412.97400000000005,439.26,607.6859999999999,571.7159999999999,445.73300000000006,522.001,682.814,574.4599999999999,425.182,456.303,624.474,596.164,461.28900000000004,471.562,742.443,727.759
Accounts Payable & Accrued Expenses,284.8,191.749,722.263,743.958,905.368,806.528,863.28,895.311,742.122,792.306,801.775,704.233,761.914,736.07,926.558,926.558,		,123.2,132.8,140.8,284.8,156.739,163.733,200.961,191.749,713.034,616.841,746.757,722.263,513.368,553.208,715.658,743.958,532.407,577.775,867.911,905.368,655.388,619.03,824.296,806.528,618.308,624.674,828.775,863.28,629.175,629.736,889.215,895.311,614.637,530.309,825.17,742.122,589.321,610.994,872.757,792.306,525.536,600.765,854.053,801.775,541.754,646.223,874.861,704.233,588.609,694.095,929.275,761.914,554.7,618.088,861.874,736.07,579.705,671.346,1005.529,926.558
Current Portion of Long-Term Debt,714.7,228.085,36.328,222.892,24.687,342.083,47.446,10.582,145.549,7.586,14.113,14.568,180.43,224.365,436.722,436.722,		,295.5,823.2,889.4,714.7,79.597,363.375,539.434,228.085,92.229,174.982,302.042,36.328,360.895,294.994,318.64,222.892,19.135,18.016,105.795,24.687,17.15,44.345,17.712,342.083,372.778,368.182,368.663,47.446,10.289,10.017,11.596,10.582,7.396,89.051,145.788,145.549,306.56,328.068,232.648,7.586,45.716,11.958,33.062,14.113,150.089,10.632,103.625,14.568,37.923,12.43,13.168,180.43,171.177,220.605,264.745,224.365,161.968,625.376,643.35,436.722
Other Current Liabilities,1071.8000000000002,819.9779999999998,0,1.1368683772161603e-13,-1.1368683772161603e-13,0,0,0,1.1368683772161603e-13,0,1.1368683772161603e-13,1.1368683772161603e-13,0,-1.1368683772161603e-13,0,-1.1368683772161603e-13,		,593.9,653.4000000000001,808.8999999999999,1071.8000000000002,981.69,717.471,879.2149999999999,819.9779999999998,0,0,1.1368683772161603e-13,0,0,0,0,1.1368683772161603e-13,0,1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0,0,0,0,0,0,1.1368683772161603e-13,0,1.1368683772161603e-13,0,0,0,1.1368683772161603e-13,0,0,1.1368683772161603e-13,-1.1368683772161603e-13,0,0,0,0,0,0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0,1.1368683772161603e-13,0,0,0,0,-1.1368683772161603e-13,0,-1.1368683772161603e-13,-1.1368683772161603e-13,0,0,-1.1368683772161603e-13,0
Total Current Liabilities,2071.3,1239.812,758.591,966.85,930.055,1148.611,910.726,905.893,887.671,799.892,815.888,718.801,942.344,960.435,1363.28,1363.28,		,1012.6,1609.4,1839.1,2071.3,1218.026,1244.579,1619.61,1239.812,805.263,791.823,1048.799,758.591,874.263,848.202,1034.298,966.85,551.542,595.791,973.706,930.055,672.538,663.375,842.008,1148.611,991.086,992.856,1197.438,910.726,639.464,639.753,900.811,905.893,622.033,619.36,970.958,887.671,895.881,939.062,1105.405,799.892,571.252,612.723,887.115,815.888,691.843,656.855,978.486,718.801,626.532,706.525,942.443,942.344,725.877,838.693,1126.619,960.435,741.673,1296.722,1648.879,1363.28
Long-Term Debt,420.7,1167.838,1165.649,857.274,686.871,302.698,495.619,494.917,709.723,709.723,1131.998,1397.681,1400.872,1396.421,959.895,959.895,		,410.1,409.9,407.6,420.7,1169.406,1168.959,1168.764,1167.838,1167.528,1167.035,1166.36,1165.649,840.399,846.361,856.257,857.274,856.936,861.28,856.934,686.871,686.191,651.281,632.411,302.698,266.242,247.554,246.48,495.619,494.871,494.359,494.989,494.917,494.864,494.658,709.723,709.723,709.723,709.723,709.723,709.723,709.723,1134.723,1134.723,1131.998,1390.484,1396.98,1404.556,1397.681,1396.695,1403.031,1405.071,1400.872,1400.942,1399.557,1398.906,1396.421,1394.387,959.895,959.895,959.895
  Capital Lease Obligation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  PensionAndRetirementBenefit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  DeferredTaxAndRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Long-Term Liabilities,92.30000000000018,93.40300000000002,91.87500000000011,127.39099999999996,141.20999999999992,149.62699999999973,171.32199999999978,158.20500000000015,254.577,268.39599999999996,354.2339999999998,361.32399999999996,370.0429999999999,461.1519999999998,396.749,396.749,		,75.70000000000016,77.69999999999982,82.5,92.30000000000018,105.18000000000006,99.85699999999997,90.88700000000017,93.40300000000002,116.78399999999976,117.00000000000011,90.29300000000035,91.87500000000011,94.56700000000001,98.18500000000006,94.56099999999992,127.39099999999996,133.16499999999996,137.29399999999998,146.46300000000008,141.20999999999992,142.92599999999993,145.37000000000012,146.16899999999998,149.62699999999973,151.22900000000004,150.80999999999995,157.09699999999998,171.32199999999978,139.79399999999987,143.73200000000008,148.55200000000002,158.20500000000015,242.98300000000006,247.98199999999997,252.57100000000003,254.577,254.1640000000001,248.30900000000008,235.46900000000028,268.39599999999996,265.9920000000002,341.05999999999995,351.557,354.2339999999998,325.842,330.91499999999996,345.264,361.32399999999996,386.1260000000001,362.5700000000003,355.97,370.0429999999999,372.9250000000002,376.9810000000002,393.8730000000003,461.1519999999998,461.49699999999984,465.6560000000002,457.94100000000026,396.749
