District IRN,District Name,County,Region,District Improvement Level,Support Level,SI Building Count,# District Level boxes not met,District Level boxes evaluated,# of Building not met boxes,Building boxes evaluated,Total # of boxes not met,Total boxes evaluated,% boxes not met,Missed for SWD Only,2009-10 Support Level,2010-11 Support Level,2011-12 Support Level,For FY13 YEARS IN DA,F12 Letter Code,FY13 Letter Code
044529,North Olmsted City,Cuyahoga,3,DI Year 1,Low,2,1,18,4,14,5,32,0.15625,Y,,Low,Low,3,L2Y,L3Y
046250,Northeastern Local,Clark,10,DI Year 4,Low,1,2,12,0,8,2,20,0.1,Y,Low,Low,Low,4,L3Y,L4Y
049056,Northern Local,Perry,12,At Risk,Low,1,2,8,0,6,2,14,0.1428571428571429,Y,Low,Medium,Medium,4,M3Y,M3YL4
048728,Northmont City,Montgomery,10,OK,Low,2,0,18,3,20,3,38,0.0789473684210526,,Low,Low,Low,4,L3Y,L4Y
048736,Northridge Local,Montgomery,10,At Risk,Medium,3,0,10,5,14,5,24,0.2083333333333333,,High,Low,High,4,H3Y,H3YM4
049635,Northwest Local,Scioto,15,DI Year 3,Medium,1,2,8,2,8,4,16,0.25,Y,Medium,Medium,Low,4,L3Y,L3YM4
047365,Northwest Local ,Hamilton,13,DI Year 7,Low,11,2,18,20,114,22,132,0.1666666666666667,Y,Low,Low,Low,4,L3Y,L4Y
050575,Northwestern Local,Wayne,9,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,,,,1,,M1Y
044578,Norwood City ,Hamilton,13,OK,Low,2,0,16,2,8,2,24,0.0833333333333333,,Low,Low,Low,4,L3Y,L4Y
047373,Oak Hills Local ,Hamilton,13,DI Year 3,Low,2,1,16,3,16,4,32,0.125,Y,,Low,Low,3,L2Y,L3Y
044594,Oberlin City Schools,Lorain,2,At Risk,Low,3,2,14,2,24,4,38,0.1052631578947368,,Low,Low,Low,4,L3Y,L4Y
044602,Oregon City,Lucas,1,DI Year 2 (Delay),Low,2,0,14,1,16,1,30,0.0333333333333333,,Low,Low,Low,4,L3Y,L4Y
044610,Orrville City,Wayne,9,At Risk,Low,1,2,14,2,10,4,24,0.1666666666666667,Y,Low,Medium,Low,4,L3Y,L4Y
044628,Painesville City Local,Lake,4,DI Year 5,High,5,5,16,31,66,36,82,0.4390243902439024,,Medium,Medium,Medium,4,M3Y,M3YH4
044636,Parma City,Cuyahoga,3,DI Year 3,Low,14,2,18,23,114,25,132,0.1893939393939394,Y,Low,Low,Low,4,L3Y,L4Y
045575,Paulding Exempted Village,Paulding,1,At Risk,Medium,2,3,10,2,14,5,24,0.2083333333333333,,,,Low,2,L1Y,M2Y
046813,Perkins Local,Erie,2,DI Year 1,Medium,2,3,12,2,8,5,20,0.25,,,,,1,,M1Y
049924,Perry Local,Stark,9,DI Year 3 (Delay),Low,1,0,14,0,8,0,22,0,,Low,Low,Low,4,L3Y,L4Y
046896,Pickerington Local,Fairfield,11,OK,Low,3,0,18,2,30,2,48,0.0416666666666667,,,Low,Low,3,L2Y,L3Y
047084,Pike-Delta-York Local,Fulton,1,At Risk,Low,1,1,10,2,8,3,18,0.1666666666666667,Y,,,Low,2,L1Y,L2Y
044644,Piqua City,Miami,10,DI Year 3,Medium,1,2,14,3,8,5,22,0.2272727272727273,Y,Low,Low,Low,4,L3Y,L3YM4
049932,Plain Local,Stark,9,At Risk,Medium,1,1,14,4,10,5,24,0.2083333333333333,Y,Low,Low,Low,4,L3Y,L3YM4
044669,Portsmouth City,Scioto,15,DI Year 6,Medium,2,4,12,4,20,8,32,0.25,,Medium,Low,Low,4,L3Y,L3YM4
049288,Preble Shawnee Local,Preble,10,DI Year 6 (Delay),Low,1,0,8,0,8,0,16,0,,Low,Low,Low,4,L3Y,L4Y
044677,Princeton City,Hamilton,13,DI Year 8,High,4,3,18,16,42,19,60,0.3166666666666667,,Low,Low,Medium,4,M3Y,M3YH4
045880,Pymatuning Valley Local,Ashtabula,5,DI Year 1 (Delay),Low,1,0,8,2,6,2,14,0.1428571428571429,,Low,Low,Medium,4,M3Y,M3YL4
044685,Ravenna City,Portage,8,DI Year 5,High,4,4,14,13,34,17,48,0.3541666666666667,,Medium,Medium,Medium,4,M3Y,M3YH4
047001,Reynoldsburg City,Franklin,11,DI Year 1,Low,4,1,18,2,26,3,44,0.0681818181818182,Y,Low,Low,Low,4,L3Y,L4Y
046599,Richmond Heights Local,Cuyahoga,3,At Risk,Medium,2,2,10,3,14,5,24,0.2083333333333333,Y,Low,Low,Low,4,L3Y,L3YM4
048439,Ridgedale Local ,Marion,7,At Risk,Low,1,2,8,0,6,2,14,0.1428571428571429,Y,Low,Low,Medium,4,M3Y,M3YL4
046078,Ripley-Union-Lewis-Huntington Local,Brown,14,DI Year 6,High,2,2,8,6,14,8,22,0.3636363636363636,Y,Low,Medium,Low,4,L3Y,L3YH4
048447,River Valley Local,Marion,7,At Risk,Low,2,1,8,1,14,2,22,0.0909090909090909,Y,Low,Low,Medium,4,M3Y,M3YL4
046482,River View Local,Coshocton,12,At Risk,Low,1,1,8,2,8,3,16,0.1875,Y,,,,1,,L1Y
047894,Riverside Local,Lake,4,DI Year 2,Low,2,1,18,2,18,3,36,0.0833333333333333,Y,Low,Low,Low,4,L3Y,L4Y
047944,Rock Hill Local,Lawrence,15,At Risk,Medium,3,2,8,5,22,7,30,0.2333333333333333,Y,Medium,Medium,Low,4,L3Y,L3YM4
047308,Rolling Hills Local,Guernsey,12,DI Year 6,High,3,2,10,9,22,11,32,0.34375,Y,Medium,Medium,Medium,4,M3Y,M3YH4
049213,Rootstown Local,Portage,8,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,,,,1,,M1Y
044735,Salem City,Columbiana,5,At Risk,Medium,4,2,8,7,24,9,32,0.28125,Y,,,Medium,2,M1Y,M2Y
044743,Sandusky City,Erie,2,DI Year 8,Medium,5,2,14,14,52,16,66,0.2424242424242424,Y,Medium,Low,Medium,4,M3Y,M4Y
049940,Sandy Valley Local,Stark,9,At Risk,Low,1,1,8,0,8,1,16,0.0625,Y,Low,Low,Medium,4,M3Y,M3YL4
049130,Scioto Valley Local,Pike,15,At Risk,High,3,2,8,7,22,9,30,0.3,Y,Medium,High,Low,4,L3Y,L3YH4
048355,Sebring Local,Mahoning,5,At Risk,Low,2,2,8,2,14,4,22,0.1818181818181818,Y,Low,Low,Medium,4,M3Y,M3YL4
044750,Shaker Heights City,Cuyahoga,3,DI Year 5,Low,4,2,18,5,38,7,56,0.125,Y,Low,Low,Low,4,L3Y,L4Y
045799,Shawnee Local,Allen,6,At Risk,Low,1,2,12,2,12,4,24,0.1666666666666667,Y,,Low,Low,3,L2Y,L3Y
044768,Sheffield-Sheffield Lake City,Lorain,2,OK,Low,2,0,10,0,6,0,16,0,,,,High,2,H1Y,L2Y
044776,Shelby City,Richland,7,At Risk,Low,1,1,8,1,6,2,14,0.1428571428571429,Y,,,,1,,L1Y
044784,Sidney City,Shelby,6,DI Year 3,Low,4,2,16,5,34,7,50,0.14,Y,,Low,Medium,3,M2Y,L3Y
044792,South Euclid-Lyndhurst City,Cuyahoga,3,DI Year 6,Medium,3,2,14,9,34,11,48,0.2291666666666667,Y,Low,Low,Low,4,L3Y,L3YM4
047951,South Point Local,Lawrence,15,DI Year 4,Medium,2,1,12,5,16,6,28,0.2142857142857143,Y,Low,Low,Medium,4,M3Y,M4Y
044800,South-Western City,Franklin,11,DI Year 9,High,19,2,18,75,222,77,240,0.3208333333333333,Y,Medium,Medium,Low,4,L3Y,L3YH4
049221,Southeast Local,Portage,8,DI Year 3,Low,2,2,8,2,16,4,24,0.1666666666666667,Y,Medium,Low,Low,4,L3Y,L4Y
050583,Southeast Local,Wayne,9,OK,Low,1,0,10,2,16,2,26,0.0769230769230769,,,,Low,2,L1Y,L2Y
049528,Southeastern Local,Ross,15,At Risk,Low,2,2,8,1,14,3,22,0.1363636363636364,Y,Low,Low,Low,4,L3Y,L4Y
046441,Southern Local,Columbiana,5,At Risk,Low,2,2,8,4,24,6,32,0.1875,Y,Low,Medium,Low,4,L3Y,L4Y
049064,Southern Local,Perry,16,At Risk,Low,1,1,8,4,24,5,32,0.15625,Y,Low,Low,Low,4,L3Y,L4Y
047381,Southwest Local,Hamilton,13,At Risk,Low,1,0,10,2,8,2,18,0.1111111111111111,,Low,Low,Low,4,L3Y,L4Y
044818,Springfield City,Clark,10,DI Year 9,High,13,8,16,72,120,80,136,0.5882352941176471,,High,High,High,4,H3Y,H4Y
050062,Springfield Local,Summit,8,DI Year 4 (Delay),Medium,5,1,10,10,36,11,46,0.2391304347826087,Y,Low,High,Low,4,L3Y,L3YM4
045997,St Clairsville-Richland City,Belmont,12,At Risk,Low,1,2,10,1,6,3,16,0.1875,Y,,,Low,2,L1Y,L2Y
044727,St Marys City,Auglaize,6,DI Year 4,Low,2,2,10,3,16,5,26,0.1923076923076923,Y,Low,Low,Low,4,L3Y,L4Y
044842,Strongsville City,Cuyahoga,3,OK,Low,1,0,18,0,10,0,28,0,,,,Low,2,L1Y,L2Y
044859,Struthers City,Mahoning,5,At Risk,Low,1,2,14,2,8,4,22,0.1818181818181818,Y,,,,1,,L1Y
047092,Swanton Local,Fulton,1,OK,Low,1,0,8,1,6,1,14,0.0714285714285714,,,,Low,2,L1Y,L2Y
048652,Switzerland of Ohio Local,Monroe,12,DI Year 5,Medium,5,2,8,10,34,12,42,0.2857142857142857,Y,Medium,Medium,Low,4,L3Y,L3YM4
044867,Sycamore Community City,Hamilton,13,At Risk,Low,1,1,18,2,12,3,30,0.1,Y,,,,1,,L1Y
044875,Sylvania City,Lucas,1,OK,Low,1,0,18,1,8,1,26,0.0384615384615385,,Low,Low,Low,4,L3Y,L4Y
047969,Symmes Valley Local,Lawrence,15,OK,Low,1,0,8,0,8,0,16,0,,Low,Low,Low,4,L3Y,L4Y
046151,Talawanda City,Butler,13,At Risk,Low,1,2,14,1,8,3,22,0.1363636363636364,Y,,,,1,,L1Y
049098,Teays Valley Local,Pickaway,11,DI Year 2 (Delay),Low,1,0,10,1,8,1,18,0.0555555555555556,,Low,Low,Low,4,L3Y,L4Y
046243,Tecumseh Local,Clark,10,DI Year 5,Low,1,2,14,0,10,2,24,0.0833333333333333,Y,Low,Low,Low,4,L3Y,L4Y
047399,Three Rivers Local ,Hamilton,13,At Risk,Low,1,2,8,1,8,3,16,0.1875,Y,,,,1,,L1Y
044891,Tiffin City,Seneca,7,OK,Low,1,0,12,0,6,0,18,0,,,,Low,2,L1Y,L2Y
044909,Toledo City,Lucas,1,DI Year 6,High,34,9,18,188,343,197,361,0.5457063711911357,,High,High,High,4,H3Y,H4Y
044917,Toronto City,Jefferson,12,At Risk,Low,1,1,8,0,6,1,14,0.0714285714285714,Y,Low,Medium,Medium,4,M3Y,M3YL4
048876,Tri-Valley Local ,Muskingum,12,OK,Low,1,0,10,3,8,3,18,0.1666666666666667,,,,Low,2,L1Y,L2Y
045922,Trimble Local,Athens,16,DI Year 1,High,2,3,8,5,14,8,22,0.3636363636363636,,Medium,Low,Medium,4,M3Y,M3YH4
050591,Triway Local,Wayne,9,At Risk,Low,2,1,8,2,16,3,24,0.125,Y,Low,Low,Low,4,L3Y,L4Y
048694,Trotwood-Madison City,Montgomery,10,DI Year 8,High,3,9,12,10,18,19,30,0.6333333333333333,,Medium,Medium,Medium,4,M3Y,M3YH4
044925,Troy City,Miami,10,DI Year 2,Low,1,1,18,2,8,3,26,0.1153846153846154,Y,Low,Low,Low,4,L3Y,L4Y
046011,Union Local,Belmont,12,At Risk,Low,3,2,8,3,22,5,30,0.1666666666666667,Y,Low,Medium,Low,4,L3Y,L4Y
049536,Union-Scioto Local,Ross,15,At Risk,Low,1,2,12,2,10,4,22,0.1818181818181818,Y,,,,1,,L1Y
045625,Upper Sandusky Exempted Village,Wyandot,7,At Risk,Low,1,1,10,1,6,2,16,0.125,Y,,,,1,,L1Y
044941,Urbana City,Champaign,6,DI Year 2,Low,6,2,12,6,30,8,42,0.1904761904761905,Y,Low,Low,Low,4,L3Y,L4Y
049643,Valley Local,Scioto,15,At Risk,Low,1,1,8,0,6,1,14,0.0714285714285714,Y,Low,Low,Low,4,L3Y,L4Y
044966,Van Wert City,Van Wert,1,DI Year 2,Low,1,2,12,0,6,2,18,0.1111111111111111,Y,,Low,Medium,3,M2Y,L3Y
044958,Vandalia-Butler City,Montgomery,10,DI Year 1,Low,1,1,14,1,8,2,22,0.0909090909090909,Y,,,Low,2,L1Y,L2Y
046821,Vermilion Local,Erie,2,At Risk,Medium,2,2,8,3,14,5,22,0.2272727272727273,Y,Low,Low,Medium,4,M3Y,M4Y
050393,Vinton County Local,Vinton,16,DI Year 4,High,2,2,8,5,14,7,22,0.3181818181818182,Y,Low,Low,Low,4,L3Y,L3YH4
044982,Wapakoneta City,Auglaize,6,DI Year 4,Low,1,2,8,0,8,2,16,0.125,Y,Low,Low,Low,4,L3Y,L4Y
044990,Warren City,Trumbull,5,DI Year 8,High,5,8,14,34,60,42,74,0.5675675675675677,,High,High,High,4,H3Y,H4Y
050500,Warren Local,Washington,16,At Risk,Low,3,2,8,3,20,5,28,0.1785714285714286,Y,Low,Medium,Medium,4,M3Y,M3YL4
045005,Warrensville Heights City,Cuyahoga,3,DI Year 7,High,4,8,8,22,22,30,30,1,,High,High,High,4,H3Y,H4Y
045013,Washington Court House City,Fayette,14,DI Year 5,Low,3,2,12,3,16,5,28,0.1785714285714286,Y,Medium,Low,Low,4,L3Y,L4Y
048231,Washington Local ,Lucas,1,DI Year 7,Low,4,2,16,6,34,8,50,0.16,Y,Low,Low,Low,4,L3Y,L4Y
049148,Waverly City,Pike,15,DI Year 3,Low,3,1,8,2,14,3,22,0.1363636363636364,Y,Medium,Low,High,4,H3Y,H3YL4
045971,Waynesfield-Goshen Local,Auglaize,6,At Risk,Low,1,1,8,0,6,1,14,0.0714285714285714,Y,Low,Low,Low,4,L3Y,L4Y
050252,Weathersfield Local,Trumbull,5,OK,Low,1,0,8,0,8,0,16,0,,,,Low,2,L1Y,L2Y
045658,Wellington Exempted Village,Lorain,2,At Risk,Low,2,2,8,1,14,3,22,0.1363636363636364,Y,Medium,Low,Low,4,L3Y,L4Y
045021,Wellston City ,Jackson,16,At Risk,Low,1,1,8,1,8,2,16,0.125,Y,Low,Medium,Low,4,L3Y,L4Y
045039,Wellsville Local,Columbiana,5,OK,Low,1,0,10,1,6,1,16,0.0625,,,Low,Low,3,L2Y,L3Y
045054,West Carrollton City,Montgomery,10,DI Year 2,Low,5,2,18,6,38,8,56,0.1428571428571429,Y,Low,Low,Low,4,L3Y,L4Y
046359,West Clermont Local,Clermont,13,OK,Low,1,0,18,2,8,2,26,0.0769230769230769,,,,,1,,L1Y
047696,West Holmes Local,Holmes,9,DI Year 3,Medium,,2,8,,,2,8,0.25,Y,,Low,Low,3,L2Y,M3Y
048884,West Muskingum Local,Muskingum,12,At Risk,Low,1,2,8,1,8,3,16,0.1875,Y,,,,1,,L1Y
046060,Western Brown Local,Brown,14,At Risk,Low,1,2,8,1,8,3,16,0.1875,Y,Low,Low,Low,4,L3Y,L4Y
049155,Western Local,Pike,15,DI Year 2,High,2,5,8,4,14,9,22,0.4090909090909091,,Low,Medium,High,4,H3Y,H4Y
047746,Western Reserve Local,Huron,2,At Risk,Low,1,1,8,0,8,1,16,0.0625,Y,,,Medium,2,M1Y,L2Y
045047,Westerville City,Franklin,11,OK,Low,6,0,18,11,72,11,90,0.1222222222222222,,Low,Low,Low,4,L3Y,L4Y
049106,Westfall Local,Pickaway,11,At Risk,Medium,2,2,8,3,14,5,22,0.2272727272727273,Y,,,Medium,2,M1Y,M2Y
045070,Whitehall City,Franklin,11,DI Year 5,Medium,3,3,16,10,38,13,54,0.2407407407407407,,Medium,High,Low,4,L3Y,L3YM4
045096,Willard City,Huron,7,At Risk,Low,1,2,12,1,10,3,22,0.1363636363636364,Y,Low,Low,Low,4,L3Y,L4Y
045104,Willoughby-Eastlake City,Lake,4,DI Year 2,Low,2,1,16,3,16,4,32,0.125,Y,,Low,Low,3,L2Y,L3Y
045112,Wilmington City,Clinton,14,DI Year 2,Low,3,3,14,1,24,4,38,0.1052631578947368,,Low,Low,Medium,4,M3Y,M3YL4
045666,Windham Exempted Village,Portage,8,DI Year 5,Medium,1,2,8,2,6,4,14,0.2857142857142857,Y,Medium,High,Low,4,L3Y,L3YM4
044081,Winton Woods City,Hamilton,13,DI Year 6,Medium,6,2,16,16,56,18,72,0.25,Y,Low,Low,Low,4,L3Y,L3YM4
049577,Woodmore Local,Sandusky,1,OK,Low,1,0,8,0,8,0,16,0,,,,Low,2,L1Y,L2Y
049973,Woodridge Local,Summit,8,OK,Low,1,0,12,0,6,0,18,0,,,,Low,2,L1Y,L2Y
045120,Wooster City,Wayne,9,At Risk,Medium,1,1,16,4,8,5,24,0.2083333333333333,Y,Low,Low,Low,4,L3Y,L3YM4
045138,Worthington City,Franklin,11,OK,Low,2,0,18,0,18,0,36,0,,Low,,Low,2,L1Y,L2Y
045153,Xenia Community City,Greene,10,DI Year 9,Medium,5,2,14,11,46,13,60,0.2166666666666667,Y,Low,Low,Medium,4,M3Y,M4Y
045161,Youngstown City Schools,Mahoning,5,DI Year 9,High,12,12,16,49,96,61,112,0.5446428571428571,,High,High,High,4,H3Y,H4Y
049544,Zane Trace Local,Ross,15,OK,Low,1,0,8,2,8,2,16,0.125,,Medium,Medium,Medium,4,M3Y,M3YL4
045179,Zanesville City,Muskingum,12,DI Year 8,High,5,4,12,20,56,24,68,0.3529411764705882,,High,Low,Low,4,L3Y,L3YH4
