District Name,District NCES/CCD ID Code,School Name,School NCES/CCD ID Code,School Received Title I Funds for SY 2006-2007?,Area(s) in Which School Did Not Meet AYP,,,,,,Made AYP for SY 2006- 2007?,School Improvement Status for SY 2007-2008
Cleveland City SD,3904378,Walton Elementary School,390437800547,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Cleveland City SD,3904378,Waverly Elementary School,390437800550,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Cleveland City SD,3904378,Wilbur Wright Elementary School,390437800555,Yes,No,Yes,No,Yes,Yes,,No,R-P
Cleveland City SD,3904378,Willow Elementary School,390437800561,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cleveland City SD,3904378,Woodland Hills Elementary School,390437800563,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Cleveland Heights-University Heights City SD,3904379,Cleveland Heights High School,390437900571,No,No,Yes,Yes,Yes,,Yes,No,CA
Cleveland Heights-University Heights City SD,3904379,Fairfax Elementary School,390437900569,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cleveland Heights-University Heights City SD,3904379,Frank L. Wiley Middle School,390437900570,No,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland Heights-University Heights City SD,3904379,Monticello Middle School,390437900573,No,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland Heights-University Heights City SD,3904379,Roxboro Middle School,390437900578,No,No,Yes,No,Yes,Yes,,No,SI-1
Clyde-Green Springs Exempted Village SD,3910020,McPherson Middle School,391002002166,No,No,Yes,No,Yes,Yes,,No,SI-1
Colin Powell Leadership Academy,3900095,Colin Powell Leadership Academy,390009504142,Yes,No,Yes,No,Yes,No,,No,SI-2
Columbus Arts and Technology Academy,3900306,Columbus Arts and Technology Academy,390030604843,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Columbus City SD,3904380,Arlington Park Elementary School,390438000583,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Arts Impact Middle School,390438000632,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Avalon Elementary School,390438000584,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Avondale Elementary School,390438000585,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Beery Middle School,390438000591,Yes,No,Yes,No,Yes,Yes,,No,R-P
Columbus City SD,3904380,Binns Elementary School,390438000593,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Columbus City SD,3904380,Broadleigh Elementary School,390438000596,Yes,Yes,Yes,No,Yes,Yes,,No,SI-2 (Delay)
Columbus City SD,3904380,Brookhaven High School,390438000597,No,Yes,Yes,No,Yes,,Yes,No,CA
Columbus City SD,3904380,Buckeye Middle School,390438000598,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Burroughs Elementary School,390438000599,Yes,No,Yes,No,Yes,Yes,,No,CA
Columbus City SD,3904380,Cassady Alternative Elementary School,390438000601,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Cedarwood Alternative Elementary School,390438000602,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Champion Middle School,390438000605,Yes,No,Yes,Yes,Yes,Yes,,No,R-I (Delay)
Columbus City SD,3904380,Clearbrook Middle School,390438000608,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Columbus City SD,3904380,Clinton Middle School,390438000610,Yes,No,Yes,No,Yes,Yes,,No,R-P
Columbus City SD,3904380,Columbus Africentric Early College Elementary School,390438000685,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Como Elementary School,390438000612,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Dana Avenue Elementary School,390438000617,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Columbus City SD,3904380,Deshler Elementary School,390438000618,Yes,No,Yes,No,Yes,Yes,,No,R-I
Columbus City SD,3904380,Devonshire Alternative Elementary School,390438000619,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Dominion Middle School,390438000620,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Douglas Alternative Elementary School,390438000621,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Duxberry Park Alternative Elementary School,390438000622,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Eakin Elementary School,390438004315,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Columbus City SD,3904380,East Columbus Elementary School,390438000625,Yes,No,Yes,No,Yes,No,,No,SI-1
Columbus City SD,3904380,East High School,390438000624,No,Yes,Yes,Yes,Yes,,No,No,SI-2 (Delay)
Columbus City SD,3904380,East Linden Elementary School,390438000626,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Columbus City SD,3904380,East Pilgrim Elementary School,390438005270,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Columbus City SD,3904380,Easthaven Elementary School,390438000628,Yes,No,Yes,Yes,Yes,Yes,,No,R-I (Delay)
Columbus City SD,3904380,Eastmoor Middle School,390438000630,Yes,No,Yes,No,Yes,Yes,,No,R-P
Columbus City SD,3904380,Ecole Kenwood Alternative Elementary School,390438004318,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Fair Alternative Elementary School,390438000633,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Fairmoor Elementary School,390438000634,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Fairwood Alternative Elementary School,390438000635,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Fifth Avenue Alternative Elementary School,390438000636,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Forest Park Elementary School,390438004316,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Franklin Alternative Middle School,390438000639,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Columbus City SD,3904380,Hamilton Alternative Elementary School,390438000647,Yes,No,Yes,No,Yes,Yes,,No,CA
Columbus City SD,3904380,Heyl Avenue Elementary School,390438000648,Yes,No,Yes,Yes,Yes,Yes,,No,CA
Columbus City SD,3904380,Highland Elementary School,390438000649,Yes,No,Yes,No,Yes,Yes,,No,CA
Columbus City SD,3904380,Hilltonia Middle School,390438000650,Yes,No,Yes,No,Yes,Yes,,No,R-P
Columbus City SD,3904380,Hudson High School,390438004237,No,Not Rated,Not Rated,Not Rated,Not Rated,,Yes,Yes,SI-1 (Delay)
Columbus City SD,3904380,Huy Elementary School,390438000653,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Columbus City SD,3904380,Indianola Middle School,390438000657,Yes,No,Yes,No,Yes,No,,No,R-I
Columbus City SD,3904380,Innis Elementary School,390438000658,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Columbus City SD,3904380,Johnson Park Middle School,390438000660,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Leawood Elementary School,390438000665,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Liberty Elementary School,390438004434,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Lincoln Park Elementary School,390438000668,Yes,No,Yes,Yes,Yes,Yes,,No,CA
Columbus City SD,3904380,Lindbergh Elementary School,390438004431,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Columbus City SD,3904380,Linden Elementary School,390438000670,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Columbus City SD,3904380,Linden Park Alternative Elementary School,390438000671,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Linmoor Middle School,390438000673,Yes,No,Yes,No,Yes,Yes,,No,R-I
Columbus City SD,3904380,Literature Based Alternative Elementary School,390438005271,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Columbus City SD,3904380,Livingston Elementary School,390438000674,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,R-I (Delay)
Columbus City SD,3904380,Maybury Elementary School,390438000678,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Columbus City SD,3904380,Medary Elementary School,390438000681,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Columbus City SD,3904380,Medina Middle School,390438000682,Yes,No,Yes,No,Yes,Yes,,No,R-P
Columbus City SD,3904380,Mifflin Alternative Middle School,390438000684,Yes,No,Yes,Yes,Yes,Yes,,No,R-I (Delay)
Columbus City SD,3904380,Monroe Alternative Middle School,390438000687,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Columbus City SD,3904380,North Linden Elementary School,390438000689,Yes,No,Yes,No,Yes,Yes,,No,CA
Columbus City SD,3904380,Oakmont Elementary School,390438004319,Yes,No,Yes,Yes,Yes,Yes,,No,R-P
Columbus City SD,3904380,Ohio Avenue Elementary School,390438000696,Yes,No,Yes,Yes,Yes,Yes,,No,R-P
Columbus City SD,3904380,Olde Orchard Alternative Elementary School,390438000697,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Salem Elementary School,390438000705,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Scottwood Elementary School,390438000707,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,R-P (Delay)
Columbus City SD,3904380,Shady Lane Elementary School,390438000709,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Columbus City SD,3904380,South Mifflin Elementary School,390438000715,Yes,No,Yes,Yes,Yes,Yes,,No,R-P
Columbus City SD,3904380,Southmoor Middle School,390438000716,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,CA (Delay)
Columbus City SD,3904380,Southwood Elementary School,390438000717,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Starling Middle School,390438000718,Yes,No,Yes,No,Yes,No,,No,R-P
Columbus City SD,3904380,Sullivant Elementary School,390438000721,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Columbus City SD,3904380,Trevitt Elementary School,390438000723,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,CA (Delay)
Columbus City SD,3904380,Valley Forge Elementary School,390438004433,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Valleyview Elementary School,390438000575,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Walnut Ridge High School,390438000728,No,Yes,Yes,No,Yes,,No,No,CA
Columbus City SD,3904380,Wedgewood Middle School,390438000731,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Columbus City SD,3904380,Weinland Park Elementary School,390438000732,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,CA (Delay)
Columbus City SD,3904380,Welcome Center Middle School,390438002556,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Columbus City SD,3904380,West Broad Elementary School,390438000734,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,West High School,390438000733,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-2 (Delay)
Columbus City SD,3904380,Westgate Alternative Elementary School,390438000736,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Columbus City SD,3904380,Westmoor Middle School,390438000737,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Whetstone High School,390438000738,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-2 (Delay)
Columbus City SD,3904380,Windsor Academy Elementary School,390438000740,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Columbus City SD,3904380,Woodward Park Middle School,390438000743,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Columbus City SD,3904380,Yorktown Middle School,390438000744,Yes,No,Yes,No,Yes,Yes,,No,SI-1
"Columbus Humanities, Arts and Technology Academy",3900304,"Columbus Humanities, Arts and Technology Academy",390030404841,Yes,No,Yes,No,No,No,,No,SI-1
Columbus Preparatory Academy,3900307,Columbus Preparatory Academy,390030704844,Yes,No,Yes,No,Yes,No,,No,SI-1
Conneaut Area City SD,3904381,Gateway Elementary School,390438105273,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Conneaut Area City SD,3904381,Lakeshore Primary Elementary School,390438105274,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Conotton Valley Union Local SD,3904754,Conotton Valley Jr./Sr. High School,390475402916,No,No,Yes,Yes,Yes,,Yes,No,SI-1
Crestline Exempted Village SD,3910008,Crestline Southeast Elementary School,391000802184,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Crestwood Local SD,3904918,Crestwood Middle School,390491803519,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Crittenton Community School,3900205,Crittenton Community School,390020504729,No,No,No,No,No,Yes,,No,SI-1
Cuyahoga Falls City SD,3904383,Bolich Middle School,390438300761,No,No,Yes,No,Yes,Yes,,No,SI-1
Cuyahoga Falls City SD,3904383,Gordon Dewitt Elementary School,390438300764,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
Dawson-Bryant Local SD,3904792,Dawson-Bryant Middle School,390479203041,No,No,Yes,Yes,Yes,Yes,,No,SI-1
"Dayton Academy, The",3900057,"Dayton Academy, The",390005703090,Yes,No,Yes,No,Yes,No,,No,SI-1
Dayton City SD,3904384,Belle Haven Elementary School,390438400776,Yes,No,Yes,No,Yes,Yes,,No,R-I
Dayton City SD,3904384,Belmont High School,390438400778,No,No,Yes,No,Yes,,No,No,R-P
Dayton City SD,3904384,Charles L. Loos Elementary School,390438400807,Yes,No,Yes,No,Yes,Yes,,No,R-I
Dayton City SD,3904384,Colonel White Performing Arts High School,390438400782,No,No,Yes,No,Yes,,Yes,No,CA
Dayton City SD,3904384,Dunbar High School,390438400785,No,No,Yes,No,Yes,,Yes,No,R-P
Dayton City SD,3904384,Eastmont Elementary School,390438400786,Yes,No,Yes,Yes,Yes,No,,No,SI-1
Dayton City SD,3904384,Edison Elementary School,390438400787,Yes,No,Yes,No,Yes,Yes,,No,R-I
Dayton City SD,3904384,Fairview Elementary School,390438400789,Yes,No,Yes,No,Yes,Yes,,No,R-I
Dayton City SD,3904384,Fairview Middle School,390438400790,No,No,No,No,No,No,,No,CA
Dayton City SD,3904384,Franklin Montessori Elementary School,390438400791,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Dayton City SD,3904384,Gorman Elementary School,390438400793,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Dayton City SD,3904384,Horace Mann Montessori Elementary School,390438404297,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Dayton City SD,3904384,Jefferson Montessori I Elementary School,390438400800,Yes,No,Yes,No,Yes,Yes,,No,R-P
Dayton City SD,3904384,Jefferson Montessori Primary II Elementary School,390438400801,Yes,No,Yes,No,Yes,Yes,,No,R-P
Dayton City SD,3904384,Kemp Elementary School,390438404300,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Dayton City SD,3904384,Kiser Elementary School,390438400828,Yes,No,Yes,No,Yes,No,,No,SI-1
Dayton City SD,3904384,Longfellow Center ,390438404294,No,Not Rated,No,Not Rated,No,,Yes,No,SI-1
Dayton City SD,3904384,Meadowdale Elementary School,390438400812,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Dayton City SD,3904384,Meadowdale High School,390438400813,No,No,Yes,No,Yes,,Yes,No,CA
Dayton City SD,3904384,Orville Wright Elementary School,390438400815,Yes,No,Yes,No,Yes,No,,No,R-I
Dayton City SD,3904384,Patterson/Kennedy Elementary School,390438400816,Yes,No,Yes,No,Yes,Yes,,No,CA
Dayton City SD,3904384,Rosa Parks Elementary School,390438400783,Yes,No,Yes,Yes,Yes,Yes,,No,CA
Dayton City SD,3904384,Van Cleve Elementary School,390438400826,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Dayton City SD,3904384,Wilbur Wright Middle School,390438400831,No,No,Yes,No,Yes,Yes,,No,R-P
Dayton View Academy,3900083,Dayton View Academy,390008303762,Yes,No,Yes,No,Yes,No,,No,R-P
Delaware City SD,3904387,James Conger Elementary School,390438700847,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Delaware City SD,3904387,John C. Dempsey Middle School,390438704530,No,Yes,Yes,No,Yes,Yes,,No,SI-2 (Delay)
Delaware City SD,3904387,Laura Woodward Elementary School,390438700848,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Delaware City SD,3904387,Rutherford B. Hayes High School,390438700850,No,Yes,Yes,No,Yes,,Yes,No,SI-2 (Delay)
Dublin City SD,3904702,Ann Simpson Davis Middle School,390470204349,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Dublin City SD,3904702,Daniel Wright Elementary School,390470204365,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Eagle Academy,3900120,Eagle Academy,390012004066,Yes,No,Yes,No,Yes,Yes,,No,R-P
Eagle Heights Academy,3900018,Eagle Heights Academy,390001801513,Yes,No,Yes,No,Yes,Yes,,No,SI-1
East Cleveland City SD,3904390,Chambers Elementary School,390439000862,Yes,No,Yes,No,Yes,Yes,,No,CA
East Cleveland City SD,3904390,Heritage Middle School,390439000868,Yes,No,Yes,No,Yes,Yes,,No,R-P
East Cleveland City SD,3904390,Mayfair Elementary School,390439000865,Yes,No,Yes,No,Yes,Yes,,No,SI-1
East Cleveland City SD,3904390,Prospect Elementary School,390439000864,Yes,No,Yes,No,Yes,Yes,,No,R-I
East Cleveland City SD,3904390,Shaw High School,390439000866,No,No,No,No,No,,No,No,R-P
East Cleveland City SD,3904390,Superior Elementary School,390439000867,Yes,No,Yes,No,Yes,Yes,,No,SI-2
East End Community Heritage School,3900089,East End Community Heritage School,390008903463,Yes,No,Yes,No,Yes,,Yes,No,R-P
East End Community School,3900202,East End Community School,390020204726,Yes,No,Yes,No,Yes,Yes,,No,SI-2
East Liverpool City SD,3904391,East Liverpool Middle School,390439100872,Yes,No,Yes,No,Yes,Yes,,No,R-P
East Liverpool City SD,3904391,Lacroft Elementary School,390439100873,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
East Liverpool City SD,3904391,North Elementary School,390439100874,Yes,No,Yes,No,Yes,Yes,,No,CA
East Liverpool City SD,3904391,Westgate Elementary School,390439100875,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
East Palestine City SD,3904392,East Palestine Middle School,390439200879,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Eastern Local SD,3904912,Eastern Middle School,390491204653,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
"Edge Academy, The",3900033,"Edge Academy, The",390003302834,Yes,No,Yes,Yes,Yes,Yes,,No,CA
Edgewood City SD,3904609,Edgewood Middle School,390460900294,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Education Alternatives Community School,3900284,Education Alternatives Community School,390028404523,Yes,No,Yes,No,Yes,No,,No,SI-1
Electronic Classroom of Tomorrow,3900079,Electronic Classroom of Tomorrow,390007903420,Yes,No,No,No,No,,Yes,No,R-I
Elida Local SD,3904577,Elida Elementary Kindergarten,390457702338,No,No,Yes,No,Yes,Yes,,No,SI-1
Elida Local SD,3904577,Elida Elementary School ,390457702340,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Elyria City SD,3904394,Cascade Elementary School,390439400887,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Elyria City SD,3904394,Crestwood Elementary School,390439400888,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Elyria City SD,3904394,Eastern Heights Junior High School,390439400889,No,No,Yes,Yes,Yes,Yes,,No,CA
Elyria City SD,3904394,Elyria High School,390439400893,No,No,Yes,Yes,Yes,,Yes,No,CA
Elyria City SD,3904394,Franklin Elementary School,390439400896,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Elyria City SD,3904394,Hilltop Academy High School,390439403705,No,No,Yes,Yes,Yes,,Yes,No,CA
Elyria City SD,3904394,Northwood Junior High School,390439400902,No,No,Yes,No,Yes,Yes,,No,CA
Elyria City SD,3904394,Oakwood Elementary School,390439400903,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Elyria City SD,3904394,Roosevelt Elementary School,390439400905,Yes,No,Yes,No,Yes,Yes,,No,CA
Elyria City SD,3904394,Westwood Junior High School,390439400907,No,No,Yes,Yes,Yes,Yes,,No,CA
Elyria Community School,3900103,Elyria Community School,390010304054,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Englewood Peace Academy,3900182,Englewood Peace Academy,390018204706,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Euclid City SD,3904395,Euclid Central Middle School,390439500910,No,No,Yes,Yes,Yes,Yes,,No,R-P
Euclid City SD,3904395,Euclid High School,390439500909,No,No,No,No,Yes,,Yes,No,R-P
Euclid City SD,3904395,Forest Park Middle School,390439500911,No,No,No,No,Yes,Yes,,No,R-P
Euclid City SD,3904395,Glenbrook Elementary School,390439500912,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,CA (Delay)
Euclid City SD,3904395,Indian Hills Elementary School,390439505277,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Euclid City SD,3904395,Memorial Park Elementary School,390439505276,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Euclid City SD,3904395,Upson Elementary School,390439500920,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,R-I (Delay)
Fairborn City SD,3904396,Fairborn Digital Academy,390439604767,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,SI-1 (Delay)
Fairborn City SD,3904396,Fairborn Intermediate Elementary School,390439600930,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Fairborn City SD,3904396,Fairborn Primary Elementary School,390439600928,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Fairfield City SD,3904610,Fairfield Central Elementary School,390461002428,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Fairfield City SD,3904610,Fairfield Intermediate Elementary School,390461001410,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Fairless Local SD,3904984,Fairless Elementary School,390498403711,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Fairview Park City SD,3904397,Lewis F. Mayer Middle School,390439704214,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
FCI Academy,3900321,FCI Academy,390032104858,Yes,Yes,No,Yes,No,,Yes,No,SI-1
Federal Hocking Local SD,3904591,Amesville Elementary School,390459102381,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Federal Hocking Local SD,3904591,Coolville Elementary School,390459102382,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Felicity-Franklin Local SD,3904633,Felicity-Franklin Middle School,390463300821,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Field Local SD,3904919,Field Middle School,390491903526,No,No,Yes,No,Yes,Yes,,No,SI-1
Findlay City SD,3910000,Findlay High School,391000000944,No,No,Yes,Yes,Yes,,Yes,No,SI-2 (Delay)
Findlay City SD,3910000,Glenwood Middle School,391000000945,No,No,Yes,No,Yes,Yes,,No,SI-1
Findlay City SD,3910000,Jacobs Elementary School,391000000946,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Findlay City SD,3910000,Washington Elementary School,391000000952,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Finneytown Local SD,3904733,Finneytown Secondary Campus High School,390473302840,No,No,Yes,No,No,,Yes,No,SI-1
Focus Learning Academy of Northern Columbus,3900179,Focus Learning Academy of Northern Columbus,390017904703,Yes,Not Rated,No,No,No,,No,No,SI-2
Focus Learning Academy of Southeastern Columbus,3900178,Focus Learning Academy of Southeastern Columbus,390017804702,Yes,No,No,No,No,,No,No,SI-2
Focus Learning Academy of Southwest Columbus,3900177,Focus Learning Academy of Southwest Columbus,390017704701,Yes,Not Rated,No,Not Rated,No,,No,No,SI-2
Fort Frye Local SD,3905048,Beverly Elementary School,390504803958,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Fort Frye Local SD,3905048,Salem-Liberty Elementary School,390504803962,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Fostoria City SD,3904399,Field Elementary School,390439900956,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Fostoria City SD,3904399,Fostoria Middle School,390439900955,No,No,Yes,No,Yes,Yes,,No,SI-1
Fostoria City SD,3904399,Longfellow Elementary School,390439900959,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Fostoria City SD,3904399,Riley Elementary School,390439900961,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Fredericktown Local SD,3904785,Fredericktown Intermediate Middle School,390478503014,No,No,Yes,No,Yes,Yes,,No,SI-2
Fremont City SD,3904401,Fremont Middle School,390440100973,No,No,Yes,No,Yes,Yes,,No,CA
Fremont City SD,3904401,Fremont Ross High School,390440100974,No,No,No,Yes,Yes,,Yes,No,SI-2
Fremont City SD,3904401,Lutz Elementary School,390440100976,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Fremont City SD,3904401,Stamm Elementary School,390440100979,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Frontier Local SD,3905049,Lawrence Elementary School,390504903964,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Galion City SD,3904402,Dawsett Elementary School,390440200981,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Galion City SD,3904402,Galion Middle School,390440200984,No,No,Yes,No,Yes,Yes,,No,SI-1
Gallipolis City SD,3904403,Gallia Academy High School,390440300989,No,No,Yes,Yes,Yes,,Yes,No,CA
Gallipolis City SD,3904403,Rio Grande Elementary School,390440300991,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Garfield Heights City SD,3904404,Garfield Heights High School,390440400994,No,No,Yes,Yes,Yes,,Yes,No,SI-2 (Delay)
Garfield Heights City SD,3904404,Garfield Heights Middle School,390440400995,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Garfield Heights City SD,3904404,Maple Leaf Intermediate Elementary School,390440400580,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Geneva City SD,3904405,Geneva Elementary School,390440501002,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Geneva City SD,3904405,Spencer Elementary School,390440501004,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
George A. Phillips Academy,3900132,George A. Phillips Academy,390013204182,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
George Washington Carver Preparatory Academy,3900058,George Washington Carver Preparatory Academy,390005803118,No,No,No,Yes,Yes,Yes,,No,R-P
Graham Local SD,3904619,Graham South Elementary School,390461902467,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Greater Achievement Community School,3900208,Greater Achievement Community School,390020804732,Yes,No,Yes,No,Not Rated,Yes,,No,SI-2
Greater Heights Academy,3900531,Greater Heights Academy ,390053105241,Yes,No,No,No,No,No,,No,SI-2
Green Local SD,3905001,Green Intermediate Elementary School,390500100710,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Greenon Local SD,3904623,Indian Valley Middle School,390462302477,No,No,Yes,Yes,Yes,Yes,,No,SI-1
