property_name_text,address_line1_text,address_line2_text,city_name_text,state_code,zip_code,county_name_text,property_on_site_phone_number,fha_number,contract_number,soa_description_text,property_category_name,client_group_name,client_group_type,total_assisted_unit_count,total_unit_count,owner_contact_indv_full_name,owner_organization_name,owner_address_line1,owner_address_line2,owner_city_name,owner_state_code,owner_zip_code,owner_zip4_code,owner_main_phone_number_text,owner_main_fax_number_text,owner_email_text,mgmt_contact_full_name,mgmt_agent_org_name,mgmt_agent_address_line1,mgmt_agent_address_line2,mgmt_agent_city_name,mgmt_agent_state_code,mgmt_agent_zip_code,mgmt_agent_zip4_code,mgmt_agent_main_phone_number,mgmt_agent_main_fax_number,mgmt_agent_email_text,project_manager_name_text,hub_name_text,servicing_site_name_text
DELLA MANOR APTS,650 E BUTTERFIELD ST,,WEISER,ID,83672,Washington,,,ID16M000032,,Insured-Subsidized,Indv. families - not eld/ handicap,Family,24,32,Tom  Dobrusky,Della Manor Apartments,137 W Court Street,,Weiser,ID,83672,1904,(208)549-0154,(208)549-3380,need_email@hud.gov,Tom  Dobrusky,B & D Management,137 W. Court Street,,Weiser,ID,83672,1904,(208) 549-0154,(208) 549-3880,bdmgnt85@gmail.com,KRISTINE PETRILLO,Seattle,Portland
DOGWOOD PLAZA,1755 N. Linda Vista Lane,,BOISE,ID,83704,Ada,208-319-0780,124EE020,ID16S001002,202 Capital Advance for Elderly,202/811,Elderly,Elderly,50,50,Dorris Quinn,"NBA DISCIPLES HOUSING OF BOISE, ID., INC.","1999 Broadway, Suite 1000",Attn: Teresa Walorski,"Denver,",CO,80202,,(208) 939-5256,877-693-7945,twalorski@mercyhousing.org,Joe Thompson,Mercy Housing Management Group,"1999 Broadway, Suite 1000",Attn: Teresa Walorski,Denver,CO,80202,,303-830-3300,877-693-7945,twalorski@mercyhousing.org,CYNTHIA E INGEBRETSON,Seattle,Portland
EAGLE MANOR,276  E Cedar Ridge ST,,EAGLE,ID,83616,Ada,208-393-0409,,ID16H020075,,"Subsidized, No HUD Financing",Wholly Elderly Housekeeping,Elderly,40,40,James R. Tomlinson,Tomlinson I,PO Box 108,,Boise,ID,83701,,(208) 343-6438,(208) 338-1774,jim.tomlinson@tomlinson-assoc.com,Chris Bent,"Tomlinson & Associates, Inc.",205 N. 10th Street,Suite 200,Boise,ID,83702,,20834306438,208338-1777,jim.tomlinson@tomlinson-assoc.com,KRISTINE PETRILLO,Seattle,Portland
EAGLE SENIOR VILLAGE,542 N Eagle Rd,,Eagle,ID,83616,Ada,208-939-4412,124EE021,ID16S011001,202 Capital Advance for Elderly,202/811,Elderly,Elderly,20,20,Jane Graf,"Eagle Senior Village, Inc",1999 Broadway Ste 1000,,Denver,CO,80202,,303 830 3300,877-693-7945,twalorski@mercyhousing.org,Joe Thompson,"Mercy Housing Northwest-Idaho, Inc",1999 Broadway Suite 1000,,Denver,CO,80202,,303-830-3300,877-693-7945,twalorski@mercyhousing.org,CYNTHIA E INGEBRETSON,Seattle,Portland
ECHO PINES,302 OHIO ST,,PINEHURST,ID,83850,Shoshone,(208)682-9471,124EE013,ID16S961001,202 Capital Advance for Elderly,202/811,Elderly,Elderly,10,10,WILLIAM N. SEATON,ECHO PINES INC.,PO BOX 689,,PINEHURST,ID,83850,0689,(208) 682-9471,,pineshousing@suddenlink.net,SHERRY  KRULITZ,SILVER VALLEY SENIORS INC,PO Box 887,,Osburn,ID,83849,0887,(208) 752-1194,(208) 752-1195,svseniors@usamedia.tv,CYNTHIA E INGEBRETSON,Seattle,Portland
EL RANCHO HEIGHTS,549 El Rancho Blvd,,POCATELLO,ID,83201,Bannock,,12435084,ID058023001,223(a)(7) Refi of 221d4 NC/SR,Insured-Subsidized,Indv. families - not eld/ handicap,Family,16,16,Mr. Ray G. Obendorf,Ray Obendorf,24034 Batt Corner Rd,,Parma,ID,83660,7308,(208) 482-7397,,need_email@hud.gov,Dianne Hunt,Syringa Property Management Inc.,1277 Shoreline Lane,,Boise,ID,83702,,(208) 336-4610,(208) 345-8990,dianne@syringaproperties.com,RICHARD OTIS,Seattle,Portland
ENGLISH VILLAGE,115 E ANTON AVE,,Coeur d'Alene,ID,83814,Kootenai,,,ID19M000001,,Subsidized - Previously Insured,Indv. families - not eld/ handicap,Family,55,66,Yvonne M. Morin,English Village LLC,C/O Goodale & Barbieri Company,818 W. Riverside Ave. Suite 300,Spokane,WA,99201,0910,509-459-6102,509-344-4939,kconway@g-b.com,,Goodale & Barbieri Company,818 W Riverside Ave. #300,,Spokane,WA,99201,,509-459-6102,509-344-4939,kim.conway@g-b.com,RICHARD OTIS,Seattle,Portland
FAIRVIEW TERRACE,1515 23RD AVENUE,,LEWISTON,ID,83501,Nez Perce,(208) 746-6069,124HD003,ID16Q941001,811 Capital Advance for Disabled,202/811,Wholly developmentally disabled,Disabled,11,12,RUSSELL M. GEE,FAIRVIEW TERRACE INC.,"1515 23rd Avenue, #13",,LEWISTON,ID,83501,0000,(208) 746-4410,,need_email@hud.gov,BARBARA  LEACHMAN,COMMUNITY ACTION AGENCY,124 NEW SIXTH STREET,,LEWISTON,ID,83501,,(208)746-3351,,need_email@hud.gov,CAROL JAMISON,Seattle,Portland
FOUNTAIN TERRACE APARTMENTS,351 S FIRST ST W,,SODA SPRINGS,ID,83276,Caribou,208-547-2365,,ID05H020034,,"Subsidized, No HUD Financing",Wholly Elderly Housekeeping,Elderly,32,32,Adam Cromwell,Fountain Terrace Assoc.,PO Box 312,,Soda Springs,ID,83276,0312,(208) 547-4243,,need_email@hud.gov,Adam Cromwell,Adam Cromwell,3925 Otter Trail,,Idaho Falls,ID,83404,,208-528-0612,208-528-0612,shippro@hotmail.com,MELISSA A SCHAFTE,Seattle,Portland
FRANKLIN GROVE APARTMENTS,4929 FRANKLIN RD,,BOISE,ID,83705,Ada,208-336-0086,,ID16H020057,,"Subsidized, No HUD Financing",Elderly,Elderly,40,40,Noel Gill,NWRECC Idaho Affordable Housing Preservation LP,c/o Northwest Real Estate Capital Corp,"210 W. Mallard Drive, Suite A",Boise,ID,83706,,208-375-9407,208-375-9158,bradelg@nwrecc.org,Noel Gill,Northwest Real Estate Capital Corp,210 W Mallard Dr Ste A,,Boise,ID,83706,3992,(208) 947-7050,(208) 9477052,bradelg@nwrecc.org,MELISSA A SCHAFTE,Seattle,Portland
FRANKLIN HEIGHTS,747 Franklin Avenue,,POCATELLO,ID,83201,Bannock,,12435085,ID058023002,223(a)(7) Refi of 221d4 NC/SR,Insured-Subsidized,Indv. families - not eld/ handicap,Family,16,16,Ray G. Obendorf,Ray Obendorf,24034 Batt Corner Rd,,Parma,ID,83660,7308,(208) 482-7397,,need_email@hud.gov,Dianne Hunt,Syringa Property Management Inc.,1277 Shoreline Lane,,Boise,ID,83702,,(208) 336-4610,(208) 345-8990,dianne@syringaproperties.com,RICHARD OTIS,Seattle,Portland
FRIENDSHIP MANOR I,322 W Logan ST,,CALDWELL,ID,83605,Canyon,208-343-6438,12411005,ID16T881001,223(f) Refi/ Purchase Apts,Insured-Subsidized,Wholly Elderly Housekeeping,Elderly,29,30,James R Tomlinson,Friendship I Co.,205 N 10th St Ste 200,,Boise,ID,83702,5765,208-343-6438,,need_email@hud.gov,Sondra Dean,"Tomlinson & Associates, Inc.",205 N. 10th Street,Suite 200,Boise,ID,83702,,20834306438,208338-1777,jim.tomlinson@tomlinson-assoc.com,MELISSA A SCHAFTE,Seattle,Portland
FRIENDSHIP MANOR II,324 W. LOGAN,,CALDWELL,ID,83605,Canyon,208-459-7075,124EE006,ID16S931002,202 Capital Advance for Elderly,202/811,Wholly Elderly Housekeeping,Elderly,39,40,James R Tomlinson,Friendship II Company,205 N 10th St,,Boise,ID,83702,5773,208-343-6438,208-338-1777,need_email@hud.gov,Chris Bent,"Tomlinson & Associates, Inc.",205 N. 10th Street,Suite 200,Boise,ID,83702,,20834306438,208338-1777,jim.tomlinson@tomlinson-assoc.com,CAROL JAMISON,Seattle,Portland
GARFIELD SCHOOL,2912 5TH AVE,,LEWISTON,ID,83501,Nez Perce,208-314-9088,,ID168023001,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,6,6,Jeff Nichols,"New Garfield Partners, LLC",6808 N Westgate Pl,,Spokane,WA,99208,,509-328-2330,509-328-2330,ksnichols55@netzero.net,Jeff Nichols,"New Garfield Partners, LLC",6808 N Westgate Pl,,Spokane,WA,99208,,509-328-2330,509-328-2330,ksnichols55@netzero.net,RICHARD OTIS,Seattle,Portland
GOLDEN GLOW TOWER,1108 7TH ST S,,NAMPA,ID,83651,Canyon,208-466-8748,124SH003,,202 Direct Loan/ Elderly/ Pre - 1974,202/811,Wholly Elderly Housekeeping,Elderly,0,63,Jim Cate,"Nampa Christian Housing, Inc.",1108   7th Street South,,Nampa,ID,83651,4236,(208) 466-8748,(208) 466-8957,need_email@hud.gov,Jim Cate,"Nampa Christian Housing, Inc.",1108   7th Street South,,Nampa,ID,83651,4236,(208) 466-8748,(208) 466-8957,need_email@hud.gov,CAROL JAMISON,Seattle,Portland
Gracehill Apartments,1447 IDAHO ST,,GOODING,ID,83330,Gooding,,,ID16H020086,,"Subsidized, No HUD Financing",Partially elderly handicapped,Elderly,30,30,Thomas C. Mannschreck,"Gracehill, LLC, an Idaho Limited Liability Company",413 W Idaho Ste 200,,Boise,ID,83702,,208.343-8877 x212,,ccasazza@thomasdevelopment.com,Dianne  Hunt,Syringa Property Management Inc.,1277 Shoreline Lane,,Boise,ID,83702,,(208) 336-4610,(208) 345-8990,dianne@syringaproperties.com,MELISSA A SCHAFTE,Seattle,Portland
GREENBRIAR APARTMENTS,693 E. Old Saybrook lane,,BOISE,ID,83706,Ada,(208) 342-2930,12411016,ID05H020031,223(f) Refi/ Purchase Apts,Insured-Subsidized,Indv. families - not eld/ handicap,Family,46,47,,Marcom Investments LLP,6543 Beach Dr SW,,Seattle,WA,98136,1359,206-441-2500,206-338-1774,Tomlinson-Assoc@RMCI.Net,Chris Bent,"Tomlinson & Associates, Inc.",205 N. 10th Street,Suite 200,Boise,ID,83702,,20834306438,208338-1777,jim.tomlinson@tomlinson-assoc.com,MELISSA A SCHAFTE,Seattle,Portland
HARRISON HILLS,2260 HARRISON BLVD,,BOISE,ID,83702,Ada,208-342-4716,,ID16H020049,,"Subsidized, No HUD Financing",Partially elderly handicapped,Elderly,36,36,Douglas Peterson,The Housing Company,PO Box 6943,,Boise,ID,83707,,(208) 331-4850,(208) 331-4806,tracied@ihfa.org,Doug Peterson,The Housing Company,PO Box 6943,,Boise,ID,83707,,(208) 331-4850,(208) 331-4806,tracied@ihfa.org,MELISSA A SCHAFTE,Seattle,Portland
Hawthorne Gardens Apartments,4170 Hawthorne Rd,,Chubbuck,ID,83202,Bannock,,12435095,,221d4 NC/SR,Insured-Unsubsidized,,,0,0,,,,,,,,,,,,,,,,,,,,,,,SUSANA MITCHELL,Seattle,Portland
HAWTHORNE TERRACE,3731 Hawthorne Road,,POCATELLO,ID,83201,Bannock,208-237-2644,12435086,ID058023004,223(a)(7) Refi of 221d4 NC/SR,Insured-Subsidized,Indv. families - not eld/ handicap,Family,8,8,Mr. Ray G. Obendorf,Ray Obendorf,24034 Batt Corner Rd,,Parma,ID,83660,7308,(208) 482-7397,,need_email@hud.gov,Dianne Hunt,Syringa Property Management Inc.,1277 Shoreline Lane,,Boise,ID,83702,,(208) 336-4610,(208) 345-8990,dianne@syringaproperties.com,RICHARD OTIS,Seattle,Portland
HAWTHORNE VILLAGE,1420 Hawthorne Drive Office,,MOSCOW,ID,83843,Latah,(208) 882-3516,,,,Use Restriction,Indv. families - not eld/ handicap,Family,0,55,Bill Rumpf,Mercy Moscow Inc. aka Hawthorne Village,1999 Broadway Ste 1000,,Denver,CO,80202,,303 830 3300,877-693-7945,twalorski@mercyhousing.org,Joe Thompson,Mercy Housing Management Group,"1999 Broadway, Suite 1000",Attn: Teresa Walorski,Denver,CO,80202,,303-830-3300,877-693-7945,twalorski@mercyhousing.org,CYNTHIA E INGEBRETSON,Seattle,Portland
HAZEL PARK,211 E HAZEL ST,,CALDWELL,ID,83605,Canyon,208-454-2387,,ID05H020036,,"Subsidized, No HUD Financing",Partially elderly handicapped,Elderly,40,40,Douglas Peterson,The Housing Company,PO Box 6943,,Boise,ID,83707,,(208) 331-4850,(208) 331-4806,tracied@ihfa.org,Doug Peterson,The Housing Company,PO Box 6943,,Boise,ID,83707,,(208) 331-4850,(208) 331-4806,tracied@ihfa.org,MELISSA A SCHAFTE,Seattle,Portland
HERITAGE PLACE,702 W Walnut Ave,,Coeur d'Alene,ID,83814,Kootenai,,12411017,ID16T782006,223(a)(7) Refi of 223(f) Apts,Insured-Subsidized,Elderly,Elderly,129,130,Mike Grabenstein,HERITAGE PLACE INC,702  W WALNUT  AVE,,COEUR D'ALENE,ID,83814,2361,(208) 664-2680,,need_email@hud.gov,Mike Grabenstein,CDAH Management LLC,702 W Walnut,,Coeur d'Alene,ID,83814,,208-664-2680,,mike@cdaseniorliving.org,RICHARD OTIS,Seattle,Portland
HERITAGE PLACE,702 W Walnut Ave,,Coeur d'Alene,ID,83814,Kootenai,,12411017,ID050277201,223(a)(7) Refi of 223(f) Apts,Insured-Subsidized,Elderly,Elderly,129,130,Mike Grabenstein,HERITAGE PLACE INC,702  W WALNUT  AVE,,COEUR D'ALENE,ID,83814,2361,(208) 664-2680,,need_email@hud.gov,Mike Grabenstein,CDAH Management LLC,702 W Walnut,,Coeur d'Alene,ID,83814,,208-664-2680,,mike@cdaseniorliving.org,RICHARD OTIS,Seattle,Portland
HERITAGE PLACE III,1205 N Lincoln Way,,Coeur d'Alene,ID,83814,Kootenai,208 664-2680,124EE022,ID16S041001,202 Capital Advance for Elderly,202/811,,,25,25,Mike Grabenstein,"Heritage Place Phase III, Inc.",704 W Walnut,,Coeur d'Alene,ID,83814,,208-664-2680,,need_email@hud.gov,Karla J. Walters,CDAH Management LLC,702 W Walnut,,Coeur d'Alene,ID,83814,,208-664-2680,,mike@cdaseniorliving.org,CAROL JAMISON,Seattle,Portland
HIGHLANDER - THE,616 WARNER AVE,,LEWISTON,ID,83501,Nez Perce,,,ID16M000008,,Insured-Subsidized,Elderly,Elderly,102,102,Russ Francisco,R&K Limited Liability Company,116 Warren Ave N,,Seattle,WA,98109,4937,206-441-8866,,RFrancisco@PanPacificProperties.Com,Russ K Francisco,PAN PACIFIC PROPERTIES INC,116 Warren Avenue N.,Suite A,SEATTLE,WA,98109,,(206) 441-8866,(206) 441-8333,rfrancisco@panpacificproperties.com,MELISSA A SCHAFTE,Seattle,Portland
HOUSING SOUTHWEST NO 2,1080-1 Sixth Ave SO.,,PAYETTE,ID,83661,Payette,,124EH004,ID16T782001,202/8 Direct Loan/ Elderly-Handicapped,202/811,Wholly Elderly Housekeeping,Elderly,12,12,Gordon A. Collinsworth,Housing Southwest Inc.,% SICHA,1108 West Finch Drive,Nampa,ID,83651,1732,(208) 467-7461,(208) 463-1772,hswest@micron.net,,SICHA,377 Cornell,,Middleton,ID,83644,,208-585-9325,(208)585-9326,karen@sicha.org,MELISSA A SCHAFTE,Seattle,Portland
HOWARD PLACE,2707-A Fruitland LN,,Coeur d'Alene,ID,83814,Kootenai,208-667-3211,,ID16H020053,,"Subsidized, No HUD Financing",Partially physically handicapped,Disabled,40,40,,Steven Widmyer,117 South 4th St. Suite 210,,Coeur d Alene,ID,83814,,208-664-9637,,Swidm10608@aol.com,,Steven Widmyer,117 South 4th St. Suite 210,,Coeur d Alene,ID,83814,,208-664-9637,,Swidm10608@aol.com,MELISSA A SCHAFTE,Seattle,Portland
IMPERIAL APARTMENTS,501 Imperial Way,,SALMON,ID,83467,Lemhi,208-756-4918,,ID16H020066,,"Subsidized, No HUD Financing",Partially elderly handicapped,Elderly,32,32,George Blodgett,B & H Apartments,701 Imperial Way Apt 3C,,Salmon,ID,83467,4002,(208) 756-4918,208-756-4918,bhapts@centurytel.net,Jason Smith,B & H Apartments,701 Imperial Way Apt 3C,,Salmon,ID,83467,4002,(208) 756-4918,208-756-4918,bhapts@centurytel.net,STEPHANIE P SMITH,Seattle,Portland
INDEPENDENCE HILL HOUSING,1450 A Street,,MOSCOW,ID,83843,Latah,,124HD011,ID16Q021001,811 Capital Advance for Disabled,202/811,,,13,13,Jane Graf,"Independence Hill, Inc","Mercy Housing, Inc.","National Office: 1999 Broadway, #1000",Denver,CO,80202,,303-830-3300,877-693-7945,twalorski@mercyhousing.org,Richard Lund (Subsidy Billing),Mercy Housing Management Group,"1999 Broadway, Suite 1000",Attn: Teresa Walorski,Denver,CO,80202,,303-830-3300,877-693-7945,twalorski@mercyhousing.org,SUSANA MITCHELL,Seattle,Portland
INDEPENDENCE HOMES,409 WILLARD AVE,,POCATELLO,ID,83201,Bannock,208-234-0008,,ID16H020080,,"Subsidized, No HUD Financing",Wholly Elderly Housekeeping,Elderly,13,13,Annette Moore,ARC of Bannock County,430 Willard Ave,,Pocatello,ID,83201,4538,(208) 888-9756,208-888-9756,nanniej@hotmail.com,Mitch Brown,ARC of Bannock County,430 Willard Ave,,Pocatello,ID,83201,4538,(208) 888-9756,208-888-9756,nanniej@hotmail.com,STEPHANIE P SMITH,Seattle,Portland
INDIANA MANOR,2429-1 S INDIANA AVE,,CALDWELL,ID,83605,Canyon,,12444021,ID16M000010,236(j)(1)/ Lower Income Families,Insured-Subsidized,Indv. families - not eld/ handicap,Family,9,48,Jim Miller,Indiana Manor Ltd. Partnership,3 East Stow Road,,Marlton,NJ,08053,,856-797-8429,856-988-5817,jmiller@themichaelsorg.com,Thomas B. Brenneke,Guardian Real Estate Services LLC,710 NW 14th Ave,,Portland,OR,97209,2701,503-802-3600,503-802-3648,thomas.brenneke@gres.com,RICHARD OTIS,Seattle,Portland
JAMES COURT APARTMENTS,2190 N Meridian RD,,Meridian,ID,83642,Ada,,,ID05H020011,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,50,50,,James Ct Investors LLC,"15301 Ventura Blvd., Suite B-570",,Sherman Oaks,CA,91403,,818-808-0600 x 450,,robert@ghcapital.com,JIMMY ARNOLD,"NHPMN Management, LLC",80 International Drive,Suite 130,Greenville,SC,29615,,864-239-1428,864-239-5802,rcla@aimco.com,MELISSA A SCHAFTE,Seattle,Portland
John O'Brien House,102 Homestead Avenue,,Coeur d'Alene,ID,83814,Kootenai,,124HD014,,811 Capital Advance for Disabled,202/811,,,0,14,John Bruning,"John O'Brien House, LTD",201 E Harrison Ave,,Coeur d'Alene,ID,83814,,208-664-3095,208-664-1772,holly@stvincentdepaulcda.org,,ST VINCENT DE PAUL,201 E Harrison Ave,,COEUR D'ALENE,ID,83814,0000,(208) 664-3095,(208) 664-1772,jeff@stvincentdepaulcda.org,CYNTHIA E INGEBRETSON,Seattle,Portland
JOHNSON MANOR,426 Water Street,,JULIAETTA,ID,83535,Latah,(208) 882-1055,,,,Use Restriction,Indv. families - not eld/ handicap,Family,0,22,Seth H.Chappell,Seth Chappell,17040 Sprague St,,Omaha,NE,68116,3025,(402)490-9235,,need_email@hud.gov,Wheatland Properties Inc,,,,,,,,,,,CAROL JAMISON,Seattle,Portland
KATHY REED HOUSE,570 W Neider Ave,,Coeur d'Alene,ID,83815,Kootenai,208-664-3095,124EE023,ID16S081001,202 Capital Advance for Elderly,202/811,,,36,37,John Bruning,"Neider House, Ltd.",c/o St Vincent de Paul,201 E Harrison Ave,Coeur d'Alene,ID,83814,3240,208-664-3095,,jeff@stvincentdepaulcda.org,Jeff Conroy,ST VINCENT DE PAUL,201 E Harrison Ave,,COEUR D'ALENE,ID,83814,0000,(208) 664-3095,(208) 664-1772,jeff@stvincentdepaulcda.org,CYNTHIA E INGEBRETSON,Seattle,Portland
KIMBERLY SUNSET MANOR,125-1 SPRUCE ST,,KIMBERLY,ID,83341,Twin Falls,,,ID16R000018,,"Subsidized, No HUD Financing",Elderly,Elderly,24,24,Noel Gill,NWRECC Idaho Affordable Housing Preservation LP,c/o Northwest Real Estate Capital Corp,"210 W. Mallard Drive, Suite A",Boise,ID,83706,,208-375-9407,208-375-9158,bradelg@nwrecc.org,Noel Gill,Northwest Real Estate Capital Corp,210 W Mallard Dr Ste A,,Boise,ID,83706,3992,(208) 947-7050,(208) 9477052,bradelg@nwrecc.org,STEPHANIE P SMITH,Seattle,Portland
Kirkwood Meadows,1222 Freeman Lane,,Pocatello,ID,83201,Bannock,,12411015,,223(f) Refi/ Purchase Apts,Insured-Unsubsidized,,,0,0,Timothy Gardiner,Renidrag Investments LLC,P. O. Box 187,,Sun Valley,ID,83353,,208-726-7174,208-726-9368,buckg@mathercapital.com,Timothy Gardiner,Mather Capital Corporation,P.O. Box 187,,Sun Valley,ID,83353,,208-788-4068,208-726-9368,need_email@hud.gov,SUSANA MITCHELL,Seattle,Portland
LAKE COUNTRY APARTMENTS,1421 N 9th St,,Coeur d'Alene,ID,83814,Kootenai,208-667-9682,,ID16H020051,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,44,44,Douglas Peterson,The Housing Company,PO Box 6943,,Boise,ID,83707,,(208) 331-4850,(208) 331-4806,tracied@ihfa.org,Doug Peterson,The Housing Company,PO Box 6943,,Boise,ID,83707,,(208) 331-4850,(208) 331-4806,tracied@ihfa.org,MELISSA A SCHAFTE,Seattle,Portland
Lake Wood Ranch,3755 North 4th St,,Coeur d'Alene,ID,83815,Kootenai,,12411019,,223(f) Refi/ Purchase Apts,Insured-Unsubsidized,,,0,0,Darin Davidson,Lake Wood Ranch LLC,1620 N Mamer Rd   Bldg B,,Spokane Valley,WA,99216,,5093213221,,jonl@inlandconstruction.com,Ken W. Hunt,"FPI Management, Inc.",800 Iron Point Road,,Folsom,CA,95630,,9163575300,,annalee.tenbrink@fpimgt.com,SUSANA MITCHELL,Seattle,Portland
LANDMARK TOWERS,111 15TH AVE S,,NAMPA,ID,83651,Canyon,208-466-1918,,ID16H020060,,"Subsidized, No HUD Financing",Wholly Elderly Housekeeping,Elderly,40,40,,LM Idaho Investors LLC,15301 Ventura Blvd.,Ste. B-570,Sherman Oaks,CA,91403,,818-808-0600,,robert@ghcapital.com,,PK Management LLC,"15301 Ventura Blvd., Suite B570",,Sherman Oaks,CA,91403,,818-808-0600 x450,818-906-8385,robert@ghcapital.com,STEPHANIE P SMITH,Seattle,Portland
LEISURE VILLAGE,540  LINDER ST,,KUNA,ID,83634,Ada,208-459-6348,,ID16R000017,,"Subsidized, No HUD Financing",Elderly,Elderly,18,18,Noel Gill,Northwest Real Estate Capital Corp,210 W Mallard Dr Ste A,,Boise,ID,83706,3992,(208) 947-7050,(208) 9477052,bradelg@nwrecc.org,Noel Gill,Northwest Real Estate Capital Corp,210 W Mallard Dr Ste A,,Boise,ID,83706,3992,(208) 947-7050,(208) 9477052,bradelg@nwrecc.org,STEPHANIE P SMITH,Seattle,Portland
LIGHTNING CREEK APARTMENTS,120 WEST TENTH  ST,,CLARK FORK,ID,83811,Bonner,,,ID16R000016,,"Subsidized, No HUD Financing",Elderly,Elderly,16,16,Jeff Conrol,ST VINCENT DE PAUL,201 E Harrison Ave,,COEUR D'ALENE,ID,83814,0000,(208) 664-3095,(208) 664-1772,jeff@stvincentdepaulcda.org,Dawn Maciosek,ST VINCENT DE PAUL,201 E Harrison Ave,,COEUR D'ALENE,ID,83814,0000,(208) 664-3095,(208) 664-1772,jeff@stvincentdepaulcda.org,STEPHANIE P SMITH,Seattle,Portland
LINCOLN WAY TERRACE,530 West Harrison Ave.,,Coeur d'Alene,ID,83814,Kootenai,,,ID16R000012,,"Subsidized, No HUD Financing",Elderly,Elderly,18,18,Marvin  Miller,Lincoln Way Terrace Apartments LLC,PO Box 1180,,Hayden,ID,83835,,208-666-1502,208-667-8061,cimcorpcda@yahoo.com,MARVIN  MILLER,CIMCORP INC,PO BOX 1180,,HAYDEN LAKE,ID,83835,0000,(208) 666-1502,,need_email@hud.gov,RICHARD OTIS,Seattle,Portland
LYNN PETERSON HOUSE,550 W Neider Ave,,Coeur d'Alene,ID,83815,Kootenai,208-699-7886,124HD013,ID16Q071001,811 Capital Advance for Disabled,202/811,Chronically Mentally Ill,Disabled,14,15,John Bruning,St. Vincent's Fruitland Apartments Limited,201 E Harrison St,,Coeur d'Alene,ID,83814,3240,208-664-3095,,jeff@stvincentdepaulcda.org,Jeff Conroy,ST VINCENT DE PAUL,201 E Harrison Ave,,COEUR D'ALENE,ID,83814,0000,(208) 664-3095,(208) 664-1772,jeff@stvincentdepaulcda.org,CYNTHIA E INGEBRETSON,Seattle,Portland
MALLARD POINTE APARTMENTS,505 EAST 50TH STREET,,GARDEN CITY,ID,83714,Ada,(208)327-1723,12435093,,223(a)(7) Refi of 221d4 NC/SR,Insured-Unsubsidized,Elderly,Elderly,0,158,Chad Rennaker,Mallard Pointe Limited Partnership,"412 NW 5th Avenue, Suite 200",,Portland,OR,97209,3816,(503)288-6210,(503)288-6209,hboyd@pacificap.com,Shawn Hoban,Hoban & Assoc dba Coast Real Estate Services,2829 Rucker Ave Ste 100,,Everett,WA,98201,3456,(425) 339-3638,(425) 252-8732,shoban@coastmgt.com,CAROL JAMISON,Seattle,Portland
MAPLE TREE COURT,401 E JEFFERSON ST,,SPIRIT LAKE,ID,83869,Kootenai,,,ID05R000007,,"Subsidized, No HUD Financing",Elderly,Elderly,12,12,Lucille Robbins,Spirit Lake Seniors Citizens Inc,PO BOX 817,,Spirit Lake,ID,83869,0000,(208) 623-2424,,xxxxxx@xxxx.xxx,,Syringa Property Management Inc.,1277 Shoreline Lane,,Boise,ID,83702,,(208) 336-4610,(208) 345-8990,dianne@syringaproperties.com,RICHARD OTIS,Seattle,Portland
MAPLE WEST APTS,350 W. Maple St.,,POCATELLO,ID,83201,Bannock,208/233-6276,12444025,,236(j)(1)/ Lower Income Families,Insured-Subsidized,Indv. families - not eld/ handicap,Family,0,44,Sunny Shaw,MAPLE WEST INC.,P. O. Box 4161,,POCATELLO,ID,83205,4161,(208) 233-6276,(208) 233-9821,drtpha@spro.net,Don R. Thompson,Housing Authority of Pocatello,P. O. Box 4161,,Pocatello,ID,83205,4161,(208) 233-6276,(208) 233-9821,drtpha@micron.com,CAROL JAMISON,Seattle,Portland
MARKET LAKE TOWNHOUSES,679 N 2880 E,,Roberts,ID,83444,Jefferson,208-228-3043,,ID16H020042,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,8,8,,"Eastern Idaho Community Action Partnership, Inc.",PO Box 51098,,Idaho Falls,ID,83405,1098,(208) 522-5391,(208) 522-5453,jdoman@eicap.org,,"Eastern Idaho Community Action Partnership, Inc.",PO Box 51098,,Idaho Falls,ID,83405,1098,(208) 522-5391,(208) 522-5453,jdoman@eicap.org,MELISSA A SCHAFTE,Seattle,Portland
MCKINLEY MANOR APTS.,1020 MCKINLEY AVE,,POCATELLO,ID,83201,Bannock,(208)233-6276,,,,Use Restriction,Indv. families - not eld/ handicap,Family,0,56,Gene Galloway,"McKinley Manor, Inc.",P.O. Box 4161,,Pocatello,ID,83205,4161,(208)233-6276,(208)233-9821,drtpha@spro.net,Don R. Thompson,Housing Authority of Pocatello,P. O. Box 4161,,Pocatello,ID,83205,4161,(208) 233-6276,(208) 233-9821,drtpha@micron.com,CAROL JAMISON,Seattle,Portland
MEADOWBROOK,315 CLEAR LAKES RD,,BUHL,ID,83316,Twin Falls,208-543-8833,,ID16H020087,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,20,20,Marion A. Willey,Meadowbrook Buhl LLC,223 W. 700 S.,,Salt Lake City,UT,84101,,801-531-9200,,becki@wrnphc.org,,Syringa Property Management Inc.,1277 Shoreline Lane,,Boise,ID,83702,,(208) 336-4610,(208) 345-8990,dianne@syringaproperties.com,RICHARD OTIS,Seattle,Portland
