2004-2005 Public School Preschool Programs by Arrangement by District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Iowa Department of Education, Bureau of Planning, Research and Evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic Educational Data Survey (BEDS), Early Childhood and Address Files",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Head Start,Head Start,Head Start,Head Start,,Child Development Coordinating Council,Child Development Coordinating Council,Child Development Coordinating Council,Child Development Coordinating Council,,Empowerment,Empowerment,Empowerment,Empowerment,,Tuition Funded,Tuition Funded,Tuition Funded,Tuition Funded,,Other,Other,Other,Other
87,14,3609,Lenox Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
78,13,3645,Lewis Central Comm School District,Yes,Yes,No,,19,5,0,19,,40,5,40,0,,12,5,12,0,,0,0,0,0,,13,5,0,13
16,10,3691,North Cedar Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
93,15,3705,Lineville-Clio Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,4,4,0,4
57,10,3715,Linn-Mar Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,66,3,66,0,,0,0,0,0
57,10,3744,Lisbon Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,116,5,50,66,,0,0,0,0
43,13,3798,Logan-Magnolia Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,16,5,0,16,,0,0,0,0,,0,0,0,0
52,10,3816,Lone Tree Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
58,09,3841,Louisa-Muscatine Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,47,5,33,14,,0,0,0,0
55,8,3897,LuVerne Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,12,5,12,0
50,11,3906,Lynnville-Sully Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
08,11,3942,Madrid Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
65,13,3978,Malvern Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,4,5,0,4
14,11,4014,Manning Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,26,5,26,0,,5,5,5,0
13,8,4023,Manson Northwest Webster Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,40,2,40,0,,0,0,0,0
67,12,4033,Maple Valley Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
49,09,4041,Maquoketa Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
28,01,4043,Maquoketa Valley Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
18,04,4068,Marcus-Meriden-Cleghorn Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,21,2,0,21,,0,0,0,0
57,10,4086,Marion Independent School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
64,267,4104,Marshalltown Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,20,3,20,0,,0,0,0,0
91,11,4122,Martensdale-St Marys Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
17,267,4131,Mason City Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
84,04,4149,MOC-Floyd Valley Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,25,5,0,25
29,16,4203,Mediapolis Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
63,11,4212,Melcher-Dallas Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,49,4,49,0,,0,0,0,0
17,267,4266,Meservey-Thornton Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,18,5,18,0,,0,0,0,0
53,10,4269,Midland Comm School District,Yes,Yes,Yes,,0,0,0,0,,16,4,0,16,,0,0,0,0,,19,5,0,19,,0,0,0,0
92,10,4271,Mid-Prairie Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,27,4,0,27,,0,0,0,0
43,13,4356,Missouri Valley Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
22,01,4419,MFL MarMac Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,52,3,0,52,,0,0,0,0
79,267,4437,Montezuma Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
53,10,4446,Monticello Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
04,15,4491,Moravia Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,25,2,0,25,,0,0,0,0
93,14,4505,Mormon Trail Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,20,4,0,20
58,16,4509,Morning Sun Comm School District,Yes,Yes,Yes,,0,0,0,0,,11,5,0,11,,0,0,0,0,,35,2,35,0,,35,5,0,35
04,15,4518,Moulton-Udell Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,13,4,0,13
80,14,4527,Mount Ayr Comm School District,Yes,Yes,No,,2,4,2,0,,26,4,6,20,,0,0,0,0,,2,4,2,0,,0,0,0,0
44,16,4536,Mount Pleasant Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
57,10,4554,Mount Vernon Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20,14,4572,Murray Comm School District,Yes,Yes,Yes,,5,4,0,5,,3,4,0,3,,0,0,0,0,,14,4,0,14,,7,4,0,7
70,09,4581,Muscatine Comm School District,Yes,Yes,Yes,,0,0,0,0,,48,5,0,48,,0,0,0,0,,10,4,10,0,,0,0,0,0
19,267,4599,Nashua-Plainfield Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,45,3,39,6,,0,0,0,0
85,11,4617,Nevada Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11,8,4644,Newell-Fonda Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,13,5,13,0,,0,0,0,0
19,01,4662,New Hampton Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,72,3,72,0,,17,4,0,17
44,16,4689,New London Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
87,14,4698,New Market Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
50,11,4725,Newton Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
65,13,4751,Nishna Valley Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,27,5,0,27,,0,0,0,0,,0,0,0,0
34,267,4761,Nora Springs-Rock Falls Comm School District,Yes,Yes,Yes,,3,5,0,3,,0,0,0,0,,9,3,0,9,,23,5,0,23,,0,0,0,0
98,267,4772,North Central Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
23,09,4773,Northeast Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
33,01,4774,North Fayette Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
40,8,4775,Northeast Hamilton Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
62,15,4776,North Mahaska Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,20,3,0,20
57,10,4777,North Linn Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
55,8,4778,North Kossuth Comm School District,Yes,Yes,Yes,,1,1,0,1,,0,0,0,0,,0,0,0,0,,6,3,6,0,,0,0,0,0
77,11,4779,North Polk Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,3,4,3,0,,16,4,16,0,,0,0,0,0
82,09,4784,North Scott Comm School District,Yes,No,Yes,,18,5,0,18,,0,0,0,0,,0,0,0,0,,36,5,2,34,,0,0,0,0
86,267,4785,North Tama County Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
96,01,4787,North Winneshiek Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,21,4,0,21,,0,0,0,0
98,267,4788,Northwood-Kensett Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
91,11,4797,Norwalk Comm School District,Yes,No,Yes,,18,5,0,18,,0,0,0,0,,0,0,0,0,,35,2,35,0,,0,0,0,0
81,8,4860,Odebolt-Arthur Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,5,5,5,0,,12,5,12,0,,0,0,0,0
33,01,4869,Oelwein Comm School District,Yes,No,Yes,,51,5,0,51,,0,0,0,0,,0,0,0,0,,0,0,0,0,,24,3,0,24
08,11,4878,Ogden Comm School District,Yes,Yes,No,,7,5,0,7,,0,0,0,0,,3,5,0,3,,0,0,0,0,,6,5,0,6
30,8,4890,Okoboji Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,43,5,43,0,,0,0,0,0
53,10,4905,Olin Consolidated School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,9,5,0,9,,0,0,0,0
01,14,4978,Orient-Macksburg Comm School District,Yes,Yes,No,,0,0,0,0,,16,4,0,16,,0,0,0,0,,0,0,0,0,,0,0,0,0
66,267,4995,Osage Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
62,15,5013,Oskaloosa Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
90,15,5049,Ottumwa Comm School District,Yes,Yes,No,,0,0,0,0,,184,4,184,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
39,11,5121,Panorama Comm School District,Yes,Yes,No,,0,0,0,0,,5,5,0,5,,0,0,0,0,,0,0,0,0,,0,0,0,0
37,8,5139,Paton-Churdan Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,18,3,0,18,,0,0,0,0
50,11,5160,PCM Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,77,5,77,0,,0,0,0,0
54,15,5163,Pekin Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,53,5,53,0,,0,0,0,0
63,11,5166,Pella Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
25,11,5184,Perry Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,4,4,4,0,,8,3,8,0,,11,5,11,0
82,09,5250,Pleasant Valley Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,30,4,30,0
63,11,5256,Pleasantville Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,49,4,0,49,,0,0,0,0
76,8,5283,Pocahontas Area Comm School District,Yes,Yes,Yes,,0,0,0,0,,16,4,16,0,,16,1,16,0,,20,2,20,0,,0,0,0,0
13,8,5301,Pomeroy-Palmer,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,4,2,4,0,,10,2,10,0,,0,0,0,0
03,01,5310,Postville Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
94,8,5325,Prairie Valley Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,24,2,24,0,,0,0,0,0
02,14,5328,Prescott Comm School District,Yes,Yes,Yes,,0,0,0,0,,11,5,0,11,,0,0,0,0,,0,0,0,0,,0,0,0,0
49,09,5337,Preston  Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
69,14,5463,Red Oak Comm School District,Yes,Yes,No,,0,0,0,0,,16,4,0,16,,0,0,0,0,,0,0,0,0,,0,0,0,0
75,12,5486,Remsen-Union Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
45,01,5508,Riceville Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
78,13,5510,Riverside Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,19,5,19,0,,0,0,0,0,,14,5,0,14
84,04,5607,Rock Valley Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
17,267,5616,Rockwell-Swaledale Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,16,3,16,0,,0,0,0,0
13,8,5625,Rockwell City-Lytton Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,10,5,10,0,,0,0,0,0
85,11,5643,Roland-Story Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
34,267,5697,Rudd-Rockford-Marble Rk Comm School District,Yes,Yes,Yes,,6,5,0,6,,0,0,0,0,,4,5,0,4,,25,5,11,14,,0,0,0,0
59,15,5715,Russell Comm School District,Yes,Yes,Yes,,4,4,0,4,,0,0,0,0,,0,0,0,0,,9,4,0,9,,0,0,0,0
74,8,5724,Ruthven-Ayrshire Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,14,4,0,14
81,8,5742,Sac Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,26,5,26,0,,0,0,0,0,,0,0,0,0
66,267,5751,St Ansgar Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
77,11,5805,Saydel Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,16,5,16,0,,16,5,16,0,,0,0,0,0
81,8,5823,Schaller-Crestland Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,14,5,14,0
24,12,5832,Schleswig Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
55,8,5868,Sentral Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
97,12,5877,Sergeant Bluff-Luton Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,40,5,40,0,,30,5,0,30
93,15,5895,Seymour Comm School District,Yes,Yes,No,,0,0,0,0,,23,4,0,23,,0,0,0,0,,0,0,0,0,,0,0,0,0
35,267,5922,Sheffield-Chapin Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,31,3,31,0,,17,3,11,6
71,04,5949,Sheldon Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
73,13,5976,Shenandoah Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
72,04,5994,Sibley-Ocheyedan Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
36,13,6003,Sidney Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,6,4,6,0,,18,4,18,0,,0,0,0,0
54,15,6012,Sigourney Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
84,04,6030,Sioux Center Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,26,5,0,26
11,8,6035,Sioux Central Comm School District,Yes,Yes,Yes,,17,5,0,17,,0,0,0,0,,0,0,0,0,,12,5,0,12,,10,5,0,10
97,12,6039,Sioux City Comm School District,Yes,Yes,No,,34,4,0,34,,0,0,0,0,,0,0,0,0,,0,0,0,0,,45,4,44,1
13,8,6091,Southern Cal Comm School District,Yes,Yes,No,,12,4,0,12,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
21,8,6092,South Clay Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,8,4,0,8,,0,0,0,0
52,10,6093,Solon Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,19,5,0,19,,0,0,0,0
91,11,6094,Southeast Warren Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,30,2,30,0,,0,0,0,0
40,8,6095,South Hamilton Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,6,4,0,6,,0,0,0,0,,0,0,0,0
94,8,6096,Southeast Webster Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,41,5,41,0,,0,0,0,0
73,13,6097,South Page Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,22,5,22,0,,0,0,0,0
86,267,6098,South Tama County Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,102,2,0,102,,0,0,0,0
71,04,6099,South O'Brien  Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
96,01,6100,South Winneshiek Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,16,4,0,16,,0,0,0,0
77,11,6101,Southeast Polk Comm School District,Yes,Yes,No,,16,5,0,16,,0,0,0,0,,0,0,0,0,,3,2,3,0,,0,0,0,0
21,8,6102,Spencer Comm School District,Yes,Yes,No,,25,5,0,25,,12,5,0,12,,0,0,0,0,,0,0,0,0,,16,4,0,16
30,8,6120,Spirit Lake Comm School District,Yes,Yes,Yes,,36,5,0,36,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
57,10,6138,Springville Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,39,5,39,0,,0,0,0,0
69,14,6165,Stanton Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
33,01,6175,Starmont Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11,8,6219,Storm Lake Comm School District,Yes,Yes,Yes,,92,5,0,92,,0,0,0,0,,4,5,0,4,,7,3,7,0,,39,5,21,18
40,8,6246,Stratford Comm School District,Yes,Yes,Yes,,4,5,0,4,,0,0,0,0,,7,5,0,7,,7,5,0,7,,0,0,0,0
39,11,6264,West Central Valley Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,60,4,60,0,,0,0,0,0
09,267,6273,Sumner Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
30,8,6345,Terril Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,11,3,3,8,,0,0,0,0
16,10,6408,Tipton Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
55,8,6417,Titonka Consolidated School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,15,3,15,0,,0,0,0,0
78,13,6453,Treynor Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,1,3,1,0,,0,0,0,0,,0,0,0,0
78,13,6460,Tri-Center Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,41,4,41,0,,12,5,0,12
54,15,6462,Tri-County Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,1,5,1,0,,16,5,6,10,,4,5,2,2
09,267,6471,Tripoli Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,25,5,22,3,,0,0,0,0
96,01,6509,Turkey Valley Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,42,3,40,2,,0,0,0,0
63,11,6512,Twin Cedars Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,24,5,24,0,,0,0,0,0
46,8,6516,Twin Rivers Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
78,13,6534,Underwood Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,32,5,32,0,,0,0,0,0
07,267,6536,Union Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
08,11,6561,United Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,8,5,0,8,,0,0,0,0
77,11,6579,Urbandale Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,9,5,1,8,,27,5,5,22,,0,0,0,0
33,01,6591,Valley Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
89,15,6592,Van Buren Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,36,3,36,0
25,11,6615,Van Meter Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
17,267,6633,Ventura Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
69,14,6651,Villisca Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
06,10,6660,Vinton-Shellsburg Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
44,16,6700,Waco Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,24,5,11,13,,3,5,0,3
81,8,6741,Wall Lake View Auburn Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,23,5,23,0,,0,0,0,0
78,13,6750,Walnut Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,14,5,0,14
58,16,6759,Wapello Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,18,5,0,18,,0,0,0,0,,0,0,0,0
09,267,6762,Wapsie Valley Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
92,10,6768,Washington Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
07,267,6795,Waterloo Comm School District,Yes,Yes,No,,78,5,0,78,,53,5,0,53,,0,0,0,0,,0,0,0,0,,84,4,64,20
25,11,6822,Waukee Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,18,3,18,0
09,267,6840,Waverly-Shell Rock Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
93,15,6854,Wayne Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
40,8,6867,Webster City Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
74,8,6921,West Bend-Mallard Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,3,4,0,3
16,10,6930,West Branch Comm School District,Yes,Yes,Yes,,0,0,0,0,,9,5,8,1,,0,0,0,0,,30,3,30,0,,0,0,0,0
29,16,6937,West Burlington Ind School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
33,01,6943,West Central Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
28,01,6950,West Delaware County Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
77,11,6957,West Des Moines Comm School District,Yes,Yes,No,,34,4,34,0,,0,0,0,0,,42,3,40,2,,0,0,0,0,,120,1,120,0
31,01,6961,Western Dubuque Comm School District,Yes,Yes,Yes,,0,0,0,0,,16,4,0,16,,0,0,0,0,,121,4,0,121,,0,0,0,0
43,13,6969,West Harrison Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,11,5,11,0,,0,0,0,0,,0,0,0,0
70,09,6975,West Liberty Comm School District,Yes,Yes,Yes,,28,4,28,0,,0,0,0,0,,0,0,0,0,,34,4,34,0,,0,0,0,0
60,04,6983,West Lyon Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,39,2,39,0,,0,0,0,0
64,267,6985,West Marshall Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,29,3,0,29,,20,5,10,10
67,12,6987,West Monona Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
84,04,6990,West Sioux Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,14,3,0,14
97,12,6992,Westwood Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,18,5,12,6,,0,0,0,0
67,12,7002,Whiting Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
48,10,7029,Williamsburg Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
70,09,7038,Wilton Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
25,11,7110,Woodward-Granger Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
44,16,7047,Winfield-Mt Union Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,9,2,0,9
61,11,7056,Winterset Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,11,3,11,0
