Titel,Orginaltitel,År,Regissör,Ditt betyg,Datum,IMDB#
Beginning of a Skyscraper,Beginning of a Skyscraper,1902,Robert K Bonine,,,178265
Megamind: The Button of Doom,Megamind: The Button of Doom,2011,Simon J Smith,,,1847645
Nakenlekar,Nakenlekar,2009,Crazy Pictures,,,1615470
Megamind,Megamind,2010,Tom McGrath,,,1001526
Arthur och de två världarna,Arthur et la guerre des deux mondes,2010,Luc Besson,,,940656
Trassel,Tangled,2010,"Nathan Greno, Byron Howard",,,398286
På rymmen med Pippi Långstrump,På rymmen med Pippi Långstrump,1970,Olle Hellbom,,,66265
Pettson och Findus - Kattonauten,Pettson och Findus - Kattonauten,2000,Albert Hanan Kaminski,,,268531
Pettson och Findus - Glömligheter,Pettson och Findus - Glömligheter,2009,"Jørgen Lerdam, Anders Sørensen",,,1381286
"Basket Ball, Missouri Valley College","Basket Ball, Missouri Valley College",1904,,,,1228642
Baignade en mer,Baignade en mer,1895,Louis Lumière,,,23
Bagarre entre journalistes,Bagarre entre journalistes,1899,Georges Méliès,,,224633
Babies Rolling Eggs,Babies Rolling Eggs,1902,,,,335949
Aunt Sallie's Wonderful Bustle,Aunt Sallie's Wonderful Bustle,1901,,,,309311
August-Brücke,August-Brücke,1896,,,,1740487
"Audley Range School, Blackburn","Audley Range School, Blackburn",1904,,,,471083
Attentat contre maître Labori,Attentat contre maître Labori,1899,Georges Méliès,,,222757
Attelage d'un camion,Attelage d'un camion,1897,,,,1188678
Ateliers de La Ciotat,Ateliers de La Ciotat,1895,Louis Lumière,,,221807
Arroseur et arrosé,Arroseur et arrosé,1896,Francis Doublier,,,1184937
Borta med vinden,Gone with the Wind,1939,Victor Fleming,,,31381
Tintin - Faraos Cigarrer,Les Cigares Du Pharaon,1991,Stéphane Bernasconi,,,
Tintin i Amerika,Tintin en Amérique,1991,Stéphane Bernasconi,,,
"Arrival of McKinley's Funeral Train at Canton, Ohio","Arrival of McKinley's Funeral Train at Canton, Ohio",1901,,,,307969
"Arrest in Chinatown, San Francisco, Cal.","Arrest in Chinatown, San Francisco, Cal.",1897,,,,217257
Army Life - Mounted Infantry,Army Life - Mounted Infantry,1900,Robert W Paul,,,
Annabelle in Flag Dance,Annabelle in Flag Dance,1896,William K L Dickson,,,203305
Annabelle Serpentine Dance,Annabelle Serpentine Dance,1895,William Heise,,,
Annabelle Serpentine Dance,Annabelle Serpentine Dance,1897,James H White,,,
Annabelle Butterfly Dance,Annabelle Butterfly Dance,1894,William K L Dickson,,,229217
Annabelle Butterfly Dance,Annabelle Butterfly Dance,1895,William Heise,,,229217
Andalusian Dance,Andalusian Dance,1896,Henry Short,,,1319054
En julsaga,A Christmas Carol,2009,Robert Zemeckis,,,1067106
Den stora razzian,'G' Men ,1935,William Keighley,,,26393
Hjärta till salu,It Happened at the World's Fair,1963,Norman Taurog,,,57191
Björnön,Bear Island,1979,Don Sharp,,,78836
Efter regn kommer solsken,Till the Clouds Roll by,1946,Richard Whorf,,,39035
The Town,The Town,2010,Ben Affleck,,,840361
I Spit on Your Grave,I Spit on Your Grave,2010,Steven R Monroe,,,1242432
Gordon Highlanders,Gordon Highlanders,1899,William Walker,,,243280
Grandma's Reading Glass,Grandma's Reading Glass,1900,George Albert Smith,,,304
Exploding a Whitehead Torpedo,Exploding a Whitehead Torpedo,1900,,,,291160
Feeding Sea Gulls,Feeding Sea Gulls,1898,,,,225701
"Fast Mail, Northern Pacific Railroad","Fast Mail, Northern Pacific Railroad",1897,,,,218209
Lurline Baths,Lurline Baths,1897,,,,218416
Close View of the 'Brooklyn' Naval Parade,Close View of the 'Brooklyn' Naval Parade,1898,,,,238128
Duel au pistolet,Duel au pistolet,1896,Gabriel Veyre,,,350855
Entrée du cinématographe,Entrée du cinématographe,1896,Louis Lumière,,,345188
Esquimaux Game of Snap-the-Whip,Esquimaux Game of Snap-the-Whip,1901,,,,360548
Loading Baggage for Klondike,Loading Baggage for Klondike,1897,,,,218405
Lower Broadway,Lower Broadway,1902,Robert K Bonine,,,375046
"Lower Falls, Grand Canyon, Yellowstone Park","Lower Falls, Grand Canyon, Yellowstone Park ",1899,,,,242621
Tourists Going Round Yellowstone Park ,Tourists Going Round Yellowstone Park ,1899,,,,242963
"Overland Express Arriving at Helena, Mont.","Overland Express Arriving at Helena, Mont.",1900,,,,289375
Panorama from the Moving Boardwalk,Panorama from the Moving Boardwalk,1900,,,,309980
Skating in Central Park,Skating in Central Park,1902,,,,274855
Pan-American Exposition by Night,Pan-American Exposition by Night,1901,,,,232263
S.S. 'Queen' Loading,S.S. 'Queen' Loading,1897,,,,218569
U.S. Infantry Supported by Rough Riders at El Caney,U.S. Infantry Supported by Rough Riders at El Caney,1899,,,,247787
Son of Bambi Meets Godzilla,Son of Bambi Meets Godzilla,1999,Eric Fernandes,,,
"Mount Tamalpais R.R., No. 2","Mount Tamalpais R.R., No. 2",1898,,,,226162
"Mount Tamalpais R.R., No. 1","Mount Tamalpais R.R., No. 1",1898,,,,226161
An Extraordinary Cab Accident,An Extraordinary Cab Accident,1903,Robert W Paul,,,436
Ameta,Ameta,1903,,,,318981
Advance of Kansas Volunteers at Caloocan,Advance of Kansas Volunteers at Caloocan,1899,James H White,,,229955
Above the Limit ,Above the Limit ,1900,Frederick S Armitage,,,265
A Wake in 'Hell's Kitchen' ,A Wake in 'Hell's Kitchen' ,1900,,,,302014
A Tough Dance,A Tough Dance,1902,,,,376262
A Switchback Railway,A Switchback Railway,1898,,,,1321485
A Street Arab,A Street Arab,1898,,,,229753
A Storm at Sea,A Storm at Sea,1900,,,,310176
A Sneaky Boer,A Sneaky Boer,1901,,,,1090274
A Sea Cave Near Lisbon,A Sea Cave Near Lisbon,1896,,,,345904
A Railway Collision,A Railway Collision,1900,Walter R Booth,,,212460
A Morning Alarm,A Morning Alarm,1896,,,,203699
A Gesture Fight in Hester Street,A Gesture Fight in Hester Street,1900,,,,293175
A Dull Razor,A Dull Razor,1900,,,,273552
Scrat's Continental Crack-Up,Scrat's Continental Crack-Up,2010,"Steve Martino, Mike Thurmeier",,,1791596
Surviving Sid,Surviving Sid,2008,"Galen T Chu, Karen Disher",,,1338677
9th Infantry Boys' Morning Wash,9th Infantry Boys' Morning Wash,1898,,,,229190
24ème chasseurs alpins: leçon de boxe,24ème chasseurs alpins: leçon de boxe,1897,Louis Lumière,,,1188669
"10th U.S. Infantry, 2nd Battalion Leaving Cars","10th U.S. Infantry, 2nd Battalion Leaving Cars",1898,,,,229183
"Panorama of Orphans' Home, Galveston","Panorama of Orphans' Home, Galveston",1900,,,,323565
Panoramic View of the Champs Elysees ,Panoramic View of the Champs Elysees ,1900,,,,309983
Parade of Chinese,Parade of Chinese,1898,,,,226287
"Passaic Falls, New Jersey","Passaic Falls, New Jersey",1896,,,,229641
President McKinley Taking the Oath,President McKinley Taking the Oath,1901,,,,272253
Kobelkoff,Kobelkoff,1900,Nicolai Kobelkoff,,,
Police Patrol Wagon,Police Patrol Wagon,1897,,,,214011
Procession of Floats,Procession of Floats,1898,,,,226339
Street Car Chivalry,Street Car Chivalry,1903,,,,232719
Surf at Monterey,Surf at Monterey,1897,,,,218647
"Teddy, the Grizzly King","Teddy, the Grizzly King",1901,Edwin S Porter,,,248534
The Big Swallow,The Big Swallow,1901,James Williamson,,,202815
Santa Claus,Santa Claus,1898,George Albert Smith,,,242849
President Roosevelt at the Army-Navy Game,President Roosevelt at the Army-Navy Game,1901,,,,363907
Roosevelt's Rough Riders Embarking for Santiago,Roosevelt's Rough Riders Embarking for Santiago,1898,,,,229684
S.S. 'Williamette' Leaving for Klondike,S.S. 'Williamette' Leaving for Klondike,1897,,,,218570
S.S. 'Queen' Leaving Dock,S.S. 'Queen' Leaving Dock,1897,,,,218568
Rough Sea at Dover,Rough Sea at Dover,1895,Birt Acres,,,30
Return of Lifeboat,Return of Lifeboat,1897,James H White,,,218551
Pillow Fight,Pillow Fight,1897,William Heise,,,216080
"Darling, Do You Love Me?","Darling, Do You Love Me?",1968,Martin Sharp,,,
Sick Kitten,Sick Kitten,1903,George Albert Smith,,,469
Shooting the Chutes ,Shooting the Chutes ,1896,,,,203898
"Sheep Run, Chicago Stockyards","Sheep Run, Chicago Stockyards",1897,James H White,,,217798
Skirmish of Rough Riders ,Skirmish of Rough Riders ,1899,,,,247705
"Searching Ruins on Broadway, Galveston, for Dead Bodies","Searching Ruins on Broadway, Galveston, for Dead Bodies",1900,Albert E Smith,,,230746
Secretary Long and Captain Sigsbee ,Secretary Long and Captain Sigsbee ,1898,,,,229708
Loïe Fuller,Loïe Fuller,1902,Segundo de Chomón,,,345583
"Philadelphia Express, Jersey Central Railway","Philadelphia Express, Jersey Central Railway",1897,James H White,,,217722
Observation Train Following Parade,Observation Train Following Parade,1898,,,,239740
Pilot Boats in New York Harbor ,Pilot Boats in New York Harbor ,1899,,,,243491
"Old Mail Coach at Ford, U.S.P.O.","Old Mail Coach at Ford, U.S.P.O.",1903,,,,475857
Panorama de l'arrivée en gare de Perrache pris du train,Panorama de l'arrivée en gare de Perrache pris du train,1896,Louis Lumière,,,1182316
La charcuterie mécanique,La charcuterie mécanique,1895,Louis Lumière,,,212052
Panoramic View of Electric Tower from a Balloon,Panoramic View of Electric Tower from a Balloon,1901,,,,360867
Le Savant et le chimpanzé,Le Savant et le chimpanzé,1900,Georges Méliès,,,227438
Le Scieur de bois mélomane,Le Scieur de bois mélomane,1898,,,,1740514
Le Squelette joyeux,Le Squelette joyeux,1897,"Louis Lumière, Auguste Lumière",,,1740545
Le cauchemar,Le Cauchemar,1897,Georges Méliès,,,222946
Le menuet lilliputien,Le menuet lilliputien,1905,Georges Méliès,,,223725
Let Me Dream Again,Let Me Dream Again,1900,George Albert Smith,,,313
"Lick Observatory, Mt. Hamilton, Cal.","Lick Observatory, Mt. Hamilton, Cal.",1897,James H White,,,218397
Little Mischief,Little Mischief,1900,,,,285296
N.Y. Fire Department Returning,N.Y. Fire Department Returning,1903,,,,456
E-Baby,E-Baby,2003,Pleix,,,
Pineapple Express,Pineapple Express,2008,David Gordon Green,,,910936
Because the Night,Because the Night,2009,Alexandra Dahlström,,,1572147
Nudisten,Nudisten,2010,My Sandström,,,1813534
Christmas,Rozhdestvo,1997,Michail Aldasjin,,,130985
Sintel,Sintel,2010,Colin Levy,,,1727587
Persona,Persona,1966,Ingmar Bergman,,,60827
Flossie,Flossie,1974,Mac Ahlberg,,,72999
Life as We Know It,Life as We Know It,2010,Greg Berlanti,,,1055292
Svindlande affärer,Svindlande affärer,1985,"Peter Schildt, Janne \'Loffe\' Carlsson",,,90108
Ultramarines,"Ultramarines: A Warhammer 40,000 Movie ",2010,Martyn Pick,,,1679332
Dinner for Schmucks,Dinner for Schmucks,2010,Jay Roach,,,427152
Grown Ups,Grown Ups,2010,Dennis Dugan,,,1375670
Valhalla Rising,Valhalla Rising,2009,Nicolas Winding Refn,,,862467
Shocking Truth,Shocking Truth,2001,Alexa Wolff,,,276502
Som en Pascha,Som en Pascha,2010,Svante Tidholm,,,1590172
Wrong Turn 2: Dead End ,Wrong Turn 2: Dead End ,2007,Joe Lynch,,,804555
Unstoppable,Unstoppable,2010,Tony Scott,,,477080
Pagemaster - den magiska resan,The Pagemaster,1994,"Pixote Hunt, Joe Johnston, Maurice Hunt",,,110763
Armadillo,Armadillo,2010,Janus Metz Pedersen,,,1640680
Sanctum,Sanctum,2011,Alister Grierson,,,881320
Psalm 21,Psalm 21,2009,Fredrik Hiller,,,1322355
Splice,Splice,2009,Vincenzo Natali,,,1017460
Snilleskolan,Real Genius,1985,Martha Coolidge,,,89886
Från himmel till helvete,Return to Paradise,1998,Joseph Ruben,,,124595
Absolut makt,Absolute Power,1997,Clint Eastwood,,,118548
Bullitt,Bullitt,1968,Peter Yates,,,62765
The Children,The Children,2008,Tom Shankland,,,1172571
Mirrors 2,Mirrors 2,2010,Víctor García,,,1576699
Svärdet och spiran,The Pillars of the Earth,2010,Sergio Mimica-Gezzan,,,1453159
The Reef,The Reef,2010,Andrew Traucki,,,1320291
Stomp the Yard,Stomp the Yard,2007,Sylvain White,,,775539
Red,Red,2010,Robert Schwentke,,,1245526
Micke och Molle 2,The Fox and the Hound 2 ,2006,Jim Kammerud,,,465997
Pippi Långstrump starkast i världen,The New Adventures of Pippi Longstocking,1988,Ken Annakin,,,93744
Sebbe,Sebbe,2010,Babak Najafi,,,1548629
Dessa fantastiska män i sina flygande maskiner,"Those Magnificent Men in Their Flying Machines, or How I Flew from London to Paris in 25 hours 11 minutes",1965,Ken Annakin,,,59797
The Reader,The Reader,2008,Stephen Daldry,,,976051
I rymden finns inga känslor,I rymden finns inga känslor,2010,Andreas Öhman,,,1686313
Farsan,Farsan,2010,Josef Fares,,,1570966
Flyfishing,Flyfishing,2002,David L Williams,,,285103
Så vanns vilda västern,How the West Was Won,1962,"John Ford, Henry Hathaway, George Marshall",,,56085
Den lilla sjöjungfrun - Sagan om Ariel,The Little Mermaid: Ariel's Beginning,2008,Peggy Holmes,,,969647
Astro Boy,Astro Boy,2009,David Bowers,,,375568
Polis polis potatismos,Polis polis potatismos,1993,Per Berglund,,,107846
De skoningslösa,Unforgiven,1992,Clint Eastwood,,,105695
Max Manus,Max Manus,2008,"Joachim Rønning, Espen Sandberg",,,1029235
Man lever bara två gånger,You Only Live Twice,1967,Lewis Gilbert,,,62512
Bob & Carol & Ted & Alice ,Bob & Carol & Ted & Alice ,1969,Paul Mazursky,,,64100
Tre Amigos,¡Three Amigos!,1986,John Landis,,,92086
Knubbigt regn,Bowfinger,1999,Frank Oz,,,131325
Jailhouse Rock,Jailhouse Rock,1957,Richard Thorpe,,,50556
Morden i Midsomer - The Noble Art,Midsomer Murders - The Noble Art,2010,Richard Holthouse,,,1737508
Inception,Inception,2010,Christopher Nolan,,,1375666
Trollkarlens lärling,The Sorcerer's Apprentice,2010,Jon Turteltaub,,,963966
Vem mördade Kurt Cobain?,Kurt & Courtney,1998,Nick Broomfield,,,138563
The Expendables,The Expendables,2010,Sylvester Stallone,,,1320253
Knight and Day,Knight and Day,2010,James Mangold,,,1013743
Eclipse,The Twilight Saga: Eclipse,2010,David Slade,,,1325004
Nanny McPhee och den magiska skrällen,Nanny McPhee and the Big Bang,2010,Susanna White,,,1415283
Shrek - Nu och för alltid,Shrek Forever After,2010,Mike Mitchell (IV),,,892791
Primal Fear,Primal Fear,1996,Gregory Hoblit,,,117381
Arthur och Maltazard,Arthur et la vengeance de Maltazard,2009,Luc Besson,,,940657
Alice i Underlandet,Alice in Wonderland,2010,Tim Burton,,,1014759
Stuart Little 3: Call of the Wild,Stuart Little 3: Call of the Wild,2005,Audu Paden,,,472602
Hamburger Hill,Hamburger Hill,1987,John Irvin,,,93137
Igor,Igor,2008,Anthony Leondis,,,465502
Pat Garrett och Billy the Kid,Pat Garrett & Billy the Kid,1973,Sam Peckinpah,,,70518
Dumma mej,Despicable Me,2010,"Pierre Coffin, Chris Renaud",,,1323594
Toy Story 3,Toy Story 3,2010,Lee Unkrich,,,435761
År 2001 - ett rymdäventyr,2001: A Space Odyssey,1968,Stanley Kubrick,,,62622
Dear John,Dear John,2010,Lasse Hallström,,,989757
Boog & Elliot 2: Vilda vänner mot husdjuren,Open Season 2,2008,"Matthew O\'Callaghan, Todd Wilderman",,,1107365
The Other Guys,The Other Guys,2010,Adam McKay,,,1386588
Legend of the Boneknapper Dragon,Legend of the Boneknapper Dragon,2010,John Puglisi,,,1744776
B.O.B.'s Big Break,B.O.B.'s Big Break,2009,Robert Porter,,,1542599
Gruffalon,The Gruffalo,2009,"Max Lang, Jakob Schuh",,,1461418
Kung Fu Panda Holiday Special,Kung Fu Panda Holiday Special,2010,Tim Johnson,,,1702433
Den vilda flykten,Kakushi toride no san-akunin ,1958,Akira Kurosawa,,,51808
Flight of the Phoenix,Flight of the Phoenix,2004,John Moore (V),,,377062
Kommissarie Späck,Kommissarie Späck,2010,Fredde Granberg,,,1580798
The Wolfman,The Wolfman,2010,Joe Johnston,,,780653
Beautiful Boxer,Beautiful Boxer,2003,Ekachai Uekrongtham,,,401248
The Blind Side,The Blind Side,2009,John Lee Hancock,,,878804
En galen natt,Date Night,2010,Shawn Levy,,,1279935
Anvil! The Story of Anvil,Anvil! The Story of Anvil,2008,Sacha Gervasi,,,1157605
Keillers Park,Keillers Park,2006,Susanna Edwards,,,791315
Predators,Predators,2010,Nimród Antal,,,1424381
The A-Team,The A-Team,2010,Joe Carnahan,,,429493
Clash of the Titans,Clash of the Titans,2010,Louis Leterrier,,,800320
Alla vi barn i Bullerbyn,Alla vi barn i Bullerbyn,1986,Lasse Hallström,,,90610
Appleseed,Appurushîdo,2004,Shinji Aramaki,,,401233
Draktränaren,How to Train Your Dragon,2010,"Dean DeBlois, Chris Sanders",,,892769
My First Mister,My First Mister,2001,Christine Lahti,,,206963
I Love You Phillip Morris,I Love You Phillip Morris,2009,"Glenn Ficarra, John Requa",,,1045772
Snabba cash,Snabba cash,2010,Daniel Espinosa,,,1291652
The Book of Eli,The Book of Eli,2010,"Albert Hughes, Allen Hughes",,,1037705
Killers,Killers,2010,Robert Luketic,,,1103153
Casper's Spöklika Jul,Casper's Haunted Christmas,2000,Owen Hurley,,,284946
Striptease,Striptease,1996,Andrew Bergman,,,117765
Sauna,Sauna,2008,Antti-Jussi Annila,,,1124394
Iron Man 2,Iron Man 2,2010,Jon Favreau,,,1228705
Allt för min syster,My Sister's Keeper ,2009,Nick Cassavetes,,,1078588
Only the Lonely,Only the Lonely,1991,Chris Columbus,,,102598
Zerophilia,Zerophilia,2005,Martin Curland,,,421090
The Bounty Hunter,The Bounty Hunter,2010,Andy Tennant,,,1038919
Prince of Persia,Prince of Persia: The Sands of Time,2010,Mike Newell,,,473075
Den sista striden,Le dernier combat,1983,Luc Besson,,,85426
Det bästa lilla horhuset i Texas,The Best Little Whorehouse in Texas ,1982,Colin Higgins,,,83642
Wal-Mart: The High Cost of Low Price ,Wal-Mart: The High Cost of Low Price ,2005,Robert Greenwald,,,473107
Grålle - hemligheten på gården,Gråtass: Hemmeligheten på gården,2004,Trond Jacobsen,,,427314
Lords of Dogtown,Lords of Dogtown,2005,Catherine Hardwicke,,,355702
Kalle & chokladfabriken,Kalle & chokladfabriken,1983,,,,
Robin Hood,Robin Hood,2010,Ridley Scott,,,955308
D.E.B.S.,D.E.B.S.,2004,Angela Robinson,,,367631
Southland Tales,Southland Tales,2006,Richard Kelly,,,405336
Norbit,Norbit,2007,Brian Robbins,,,477051
United 93,United 93,2006,Paul Greengrass,,,475276
Legion,Legion,2010,Scott Charles Stewart,,,1038686
Legend of the Bog ,Legend of the Bog ,2009,Brendan Foley,,,928375
Last Days,Last Days,2005,Gus Van Sant,,,403217
A Wrinkle in Time,A Wrinkle in Time,2003,John Kent Harrison,,,290382
Hammarkullen eller Vi ses i Kaliningrad,Hammarkullen eller Vi ses i Kaliningrad,1997,Agneta Fagerström-Olsson,,,118332
Attack of the 50 Foot Woman,Attack of the 50 Foot Woman,1958,Nathan Juran,,,51380
Apmänniskan,The Ape,1940,William Nigh,,,32215
Till vildingarnas land,Where the Wild Things Are,2009,Spike Jonze,,,386117
99 Women,Der Heiße Tod,1969,Jesus Franco,,,63977
Instängd 2,The Descent: Part 2,2009,Jon Harris,,,1073105
The Spirit,The Spirit,2008,Frank Miller (II),,,831887
The Hunt for Gollum,The Hunt for Gollum,2009,Chris Bouchard,,,1323925
The Cube,The Cube,1969,Jim Henson,,,291118
Land Girls,The Land Girls,1998,David Leland,,,119494
8 ½ kvinnor,8 ½ Women,1999,Peter Greenaway,,,154443
The Fast and the Furious: Tokyo Drift,The Fast and the Furious: Tokyo Drift,2006,Justin Lin,,,463985
Kick-Ass,Kick-Ass,2010,Matthew Vaughn,,,1250777
Green Zone,Green Zone,2010,Paul Greengrass,,,947810
Länge leve Lennart,Länge leve Lennart,2005,Lisa Siwe,,,
9 to 5: Days in Porn,9 to 5: Days in Porn,2008,Jens Hoffmann,,,1278293
Jimi Hendrix,Jimi Hendrix,1973,"Joe Boyd, John Head, Gary Weis",,,70242
Something New,Something New,2006,Sanaa Hamri,,,437777
The Indian Runner,The Indian Runner,1991,Sean Penn,,,102116
Snow Buddies: Valpgänget i Alaska,Snow Buddies,2008,Robert Vince,,,1079448
Hundpensionatet,Hotel for Dogs,2009,Thor Freudenthal,,,785006
Edge of Darkness,Edge of Darkness,2010,Martin Campbell,,,1226273
Shutter Island,Shutter Island,2010,Martin Scorsese,,,1130884
Percy Jackson - Kampen om åskviggen,Percy Jackson & the Olympians: Lightning Thief,2010,Chris Columbus,,,814255
Popeye the Sailor Meets Sindbad the Sailor,Popeye the Sailor Meets Sindbad the Sailor,1936,Dave Fleischer,,,28119
Batty Baseball,Batty Baseball,1944,Tex Avery,,,36631
Det smakar fågel...,What's Buzzin' Buzzard?,1943,Tex Avery,,,36527
JCVD: I huvudet på Van Damme,JCVD,2008,Mabrouk El Mechri,,,1130988
Daybreakers,Daybreakers,2009,"Michael Spierig, Peter Spierig",,,433362
Star Trek,Star Trek,2009,JJ Abrams,,,796366
The Vanguard,The Vanguard,2008,Matthew Hope,,,977669
The Objective,The Objective,2008,Daniel Myrick,,,962711
Lumparkompisar,Stripes,1981,Ivan Reitman,,,83131
Fröken Chic,Fröken Chic,1959,Hasse Ekman,,,52831
Den fantastiska räven,Fantastic Mr. Fox,2009,Wes Anderson,,,432283
Showtime,Showtime,2002,Tom Dey,,,284490
The Men Who Stare at Goats ,The Men Who Stare at Goats ,2009,Grant Heslov,,,1234548
Utan spår,Untraceable,2008,Gregory Hoblit,,,880578
The Utopian Society,The Utopian Society,2003,John P Aguirre,,,331042
Planet 51,Planet 51,2009,Jorge Blanco,,,762125
Konsten att tänka negativt,Kunsten å tenke negativt,2006,Bård Breien,,,945356
Coraline och spegelns hemlighet,Coraline,2009,Henry Selick,,,327597
I lilleputtarnas land,The Merry Dwarfs,1929,Walt Disney,,,20164
Flickan med Svavelstickorna,The Little Matchgirl,2006,Roger Allers,,,816562
Den fula ankungen,The Ugly Duckling,1939,Jack Cutting,,,32071
"Danger! 50,000 Zombies!","Danger! 50,000 Zombies!",2004,Jon Riley,,,462673
Charlie vill fotograferas,Kid Auto Races at Venice,1914,Henry Lehrman,,,4189
Boat,Boat,2007,David Lynch,,,940502
Frankenstein,Frankenstein,1910,J Searle Dawley,,,1223
Mt. Head,Atama-yama,2002,Koji Yamamura,,,351382
Muntra musikanter,The Band Concert,1935,Wilfred Jackson,,,26094
Maximum Overdrive,Maximum Overdrive,1986,Stephen King,,,91499
Kautokeinoupproret,Kautokeino-opprøret,2008,Nils Gaup,,,479937
Precious,Precious,2009,Lee Daniels,,,929632
Defendor,Defendor,2009,Peter Stebbings,,,1303828
Surf's Up,Surf's Up,2007,"Ash Brannon, Chris Buck",,,423294
Prinsessan och grodan,The Princess and the Frog,2009,"Ron Clements, John Musker",,,780521
Vägen,The Road,2009,John Hillcoat,,,898367
The Cameraman's Revenge,Mest kinematograficheskogo operatora,1912,Wladyslaw Starewicz,,,1527
Hunger ,Hunger,1974,Peter Foldes,,,71636
Two Sisters,Entre deux soeurs,1991,Caroline Leaf,,,99508
Transformers: De besegrades hämnd,Transformers: Revenge of the Fallen,2009,Michael Bay,,,1055369
Själen är större än världen,Själen är större än världen,1985,Stefan Jarl,,,90027
Monsters vs. Aliens,Monsters vs. Aliens,2009,"Rob Letterman, Conrad Vernon",,,892782
Min galna farsa,Folks!,1992,Ted Kotcheff,,,104283
Grand Theft Parsons,Grand Theft Parsons,2003,David Caffrey,,,338075
The Imaginarium of Doctor Parnassus,The Imaginarium of Doctor Parnassus,2009,Terry Gilliam,,,1054606
Det regnar köttbullar,Cloudy With a Chance of Meatballs,2009,"Phil Lord, Chris Miller (II)",,,844471
Hachiko - En vän för livet,Hachi: A Dog's Tale,2009,Lasse Hallström,,,1028532
Araki: The Killing of a Japanese Photographer,Araki: The Killing of a Japanese Photographer,2003,Anders Morgenthaler,,,383890
Alive in Joburg,Alive in Joburg,2005,Neill Blomkamp,,,813999
A Work in Progress,A Work in Progress,2002,Wes Ball,,,385344
Banditernas överman,Two-Gun Mickey,1934,Ben Sharpsteen,,,25926
Sherlock Holmes,Sherlock Holmes,2009,Guy Ritchie,,,988045
"I Love You, Man","I Love You, Man",2009,John Hamburg,,,1155056
The Old Man and the Sea,The Old Man and the Sea,1999,Aleksandr Petrov,,,207639
Make It Happen,Make It Happen,2008,Darren Grant,,,822868
Deepwater,Deepwater,2005,David S Marfield,,,383304
Bad Girls Go to Hell,Bad Girls Go to Hell,1965,Doris Wishman,,,58933
2012: Doomsday,2012: Doomsday,2008,Nick Everhart,,,1132130
Riki-Oh: The Story of Ricky,Lik Wong,1991,Lam Ngai-Choi,,,102293
Monster Man,Monster Man,2003,Michael Davis,,,365513
Maria Full of Grace,Maria Full of Grace,2004,Joshua Marston,,,390221
Lady Snowblood,Shurayukihime,1973,Toshiya Fujita,,,158714
Wallander - Hemligheten,Wallander - Hemligheten,2006,Stephan Apelgren,,,906786
Blood Sisters,Blood Sisters,1987,Roberta Findlay,,,92673
Indecent Desires,Indecent Desires,1967,Doris Wishman,,,61561
Allan Quatermain and the Temple of Skulls,Allan Quatermain and the Temple of Skulls,2008,Mark Atkins,,,1219671
Passion in Hot Hollows,Passion in Hot Hollows,1969,Joseph W Sarno,,,62100
The Kiss of Her Flesh,The Kiss of Her Flesh,1968,Michael Findlay,,,125316
District 9,District 9,2009,Neill Blomkamp,,,1136608
Låt den rätte komma in,Låt den rätte komma in,2008,Tomas Alfredson,,,1139797
Gravestoned,Gravestoned,2009,Michael McWillie,,,1535999
The Chilling,The Chilling,1989,"Deland Nuse, Jack A Sunseri",,,97059
Catacombs,Catacombs,2007,"Tomm Coker, David Elliot",,,449471
Fisherman's Luck,Fisherman's Luck,1897,,,,217489
Fireboat 'New Yorker' in Action,Fireboat 'New Yorker' in Action,1903,,,,447135
Falls Of Minnehaha,Falls Of Minnehaha,1897,,,,217474
Eiffel Tower from Trocadero Palace,Eiffel Tower from Trocadero Palace,1900,"James H White, William Heise",,,302525
Repo! The Genetic Opera,Repo! The Genetic Opera,2008,Darren Lynn Bousman,,,963194
Wonder Woman,Wonder Woman,2009,Lauren Montgomery,,,1186373
17 Again,17 Again,2009,Burr Steers,,,974661
Wallander - Jokern,Wallander - Jokern,2006,"Stephan Apelgren, Anders Engström",,,860940
Bambi,Bambi,1942,David Hand,,,34492
Änglahund,All Dogs Go to Heaven,1989,Don Bluth,,,96787
Nicke Nyfiken,Curious George,2006,Matthew O\'Callaghan,,,381971
The Hurt Locker,The Hurt Locker,2008,Kathryn Bigelow,,,887912
Law Abiding Citizen,Law Abiding Citizen,2009,F Gary Gray,,,1197624
Skeleton Crew,Skeleton Crew,2009,"Tommi Lepola, Tero Molin",,,1297945
Caleb's Door,Caleb's Door,2009,Arthur Vincie,,,972786
Bad Biology,Bad Biology,2008,Frank Henenlotter,,,974977
Ghost Machine,Ghost Machine,2010,Chris Hartwill,,,1286147
The Last House on the Left,The Last House on the Left,2009,Dennis Iliadis,,,844708
Wallander - Blodsband,Wallander - Blodsband,2006,Stephan Apelgren,,,860939
Tingeling,Tinker Bell,2008,Bradley Raymond,,,823671
Fly Me to the Moon,Fly Me to the Moon,2008,Ben Stassen,,,486321
Hur jag vann kriget,How I Won the War,1967,Richard Lester,,,61789
Vårat gäng,Vårat gäng,1942,Gunnar Skoglund,,,35526
Austin Powers in Goldmember,Austin Powers in Goldmember,2002,Jay Roach,,,295178
Masters of Horror - Imprint,Masters of Horror - Imprint,2005,Takashi Miike,,,757061
Ön vid världens ände,The Island at the Top of the World,1974,Robert Stevenson,,,71671
LiTTLEMAN,LiTTLEMAN,2006,Keenen Ivory Wayans,,,430304
