DAIO - Data I/O Corporation,DAIO - Data I/O Corporation,DAIO - Data I/O Corporation,DAIO - Data I/O Corporation,DAIO - Data I/O Corporation,DAIO - Data I/O Corporation
2007-09-18,3.33,3.36,3.24,3.36,32788
2007-09-17,3.35,3.38,3.35,3.38,700
2007-09-14,3.5,3.53,3.38,3.38,4400
2007-09-13,3.49,3.52,3.34,3.39,3600
2007-09-12,3.49,3.49,3.31,3.39,11937
2007-09-11,3.13,3.36,3.13,3.36,30369
2007-09-10,3.11,3.16,3.1,3.16,6700
2007-09-07,3.18,3.18,3.05,3.13,2500
2007-09-06,3.121,3.19,2.98,3.12,18900
2007-09-05,3.24,3.24,3.1,3.17,13100
2007-09-04,3.26,3.3,3.26,3.26,1300
2007-08-31,3.31,3.31,3.25,3.3,6620
2007-08-30,3.21,3.31,3.21,3.3,5601
2007-08-29,3.18,3.3,3.16,3.26,15472
2007-08-28,3.21,3.32,3.16,3.26,1900
2007-08-27,3.26,3.33,3.12,3.29,5210
2007-08-24,3.4,3.44,3.28,3.44,1500
2007-08-23,3.4,3.45,3.26,3.45,4300
2007-08-22,3.11,3.49,3.1,3.46,18940
2007-08-21,3.31,3.31,3.15,3.22,9400
2007-08-20,3.23,3.37,3.15,3.25,18701
2007-08-17,3.39,3.39,3.3,3.35,3000
2007-08-16,3.31,3.39,3.31,3.39,10350
2007-08-15,3.33,3.35,3.25,3.31,1200
2007-08-14,3.49,3.49,3.39,3.49,3700
2007-08-13,3.37,3.4,3.34,3.4,4200
2007-08-10,3.27,3.43,3.27,3.43,18054
2007-08-09,3.48,3.48,3.39,3.48,10680
2007-08-08,3.39,3.51,3.39,3.51,4819
2007-08-07,3.26,3.5,3.26,3.5,12513
2007-08-06,3.47,3.47,3.23,3.45,6134
2007-08-03,3.38,3.39,3.38,3.39,1300
2007-08-02,3.233,3.39,3.233,3.39,6158
2007-08-01,3.4,3.51,3.36,3.51,7840
2007-07-31,3.52,3.53,3.49,3.53,12950
2007-07-30,3.45,3.55,3.36,3.52,2439
2007-07-27,3.36,3.59,3.2,3.49,23575
2007-07-26,3.45,3.64,3.45,3.64,14510
2007-07-25,3.492,3.61,3.45,3.46,73287
2007-07-24,3.538,3.63,3.538,3.63,3313
2007-07-23,3.63,3.7,3.48,3.65,17265
2007-07-20,3.63,3.69,3.63,3.69,3000
2007-07-19,3.35,3.72,3.35,3.72,14283
2007-07-18,3.28,3.4,3.26,3.35,21780
2007-07-17,3.131,3.28,3.131,3.28,23000
2007-07-16,3.16,3.19,3.02,3.16,15100
2007-07-13,3.19,3.22,3.19,3.22,10105
2007-07-12,3.24,3.24,3.22,3.24,5811
2007-07-11,3.24,3.26,3.212,3.24,2569
2007-07-10,3.24,3.26,3.24,3.26,1750
2007-07-09,3.26,3.36,3.26,3.29,14700
2007-07-06,3.24,3.26,3.24,3.25,2600
2007-07-05,3.38,3.38,3.2,3.26,10650
2007-07-03,3.3,3.3,3.21,3.29,2800
2007-07-02,3.27,3.29,3.23,3.27,5720
2007-06-29,3.35,3.35,3.33,3.35,2000
2007-06-28,3.3,3.35,3.3,3.35,9400
2007-06-27,3.3,3.34,3.3,3.34,14700
2007-06-26,3.27,3.29,3.22,3.24,2450
2007-06-25,3.26,3.32,3.26,3.32,253468
2007-06-22,3.36,3.41,3.3,3.34,14175
2007-06-21,3.27,3.37,3.27,3.37,10400
2007-06-20,3.4,3.401,3.35,3.401,5010
2007-06-19,3.38,3.4,3.34,3.4,2300
2007-06-18,3.15,3.26,3.15,3.26,3160
2007-06-15,3.324,3.33,3.22,3.22,9258
2007-06-14,3.33,3.35,3.29,3.33,4000
2007-06-13,3.27,3.31,3.2,3.31,26119
2007-06-12,3.24,3.26,3.2,3.24,9600
2007-06-11,3.34,3.38,3.16,3.32,6000
2007-06-08,3.39,3.45,3.34,3.45,48679
2007-06-07,3.5,3.58,3.32,3.46,22340
2007-06-06,3.54,3.54,3.21,3.42,16607
2007-06-05,3.61,3.61,3.5,3.51,58872
2007-06-04,3.77,3.78,3.5,3.57,81765
2007-06-01,4.05,4.09,3.66,3.766,94828
2007-05-31,4.1,4.15,4.09,4.11,13072
2007-05-30,4.23,4.26,4.16,4.26,6393
2007-05-29,4.28,4.28,4.17,4.21,8100
2007-05-25,4.31,4.34,4.16,4.25,20045
2007-05-24,4.38,4.38,4.19,4.28,22852
2007-05-23,4.2,4.43,4.2,4.41,74692
2007-05-22,4,4.18,4,4.18,31559
2007-05-21,4.2,4.2,3.91,4.02,88898
2007-05-18,3.69,3.93,3.64,3.89,34771
2007-05-17,3.6,3.77,3.6,3.77,29410
2007-05-16,3.72,4.01,3.6,3.62,32020
2007-05-15,3.59,3.65,3.5,3.55,5039
2007-05-14,3.58,3.68,3.42,3.67,6463
2007-05-11,3.45,3.61,3.45,3.61,27057
2007-05-10,3.6,3.6,3.41,3.48,17985
2007-05-09,3.46,3.66,3.3,3.59,24310
2007-05-08,3.23,3.5,3.23,3.5,28407
2007-05-07,3.2,3.3,3.2,3.3,2543
2007-05-04,3.23,3.28,3.23,3.28,3000
2007-05-03,3.18,3.36,3.18,3.36,8083
2007-05-02,3.15,3.29,3.15,3.26,5133
2007-05-01,3.23,3.24,3.23,3.24,5828
2007-04-30,3.18,3.35,3.18,3.31,6354
2007-04-27,3.14,3.36,3.14,3.31,12141
2007-04-26,3.39,3.39,3.36,3.39,28648
2007-04-25,3.5,3.5,3.4,3.49,10400
2007-04-24,3.451,3.49,3.451,3.49,3555
2007-04-23,3.49,3.49,3.48,3.49,700
2007-04-20,3.4,3.5,3.4,3.5,18700
2007-04-19,3.39,3.43,3.38,3.41,5227
2007-04-18,3.23,3.48,3.07,3.45,21161
2007-04-17,3.41,3.5,3.41,3.5,9013
2007-04-16,3.44,3.48,3.4,3.47,6720
2007-04-13,3.46,3.5,3.37,3.5,7000
2007-04-12,3.47,3.58,3.4,3.44,17600
2007-04-11,3.54,3.57,3.54,3.57,2600
2007-04-10,3.5,3.54,3.49,3.54,7700
2007-04-09,3.43,3.57,3.43,3.51,5200
2007-04-05,3.48,3.51,3.42,3.51,1400
2007-04-04,3.44,3.5,3.4,3.5,6380
2007-04-03,3.53,3.53,3.4,3.44,7713
2007-04-02,3.53,3.6,3.52,3.58,3200
2007-03-30,3.53,3.56,3.51,3.56,2100
2007-03-29,3.49,3.58,3.49,3.55,1600
2007-03-28,3.54,3.58,3.54,3.58,500
2007-03-27,3.55,3.57,3.55,3.57,1900
2007-03-26,3.53,3.55,3.49,3.54,3436
2007-03-23,3.6,3.6,3.38,3.59,18556
2007-03-22,3.61,3.69,3.61,3.69,5479
2007-03-21,3.57,3.61,3.57,3.61,4200
2007-03-20,3.59,3.61,3.58,3.61,2000
2007-03-19,3.6,3.62,3.59,3.62,8031
2007-03-16,3.58,3.61,3.54,3.61,7877
2007-03-15,3.65,3.69,3.6,3.6,10677
2007-03-14,3.699,3.699,3.632,3.699,5385
2007-03-13,3.56,3.66,3.56,3.64,3562
2007-03-12,3.59,3.73,3.59,3.68,14100
2007-03-09,3.57,3.75,3.57,3.65,3300
2007-03-08,3.66,3.83,3.53,3.6,35126
2007-03-07,3.79,3.79,3.53,3.68,23500
2007-03-06,4.22,4.22,3.799,4.22,47919
2007-03-05,3.66,3.79,3.66,3.79,6900
2007-03-02,3.67,3.67,3.45,3.52,9226
2007-03-01,3.79,3.8,3.6,3.8,24859
2007-02-28,3.83,3.95,3.75,3.95,19297
2007-02-27,4,4,3.84,4,46125
2007-02-26,4,4.07,3.99,3.99,33098
2007-02-23,4.07,4.1,3.94,4.1,7698
2007-02-22,3.97,4.09,3.96,4.09,2900
2007-02-21,3.9,4.05,3.88,4,12698
2007-02-20,3.85,3.901,3.68,3.85,24642
2007-02-16,3.7,3.9,3.68,3.87,37294
2007-02-15,3.66,3.72,3.66,3.66,8448
2007-02-14,3.48,3.69,3.48,3.69,21099
2007-02-13,3.63,3.65,3.45,3.6,22657
2007-02-12,3.54,3.69,3.5,3.58,23200
2007-02-09,3.64,3.7,3.43,3.7,20578
2007-02-08,3.632,3.74,3.632,3.74,5701
2007-02-07,3.59,3.751,3.59,3.75,14600
2007-02-06,3.53,3.73,3.53,3.66,17981
2007-02-05,3.59,3.73,3.58,3.61,4402
2007-02-02,3.7,3.73,3.61,3.67,4400
2007-02-01,3.73,3.74,3.73,3.73,4739
2007-01-31,3.67,3.73,3.55,3.73,5446
2007-01-30,3.6,3.69,3.51,3.69,2500
2007-01-29,3.69,3.69,3.53,3.63,10200
2007-01-26,3.63,3.7,3.6,3.682,9900
2007-01-25,3.65,3.67,3.6,3.67,2100
2007-01-24,3.554,3.7,3.53,3.69,6321
2007-01-23,3.71,3.72,3.6,3.66,7871
2007-01-22,3.66,3.72,3.6,3.72,6498
2007-01-19,3.57,3.72,3.57,3.7,8087
2007-01-18,3.65,3.72,3.55,3.6,11699
2007-01-17,3.66,3.76,3.6,3.69,9037
2007-01-16,3.66,3.75,3.51,3.7,16193
2007-01-12,3.65,3.65,3.2,3.63,6535
2007-01-11,3.55,3.74,3.55,3.61,9070
2007-01-10,3.56,3.61,3.54,3.58,6300
2007-01-09,3.47,3.58,3.37,3.57,11034
2007-01-08,3.65,3.7,3.41,3.6,2671
2007-01-05,3.6,3.73,3.45,3.71,6900
2007-01-04,3.57,3.61,3.55,3.61,22100
2007-01-03,3.54,3.78,3.53,3.61,5200
2006-12-29,3.55,3.69,3.55,3.6,9100
2006-12-28,3.65,3.75,3.61,3.63,5045
2006-12-27,3.66,3.85,3.56,3.75,10442
2006-12-26,3.7,3.75,3.61,3.61,2100
2006-12-22,3.69,3.69,3.57,3.66,9137
2006-12-21,3.64,3.85,3.58,3.72,7602
2006-12-20,3.83,3.83,3.61,3.61,10376
2006-12-19,3.7,3.8,3.6,3.76,8467
2006-12-18,3.54,3.75,3.53,3.75,7455
2006-12-15,3.7,3.82,3.54,3.58,10749
2006-12-14,3.71,3.75,3.58,3.6,11700
2006-12-13,3.58,3.75,3.58,3.64,9100
2006-12-12,3.62,3.75,3.4,3.61,17450
2006-12-11,3.7,3.74,3.5,3.648,5085
2006-12-08,3.69,3.83,3.53,3.53,10110
2006-12-07,3.58,3.68,3.58,3.68,4300
2006-12-06,3.52,3.61,3.52,3.56,3800
2006-12-05,3.46,3.95,3.46,3.6,57703
2006-12-04,3.52,3.59,3.51,3.54,11750
2006-12-01,3.58,3.58,3.4,3.54,3300
2006-11-30,3.58,3.6,3.58,3.6,4200
2006-11-29,3.57,3.57,3.42,3.532,6700
2006-11-28,3.53,3.53,3.37,3.47,8606
2006-11-27,3.54,3.58,3.45,3.48,2099
2006-11-24,3.56,3.56,3.5,3.56,2000
2006-11-22,3.49,3.57,3.28,3.565,12850
2006-11-21,3.44,3.46,3.33,3.41,8370
2006-11-20,3.42,3.49,3.28,3.39,9649
2006-11-17,3.43,3.44,3.38,3.44,3301
2006-11-16,3.39,3.45,3.24,3.4,16329
2006-11-15,3.15,3.29,3.12,3.25,27050
2006-11-14,3.11,3.39,2.92,3.1,54721
2006-11-13,3.48,3.57,3.08,3.1,42241
2006-11-10,3.41,3.45,3.29,3.39,15245
2006-11-09,3.37,3.89,3.37,3.45,93160
2006-11-08,3.34,3.37,3.34,3.37,500
2006-11-07,3.45,3.5,3.35,3.38,7814
2006-11-06,3.51,3.51,3.33,3.43,4975
2006-11-03,3.42,3.75,3.31,3.43,11968
2006-11-02,3.58,3.58,3.36,3.39,8113
2006-11-01,3.49,3.5,3.38,3.4,10061
2006-10-31,3.47,3.49,3.37,3.41,53030
2006-10-30,3.69,3.75,3.47,3.52,96891
2006-10-27,3.65,3.65,3.6,3.65,4150
2006-10-26,3.6,3.85,3.6,3.75,6100
2006-10-25,3.78,3.79,3.75,3.79,19560
2006-10-24,3.74,3.84,3.7,3.84,10858
2006-10-23,3.99,3.99,3.63,3.789,18572
2006-10-20,3.37,3.94,3.37,3.85,31965
2006-10-19,3.4,3.756,3.4,3.756,5600
2006-10-18,3.484,3.55,3.484,3.55,29825
2006-10-17,3.55,3.55,3.51,3.55,11000
2006-10-16,3.84,3.88,3.31,3.66,41200
2006-10-13,3.75,3.87,3.75,3.8,3100
2006-10-12,3.71,3.95,3.64,3.75,26600
2006-10-11,3.65,3.79,3.65,3.79,9600
2006-10-10,3.66,3.84,3.66,3.84,2330
2006-10-09,3.661,3.802,3.661,3.802,15503
2006-10-06,3.65,3.72,3.65,3.72,3490
2006-10-05,3.57,3.77,3.57,3.69,9000
2006-10-04,3.68,3.75,3.62,3.67,2200
2006-10-03,3.74,3.753,3.67,3.67,18536
2006-10-02,3.65,3.76,3.57,3.71,6776
2006-09-29,3.61,3.8,3.61,3.75,9585
2006-09-28,3.38,3.7,3.38,3.58,4000
2006-09-27,3.68,3.75,3.44,3.47,43105
2006-09-26,3.5,3.7,3.33,3.59,6600
2006-09-25,3.38,3.47,3.35,3.47,4048
2006-09-22,3.42,3.42,3.21,3.41,6138
2006-09-21,3.359,3.4,3.359,3.4,250
2006-09-20,3.31,3.38,3.28,3.38,11722
2006-09-19,3.52,3.52,3.38,3.38,3600
2006-09-18,3.42,3.42,3.31,3.4,12200
2006-09-15,3.52,3.67,3.4,3.54,6574
2006-09-14,3.58,3.73,3.51,3.73,11600
2006-09-13,3.508,3.73,3.508,3.73,6414
2006-09-12,3.5,3.53,3.48,3.5,8800
2006-09-11,3.51,3.51,3.51,3.51,1900
2006-09-08,3.53,3.54,3.53,3.54,300
2006-09-07,3.7,3.7,3.54,3.6,2700
2006-09-06,3.64,3.76,3.6,3.74,10400
2006-09-05,3.52,3.71,3.4,3.66,14222
2006-09-01,3.45,3.72,3.35,3.57,12400
2006-08-31,3.64,3.7,3.44,3.7,6281
2006-08-30,3.59,3.72,3.58,3.7,11201
2006-08-29,3.25,3.57,3.25,3.47,21761
2006-08-28,3.23,3.25,3.1,3.2,8201
2006-08-25,3.2,3.23,3.09,3.17,2100
2006-08-24,3.19,3.25,3.09,3.18,12950
2006-08-23,3.12,3.12,3.1,3.12,23913
2006-08-22,3.141,3.19,3.13,3.19,10137
2006-08-21,3.2,3.2,3.2,3.2,100
2006-08-18,3.18,3.22,3.16,3.22,2100
2006-08-17,3.14,3.24,3.13,3.17,5300
2006-08-16,3.19,3.24,3.08,3.13,7450
2006-08-15,3.21,3.21,3.11,3.13,3300
2006-08-14,3.12,3.24,3.11,3.11,3500
2006-08-11,3.15,3.15,3.1,3.1,1200
2006-08-10,3.13,3.32,3.13,3.32,7407
2006-08-09,3.12,3.22,3.1,3.14,5800
2006-08-08,3.26,3.26,3.08,3.18,13050
2006-08-07,3.061,3.29,3.061,3.29,10800
2006-08-04,3.22,3.3,3.19,3.25,17175
2006-08-03,3.27,3.27,3.16,3.26,4133
2006-08-02,3.204,3.28,3.204,3.28,15464
2006-08-01,3.23,3.25,3.08,3.17,6870
2006-07-31,3.21,3.28,3.03,3.19,9099
2006-07-28,3.03,3.28,2.79,3.28,20839
2006-07-27,3.12,3.34,2.81,3.14,22304
2006-07-26,3.17,3.21,2.85,3.15,17950
2006-07-25,3.03,3.33,3.03,3.25,11660
2006-07-24,2.96,3.08,2.95,3.08,3460
2006-07-21,2.94,3.05,2.93,3.03,17600
2006-07-20,2.93,3.04,2.93,3.04,1900
2006-07-19,3.001,3.07,2.97,3.06,8150
2006-07-18,3.03,3.08,2.96,3.08,3405
2006-07-17,2.87,3.1,2.82,2.99,14899
2006-07-14,3.01,3.12,2.94,2.95,9458
2006-07-13,3.16,3.16,3.02,3.12,8700
2006-07-12,3.05,3.05,2.981,3.05,8246
2006-07-11,3.03,3.05,2.97,3.05,7700
2006-07-10,2.96,3.06,2.89,2.98,8800
2006-07-07,3.03,3.07,2.87,3.04,27908
2006-07-06,2.92,3.07,2.91,3,57657
2006-07-05,3.05,3.09,3,3.04,16493
2006-07-03,3.09,3.12,3.09,3.12,200
2006-06-30,2.96,3.12,2.96,3.08,13801
2006-06-29,3.06,3.08,3,3.08,14950
2006-06-28,3,3.05,3,3,6600
2006-06-27,3.08,3.08,2.9,2.9,5793
2006-06-26,3.1,3.1,3,3.05,20000
2006-06-23,3.07,3.09,3.07,3.09,600
2006-06-22,3.1,3.1,3,3.06,17655
2006-06-21,3.07,3.14,2.94,3,54810
2006-06-20,3.15,3.16,3.12,3.13,14300
2006-06-19,3.07,3.17,3.07,3.12,25478
2006-06-16,3.1,3.149,3.09,3.149,10064
2006-06-15,3.12,3.21,3.09,3.16,18786
2006-06-14,3.08,3.14,3,3.06,40415
2006-06-13,3.22,3.4,2.75,2.95,337923
2006-06-12,3.36,3.58,3.35,3.35,42851
2006-06-09,3.92,3.94,3.2,3.36,520844
2006-06-08,3.9,4.25,3.79,3.85,11500
2006-06-07,3.9,3.97,3.81,3.95,9200
2006-06-06,3.86,3.99,3.8,3.99,7300
2006-06-05,4.13,4.24,3.27,4,10114
2006-06-02,4.05,4.11,4.05,4.11,9480
2006-06-01,3.93,4.07,3.93,4.07,2700
2006-05-31,3.874,4.03,3.874,4.03,4147
2006-05-30,3.9,4,3.84,3.98,5320
2006-05-26,3.782,3.99,3.782,3.99,7842
2006-05-25,3.77,3.981,3.76,3.95,18225
2006-05-24,3.947,3.96,3.947,3.96,13127
2006-05-23,3.66,3.93,3.6,3.93,12196
2006-05-22,3.8,3.8,3.5,3.7,70247
2006-05-19,3.86,3.9,3.75,3.85,22639
2006-05-18,3.7,3.86,3.7,3.86,6920
2006-05-17,3.8,3.83,3.74,3.83,36316
2006-05-16,3.87,3.89,3.5,3.75,31410
2006-05-15,3.83,3.87,3.8,3.81,10050
2006-05-12,3.67,3.84,3.5,3.81,5912
2006-05-11,3.71,3.8,3.7,3.75,20228
2006-05-10,3.47,3.72,3.47,3.72,12634
2006-05-09,3.7,3.72,3.62,3.72,8304
2006-05-08,3.75,3.76,3.32,3.75,9701
2006-05-05,3.68,3.78,3.53,3.73,12405
2006-05-04,3.62,3.8,3.62,3.8,22451
2006-05-03,3.88,3.92,3.75,3.77,17695
2006-05-02,3.71,3.9,3.6,3.85,47238
2006-05-01,3.63,3.88,3.63,3.81,83824
2006-04-28,3.49,3.67,3.36,3.65,73586
2006-04-27,3.82,4.15,3.278,3.43,219806
2006-04-26,4,4.47,4,4.46,37868
2006-04-25,4.411,4.59,4.39,4.59,27845
2006-04-24,4.4,4.42,4.28,4.42,28053
2006-04-21,4.25,4.39,4.2,4.39,9690
2006-04-20,4.31,4.41,4.3,4.4,4600
2006-04-19,4.301,4.42,4.301,4.41,6705
2006-04-18,4.44,4.47,4.43,4.47,8800
2006-04-17,4.45,4.49,4.3,4.45,13476
2006-04-13,4.54,4.54,4.39,4.5,5124
2006-04-12,4.49,4.57,4.49,4.56,1600
2006-04-11,4.51,4.58,4.49,4.58,5400
2006-04-10,4.59,4.59,4.534,4.59,2489
2006-04-07,4.501,4.59,4.5,4.59,1700
2006-04-06,4.5,4.68,4.5,4.59,11897
2006-04-05,4.42,4.62,4.42,4.62,17013
2006-04-04,4.53,4.63,4.42,4.63,27550
2006-04-03,4.63,4.67,4.436,4.6,28200
2006-03-31,4.41,4.63,4.4,4.53,80558
2006-03-30,4.19,4.32,4.08,4.32,65046
2006-03-29,3.91,4.19,3.89,4.17,17221
2006-03-28,4.031,4.031,3.839,3.99,49120
2006-03-27,4.11,4.11,3.96,4.08,5802
2006-03-24,4.09,4.14,4.07,4.14,22450
2006-03-23,3.98,4.11,3.98,4.1,5368
2006-03-22,3.79,4,3.7,4,41700
2006-03-21,3.9,3.9,3.8,3.85,28500
2006-03-20,4,4,3.77,3.9,97450
2006-03-17,4.03,4.054,3.85,4.054,146899
2006-03-16,4.121,4.27,3.99,4.11,61746
2006-03-15,4.1,4.17,4.06,4.17,16975
2006-03-14,4.09,4.17,4.05,4.17,17300
2006-03-13,4.17,4.2,4.06,4.07,3495
2006-03-10,4.02,4.2,4.02,4.2,12464
2006-03-09,4.07,4.18,4.05,4.18,20807
2006-03-08,4.2,4.2,4.1,4.14,74538
2006-03-07,4.11,4.16,4.04,4.16,4375
2006-03-06,4.08,4.17,4.08,4.13,27035
2006-03-03,4.2,4.2,4.1,4.16,29965
2006-03-02,3.86,4.21,3.86,4.21,72150
2006-03-01,4.07,4.14,4,4.11,24432
2006-02-28,3.71,4.13,3.71,4.11,22330
2006-02-27,4.1,4.15,3.93,4.1,30325
2006-02-24,3.96,4.18,3.96,4.12,20417
2006-02-23,4.05,4.18,3.72,4.12,150607
2006-02-22,4,4.18,4,4.06,126829
2006-02-21,5.1,5.1,3.94,4.3,160587
2006-02-17,5,5.2,4.923,5.03,56267
2006-02-16,5.08,5.09,4.92,5,26839
2006-02-15,4.7,5.05,4.7,4.95,53879
2006-02-14,4.88,4.89,4.788,4.788,1777
2006-02-13,4.9,4.9,4.72,4.87,5790
2006-02-10,5,5,4.64,4.9,24214
2006-02-09,4.79,5.1,4.74,4.87,78760
2006-02-08,4.85,4.85,4.54,4.71,19595
2006-02-07,4.52,4.8,4.52,4.63,16879
2006-02-06,4.67,4.79,4.53,4.68,12816
2006-02-03,4.65,4.7,4.55,4.7,4930
2006-02-02,4.66,4.82,4.56,4.7,13257
2006-02-01,4.84,4.85,4.75,4.85,2085
2006-01-31,4.751,4.85,4.72,4.85,18200
2006-01-30,4.81,4.97,4.75,4.85,25945
2006-01-27,4.79,4.92,4.75,4.88,19000
2006-01-26,4.64,5,4.54,4.69,110411
2006-01-25,4.46,4.61,4.37,4.58,8850
2006-01-24,4.35,4.53,4.35,4.53,42961
2006-01-23,4.4,4.5,4.14,4.4,33342
2006-01-20,4.46,4.62,4.35,4.4,62142
2006-01-19,4.65,4.79,4.5,4.51,62754
2006-01-18,4.91,4.95,4.64,4.65,64941
2006-01-17,5.09,5.09,4.78,4.9,43483
2006-01-13,4.97,5.35,4.77,4.87,122910
2006-01-12,5.35,5.48,4.87,5.01,94711
2006-01-11,4.08,5.6,3.99,5.2,583158
2006-01-10,4.22,4.89,4.1,4.14,182620
2006-01-09,4.23,4.25,4.115,4.24,31580
2006-01-06,4.08,4.25,4.08,4.18,24340
2006-01-05,4.13,4.17,4.12,4.13,4900
2006-01-04,4.23,4.24,4.06,4.2,20430
2006-01-03,4.17,4.339,4.13,4.19,10674
2005-12-30,4.25,4.28,4.113,4.2,6700
2005-12-29,4.2,4.28,4.11,4.28,30525
2005-12-28,4.18,4.32,4.13,4.25,17989
2005-12-27,4.25,4.35,4.06,4.23,26150
2005-12-23,4.05,4.47,4.05,4.26,59370
2005-12-22,4.24,4.24,4,4.04,26980
2005-12-21,4.2,4.47,4.2,4.2,42322
2005-12-20,4.27,4.48,4.2,4.2,66313
2005-12-19,4.751,4.751,4.29,4.751,44871
2005-12-16,4.83,4.94,4.47,4.47,92364
2005-12-15,4.35,4.94,4.35,4.94,235418
2005-12-14,4,4.36,3.8,4.27,148680
2005-12-13,4.37,4.4,4.09,4.4,370461
2005-12-12,3.02,5,3.01,4.67,857436
2005-12-09,2.95,2.97,2.92,2.97,5346
2005-12-08,2.94,3.06,2.86,2.95,28820
2005-12-07,2.89,2.93,2.76,2.8,15125
2005-12-06,2.82,2.9,2.76,2.78,41754
2005-12-05,2.75,2.82,2.7,2.74,16112
2005-12-02,2.67,2.82,2.67,2.82,57402
2005-12-01,2.75,2.75,2.6,2.61,9125
2005-11-30,2.55,2.6,2.5,2.58,17505
2005-11-29,2.58,2.58,2.5,2.52,5200
2005-11-28,2.53,2.58,2.42,2.53,4500
2005-11-25,2.5,2.55,2.5,2.55,2900
2005-11-23,2.54,2.54,2.5,2.53,6000
2005-11-22,2.6,2.6,2.5,2.55,6450
2005-11-21,2.6,2.6,2.51,2.59,10520
2005-11-18,2.44,2.56,2.44,2.53,30150
2005-11-17,2.34,2.44,2.34,2.44,20050
2005-11-16,2.34,2.45,2.34,2.45,8857
2005-11-15,2.45,2.52,2.34,2.45,11388
2005-11-14,2.45,2.57,2.45,2.49,11350
2005-11-11,2.43,2.5,2.33,2.42,3700
2005-11-10,2.3,2.49,2.3,2.45,5500
2005-11-09,2.38,2.44,2.33,2.39,8600
2005-11-08,2.45,2.45,2.35,2.372,3400
2005-11-07,2.42,2.47,2.34,2.43,2900
2005-11-04,2.35,2.51,2.33,2.41,11900
2005-11-03,2.5,2.56,2.379,2.48,15500
2005-11-02,2.58,2.58,2.42,2.46,16275
2005-11-01,2.62,2.62,2.42,2.548,14400
2005-10-31,2.55,2.6,2.52,2.6,10100
2005-10-28,2.49,2.73,2.41,2.49,9303
2005-10-27,2.37,2.39,2.08,2.36,10173
2005-10-26,2.25,2.28,2.25,2.28,400
2005-10-25,2.3,2.3,2.26,2.3,2400
2005-10-24,2.19,2.44,2.19,2.32,10500
2005-10-21,2.4,2.44,2.24,2.3,10824
2005-10-20,2.39,2.42,2.24,2.36,3350
2005-10-19,2.45,2.45,2.32,2.43,2600
2005-10-18,2.27,2.466,2.21,2.33,14535
2005-10-17,2.17,2.33,2.15,2.26,13240
2005-10-13,2.31,2.38,2.15,2.36,10900
2005-10-12,2.3,2.36,2.22,2.32,7800
2005-10-11,2.28,2.37,2.2,2.37,9476
2005-10-07,2.27,2.35,2.27,2.35,2300
2005-10-05,2.48,2.48,2.27,2.36,15350
2005-10-04,2.6,2.78,2.48,2.48,10800
2005-10-03,2.451,2.58,2.451,2.58,10100
2005-09-30,2.4,2.45,2.4,2.45,2790
2005-09-29,2.428,2.436,2.42,2.436,1426
2005-09-28,2.25,2.44,2.25,2.44,14338
2005-09-27,2.29,2.43,2.28,2.34,3800
2005-09-26,2.27,2.41,2.27,2.41,14615
2005-09-23,2.45,2.45,2.34,2.34,1000
2005-09-22,2.32,2.32,2.3,2.3,2100
2005-09-19,2.27,2.38,2.27,2.29,11400
2005-09-16,2.35,2.39,2.25,2.29,28605
2005-09-15,2.46,2.46,2.369,2.37,31500
2005-09-14,2.37,2.37,2.35,2.36,5850
2005-09-13,2.49,2.49,2.32,2.37,21572
2005-09-12,2.201,2.31,2.201,2.31,400
2005-09-09,2.32,2.39,2.32,2.37,11100
2005-09-08,2.31,2.34,2.31,2.34,2524
2005-09-07,2.32,2.35,2.31,2.35,4757
2005-09-06,2.3,2.31,2.3,2.31,5175
2005-09-02,2.3,2.35,2.3,2.3,4642
2005-09-01,2.31,2.35,2.31,2.34,7088
2005-08-31,2.31,2.339,2.3,2.32,6274
2005-08-30,2.311,2.311,2.3,2.311,4140
2005-08-29,2.306,2.306,2.306,2.306,340
2005-08-26,2.32,2.37,2.32,2.37,6428
2005-08-25,2.37,2.37,2.37,2.37,100
2005-08-24,2.3,2.34,2.26,2.34,8460
2005-08-23,2.35,2.39,2.35,2.35,6820
2005-08-22,2.31,2.354,2.31,2.354,3200
2005-08-19,2.38,2.41,2.33,2.33,6135
2005-08-18,2.41,2.42,2.32,2.33,16847
2005-08-17,2.42,2.42,2.41,2.42,1587
2005-08-16,2.5,2.5,2.38,2.38,8298
2005-08-15,2.5,2.5,2.32,2.42,3600
2005-08-12,2.47,2.47,2.29,2.4,37905
2005-08-11,2.5,2.5,2.45,2.45,6200
2005-08-10,2.5,2.54,2.47,2.48,18738
2005-08-09,2.45,2.5,2.281,2.5,6800
2005-08-08,2.55,2.58,2.471,2.5,3214
2005-08-05,2.7,2.7,2.54,2.54,18200
2005-08-04,2.43,2.54,2.43,2.5,3100
2005-08-03,2.5,2.51,2.48,2.51,3600
2005-08-02,2.62,2.62,2.5,2.5,16759
2005-08-01,2.7,2.7,2.55,2.55,36461
2005-07-29,2.68,2.77,2.68,2.75,30531
2005-07-28,2.738,2.78,2.738,2.78,1100
2005-07-27,2.79,2.79,2.68,2.78,20046
2005-07-26,2.7,2.8,2.69,2.69,13201
2005-07-25,2.76,2.78,2.7,2.72,10500
2005-07-22,2.661,2.79,2.661,2.79,3900
