RSH - RadioShack Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Net Income (Continuing Operations),297.9,368,166.7,263.4,298.5,337.2,269.9,73.4,236.8,189.4,205,190.7,67.1,-110.8,-392,-392,		,55.9,61.6,59.8,120.6,69.7,75.4,77.1,145.8,46.5,41.2,43.8,35.2,57.6,51.8,44.9,109.1,56.6,57.5,57.1,127.3,68.3,68.3,69.7,130.9,55,52.3,108.5,54.1,8.4,-3.2,-16.3,84.5,42.5,47,46.3,101,38.8,41.4,50.2,59,43.1,48.8,37.4,75.7,50.1,49.5,42.8,53.1,31.4,23.5,0.3,11.9,-4.7,-16.2,-31.4,-58.5,-34.8,-53.4,-112.4,-191.4
Net Income (Discontinued Operations),0,0,0,0,0,0,0,0,0,0,0,15.4,5.1,-28.6,-8.2,-13,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.2,3.9,3.7,1.4,0,0,-3.3,-4.8,-15.7,-4.8,-8.5,0.3,0,0
Net Income,297.9,368,166.7,263.4,298.5,337.2,267,73.4,236.8,189.4,205,206.1,72.2,-139.4,-400.2,-400.20000000000005,		,55.9,61.6,59.8,120.6,69.7,75.4,77.1,145.8,46.5,41.2,43.8,35.2,57.6,51.8,44.9,109.1,56.6,57.5,57.1,127.3,68.3,68.3,69.7,130.9,55,52.3,108.5,51.2,8.4,-3.2,-16.3,84.5,42.5,47,46.3,101,38.8,41.4,50.2,59,43.1,48.8,37.4,75.7,50.1,53,46,57,35.1,24.9,0.3,11.9,-8,-21,-47.1,-63.3,-43.3,-53.1,-112.4,-191.4
Preferred dividends,5.5,5.3,4.9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,		,1.4,1.4,1.4,1.3,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPS (Basic),1.51,1.94,0.88,1.5,1.78,2.09,1.8,0.54,1.76,1.49,1.63,1.71,0.7,-1.39,-3.97,-3.971,		,0.28,0.31,0.3,0.617,0.36,0.4,0.41,0.775,0.24,0.22,0.23,0.189,0.32,0.29,0.25,0.64,0.33,0.34,0.34,0.774,0.42,0.42,0.44,0.822,0.35,0.34,0.76,0.38,0.06,-0.02,-0.12,0.619,0.31,0.34,0.34,0.771,0.3,0.32,0.39,0.496,0.34,0.39,0.3,0.604,0.4,0.42,0.38,0.521,0.33,0.24,0,0.119,-0.08,-0.21,-0.47,-0.632,-0.43,-0.53,-1.11,-1.901
EPS (Diluted),1.43,1.84,0.85,1.45,1.77,2.08,1.79,0.54,1.74,1.49,1.63,1.68,0.7,-1.39,-3.97,-3.971,		,0.27,0.3,0.29,0.571,0.35,0.38,0.39,0.734,0.23,0.21,0.23,0.182,0.31,0.28,0.25,0.62,0.33,0.34,0.34,0.76,0.41,0.42,0.43,0.815,0.34,0.33,0.75,0.378,0.06,-0.02,-0.12,0.619,0.31,0.34,0.34,0.767,0.3,0.32,0.39,0.495,0.34,0.39,0.3,0.596,0.39,0.41,0.37,0.511,0.33,0.24,0,0.118,-0.08,-0.21,-0.47,-0.632,-0.43,-0.53,-1.11,-1.901
Shares Outstanding (Diluted),205,197.7,191.2,179.3,168.9,162.5,148.8,136.2,135.9,129.1,126.1,122.7,103.3,100.1,100.7,100.7,		,201.852,200.667,201.379,209.059,198.9,197.2,197.8,196.8,195.5,193.1,189.9,186.4,183.6,181.5,178,174.2,171.8,169.8,167.6,167.4,165.1,163.2,161,160.7,159.5,156.4,143.9,135.6,135.8,136.2,136.5,136.5,137.1,139,135.9,131.7,131.3,131.2,128.8,125.2,125.4,125.8,126.3,127,127.9,128.2,123.1,111.6,107.4,104.6,100.7,100.6,99.8,100.1,100.1,100.1,100.4,100.7,101,100.7
  Cash And Cash Equivalents,164.6,130.7,401.4,446.5,634.7,437.9,224,472,509.7,814.8,908.2,569.4,591.7,535.7,179.8,179.8,		,53.9,43.7,54.3,164.6,87.2,85.9,74.9,130.7,113.9,336.1,246.3,401.4,434.4,529.1,365.4,446.5,456.7,524.3,558.2,634.7,577,439.7,384.8,437.9,293,254.8,47.4,224,45.4,170.3,276.4,472,463.2,630.4,416.7,509.7,469.3,577.8,824.1,814.8,873.2,930.8,856.7,908.2,871.8,931.1,720.3,569.4,326.2,552.2,667.7,591.7,566.4,517.7,546.1,535.7,434.9,432,316.4,179.8
  Marketable Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cash, Cash Equivalents, Marketable Securities",164.6,130.7,401.4,446.5,634.7,437.9,224,472,509.7,814.8,908.2,569.4,591.7,535.7,179.8,179.8,		,53.9,43.7,54.3,164.6,87.2,85.9,74.9,130.7,113.9,336.1,246.3,401.4,434.4,529.1,365.4,446.5,456.7,524.3,558.2,634.7,577,439.7,384.8,437.9,293,254.8,47.4,224,45.4,170.3,276.4,472,463.2,630.4,416.7,509.7,469.3,577.8,824.1,814.8,873.2,930.8,856.7,908.2,871.8,931.1,720.3,569.4,326.2,552.2,667.7,591.7,566.4,517.7,546.1,535.7,434.9,432,316.4,179.8
Accounts Receivable,286.1,464.7,276.3,206.1,182.4,241,309.4,247.9,256,241.9,322.5,377.5,360.6,452.5,211.9,211.9,		,189.7,204.6,244.7,286.1,234.2,231.5,313.2,464.7,351.9,294.6,302.9,276.3,217.3,151.8,205.1,206.1,164.6,137.5,121.4,182.4,142.1,161.7,158,241,192,164.9,227.8,309.4,265.4,239.9,212.3,247.9,168.8,169.5,198.2,256,182.3,191.9,192.1,241.9,205.1,205.2,228.7,322.5,280.5,311.9,258.3,377.5,249.3,278.4,250.3,360.6,236.6,250,349.2,452.5,278.6,218.5,201.6,211.9
"  Inventories, Raw Materials & Components",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Work In Process",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Inventories Adjustments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Finished Goods",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Other",861.4,1164.3,949.8,971.2,766.5,1003.7,964.9,752.1,705.4,636.3,670.6,723.7,744.4,908.3,802.3,802.3,		,878.9,855.9,978.5,861.4,967.6,1047.3,1208,1164.3,1061,974.1,1103.6,949.8,831.1,830.6,1118.8,971.2,844.3,811.1,914.6,766.5,769.9,856,1032,1003.7,956.6,971.6,1162.5,964.9,960,794.8,878.7,752.1,650.8,612.3,693.5,705.4,663.4,626.3,681.2,636.3,575.8,578.2,737.4,670.6,688.7,646.2,759.1,723.7,737.9,727.2,790.6,744.4,730.2,828.7,851.1,908.3,926.5,825.8,707.7,802.3
Total Inventories,861.4,1164.3,949.8,971.2,766.5,1003.7,964.9,752.1,705.4,636.3,670.6,723.7,744.4,908.3,802.3,802.3,		,878.9,855.9,978.5,861.4,967.6,1047.3,1208,1164.3,1061,974.1,1103.6,949.8,831.1,830.6,1118.8,971.2,844.3,811.1,914.6,766.5,769.9,856,1032,1003.7,956.6,971.6,1162.5,964.9,960,794.8,878.7,752.1,650.8,612.3,693.5,705.4,663.4,626.3,681.2,636.3,575.8,578.2,737.4,670.6,688.7,646.2,759.1,723.7,737.9,727.2,790.6,744.4,730.2,828.7,851.1,908.3,926.5,825.8,707.7,802.3
Other Current Assets,91.19999999999996,58.500000000000114,86.80000000000001,83.10000000000002,82.99999999999989,92.49999999999989,129,127.59999999999991,95.69999999999999,98.60000000000002,114.39999999999986,108.10000000000002,116.10000000000002,85.40000000000009,139.00000000000006,139.00000000000006,		,110.29999999999998,96.39999999999993,101.59999999999992,91.19999999999996,77.79999999999994,82.89999999999995,99.10000000000005,58.500000000000114,68.79999999999993,68.60000000000002,66.6000000000002,86.80000000000001,88.79999999999984,86.5999999999998,92.79999999999995,83.10000000000002,84.19999999999999,88.00000000000011,91.29999999999995,82.99999999999989,87.70000000000005,90.50000000000006,91.99999999999994,92.49999999999989,99.60000000000002,88.49999999999994,101.70000000000007,129,148.1000000000001,119.50000000000006,120.69999999999987,127.59999999999991,131.1000000000002,124.60000000000002,130.69999999999987,95.69999999999999,98.09999999999985,103.50000000000011,116.79999999999995,98.60000000000002,90.89999999999998,91,100.19999999999982,114.39999999999986,113,122.80000000000007,113.40000000000009,108.10000000000002,102.39999999999998,104.39999999999998,106.30000000000018,116.10000000000002,131.29999999999995,144.79999999999995,174.0000000000001,85.40000000000009,83,90.40000000000009,105.20000000000005,139.00000000000006
Total Current Assets,1403.3,1818.2,1714.3,1706.9,1666.6,1775.1,1627.3,1599.6,1566.8,1791.6,2015.7,1778.7,1812.8,1981.9,1333,1333,		,1232.8,1200.6,1379.1,1403.3,1366.8,1447.6,1695.2,1818.2,1595.6,1673.4,1719.4,1714.3,1571.6,1598.1,1782.1,1706.9,1549.8,1560.9,1685.5,1666.6,1576.7,1547.9,1666.8,1775.1,1541.2,1479.8,1539.4,1627.3,1418.9,1324.5,1488.1,1599.6,1413.9,1536.8,1439.1,1566.8,1413.1,1499.5,1814.2,1791.6,1745,1805.2,1923,2015.7,1954,2012,1851.1,1778.7,1415.8,1662.2,1814.9,1812.8,1664.5,1741.2,1920.4,1981.9,1723,1566.7,1330.9,1333
  Land And Improvements,0,0,38.3,35,35,35.1,18.1,10.6,10.6,2.7,2.4,2.4,2.5,2.5,2.4,2.4,		,0,0,0,0,0,0,0,0,453.5,0,0,38.3,0,0,0,35,0,0,0,35,0,0,0,35.1,0,0,0,18.1,0,0,0,10.6,0,0,0,10.6,0,0,0,2.7,0,0,0,2.4,0,0,0,2.4,0,0,0,2.5,0,0,0,2.5,0,0,0,2.4
  Buildings And Improvements,0,0,419.9,435.5,514.9,645.2,474,424.5,422.7,55,55.2,55.7,62.4,62.9,61.4,61.4,		,0,0,0,0,0,0,0,0,0,0,0,419.9,0,0,0,435.5,0,0,0,514.9,0,0,0,645.2,0,0,0,474,0,0,0,424.5,0,0,0,422.7,0,0,0,55,0,0,0,55.2,0,0,0,55.7,0,0,0,62.4,0,0,0,62.9,0,0,0,61.4
"  Machinery, Furniture, Equipment",0,0,543.9,586.9,631.8,704.1,748.8,751.7,682.4,679.6,663.2,673.5,663,685.9,672.5,672.5,		,0,0,0,0,0,0,0,0,0,461.3,466.2,543.9,0,0,0,586.9,0,0,0,631.8,0,0,0,704.1,0,0,0,748.8,0,0,0,751.7,0,0,0,682.4,0,0,0,679.6,0,0,0,663.2,0,0,0,673.5,0,0,0,663,0,0,0,685.9,0,0,0,672.5
  Construction In Progress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gross Property, Plant and Equipment",0,0,1002.1,1057.4,1181.7,1384.4,1240.9,1186.8,1115.7,1095.9,1081.7,1094.4,1088.8,1107,1086.1,1086.1,		,0,0,0,0,0,0,0,0,453.5,461.3,466.2,1002.1,991.8,982.4,997.8,1057.4,1055.1,1057.8,1074.1,1181.7,1197.1,1232.1,1267.6,1384.4,1381.8,1392.6,1407.1,1240.9,1220.5,1203.9,1194.4,1186.8,1166.3,1149.3,1130.7,1115.7,1101.3,1077.4,1077.2,1095.9,0,0,0,1081.7,0,0,0,1094.4,0,0,0,1088.8,0,0,0,1107,0,0,0,1086.1
  Accumulated Depreciation,-588.8,-665.6,-584.4,-635.8,-668.6,-732.4,-764.7,-800.5,-798.6,-789.5,-799.4,-820.1,-818.6,-868,-898.9,-898.9,		,-554.2,-566,-577.1,-588.8,-606.8,-624.8,-644.7,-665.6,0,0,0,-584.4,-584.4,-584.4,-584.4,-635.8,-635.8,-635.8,-635.8,-668.6,-668.6,-668.6,-668.6,-732.4,-732.4,-732.4,-732.4,-764.7,-764.7,-764.7,-764.7,-800.5,-800.5,-800.5,-800.5,-798.6,-798.6,-798.6,-798.6,-789.5,0,0,0,-799.4,0,0,0,-820.1,0,0,0,-818.6,0,0,0,-868,0,0,0,-898.9
"Property, Plant and Equipment",446.8,456.8,417.7,421.6,513.1,652,476.2,386.3,317.1,306.4,282.3,274.3,270.2,239,187.2,187.2,		,433.7,433.3,443.2,446.8,448.3,451.6,456.7,456.8,453.5,461.3,466.2,417.7,407.4,398,413.4,421.6,419.3,422,438.3,513.1,528.5,563.5,599,652,649.4,660.2,674.7,476.2,455.8,439.2,429.7,386.3,365.8,348.8,330.2,317.1,302.7,278.8,278.6,306.4,300.6,290.7,286.5,282.3,271.7,263.4,264.4,274.3,267.4,274.5,273.4,270.2,260.5,256.5,241,239,220.6,208.8,203.2,187.2
Intangible Assets,0,0,0,0,0,0,0,7.5,5.1,36.7,38.9,41.2,37,36.6,12.7,12.7,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,5.1,0,0,0,36.7,0,0,0,38.9,41.2,39.8,40.7,41.2,42.7,43.3,37.4,37,40.3,38.4,36.9,36.6,38.5,36.5,36.1,12.7
Other Long Term Assets,291.9000000000001,301.4999999999998,113.09999999999991,99.40000000000009,64.20000000000027,89.59999999999991,101.59999999999991,76.60000000000014,100.60000000000014,119.30000000000018,92.39999999999986,81.20000000000027,55.09999999999991,41.59999999999991,58.299999999999955,58.299999999999955,		,265.20000000000005,292.70000000000005,323.89999999999986,291.9000000000001,286.9000000000001,306.7000000000003,306.4000000000001,301.4999999999998,274.3000000000002,146.49999999999977,148.09999999999968,113.09999999999991,108.90000000000009,115.40000000000009,121,99.40000000000009,98.09999999999991,98.40000000000009,95.50000000000023,64.20000000000027,71.39999999999986,61.09999999999991,75.00000000000023,89.59999999999991,93.59999999999968,94.09999999999991,95.20000000000005,101.59999999999991,104.09999999999991,100.70000000000005,66.70000000000005,76.60000000000014,104.09999999999991,101.30000000000018,104.29999999999995,100.60000000000014,114,117.20000000000005,153.20000000000005,119.30000000000018,152.9000000000001,147.0999999999999,137.5999999999999,92.39999999999986,89.60000000000014,80.49999999999955,86.30000000000018,81.20000000000027,81.50000000000023,84.30000000000018,82.29999999999973,55.09999999999991,52.700000000000045,51.59999999999968,39,41.59999999999991,43.100000000000136,41.5,36.899999999999864,58.299999999999955
Total Assets,2142,2576.5,2245.1,2227.9,2243.9,2516.7,2205.1,2070,1989.6,2254,2429.3,2175.4,2175.1,2299.1,1591.2,1591.2,		,1931.7,1926.6,2146.2,2142,2102,2205.9,2458.3,2576.5,2323.4,2281.2,2333.7,2245.1,2087.9,2111.5,2316.5,2227.9,2067.2,2081.3,2219.3,2243.9,2176.6,2172.5,2340.8,2516.7,2284.2,2234.1,2309.3,2205.1,1978.8,1864.4,1984.5,2070,1883.8,1986.9,1873.6,1989.6,1829.8,1895.5,2246,2254,2198.5,2243,2347.1,2429.3,2356.5,2395.7,2242.5,2175.4,1807.4,2064.3,2208,2175.1,2018,2087.7,2237.3,2299.1,2025.2,1853.5,1607.1,1591.2
  Accounts Payable,234.8,234.8,206.7,312.6,300.2,442.2,490.9,254.5,257.6,206.4,262.9,272.4,348.2,435.6,376.4,376.4,		,148.4,161.3,224.9,234.8,272.1,225.9,258.6,234.8,203.5,183.5,315.1,206.7,200.1,225.7,433.1,312.6,216.6,284.1,409.8,300.2,271.4,288.8,466.2,442.2,271.2,214.5,484.9,490.9,211.9,159.3,304.3,254.5,182.3,173.6,308.7,257.6,200.6,190.5,248.2,206.4,189,190,283.6,262.9,185.6,185.4,278.2,272.4,221.9,225.4,344.6,348.2,252.6,352.3,386.2,435.6,301.8,200.7,282.1,376.4
  Total Tax Payable,0,0,0,0,0,0,0,0,0,24.2,30.9,9.7,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,20.2,6.2,4.5,30.9,26.9,7.4,11.4,9.7,17.9,9.4,8.7,0,0,0,0,0,0,0,0,0
  Other Accrued Expenses,0,0,336.09999999999997,318.69999999999993,343.00000000000006,342.09999999999997,379.5,319.6,310.1,367.3,360.70000000000005,318.00000000000006,86.80000000000001,149.79999999999995,118.90000000000003,118.90000000000003,		,0,0,0,0,0,0,0,0,239.7,252.89999999999998,284.1,336.09999999999997,265,279.6,308,318.69999999999993,277,253.60000000000002,265.3,343.00000000000006,259.20000000000005,267.09999999999997,270.09999999999997,342.09999999999997,264.40000000000003,272.3,281.1,379.5,330.30000000000007,347.4,341.90000000000003,319.6,330.59999999999997,326.1,331.3,310.1,295.5,337.4,330.8,367.3,287.3,275.90000000000003,290,360.70000000000005,282.6,275.5,277.90000000000003,318.00000000000006,261,265.4,290.8,86.80000000000001,264.29999999999995,267.49999999999994,261.3,149.79999999999995,229.7,213.40000000000003,217.39999999999998,118.90000000000003
Accounts Payable & Accrued Expenses,234.8,234.8,542.8,631.3,643.2,784.3,870.4,574.1,567.7,597.9,654.5,600.1,435,585.4,495.3,495.3,		,148.4,161.3,224.9,234.8,272.1,225.9,258.6,234.8,443.2,436.4,599.2,542.8,465.1,505.3,741.1,631.3,493.6,537.7,675.1,643.2,530.6,555.9,736.3,784.3,535.6,486.8,766,870.4,542.2,506.7,646.2,574.1,512.9,499.7,640,567.7,496.1,527.9,579,597.9,496.5,472.1,578.1,654.5,495.1,468.3,567.5,600.1,500.8,500.2,644.1,435,516.9,619.8,647.5,585.4,531.5,414.1,499.5,495.3
Current Portion of Long-Term Debt,188.9,478.6,105.5,36,77.4,55.6,40.9,194.9,61.2,39.3,0,308,0,278.7,1.1,1.1,		,297.9,238.6,254.3,188.9,267.9,408.6,541.3,478.6,407.5,68.9,106.7,105.5,72.2,71.3,41.8,36,16,0,39.5,77.4,119.1,110.5,85.3,55.6,73.7,98.4,381.7,40.9,163.7,105.8,265.3,194.9,178.5,192.7,38.6,61.2,26.5,32.3,35.9,39.3,37.8,55.7,62.8,0,31,356.3,349.9,308,0,0,0,0,0,355.4,275.2,278.7,212.8,213.5,1,1.1
Other Current Liabilities,501.50000000000006,519,178.10000000000002,160.9000000000001,137.5,117.5,75,215.20000000000005,119.09999999999991,1.1368683772161603e-13,0,0,201.10000000000002,114.10000000000002,88.19999999999999,88.19999999999999,		,333.5,341.2,401.0000000000001,501.50000000000006,381.9,381,403.6,519,140.7,116.90000000000009,139.5999999999999,178.10000000000002,157.69999999999993,126.80000000000001,142.20000000000005,160.9000000000001,155.5,140.79999999999995,150.19999999999993,137.5,128.79999999999995,95.89999999999998,115.90000000000009,117.5,125.19999999999993,88.90000000000003,21.799999999999955,75,42.5,25.000000000000057,11.799999999999955,215.20000000000005,3.6000000000000227,6.399999999999977,16.699999999999932,119.09999999999991,21.299999999999955,15.500000000000114,20.700000000000045,1.1368683772161603e-13,-5.684341886080802e-14,-5.684341886080802e-14,0,0,0,0,0,0,0,0,0,201.10000000000002,0,1.1368683772161603e-13,0,114.10000000000002,0,0,0,88.19999999999999
Total Current Liabilities,925.2,1232.4,826.4,828.2,858.1,957.4,986.3,984.2,748,637.2,654.5,908.1,636.1,978.2,584.6,584.6,		,779.8,741.1,880.2,925.2,921.9,1015.5,1203.5,1232.4,991.4,622.2,845.5,826.4,695,703.4,925.1,828.2,665.1,678.5,864.8,858.1,778.5,762.3,937.5,957.4,734.5,674.1,1169.5,986.3,748.4,637.5,923.3,984.2,695,698.8,695.3,748,543.9,575.7,635.6,637.2,534.3,527.8,640.9,654.5,526.1,824.6,917.4,908.1,500.8,500.2,644.1,636.1,516.9,975.2,922.7,978.2,744.3,627.6,500.5,584.6
Long-Term Debt,319.4,302.9,565.4,591.3,541.3,506.9,494.9,345.8,348.2,659.5,627.8,331.8,670.6,499,613,613,		,266,260.4,324.9,319.4,318.3,317.1,316,302.9,249.8,595.5,571.8,565.4,543.5,582.3,589.8,591.3,590.7,590.5,546.5,541.3,515.3,502.6,508.9,506.9,501.2,506.1,501.6,494.9,491.9,490.2,344.7,345.8,342,340.1,344,348.2,353.5,349,725.9,659.5,662.4,664.4,624.9,627.8,630.7,324.1,327.9,331.8,335.7,662.2,666.4,670.6,674.9,323.9,474,499,499.1,499.2,498.3,613
  Capital Lease Obligation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  PensionAndRetirementBenefit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  DeferredTaxAndRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Long-Term Liabilities,66.69999999999993,160.9000000000001,75.20000000000005,80.29999999999995,75.19999999999993,130.29999999999984,135.10000000000014,86.20000000000005,123.70000000000005,96.5,98.70000000000005,93.00000000000011,115.09999999999991,223.20000000000005,187.19999999999993,187.19999999999993,		,46.40000000000009,64.20000000000005,64.80000000000007,66.69999999999993,165.39999999999998,157,155.5,160.9000000000001,166.10000000000002,168,71.60000000000014,75.20000000000005,69.90000000000009,71.39999999999998,79.50000000000011,80.29999999999995,78.39999999999998,80.29999999999995,81.29999999999995,75.19999999999993,75,79.19999999999993,80.89999999999998,130.29999999999984,132.29999999999995,131.0999999999999,136.69999999999982,135.10000000000014,127.40000000000009,122.29999999999995,115.59999999999991,86.20000000000005,147.29999999999995,136.80000000000007,132.70000000000005,123.70000000000005,120.80000000000007,114.20000000000005,99.09999999999991,96.5,95.30000000000007,89.10000000000002,81.29999999999995,98.70000000000005,91.89999999999998,87.5,87.60000000000014,93.00000000000011,88.99999999999994,93.89999999999992,98,115.09999999999991,86.5,83.99999999999977,178.20000000000005,223.20000000000005,220.39999999999998,220.10000000000002,214.29999999999995,187.19999999999993
Total Liabilities,1311.3,1696.2,1467,1499.8,1474.6,1594.6,1616.3,1416.2,1219.9,1393.2,1381,1332.9,1421.8,1700.4,1384.8,1384.8,		,1092.2,1065.7,1269.9,1311.3,1405.6,1489.6,1675,1696.2,1407.3,1385.7,1488.9,1467,1308.4,1357.1,1594.4,1499.8,1334.2,1349.3,1492.6,1474.6,1368.8,1344.1,1527.3,1594.6,1368,1311.3,1807.8,1616.3,1367.7,1250,1383.6,1416.2,1184.3,1175.7,1172,1219.9,1018.2,1038.9,1460.6,1393.2,1292,1281.3,1347.1,1381,1248.7,1236.2,1332.9,1332.9,925.5,1256.3,1408.5,1421.8,1278.3,1383.1,1574.9,1700.4,1463.8,1346.9,1213.1,1384.8
Common Stock,235.8,236,236,236,191,191,191,191,191,0,191,146,146,146,146,146,		,0,0,235.8,235.8,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,0,0,191,191,191,191,191,191,146,146,146,146,146,146,146,146,146,146,146,146,146
Preferred Stock,72.8,68.8,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,		,100,74.8,73.7,72.8,72.2,71.2,69.7,68.8,68.2,67.1,65.7,64.5,63.2,61.5,59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retained Earnings,1353.3,1661.5,1787.3,2002.5,1210.6,1508.1,1741.4,1780.9,1992.1,2150.2,2323.9,1502.5,1525.1,1360.8,960.6,960.6,		,1738.6,1202.1,1247.4,1353.3,1409.1,1470.1,1530.5,1661.5,1694.9,1723.2,1754.4,1787.3,1841.9,1889.8,1932.2,2002.5,2059.1,2116.6,2173.7,1210.6,1278.9,1347.2,1377.6,1508.1,1563.1,1615.4,1690.1,1741.4,1749.8,1746.6,1730.3,1780.9,1830.6,1877.6,1923.8,1992.1,2030.9,2072.3,2122.5,2150.2,2193.3,2242.1,2279.5,2323.9,2374,2427,2473,1502.5,1537.6,1562.5,1562.8,1525.1,1504.7,1471.2,1424.1,1360.8,1317.5,1264.4,1152,960.6
