ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Sep99,Sep00,Sep01,Sep02,Sep03,Sep04,Sep05,Sep06,Sep07,Sep08,Sep09,Sep10,Sep11,Sep12,Sep13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
"Depreciation, Depletion and Amortization",19.9,17.42,24.714,66.578,80.443,87.088,90.882,96.933,104.344,95.882,94.316,104.172,111.089,140.515,170.793,174.946,		,4.908,4.892,4.9,4.2,4.583,4.126,4.511,4.526,5.298,4.786,10.104,16.246,15.904,16.167,18.261,19.045,18.743,18.241,24.414,19.609,21.363,22.916,23.2,23.471,23.322,20.779,23.31,23.694,23.229,24.956,25.054,26.775,24.991,27.359,25.219,18.44,33.465,21.709,22.268,22.656,23.187,23.551,24.922,25.204,25.188,26.009,27.771,29.859,30.391,32.012,18.827,31.882,31.719,37,39.914,41.557,42.09,42.998,44.148,45.71
Other Operating Charges,-19.900000000000006,-17.420000000000044,-31.982000000000085,-85.39499999999987,-69.19699999999978,-73.42499999999984,-86.45799999999997,-86.00900000000013,-93.29399999999998,-94.45799999999997,-96.08599999999979,-85.17899999999986,-135.55499999999984,-178.5150000000001,-275.70799999999997,-399.56900000000013,		,-5.908000000000008,-4.200000000000003,-4.900000000000006,-4.200000000000003,-4.58300000000002,-4.125999999999998,-4.51100000000001,-4.526000000000003,-4.281000000000006,-5.10799999999999,-18.699000000000012,-22.54400000000001,-19.14300000000003,-22.887,-20.820999999999998,-15.887999999999948,-21.073999999999984,-16.340000000000003,-18.519000000000034,-16.71599999999998,-18.51600000000002,-23.78299999999996,-14.492999999999995,-21.153999999999968,-25.410999999999973,-23.34899999999999,-10.17900000000003,-21.087000000000074,-23.726000000000028,-21.940999999999974,-10.428000000000026,-22.80000000000004,-22.18399999999997,-27.77499999999995,-14.511999999999915,-20.803000000000026,-24.424000000000007,-29.421999999999997,-21.48199999999997,-18.90900000000002,-20.73400000000001,-28.801999999999936,-22.349999999999994,-20.749000000000024,-21.350000000000023,-17.22800000000001,-25.851999999999947,-25.432999999999936,-25.954999999999984,-27.616000000000042,-56.551000000000045,-33.605000000000075,-40.25999999999999,-39.66799999999995,-65.91300000000001,-40.68799999999999,-43.33000000000004,-96.63100000000006,-95.05900000000003,-164.549
Operating Income,173.9,200.434,259.376,718.428,886.129,900.959,636.946,748.706,820.342,827.861,883.749,1103.635,1186.806,1303.615,898.399,758.575,		,46.48,41.5,46.3,45.8,51.114,47.776,55.809,53.894,64.426,60.193,80.863,151.297,190.774,182.743,193.614,187.855,236.552,228.206,233.516,211.398,259.248,252.315,174.639,137.061,179.256,168.608,154.998,166.605,197.924,188.844,195.333,208.859,220.892,209.571,181.02,192.643,236.722,197.525,202.692,197.884,248.266,212.987,224.612,262.382,311.227,281.854,248.172,276.766,365.249,317.159,227.632,281.419,377.06,324.386,318.766,299.44,350.123,134.646,114.19,159.616
Interest Income,0,0,0,0,0,0,0,0,0,0,5.195,2.311,2.181,1.801,1.151,0.9390000000000001,		,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584,0,0,10.009,12.871,0,3.821,1.646,2.101,0,0,1.379,1.032,0.605,0.375,0.319,0.714,0.903,0.594,0.569,0.75,0.268,0.204,0.67,0.545,0.382,0,0.137,0.357,0.445,0
Interest Expense,-39.7,-41.857,-45.677,-140.734,-144.748,-112.704,-57.223,-12.464,-32.288,-64.496,-63.502,-74.805,-78.87,-94.37,-75.048,-75.143,		,-12.805,-8.2,-9.5,-10.9,-11.922,-8.383,-10.654,-10.876,-11.793,-7.361,-15.647,-30.975,-32.734,-27.308,-49.717,-34.385,-38.399,-37.234,-34.73,-31.507,-30.871,-26.844,-23.482,-22.076,-14.519,-11.271,-9.355,-6.512,-7.344,0,0.808,-8.143,-19.898,-19.196,26.407,-20.235,-20.372,-18.067,-5.848,-14.183,-15.9,-15.684,-15.556,-17.642,-19.598,-18.615,-18.95,-19.738,-19.625,-19.355,-20.152,-22.78,-24.045,-24.316,-23.519,-18.525,-18.647,-18.547,-19.117,-18.832
Other Income (Minority Interest),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,-3.63,-3.629,-3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre-Tax Income,115.9,159.7,202.833,572.047,729.146,770.899,468.825,740.629,785.05,761.338,824.074,1027.769,1114.734,1216.873,824.458,684.901,		,33.675,34.8,18.5,34.8,39.192,40.516,45.155,42.244,50.832,50.826,58.931,118.591,158.394,155.625,139.437,153.287,192.42,185.11,198.329,177.304,232.04,206.788,151.408,115.028,165.12,157.046,34.61,159.31,196.406,189.341,195.572,200.65,210.627,199.73,174.043,175.492,218.988,180.791,187.763,183.272,233.241,198.149,209.412,244.838,291.68,263.465,227.786,259.289,346.335,298.492,210.618,258.844,353.816,305.4,296.539,280.938,330.864,115.931,96.725,141.381
Tax Provision,-48.4,-60.686,-77.731,-227.106,-286.081,-296.025,-176.903,-272.617,-291.282,-292.274,-312.222,-391.021,-418.802,-455.512,-331.023,-317.156,		,-13.456,-13,-10.9,-13.2,-14.893,-15.396,-17.159,-16.053,-19.316,-19.32,-23.042,-47.078,-62.891,-61.771,-55.366,-60.548,-76.006,-72.564,-76.963,-68.263,-89.334,-79.613,-57.521,-44.171,-63.407,-57.202,-13.267,-61.334,-67.816,-69.873,-73.594,-78.463,-81.131,-69.822,-61.866,-67.083,-85.136,-68.026,-72.701,-70.743,-89.199,-73.015,-79.265,-93.531,-110.672,-100.26,-86.558,-98.789,-131.954,-114.073,-73.986,-98.887,-134.673,-115.223,-106.09,-106.317,-126.721,-51.821,-46.164,-92.45
Net Income (Continuing Operations),70.9,99.014,125.102,344.941,443.065,474.874,291.922,468.012,493.768,469.064,511.852,636.748,695.932,761.361,493.435,367.74499999999995,		,20.219,21.8,11,21.6,24.299,25.12,27.996,26.191,31.516,31.506,35.889,67.883,91.874,90.224,94.96,92.739,116.414,112.546,121.366,109.041,142.706,127.175,93.887,70.857,101.713,99.844,21.343,97.976,128.59,119.468,121.978,122.187,129.496,129.908,112.177,108.409,133.852,112.765,115.062,112.529,144.042,125.134,130.147,151.307,181.008,163.205,141.228,160.5,214.381,184.419,136.632,159.957,219.143,190.177,190.449,174.621,204.143,64.11,50.561,48.931
Net Income (Discontinued Operations),0,0,0,0,1.836,-6.484,-17.105,-0.298,-24.601,-218.505,-8.455,0,10.692,-42.375,-59.728,-61.26399999999999,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.567,-0.554,-1.4,-1.898,-6.408,-2.291,-5.067,-1.842,0.709,0.411,0,0,0,0,0,0,1.411,0,-220.785,-0.155,-1.473,-0.655,-6.327,0,0,0,0,0,0,0,0,0,2.159,-7.038,-8.906,-26.955,-6.01,-158.509,104.329,0.462,-7.546
Net Income,67.5,99.014,125.102,344.941,444.901,468.39,264.645,467.714,469.167,250.559,503.397,636.748,706.624,718.986,433.707,306.481,		,20.219,21.8,7.6,21.6,24.299,25.12,27.996,26.191,31.516,31.506,35.889,67.883,91.874,90.224,94.96,92.739,116.414,112.546,123.202,108.474,142.152,125.775,91.989,64.449,99.422,94.777,19.501,98.685,129.001,119.468,121.978,122.187,129.496,129.908,87.576,109.82,133.852,-108.02,114.907,111.056,143.387,118.807,130.147,151.307,181.008,163.205,141.228,160.5,214.381,184.419,147.324,162.116,212.105,181.271,163.494,168.611,45.634,168.439,51.023,41.385
Preferred dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPS (Basic),0.333,0.48,0.54,0.823,1.008,1.05,0.625,1.14,1.265,0.78,1.67,2.26,2.59,2.84,1.88,1.331,		,0.105,0.103,0.04,0.105,0.118,0.123,0.135,0.125,0.15,0.15,0.127,0.163,0.22,0.215,0.223,0.218,0.265,0.255,0.268,0.243,0.318,0.28,0.207,0.153,0.228,0.228,0.178,0.235,0.31,0.29,0.307,0.32,0.345,0.35,0.251,0.335,0.415,-0.34,0.367,0.36,0.475,0.4,0.445,0.53,0.64,0.58,0.506,0.58,0.78,0.67,0.553,0.63,0.82,0.72,0.673,0.73,0.2,0.73,0.221,0.18
EPS (Diluted),0.328,0.475,0.525,0.79,0.973,1.015,0.62,1.125,1.25,0.77,1.66,2.22,2.54,2.8,1.84,1.287,		,0.103,0.103,0.039,0.105,0.118,0.12,0.133,0.123,0.143,0.143,0.115,0.158,0.21,0.205,0.21,0.21,0.258,0.248,0.253,0.235,0.308,0.273,0.197,0.15,0.225,0.228,0.177,0.23,0.305,0.29,0.303,0.315,0.34,0.345,0.248,0.33,0.41,-0.34,0.364,0.36,0.47,0.4,0.44,0.52,0.63,0.57,0.498,0.57,0.77,0.66,0.543,0.62,0.81,0.71,0.664,0.71,0.19,0.71,0.217,0.17
Shares Outstanding (Diluted),206.107,208.08,251.228,448.912,463.816,471.116,431.08,414.892,375.772,324.92,302.754,287.246,277.717,256.903,235.345,237.012,		,199.024,195.122,237.537,205.714,204.846,208.343,211.082,218.312,237.396,238.312,311.084,444.728,446.816,451.564,452.536,453.608,463.024,467.096,471.64,472.116,471.784,472.624,467.936,446.428,440.936,417.68,419.188,420.698,421.542,414.67,402.55,389.94,383.594,375.902,353.548,334.124,326.536,322.234,315.818,310.178,304.584,300.592,295.503,291.287,287.162,286.693,283.748,280.693,279.766,279.015,271.357,263.084,262.363,255.725,246.4,235.992,234.587,235.669,235.096,237.012
  Cash And Cash Equivalents,59.5,120.818,297.626,663.34,800.036,871.343,966.553,1261.268,640.204,878.114,1009.368,1658.182,1825.99,1066.608,1231.006,347.465,		,119.1,46.1,59.5,56.9,49.24,36.16,120.818,162.36,126.268,94.298,297.626,256.689,463.815,363.406,663.34,366.776,225.956,224.823,800.036,283.225,663.764,903.171,871.343,529.539,1153.432,993.731,966.553,1506.088,1051.725,1658.34,1261.268,798.389,778.382,487.009,640.204,524.139,591.36,583.086,878.114,470.917,655.329,912.924,1009.368,979.567,1199.872,1310.716,1658.182,1400.895,1912.436,2000.453,1825.99,2370.335,2327.094,1655.748,1066.608,417.404,1347.297,1567.585,1231.006,347.465
  Marketable Securities,0,0,0,0,0,0,349.13,67.84,467.419,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.13,0,783.945,0,67.84,445.653,830.455,954.2,467.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cash, Cash Equivalents, Marketable Securities",59.5,120.818,297.626,663.34,800.036,871.343,1315.683,1329.108,1107.623,878.114,1009.368,1658.182,1825.99,1066.608,1231.006,347.465,		,119.1,46.1,59.5,56.9,49.24,36.16,120.818,162.36,126.268,94.298,297.626,256.689,463.815,363.406,663.34,366.776,225.956,224.823,800.036,283.225,663.764,903.171,871.343,529.539,1153.432,993.731,1315.683,1506.088,1835.67,1658.34,1329.108,1244.042,1608.837,1441.209,1107.623,524.139,591.36,583.086,878.114,470.917,655.329,912.924,1009.368,979.567,1199.872,1310.716,1658.182,1400.895,1912.436,2000.453,1825.99,2370.335,2327.094,1655.748,1066.608,417.404,1347.297,1567.585,1231.006,347.465
Accounts Receivable,612.5,623.961,2142.663,2222.156,2295.437,2260.973,2640.646,3427.139,3472.358,3480.267,3916.509,3827.484,3793.85,3784.619,6051.92,6214.193,		,480.3,485.9,612.5,700.9,642.485,595.397,623.961,722.93,676.654,677.18,2142.663,2106.068,2061.331,2131.273,2222.156,2328.398,2163.665,2500.776,2295.437,2623.384,2848.634,2391.514,2260.973,2210.474,2450.124,2455.124,2640.646,2663.779,2990.279,3146.606,3427.139,3422.833,3633.713,3549.026,3472.358,3461.562,3648.094,3667.083,3480.267,3537.704,3734.251,3746.643,3916.509,3540.919,3948.478,3887.827,3827.484,3551.315,3802.24,3907.112,3793.85,3724.456,3868.647,3943.347,3784.619,4361.266,4180.449,4585.488,6051.92,6214.193
"  Inventories, Raw Materials & Components",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Work In Process",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Inventories Adjustments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Finished Goods",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5662.556,0,0,0
"  Inventories, Other",1243.2,1570.504,5056.257,5437.878,5733.837,5135.83,4003.69,4422.055,4101.502,4211.775,4972.82,5210.098,5443.101,5472.01,6981.494,8602.809,		,942.2,1205.6,1243.2,1442.9,1272.795,1629.073,1570.504,1917.605,1820.202,1955.385,5056.257,5778.905,5295.924,5174.024,5437.878,6381.477,6898.825,6729.477,5733.837,5658.862,5606.439,5597.24,5135.83,5185.239,4623.581,4533.744,4003.69,4972.288,4353.87,4471.178,4422.055,4628.473,4602.195,4129.002,4101.502,4822.362,4528.11,4116.25,4211.775,4963.704,4578.95,4424.228,4972.82,5361.851,4980.895,5096.601,5210.098,5440.751,5195.946,5157.796,5443.101,5824.358,5354.338,5447.126,5472.01,5965.563,0,5895.089,6981.494,8602.809
Total Inventories,1243.2,1570.504,5056.257,5437.878,5733.837,5135.83,4003.69,4422.055,4101.502,4211.775,4972.82,5210.098,5443.101,5472.01,6981.494,8602.809,		,942.2,1205.6,1243.2,1442.9,1272.795,1629.073,1570.504,1917.605,1820.202,1955.385,5056.257,5778.905,5295.924,5174.024,5437.878,6381.477,6898.825,6729.477,5733.837,5658.862,5606.439,5597.24,5135.83,5185.239,4623.581,4533.744,4003.69,4972.288,4353.87,4471.178,4422.055,4628.473,4602.195,4129.002,4101.502,4822.362,4528.11,4116.25,4211.775,4963.704,4578.95,4424.228,4972.82,5361.851,4980.895,5096.601,5210.098,5440.751,5195.946,5157.796,5443.101,5824.358,5354.338,5447.126,5472.01,5965.563,5662.556,5895.089,6981.494,8602.809
Other Current Assets,4.7999999999999545,5.336000000000226,15.956000000000813,26.263000000000943,29.207999999999743,27.24299999999937,27.672999999999774,32.10499999999888,32.81699999999864,99.60500000000093,55.056000000000836,52.58600000000047,312.0999999999997,735.2269999999996,129.231,63.87799999999987,		,40.1999999999999,58.3000000000002,4.7999999999999545,5.200000000000024,4.549999999999848,5.563999999999822,5.336000000000226,4.8539999999998145,4.34100000000015,4.265999999999963,15.956000000000813,17.088000000000022,17.830999999999733,18.79299999999961,26.263000000000943,19.12000000000063,16.210999999999473,15.160999999999461,29.207999999999743,30.89000000000067,29.40299999999945,17.168999999999187,27.24299999999937,22.169999999999845,18.763999999999896,19.316000000000486,27.672999999999774,24.30499999999961,25.293999999999414,28.451000000000704,32.10499999999888,36.53299999999945,30.0649999999996,30.944000000000187,32.81699999999864,30.772999999999342,41.191999999999666,81.37199999999916,99.60500000000093,34.74399999999963,36.84900000000084,54.58499999999913,55.056000000000836,33.79399999999987,37.78500000000008,42.85900000000083,52.58600000000047,35.212000000000444,45.62399999999957,55.94399999999996,312.0999999999997,36.63100000000031,53.5619999999999,124.20100000000002,735.2269999999996,277.9660000000008,534.4820000000004,90.91100000000006,129.231,63.87799999999987
Total Current Assets,1920,2320.619,7512.502,8349.637,8858.518,8295.389,7987.692,9210.407,8714.3,8669.761,9953.753,10748.35,11375.041,11058.464,14393.651,15228.345,		,1581.8,1795.9,1920,2205.9,1969.07,2266.194,2320.619,2807.749,2627.465,2731.129,7512.502,8158.75,7838.901,7687.496,8349.637,9095.771,9304.657,9470.237,8858.518,8596.361,9148.24,8909.094,8295.389,7947.422,8245.901,8001.915,7987.692,9166.46,9205.113,9304.575,9210.407,9331.881,9874.81,9150.181,8714.3,8838.836,8808.756,8447.791,8669.761,9007.069,9005.379,9138.38,9953.753,9916.131,10167.03,10338.003,10748.35,10428.173,10956.246,11121.305,11375.041,11955.78,11603.641,11170.422,11058.464,11022.199,11724.784,12139.073,14393.651,15228.345
  Land And Improvements,0,0,25.177,24.952,35.464,42.959,43.676,35.993,35.793,35.258,35.665,36.407,33.28,33.009,37.538,37.538,		,0,0,0,0,0,0,0,0,3.832,3.832,25.177,25.177,24.952,24.952,24.952,24.952,24.952,24.952,35.464,37.006,37.376,37.103,42.959,42.959,42.959,42.759,43.676,43.475,43.082,35.987,35.993,35.738,35.665,35.666,35.793,35.778,35.771,35.774,35.258,35.537,35.517,35.643,35.665,36.109,36.067,36.044,36.407,36.164,36.036,36.04,33.28,36.005,36.028,36.012,33.009,33.297,37.538,37.538,37.538,37.538
  Buildings And Improvements,0,0,166.13,134.394,152.289,233.397,267.847,251.321,243.481,281.001,292.903,307.448,259.841,324.264,324.15,328.883,		,0,0,0,0,0,0,0,0,39.118,39.941,166.13,166.416,128.093,130.769,134.394,134.623,121.205,122.318,152.289,174.668,188.518,206.004,233.397,247.595,255.069,265.433,267.847,266.11,277.338,250.787,251.321,252.91,255.377,257.821,243.481,253.832,260.474,255.835,281.001,285.946,287.538,290.093,292.903,294.245,295.685,305.197,307.448,308.692,308.237,310.637,259.841,319.131,320.15,383.151,324.264,359.526,320.871,321.834,324.15,328.883
"  Machinery, Furniture, Equipment",0,0,186.889,263.154,350.904,433.555,484.671,536.621,512.188,616.942,694.555,841.586,864.997,942.604,1109.731,1161.16,		,0,0,0,0,0,0,0,0,106.853,109.777,186.889,187.6,240.61,251.733,263.154,273.07,306.311,336.283,350.904,378.807,396.447,416.61,433.555,438.227,466.027,472.772,484.671,485.429,510.464,541.925,536.621,557.963,575.267,592.367,512.188,537.79,555.271,513.827,616.942,640.342,648.053,684.824,694.555,727.664,770.014,800.994,841.586,889.658,927.705,957.426,864.997,1022.81,1038.027,1067.411,942.604,1012.739,1025.451,1057.279,1109.731,1161.16
  Construction In Progress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gross Property, Plant and Equipment",0,0,378.196,422.5,538.657,709.911,796.194,823.935,791.462,933.201,1023.123,1185.441,1158.118,1299.877,1471.419,1527.581,		,0,0,0,0,0,0,0,0,149.803,153.55,378.196,379.193,393.655,407.454,422.5,432.645,452.468,483.553,538.657,590.481,622.341,659.717,709.911,728.781,764.055,780.964,796.194,795.014,830.884,828.699,823.935,846.611,866.309,885.854,791.462,827.4,851.516,805.436,933.201,961.825,971.108,1010.56,1023.123,1058.018,1101.766,1142.235,1185.441,1234.514,1271.978,1304.103,1158.118,1377.946,1394.205,1486.574,1299.877,1405.562,1383.86,1416.651,1471.419,1527.581
  Accumulated Depreciation,-70.4,-75.804,-88.627,-139.922,-185.487,-244.647,-281.436,-314.189,-284.478,-381.042,-403.885,-473.729,-485.256,-556.193,-667.858,-703.476,		,-61.6,-64.1,-70.4,-68.6,-70.823,-74.187,-75.804,-77.612,-80.649,-82.541,-88.627,-99.236,-116.18,-127.669,-139.922,-150.839,-166.103,-173.647,-185.487,-201.662,-208.504,-216.774,-244.647,-258.622,-270.04,-268.196,-281.436,-297.035,-306.543,-316.076,-314.189,-327.927,-340.737,-356.867,-284.478,-303.653,-322.417,-284.213,-381.042,-389.381,-394.463,-415.515,-403.885,-416.109,-435.965,-454.051,-473.729,-497.702,-516.823,-542.115,-485.256,-584.342,-590.786,-621.528,-556.193,-605.222,-621.623,-639.56,-667.858,-703.476
"Property, Plant and Equipment",64.4,64.962,289.569,282.578,353.17,465.264,514.758,509.746,506.984,552.159,619.238,711.712,672.862,743.684,803.561,824.105,		,59.8,59.7,64.4,64.6,63.4,64.884,64.962,66.801,69.154,71.009,289.569,279.957,277.475,279.785,282.578,281.806,286.365,309.906,353.17,388.819,413.837,442.943,465.264,470.159,494.015,512.768,514.758,497.979,524.341,512.623,509.746,518.684,525.572,528.987,506.984,523.747,529.099,521.223,552.159,572.444,576.645,595.045,619.238,641.909,665.801,688.184,711.712,736.812,755.155,761.988,672.862,793.604,803.419,865.046,743.684,800.34,762.237,777.091,803.561,824.105
Intangible Assets,0,0,2466.848,2568.397,2828.437,2893.35,2878.724,3063.767,3088.78,2875.366,2859.064,2845.343,2805.72,3523.432,3499.713,3501.341,		,0,0,0,0,0,0,0,0,0,0,2466.848,2476.857,2464.43,2454.82,2568.397,2572.244,2705.247,2808.472,2828.437,2824.798,2864.981,2890.514,2893.35,2892.689,2892.896,2892.278,2878.724,2911.439,3052.114,3049.844,3063.767,3192.353,3186.39,3212.052,3088.78,3249.174,3235.121,3019.326,2875.366,2852.618,2844.783,2855.763,2859.064,2857.242,2854.637,2846.301,2845.343,2845.423,2846.206,2843.931,2805.72,3103.011,3108.418,3586.651,3523.432,3548.935,3512,3504.803,3499.713,3501.341
Other Long Term Assets,76.19999999999982,72.98599999999988,22.326000000000022,12.400000000001455,0,1.8189894035458565e-12,9.094947017729282e-13,1.8189894035458565e-12,0,120.5,140.6849999999995,129.4380000000001,129.0480000000025,116.6760000000013,221.71299999999974,242.3040000000019,		,77.90000000000009,59.299999999999955,76.19999999999982,74,69.22599999999989,71.70200000000023,72.98599999999988,81.20700000000033,87.79099999999971,85.80600000000004,22.326000000000022,17.755999999999403,19.412999999998647,10.592999999999847,12.400000000001455,9.350999999998749,27.3700000000008,21.157000000001062,0,0,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,9.094947017729282e-13,0,-9.094947017729282e-13,9.094947017729282e-13,1.8189894035458565e-12,0,0,1.8189894035458565e-12,0,1.8189894035458565e-12,0,0,0,0,0,120.5,129.01500000000124,122.90899999999965,146.56300000000192,140.6849999999995,140.9890000000014,134.8199999999997,131.29700000000048,129.4380000000001,121.91100000000006,123.40899999999965,128.5049999999992,129.0480000000025,125.87099999999919,129.5580000000009,125.47299999999996,116.6760000000013,124.05799999999908,112.41000000000167,158.36499999999796,221.71299999999974,242.3040000000019
Total Assets,2060.6,2458.567,10291.245,11213.012,12040.125,11654.003,11381.174,12783.92,12310.064,12217.786,13572.74,14434.843,14982.671,15442.256,18918.638,19796.095,		,1719.5,1914.9,2060.6,2344.5,2101.696,2402.78,2458.567,2955.757,2784.41,2887.944,10291.245,10933.32,10600.219,10432.694,11213.012,11959.172,12323.639,12609.772,12040.125,11809.978,12427.058,12242.551,11654.003,11310.27,11632.812,11406.961,11381.174,12575.878,12781.568,12867.042,12783.92,13042.918,13586.772,12891.22,12310.064,12611.757,12572.976,11988.34,12217.786,12561.146,12549.716,12735.751,13572.74,13556.271,13822.288,14003.785,14434.843,14132.319,14681.016,14855.729,14982.671,15978.266,15645.036,15747.592,15442.256,15495.532,16111.431,16579.332,18918.638,19796.095
