" NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"
"(D)(4)
Obj. 2.2",Objective D(4) 2.2 : Establish communication process with regional preparation programs to strengthen programs and increase success of first-year educators.,,,Attend annual meetings with IHE partners to provide feedback on teacher preparation programs.,"Personnel Director, Superintendent",Attend meetings and advocate for desired improvements.,0,,2012-13,R
"(D)(4)
Obj. 2.2",Objective D(4) 2.2 : Establish communication process with regional preparation programs to strengthen programs and increase success of first-year educators.,,,Attend annual meetings with IHE partners to provide feedback on teacher preparation programs.,"Personnel Director, Superintendent",Attend meetings and advocate for desired improvements.,0,,2013-14,R
"(D)(4)
Obj. 2.2",Objective D(4) 2.2 : Establish communication process with regional preparation programs to strengthen programs and increase success of first-year educators.,,,,,,,,,
"(D)(4)
Obj. 2.2",Objective D(4) 2.2 : Establish communication process with regional preparation programs to strengthen programs and increase success of first-year educators.,,,,,,,,,
"(D)(4)
Obj. 2.2",Objective D(4) 2.2 : Establish communication process with regional preparation programs to strengthen programs and increase success of first-year educators.,,,,,,,,,
"(D)(4)
Obj. 2.3",Objective D(4).2.3: Establish or extend existing partnerships with North Carolina colleges and universities.,"1, 2, 3 & 4",,Partner with IHEs (e.g. Martin Community College) to provide access for students to college-level courses.,LEA Testing Coordinator,Maintain access to STEM courses,2000,State,2011-12,R
"(D)(4)
Obj. 2.3",Objective D(4).2.3: Establish or extend existing partnerships with North Carolina colleges and universities.,"1, 2, 3 & 4",,Partner with IHEs to provide professional development opportunites for teachers and staff.,Asst. Superintendent,Publicize opportunities to participate in professional development offerings.,0,,2011-12,R
"(D)(4)
Obj. 2.3",Objective D(4).2.3: Establish or extend existing partnerships with North Carolina colleges and universities.,"1, 2, 3 & 4",,Partner with IHEs (e.g. Martin Community College) to provide access for students to college-level courses.,LEA Testing Coordinator,Maintain access to STEM courses,2000,State,2012-13,R
"(D)(4)
Obj. 2.3",Objective D(4).2.3: Establish or extend existing partnerships with North Carolina colleges and universities.,"1, 2, 3 & 4",,Partner with IHEs to provide professional development opportunites for teachers and staff.,Asst. Superintendent,Publicize opportunities to participate in professional development offerings.,0,,2012-13,R
"(D)(4)
Obj. 2.3",Objective D(4).2.3: Establish or extend existing partnerships with North Carolina colleges and universities.,"1, 2, 3 & 4",,Partner with IHEs (e.g. Martin Community College) to provide access for students to college-level courses.,LEA Testing Coordinator,Maintain access to STEM courses,2000,State,2013-14,R
"(D)(4)
Obj. 2.3",Objective D(4).2.3: Establish or extend existing partnerships with North Carolina colleges and universities.,"1, 2, 3 & 4",,Partner with IHEs to provide professional development opportunites for teachers and staff.,Asst. Superintendent,Publicize opportunities to participate in professional development offerings.,0,,2013-14,R
"(D)(5)
Obj. 1.1","Objective D(5) 1.1: Provide access to effective, high-quality, job-embedded, data-informed professional development and support for educators with objectives aligned to the Race to the Top Initiatives.",1 & 2,,"K-12 teachers and administrators will have the opportunity to attend 2 days of professional development at beginning of school year on topics such as NC FALCON, Common Core and Essential Standards, and technology topics.","Asst. Superintendent, Common Core Leadership Team",90% of instructional staff complete professional development sessions relevant to their teaching assignment.,1500,Local,2011-12,N
"(D)(5)
Obj. 1.1","Objective D(5) 1.1: Provide access to effective, high-quality, job-embedded, data-informed professional development and support for educators with objectives aligned to the Race to the Top Initiatives.",1 & 2,,"5 days of District-wide Professional Development for teachers spaced throughout the school year to include Revised Bloom's Taxonomy, Curriculum Mapping, Writing Pacing Guides, and Creating Assessment Questions. The district will utilize 5 teacher workdays granted through the calendar waiver.","Asst. Superintendent, Common Core Leadership Team",95% of teachers trained,15000,Other Federal,2011-12,N
"(D)(5)
Obj. 1.1","Objective D(5) 1.1: Provide access to effective, high-quality, job-embedded, data-informed professional development and support for educators with objectives aligned to the Race to the Top Initiatives.",1 & 2,,Train New teachers on Common Core and Essential Standards and review/revise curriculum maps as needed.,Asst. Superintendent; Common Core Leadership Team,"New teachers trained by March 1, 2013. ",5000,Other Federal,2012-13,R
"(D)(5)
Obj. 1.1","Objective D(5) 1.1: Provide access to effective, high-quality, job-embedded, data-informed professional development and support for educators with objectives aligned to the Race to the Top Initiatives.",1 & 2,,Train New teachers on Common Core and Essential Standards and review/revise curriculum maps as needed.,Asst. Superintendent; Common Core Leadership Team,"New teachers trained by March 1, 2013. ",5000,Other Federal,2012-13,R
"(D)(5)
Obj. 1.1","Objective D(5) 1.1: Provide access to effective, high-quality, job-embedded, data-informed professional development and support for educators with objectives aligned to the Race to the Top Initiatives.",1 & 2,,Common Core Leadership Team attend updates @ RESA as offered (from Raleigh meeting schedule),Asst. Superintendent; Common Core Leadership Team,"Attend 90% of meetings as allowed by schedule by June 30, 2012.",5000,Other Federal,2011-12,N
"(D)(5)
Obj. 1.1","Objective D(5) 1.1: Provide access to effective, high-quality, job-embedded, data-informed professional development and support for educators with objectives aligned to the Race to the Top Initiatives.",,,,,,,,,
"(D)(5)
Obj. 1.2","Objective D(5) 1.2: Measure, evaluate and improve professional development and support.",1,,"Create online evaluation tool by October 1, 2011, to be filled out by participants at the end of each professional development session.",Technology Director,95% of Professional Development Sessions use online evaluations,350,State,2011-12,N
"(D)(5)
Obj. 1.2","Objective D(5) 1.2: Measure, evaluate and improve professional development and support.",1,,"Create a year-end summary evaluation template by December 1, 2011, to survey the impact of professional development on job performance and/or effectiveness.",Technology Director,Summary Evaluation completed by at least 90% of teachers and administrators.,0,,2011-12,N
"(D)(5)
Obj. 1.2","Objective D(5) 1.2: Measure, evaluate and improve professional development and support.",1,,Continue to use evaluation tool for each professional development session and summary evaluation tool.,Technology Director,Professional Development session evaluation for at least 95% of Professional Development sessions and summary tool with at least 90% response rate.,0,,2012-13,R
"(D)(5)
Obj. 1.2","Objective D(5) 1.2: Measure, evaluate and improve professional development and support.",1,,Continue to use evaluation tool for each professional development session and summary evaluation tool.,Technology Director,Professional Development session evaluation for at least 95% of Professional Development sessions and summary tool with at least 90% response rate.,0,,2012-13,R
"(D)(5)
Obj. 1.2","Objective D(5) 1.2: Measure, evaluate and improve professional development and support.",,,,,,,,,
"(D)(5)
Obj. 1.2","Objective D(5) 1.2: Measure, evaluate and improve professional development and support.",,,,,,,,,
"(E)(2)
Obj. 1.1","Objective (E)(2) 1.1: Implement one of the U.S. Department of Education's four models in each of their lowest-achieving schools: turnaround, restart, closure, or transformation.",,,,,,,,,
"(E)(2)
Obj. 1.1","Objective (E)(2) 1.1: Implement one of the U.S. Department of Education's four models in each of their lowest-achieving schools: turnaround, restart, closure, or transformation.",,,,,,,,,
"(E)(2)
Obj. 1.1","Objective (E)(2) 1.1: Implement one of the U.S. Department of Education's four models in each of their lowest-achieving schools: turnaround, restart, closure, or transformation.",,,,,,,,,
"(E)(2)
Obj. 1.1","Objective (E)(2) 1.1: Implement one of the U.S. Department of Education's four models in each of their lowest-achieving schools: turnaround, restart, closure, or transformation.",,,,,,,,,
"(E)(2)
Obj. 1.1","Objective (E)(2) 1.1: Implement one of the U.S. Department of Education's four models in each of their lowest-achieving schools: turnaround, restart, closure, or transformation.",,,,,,,,,
"(E)(2)
Obj. 1.1","Objective (E)(2) 1.1: Implement one of the U.S. Department of Education's four models in each of their lowest-achieving schools: turnaround, restart, closure, or transformation.",,,,,,,,,
"(E)(2)
Obj. 1.2","Objective (E)(2) 1.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, change plan and implementation map.",,,,,,,,,
"(E)(2)
Obj. 1.2","Objective (E)(2) 1.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, change plan and implementation map.",,,,,,,,,
"(E)(2)
Obj. 1.2","Objective (E)(2) 1.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, change plan and implementation map.",,,,,,,,,
"(E)(2)
Obj. 1.2","Objective (E)(2) 1.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, change plan and implementation map.",,,,,,,,,
"(E)(2)
Obj. 1.2","Objective (E)(2) 1.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, change plan and implementation map.",,,,,,,,,
"(E)(2)
Obj. 1.2","Objective (E)(2) 1.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, change plan and implementation map.",,,,,,,,,
"(E)(2)
Obj. 1.3","Objective (E)(2) 1.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement, the Districts will replace leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(2)
Obj. 1.3","Objective (E)(2) 1.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement, the Districts will replace leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(2)
Obj. 1.3","Objective (E)(2) 1.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement, the Districts will replace leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(2)
Obj. 1.3","Objective (E)(2) 1.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement, the Districts will replace leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(2)
Obj. 1.3","Objective (E)(2) 1.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement, the Districts will replace leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(2)
Obj. 1.3","Objective (E)(2) 1.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement, the Districts will replace leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(2)
Obj. 1.4","Objective (E)(2) 1.4: Only if a school has made less than a 5-point increase on its performance composite after two years, the district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance and/or districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(2)
Obj. 1.4","Objective (E)(2) 1.4: Only if a school has made less than a 5-point increase on its performance composite after two years, the district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance and/or districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(2)
Obj. 1.4","Objective (E)(2) 1.4: Only if a school has made less than a 5-point increase on its performance composite after two years, the district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance and/or districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(2)
Obj. 1.4","Objective (E)(2) 1.4: Only if a school has made less than a 5-point increase on its performance composite after two years, the district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance and/or districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(2)
Obj. 1.4","Objective (E)(2) 1.4: Only if a school has made less than a 5-point increase on its performance composite after two years, the district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance and/or districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(2)
Obj. 1.4","Objective (E)(2) 1.4: Only if a school has made less than a 5-point increase on its performance composite after two years, the district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance and/or districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(2)
Obj. 2.1","Objective (E)(2) 2.1: Implement one of the U.S. Department of Education's four models in each of their lowest-achieving schools: turnaround, restart, closure, or transformation.",,,,,,,,,
"(E)(2)
Obj. 2.1","Objective (E)(2) 2.1: Implement one of the U.S. Department of Education's four models in each of their lowest-achieving schools: turnaround, restart, closure, or transformation.",,,,,,,,,
"(E)(2)
Obj. 2.1","Objective (E)(2) 2.1: Implement one of the U.S. Department of Education's four models in each of their lowest-achieving schools: turnaround, restart, closure, or transformation.",,,,,,,,,
"(E)(2)
Obj. 2.1","Objective (E)(2) 2.1: Implement one of the U.S. Department of Education's four models in each of their lowest-achieving schools: turnaround, restart, closure, or transformation.",,,,,,,,,
"(E)(2)
Obj. 2.1","Objective (E)(2) 2.1: Implement one of the U.S. Department of Education's four models in each of their lowest-achieving schools: turnaround, restart, closure, or transformation.",,,,,,,,,
"(E)(2)
Obj. 2.1","Objective (E)(2) 2.1: Implement one of the U.S. Department of Education's four models in each of their lowest-achieving schools: turnaround, restart, closure, or transformation.",,,,,,,,,
"(E)(2)
Obj. 2.2","Objective (E)(2) 2.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, change plan and implementation map.",,,,,,,,,
"(E)(2)
Obj. 2.2","Objective (E)(2) 2.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, change plan and implementation map.",,,,,,,,,
"(E)(2)
Obj. 2.2","Objective (E)(2) 2.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, change plan and implementation map.",,,,,,,,,
"(E)(2)
Obj. 2.2","Objective (E)(2) 2.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, change plan and implementation map.",,,,,,,,,
"(E)(2)
Obj. 2.2","Objective (E)(2) 2.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, change plan and implementation map.",,,,,,,,,
"(E)(2)
Obj. 2.2","Objective (E)(2) 2.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, change plan and implementation map.",,,,,,,,,
"(E)(2)
Obj. 2.3","Objective (E)(2) 2.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement, the Districts will replace leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(2)
Obj. 2.3","Objective (E)(2) 2.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement, the Districts will replace leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(2)
Obj. 2.3","Objective (E)(2) 2.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement, the Districts will replace leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(2)
Obj. 2.3","Objective (E)(2) 2.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement, the Districts will replace leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(2)
Obj. 2.3","Objective (E)(2) 2.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement, the Districts will replace leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(2)
Obj. 2.3","Objective (E)(2) 2.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement, the Districts will replace leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(2)
Obj. 2.4","Objective (E)(2) 2.4: Only if a school has made less than a 5-point increase on its performance composite after two years, the district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance and/or districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(2)
Obj. 2.4","Objective (E)(2) 2.4: Only if a school has made less than a 5-point increase on its performance composite after two years, the district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance and/or districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(2)
Obj. 2.4","Objective (E)(2) 2.4: Only if a school has made less than a 5-point increase on its performance composite after two years, the district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance and/or districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(2)
Obj. 2.4","Objective (E)(2) 2.4: Only if a school has made less than a 5-point increase on its performance composite after two years, the district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance and/or districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(2)
Obj. 2.4","Objective (E)(2) 2.4: Only if a school has made less than a 5-point increase on its performance composite after two years, the district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance and/or districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(2)
Obj. 2.4","Objective (E)(2) 2.4: Only if a school has made less than a 5-point increase on its performance composite after two years, the district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance and/or districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(3)
Obj. 3.1",Objective (E)(2) 3.1: Accept placement of a district transformation coach and other coaches as mutually identified.,,,,,,,,,
"(E)(3)
Obj. 3.1",Objective (E)(2) 3.1: Accept placement of a district transformation coach and other coaches as mutually identified.,,,,,,,,,
"(E)(3)
Obj. 3.1",Objective (E)(2) 3.1: Accept placement of a district transformation coach and other coaches as mutually identified.,,,,,,,,,
"(E)(3)
Obj. 3.1",Objective (E)(2) 3.1: Accept placement of a district transformation coach and other coaches as mutually identified.,,,,,,,,,
"(E)(3)
Obj. 3.1",Objective (E)(2) 3.1: Accept placement of a district transformation coach and other coaches as mutually identified.,,,,,,,,,
"(E)(3)
Obj. 3.1",Objective (E)(2) 3.1: Accept placement of a district transformation coach and other coaches as mutually identified.,,,,,,,,,
"(E)(3)
Obj. 3.2","Objective (E)(2) 3.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, a collaboratively developed change plan and implementation map.",,,,,,,,,
"(E)(3)
Obj. 3.2","Objective (E)(2) 3.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, a collaboratively developed change plan and implementation map.",,,,,,,,,
"(E)(3)
Obj. 3.2","Objective (E)(2) 3.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, a collaboratively developed change plan and implementation map.",,,,,,,,,
"(E)(3)
Obj. 3.2","Objective (E)(2) 3.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, a collaboratively developed change plan and implementation map.",,,,,,,,,
"(E)(3)
Obj. 3.2","Objective (E)(2) 3.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, a collaboratively developed change plan and implementation map.",,,,,,,,,
"(E)(3)
Obj. 3.2","Objective (E)(2) 3.2: Engage in NC Comprehensive Needs Assessment, Leadership and Instructional Coaching, Professional Development, a collaboratively developed change plan and implementation map.",,,,,,,,,
"(E)(3)
Obj. 3.3","Objective (E)(2) 3.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement: 

Districts agree to replace school leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(3)
Obj. 3.3","Objective (E)(2) 3.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement: 

Districts agree to replace school leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(3)
Obj. 3.3","Objective (E)(2) 3.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement: 

Districts agree to replace school leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(3)
Obj. 3.3","Objective (E)(2) 3.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement: 

Districts agree to replace school leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(3)
Obj. 3.3","Objective (E)(2) 3.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement: 

Districts agree to replace school leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(3)
Obj. 3.3","Objective (E)(2) 3.3: Only if a principal has led a lowest-achieving school for two years before Transformation division intervention without adequate progress in improving student achievement: 

Districts agree to replace school leadership, involving the Transformation division in the process.",,,,,,,,,
"(E)(3)
Obj. 3.4","Objective (E)(2) 3.4: Only if a school has made less than a 5-point increase on its performance composite after two years:

The district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance

and/or

Districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(3)
Obj. 3.4","Objective (E)(2) 3.4: Only if a school has made less than a 5-point increase on its performance composite after two years:

The district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance

and/or

Districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(3)
Obj. 3.4","Objective (E)(2) 3.4: Only if a school has made less than a 5-point increase on its performance composite after two years:

The district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance

and/or

Districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(3)
Obj. 3.4","Objective (E)(2) 3.4: Only if a school has made less than a 5-point increase on its performance composite after two years:

The district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance

and/or

Districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(3)
Obj. 3.4","Objective (E)(2) 3.4: Only if a school has made less than a 5-point increase on its performance composite after two years:

The district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance

and/or

Districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(E)(3)
Obj. 3.4","Objective (E)(2) 3.4: Only if a school has made less than a 5-point increase on its performance composite after two years:

The district will relinquish to the State Board oversight and control of curriculum and instruction, personnel, and budget and final decisions regarding school management and governance

and/or

Districts recognize that the State Board will require more aggressive intervention in lowest-achieving districts and schools if the district administration does not provide sufficient leadership for and cooperation with the turnaround process.",,,,,,,,,
"(P)(2)
Obj. 1.1",Objective (P)(2) 1.1: Provide curriculum support in new standards and use available data to place students in the most appropriate and rigorous science and math courses.,"1, 2, 3 & 4",,"Train teachers and counselors to use data from a variety of sources such as EVAAS, EXPLORE, PLAN, and EOG/EOC test data to appropriately place students.",LEA Testing Coordinator and Principals,"Increase percentage of students taking AP, Honors, and STEM courses by 5%.",5000,Other Federal,2011-12,R
"(P)(2)
Obj. 1.1",Objective (P)(2) 1.1: Provide curriculum support in new standards and use available data to place students in the most appropriate and rigorous science and math courses.,"1, 2, 3 & 4",,Partner with DPI and RESA to provide professional development opportunities on new standards.,"Asst Superintendent, RESA Director",Publicize opportunites for professional development; pay for travel to RESA training sites,5000,Other Federal,2011-12,R
"(P)(2)
Obj. 1.1",Objective (P)(2) 1.1: Provide curriculum support in new standards and use available data to place students in the most appropriate and rigorous science and math courses.,"1, 2, 3 & 4",,See B(3) 1.1 above,,,,,,
"(P)(2)
Obj. 1.1",Objective (P)(2) 1.1: Provide curriculum support in new standards and use available data to place students in the most appropriate and rigorous science and math courses.,1 & 2,,,,,,,,
"(P)(2)
Obj. 1.1",Objective (P)(2) 1.1: Provide curriculum support in new standards and use available data to place students in the most appropriate and rigorous science and math courses.,1 & 2,,,,,,,,
"(P)(2)
Obj. 1.1",Objective (P)(2) 1.1: Provide curriculum support in new standards and use available data to place students in the most appropriate and rigorous science and math courses.,,,,,,,,,
,,,,,,Total Budget for Required Activities in 2010-11:,258846.7,,,
,,,,,,2011-12:,348150,,,
,,,,,,2012-13:,320900,,,
,,,,,,2013-14:,32292,,,
,,,,,,Total Budget for Required RttT Activities:,960188.7,,,
