Table Number,Table Name,Code,Shortened Description
Table 7.01,Mental Disorders,291.3,ALCOH PSY DIS W HALLUCIN
Table 7.01,Mental Disorders,291.4,PATHOLOGIC ALCOHOL INTOX
Table 7.01,Mental Disorders,291.5,ALCOH PSYCH DIS W DELUS
Table 7.01,Mental Disorders,291.81,ALCOHOL WITHDRAWAL
Table 7.01,Mental Disorders,291.82,ALCOH INDUCE SLEEP DISOR
Table 7.01,Mental Disorders,291.89,ALCOHOL MENTAL DISOR NEC
Table 7.01,Mental Disorders,291.9,ALCOHOL MENTAL DISOR NOS
Table 7.01,Mental Disorders,292.0,DRUG WITHDRAWAL
Table 7.01,Mental Disorders,292.11,DRUG PSYCH DISOR W DELUS
Table 7.01,Mental Disorders,292.12,DRUG PSY DIS W HALLUCIN
Table 7.01,Mental Disorders,292.2,PATHOLOGIC DRUG INTOX
Table 7.01,Mental Disorders,292.81,DRUG-INDUCED DELIRIUM
Table 7.01,Mental Disorders,292.82,DRUG PERSISTING DEMENTIA
Table 7.01,Mental Disorders,292.83,DRUG PERSIST AMNESTC DIS
Table 7.01,Mental Disorders,292.84,DRUG-INDUCED MOOD DISORD
Table 7.01,Mental Disorders,292.85,DRUG INDUCED SLEEP DISOR
Table 7.01,Mental Disorders,292.89,DRUG MENTAL DISORDER NEC
Table 7.01,Mental Disorders,292.9,DRUG MENTAL DISORDER NOS
Table 7.01,Mental Disorders,293.0,DELIRIUM D/T OTHER COND
Table 7.01,Mental Disorders,293.1,SUBACUTE DELIRIUM
Table 7.01,Mental Disorders,293.81,PSY DIS W DELUS OTH DIS
Table 7.01,Mental Disorders,293.82,PSY DIS W HALLUC OTH DIS
Table 7.01,Mental Disorders,293.83,MOOD DISORDER OTHER DIS
Table 7.01,Mental Disorders,293.84,ANXIETY DISORDER OTH DIS
Table 7.01,Mental Disorders,293.89,TRANSIENT MENTAL DIS NEC
Table 7.01,Mental Disorders,293.9,TRANSIENT MENTAL DIS NOS
Table 7.01,Mental Disorders,294.0,AMNESTIC DISORD OTH DIS
Table 7.01,Mental Disorders,294.10,DEMENTIA W/O BEHAV DIST
Table 7.01,Mental Disorders,294.11,DEMENTIA W BEHAVIOR DIST
Table 7.01,Mental Disorders,294.20,DEMEN NOS W/O BEHV DSTRB
Table 7.01,Mental Disorders,294.21,DEMEN NOS W BEHV DSTRB
Table 7.01,Mental Disorders,294.8,MENTAL DISOR NEC OTH DIS
Table 7.01,Mental Disorders,294.9,MENTAL DISOR NOS OTH DIS
Table 7.01,Mental Disorders,295.00,SIMPL SCHIZOPHREN-UNSPEC
Table 7.01,Mental Disorders,295.01,SIMPL SCHIZOPHREN-SUBCHR
Table 7.01,Mental Disorders,295.02,SIMPLE SCHIZOPHREN-CHR
Table 7.01,Mental Disorders,295.03,SIMP SCHIZ-SUBCHR/EXACER
Table 7.01,Mental Disorders,295.04,SIMPL SCHIZO-CHR/EXACERB
Table 7.01,Mental Disorders,295.05,SIMPL SCHIZOPHREN-REMISS
Table 7.01,Mental Disorders,295.10,HEBEPHRENIA-UNSPEC
Table 7.01,Mental Disorders,295.11,HEBEPHRENIA-SUBCHRONIC
Table 7.01,Mental Disorders,295.12,HEBEPHRENIA-CHRONIC
Table 7.01,Mental Disorders,295.13,HEBEPHREN-SUBCHR/EXACERB
Table 7.01,Mental Disorders,295.14,HEBEPHRENIA-CHR/EXACERB
Table 7.01,Mental Disorders,295.15,HEBEPHRENIA-REMISSION
Table 7.01,Mental Disorders,295.20,CATATONIA-UNSPEC
Table 7.01,Mental Disorders,295.21,CATATONIA-SUBCHRONIC
Table 7.01,Mental Disorders,295.22,CATATONIA-CHRONIC
Table 7.01,Mental Disorders,295.23,CATATONIA-SUBCHR/EXACERB
Table 7.01,Mental Disorders,295.24,CATATONIA-CHR/EXACERB
Table 7.01,Mental Disorders,295.25,CATATONIA-REMISSION
Table 7.01,Mental Disorders,295.30,PARANOID SCHIZO-UNSPEC
Table 7.01,Mental Disorders,295.31,PARANOID SCHIZO-SUBCHR
Table 7.01,Mental Disorders,295.32,PARANOID SCHIZO-CHRONIC
Table 7.01,Mental Disorders,295.33,PARAN SCHIZO-SUBCHR/EXAC
Table 7.01,Mental Disorders,295.34,PARAN SCHIZO-CHR/EXACERB
Table 7.01,Mental Disorders,295.35,PARANOID SCHIZO-REMISS
Table 7.01,Mental Disorders,295.40,SCHIZOPHRENIFORM DIS NOS
Table 7.01,Mental Disorders,295.41,SCHIZOPHRENIC DIS-SUBCHR
Table 7.01,Mental Disorders,295.42,SCHIZOPHREN DIS-CHRONIC
Table 7.01,Mental Disorders,295.43,SCHIZO DIS-SUBCHR/EXACER
Table 7.01,Mental Disorders,295.44,SCHIZOPHR DIS-CHR/EXACER
Table 7.01,Mental Disorders,295.45,SCHIZOPHRENIC DIS-REMISS
Table 7.01,Mental Disorders,295.50,LATENT SCHIZOPHREN-UNSP
Table 7.01,Mental Disorders,295.51,LAT SCHIZOPHREN-SUBCHR
Table 7.01,Mental Disorders,295.52,LATENT SCHIZOPHREN-CHR
Table 7.01,Mental Disorders,295.53,LAT SCHIZO-SUBCHR/EXACER
Table 7.01,Mental Disorders,295.54,LATENT SCHIZO-CHR/EXACER
Table 7.01,Mental Disorders,295.55,LAT SCHIZOPHREN-REMISS
Table 7.01,Mental Disorders,295.60,SCHIZOPHR DIS RESID NOS
Table 7.01,Mental Disorders,295.61,SCHIZOPH DIS RESID-SUBCH
Table 7.01,Mental Disorders,295.62,SCHIZOPHR DIS RESID-CHR
Table 7.01,Mental Disorders,295.63,SCHIZO RESID SUBCHR/EXAC
Table 7.01,Mental Disorders,295.64,SCHIZOPH RESID-CHRO/EXAC
Table 7.01,Mental Disorders,295.65,SCHIZOPH DIS RESID-REMIS
Table 7.01,Mental Disorders,295.70,SCHIZOAFFECTIVE DIS NOS
Table 7.01,Mental Disorders,295.71,SCHIZOAFFECTV DIS-SUBCHR
Table 7.01,Mental Disorders,295.72,SCHIZOAFFECTIVE DIS-CHR
Table 7.01,Mental Disorders,295.73,SCHIZOAFF DIS-SUBCH/EXAC
Table 7.01,Mental Disorders,295.74,SCHIZOAFFTV DIS-CHR/EXAC
Table 7.01,Mental Disorders,295.75,SCHIZOAFFECTVE DIS-REMIS
Table 7.01,Mental Disorders,295.80,SCHIZOPHRENIA NEC-UNSPEC
Table 7.01,Mental Disorders,295.81,SCHIZOPHRENIA NEC-SUBCHR
Table 7.01,Mental Disorders,295.82,SCHIZOPHRENIA NEC-CHR
Table 7.01,Mental Disorders,295.83,SCHIZO NEC-SUBCHR/EXACER
Table 7.01,Mental Disorders,295.84,SCHIZO NEC-CHR/EXACERB
Table 7.01,Mental Disorders,295.85,SCHIZOPHRENIA NEC-REMISS
Table 7.01,Mental Disorders,295.90,SCHIZOPHRENIA NOS-UNSPEC
Table 7.01,Mental Disorders,295.91,SCHIZOPHRENIA NOS-SUBCHR
Table 7.01,Mental Disorders,295.92,SCHIZOPHRENIA NOS-CHR
Table 7.01,Mental Disorders,295.93,SCHIZO NOS-SUBCHR/EXACER
Table 7.01,Mental Disorders,295.94,SCHIZO NOS-CHR/EXACERB
Table 7.01,Mental Disorders,295.95,SCHIZOPHRENIA NOS-REMISS
Table 7.01,Mental Disorders,296.00,BIPOL I SINGLE MANIC NOS
Table 7.01,Mental Disorders,296.01,BIPOL I SINGLE MANC-MILD
Table 7.01,Mental Disorders,296.02,BIPOL I SINGLE MANIC-MOD
Table 7.01,Mental Disorders,296.03,BIPOL I SING-SEV W/O PSY
Table 7.01,Mental Disorders,296.04,BIPO I SIN MAN-SEV W PSY
Table 7.01,Mental Disorders,296.05,BIPOL I SING MAN REM NOS
Table 7.01,Mental Disorders,296.06,BIPOL I SINGLE MANIC REM
Table 7.01,Mental Disorders,296.10,RECUR MANIC DIS-UNSPEC
Table 7.01,Mental Disorders,296.11,RECUR MANIC DIS-MILD
Table 7.01,Mental Disorders,296.12,RECUR MANIC DIS-MOD
Table 7.01,Mental Disorders,296.13,RECUR MANIC DIS-SEVERE
Table 7.01,Mental Disorders,296.14,RECUR MANIC-SEV W PSYCHO
Table 7.01,Mental Disorders,296.15,RECUR MANIC-PART REMISS
Table 7.01,Mental Disorders,296.16,RECUR MANIC-FULL REMISS
Table 7.01,Mental Disorders,296.20,DEPRESS PSYCHOSIS-UNSPEC
Table 7.01,Mental Disorders,296.21,DEPRESS PSYCHOSIS-MILD
Table 7.01,Mental Disorders,296.22,DEPRESSIVE PSYCHOSIS-MOD
Table 7.01,Mental Disorders,296.23,DEPRESS PSYCHOSIS-SEVERE
Table 7.01,Mental Disorders,296.24,DEPR PSYCHOS-SEV W PSYCH
Table 7.01,Mental Disorders,296.25,DEPR PSYCHOS-PART REMISS
Table 7.01,Mental Disorders,296.26,DEPR PSYCHOS-FULL REMISS
Table 7.01,Mental Disorders,296.30,RECURR DEPR PSYCHOS-UNSP
Table 7.01,Mental Disorders,296.31,RECURR DEPR PSYCHOS-MILD
Table 7.01,Mental Disorders,296.32,RECURR DEPR PSYCHOS-MOD
Table 7.01,Mental Disorders,296.33,RECUR DEPR PSYCH-SEVERE
Table 7.01,Mental Disorders,296.34,REC DEPR PSYCH-PSYCHOTIC
Table 7.01,Mental Disorders,296.35,RECUR DEPR PSYC-PART REM
Table 7.01,Mental Disorders,296.36,RECUR DEPR PSYC-FULL REM
Table 7.01,Mental Disorders,296.40,BIPOL I CURRNT MANIC NOS
Table 7.01,Mental Disorders,296.41,BIPOL I CURNT MANIC-MILD
Table 7.01,Mental Disorders,296.42,BIPOL I CURRNT MANIC-MOD
Table 7.01,Mental Disorders,296.43,BIPOL I MANC-SEV W/O PSY
Table 7.01,Mental Disorders,296.44,BIPOL I MANIC-SEV W PSY
Table 7.01,Mental Disorders,296.45,BIPOL I CUR MAN PART REM
Table 7.01,Mental Disorders,296.46,BIPOL I CUR MAN FULL REM
Table 7.01,Mental Disorders,296.50,BIPOL I CUR DEPRES NOS
Table 7.01,Mental Disorders,296.51,BIPOL I CUR DEPRESS-MILD
Table 7.01,Mental Disorders,296.52,BIPOL I CUR DEPRESS-MOD
Table 7.01,Mental Disorders,296.53,BIPOL I CURR DEP W/O PSY
Table 7.01,Mental Disorders,296.54,BIPOL I CURRNT DEP W PSY
Table 7.01,Mental Disorders,296.55,BIPOL I CUR DEP REM NOS
Table 7.01,Mental Disorders,296.56,BIPOL I CURRNT DEP REMIS
Table 7.01,Mental Disorders,296.60,BIPOL I CURRNT MIXED NOS
Table 7.01,Mental Disorders,296.61,BIPOL I CURRNT MIX-MILD
Table 7.01,Mental Disorders,296.62,BIPOL I CURRNT MIXED-MOD
Table 7.01,Mental Disorders,296.63,BIPOL I CUR MIX W/O PSY
Table 7.01,Mental Disorders,296.64,BIPOL I CUR MIXED W PSY
Table 7.01,Mental Disorders,296.65,BIPOL I CUR MIX-PART REM
Table 7.01,Mental Disorders,296.66,BIPOL I CUR MIXED REMISS
Table 7.01,Mental Disorders,296.7,BIPOLOR I CURRENT NOS
Table 7.01,Mental Disorders,296.80,BIPOLAR DISORDER NOS
Table 7.01,Mental Disorders,296.81,ATYPICAL MANIC DISORDER
Table 7.01,Mental Disorders,296.82,ATYPICAL DEPRESSIVE DIS
Table 7.01,Mental Disorders,296.89,BIPOLAR DISORDER NEC
Table 7.01,Mental Disorders,296.90,EPISODIC MOOD DISORD NOS
Table 7.01,Mental Disorders,296.99,EPISODIC MOOD DISORD NEC
Table 7.01,Mental Disorders,297.0,"PARANOID STATE, SIMPLE"
Table 7.01,Mental Disorders,297.1,DELUSIONAL DISORDER
Table 7.01,Mental Disorders,297.2,PARAPHRENIA
Table 7.01,Mental Disorders,297.3,SHARED PSYCHOTIC DISORD
Table 7.01,Mental Disorders,297.8,PARANOID STATES NEC
Table 7.01,Mental Disorders,297.9,PARANOID STATE NOS
Table 7.01,Mental Disorders,298.0,REACT DEPRESS PSYCHOSIS
Table 7.01,Mental Disorders,298.1,EXCITATIV TYPE PSYCHOSIS
Table 7.01,Mental Disorders,298.2,REACTIVE CONFUSION
Table 7.01,Mental Disorders,298.3,ACUTE PARANOID REACTION
Table 7.01,Mental Disorders,298.4,PSYCHOGEN PARANOID PSYCH
Table 7.01,Mental Disorders,298.8,REACT PSYCHOSIS NEC/NOS
Table 7.01,Mental Disorders,298.9,PSYCHOSIS NOS
Table 7.01,Mental Disorders,299.00,AUTISTIC DISORD-CURRENT
Table 7.01,Mental Disorders,299.01,AUTISTIC DISORD-RESIDUAL
Table 7.01,Mental Disorders,299.10,CHILDHD DISINTEGR-ACTIVE
Table 7.01,Mental Disorders,299.11,CHILDHD DISINTEGR-RESID
Table 7.01,Mental Disorders,299.80,PERVASV DEV DIS-CUR NEC
Table 7.01,Mental Disorders,299.81,PERVASV DEV DIS-RES NEC
Table 7.01,Mental Disorders,299.90,PERVASV DEV DIS-CUR NOS
Table 7.01,Mental Disorders,299.91,PERVASV DEV DIS-RES NOS
Table 7.01,Mental Disorders,300.00,ANXIETY STATE NOS
Table 7.01,Mental Disorders,300.01,PANIC DIS W/O AGORPHOBIA
Table 7.01,Mental Disorders,300.02,GENERALIZED ANXIETY DIS
Table 7.01,Mental Disorders,300.09,ANXIETY STATE NEC
Table 7.01,Mental Disorders,300.10,HYSTERIA NOS
Table 7.01,Mental Disorders,300.11,CONVERSION DISORDER
Table 7.01,Mental Disorders,300.12,DISSOCIATIVE AMNESIA
Table 7.01,Mental Disorders,300.13,DISSOCIATIVE FUGUE
Table 7.01,Mental Disorders,300.14,DISSOCIATVE IDENTITY DIS
Table 7.01,Mental Disorders,300.15,DISSOCIATIVE REACT NOS
Table 7.01,Mental Disorders,300.16,FACTITIOUS DIS W SYMPTOM
Table 7.01,Mental Disorders,300.19,FACTITIOUS ILL NEC/NOS
Table 7.01,Mental Disorders,300.20,PHOBIA NOS
Table 7.01,Mental Disorders,300.21,AGORAPHOBIA W PANIC DIS
Table 7.01,Mental Disorders,300.22,AGORAPHOBIA W/O PANIC
Table 7.01,Mental Disorders,300.23,SOCIAL PHOBIA
Table 7.01,Mental Disorders,300.29,ISOLATED/SPEC PHOBIA NEC
Table 7.01,Mental Disorders,300.3,OBSESSIVE-COMPULSIVE DIS
Table 7.01,Mental Disorders,300.4,DYSTHYMIC DISORDER
Table 7.01,Mental Disorders,300.5,NEURASTHENIA
Table 7.01,Mental Disorders,300.6,DEPERSONALIZATION DISORD
Table 7.01,Mental Disorders,300.7,HYPOCHONDRIASIS
Table 7.01,Mental Disorders,300.81,SOMATIZATION DISORDER
Table 7.01,Mental Disorders,300.82,UNDIFF SOMATOFORM DISRDR
Table 7.01,Mental Disorders,300.89,SOMATOFORM DISORDERS NEC
Table 7.01,Mental Disorders,300.9,NONPSYCHOTIC DISORD NOS
Table 7.01,Mental Disorders,301.0,PARANOID PERSONALITY
Table 7.01,Mental Disorders,301.10,AFFECTIV PERSONALITY NOS
Table 7.01,Mental Disorders,301.11,CHRONIC HYPOMANIC PERSON
Table 7.01,Mental Disorders,301.12,CHR DEPRESSIVE PERSON
Table 7.01,Mental Disorders,301.13,CYCLOTHYMIC DISORDER
Table 7.01,Mental Disorders,301.20,SCHIZOID PERSONALITY NOS
Table 7.01,Mental Disorders,301.21,INTROVERTED PERSONALITY
Table 7.01,Mental Disorders,301.22,SCHIZOTYPAL PERSON DIS
Table 7.01,Mental Disorders,301.3,EXPLOSIVE PERSONALITY
Table 7.01,Mental Disorders,301.4,OBSESSIVE-COMPULSIVE DIS
Table 7.01,Mental Disorders,301.50,HISTRIONIC PERSON NOS
Table 7.01,Mental Disorders,301.51,CHR FACTITIOUS ILLNESS
Table 7.01,Mental Disorders,301.59,HISTRIONIC PERSON NEC
Table 7.01,Mental Disorders,301.6,DEPENDENT PERSONALITY
Table 7.01,Mental Disorders,301.7,ANTISOCIAL PERSONALITY
Table 7.01,Mental Disorders,301.81,NARCISSISTIC PERSONALITY
Table 7.01,Mental Disorders,301.82,AVOIDANT PERSONALITY DIS
Table 7.01,Mental Disorders,301.83,BORDERLINE PERSONALITY
Table 7.01,Mental Disorders,301.84,PASSIVE-AGGRESSIV PERSON
Table 7.01,Mental Disorders,301.89,PERSONALITY DISORDER NEC
Table 7.01,Mental Disorders,301.9,PERSONALITY DISORDER NOS
Table 7.01,Mental Disorders,302.0,EGO-DYSTONIC SEX ORIENT
Table 7.01,Mental Disorders,302.1,ZOOPHILIA
Table 7.01,Mental Disorders,302.2,PEDOPHILIA
Table 7.01,Mental Disorders,302.3,TRANSVESTIC FETISHISM
Table 7.01,Mental Disorders,302.4,EXHIBITIONISM
Table 7.01,Mental Disorders,302.50,TRANS-SEXUALISM NOS
Table 7.01,Mental Disorders,302.51,"TRANS-SEXUALISM, ASEXUAL"
Table 7.01,Mental Disorders,302.52,"TRANS-SEXUAL, HOMOSEXUAL"
Table 7.01,Mental Disorders,302.53,"TRANS-SEX, HETEROSEXUAL"
Table 7.01,Mental Disorders,302.6,GENDR IDENTITY DIS-CHILD
Table 7.01,Mental Disorders,302.70,PSYCHOSEXUAL DYSFUNC NOS
Table 7.01,Mental Disorders,302.71,HYPOACTIVE SEX DESIRE
Table 7.01,Mental Disorders,302.72,INHIBITED SEX EXCITEMENT
Table 7.01,Mental Disorders,302.73,FEMALE ORGASMIC DISORDER
Table 7.01,Mental Disorders,302.74,MALE ORGASMIC DISORDER
Table 7.01,Mental Disorders,302.75,PREMATURE EJACULATION
Table 7.01,Mental Disorders,302.76,"DYSPAREUNIA, PSYCHOGENIC"
Table 7.01,Mental Disorders,302.79,PSYCHOSEXUAL DYSFUNC NEC
Table 7.01,Mental Disorders,302.81,FETISHISM
Table 7.01,Mental Disorders,302.82,VOYEURISM
Table 7.01,Mental Disorders,302.83,SEXUAL MASOCHISM
Table 7.01,Mental Disorders,302.84,SEXUAL SADISM
Table 7.01,Mental Disorders,302.85,"GEND IDEN DIS, ADOL/ADULT"
Table 7.01,Mental Disorders,302.89,PSYCHOSEXUAL DIS NEC
Table 7.01,Mental Disorders,302.9,PSYCHOSEXUAL DIS NOS
Table 7.01,Mental Disorders,303.00,Ac alcohol intox-unspec
Table 7.01,Mental Disorders,303.01,Ac alcohol intox-contin
Table 7.01,Mental Disorders,303.02,Ac alcohol intox-episod
Table 7.01,Mental Disorders,303.03,Ac alcohol intox-remiss
Table 7.01,Mental Disorders,303.90,Alcoh dep NEC/NOS-unspec
Table 7.01,Mental Disorders,303.91,Alcoh dep NEC/NOS-contin
Table 7.01,Mental Disorders,303.92,Alcoh dep NEC/NOS-episod
Table 7.01,Mental Disorders,303.93,Alcoh dep NEC/NOS-remiss
Table 7.01,Mental Disorders,304.00,Opioid dependence-unspec
Table 7.01,Mental Disorders,304.01,Opioid dependence-contin
Table 7.01,Mental Disorders,304.02,Opioid dependence-episod
Table 7.01,Mental Disorders,304.03,Opioid dependence-remiss
Table 7.01,Mental Disorders,304.10,"Sed,hyp,anxiolyt dep-NOS"
Table 7.01,Mental Disorders,304.11,"Sed,hyp,anxiolyt dep-con"
Table 7.01,Mental Disorders,304.12,"Sed,hyp,anxiolyt dep-epi"
Table 7.01,Mental Disorders,304.13,"Sed,hyp,anxiolyt dep-rem"
Table 7.01,Mental Disorders,304.20,Cocaine depend-unspec
Table 7.01,Mental Disorders,304.21,Cocaine depend-contin
Table 7.01,Mental Disorders,304.22,Cocaine depend-episodic
Table 7.01,Mental Disorders,304.23,Cocaine depend-remiss
Table 7.01,Mental Disorders,304.30,Cannabis depend-unspec
Table 7.01,Mental Disorders,304.31,Cannabis depend-contin
Table 7.01,Mental Disorders,304.32,Cannabis depend-episodic
Table 7.01,Mental Disorders,304.33,Cannabis depend-remiss
Table 7.01,Mental Disorders,304.40,Amphetamin depend-unspec
Table 7.01,Mental Disorders,304.41,Amphetamin depend-contin
Table 7.01,Mental Disorders,304.42,Amphetamin depend-episod
Table 7.01,Mental Disorders,304.43,Amphetamin depend-remiss
Table 7.01,Mental Disorders,304.50,Hallucinogen dep-unspec
Table 7.01,Mental Disorders,304.51,Hallucinogen dep-contin
Table 7.01,Mental Disorders,304.52,Hallucinogen dep-episod
Table 7.01,Mental Disorders,304.53,Hallucinogen dep-remiss
Table 7.01,Mental Disorders,304.60,Drug depend NEC-unspec
Table 7.01,Mental Disorders,304.61,Drug depend NEC-contin
Table 7.01,Mental Disorders,304.62,Drug depend NEC-episodic
Table 7.01,Mental Disorders,304.63,Drug depend NEC-in rem
Table 7.01,Mental Disorders,304.70,Opioid/other dep-unspec
Table 7.01,Mental Disorders,304.71,Opioid/other dep-contin
Table 7.01,Mental Disorders,304.72,Opioid/other dep-episod
Table 7.01,Mental Disorders,304.73,Opioid/other dep-remiss
Table 7.01,Mental Disorders,304.80,Comb drug dep NEC-unspec
Table 7.01,Mental Disorders,304.81,Comb drug dep NEC-contin
Table 7.01,Mental Disorders,304.82,Comb drug dep NEC-episod
Table 7.01,Mental Disorders,304.83,Comb drug dep NEC-remiss
Table 7.01,Mental Disorders,304.90,Drug depend NOS-unspec
Table 7.01,Mental Disorders,304.91,Drug depend NOS-contin
Table 7.01,Mental Disorders,304.92,Drug depend NOS-episodic
Table 7.01,Mental Disorders,304.93,Drug depend NOS-remiss
Table 7.01,Mental Disorders,305.00,Alcohol abuse-unspec
Table 7.01,Mental Disorders,305.01,Alcohol abuse-continuous
Table 7.01,Mental Disorders,305.02,Alcohol abuse-episodic
Table 7.01,Mental Disorders,305.03,Alcohol abuse-in remiss
Table 7.01,Mental Disorders,305.1,Tobacco use disorder
Table 7.01,Mental Disorders,305.20,Cannabis abuse-unspec
Table 7.01,Mental Disorders,305.21,Cannabis abuse-contin
Table 7.01,Mental Disorders,305.22,Cannabis abuse-episodic
Table 7.01,Mental Disorders,305.23,Cannabis abuse-in remiss
Table 7.01,Mental Disorders,305.30,Hallucinog abuse-unspec
Table 7.01,Mental Disorders,305.31,Hallucinog abuse-contin
Table 7.01,Mental Disorders,305.32,Hallucinog abuse-episod
Table 7.01,Mental Disorders,305.33,Hallucinog abuse-remiss
Table 7.01,Mental Disorders,305.40,"Sed,hyp,anxiolytc ab-NOS"
Table 7.01,Mental Disorders,305.41,"Sed,hyp,anxiolytc ab-con"
Table 7.01,Mental Disorders,305.42,"Sed,hyp,anxiolytc ab-epi"
Table 7.01,Mental Disorders,305.43,"Sed,hyp,anxiolytc ab-rem"
Table 7.01,Mental Disorders,305.50,Opioid abuse-unspec
Table 7.01,Mental Disorders,305.51,Opioid abuse-continuous
Table 7.01,Mental Disorders,305.52,Opioid abuse-episodic
Table 7.01,Mental Disorders,305.53,Opioid abuse-in remiss
Table 7.01,Mental Disorders,305.60,Cocaine abuse-unspec
Table 7.01,Mental Disorders,305.61,Cocaine abuse-continuous
Table 7.01,Mental Disorders,305.62,Cocaine abuse-episodic
Table 7.01,Mental Disorders,305.63,Cocaine abuse-in remiss
Table 7.01,Mental Disorders,305.70,Amphetamine abuse-unspec
Table 7.01,Mental Disorders,305.71,Amphetamine abuse-contin
Table 7.01,Mental Disorders,305.72,Amphetamine abuse-episod
Table 7.01,Mental Disorders,305.73,Amphetamine abuse-remiss
Table 7.01,Mental Disorders,305.80,Antidepress abuse-unspec
Table 7.01,Mental Disorders,305.81,Antidepress abuse-contin
Table 7.01,Mental Disorders,305.82,Antidepress abuse-episod
Table 7.01,Mental Disorders,305.83,Antidepress abuse-remiss
Table 7.01,Mental Disorders,305.90,Drug abuse NEC-unspec
Table 7.01,Mental Disorders,305.91,Drug abuse NEC-contin
Table 7.01,Mental Disorders,305.92,Drug abuse NEC-episodic
Table 7.01,Mental Disorders,305.93,Drug abuse NEC-in remiss
Table 7.01,Mental Disorders,306.0,PSYCHOGEN MUSCULSKEL DIS
Table 7.01,Mental Disorders,306.1,PSYCHOGENIC RESPIR DIS
Table 7.01,Mental Disorders,306.2,PSYCHOGEN CARDIOVASC DIS
Table 7.01,Mental Disorders,306.3,PSYCHOGENIC SKIN DISEASE
Table 7.01,Mental Disorders,306.4,PSYCHOGENIC GI DISEASE
Table 7.01,Mental Disorders,306.50,PSYCHOGENIC GU DIS NOS
Table 7.01,Mental Disorders,306.51,PSYCHOGENIC VAGINISMUS
Table 7.01,Mental Disorders,306.52,PSYCHOGENIC DYSMENORRHEA
Table 7.01,Mental Disorders,306.53,PSYCHOGENIC DYSURIA
Table 7.01,Mental Disorders,306.59,PSYCHOGENIC GU DIS NEC
Table 7.01,Mental Disorders,306.6,PSYCHOGEN ENDOCRINE DIS
Table 7.01,Mental Disorders,306.7,PSYCHOGENIC SENSORY DIS
Table 7.01,Mental Disorders,306.8,PSYCHOGENIC DISORDER NEC
Table 7.01,Mental Disorders,306.9,PSYCHOGENIC DISORDER NOS
Table 7.01,Mental Disorders,307.0,ADULT ONSET FLNCY DISORD
Table 7.01,Mental Disorders,307.1,ANOREXIA NERVOSA
Table 7.01,Mental Disorders,307.20,TIC DISORDER NOS
Table 7.01,Mental Disorders,307.21,TRANSIENT TIC DISORDER
Table 7.01,Mental Disorders,307.22,CHR MOTOR/VOCAL TIC DIS
Table 7.01,Mental Disorders,307.23,TOURETTE'S DISORDER
Table 7.01,Mental Disorders,307.3,STEREOTYPIC MOVEMENT DIS
Table 7.01,Mental Disorders,307.40,NONORGANIC SLEEP DIS NOS
Table 7.01,Mental Disorders,307.41,TRANSIENT INSOMNIA
Table 7.01,Mental Disorders,307.42,PERSISTENT INSOMNIA
Table 7.01,Mental Disorders,307.43,TRANSIENT HYPERSOMNIA
Table 7.01,Mental Disorders,307.44,PERSISTENT HYPERSOMNIA
Table 7.01,Mental Disorders,307.45,NONORGANIC CIRCADIAN RHY
Table 7.01,Mental Disorders,307.46,SLEEP AROUSAL DISORDER
Table 7.01,Mental Disorders,307.47,SLEEP STAGE DYSFUNC NEC
Table 7.01,Mental Disorders,307.48,REPETIT SLEEP INTRUSION
Table 7.01,Mental Disorders,307.49,NONORGANIC SLEEP DIS NEC
Table 7.01,Mental Disorders,307.50,EATING DISORDER NOS
Table 7.01,Mental Disorders,307.51,BULIMIA NERVOSA
Table 7.01,Mental Disorders,307.52,PICA
Table 7.01,Mental Disorders,307.53,RUMINATION DISORDER
Table 7.01,Mental Disorders,307.54,PSYCHOGENIC VOMITING
Table 7.01,Mental Disorders,307.59,EATING DISORDER NEC
Table 7.01,Mental Disorders,307.6,ENURESIS
Table 7.01,Mental Disorders,307.7,ENCOPRESIS
Table 7.01,Mental Disorders,307.80,PSYCHOGENIC PAIN NOS
Table 7.01,Mental Disorders,307.81,TENSION HEADACHE
Table 7.01,Mental Disorders,307.89,PSYCHOGENIC PAIN NEC
Table 7.01,Mental Disorders,307.9,SPECIAL SYMPTOM NEC/NOS
Table 7.01,Mental Disorders,308.0,"STRESS REACT, EMOTIONAL"
Table 7.01,Mental Disorders,308.1,"STRESS REACTION, FUGUE"
Table 7.01,Mental Disorders,308.2,"STRESS REACT, PSYCHOMOT"
Table 7.01,Mental Disorders,308.3,ACUTE STRESS REACT NEC
Table 7.01,Mental Disorders,308.4,"STRESS REACT, MIXED DIS"
Table 7.01,Mental Disorders,308.9,ACUTE STRESS REACT NOS
Table 7.01,Mental Disorders,309.0,ADJUSTMNT DIS W DEPRESSN
Table 7.01,Mental Disorders,309.1,PROLONG DEPRESSIVE REACT
Table 7.01,Mental Disorders,309.21,SEPARATION ANXIETY
Table 7.01,Mental Disorders,309.22,EMANCIPATION DISORDER
Table 7.01,Mental Disorders,309.23,ACADEMIC/WORK INHIBITION
Table 7.01,Mental Disorders,309.24,ADJUSTMENT DIS W ANXIETY
Table 7.01,Mental Disorders,309.28,ADJUST DIS W ANXIETY/DEP
Table 7.01,Mental Disorders,309.29,ADJ REACT-EMOTION NEC
Table 7.01,Mental Disorders,309.3,ADJUST DISOR/DIS CONDUCT
