U.S. Energy Information Administration,,,,,,,,,,,
June 2014 Monthly Energy Review,,,,,,,,,,,
,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,
,,,,,,,,,,,
"Release Date: June 25, 2014",,,,,,,,,,,
"Next Update: July 28, 2014",,,,,,,,,,,
,,,,,,,,,,,
Table 7.3b Consumption of Combustible Fuels for Electricity Generation: Electric Power Sector,,,,,,,,,,,
,,,,,,,,,,,
Month,"Coal Consumption for Electricity Generation, Electric Power Sector","Distillate Fuel Oil Consumption for Electricity Generation, Electric Power Sector","Residual Fuel Oil Consumption for Electricity Generation, Electric Power Sector","Other Petroleum Liquids Consumption for Electricity Generation, Electric Power Sector","Petroleum Coke Consumption for Electricity Generation, Electric Power Sector","Total Petroleum Consumption for Electricity Generation, Electric Power Sector","Natural Gas Consumption for Electricity Generation, Electric Power Sector","Other Gases Consumption for Electricity Generation, Electric Power Sector","Wood Consumption for Electricity Generation, Electric Power Sector","Waste Consumption for Electricity Generation, Electric Power Sector","Other Consumption for Electricity Generation, Electric Power Sector"
33786,75096.077,1540.719,13119.894,9.958,108.034,15210.741,401.032,0.999,10.152,22.515,0.291
33817,71862.635,1091.467,10755.758,9.958,172.328,12718.822,363.735,0.999,11.991,22.123,0.291
33848,67111.276,915.874,10602.914,9.637,145.63,12256.573,329.02,0.967,10.707,21.651,0.282
33878,63895.712,854.964,10600.39,9.958,154.254,12236.58,255.647,0.999,12.248,19.915,0.291
33909,63698.077,1082.947,10474.408,9.637,138.125,12257.616,227.582,0.967,12.643,15.44,0.282
33939,70568.187,1066.669,9885.488,9.958,157.279,11748.512,211.126,0.999,11.417,22.489,0.291
33970,70793.926,1120.213,10957.412,18.078,194.72,13069.303,204.928,1.021,13.031,26.081,0.247
34001,65094.113,1033.778,10719.499,16.329,170.301,12621.111,201.878,0.922,11.622,20.181,0.223
34029,68420.248,1411.805,12965.726,18.078,182.264,15306.929,241.627,1.021,12.008,25.538,0.247
34060,60793.606,905.249,7737.405,17.495,165.484,9487.572,216.721,0.988,9.714,18.61,0.239
34090,61237.637,959.425,7831.964,18.078,180.827,9713.601,208.002,1.021,5.999,21.525,0.247
34121,69486.674,1141.788,11923.349,17.495,205.901,14112.138,317.692,0.988,6.429,21.852,0.239
34151,80298.43,2008.868,17135.628,18.078,263.611,20480.63,416.529,1.021,7.762,20.97,0.247
34182,79497.948,1731.425,18300.723,18.078,235.562,21228.037,445.112,1.021,13.259,17.429,0.247
34213,67828.476,1139.598,14939.565,17.495,270.981,17451.564,322.058,0.988,11.773,21.318,0.239
34243,66245.56,992.043,11479.185,18.078,234.974,13664.178,292.41,1.021,12.063,21.073,0.247
34274,66996.808,979.426,11499.923,17.495,213.286,13563.273,259.734,0.988,12.957,19.668,0.239
34304,73157.691,1135.23,15916.614,18.078,253.159,18335.718,217.549,1.021,12.625,21.02,0.247
34335,78122.244,4594.615,21133.297,56.637,288.319,27226.145,213.876,1.021,16.697,17.921,0.161
34366,66964.269,1730.433,14973.047,51.156,226.934,17889.308,187.671,0.922,11.794,18.939,0.145
34394,67622.349,1256.306,12252.429,56.637,240.821,14769.478,233.933,1.021,11.885,22.339,0.161
34425,61424.455,1290.081,11802.488,54.81,182.31,14058.929,256.593,0.988,10.268,20.016,0.156
34455,64538.858,1441.784,10540.581,56.637,150.966,12793.833,271.803,1.021,6.016,24.633,0.161
34486,74815.761,2318.407,15052.799,54.81,183.515,18343.591,400.777,0.988,7.72,24.083,0.156
34516,78252.62,1895.257,14326.614,56.637,197.056,17263.788,456.034,1.021,13.199,22.655,0.161
34547,77427.145,1264.905,9160.71,56.637,168.839,11326.446,480.783,1.021,11.003,22.3,0.161
34578,67977.017,1077.658,7483.804,54.81,160.158,9417.062,372.377,0.988,10.054,20.56,0.156
34608,65933.239,1004.354,6758.386,56.637,159.314,8615.949,332.116,1.021,12.544,24.545,0.161
34639,63303.358,1068.555,6552.511,54.81,151.717,8434.46,290.953,0.988,11.755,24.096,0.156
34669,69732.12,1298.51,7160.93,56.637,146.32,9247.678,261.566,1.021,11.107,27.139,0.161
34700,73054.778,1226.816,6114.282,37.449,204.624,8401.67,254.435,1.543,7.523,22.573,0.171
34731,65232.132,1527.876,10735.997,33.825,198.101,13288.205,215.509,1.394,5.853,19.557,0.155
34759,65014.479,1052.656,4389.854,37.449,166.874,6314.328,313.914,1.543,7.547,19.825,0.171
34790,60453.563,1065.336,4798.074,36.241,115.31,6476.202,293.138,1.493,9.308,26.27,0.166
34820,64079.359,1315.596,6284.581,37.449,190.924,8592.247,329.935,1.543,6.989,16.71,0.171
34851,70918.632,1386.79,6428.852,36.241,219.555,8949.66,380.377,1.493,6.446,24.579,0.166
34881,81499.648,2180.429,10787.045,37.449,183.448,13922.161,520.936,1.543,11.555,23.712,0.171
34912,85623.838,3311.412,11751.229,37.449,257.161,16385.895,599.396,1.543,12.033,25.119,0.171
34943,70184.34,1048.157,7150.197,36.241,211.238,9290.784,404.824,1.493,9.776,24.519,0.166
34973,67833.98,1081.952,4874.037,37.449,237.775,7182.313,306.958,1.543,11.047,26.701,0.171
35004,68712.543,1219.912,4940.16,36.241,267.662,7534.625,253.485,1.493,9.421,27.2,0.166
35034,75246.745,1649.348,10641.045,37.449,199.419,13324.936,220.866,1.543,8.862,24.904,0.171
35065,78555.627,2150.493,11695.557,47.994,222.754,15007.814,225.591,1.318,10.705,18.2,0.162
35096,70660.691,2748.677,12153.77,44.898,171.728,15805.985,182.89,1.233,7.311,20.755,0.151
35125,70617.607,1742.506,9001.584,47.994,140.214,11493.156,209.072,1.318,9.117,23.333,0.162
35156,63739.026,1094.917,4453.15,46.446,158.369,6386.356,227.073,1.276,5.393,20.594,0.156
35186,68909.007,1480.487,5387.762,47.994,176.994,7801.211,353.888,1.318,7.444,21.238,0.162
35217,75143.438,1184.304,8562.506,46.446,175.52,10670.855,401.08,1.276,9.42,25.001,0.156
35247,82140.51,1445.371,11730.451,47.994,258.791,14517.77,479.025,1.318,11.187,26.717,0.162
35278,83191.148,1228.032,9257.464,47.994,310.208,12084.528,491.701,1.318,12.923,20.208,0.162
35309,73543.675,1304.979,6991.517,46.446,257.578,9630.829,381.431,1.276,9.747,23.759,0.156
35339,73188.355,1176.808,4622.158,47.994,211.882,6906.372,303.243,1.318,12.877,27.69,0.162
35370,75188.785,1216.843,6206.24,46.446,185.026,8394.658,227.495,1.276,12.213,25.65,0.156
35400,79522.25,1698.201,8733.231,47.994,197.846,11468.656,177.32,1.318,9.142,26.706,0.162
35431,82971.865,2101.256,12207.824,11.014,127.743,14958.808,182.817,1.224,11.43,21.036,0.054
35462,69485.711,1059.348,6421.087,9.949,126.625,8123.508,188.272,1.106,7.948,22.778,0.048
35490,70826.225,1048.065,6183.959,11.014,79.129,7638.685,249.29,1.224,9.064,22.767,0.054
35521,66648.315,1304.191,5234.156,10.659,235.008,7724.045,254.322,1.185,9.175,25.892,0.052
35551,69819.116,1189.232,6259.407,11.014,307.917,8999.238,304.46,1.224,9.872,26.818,0.054
35582,75494.95,1719.126,9921.785,10.659,329.965,13301.397,391.08,1.185,7.745,24.178,0.052
35612,86482.07,3204.863,12778.348,11.014,328.706,17637.753,564.465,1.224,9.452,25.177,0.054
35643,84342.721,1687.596,11047.083,11.014,365.7,14574.192,514.241,1.224,10.158,25.441,0.054
35674,77913.286,1295.787,11248.036,10.659,368.745,14398.205,437.572,1.185,9.455,21.73,0.052
35704,77811.086,1375.017,10463.03,11.014,320.254,13450.333,321.352,1.224,13.108,25.816,0.054
35735,74881.696,1295.916,9860.424,10.659,309.156,12712.779,236.316,1.185,10.336,24.426,0.052
35765,82331.873,1365.543,10797.678,11.014,301.781,13683.142,259.008,1.224,8.979,25.506,0.054
35796,81550.06,1115.901,9549.549,34.941,352.406,12462.423,231.967,1.932,13.601,20.55,0.137
35827,70860.903,873.844,8670.973,31.56,276.826,10960.509,181.288,1.745,8.714,20.772,0.124
35855,73651.128,1276.854,13461.377,34.941,282.958,16187.961,263.288,1.932,10.034,24.48,0.137
35886,68170.949,1044.708,10263.539,33.814,319.217,12938.145,257.789,1.87,10.113,23.982,0.133
35916,74727.239,2149.945,14157.189,34.941,330.578,17994.967,393.551,1.932,10.693,26.404,0.137
35947,81033.626,3344.946,17799.772,33.814,377.03,23063.683,513.147,1.87,5.552,21.33,0.133
35977,89415.038,3623.448,20398.19,34.941,397.321,26043.186,609.033,1.932,10.501,24.463,0.137
36008,89287.589,3351.327,19868.624,34.941,372.399,25116.888,619.342,1.932,11.167,24.514,0.137
36039,80071.853,2806.363,15490.09,33.814,351.663,20088.581,516.491,1.87,10.891,23.588,0.133
36069,75281.675,1056.51,11258.375,34.941,325.486,13977.258,333.648,1.932,12.114,25.973,0.137
36100,71225.893,1071.069,11259.121,33.814,319.468,13961.342,240.706,1.87,9.489,21.35,0.133
36130,78850.09,1450.737,13698.021,34.941,293.671,16652.053,255.562,1.932,11.813,29.948,0.137
36161,82422.864,2604.142,16930.988,43.626,292.457,21041.04,264.891,1.216,12.782,21.904,0.121
36192,70520.42,980.6,14427.706,39.404,241.558,16655.498,225.299,1.099,8.927,23.218,0.109
36220,74140.299,1200.788,15080.577,43.626,308.074,17865.36,306.421,1.216,7.116,23.689,0.121
36251,70225.618,1837.049,12248.939,42.218,276.591,15511.159,379.83,1.177,10.454,25.898,0.117
36281,73998.361,1399.187,12899.231,43.626,310.479,15894.44,405.265,1.216,13.818,27.415,0.121
36312,80375.16,2296.092,14330.091,42.218,311.745,18227.125,481.312,1.177,9.56,26.345,0.117
36342,91632.962,5317.888,19257.53,43.626,378.36,26510.842,649.117,1.216,12.129,24.772,0.121
36373,88714.899,3283.076,16517.08,43.626,417.858,21933.072,645.415,1.216,11.555,23.262,0.121
36404,79096.985,1384.628,10902.349,42.218,258.633,13622.362,417.312,1.177,10.302,23.818,0.117
36434,75342.466,1128.211,8913.892,43.626,260.278,11387.118,355.81,1.216,8.461,23.663,0.121
36465,72570.511,1280.68,5583.692,42.218,242.422,8118.698,253.994,1.177,11.259,23.413,0.117
36495,78847.915,1162.458,4828.91,43.626,308.736,7578.673,259.108,1.216,9.077,22.675,0.121
36526,88158.051,2308.185,8783.765,34.141,450.807,13380.125,313.582,1.594,7.872,24.021,0.108
36557,79412.322,1393.376,5789.27,31.939,367.563,9052.397,274.904,1.491,10.56,24.927,0.101
36586,77677.502,1191.261,5472.857,34.141,243.344,7914.981,341.969,1.594,11.076,28.409,0.108
36617,70002.574,1075.164,5987.576,33.04,248.963,8340.597,353.592,1.543,10.505,28.307,0.105
36647,77108.74,2506.811,11033.483,34.141,226.808,14708.476,508.785,1.594,10.005,30.393,0.108
36678,84522.07,2165.295,14936.28,33.04,275.567,18512.448,506.2,1.543,8.735,24.457,0.105
36708,88114.015,2554.051,13884.992,34.141,162.698,17286.673,615.01,1.594,10.673,25.571,0.108
36739,91509.415,2868.079,17227.863,34.141,316.652,21713.344,676.12,1.594,10.977,24.482,0.108
36770,80879.218,1937.668,15366.591,33.04,242.703,18550.815,467.178,1.543,9.928,23.373,0.105
36800,79861.623,1334.687,11658.83,34.141,191.194,13983.627,351.76,1.594,12.031,25.205,0.108
36831,79037.558,1686.325,9681.277,33.04,206.448,12432.881,297.109,1.543,11.762,23.221,0.105
36861,86430.261,8701.037,18224.089,34.141,222.103,28069.784,307.863,1.594,12.162,12.022,0.108
36892,88114.988,7825.064,21466.441,46.72,283.435,30755.4,323.639,0.679,10.403,16.905,9.01
36923,75146.218,2614.229,13041.305,33.66,258.722,16982.804,296.965,0.705,8.394,15.336,8.032
36951,77661.041,2912.384,15019.055,31.16,253.436,19229.779,346.592,0.878,9.167,17.091,9.086
36982,70149.29,2580.235,14463.365,25.14,201.032,18073.9,369.901,0.839,8.402,16.694,9.16
37012,76517.905,2144.072,13638.168,24.49,235.321,16983.335,418.573,0.835,9.087,17.153,9.233
37043,82008.716,1820.537,16513.056,29.46,266.985,19697.978,477.08,0.402,10.724,17.634,9.47
37073,90993.806,1737.663,14573.726,31.8,316.006,17923.219,618,0.965,10.552,18.361,9.597
37104,92942.647,2593.229,19415.674,39.4,322.521,23660.908,668.515,0.947,10.476,18.389,9.497
37135,78792.788,1203.519,9110.602,27.4,299.87,11840.871,492.96,0.867,9.971,17.02,8.999
37165,75409.021,1326.811,7476.549,26.95,288.561,10273.115,448.714,0.744,9.62,17,8.926
37196,73198.132,1040.522,7105.602,26.77,251.95,9432.644,333.025,0.765,9.199,16.467,8.883
37226,80588.853,1257.298,7326.006,30.57,330.31,10265.424,348.529,0.818,9.956,17.272,9.231
37257,82196.753,1831.852,6852.83,89.269,430.81,10928.001,359.714,2.72,11.824,18.233,11.075
37288,71971.774,1133.973,5772.252,43.439,449.606,9197.694,323.773,1.516,9.409,16.1,10.221
37316,75612.677,1822.598,9257.533,57.109,475.636,13515.42,385.218,1.717,12.409,18.28,10.77
37347,71377.018,1737.818,8680.436,103.392,455.696,12800.126,384.044,1.487,10.725,17.45,10.176
37377,76367.041,2012.01,8657.904,134.854,513.547,13372.503,389.809,1.685,10.29,18.381,11.515
37408,83392.994,1696.013,8729.337,84.98,551.5,13267.83,529.303,1.914,11.066,19.132,11.772
37438,92574.637,2611.451,11419.052,170.488,487.224,16637.111,710.267,2.417,12.104,20.5,13.189
37469,91543.01,2428.129,11289.293,163.412,552.937,16645.519,693.328,2.557,12.581,20.529,12.708
37500,83958.089,1638.459,9015.618,100.854,507.381,13291.836,546.171,2.213,13.107,19.129,11.673
37530,80533.489,1917.51,9070.312,90.574,423.042,13193.606,420.63,2.169,11.755,18.455,11.051
37561,79132.409,1338.306,6667.742,76.844,404.505,10105.417,330.3,2.697,12.171,17.974,10.83
37591,86591.493,1641.77,9164.244,128.274,452.985,13199.213,335.723,2.402,13.167,19.491,11.826
37622,91150.642,4421.335,13977.532,433.544,375.363,20709.226,360.694,3.044,14.527,18.011,10.272
37653,79249.606,3787.203,11974.907,322.445,346.867,17818.89,317.143,2.85,12.11,15.723,8.58
37681,78361.364,2839.622,12257.925,230.166,285.249,16753.958,342.678,2.418,12.663,18.237,10.304
37712,71835.638,1535.557,10517.052,83.495,434.151,14306.859,333.775,2.909,11.438,17.735,10.059
37742,76608.468,2469.806,8431.881,78.152,408.258,13021.129,378.876,2.399,10.812,18.237,10.581
37773,83152.876,2823.945,12498.659,96.055,491.518,17876.249,419.218,2.436,12.328,18.369,10.531
37803,92824.976,2356.066,14609.679,127.806,568.534,19936.221,611.99,2.246,14.204,19.322,13.025
37834,94394.093,2034.149,15578.265,188.759,563.913,20620.738,664.387,2.41,14.719,19.003,14.193
37865,84141.06,1197.357,10093.672,89.821,546.648,14114.09,449.75,2.101,13.222,17.986,12.68
37895,80707.373,1218.896,9653.722,84.646,558.415,13749.339,389.252,2.072,13.127,17.321,12.719
37926,81039.646,1097.693,6533.602,86.604,567.681,10556.304,328.529,2.343,13.201,17.216,11.96
37956,89570.25,1659.826,11233.783,115.935,572.628,15872.684,312.957,2.337,14.042,18.889,11.304
37987,91370.856,4030.493,16669.29,944.501,664.755,24968.06,329.438,1.997,13.192,16.593,10.451
38018,82087.497,1368.987,10583.395,141.571,569.211,14940.008,344.079,2.074,12.278,16.093,10.076
38047,77845.57,1239.083,11231.013,179.066,569.092,15494.619,343.521,2.205,12.654,17.114,10.866
38078,71981.281,1076.089,10469.643,129.999,566.431,14507.884,359.311,2.342,10.67,16.995,10.611
38108,80160.92,1631.211,12062.718,132.735,600.502,16829.175,450.819,2.444,11.045,17.824,11.349
38139,85479.047,1530.225,13150.163,122.131,567.612,17640.579,476.074,2.394,11.118,17.361,11.128
38169,93046.051,1390.302,15159.978,133.054,599.712,19681.895,590.072,2.487,14.828,17.807,12.129
38200,91688.209,1309.792,13531.824,117.88,659.694,18257.969,577.603,2.239,13.314,17.808,11.677
38231,85056.456,1533.652,9686.385,115.268,561.427,14142.44,497.409,2.335,12.426,16.96,10.59
38261,81078.133,1026.251,8173.12,121.753,613.187,12387.061,410.243,2.118,12.228,16.938,10.706
38292,81586.826,903.501,7201.317,123.201,548.642,10971.228,341.675,2.25,12.248,16.821,10.615
38322,91077.846,1753.888,10911.894,250.026,614.549,15988.555,355.097,2.263,14.221,17.347,11.182
38353,91422.596,2827.306,12968.261,665.801,667.862,19800.679,353.463,1.985,14.331,16.627,9.288
38384,79984.553,856.44,7576.173,104.921,618.938,11632.225,302.101,1.922,13.581,14.816,8.385
38412,83253.799,1004.159,8892.941,123.647,648.571,13263.601,354.434,2.416,14.326,16.961,9.557
38443,73228.94,1017.767,7082.382,134.468,592.411,11196.673,361.737,2.047,11.486,16.46,9.421
38473,78991.65,1094.305,6371.372,127.752,672.072,10953.788,394.037,2.044,12.639,17.81,9.792
38504,89173.456,1405.914,12745.834,121.473,711.053,17828.488,561.585,1.905,13.421,17.702,9.975
38534,95922.095,2146.31,15634.747,243.981,700.816,21529.116,739.924,1.941,15.478,18.503,10.639
38565,96939.806,2428.344,17733.251,283.245,744.994,24169.813,755.228,1.937,15.489,18.092,10.587
38596,88190.402,1854.737,15045.941,189.466,641.974,20300.012,540.257,1.93,13.766,17.023,9.676
38626,83709.121,1397.228,11864.836,148.111,640.601,16613.181,406.286,2.077,13.228,16.495,9.367
38657,81231.632,1015.333,7093.873,113.012,579.323,11118.834,345.745,2.025,13.368,17.191,9.74
38687,91518.85,2401.991,15327.147,334.678,657.967,21353.65,369.981,2.195,14.666,17.697,9.964
38718,86974.921,1039.393,5350.315,159.611,667.948,9889.058,290.268,2.282,14.909,18.386,9.877
38749,80730.476,923.47,4101.686,122.913,590.179,8098.966,322.484,1.98,13.821,16.722,8.89
38777,82175.051,731.656,2729.486,167.745,557.599,6416.881,380.036,2.263,14.201,18.116,9.61
38808,72286.527,979.048,3485.655,124.976,568.448,7431.917,399.929,2.212,10.476,16.395,9.381
38838,80212.779,985.001,3341.743,162.235,532.424,7151.097,477.288,2.741,12.017,18.132,9.817
38869,86996.674,1127.712,5264.736,149.594,593.256,9508.323,602.059,2.397,13.208,18.177,10.041
38899,96767.012,1426.432,6864.27,178.377,653.797,11738.064,831.837,2.274,14.478,19.137,10.543
38930,97842.286,1619.764,9069.863,210.851,621.673,14008.842,808.337,2.638,14.994,18.911,10.488
38961,84028.223,798.583,3906.45,137.674,555.308,7619.248,521.573,2.234,13.677,18.069,9.819
38991,83426.605,946.863,4381.985,118.487,564.283,8268.75,500.133,2.177,13.54,17.842,9.336
39022,81951.39,945.984,4202.584,109.325,492.902,7722.401,370.864,2.106,13.399,18.236,9.333
39052,89409.974,1053.775,3648.306,141.192,507.64,7381.473,386.417,2.277,14.283,18.369,9.915
39083,91344.489,1391.278,5545.403,189.085,545.526,9853.396,420.959,2.47,17.529,18.235,9.935
39114,83697.597,2431.215,9420.21,398.235,431.097,14405.145,399.262,2.088,13.291,15.985,8.585
39142,81459.055,1212.361,5110.702,270.507,435.113,8769.135,388.506,2.247,13.259,18.244,9.676
39173,75471.028,933.847,4847.312,184.984,424.086,8086.573,427.125,2.117,11.695,16.99,9.158
39203,80840.345,992.596,4329.285,179.034,460.692,7804.375,481.5,2.151,12.35,18.408,9.807
39234,89380.956,1203.313,5443.704,169.684,531.726,9475.331,600.421,2.258,13.546,18.646,9.884
39264,96242.512,1170.102,5450.424,157.737,472.702,9141.773,729.199,2.304,14.088,19.301,10.047
39295,98750.958,1677.751,7475.104,217.724,492.925,11835.204,934.851,2.266,14.084,19.446,10.155
39326,87625.458,949.798,4737.386,188.654,452.51,8138.388,654.335,2.201,13.676,18.733,9.616
39356,83514.923,1098.76,4459.699,190.544,406.874,7783.373,575.663,2.462,13.133,18.985,9.839
39387,82081.698,918.729,2078.326,160.929,384.662,5081.294,421.705,2.215,13.573,18.788,9.395
39417,90937.044,1155.206,3174.936,188.625,484.725,6942.392,468.086,2.234,14.297,19.529,10.415
39448,94084.79,1572.724,3175.433,336.304,476.431,7466.616,503.467,2.211,14.089,19.53,10.074
39479,86300.709,1154.884,2584.183,251.545,437.189,6176.557,413.002,1.899,13.168,18.331,9.152
39508,82903.669,904.717,2247.643,224.36,363.1,5192.22,434.48,2.051,13.834,21.046,10.729
39539,76465.238,909.601,2547.453,182.08,398.463,5631.449,443.817,2.011,11.452,19.977,10.001
39569,80763.013,910.956,2730.566,185.265,376.12,5707.387,449.669,2.307,11.599,20.062,10.421
39600,89056.544,1319.909,4647.717,226.267,461.175,8499.768,634.409,2.218,13.172,20.397,10.577
39630,97694.133,970.875,3806.266,189.433,413.748,7035.314,751.711,2.446,14.571,21.596,10.787
39661,95262.65,856.585,3171.171,170.544,441.384,6405.22,733.838,2.289,14.567,21.028,10.769
39692,85077.723,849.289,3845.278,174.167,412.275,6930.109,577.766,1.473,13.4,19.716,9.771
39722,79729.339,746.81,2280.552,157.909,433.433,5352.436,519.105,1.687,11.887,20.058,9.8
39753,80601.277,814.702,2547.953,201.902,393.282,5530.967,431.916,1.184,13.37,19.562,9.819
39783,88952.4,1306.647,3637.376,308.666,393.554,7220.459,449.15,1.573,14.163,20.641,10.595
39814,90223.519,1778.451,5871.477,399.525,397.872,10038.813,459.969,1.417,14.915,19.225,9.493
39845,73893.888,1084.388,2312.719,233.679,362.873,5445.151,429.214,1.437,13.25,17.904,8.489
39873,71583.405,1197.811,1958.306,200.876,454.939,5631.688,474.69,1.667,12.712,20.438,9.587
39904,66830.45,768.775,1623.156,148.785,403.162,4556.526,427.647,1.593,10.756,20.195,9.436
39934,70105.49,981.059,2153.639,172.252,406.562,5339.76,491.378,1.738,11.319,20.569,9.834
39965,78635.721,932.289,2264.497,130.342,405.933,5356.793,618.59,1.841,13.5,21.02,10.045
39995,83916.915,864.668,2473.929,126.066,422.521,5577.268,750.526,1.957,14.686,21.911,10.375
40026,86322.229,926.589,2934.581,149.746,408.952,6055.676,811.545,1.917,15.343,21.448,10.403
40057,73288.457,706.919,1801.193,121.897,406.633,4663.174,663.613,2.104,13.163,19.893,9.505
40087,74231.505,808.781,2021.72,129.479,246.954,4194.75,512.191,1.864,12.522,20.082,9.214
40118,72766.552,786.921,1172.94,136.217,242.557,3308.863,433.633,1.794,13.138,20.414,9.145
40148,87894.064,1011.668,1179.681,161.283,325.887,3982.067,493.994,1.997,15.152,20.97,9.635
40179,90080.225,2441.244,2803.618,218.518,403.65,7481.63,519.02,1.861,15.685,19.585,9.231
40210,79536.883,832.86,1023.468,196.352,378.655,3945.955,455.95,1.657,14.641,18.313,8.475
40238,75772.251,755.81,1214.017,130.273,415.249,4176.345,431.604,1.954,14.788,21.047,9.463
40269,66558.784,695.356,1132.162,111.786,360.411,3741.359,448.885,1.877,13.506,20.5,9.464
40299,75311.111,1020.816,1964.339,103.744,390.145,5039.624,535.515,1.899,13.04,20.804,9.826
40330,86724.813,1219.808,3059.454,137.348,463.218,6732.7,681.455,1.809,14.658,21.393,9.918
40360,94194.245,1306.309,3643.487,184.536,495.21,7610.382,868.607,1.736,15.83,21.644,10.08
40391,93921.556,1065.529,2961.902,148.689,391.88,6135.52,915.081,1.526,16.423,21.608,10.162
40422,78880.597,880.44,1759.526,135.805,370.518,4628.361,671.488,1.487,14.62,20.73,9.73
40452,70204.75,762.228,1076.053,111.514,336.907,3634.33,547.29,1.113,13.368,20.349,9.718
40483,72206.131,848.844,949.057,125.049,290.03,3373.1,472.688,1.375,14.838,21.093,9.629
40513,87853.574,1847.361,1972.547,244.295,382.755,5977.978,537.832,1.297,15.843,21.6,9.892
40544,89680.867,1314.361,1659.687,238.424,524.111,5833.027,512.283,1.465,15.231,18.792,10.076
40575,73166.649,886.24,976.521,126.974,408.748,4033.473,459.365,1.242,14.019,17.782,9.668
40603,72148.286,881.538,1082.161,123.598,495.078,4562.689,456.967,1.522,13.999,19.75,11.142
40634,66643.439,989.045,1302.212,95.535,312.224,3947.911,497.766,1.455,10.79,18.974,10.91
40664,73009.848,954.994,1206.442,72.18,333.091,3899.074,547.82,1.469,11.854,19.551,11.131
40695,83621.52,951.311,1222.939,123.381,409.326,4344.26,675.249,1.575,14.244,20.616,11.606
40725,93723.875,1116.997,1523.888,222.675,490.768,5317.399,909.123,1.576,15.517,21.347,11.894
40756,91706.718,812.405,1286.635,129.813,440.22,4429.954,892.585,1.593,15.758,21.277,11.742
40787,76285.841,713.948,914.937,139.925,428.466,3911.137,658.911,1.5,14.083,20.081,11.091
40817,69164.681,727.253,905.648,127.816,312.1,3321.219,551.052,1.437,12.683,20.431,10.911
40848,66641.615,744.76,888.81,132.333,231.921,2925.508,517.72,1.401,12.439,20.733,10.838
40878,73063.2,867.825,890.962,122.817,339.453,3578.869,586.352,1.486,14.964,21.547,11.597
40909,70305.168,809.459,964.626,37.688,389.375,3758.646,620.979,1.691,15.206,20.479,10.935
40940,62572.285,648.598,734.502,79.615,306.954,2997.485,618.593,1.63,14.476,18.713,10.172
40969,57053.461,606.972,848.322,92.772,167.911,2387.621,650.059,1.661,13.976,20.343,10.632
41000,51427.359,683.109,778.345,82.155,156.903,2328.124,688.647,1.648,11.274,19.826,10.319
41030,62417.351,867.69,802.828,111.5,200.383,2783.934,784.941,1.575,12.633,21.032,11.396
41061,71250.521,852.799,1278.223,120.869,222.391,3363.845,851.886,1.646,14.58,20.831,11.608
41091,86036.344,926.116,1547.248,126.77,244.086,3820.561,1051.694,1.701,16.091,21.954,11.764
41122,82209.315,726.267,1098.901,110.472,257.327,3222.277,973.785,1.712,16.085,21.801,11.499
41153,69073.723,634.206,807.239,80.001,240.858,2725.736,776.781,1.413,14.89,20.49,10.925
41183,66103.696,681.083,867.606,87.879,219.742,2735.278,644.082,1.365,13.359,21.333,10.884
41214,69521.472,728.315,769.118,78.438,229.272,2722.231,555.891,1.344,13.579,21.037,10.975
41244,72791.231,835.433,795.166,330.563,226.07,3091.514,570.848,1.617,14.791,22.08,11.152
41275,74595.511,987.33,1497.105,217.53,323.004,4316.984,600.13,1.564,15.244,19.621,10.109
41306,66766.55,658.257,962.893,128.572,284.272,3171.079,538.379,1.289,13.583,17.408,9.175
41334,69972.78,636.31,801.241,88.222,305.151,3051.529,573.911,1.8,15.256,20.181,10.65
41365,60534.065,638.781,800.872,100.018,280.597,2942.657,535.154,1.666,10.069,19.614,9.932
41395,64317.533,796.365,784.605,99.33,403.087,3695.734,585.911,2.151,13.783,21.283,11.202
41426,74739.541,662.165,870.609,86.235,411.504,3676.528,708.02,2.208,15.007,21.099,11.188
41456,82750.241,1053.396,1418.993,147.55,409.784,4668.86,877.848,2.458,16.622,21.634,11.619
41487,81553.44,667.582,948.625,95.173,426.169,3842.225,868.831,2.5,17.474,20.462,10.893
41518,72293.179,642.676,806.571,101.179,387.214,3486.498,722.573,2.347,16.05,20.135,10.532
41548,65967.601,587.404,776.266,82.045,355.993,3225.68,610.29,2.183,15.975,20.275,10.166
41579,65508.98,715.655,718.034,97.295,278.809,2925.03,570.904,2.849,16.888,19.7,9.924
41609,76856.955,998.387,1121.38,149.724,341.75,3978.24,632.665,2.849,18.161,22.506,11.621
41640,83248.066,4833.222,4219.413,1013.271,404.131,12086.563,630.528,2.602,19.472,19.662,10.02
41671,75926.863,1263.065,1473.789,167.341,332.037,4564.38,521.09,2.169,17.534,17.248,8.7
41699,71881.022,1439.178,1677.548,279.127,389.192,5341.814,529.431,2.215,19.277,20.272,10.826
